firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48,mom49
65832,0.3310972468,0.0204403661,46.333722392,0.0059431169,0.3373442629,0.5306762835,0.0793789515,0.0359334504,0.3843686425,0.2617859449,-0.233739339,-0.034185016,-1.098530835,0.0428947385,0.0341850158,9.0,0.0299991513,0.1176470588,0.0157362153,0.1988618038,0.0923994705,0.0928616972,0.0869799069,0.6150465765,0.413248698,0.0,1.7758829581,0.1767979587,0.9458795291,0.021632225,52.991919555,4.0495643225,0.0977052562,0.0,0.0,1.0,0.0,0.0,1.1190200516,7.0,-3.305955133,-0.061642876,-0.043939885,-2.182948316,0.2915128692,0.028946613,-943.9042291,0.0292355627,12.178251707,0.0156926678,0.005935333,0.0139641114,0.032065858,0.0149815454,0.0651931753,1.0,-0.000571981,-0.208636731,-0.021362852,5.0,12.789941925,1.2358646617,0.0,0.0346534662,0.0837336519,0.0256650838,1.2945719513,29.91590717,4.3296616e-08,1.1445468e-08,0.9643027626,0.9298798179,0.2550978596,0.0518341646,-0.737725568,0.0509848768,0.1761363636363635,-0.1926605504587155,-0.0736842105263158,0.0232558139534884,0.1210191082802547,0.1812080536912752,-0.0638297872340425,-0.0434782608695651,-0.0434782608695651,0.0057142857142857,-0.0486486486486485,-0.1020408163265306,0.1282051282051282,0.0538922155688623,0.2482269503546099,0.3333333333333332,0.2661870503597121,0.4666666666666665,0.3134328358208955,0.2753623188405796,-0.1497584541062802,-0.0588235294117647,-0.1065989847715735,-0.1330049261083743,0.0,0.2307692307692308,0.2054794520547944,0.1139240506329113,0.0232558139534884,-0.0434782608695651,-0.053763440860215,0.0476190476190476,0.0,0.0864197530864196,0.2753623188405796,0.2054794520547944,0.3538461538461539,0.375,0.3435114503816794,0.4079999999999999,0.2661870503597121,0.3037037037037038,0.3435114503816794,0.4545454545454546,0.6146788990825689,0.6923076923076923,0.5855855855855856,0.5855855855855856,0.7087378640776698
66413,0.6408671227,-0.05320736,-1.913668088,0.009407717,4.4188987595,5.4629940731,-0.005796991,-0.139951271,0.2142613171,0.0,-0.149989013,-0.054844226,-5.657994443,0.247839585,0.0548442265,9.0,0.0,-0.129419272,-0.093626386,0.2959271362,0.0044640918,0.1056517489,0.0018489844,-0.089007336,0.4585610764,0.0,0.8339979439,-0.492333798,0.8339979439,-0.492333798,11.038888738,52.066734981,0.0611225077,0.0,0.0,1.0,0.0,0.0,1.2211332722,4.0,0.4550637553,-0.4611795,0.0171058417,-1.710247763,0.0464796944,-0.090714126,-266.1549353,0.3336057304,10.723047095,6.45629e-05,0.0085204208,0.1857551244,0.1737193435,0.1328710249,0.0505462535,1.0,0.0641514537,4.1862556198,0.2521029226,5.0,9.3126261655,0.223030036,0.0,0.038961038,0.0172533167,0.0209238786,1.1240013919,2.2597120066,9.6398071e-07,8.215682e-08,1.7207901972,2.9611189029,-0.060780531,0.0629800185,0.5976296466,0.176436118,0.0204081632653061,0.1395348837209302,0.3243243243243243,0.0888888888888888,-0.0925925925925925,-0.02,0.1136363636363635,0.1395348837209302,0.3243243243243243,0.3611111111111111,0.3243243243243243,0.4411764705882353,0.2564102564102564,0.3999999999999999,0.1951219512195121,0.1136363636363635,0.0888888888888888,0.0208333333333332,-0.0576923076923077,0.0208333333333332,0.0888888888888888,0.1951219512195121,0.75,0.8846153846153846,0.75,0.4411764705882353,0.6333333333333333,0.2894736842105263,-0.0754716981132075,-0.2794117647058823,-0.3466666666666667,-0.3,-0.1833333333333333,-0.2096774193548387,-0.2096774193548387,-0.289855072463768,-0.3552631578947368,-0.3717948717948718,-0.3552631578947368,-0.1967213114754098,-0.1090909090909091,-0.0392156862745097,0.0208333333333332,0.1136363636363635,0.0888888888888888,0.0652173913043479,0.53125,0.4848484848484848,0.4848484848484848
21020,0.6580214166,-0.093329404,-6.734848485,0.0,3.0173887415,2.8285686217,-0.01025325,0.1541214215,0.0589215202,0.1088235294,0.2370710488,-0.0754998,-2.774736842,0.1656351312,0.0754997995,18.0,0.0037234347,0.0261129842,0.1170947466,-0.062232775,0.0390795875,0.0742761861,0.175715696,-0.117290459,0.4794499091,0.0,0.6076271186,0.0268595141,0.4625,0.0032822507,16.778554779,15.201689546,0.036368874,0.0,0.0,0.0,1.0,0.0,0.0801265156,4.0,-0.009384848,-0.534356454,4.8347868523,-1.497861564,1.9074585124,-1.842740064,4118.4535416,0.0979277092,15.414189702,-0.002566634,-0.010873111,-0.04950495,0.0339326063,0.0458676361,-0.06689907,0.0,-0.011703704,-0.026904395,-0.031225787,4.0,16.116349903,2.0661246397,0.0,0.0389344245,0.0195293994,0.025695475,0.5120683389,5.3265674403,3.055001e-10,1.0479807e-08,0.9432958439,0.889807049,0.1986559434,0.0380741206,0.0869415194,0.4202186274,0.0465116279069768,0.0278884462151394,0.1291028446389497,0.162162162162162,-0.0245746691871455,-0.0019342359767892,0.0197628458498024,-0.0282485875706214,-0.1254237288135593,-0.1554828150572831,-0.0883392226148409,-0.0851063829787234,0.0955414012738853,0.0157480314960629,0.1241830065359477,0.0909090909090908,0.0238095238095237,0.0617283950617284,-0.0227272727272727,0.0595482546201231,0.1096774193548386,0.0727650727650728,0.1780821917808219,0.3333333333333332,0.3650793650793651,0.3908355795148248,0.5266272189349113,0.4373259052924791,0.162162162162162,0.0058479532163742,0.009784735812133,0.034068136272545,0.0,0.0683229813664596,0.205607476635514,0.1120689655172413,0.0238095238095237,-0.0963222416812609,-0.2543352601156069,-0.2670454545454546,-0.0618181818181817,0.0552147239263802,0.0466531440162272,0.009784735812133,0.084033613445378,0.1193058568329719,0.0794979079497908,0.2027972027972027,0.2285714285714286
10429,0.5564924789,-0.200751852,-2.700960603,0.0,0.8644090075,1.8188467747,0.0756149398,-0.121239474,0.7213835873,0.0989028132,-0.032753013,-0.257724979,-1.949987429,0.1907117357,0.2577249787,11.0,-0.000786448,0.0653594771,0.2572913911,0.1874903357,-0.058956783,0.5565185575,0.0438243488,-0.230580449,0.4868559651,0.0,1.1817565034,-0.109931182,1.1693894434,-0.107835037,15.586778647,2.755837667,-0.111929068,0.0,0.0,1.0,0.0,0.0,1.5850377719,4.0,-8.45150018,-0.00779723,0.4328829061,0.5394403353,-0.375354197,0.1131312889,-200.6440058,0.1271810515,12.426100849,0.0314514784,0.0125675863,0.0290589112,0.0125640123,0.0551801952,-0.019084879,1.0,0.0004278075,-0.036809273,0.0224833912,4.0,12.944194984,1.7925121089,0.0,0.0722891539,0.0325330581,0.0511827797,0.8745986872,8.0994216791,1.7793092e-08,1.019051e-08,2.1812464339,4.7578360054,-0.170318413,0.0820473855,-1.069448161,0.2320333672,0.3076923076923077,0.1085271317829457,0.2654867256637168,0.3,0.1818181818181818,0.5888888888888888,0.4019607843137254,0.2016806722689075,0.2118644067796611,0.0141843971631205,-0.0137931034482758,0.2767857142857142,0.5212765957446808,0.4019607843137254,0.5052631578947369,0.8101265822784811,0.7875000000000001,1.234375,1.2698412698412698,1.2698412698412698,1.306451612903226,2.1777777777777776,1.69811320754717,1.1343283582089554,0.881578947368421,1.0428571428571427,0.881578947368421,1.2698412698412698,0.9861111111111112,0.9861111111111112,1.1666666666666663,1.0428571428571427,1.072463768115942,1.3442622950819674,0.881578947368421,0.7228915662650603,0.2543859649122806,0.4299999999999999,0.1439999999999999,0.1818181818181818,0.311926605504587,0.1916666666666666,0.0514705882352941,0.2222222222222223,0.2654867256637168,0.3619047619047619,0.3364485981308411,0.4019607843137254,0.2654867256637168
85041,0.8581355176,0.1618250915,-1.100605878,0.0,0.513430403,2.2301715305,0.2098825209,0.1960773004,0.628416809,0.0184927881,0.0692530588,0.0681228917,0.530056639,0.0760486274,0.0681228917,8.0,0.1019976661,0.2027027027,0.3712571371,-0.035239297,-0.196286217,0.1848809319,0.1334999207,0.2874412572,0.6612768161,0.0,2.8266862074,-0.055817801,1.8249626751,-0.126835367,6.7096336306,6.1764659701,0.3818075913,0.0,0.0,1.0,0.0,0.0,1.0724831834,4.0,-0.09482125,0.1861021285,0.3090663115,7.6753119396,-0.145100207,-0.020037265,-23.9123649,0.0349184496,13.084827125,-0.002919864,0.0260929475,0.0389134861,0.1628959963,0.1597463779,-0.001467828,1.0,-0.000952381,0.4960108309,-0.030006796,4.0,13.819120285,2.8567191277,0.0,0.0877192989,0.0368758391,0.0500196825,0.6499431605,11.373085663,4.163619e-09,5.7681471e-09,1.701457579,2.8949578933,0.136214621,0.0742424442,-0.479698884,0.2263124813,0.0370370370370369,0.1095890410958904,0.3728813559322033,0.653061224489796,0.4594594594594594,0.4727272727272726,0.1095890410958904,0.2089552238805969,0.1408450704225352,-0.0357142857142857,-0.0121951219512195,0.2089552238805969,0.265625,-0.0635838150289017,-0.3249999999999999,-0.3135593220338983,-0.217391304347826,0.0,-0.1382978723404255,-0.0999999999999999,-0.2568807339449541,-0.173469387755102,-0.5691489361702128,-0.4563758389261745,-0.2534562211981567,-0.0240963855421686,0.2089552238805969,0.1172413793103448,-0.0121951219512195,-0.1518324607329843,-0.1899999999999999,-0.0357142857142857,0.2089552238805969,0.2755905511811023,0.603960396039604,0.9518072289156628,0.9285714285714286,1.050632911392405,1.4545454545454546,1.4923076923076923,1.417910447761194,1.3142857142857145,1.4923076923076923,1.4545454545454546,2.0,1.793103448275862,1.6129032258064515,1.5714285714285716,1.5714285714285716
62500,1.7652453003,0.0511409727,-16.58873144,0.0,2.7957535358,4.4522978168,0.0419614733,-0.214874628,0.2475502398,0.0297450425,-0.324228474,-0.063871468,-6.475862069,0.3823228583,0.063871468,16.0,-0.046362931,0.0,0.0059927959,-0.032805126,0.1693891586,0.2089460784,-0.032797037,0.0556844548,0.4389842713,0.0,2.8166898229,-0.067448666,1.586488364,-0.087782491,42.58974359,3.9955687789,0.077204835,0.0,0.0,0.0,0.0,1.0,0.7098502426,7.0,-0.370731041,-0.115269325,1.2482649934,4.0923363215,0.3490213255,0.367947579,-376.148276,0.0705656844,9.9901238592,0.0004559825,0.0044969537,0.0110855054,-0.207244383,0.0374599732,0.002447053,1.0,0.0025790922,-0.06693712,0.0803571492,3.0,8.0763599395,0.3077716644,0.0,0.1578947306,0.0513315677,0.0507126352,1.4734974022,3.2730137739,2.2039389e-06,3.6379103e-08,1.3511020654,1.8254767913,-0.547698008,0.1021464646,0.2222222294,0.090343385,0.0666666666666666,-0.1176470588235294,0.25,0.1538461538461537,0.1538461538461537,0.1538461538461537,0.0714285714285714,0.0,-0.0625,0.0,-0.2105263157894736,0.25,0.875,0.25,0.3636363636363635,0.5,0.25,0.25,0.1538461538461537,-0.2105263157894736,-0.1666666666666666,0.25,0.0,0.25,0.25,0.1538461538461537,-0.375,-0.3478260869565217,-0.4444444444444444,-0.4827586206896551,-0.4827586206896551,-0.375,-0.4642857142857143,-0.4444444444444444,-0.4444444444444444,-0.4230769230769231,-0.5,-0.5161290322580645,-0.5161290322580645,-0.5588235294117647,-0.5588235294117647,-0.53125,-0.5714285714285714,-0.5833333333333333,-0.6153846153846154,-0.6341463414634146,-0.6428571428571428,-0.7058823529411764,-0.6808510638297872
27991,0.8343394987,0.1029840352,-21.67828913,0.0182732865,2.5791601929,0.9514125239,0.0812671697,-0.004069756,0.1184002219,0.0017469256,-0.038026782,-0.033911082,-1.199549461,0.2265184792,0.0339110821,18.0,-0.000787386,0.0139546793,0.1458668746,-0.081222466,3.0706615143,0.0486485136,0.0127272607,0.1179438389,0.422859415,0.0,0.6729896311,-0.121997992,0.468955588,-0.150158238,19.216591224,8.0863268725,0.0862714983,0.0,0.0,0.0,0.0,0.0,0.3641121713,8.0,0.2612776391,0.0014457632,-185.1758934,-0.140830753,-0.530653401,-37.05889992,474.78480227,0.0125274403,14.574288632,0.0388497137,0.0040951814,0.0143543255,0.0552444267,0.0140222277,0.0240497137,0.0,0.0009815951,7.122938877,0.0186728397,1.0,13.531600529,0.3710450843,0.0,0.0106382975,0.0046021325,0.0130120425,0.6206945725,1.073945342,1.1144265e-09,5.1915087e-08,0.5735418545,0.3289502589,0.508057166,0.0343558722,0.1714150054,0.2185911164,0.0382165605095541,-0.01875,0.0129032258064516,0.0064102564102563,0.0064102564102563,0.0827586206896551,0.0979020979020979,0.1056338028169014,0.1134751773049644,0.0902777777777776,0.0827586206896551,0.1294964028776979,0.2265625,0.4811320754716981,0.4952380952380952,0.6702127659574468,0.8470588235294119,0.9873417721518988,0.8690476190476191,0.8255813953488371,0.8255813953488371,0.6702127659574468,0.8690476190476191,0.9625,0.7640449438202248,0.7444444444444445,1.0128205128205128,0.2170542635658914,0.0827586206896551,0.1984732824427482,0.2265625,0.6185567010309279,0.3893805309734512,0.6185567010309279,0.8045977011494252,0.7640449438202248,2.738095238095238,1.1216216216216215,0.6020408163265305,0.5392156862745099,0.6881720430107527,0.6526315789473685,0.5242718446601942,0.4811320754716981,0.3771929824561404,0.3083333333333333,0.2764227642276422,0.246031746031746,0.2362204724409449
10517,0.8025102085,0.0524736729,-436.5600578,0.0073071137,0.9348807221,2.4852611219,0.0863394148,0.0035055314,1.053834237,0.0007097232,-0.040599195,-0.216219163,-7.146461337,0.4274747475,0.2162191634,10.0,-0.001060724,-0.034482759,0.0096530625,-0.016141876,0.0858593411,0.2578972765,0.0401497547,0.0602880378,0.5276413197,0.0,0.2376023504,-0.770173577,0.1363473095,-0.765787778,1624.1460674,22.860825557,0.4688656563,0.0,0.0,1.0,0.0,0.0,2.3542319749,7.0,0.1814903454,-0.019702374,0.2298387466,-1.212105289,2.5120967504,0.7504158132,-944.0251929,0.1855586529,10.757969368,0.0067532782,0.0155408759,0.0330491271,0.060230724,0.0008078619,0.0522774216,1.0,0.0093239511,1.4953369868,-0.03833333,6.0,8.5026885052,0.087495069,0.0,0.1190476194,0.0562455013,0.052083617,1.7736059454,1.4018526651,1.0692e-05,8.0000001674,0.6057855797,0.3669761686,8.3489120114,0.0532768851,-0.581944745,0.3378238789,0.0410958904109588,-0.4296875,-0.4112903225806451,-0.4065040650406504,-0.4112903225806451,-0.2980769230769231,-0.3113207547169812,-0.3047619047619048,-0.3363636363636363,-0.2980769230769231,-0.3706896551724138,-0.2065217391304348,-0.0135135135135134,-0.0875,-0.1309523809523809,-0.1704545454545454,-0.0987654320987654,-0.1097560975609756,0.123076923076923,0.140625,-0.0394736842105263,-0.0641025641025641,-0.0266666666666666,0.028169014084507,0.0428571428571429,0.028169014084507,0.0895522388059701,0.1774193548387097,-0.0394736842105263,-0.0759493670886075,-0.0759493670886075,-0.1097560975609756,-0.2234042553191489,-0.0266666666666666,-0.0394736842105263,-0.1309523809523809,-0.1309523809523809,-0.1888888888888888,-0.27,-0.3177570093457944,-0.2912621359223301,-0.2551020408163265,-0.2234042553191489,-0.1888888888888888,-0.1309523809523809,-0.0875,-0.1097560975609756,-0.0987654320987654,-0.0875
20482,0.1318224265,0.0487912235,71.903622321,0.0199808786,0.141507531,0.3091902902,0.2614515299,0.1096628025,0.7632642641,0.9659553455,0.1773481389,-0.022701774,-0.120891936,0.054689689,0.0227017735,18.0,0.007338763,0.0530485403,0.1418325484,0.0605896189,0.0182371177,0.1380281218,0.121552145,0.0451622189,0.4723244457,0.0,1.1614478736,-0.104393699,0.8510056395,-0.085998026,30.412902776,6.309817775,0.5016161907,0.0,0.0,0.0,0.0,0.0,1.4740802882,7.0,-0.484783544,-0.062220784,-0.38515788,4.7451766532,0.1596209394,0.0403144098,12852.366208,0.0705656844,16.569204407,0.0006426585,0.0507121263,0.1043585581,0.0082782966,0.0371946833,0.0061806752,1.0,0.0,0.9414752521,0.0005310578,8.0,15.603425982,0.2920401545,0.0,0.0252525248,0.0151500511,0.0213429557,0.3083721506,0.4278886105,4.466788e-10,6.7982676e-08,0.5591239779,0.3126196227,0.5313055577,0.0336858881,0.0058582107,0.090343385,-0.0121951219512195,0.0603448275862068,0.0884955752212388,0.0081967213114753,0.0123456790123457,0.0336134453781513,-0.5384615384615384,-0.5340909090909092,-0.4959016393442623,-0.5166994106090373,-0.5185909980430529,-0.5535390199637024,-0.4663774403470716,-0.4777070063694267,-0.4292343387470998,-0.4331797235023041,-0.4292343387470998,-0.4057971014492754,-0.4014598540145985,-0.3925925925925926,-0.359375,-0.3369272237196765,-0.2931034482758621,-0.3166666666666666,-0.2951289398280802,-0.25,-0.2140575079872204,-0.2312499999999999,-0.2931034482758621,-0.25,-0.5893155258764607,-0.5393258426966292,-0.532319391634981,-0.52046783625731,-0.5269230769230769,-0.5477941176470589,-0.555956678700361,-0.5287356321839081,-0.5176470588235293,-0.5138339920948616,-0.532319391634981,-0.4698275862068966,-0.4810126582278481,-0.4434389140271493,-0.4383561643835616,-0.3985330073349633,-0.3724489795918367,-0.361038961038961,-0.3315217391304348
10656,0.7584863353,0.0877199698,-0.358155524,0.0178727571,0.3672433149,2.1915646428,0.1175969693,0.0691332072,0.3102095158,0.0862569243,0.0469475568,0.0913419532,1.1487223169,-0.013045917,0.0913419532,18.0,0.0976544774,0.0,0.1044636738,0.0060484071,0.0540122774,0.1067767275,0.1133487492,0.0837888623,0.7000511221,0.0,3.2416107383,-0.030084569,1.9371396162,-0.154784241,8.2450104009,6.3538841471,0.2777222777,0.0,0.0,0.0,0.0,0.0,0.4635505637,5.0,0.1656358591,-0.229254789,0.0801899384,-1.67039905,-1.337578929,-0.071970096,-284.8755205,0.0719828384,11.160839973,-0.038339074,-0.045332763,-0.060524764,0.0620216361,0.1947318909,-0.149060234,0.0,-0.063908226,0.3903833295,0.0034122579,2.0,9.3369509962,0.1273475347,0.0,0.0181818176,0.0120690159,0.0161267354,1.0776994268,0.8095520534,4.9411089e-07,1.4461834e-07,0.2668357448,0.0712013147,1.5158737199,0.0393660171,-0.102751788,0.2666293259,-0.1374999999999999,0.1428571428571428,0.25,0.28,0.2307692307692308,0.2307692307692308,0.2307692307692308,0.2307692307692308,0.3559322033898304,0.4285714285714286,0.5238095238095237,0.6842105263157894,0.509433962264151,0.5686274509803921,0.6000000000000001,0.5384615384615385,0.6000000000000001,0.6666666666666667,0.6000000000000001,0.6326530612244898,0.8181818181818181,0.7777777777777777,0.797752808988764,0.927710843373494,0.9047619047619048,0.8604651162790697,0.8604651162790697,0.7391304347826086,0.6666666666666667,0.5384615384615385,0.4035087719298245,0.3793103448275863,0.4285714285714286,0.3559322033898304,0.4035087719298245,0.3559322033898304,0.3333333333333332,0.4414414414414414,0.3675213675213675,0.3333333333333332,0.3559322033898304,0.3333333333333332,0.3114754098360655,0.3114754098360655,0.2903225806451612,0.3223140495867769,0.3333333333333332,0.2903225806451612,0.2903225806451612
