firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48,mom49
65058,0.646776044,0.1340867928,-51.6428748,0.0195524174,7.1693154407,0.8368661861,0.0487419046,0.7987784729,0.0890792431,0.1038845508,0.8812716383,0.0245446583,11.0,0.00464578,0.0,0.3534965856,-0.527086458,0.1447383996,0.6704372784,0.0088513506,0.2104343101,0.7086763941,0.0,1.1224685005,-0.057651552,1.092775931,-0.042928518,6.3406096832,0.1132127022,0.0267058596,0.0,0.0,0.0,0.0,0.0,0.4953049148,3.0,0.3058098939,-0.190638124,-0.009255756,-2.498387602,0.4325287084,0.0914579687,-332.2363043,0.1341260359,12.881978291,0.0003560297,0.0030889165,0.0400520926,0.0361080878,0.0343964896,-0.002393874,0.0,-0.000748719,0.4115145568,-0.004554866,2.0,12.421788681,0.4930323552,0.0,0.025641026,0.0111976925,0.010540527,0.6953488325,1.3229527767,1.1719248e-08,4.0645526e-08,1.8281760748,3.3422277604,0.1317832538,0.0336303494,0.3716297923,-0.03897748,-0.0048309178743961,-0.1153846153846154,0.0454545454545454,0.0197044334975369,-0.0372093023255813,-0.0189573459715639,0.0097560975609756,-0.0881057268722467,-0.2685512367491166,-0.2762237762237762,-0.2445255474452554,-0.2787456445993032,-0.2862068965517241,-0.2607142857142857,-0.1585365853658537,-0.1038961038961039,-0.0095693779904306,0.0298507462686568,-0.0460829493087557,-0.0048076923076922,-0.0416666666666666,0.0454545454545454,0.0197044334975369,0.2321428571428572,0.2857142857142858,0.3184713375796177,0.2857142857142858,0.2321428571428572,0.2034883720930231,0.2034883720930231,-0.0960698689956331,-0.0921052631578946,-0.059090909090909,-0.0675675675675675,0.2937499999999999,0.2699386503067484,0.3441558441558441,0.2545454545454546,0.3184713375796177,0.5220588235294117,0.4577464788732395,0.4785714285714286,0.3708609271523178,0.6046511627906976,0.9714285714285716,1.524390243902439,1.5555555555555554,1.6538461538461535,1.4939759036144578
65307,0.3078517125,0.0515311634,23.375675681,0.0273602676,0.3390660491,0.7984178158,0.1584180386,0.1303931346,0.6249595884,0.1992519336,0.0024078951,0.0503985351,20.0,0.0240957664,0.2857142857,0.3035385501,0.0274896334,-0.008809504,0.1715176715,0.0967261879,0.3153643775,0.4442716959,0.0,3.1108651986,0.3070769971,1.8974389972,0.3545718804,32.11142171,5.026612267,0.2270441051,0.0,0.0,1.0,1.0,0.0,1.4684434852,6.0,-3.953975234,0.1093549825,-0.079151575,-1.13402739,0.740803549,0.0673834883,-364.2439826,0.0266488737,13.936965511,0.0036497255,0.0278298161,0.0584814103,0.0441224706,0.0583260489,0.1584784334,2.0,0.0001134752,0.4344177383,0.006546455,3.0,13.306396593,0.4616102232,0.0,0.0266666673,0.0105413041,0.0214413211,0.6431983702,1.5394761224,5.9016573e-09,4.1373581e-08,0.1816719723,0.0330047055,0.996731148,0.025721263,0.0678578584,-0.072367235,0.0,0.0638297872340425,0.0714285714285714,0.1029411764705883,0.0416666666666667,0.0638297872340425,-0.0066225165562914,-0.0196078431372549,-0.0196078431372549,0.0791366906474819,0.0869565217391303,0.0489510489510489,0.0489510489510489,0.0948905109489051,0.056338028169014,0.1363636363636364,0.0204081632653061,0.0,-0.0259740259740259,0.0416666666666667,0.0714285714285714,0.0489510489510489,-0.2788461538461538,-0.21875,-0.2346938775510204,-0.1978609625668449,-0.1935483870967742,-0.2063492063492064,-0.1758241758241758,-0.1712707182320442,-0.1329479768786127,-0.1758241758241758,-0.1525423728813559,-0.1891891891891891,-0.0131578947368421,-0.0259740259740259,-0.074074074074074,-0.127906976744186,-0.1379310344827586,-0.1573033707865169,-0.1573033707865169,-0.0963855421686746,-0.1017964071856287,-0.0853658536585365,0.0489510489510489,0.0714285714285714,-0.0625,0.0273972602739727,0.171875
79733,0.7779816514,-0.56911315,-0.921551724,0.0,0.4165137615,2.2406116208,-0.00151075,-0.341226472,0.1926060851,-0.014466546,-0.090909091,0.2044036697,11.0,-0.005409143,-0.102672293,-0.047453132,0.12190499,-0.167235357,0.2081911263,-0.045975848,-0.425863236,0.5979147465,0.0,1.7160194175,-0.039009032,1.5781900139,-0.028193939,15.790517241,5.9849697762,-1.053912314,0.0,0.0,0.0,0.0,0.0,0.2507334687,4.0,-0.265075635,-0.34532512,3.0962081821,-1.393872826,-0.490798079,0.1644490995,-251.3323873,0.0876928698,9.4155235979,-0.00345137,0.0088448705,0.0129127039,-0.040530071,0.0646926824,0.0339723631,0.0,-0.006279307,-0.915633173,0.0054945052,3.0,8.0632203792,0.2413765017,0.0,0.0909090936,0.050218968,0.0944096647,1.8473830324,1.6103270273,5.65211e-05,3.6521740125,1.6194930664,2.6227577921,-0.335315932,0.0760624799,-0.332075469,-0.006865585,-0.2333333333333332,0.25,0.1999999999999999,0.25,0.25,0.0714285714285714,0.1538461538461537,-0.0625,-0.0625,-0.0625,-0.25,-0.2682926829268293,-0.2682926829268293,-0.3181818181818182,-0.3478260869565217,-0.375,-0.3478260869565217,-0.25,-0.25,-0.3181818181818182,-0.4117647058823529,-0.3617021276595744,-0.3181818181818182,-0.375,-0.2307692307692307,-0.375,-0.4642857142857143,-0.4642857142857143,-0.5161290322580645,-0.5833333333333333,-0.6808510638297872,-0.7,-0.6808510638297872,-0.6511627906976745,-0.6590909090909092,-0.6666666666666667,-0.6428571428571428,-0.7321428571428572,-0.7222222222222222,-0.7222222222222222,-0.7692307692307692,-0.75,-0.7692307692307692,-0.75,-0.6875,-0.625,-0.4444444444444444,-0.4,-0.3478260869565217
66828,0.3183139863,0.0321294743,253.85212766,0.0025450667,0.6678541873,1.754167281,0.1193079749,-0.463567603,0.4850273268,2.5455773126,-0.630531591,0.1033116418,11.0,0.0334611861,0.2102439024,0.1732010931,1.1597523676,-0.011396682,0.1652401246,0.0943245173,5.5892712316,0.3122405444,0.0,1.0106288132,0.1116018817,0.1738795032,-0.769145396,1404.8808511,159.26049204,0.0655720112,0.0,0.0,1.0,0.0,0.0,8.0313168347,7.0,0.1087421327,0.0394463225,-0.209278623,0.5750460349,-0.732958057,0.0356849259,-246.0152717,0.0778715185,11.608360637,0.0026924048,0.0134603214,0.0424110762,0.0652520708,0.0022588982,0.0137667345,1.0,-0.006,-0.733003999,0.012820513,4.0,11.155446627,0.6176500665,0.0,0.0602409653,0.0292756657,0.033104783,1.3996229838,2.2949368519,2.3353058e-07,3.7578502e-08,1.1879844709,1.4113071031,6.6794859262,0.0760750533,0.0692307856,-0.104216981,0.0,-0.025,-0.3389830508474576,-0.390625,-0.3709677419354839,-0.390625,-0.4468085106382978,-0.4935064935064935,-0.48,-0.417910447761194,-0.3035714285714286,-0.2909090909090909,-0.3389830508474576,-0.1034482758620689,-0.1333333333333333,0.0,-0.5894736842105264,-0.5851063829787234,-0.5185185185185186,-0.5125,-0.543859649122807,-0.5491329479768786,-0.5384615384615384,-0.5063291139240507,-0.35,-0.3389830508474576,-0.0930232558139535,-0.1789473684210526,-0.4468085106382978,-0.4545454545454546,-0.4868421052631578,-0.4347826086956522,-0.3858267716535433,-0.4135338345864662,-0.4428571428571428,-0.5568181818181819,-0.5185185185185186,-0.4834437086092715,-0.5568181818181819,-0.5125,-0.4967741935483871,-0.6176470588235294,-0.625,-0.6722689075630253,-0.6533333333333333,-0.6405529953917051,-0.5958549222797928,-0.5329341317365269,-0.4901960784313726
66852,0.9791224345,-0.368923902,-4.047335455,0.0326665922,2.3644913771,3.2050880918,0.0259610231,-0.124417805,0.254307633,0.0032839265,-0.020574576,-0.042872574,11.0,-0.068085549,-0.042459736,0.0808906196,-0.072213421,-0.092285065,0.2807110796,-0.169793653,-0.302902529,0.4687459394,0.0,3.3841573395,-0.27603126,1.5591628987,-0.026641003,17.670602731,4.9309188848,-0.117356821,0.0,0.0,1.0,1.0,0.0,0.5902250156,3.0,-0.077280166,-0.522139245,0.7406959654,0.666371386,-0.317258545,0.273793358,-201.557044,0.4846769348,11.042833832,0.0020244806,0.0043669095,0.0149125977,0.1846812975,0.0459766245,0.1137791004,1.0,0.0126606628,-0.826930246,0.0306652822,3.0,7.5735312627,0.1024483488,0.0,0.0782608688,0.0442588884,0.0460906205,1.2797448498,0.4418760228,6.965212e-06,8.2173916407,0.4281946623,0.1833506688,1.0178607322,0.0609477242,0.636606416,-0.067595196,0.5121951219512195,0.0249999999999999,0.1388888888888888,0.1388888888888888,0.0789473684210526,0.0249999999999999,-0.1458333333333333,-0.18,-0.196078431372549,-0.196078431372549,-0.2407407407407407,-0.2407407407407407,-0.0681818181818182,-0.2407407407407407,-0.1458333333333333,-0.2678571428571429,-0.3166666666666666,-0.359375,-0.4459459459459459,-0.5,-0.4875,-0.5,-0.3970588235294118,-0.359375,-0.3278688524590164,-0.2931034482758621,-0.2678571428571429,-0.359375,-0.3787878787878788,-0.3278688524590164,-0.3970588235294118,-0.4305555555555556,-0.3492063492063492,-0.3387096774193548,-0.359375,-0.3387096774193548,-0.2115384615384615,-0.2678571428571429,-0.18,-0.1458333333333333,-0.127659574468085,-0.1458333333333333,-0.2678571428571429,-0.3387096774193548,-0.2264150943396226,-0.3166666666666666,-0.0888888888888889,-0.18,-0.2807017543859649
46922,0.5803872327,0.0159322987,15.474824743,0.0321144514,0.6288029886,2.4673609539,0.1133807078,0.0607060886,0.6212553967,-0.023046343,0.2319789802,0.1353582757,20.0,-0.009790125,-0.120920072,-0.006448386,0.0456643256,-0.000757691,0.1194813166,0.0247676021,-0.078143723,0.4794705682,0.0,3.107114953,-0.201938522,0.7767642438,-0.049209628,233.21904269,21.83781617,0.1094162315,0.0,0.0,1.0,1.0,0.0,1.0972072423,3.0,-0.153916168,-0.325414309,0.0756307558,-0.22848568,4.9599955722,0.1228043867,1150.7069118,0.0468705139,14.540703494,0.0003456726,0.0133313411,0.0280998516,0.0356542612,0.00481916,-0.0069602,0.0,0.0096969697,0.2725317113,0.0367034785,5.0,14.538320783,1.0010519114,0.0,0.0303030312,0.0157899993,0.0252539842,0.4060335138,1.6821880387,1.7151937e-09,2.0193469e-08,0.5708025462,0.3258155467,0.4152826784,0.0290550103,0.0873734256,-0.086658557,0.1566265060240963,0.0060606060606061,0.0246913580246914,0.0246913580246914,0.0310559006211179,0.0779220779220779,0.0921052631578946,0.0849673202614378,0.1140939597315435,0.3070866141732282,0.2868217054263566,0.2769230769230768,0.328,0.177304964539007,0.1857142857142857,0.1527777777777776,0.1608391608391608,0.1448275862068966,0.0709677419354839,0.0506329113924051,0.0121951219512195,-0.0292397660818714,-0.1308900523560209,-0.1263157894736841,-0.0978260869565217,-0.0348837209302325,-0.0404624277456647,0.0440251572327043,-0.0059880239520958,-0.0119047619047618,-0.0459770114942529,-0.0059880239520958,0.0060606060606061,-0.0348837209302325,0.1448275862068966,0.0506329113924051,-0.0568181818181817,-0.1122994652406417,-0.0348837209302325,-0.5131964809384164,-0.5146198830409356,-0.5243553008595989,-0.5337078651685394,-0.4969696969696969,-0.4779874213836478,-0.4372881355932203,-0.4134275618374559,-0.3639846743295019,-0.3306451612903226
67193,0.591499125,0.0659018731,-5.063048075,0.0152958714,2.0853302223,1.2614894031,0.0737158698,2.04988421,0.5825535233,0.008826991,5.2268842509,0.1514135718,20.0,0.1997222595,2.6195121951,0.4301821132,-1.167926328,-0.043613312,0.0695601815,0.937567938,0.0897367315,0.3868271685,0.0,1.7750828975,-0.449816275,1.0926571634,-0.615992107,7.5655824367,3.0330615603,0.0915140219,0.0,0.0,1.0,0.0,0.0,0.9141416071,4.0,-0.379441284,2.5188310656,0.1332914263,0.8129261714,1.0329721652,0.0940071559,-492.0527598,0.0295456463,11.68534819,-0.004596153,0.0011340415,0.0017601952,0.3243969149,0.0622903188,0.7494282109,0.0,-0.00257178,-0.953355489,0.0014990009,4.0,9.6459304651,0.1958962447,0.0,0.0714285746,0.0285477579,0.042933928,1.7088224646,2.6608451705,7.2853643e-07,2.7391304882,0.4840161434,0.234271627,-8.812738704,0.0456209367,0.1783919218,0.1537651202,0.0068493150684931,-0.0266666666666666,-0.0875,-0.0987654320987654,-0.0987654320987654,-0.0394736842105263,-0.0068027210884353,-0.0266666666666666,0.0735294117647058,0.1060606060606059,0.1774193548387097,0.0138888888888888,-0.0266666666666666,-0.0266666666666666,0.0138888888888888,0.0735294117647058,0.0735294117647058,0.0977443609022556,0.0,-0.0987654320987654,-0.0394736842105263,0.028169014084507,0.1967213114754098,0.3035714285714286,0.2372881355932203,0.1774193548387097,0.0895522388059701,0.1967213114754098,0.2166666666666665,0.1060606060606059,0.0428571428571429,-0.0394736842105263,-0.446969696969697,-0.4785714285714285,-0.4632352941176471,-0.5379746835443038,-0.5654761904761905,-0.4384615384615384,-0.4296875,-0.4296875,-0.3177570093457944,-0.3363636363636363,-0.3596491228070175,-0.284313725490196,-0.160919540229885,-0.0135135135135134,0.028169014084507,0.0138888888888888,0.0138888888888888
67679,0.0986250261,-0.164094605,37.853343805,0.0,0.7052511559,1.7777744136,-0.09979761,-0.09462486,0.345895426,0.0021122511,-0.003027354,-0.188722181,11.0,-0.172833925,-0.314814815,-0.095722539,-0.298831499,-0.176963569,0.186762226,-0.154836765,-0.453601695,0.5636910233,0.0,1.8950270027,-0.128275934,0.9806480648,0.162465237,172.81784387,5.6665041443,-0.208337845,0.0,0.0,1.0,0.0,0.0,1.4483050847,1.0,15.092193466,-0.545019769,-0.349896329,-2.207401734,0.2395660931,-0.113070738,-1343.517871,0.0297952462,10.572927806,-0.006331295,-0.077593999,-0.559556787,-0.070211535,0.0127967271,0.0164518061,0.0,0.0032887756,0.848321041,-0.016540404,0.0,9.729268085,0.4584649321,0.0,0.048780486,0.0280173386,0.0340608362,1.3065142901,2.4828227084,7.5112509e-07,0.9130435207,1.9772934639,3.9096894423,-0.43362737,0.1160104807,0.5558213889,-0.072367235,0.0606060606060605,0.0476190476190476,0.0,0.0,0.0,-0.0704225352112676,-0.131578947368421,-0.2666666666666667,-0.2826086956521739,-0.3529411764705882,-0.4,-0.2666666666666667,-0.175,-0.25,-0.2142857142857143,-0.175,-0.4499999999999999,-0.326530612244898,-0.4590163934426229,-0.467741935483871,-0.5925925925925926,-0.6162790697674418,-0.5875,-0.625,-0.2666666666666667,-0.4,-0.326530612244898,-0.25,-0.7884615384615384,-0.75,-0.8081395348837209,-0.8333333333333334,-0.9006024096385542,-0.85,-0.7555555555555555,-0.7843137254901961,-0.7380952380952381,-0.7676056338028169,-0.6162790697674418,-0.5769230769230769,-0.4923076923076923,-0.4210526315789473,-0.4,-0.131578947368421,-0.0833333333333333,-0.1538461538461538,0.32,0.32,0.2692307692307691
67732,0.3707464346,0.0685656575,12.350802612,0.0077210893,0.2729509392,1.3260150995,0.1157689495,0.1667522222,0.6468267906,1.3602941176,0.0894163841,0.03663791,19.0,0.0636175466,0.15,0.2105513825,-0.212641106,0.1074227435,0.1838586437,0.088833653,0.2310928529,0.5225548686,0.0,2.0214244354,-0.037124357,1.3474956572,-0.047481591,41.281206497,5.8693013129,0.3496483585,0.0,0.0,0.0,0.0,0.0,1.1693229064,6.0,0.0460730738,0.1138705925,-0.02788175,-0.353704805,0.4222767195,0.019427477,-218.4374621,0.0635824783,10.974111805,0.0116544547,0.0357094334,0.0508381689,0.067550737,0.0123459409,-0.024399641,1.0,0.00174359,1.1941164284,0.0375145199,2.0,9.6367838865,0.338423139,0.0,0.0810810775,0.0333170274,0.0507772253,0.9130794638,1.4220485278,5.608768e-07,4.6725246e-08,1.4429976818,2.0822423096,0.6636331061,0.0875618869,0.0010098259,-0.137204025,-0.1818181818181817,-0.0128205128205127,0.1,0.1492537313432835,0.0266666666666666,-0.0833333333333333,-0.3362068965517241,-0.3937007874015747,-0.4338235294117647,-0.5470588235294118,-0.125,-0.1538461538461538,-0.2142857142857143,-0.0128205128205127,0.013157894736842,0.0405405405405405,0.0405405405405405,0.013157894736842,-0.0374999999999999,-0.072289156626506,-0.1894736842105263,-0.3245614035087719,0.0266666666666666,0.375,0.6041666666666667,0.8780487804878048,0.8333333333333333,0.711111111111111,0.6382978723404256,0.6382978723404256,0.673913043478261,0.711111111111111,0.6382978723404256,1.6551724137931036,1.2000000000000002,1.3333333333333337,1.2647058823529411,1.1388888888888888,1.40625,1.4838709677419355,0.8780487804878048,1.0810810810810811,1.6551724137931036,1.6551724137931036,2.208333333333333,1.9615384615384617,1.2647058823529411,2.347826086956522,1.851851851851852
67970,0.3570969342,0.1168280093,-218.4910714,0.0106173883,1.958632598,2.3482797259,0.0808866729,0.4713752677,0.4821937165,0.0072529465,0.5133700466,0.1897169309,16.0,0.1214979989,0.3374233129,0.3224438284,-0.489159225,0.0538243675,0.1252194733,0.2356876339,0.50580945,0.386132257,0.0,1.3048997413,-0.304538865,0.5296733506,-0.217176177,1141.4107143,5.3867352098,0.1072723371,0.0,0.0,1.0,0.0,0.0,2.8737412858,6.0,0.0131591951,0.2095869118,-0.16289957,-0.148530307,-0.973696812,0.1195860319,-387.1189253,0.0480605867,10.276808185,0.0060494999,-0.000397688,-0.002097693,0.3349436985,0.0008402983,-0.021913119,0.0,0.0255699039,-0.354898114,-0.075498577,4.0,9.0499075004,0.7240944087,0.0,0.1000000015,0.0352887381,0.035495432,1.8258588502,16.891817602,2.5542665e-06,3.6521739287,0.9367860859,0.8775681707,0.3284630812,0.0574125552,-0.684097036,0.0015918395,0.1886792452830188,0.0816326530612245,0.06,0.2926829268292683,0.5588235294117647,0.2619047619047618,0.5142857142857142,0.2183908045977012,0.3417721518987342,0.3417721518987342,0.4929577464788732,0.7096774193548387,0.8596491228070176,0.962962962962963,0.8275862068965518,0.7096774193548387,0.8596491228070176,0.962962962962963,0.65625,1.0384615384615383,1.3043478260869563,1.0384615384615383,0.6825396825396826,0.8928571428571428,0.65625,0.65625,0.7377049180327868,0.65625,0.65625,0.3249999999999999,0.4324324324324324,0.65625,1.0384615384615383,1.4090909090909092,1.2795698924731185,1.4651162790697674,1.4651162790697674,1.3555555555555556,2.212121212121212,3.0769230769230766,2.533333333333333,2.533333333333333,2.419354838709677,2.0285714285714285,1.789473684210526,1.65,1.65,1.717948717948718,1.5238095238095235
