firms,age,agr,cashdebt,chatoia,chcsho,chempia,chpmia,depr,egr,grltnoa,herf,hire,invest,lgr,mve_ia,pchdepr,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,6.0,-0.1022670079136459,0.0544973071166319,1.0126046690764916,0.0167784290408902,-3.0683698864518,0.7921798008240173,0.2589292880648527,-0.0356373315306941,-0.0857371794871787,2.2194728651176312e-08,-0.3650412087912087,-0.0727220157844575,-0.1615945437441204,0.1234106445586225,0.3885810181134252,0.1269110353010389,0.0630532158414783,0.0121269587783212,1.7005844662047365,-0.0434782608695653,0.0,-0.1153846153846154,-0.1481481481481481,-0.2068965517241378,-0.2333333333333332,-0.28125,-0.3235294117647059,-0.3428571428571427,-0.303030303030303,-0.28125,-0.28125,-0.0416666666666666,-0.0416666666666666,-0.0416666666666666,-0.0416666666666666,0.0,0.1499999999999999,0.3529411764705881,0.3529411764705881,0.7692307692307692,0.6428571428571428,0.6428571428571428,0.7692307692307692,0.7692307692307692,2.2857142857142856,1.2999999999999998,1.5555555555555558,1.2999999999999998,1.0909090909090908,1.0909090909090908,0.9166666666666669,1.875,1.5555555555555558,1.2999999999999998,1.5555555555555558,2.2857142857142856,1.0909090909090908,0.6428571428571428,0.6428571428571428,0.7692307692307692,0.7692307692307692,0.6428571428571428,0.6428571428571428,0.5333333333333334,0.4375,0.3529411764705881,0.4375,0.3529411764705881
BAMD_17-L^J98,6.0,0.114155527586152,0.0872577926392023,0.3981485355000497,0.0006188118811881,0.4741288660208786,-0.4254402778334306,0.0570751182864121,0.0406553481882606,-0.0140287205951505,6.083084485043033e-08,0.0564066852367687,0.0357863208373827,0.1784353713017838,0.6062056144720184,0.0285345364211516,-0.4434698757580682,-0.0012169074092176,0.1438236696872656,0.9017328144293434,-0.0847457627118644,0.0727272727272727,0.120253164556962,0.0535714285714286,-0.0274725274725274,0.0,0.0792682926829269,0.1493506493506493,-0.1280788177339901,-0.1767441860465115,-0.2202643171806168,-0.2594142259414226,-0.2168141592920353,-0.1571428571428571,-0.1280788177339901,-0.096938775510204,-0.0380434782608696,-0.0380434782608696,-0.106060606060606,-0.1237623762376237,-0.0220994475138122,0.0231213872832369,0.1419354838709676,0.1419354838709676,0.195945945945946,0.4047619047619046,0.3615384615384616,0.7019230769230769,0.6388888888888888,0.4047619047619046,0.3111111111111111,0.1419354838709676,0.195945945945946,0.4047619047619046,0.1644736842105263,0.1132075471698113,0.2123287671232876,0.2919708029197079,0.1132075471698113,0.0172413793103447,0.0056818181818181,-0.0732984293193717,0.0925925925925925,-0.1531100478468898,-0.1954545454545455,-0.1917808219178082,-0.1611374407582937,0.0172413793103447,0.0858895705521474
BBEK_99-L^L95,6.0,-0.2054543942795377,-0.5900145017609282,1.1066543335230064,-1.3511792794096368e-05,-0.9440827083454166,-7.821858091789783,0.1680799515445185,-0.5946219167003639,-0.2900430894685531,3.5862200617813107e-06,-0.1123166716551931,-0.0096449654943045,0.0651739874500854,1.7432370300159818,0.4007702084192525,0.0933466727071377,-0.1077162242499198,-0.0267290848686198,1.7005844662047365,-0.0090909090909091,-0.0677966101694914,-0.0517241379310343,-0.009009009009009,-0.2715231788079469,-0.1911764705882352,-0.1666666666666666,-0.2028985507246375,-0.2857142857142857,-0.140625,-0.1338582677165354,-0.2086330935251797,-0.1791044776119402,-0.2028985507246375,-0.3081761006289307,-0.3373493975903613,-0.3854748603351955,-0.3641618497109826,-0.3785310734463276,-0.3209876543209876,-0.3292682926829268,-0.4554455445544554,-0.519650655021834,-0.4977168949771688,-0.5510204081632653,-0.4977168949771688,-0.5132743362831858,-0.4179894179894179,-0.3641618497109826,-0.3956043956043955,-0.4859813084112149,-0.696969696969697,-0.7179487179487178,-0.6625766871165644,-0.7201017811704835,-0.7157622739018088,-0.6625766871165644,-0.7120418848167539,-0.759825327510917,-0.7639484978540773,-0.779559118236473,-0.7782258064516129,-0.7755102040816326,-0.7764227642276422,-0.7708333333333333,-0.7639484978540773,-0.7447795823665893,-0.7082228116710876,-0.7018970189701896
BBIO_50-L^J00,6.0,0.4066850696111376,0.1557602893060099,0.978866791025184,0.0028901734104046,1.5390949242146397,0.4001825714500488,0.1279791997688863,0.2197651364953483,-0.045331006108961,1.3170289935421482e-05,0.1831047404227455,0.1376620259241479,0.7208621295537072,4.426015799801776,0.0869333300219701,-0.0933343223062847,0.2214804925085298,0.2214804925085298,1.6047768906439062,-0.0606060606060605,-0.0616113744075829,-0.0294117647058823,-0.0434782608695651,-0.0660377358490567,-0.0571428571428571,0.0531914893617022,0.0,-0.0571428571428571,0.0879120879120878,0.0939226519337015,-0.0294117647058823,0.1123595505617978,0.1927710843373493,0.2298136645962731,0.2692307692307691,0.1927710843373493,0.1999999999999999,0.3026315789473683,0.2611464968152865,0.2147239263803682,0.2692307692307691,0.2531645569620253,0.2531645569620253,0.3112582781456954,0.4558823529411764,0.4558823529411764,0.523076923076923,0.7217391304347827,0.488721804511278,0.6638655462184875,0.3655172413793104,0.488721804511278,0.736842105263158,0.752212389380531,0.8333333333333333,0.98,1.0412371134020617,0.7678571428571426,0.5714285714285714,0.523076923076923,0.7068965517241381,0.7068965517241381,0.6779661016949152,0.596774193548387,0.5590551181102361,0.6097560975609757,0.8679245283018866,0.7837837837837835
BBOU_00-L,6.0,-0.0230702082553934,0.1965811965811965,0.34783353395209,0.0004957858205255,0.1802090818322985,1.2994376666745155,0.0790358744394618,0.0584607133279699,-0.0076957042831002,2.583945197901269e-05,0.0214393125671322,0.0225713929417633,-0.0971059555130351,19.64982945907096,-0.0120515695067264,-0.0136520808483052,0.0061064262867112,0.0061064262867112,0.6446833467827628,-0.0652591170825335,-0.0038240917782027,-0.0405156537753222,-0.0057251908396946,-0.0762411347517729,0.0096899224806201,0.0276134122287967,-0.0457875457875457,-0.0629496402877697,-0.0369685767097967,-0.1345514950166112,-0.1472995090016366,-0.057866184448463,-0.0527272727272727,0.0378486055776894,0.0632653061224488,-0.1154499151103565,-0.033395176252319,-0.0544464609800362,-0.0422794117647059,-0.0646319569120288,-0.095486111111111,-0.0019157088122604,-0.0206766917293234,-0.1273031825795644,-0.1934984520123839,-0.1569579288025889,-0.1623794212218648,-0.1374172185430463,-0.1730158730158729,-0.1743264659270997,-0.2535816618911175,-0.2588904694167853,-0.1846635367762128,-0.2371888726207907,-0.2129909365558913,-0.1139455782312924,-0.0907504363001745,-0.1402640264026402,-0.1287625418060201,-0.1243697478991596,-0.0843585237258348,-0.0713012477718361,-0.0713012477718361,-0.0076190476190476,0.0057915057915058,0.1180257510729614,0.1894977168949772,0.184090909090909
BBQS_26-L^G99,6.0,-0.0037089201877934,0.1395348837209302,1.495798123342558,0.0001440299582313,-0.5398858016446113,0.0716374761418831,0.1034904250984653,0.0352848101265822,-0.0285035629453625,3.919913364067507e-05,-0.0642297287923978,0.038356807511737,-0.01883415051755,2.8121771864770024,-0.116360384519361,-0.1287398980260669,-0.1042139590081546,-0.0725773106134795,0.823458553162254,-0.0223463687150837,0.1049382716049383,0.0718562874251498,0.0346820809248555,0.0,0.0529411764705882,0.1699346405228758,0.1118012422360248,0.0591715976331361,0.0591715976331361,0.0228571428571429,0.0,0.1257861635220125,0.1623376623376622,0.0914634146341464,0.1329113924050633,0.0591715976331361,0.2094594594594594,0.2430555555555555,0.1933333333333333,0.1401273885350318,0.1187499999999999,0.1118012422360248,0.2344827586206896,0.3458646616541352,0.52991452991453,0.6886792452830188,1.1058823529411763,0.79,0.4094488188976377,0.1257861635220125,0.0,-0.0867346938775509,0.098159509202454,0.1623376623376622,0.0783132530120482,0.0718562874251498,0.0718562874251498,-0.0913705583756344,-0.1751152073732718,-0.2366737739872069,-0.2334047109207708,-0.1352657004830917,-0.2463157894736841,-0.2723577235772357,-0.2723577235772357,-0.184510250569476,0.081570996978852,-0.2572614107883817
BBTU_63-L^C18,6.0,-0.0299420009666505,-0.1161283965215677,0.9053504462877782,0.0008605851979345,0.0242604053744121,-1.6592749824510364,0.0335692519414135,-0.1200092421441774,0.0021098857962974,4.1043418007321566e-05,0.0028862386320317,0.0537699371677139,0.0739283707147601,4.518082873098822,-0.1305657254839466,0.0427942200883579,-0.1266190326263506,0.0265059673736492,1.7005844662047365,-0.0193704600484261,0.0897097625329814,0.1408839779005524,0.1253405994550409,0.0248138957816377,-0.0048192771084338,0.1072386058981234,0.0508905852417302,-0.0801781737193764,-0.1194029850746269,-0.1901960784313725,-0.1605691056910568,0.0535714285714286,0.1346153846153845,-0.0048192771084338,-0.0903083700440529,-0.1519507186858316,-0.0982532751091703,-0.0942982456140349,-0.0439814814814816,0.0508905852417302,-0.0282352941176471,-0.1212765957446808,-0.1805555555555555,-0.0634920634920636,-0.1175213675213674,-0.0166666666666667,-0.0048192771084338,0.1971014492753622,-0.0327868852459015,-0.1690140845070422,-0.2716049382716049,-0.3207236842105263,-0.1917808219178083,-0.2624999999999999,-0.1854043392504931,-0.2624999999999999,-0.2741652021089631,-0.3150912106135987,-0.3392,-0.386329866270431,-0.3413078149920254,-0.2531645569620253,-0.3262642740619902,-0.3694656488549618,-0.3826606875934231,-0.3338709677419355,-0.220754716981132,-0.2716049382716049
BBVN_02-L^I99,6.0,-0.2393984220907298,-0.5211337642963699,0.9133510651222636,-9.384280369784982e-05,-1.4088511540609183,-10.573134080962074,0.2511415525114155,-1.0881612090680102,-0.3668953928021252,3.394974532496904e-07,-0.1676097560975609,-0.2583826429980275,0.123548046462513,0.7202524512922616,0.9954648526077096,0.0743217840527967,-0.130995420056906,-0.0466346153846153,1.7005844662047365,0.0109890109890109,0.0963855421686747,0.058139534883721,0.058139534883721,-0.0421052631578946,0.058139534883721,0.1234567901234566,0.0,-0.0108695652173913,-0.2890625,-0.3259259259259259,-0.3680555555555554,-0.2540983606557376,-0.2945736434108527,-0.3724137931034482,-0.3405797101449275,-0.5472636815920398,-0.4739884393063583,-0.4240506329113924,-0.4709302325581395,-0.4858757062146892,-0.4739884393063583,-0.5309278350515463,-0.5844748858447488,-0.59375,-0.5517241379310345,-0.510752688172043,-0.4829545454545454,-0.4678362573099415,-0.4518072289156626,-0.5404040404040404,-0.6459143968871595,-0.6666666666666666,-0.631578947368421,-0.6374501992031871,-0.6539923954372624,-0.6513409961685823,-0.6417322834645669,-0.65,-0.6208333333333333,-0.636,-0.6300813008130082,-0.5806451612903225,-0.5973451327433628,-0.5825688073394495,-0.5666666666666667,-0.5560975609756097,-0.510752688172043,-0.5919282511210762
BBXK_89-L^E06,6.0,0.1012644732072415,0.4032167042889391,1.0284783569652594,0.0003586800573888,0.0054159432003783,0.112260219055808,0.0440330813465141,0.126878073596744,0.0112235267852593,9.235192601762607e-05,0.0006443298969072,0.0531377273599591,0.0571163222660785,24.96521375680926,0.0345284362235151,0.0689985598350399,0.0241734811789178,0.0992135511191771,0.8005864609147859,-0.027659574468085,-0.0063424947145878,-0.0427698574338085,-0.0021231422505307,-0.0748031496062991,-0.0543259557344063,-0.0021231422505307,0.0467706013363029,-0.0926640926640925,-0.0228690228690227,-0.0599999999999999,-0.0873786407766991,-0.1231343283582089,-0.1081593927893737,-0.0126050420168066,0.0307017543859651,0.0375275938189845,0.0981308411214954,0.1352657004830919,0.1959287531806615,0.1519607843137256,0.1576354679802958,0.1959287531806615,0.2500000000000002,0.2082262210796914,0.1691542288557215,0.2303664921465968,0.2082262210796914,0.3352272727272727,0.2634408602150537,0.2176165803108809,0.1868686868686868,0.1779448621553885,0.3905325443786982,0.2433862433862434,0.3390313390313391,0.4242424242424243,0.4373088685015291,0.3823529411764708,0.4329268292682928,0.3583815028901735,0.3988095238095239,0.637630662020906,0.5824915824915824,0.5562913907284768,0.6785714285714288,0.6319444444444446,0.7602996254681649,0.7870722433460078
BCPS_48-L^C06,6.0,0.0143196239353367,0.1130023640661938,0.718265207142989,0.0016611295681063,1.5773286028778266,-0.6641652431264333,0.0447022572889189,-0.0090591787913251,0.0419911119326368,7.743311691274368e-05,0.1876533668244613,0.0961726422266006,0.027534418022528,8.079617399234868,0.018729645450107,0.0490570777275312,0.0827279795770098,0.0423947093630352,0.7501949907472089,-0.0508196721311474,0.0049423393739702,-0.0438871473354232,-0.0048939641109299,-0.1042584434654919,-0.0715372907153729,-0.0468750000000001,-0.0208667736757626,-0.1396332863187588,-0.1197691197691197,-0.1029411764705883,-0.1347517730496454,-0.0557275541795666,-0.0271132376395534,0.0796460176991149,0.0971223021582734,-0.0586419753086421,-0.0827067669172932,-0.0129449838187701,0.0252100840336133,0.0796460176991149,0.0645724258289701,0.085409252669039,0.0990990990990989,0.2103174603174602,0.2423625254582484,0.3495575221238938,0.5641025641025641,0.9062499999999998,0.8047337278106508,0.4593301435406698,0.200787401574803,0.2079207920792078,0.469879518072289,0.6576086956521738,0.3990825688073391,0.4252336448598128,0.4489311163895486,0.2127236580516898,0.1730769230769229,0.1090909090909091,0.0912343470483005,0.16412213740458,0.1596958174904943,0.0873440285204989,0.0701754385964912,0.0777385159010599,0.2896405919661731,0.2079207920792078
