firms,absacc,acc,age,agr,chpmia,currat,egr,herf,invest,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.028601458738096,0.028601458738096,4.0,-0.0482998694598122,-3.018831079243086,0.9838182131175762,-0.0264927654371306,8.41608218467183e-06,0.0237458817678872,0.8866497717305466,0.1687570330042822,-0.0539200804094252,0.5336225607909503,0.0708795376557703,4.776595744680851,0.4663453262179377,0.0623081090843417,0.2551440329218106,-0.1620689655172412,-0.2936046511627906,-0.352,-0.3305785123966941,-0.1258992805755394,-0.2236421725239615,-0.1706484641638225,-0.1620689655172412,-0.1818181818181817,-0.3231197771587742,-0.2852941176470588,-0.2767857142857142,-0.0760456273764257,-0.1290322580645161,-0.5130260521042085,-0.6232558139534883,-0.6273006134969324,-0.6273006134969324,-0.5130260521042085,-0.525390625,-0.589527027027027,-0.4705882352941176,-0.5,-0.6383928571428571,-0.6553191489361702,-0.6876606683804627,-0.8057553956834532,-0.7547931382441978,-0.7724719101123595,-0.7937181663837012,-0.8097102584181676,-0.8227571115973742,-0.8136503067484662,-0.8136503067484662,-0.8446291560102301,-0.8631756756756757,-0.8595375722543352,-0.8405511811023622,-0.8260558339298497,-0.8277817150956768,-0.8277817150956768,-0.8209285187914517,-0.8191964285714286,-0.7838078291814947,-0.7864674868189807,-0.824421965317919,-0.807753164556962,-0.8154897494305239
BALZ_07-L^I10,0.0537624942980385,-0.0537624942980385,4.0,-0.1968686868686869,3.629122808609755,2.131091300646066,-0.124014644282463,3.275768191308285e-08,-0.0338816738816738,1.930359050723232,-0.0080445412319163,-0.0675567182806562,-0.3205582539450917,-0.0862935925358285,-2.319751381215469,1.5559673461211,-0.4893784786641929,-0.1,-0.0909090909090908,-0.0909090909090908,-0.1666666666666666,0.25,0.1111111111111111,0.0,0.1111111111111111,0.4285714285714286,-0.0909090909090908,-0.2857142857142857,-0.2857142857142857,-0.2307692307692307,-0.2307692307692307,-0.2857142857142857,-0.2857142857142857,-0.3333333333333332,-0.375,-0.4117647058823529,-0.375,-0.4117647058823529,-0.5238095238095237,-0.5833333333333333,-0.6,-0.6551724137931034,-0.6666666666666666,-0.696969696969697,-0.7222222222222222,-0.7058823529411764,-0.736842105263158,-0.7222222222222222,-0.7297297297297297,-0.7058823529411764,-0.7142857142857142,-0.696969696969697,-0.7297297297297297,-0.7142857142857142,-0.736842105263158,-0.75,-0.75,-0.7872340425531914,-0.8214285714285714,-0.8305084745762712,-0.84375,-0.8245614035087719,-0.8275862068965517,-0.8333333333333333,-0.8113207547169812,-0.8148148148148149
BBEK_99-L^L95,0.0818751003371326,0.0818751003371326,3.0,0.1508977900552485,8.243720291209279,1.1534737351730815,0.0752351097178683,4.05790882656116e-06,0.0776933701657458,0.440709868614447,-0.0477785481850653,-0.0264468769016489,-0.1300932967782724,-0.0482182584959831,0.7112970711297063,0.8585088356330185,0.0526632302405497,0.0924855491329479,-0.0494505494505495,-0.191588785046729,-0.5234159779614325,-0.5564102564102564,-0.4693251533742331,-0.5597964376590331,-0.5529715762273901,-0.4693251533742331,-0.5471204188481675,-0.6222707423580787,-0.6287553648068669,-0.6533066132264529,-0.6512096774193548,-0.6469387755102041,-0.6483739837398375,-0.6395833333333334,-0.6287553648068669,-0.5986078886310904,-0.5411140583554377,-0.5311653116531165,-0.5483028720626633,-0.5,-0.5126760563380282,-0.486646884272997,-0.5435356200527705,-0.5324324324324324,-0.5386666666666666,-0.4709480122324159,-0.4835820895522388,-0.4593750000000001,-0.4757575757575757,-0.4941520467836257,-0.4970930232558139,-0.4627329192546584,-0.4455128205128205,-0.5167597765363129,-0.4881656804733727,-0.4194630872483221,-0.4115646258503401,-0.4252491694352159,-0.4075342465753424,-0.3821428571428571,-0.3446969696969697,-0.237885462555066,-0.2412280701754385,-0.3107569721115537,-0.2880658436213992,-0.2311111111111111
BBIO_50-L^J00,0.0180239324400942,0.0180239324400942,3.0,-0.0069584869751397,5.988966405183232,1.3763379204892965,-0.0258785472724599,1.0019806923390386e-05,-0.0113001070536457,2.76694611705611,0.046633943134332,0.1434944809870935,-0.0797753595434988,-0.0562689932359572,0.8228882833787451,0.8205275229357798,-0.0562689932359572,0.1304347826086958,-0.1353383458646617,-0.0336134453781512,-0.206896551724138,-0.1353383458646617,0.0087719298245614,0.0176991150442478,0.0648148148148146,0.1499999999999999,0.1855670103092783,0.0267857142857141,-0.0873015873015873,-0.1153846153846155,-0.0086206896551723,-0.0086206896551723,-0.0254237288135593,-0.0725806451612903,-0.094488188976378,-0.065040650406504,0.0849056603773583,0.0360360360360358,0.0360360360360358,0.1616161616161615,0.0849056603773583,-0.0086206896551723,-0.094488188976378,-0.1666666666666666,-0.1221374045801527,-0.1153846153846155,-0.1287878787878789,-0.1085271317829458,-0.206896551724138,-0.2281879194630872,-0.1481481481481482,-0.1153846153846155,-0.2123287671232877,-0.2532467532467533,-0.217687074829932,-0.1353383458646617,-0.1287878787878789,-0.1153846153846155,-0.065040650406504,-0.0416666666666667,-0.0336134453781512,0.1499999999999999,0.1057692307692306,0.0267857142857141,0.1165048543689319,0.1165048543689319
BBNH_32-L^L97,0.0266307277628032,-0.0266307277628032,6.0,0.0191575051703494,-0.8204987909825129,1.4883720930232558,0.0988269794721407,0.0001692387268168,-0.0018504408403178,2.3511745615786284,0.097602585974679,0.1377474744896183,-0.1984157922846474,-0.0954503886602652,-0.3958333333333333,0.9044397463002114,-0.0954503886602652,0.0360824742268039,-0.0805687203791468,-0.1472527472527472,-0.2421875,-0.1999999999999999,-0.1241534988713317,-0.1528384279475982,-0.1709401709401709,-0.1201814058956917,-0.0559610705596108,-0.0892018779342722,-0.0673076923076924,-0.0761904761904762,-0.0127226463104326,0.0486486486486485,0.0104166666666667,-0.044334975369458,-0.0324189526184538,0.0601092896174861,0.1722054380664652,0.1479289940828403,0.2890365448504983,0.4057971014492754,0.4370370370370369,0.3906810035842294,0.1793313069908815,0.1901840490797546,0.2201257861635219,0.4212454212454213,0.3287671232876712,0.3857142857142857,0.276315789473684,0.2356687898089171,0.3614035087719298,0.5038759689922481,0.3425605536332179,0.2278481012658226,0.3020134228187918,0.4057971014492754,0.4477611940298507,0.3519163763066202,0.4160583941605837,0.5038759689922481,0.515625,0.8046511627906976,0.732142857142857,0.7244444444444444,0.596707818930041,0.5901639344262295
BBOU_00-L,0.0362195812110922,-0.0362195812110922,3.0,0.1466970387243735,1.2324133843645089,1.562439024390244,0.0202762268586541,2.339390676936117e-05,0.1138952164009111,-10.860773442265977,0.0064791261409546,0.008009228740936,-0.1320960067478173,0.1707122960604854,-0.4025157232704403,0.7521951219512195,0.1707122960604854,0.0298013245033113,-0.0412698412698412,-0.0427892234548334,-0.1346704871060172,-0.1408250355618776,-0.0547730829420969,-0.1156661786237188,-0.0876132930513595,0.0272108843537415,0.0541012216404885,-0.0033003300330032,0.0100334448160535,0.015126050420168,0.0615114235500877,0.0766488413547237,0.0766488413547237,0.1504761904761904,0.1660231660231661,0.296137339055794,0.3789954337899544,0.3727272727272726,0.4112149532710278,0.4767726161369194,0.5408163265306123,0.4660194174757281,0.2933618843683083,0.3159041394335513,0.3452115812917593,0.5607235142118863,0.5567010309278351,0.5978835978835979,0.5688311688311689,0.521410579345088,0.6063829787234043,0.7507246376811594,0.8414634146341464,0.7558139534883721,0.9297124600638976,1.0684931506849318,1.141843971631206,1.2453531598513012,1.3873517786561265,1.6260869565217395,1.6844444444444444,2.1295336787564767,2.1789473684210527,2.065989847715736,2.247311827956989,2.4318181818181817
BBQS_26-L^G99,0.0273847558192606,0.0273847558192606,3.0,0.0644492603410912,1.3264156838754777,1.9102374882597613,0.5096315691041705,5.860778196695071e-05,-0.0281729953830208,2.086974421616845,0.4550423174351988,0.7559829327762504,0.1889453053993007,-0.016628473466662,0.4858299595141711,1.1642291694619618,0.1047162649459101,-0.15,-0.2125984251968504,-0.3710691823899371,-0.441340782122905,-0.4897959183673469,-0.3865030674846625,-0.3506493506493506,-0.3975903614457831,-0.4011976047904191,-0.4011976047904191,-0.4923857868020305,-0.5391705069124424,-0.5735607675906184,-0.5717344753747323,-0.5169082125603864,-0.5789473684210527,-0.5934959349593496,-0.5934959349593496,-0.5444191343963554,-0.3957703927492447,-0.5850622406639004,-0.5901639344262295,-0.6015936254980079,-0.5867768595041323,-0.6078431372549019,-0.6383363471971066,-0.6396396396396395,-0.6153846153846154,-0.5680345572354212,-0.5485327313769751,-0.6101364522417154,-0.6226415094339622,-0.6472663139329806,-0.6197718631178707,-0.6330275229357798,-0.6592844974446337,-0.6721311475409836,-0.6396396396396395,-0.6254681647940075,-0.6254681647940075,-0.6226415094339622,-0.6254681647940075,-0.6316758747697975,-0.6309963099630996,-0.5753715498938429,-0.6031746031746033,-0.6190476190476191,-0.6138996138996139,-0.6078431372549019
BBTU_63-L^C18,0.0208163391741613,0.0208163391741613,3.0,0.0639998295042837,4.435972037611875,1.7808687164470474,0.1444101247543022,3.873555725465462e-05,0.0032181066450705,2.060598425691593,0.2509604387640133,0.343948334361398,-0.1990026179961254,-0.0375642581141858,0.6562500000000003,1.4649422482511794,-0.0038942244441521,0.2028985507246377,-0.1920374707259952,-0.305835010060362,-0.3915343915343915,-0.4325657894736842,-0.324853228962818,-0.3839285714285714,-0.3195266272189349,-0.3839285714285714,-0.3936731107205624,-0.4278606965174129,-0.4479999999999999,-0.487369985141159,-0.4497607655502391,-0.376130198915009,-0.4371941272430668,-0.4732824427480916,-0.4843049327354259,-0.4435483870967741,-0.3490566037735848,-0.3915343915343915,-0.4334975369458127,-0.4371941272430668,-0.3817204301075269,-0.4692307692307692,-0.5337837837837838,-0.551948051948052,-0.5306122448979591,-0.4306930693069306,-0.4963503649635036,-0.4888888888888888,-0.5306122448979591,-0.5610687022900763,-0.5140845070422535,-0.4692307692307692,-0.5466491458607096,-0.55078125,-0.5448548812664907,-0.4858420268256334,-0.4835329341317365,-0.4667697063369397,-0.4523809523809523,-0.4390243902439025,-0.3989547038327525,-0.3099999999999999,-0.2959183673469387,-0.3441064638783269,-0.3313953488372093,-0.2973523421588594
BBVN_02-L^I99,0.0158986461309154,-0.0158986461309154,4.0,-0.0396883369856343,8.650152869310881,1.3856635071090049,-0.1551601423487544,4.283529608704841e-07,0.0725590455320185,-5.998550989474413,-0.2226511198823732,-0.2887801560137094,0.135222999241884,-0.0719730609158999,-0.6037735849056605,0.98281990521327,0.0782773564463706,0.0292397660818712,0.0301204819277107,-0.1363636363636363,-0.3346303501945524,-0.3736263736263736,-0.3076923076923077,-0.3187250996015935,-0.3498098859315589,-0.3448275862068966,-0.326771653543307,-0.3423076923076923,-0.2875,-0.316,-0.3048780487804878,-0.2119815668202764,-0.243362831858407,-0.2155963302752294,-0.1857142857142857,-0.1658536585365853,-0.0806451612903226,-0.2331838565022421,-0.1658536585365853,-0.0999999999999999,-0.0604395604395604,-0.0604395604395604,-0.1617647058823529,-0.1658536585365853,-0.0706521739130435,-0.1139896373056994,-0.1363636363636363,-0.0904255319148935,-0.0806451612903226,-0.1363636363636363,-0.1492537313432834,-0.0706521739130435,-0.2119815668202764,-0.2083333333333333,-0.1857142857142857,-0.0952380952380952,-0.0806451612903226,-0.0806451612903226,-0.0855614973262033,-0.131979695431472,-0.1363636363636363,-0.0172413793103448,-0.0338983050847457,-0.0952380952380952,-0.0756756756756757,-0.145
BBXK_89-L^E06,0.0383024921016358,0.0383024921016358,4.0,0.1003023160483705,-0.1564083988156797,1.2947467488021902,0.1000824402308327,9.071611607063856e-05,0.0518548882967822,-0.2016050413019296,-0.100418867464029,-0.0404932174810095,-0.0390485061898237,0.0312778421905653,0.3899652260308002,1.0053045859000684,0.0032208907667797,0.1051136363636364,-0.0537634408602151,-0.0880829015544041,-0.111111111111111,-0.1177944862155389,0.0414201183431952,-0.0687830687830687,0.0028490028490029,0.0666666666666666,0.0764525993883791,0.0352941176470589,0.0731707317073171,0.0173410404624276,0.0476190476190476,0.2264808362369337,0.1851851851851851,0.1655629139072847,0.2571428571428573,0.2222222222222223,0.3183520599250937,0.3384030418250952,0.3233082706766916,0.3085501858736059,0.3538461538461537,0.28,0.2222222222222223,0.2616487455197132,0.328301886792453,0.5999999999999999,0.517241379310345,0.4485596707818928,0.4728033472803346,0.4852320675105483,0.4789915966386555,0.5784753363228701,0.5107296137339055,0.3486590038314177,0.4136546184738954,0.537117903930131,0.6682464454976305,0.7425742574257426,0.8526315789473684,0.8238341968911918,0.6923076923076923,0.934065934065934,1.0705882352941178,0.7254901960784315,0.8238341968911918,0.9775280898876404
