firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.0610699659324542,-0.0610699659324542,17.0,0.108957485284979,0.0713249361852815,0.0321326267832608,1.2764034021871205,0.2645667801740446,-0.0383347073371804,-0.0381331382202103,1.7512582196584586e-08,0.0390026602244084,0.1923271837227607,0.1333849001585772,-0.3438879054722253,-0.0834184046636541,-0.2407756654237809,-0.0319019746861747,0.0640683542552739,-0.0730397554368885,-5.566083283041642,0.9553705953827462,0.0772600557546794,0.1272727272727272,-0.0178571428571429,0.1,0.0576923076923077,0.1458333333333334,0.1458333333333334,0.25,0.1956521739130434,0.1458333333333334,0.1,0.1458333333333334,0.1458333333333334,-0.0677966101694914,-0.0517241379310343,0.0784313725490197,0.1,0.1956521739130434,0.170212765957447,0.0576923076923077,0.3414634146341464,0.3095238095238097,0.4473684210526316,0.6176470588235294,0.8965517241379313,0.71875,0.8965517241379313,0.774193548387097,0.4102564102564103,0.6176470588235294,1.1153846153846154,0.6176470588235294,0.6666666666666667,0.5277777777777779,0.170212765957447,0.1,0.1,0.0784313725490197,-0.0178571428571429,-0.2253521126760562,-0.2763157894736842,0.0,0.0377358490566037,-0.236111111111111,-0.236111111111111,-0.4607843137254901,-0.4607843137254901,-0.5217391304347825,-0.4660194174757281,-0.638157894736842
BBOU_00-L,0.0481394657773962,-0.0481394657773962,16.0,-0.1300858183614249,0.1569274041026138,-0.508009927236643,1.0087597053553654,0.1143724696356275,-0.2547436415018167,-0.0924561032786344,5.08460474340978e-05,0.0004321787985429,-0.0753220085868956,19.58965440510927,-0.1897083297754385,0.0700292753118734,-0.1819882063017074,-0.0752799502013805,-0.0504048416765208,0.2769020438683948,-0.5237068965517241,0.5755524586900259,-0.0581567796610169,0.0188172043010752,0.0205761316872428,0.0013458950201885,0.0136239782016349,0.0108695652173913,0.0689655172413794,0.087719298245614,0.086131386861314,0.0163934426229508,0.0420168067226891,-0.0158730158730158,0.0538243626062324,-0.0132625994694959,0.0333333333333334,0.0122448979591838,0.0108695652173913,0.0659025787965617,0.1376146788990826,0.1005917159763314,0.1735015772870662,0.15527950310559,0.1306990881458967,0.089311859443631,0.1341463414634147,0.1735015772870662,0.15527950310559,0.1022222222222222,0.1324200913242008,0.0191780821917808,-0.0676691729323308,-0.0510204081632652,0.0094979647218453,-0.1257344300822561,-0.1348837209302325,-0.1779005524861878,-0.1895424836601306,-0.1448275862068964,-0.1226415094339622,-0.0522292993630572,-0.0013422818791946,0.0628571428571429,0.0628571428571429,0.0829694323144105,0.0094979647218453,-0.0676691729323308,-0.0299869621903519,0.0262068965517241,0.0391061452513967,0.0391061452513967
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,-3.735824402617225,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,2.269493105556646e-07,0.2216981132075471,-0.108730583824317,0.001924716197367,-0.256995252709018,-0.2328427255985267,-0.3980598279380004,-0.2464646464646464,-0.4155844155844156,0.6064997804128239,-2.256756756756757,1.8,0.2272727272727272,0.0810810810810811,-0.075,-0.0263157894736841,-0.1777777777777778,-0.075,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0571428571428571,-0.1777777777777778,0.0571428571428571,0.0571428571428571,-0.1777777777777778,0.0571428571428571,0.0571428571428571,-0.075,-0.075,-0.1777777777777778,0.0571428571428571,0.0571428571428571,-0.075,-0.075,-0.075,-0.26,-0.3272727272727274,-0.26,-0.119047619047619,0.0,0.0,-0.075,0.4230769230769229,0.4230769230769229,0.0882352941176469,0.0882352941176469,0.0882352941176469,0.0882352941176469,0.0882352941176469,-0.119047619047619,-0.119047619047619,-0.119047619047619,-0.119047619047619,-0.119047619047619,-0.075,-0.075,0.5416666666666667,-0.075,-0.075,-0.0263157894736841,0.0571428571428571
BBTU_63-L^C18,0.0551027878928,-0.0551027878928,16.0,-0.0325240234263945,0.1724048185603807,-0.0321092399537668,0.8805668016194332,0.0792268645060523,0.0439906698858288,-0.045739167292819,9.098462899476682e-05,0.0072212429635525,-0.0984162895927602,4.129715914181535,-0.0020815333038696,0.0475001915634213,-0.022564245099683,0.0467726827189431,0.396861894398857,0.2862035167492429,-1.0966257668711654,0.8645748987854251,0.3317731370024074,-0.056356487549148,0.0641562064156207,0.1122448979591836,0.2286634460547503,0.211111111111111,0.1286982248520709,0.2149681528662419,0.211111111111111,0.1684532924961714,0.1774691358024691,0.2716666666666667,0.3897996357012749,0.3822463768115942,0.3974358974358973,0.4077490774907748,0.4673076923076922,0.6131078224101478,0.7380410022779045,0.5962343096234308,0.6029411764705883,0.7184684684684683,0.7459954233409611,1.056603773584906,1.2912912912912913,1.0846994535519126,0.9664948453608248,0.8933002481389576,0.7540229885057472,0.8080568720379149,1.0078947368421054,0.6303418803418803,0.6695842450765863,0.4342105263157894,0.2888513513513513,0.2467320261437908,0.2695507487520798,0.4103512014787429,0.5049309664694279,0.4990176817288803,0.5352112676056338,0.7827102803738317,0.7184684684684683,0.3155172413793103,0.2780569514237856,0.2866779089376055,0.3065068493150684,0.4235074626865671,0.5352112676056338,0.3747747747747747
BBXK_89-L^E06,0.169506349628283,-0.169506349628283,17.0,-0.4191484458662618,0.197405228682929,-0.0252373931586788,0.6495772900023269,0.0815415699164681,-0.8076484741040901,-0.0212997659083662,4.057406798662179e-05,-0.022352957124073,-0.2355223334890618,4.941501251372594,-0.6041097021765252,-0.6836133044405258,0.178998738899706,-0.7903832560889411,0.1032131233775334,0.9256939167437414,-1.6838160136286202,0.3861009850306368,-0.0432692886827681,-0.0178571428571429,-0.0204081632653062,0.024390243902439,0.0566037735849056,-0.0344827586206897,0.024390243902439,-0.0059171597633136,0.0151057401812688,-0.0232558139534884,-0.04,0.2727272727272727,0.2398523985239851,0.1748251748251748,0.3023255813953487,0.2173913043478261,0.2873563218390804,0.2218181818181817,0.1313131313131312,0.1467576791808873,0.1506849315068492,0.1351351351351351,0.2173913043478261,0.2490706319702602,0.2352941176470586,0.1467576791808873,0.1467576791808873,0.1162790697674418,0.0434782608695651,-0.0718232044198895,0.0873786407766989,0.0306748466257669,0.0700636942675159,-0.0794520547945205,-0.0718232044198895,-0.1016042780748663,-0.0869565217391304,-0.263157894736842,-0.2398190045248869,-0.2131147540983605,-0.1724137931034481,-0.0344827586206897,0.1162790697674418,0.0434782608695651,0.1467576791808873,0.0909090909090908,0.1428571428571428,0.0769230769230768,0.0532915360501566,0.2129963898916966
BCPS_48-L^C06,0.2001199580146948,-0.2001199580146948,16.0,-0.2266599303321189,0.0361847473829008,0.4317734595479454,1.3977200759974666,0.2427630117716739,-0.2767315671879988,-0.2550907182485772,3.697202256876144e-06,-0.106336586273832,-0.2145116976105235,1.85870778294042,-0.7908865457917478,-0.0473296715654651,2.095412870462529,-0.040028919523193,0.3276842538734003,0.1472381302448613,-2.6660007990411505,1.329322355921469,0.0464862505456132,-0.0796178343949044,0.0161812297734629,0.0536912751677853,0.0431893687707642,0.171641791044776,0.2076923076923076,0.2868852459016393,0.4272727272727272,0.3711790393013101,0.4672897196261683,0.4537037037037037,0.4017857142857142,0.3593073593073592,0.341880341880342,0.3652173913043479,0.2661290322580645,0.1134751773049647,0.2509960159362552,0.2123552123552123,0.3711790393013101,0.341880341880342,0.3193277310924372,0.5700000000000001,0.8150289017341041,0.9748427672955976,0.9146341463414636,0.9146341463414636,0.6972972972972973,0.7065217391304348,0.8362573099415205,0.3893805309734515,0.4881516587677725,0.2868852459016393,0.1672862453531598,0.1254480286738351,0.2661290322580645,0.5096153846153846,0.3893805309734515,0.3193277310924372,0.2764227642276424,0.5096153846153846,0.7444444444444445,0.3652173913043479,0.1984732824427482,0.2076923076923076,0.0536912751677853,0.2076923076923076,0.2265625,0.0572390572390573
BCQE_67-L^A14,0.1957726957726957,-0.1957726957726957,17.0,-0.1951219512195122,-0.1129668994837534,0.2651801704641224,2.072480181200453,0.2285067873303167,0.371002132196162,-0.1514206514206311,5.495580938414869e-06,-0.1316447779862414,-0.1193603655054254,0.7747903990787371,-0.6901769711830241,0.1392047202584966,-0.0142844468103983,0.1932191138216297,0.043773957359318,-0.0867279520787616,-1.1945031712473573,1.77123442808607,-0.2487792341300436,-0.089108910891089,-0.1140350877192981,0.1160220994475138,-0.0776255707762556,0.1160220994475138,0.4744525547445255,0.1952662721893492,0.0978260869565217,-0.0098039215686274,0.0802139037433153,-0.1140350877192981,-0.1022222222222222,-0.2140077821011672,-0.3221476510067114,-0.0516431924882628,-0.1755102040816327,-0.4510869565217391,-0.3707165109034268,-0.5097087378640777,-0.3483870967741935,-0.1367521367521367,-0.0648148148148148,0.2317073170731707,0.7264957264957266,0.1348314606741572,-0.6704730831973899,-0.672077922077922,-0.7390180878552972,-0.7232876712328766,-0.7093525179856115,-0.767816091954023,-0.7410256410256411,-0.807802093244529,-0.8368336025848142,-0.8403162055335969,-0.8605935127674258,-0.8266094420600858,-0.8509225092250923,-0.8549892318736539,-0.8325041459369817,-0.7288590604026846,-0.5570175438596491,-0.802348336594912,-0.8057692307692308,-0.8723941882501579,-0.8823529411764706,-0.8831694621168306,-0.8726355611601513,-0.8912224017232094
BCZB_W7-L^G07,0.0722811944983685,-0.0722811944983685,17.0,-0.0774239656952275,0.0734536967117457,0.0654844792163643,0.8473611928585443,0.0662566396421582,-0.1430250783699059,-0.1477840650943786,0.0001527231552992,-0.0822679266259032,-0.0336123110151187,4.309392882656525,-0.357408538260771,0.0251921115077726,0.2482386193135039,0.0960331411917105,0.1565918423809768,-0.1216512486991885,-14.344262295081966,0.7376888365705316,-0.101044279796978,0.0209059233449477,0.0034965034965035,0.0629629629629628,0.099616858237548,0.0749063670411984,0.1299212598425196,0.1124031007751937,0.0749063670411984,-0.0651465798045601,-0.0711974110032361,-0.0974842767295597,-0.0465116279069766,-0.1729106628242075,-0.1059190031152648,-0.196078431372549,-0.158357771260997,-0.1483679525222552,-0.0859872611464968,-0.0974842767295597,-0.0496688741721853,-0.0103448275862068,-0.0711974110032361,0.0474452554744524,0.1388888888888888,0.0789473684210526,0.0213523131672597,-0.1003134796238244,-0.1558823529411764,-0.0946372239747633,-0.0681818181818181,-0.2005571030640668,-0.1681159420289855,-0.3117505995203836,-0.3341067285382829,-0.3733624454148472,-0.3719912472647703,-0.3919491525423728,-0.3579418344519015,-0.3133971291866028,-0.3067632850241545,-0.3341067285382829,-0.3017031630170317,-0.3325581395348836,-0.3787878787878788,-0.4294234592445328,-0.4236947791164659,-0.3650442477876106,-0.3664459161147902,-0.3402298850574712
BDAJ_H9-L,0.2037956674630231,-0.2037956674630231,10.0,-0.146063501542749,-0.028906955736224,0.3897295514363998,1.7740963855421688,0.1104772505913454,-0.2296015180265654,-0.0995356078704967,2.454109168261623e-06,-0.0098039215686274,-0.1125963309009069,1.504059823691426,0.0496765210203546,0.2779345515959982,-0.0649596662279379,0.264159960876717,0.0868766872453461,0.2524534142899629,-3.1792294807370185,1.6340361445783131,0.0142271145957733,0.0,0.0347593582887699,0.0544959128065396,-0.0829383886255923,-0.0300751879699248,-0.0177664974619289,-0.0227272727272727,-0.0560975609756096,-0.0741626794258372,-0.0999999999999999,-0.1244343891402715,-0.167741935483871,-0.1244343891402715,-0.1164383561643834,-0.0025773195876288,-0.0491400491400492,-0.0227272727272727,0.0544959128065396,-0.0227272727272727,-0.0397022332506203,0.1120689655172413,0.1025641025641026,0.1517857142857144,0.1691842900302114,0.1871165644171779,0.1798780487804878,0.0459459459459459,-0.0051413881748072,-0.0674698795180723,0.1415929203539823,0.0544959128065396,0.205607476635514,0.0516304347826086,-0.0251889168765743,0.013089005235602,-0.0491400491400492,0.1120689655172413,0.1057142857142856,0.2131661442006269,0.232484076433121,0.4603773584905661,0.5296442687747036,0.2403846153846154,0.1762917933130698,0.3208191126279862,0.2647058823529411,0.4942084942084943,0.4659090909090908,0.51171875
BDCK_44-L^L08,0.1291783193501132,-0.1291783193501132,16.0,-0.0275807722616233,0.0854898336414048,-0.0085120894471725,1.1555869872701556,0.1104199066874028,-0.0909638554216867,-0.135836995605269,1.690762522454416e-07,-0.0795902285263987,0.021485287248949,0.0002468303667469,0.3606092117377331,0.0935201243496385,-0.0384266459305339,0.0954486294775491,0.031198003327787,-0.1416458195160357,-17.321428571428573,1.1478076379066475,-0.0521353300055461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1714285714285714,-0.1714285714285714
