firms,age,agr,cash,cashdebt,chatoia,chcsho,che,chempia,chpmia,chtx,cinvest,egr,grltnoa,herf,hire,invest,lgr,mve_ia,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,20.0,0.1849771597667135,0.1191539739857309,0.2032752741992374,1.4603253246204169,2.3365727867245555e-05,3.1675000000000004,0.2197155258718441,0.0276445077625553,0.0096101358922055,0.0479403164643301,0.4746497769180369,0.0146521591444503,2.7749247265937192e-08,0.0669371196754563,0.0595665622815333,0.0566878540831835,0.2619609676215595,0.2091331599811619,-0.0269824010578996,0.0574937473595372,0.1189363961273902,0.0277154298156654,0.0720077107873527,0.3091744196284448,0.4322184541141656,-0.0972222222222222,0.0588235294117645,-0.0204081632653061,-0.25,-0.4146341463414634,-0.4285714285714286,-0.424,-0.4875444839857651,-0.3043478260869565,-0.2653061224489795,-0.2,-0.1864406779661017,-0.1864406779661017,-0.2044198895027624,-0.3142857142857144,-0.2,-0.0828025477707007,-0.1428571428571429,-0.1529411764705882,-0.1,-0.0828025477707007,-0.1111111111111111,-0.0649350649350649,-0.1,-0.0886075949367088,-0.04,0.0510948905109487,0.125,0.2743362831858407,0.3584905660377357,0.4257425742574257,0.4545454545454546,0.4257425742574257,0.3714285714285712,0.3090909090909088,0.3714285714285712,0.4845360824742268,0.5,0.7777777777777777,0.6363636363636362,0.7349397590361446,0.846153846153846,1.32258064516129,1.1818181818181817,1.4,1.32258064516129,1.6181818181818175,1.5714285714285712,1.88
BBOU_00-L,20.0,0.1483949555746632,0.0950868756521344,0.1593492929106202,0.6072697871513155,6.437321687714563e-07,-16.5,0.2700851830483074,0.0072972623377454,0.0004859086491739,0.1207576953433307,-0.1193353474320241,0.0690391221692292,2.5353036459217314e-05,0.0822824156305506,0.0447836056176554,0.2111179235642755,17.666922172865515,-0.0153805321478335,0.0133079024935806,-0.0297499574988212,0.0293780104188694,0.0353466026080988,0.1619496855345912,0.0814062291137548,0.572998031459085,-0.04786680541103,0.0858757062146893,-0.0263424518743667,0.0020855057351407,-0.0485148514851485,0.0945330296127562,0.0689655172413792,-0.0173824130879345,-0.0768491834774256,-0.0916824196597354,-0.0696999031945789,-0.0687984496124032,-0.1101851851851852,-0.1093605189990731,-0.1175390266299358,-0.1175390266299358,-0.0821394460362943,-0.0370741482965932,-0.0777351247600768,-0.1134686346863469,-0.0916824196597354,-0.0687984496124032,-0.035140562248996,-0.03996003996004,-0.0409181636726546,-0.0153688524590164,-0.0153688524590164,0.0212539851222104,0.0223404255319148,0.0366774541531822,0.0434310532030399,0.082207207207207,0.0618784530386737,0.056043956043956,0.0846501128668171,0.135933806146572,0.1399762752075919,0.133254716981132,0.1536614645858343,0.1578313253012047,0.1937888198757762,0.2273307790549168,0.1662621359223299,0.2103274559193952,0.2416020671834624,0.2678100263852241,0.2916666666666665,0.3182441700960219,0.2934051144010767
BBTU_63-L^C18,20.0,0.2000926784059315,0.0203876747239169,0.1685539378945031,0.7793361425653086,0.0001184289312184,26.250000000000004,0.1655194475644041,-0.0934951610858519,-0.0024035643100011,0.04904831625183,-0.2724046140195209,0.0896415181768354,5.321845590181221e-07,0.0504260908566668,-0.1675625579240036,0.0608576284481632,0.8011683636748576,0.032751072812846,-0.1323139436331433,0.9490688259109312,-0.0623235791523601,0.0477925950467986,-0.1411448140900195,-0.0509311740890689,0.3011969447690065,-0.069620253164557,0.0463576158940397,0.104895104895105,-0.0186335403726708,-0.1897435897435897,-0.2476190476190476,-0.2440191387559808,-0.3946360153256705,-0.4296028880866426,-0.4316546762589928,-0.3803921568627451,-0.3946360153256705,-0.4254545454545454,-0.3946360153256705,-0.5420289855072464,-0.5764075067024128,-0.5659340659340659,-0.5325443786982248,-0.5764075067024128,-0.5446685878962536,-0.5446685878962536,-0.5366568914956011,-0.5420289855072464,-0.5917312661498708,-0.5561797752808988,-0.5433526011560693,-0.5485714285714285,-0.5255255255255256,-0.5212121212121212,-0.5212121212121212,-0.5472779369627507,-0.5283582089552239,-0.5574229691876751,-0.8328042328042328,-0.8218714768883878,-0.8212669683257918,-0.8198403648802737,-0.8051787916152897,-0.808252427184466,-0.7940026075619295,-0.7921052631578948,-0.7762039660056657,-0.7762039660056657,-0.7749287749287749,-0.7606060606060606,-0.7805555555555556,-0.7929226736566186,-0.7796373779637378,-0.7696793002915452
BDAJ_H9-L,14.0,-0.0608196721311475,0.1949729446674812,0.0106613359986673,1.1665199254736096,7.021289194119165e-06,-39.900000000000006,-0.0455435330389579,-0.047411314447737,0.022536023054755,0.0338028169014084,-0.6691729323308271,-0.1898723476202463,1.056347168930422e-07,-0.0138749999999999,0.0481967213114754,-0.07380073800738,0.1779894826344034,-0.0792482319384206,-0.1449125941665056,-0.1404764001408945,-6.849833560726652,0.0335263354501307,-0.2715582450832072,-0.0228293413173651,1.6410575805197931,-0.1323529411764706,0.2363636363636363,0.1525423728813559,-0.0555555555555554,-0.1052631578947368,-0.081081081081081,-0.1282051282051282,-0.2272727272727271,-0.2842105263157893,-0.2989690721649484,-0.276595744680851,-0.2608695652173912,-0.2527472527472527,-0.3761467889908256,-0.2989690721649484,-0.5828220858895705,-0.6023391812865497,-0.5952380952380951,-0.6243093922651933,-0.6616915422885572,-0.6530612244897959,-0.6699029126213591,-0.7755775577557755,-0.786833855799373,-0.7907692307692308,-0.8186666666666667,-0.8051575931232091,-0.7926829268292683,-0.7841269841269841,-0.7472118959107806,-0.7527272727272727,-0.7630662020905923,-0.7854889589905363,-0.7945619335347431,-0.8051575931232091,-0.8172043010752688,-0.84,-0.8447488584474886,-0.8373205741626795,-0.8373205741626795,-0.8265306122448979,-0.8142076502732241,-0.820580474934037,-0.8181818181818181,-0.8111111111111111,-0.8242894056847545,-0.8242894056847545,-0.8181818181818181,-0.8147138964577656
BFRL_28-L,20.0,0.2141241032664049,0.0279487963599792,-0.0311007562740224,0.32720844702242,0.0001504914629804,-47.8835,0.845820596255382,-0.8879788391525278,-0.0094418224522703,0.0147107022343996,-0.1911727640818946,0.0243635660828164,3.3348950295573305e-08,0.2576822655151637,-0.0074911584460462,0.371532939029658,0.1155113600014378,0.3932315776719847,-0.1946526624718143,1.1946526624718143,0.1946526624718143,-0.0127913272457157,-0.0685794865431795,0.1946526624718143,1.6410575805197931,-0.0301724137931034,0.0917647058823529,-0.4476190476190477,-0.4560375146541617,-0.6020583190394512,-0.5936952714535902,-0.8044669195111673,-0.7728830151737641,-0.8264122708567153,-0.8011144449207029,-0.76949826130154,-0.7651821862348178,-0.7531914893617022,-0.7302325581395349,-0.7241379310344828,-0.7439293598233996,-0.7354618015963512,-0.7616846430405753,-0.7866666666666666,-0.8289085545722714,-0.8228331424207713,-0.8217441413753361,-0.828592537864795,-0.825563909774436,-0.8271880819366852,-0.8277014481990346,-0.8268010451661068,-0.822017644802455,-0.8138041733547352,-0.8167456556082149,-0.8168902920284136,-0.8095238095238095,-0.8304713189623676,-0.8251695553880934,-0.8206416698879011,-0.8213323065075087,-0.8198058252427185,-0.821401077752117,-0.5647279549718575,-0.5647279549718575,-0.5647279549718575,-0.5647279549718575,-0.5647279549718575,-0.5647279549718575,-0.5647279549718575,-0.5647279549718575,-0.5647279549718575,-0.5647279549718575,-0.5647279549718575
BJJT_37-L,19.0,-0.0554049516893194,0.1483317206742889,0.004992968124407,0.0124448461114435,3.5989935454900306e-05,22.45,-0.1826383379314081,0.0573967592719742,-0.0008970112033349,0.0220412074748442,0.1480225988700565,0.050978874973222,4.602730052949688e-08,-0.0556414219474498,0.0002984443587798,-0.0666610291869669,0.6594150937036243,0.1004470938897167,0.291469681397739,-0.291469681397739,-0.291469681397739,0.001435045800014,0.0482588134135855,-0.291469681397739,-2.409004048900144,0.0,-0.0729166666666666,0.0056497175141243,-0.1909090909090909,-0.2123893805309733,-0.1400966183574878,-0.1759259259259259,-0.2992125984251969,-0.3503649635036496,-0.3503649635036496,-0.3100775193798449,-0.3206106870229007,-0.3550724637681158,-0.4046822742474917,-0.5253333333333333,-0.5253333333333333,-0.5527638190954773,-0.591743119266055,-0.5801886792452831,-0.5963718820861679,-0.6130434782608696,-0.6026785714285714,-0.6026785714285714,-0.5870069605568444,-0.586046511627907,-0.5594059405940595,-0.5679611650485437,-0.4957507082152974,-0.47953216374269,-0.4573170731707316,-0.463855421686747,-0.4573170731707316,-0.5096418732782368,-0.4606060606060606,-0.4420062695924764,-0.3986486486486487,-0.3358208955223881,-0.3206106870229007,-0.282258064516129,-0.3046875,-0.288,-0.2614107883817428,-0.2393162393162392,-0.1909090909090909,-0.1682242990654205,-0.2393162393162392,-0.2704918032786885,-0.2053571428571429,-0.1603773584905661
BLNT_37-L^D19,12.0,0.3388293193823754,0.0585209601531141,0.1116519363581363,0.6276751592860753,0.0055779417424873,-2.141,0.3282416795600582,-0.0543496512480039,-0.0018174173051766,0.0209658201863309,0.0358686730506155,0.0279617061792691,1.1801027533154381e-07,0.1,0.016106645516526,0.454621978298508,0.7769348339423274,-0.0015159740930424,-0.0051699077025235,0.1249337605269808,0.1494409878594382,0.0139315100121741,0.055428664484233,0.1249337605269808,0.7217856815296534,0.0753424657534247,-0.124,-0.0179372197309417,0.0354609929078013,-0.0266666666666667,0.0841584158415842,0.1202046035805626,0.1496062992125983,0.1679999999999999,0.1679999999999999,0.2166666666666665,0.2695652173913043,0.3192771084337349,0.2958579881656804,0.1967213114754098,0.1742627345844503,0.123076923076923,0.1711229946524062,0.0579710144927536,-0.0478260869565216,0.020979020979021,-0.0266666666666667,0.028169014084507,0.1032745591939545,0.0428571428571427,0.0735294117647058,0.0605326876513316,0.1173469387755101,0.1116751269035531,0.2268907563025211,0.0949999999999999,0.2372881355932203,0.1465968586387434,0.1999999999999999,-0.0798319327731091,-0.0373626373626373,-0.1222444889779559,-0.0893970893970893,-0.0641025641025641,0.0162412993039444,0.0895522388059701,0.076167076167076,0.1556728232189972,0.2338028169014085,0.2807017543859649,0.1376623376623376,0.1774193548387095,0.1376623376623376,0.1774193548387095
BLNV_40-L^F19,11.0,-0.0787389577542044,0.0130362964572918,-0.6460188564838484,-0.332639934087807,0.0254202269336289,-25.9205,-0.4923625193400872,0.0765409328734732,-0.0059353576986163,-225.3,-0.141199882757663,-0.0837705377393881,1.7495749510874258e-10,-0.1499999999999999,0.0010868718743968,0.3775723654454997,0.1035953667319971,-0.0510204081632652,1.5059518141129415,-1.4961798271422575,-1.5059518141129415,-0.0713776425274175,-0.0872148374348841,-1.5059518141129415,1.6410575805197931,-0.0135746606334841,0.0625,0.0045454545454544,-0.2916666666666667,-0.0474137931034481,0.0375586854460094,-0.2078853046594982,-0.3402985074626866,-0.3461538461538461,-0.3685714285714285,-0.3383233532934131,-0.3050314465408805,-0.35,-0.2107142857142856,-0.3461538461538461,-0.32,-0.3685714285714285,-0.3844011142061281,-0.48,-0.503370786516854,-0.5277777777777777,-0.5366876310272537,-0.5347368421052632,-0.5489795918367347,-0.568359375,-0.558,-0.558,-0.5700389105058365,-0.5195652173913043,-0.5395833333333333,-0.508888888888889,-0.4475,-0.4954337899543378,-0.4919540229885057,-0.5142857142857142,-0.4609756097560975,-0.4725536992840096,-0.4919540229885057,-0.4289405684754522,-0.4931192660550459,-0.4516129032258065,-0.4488778054862843,-0.4333333333333333,-0.3757062146892655,-0.3809523809523809,-0.4059139784946237,-0.4475,-0.4674698795180724,-0.425974025974026
BPVK_29-L,13.0,0.348190861322737,0.0935250252455561,0.2916555572003477,0.8920900527285978,0.0001054072158714,230.41240000000005,1.0923387446362534,0.0063590956874478,0.0043296349742433,0.0573425026971528,0.4880418554056397,0.1238813184025536,0.000186400798772,0.3327848998641224,0.0730528615479188,0.2850424294822248,30.126251228744927,0.3487757862928786,0.025470457800515,0.4104796466289554,-0.0553167018068139,0.0321325835903465,0.0959149140332671,0.4774647382742412,0.6861723862656552,-0.0402565016031349,0.1599173553719008,0.0380917159763314,0.110803324099723,0.0259502923976608,0.151826015592942,0.3178403755868544,0.2876146788990825,0.334759866856871,0.3937437934458787,0.494675186368477,0.346282973621103,0.2971349353049908,0.2246945898778358,0.2047210300429185,0.1341414141414141,0.1541940789473683,0.1094861660079051,0.0560571858540257,0.0462169213566903,0.0346479911537045,0.0327446651949963,-0.0010676156583629,-0.033069238718567,0.0229591836734692,-0.028719723183391,-0.1094543147208121,-0.1583208395802099,-0.1828238719068413,-0.1323029366306027,-0.1400122549019608,-0.0199022346368714,-0.0735973597359735,-0.0343997248022015,0.0600453172205437,0.0267008046817849,-0.0077765995051254,0.0419450631031923,0.1077348066298342,0.0568524096385543,0.0964843749999999,0.0969128565846033,0.2146257031588057,0.1919320594479829,0.2306006137658922,0.3379408960915158,0.3534233365477339,0.3854886475814412,0.4859714134462678
BQMM_18-L^C11,6.0,0.2513365883076066,0.8801471746726106,-2.9447004608294933,0.1028156622599273,0.0006067236024844,0.2915,0.656483359120116,-1.4772532730918626,-0.0001391675461282,0.0199999999999999,0.256197748030735,0.0012157052635916,7.624061101109339e-13,0.1999999999999999,0.0039662750646549,0.1348379629629628,0.0019911224358523,0.8967741935483869,0.2495854506552553,-0.2495854506552553,-0.2495854506552553,0.042052164484307,0.0440434015133747,-0.2495854506552553,1.6410575805197931,0.3333333333333335,-0.25,-0.25,-0.25,-0.25,-0.25,-0.4,-0.5,-0.25,-0.4,-0.25,-0.5,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.7,-0.7,-0.7,-0.7
