firms,age,agr,chpmia,currat,egr,herf,invest,mve_ia,pchcurrat,pchquick,pchsale_pchrect,pchsale_pchxsga,quick,salerec,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FTJE_09-L,2.0,0.0530787960940833,0.0427570116508975,1.0460980123536905,0.1967378616272833,4.5914876258112034e-08,-0.0824484775459999,0.0746657995843399,-0.0404694785400789,0.046187665039642,-0.1163360141561316,-0.1099162824385579,0.8497848919652943,9.347035517192584,-0.0295232498347168,0.8539087187696338,0.1666666666666667,0.0,0.0,0.0434782608695651,0.0434782608695651,0.0,0.1428571428571428,0.1999999999999999,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.4117647058823528,0.4117647058823528,0.263157894736842,0.263157894736842,0.263157894736842,0.3333333333333332,0.4117647058823528,0.4117647058823528,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.4117647058823528,0.4117647058823528,0.1999999999999999,0.1999999999999999,0.1428571428571428,0.1999999999999999,0.1999999999999999,0.263157894736842,0.3333333333333332,0.3333333333333332,0.4117647058823528,0.6000000000000001,0.6000000000000001,0.5,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.714285714285714,0.714285714285714,0.846153846153846,0.714285714285714,0.714285714285714,0.714285714285714,0.846153846153846,1.0,0.714285714285714,0.3333333333333332
FTJF_28-L^H05,3.0,0.0942180094786729,-0.0003908773394801,3.1943397960121294,0.1190124091815083,1.1851311494948495e-08,0.0356161137440758,0.1416573993156816,0.0898622885865537,0.1156641901679479,0.2878407060012442,-0.046321127181828,2.473031333272076,73.6761800219539,0.045744200177617,0.7397355192023288,0.0344827586206897,0.0211267605633802,0.0820895522388058,0.0984848484848484,0.0661764705882352,-0.0136054421768707,-0.0068493150684931,0.0357142857142858,0.1599999999999999,0.1599999999999999,0.1599999999999999,0.2083333333333332,0.294642857142857,0.2719298245614037,0.1507936507936507,0.2083333333333332,0.2719298245614037,0.3425925925925925,0.2608695652173913,0.1693548387096775,0.1328125,0.1599999999999999,0.2288135593220339,0.25,0.0431654676258992,0.0211267605633802,-0.0202702702702702,-0.0068493150684931,0.0139860139860139,-0.0993788819875777,-0.1049382716049384,-0.1158536585365853,-0.0880503144654089,-0.0397350993377483,-0.0705128205128206,-0.1049382716049384,-0.0333333333333333,0.0507246376811594,0.0740740740740739,0.0820895522388058,0.1328125,0.1328125,0.2083333333333332,0.1328125,0.1240310077519379,0.0902255639097744,0.0902255639097744,-0.0822784810126583,-0.2602040816326531
FTJI_19-L^E97,2.0,-0.2039037252893564,0.0568795533054926,1.4040403275572904,0.3218315675336059,1.8278424956892449e-06,-0.1418376948836652,3.1781720677760306,0.0444766167439224,0.0435996250091392,0.4428003628796365,-0.1037541448687406,0.939856968164248,15.163173979480462,-0.2651045675397599,0.5439354804778198,-0.0330578512396694,-0.0108991825613079,0.0401146131805156,0.1785714285714286,0.1901639344262295,0.167202572347267,0.194078947368421,0.2222222222222221,0.5252100840336136,0.4756097560975609,0.5125,0.7451923076923075,0.736842105263158,0.4578313253012047,0.2604166666666667,0.2263513513513513,0.167202572347267,0.4124513618677043,0.375,0.375,0.4578313253012047,0.2736842105263157,0.4519999999999999,0.5252100840336136,0.3394833948339484,0.2263513513513513,0.3010752688172042,0.3698113207547169,0.375,0.278169014084507,0.2389078498293515,0.291814946619217,0.2736842105263157,0.5125,0.3961538461538461,0.2560553633217992,0.3010752688172042,0.3104693140794223,0.1747572815533979,0.1597444089456869,0.2305084745762711,0.1343749999999999,0.1451104100946372,0.1980198019801979,0.2517241379310344,0.5579399141630901,0.5851528384279476,0.5125,0.0371428571428571
FTJJ_08-L^H12,18.0,0.0238518010861551,-0.3173640891498751,1.456709375479515,-0.172725730762707,9.132991563748853e-08,0.1152196712459632,0.2923303051477506,-0.1768801272692471,-0.1768801272692471,0.0339095593336212,0.0406545840431177,1.456709375479515,4.119933665008292,0.0406545840431177,1.5093895629426688,0.0,0.0555555555555555,0.1515151515151513,0.0857142857142858,0.1176470588235294,-0.0256410256410256,0.0270270270270269,0.2258064516129032,0.357142857142857,0.4074074074074074,0.4615384615384614,0.3103448275862071,0.4615384615384614,0.357142857142857,0.1515151515151513,0.2258064516129032,0.0555555555555555,-0.2083333333333332,-0.1914893617021276,-0.3090909090909092,-0.3333333333333332,-0.2962962962962963,-0.3333333333333332,-0.2830188679245283,-0.3666666666666666,-0.3214285714285715,-0.3448275862068964,-0.2830188679245283,-0.3448275862068964,-0.3770491803278688,-0.3770491803278688,-0.4242424242424243,-0.3968253968253968,-0.3214285714285715,-0.3770491803278688,-0.3968253968253968,-0.3333333333333332,-0.3090909090909092,-0.3666666666666666,-0.2962962962962963,-0.2830188679245283,-0.1914893617021276,-0.0256410256410256,-0.1739130434782608,-0.1739130434782608,-0.0952380952380952,0.0,-0.1555555555555555,-0.4242424242424243
FTJK_00-L,3.0,0.0303082438867368,-0.1770417562499112,1.0358909433517842,0.0869051820081979,1.2466611540433605e-07,0.0601669423138825,0.5554390508001463,-0.0795076538036212,-0.0672300252751968,0.0398677775566179,-0.1710899961293779,0.90179307502061,5.4427692769276925,-0.0381192668657983,0.6238485548058036,0.0823529411764705,0.0282258064516127,0.0625,0.0897435897435896,0.1233480176211452,0.1486486486486484,0.0805084745762712,0.1860465116279068,0.4088397790055247,0.3144329896907216,0.3144329896907216,0.4166666666666665,0.5178571428571428,0.3421052631578947,0.2028301886792451,0.1805555555555553,0.1860465116279068,0.2749999999999999,0.2318840579710144,0.1643835616438356,0.1383928571428569,0.1333333333333333,0.1590909090909089,0.2259615384615383,0.1233480176211452,0.0805084745762712,0.1333333333333333,0.1434977578475336,0.1971830985915492,0.1643835616438356,0.1283185840707965,0.108695652173913,0.1383928571428569,0.3563829787234043,0.2944162436548223,0.2085308056872037,0.2259615384615383,0.1915887850467288,0.1697247706422016,0.1590909090909089,0.3076923076923077,0.3421052631578947,0.328125,0.2142857142857142,0.1860465116279068,0.2028301886792451,0.328125,0.094420600858369,-0.2153846153846154
FTJV_58-L^I97,2.0,0.05757119078681,-0.0223697872308421,1.200577591263932,0.115281358815555,5.16462176952764e-08,0.0863174231859283,0.2896162761706528,0.0079177617242217,-0.0066105628413961,0.0277692517201638,-0.0183974542351225,0.6128559180542394,5.468930523028884,0.1622509414868026,0.5644755548875072,0.0109589041095889,0.0863095238095237,0.1661341853035143,0.1265432098765431,0.1335403726708073,0.1265432098765431,0.2248322147651007,0.3721804511278195,0.6898148148148147,0.6743119266055044,0.7980295566502464,0.9109947643979056,0.7632850241545894,0.4313725490196078,0.2289562289562288,0.1812297734627832,0.3035714285714286,0.4484126984126984,0.3619402985074627,0.2852112676056337,0.1889250814332248,0.2248322147651007,0.2372881355932201,0.1812297734627832,-0.0592783505154639,-0.0806045340050378,-0.0736040609137056,-0.0736040609137056,-0.0942928039702234,-0.0942928039702234,-0.1053921568627451,-0.0494791666666666,0.0195530726256982,0.0993975903614459,0.1060606060606061,0.0798816568047338,0.0960960960960961,0.123076923076923,0.0830860534124628,0.1162079510703364,0.2166666666666665,0.2086092715231788,0.1774193548387095,0.1812297734627832,0.2586206896551724,0.3984674329501916,0.5271966527196652,0.4658634538152608,-0.010840108401084
FTKA_29-L^K01,5.0,0.0437779195915763,-0.1644517102173436,1.2814253863304377,-0.0143266475644698,3.887698412282522e-08,0.1181146868447442,0.0686047304897094,-0.0155847228110557,-0.0041099725674734,-0.0730770389842623,0.0090888726488342,0.4493734143153687,18.6592478894858,0.1865904010776093,0.6793701583686291,-0.0689655172413792,-0.0333333333333333,0.1153846153846152,0.1153846153846152,0.1153846153846152,0.3181818181818181,0.2083333333333332,0.5263157894736841,0.6111111111111112,0.3181818181818181,0.3181818181818181,0.2608695652173911,0.3181818181818181,0.2083333333333332,0.0740740740740739,-0.0333333333333333,0.0,0.1153846153846152,0.2608695652173911,-0.0937500000000001,-0.1212121212121213,-0.0645161290322581,0.0,-0.0645161290322581,-0.2162162162162162,-0.2368421052631579,-0.2926829268292683,-0.2926829268292683,-0.3255813953488372,-0.3255813953488372,-0.3829787234042553,-0.2750000000000001,-0.2926829268292683,-0.1714285714285714,-0.2564102564102565,-0.3095238095238095,-0.2750000000000001,-0.3255813953488372,-0.3829787234042553,-0.4081632653061224,-0.4081632653061224,-0.3695652173913044,-0.3095238095238095,-0.4081632653061224,-0.4423076923076924,-0.4528301886792453,-0.4727272727272728,-0.5671641791044777,-0.6329113924050633
FTKG_04-L^C00,3.0,-0.2618794056493736,-0.1387621813759843,1.6457494045343606,0.1682407131258905,6.560693197963565e-08,0.0044699455927205,0.1564790162272426,0.0434278497256426,0.0376842328835735,0.2260430092575495,-0.1743781172558738,1.3563089952068692,9.243195785776996,-0.1743781172558738,1.5093895629426688,0.1034482758620691,0.0740740740740739,0.3181818181818181,0.4146341463414633,0.4146341463414633,0.2747252747252746,0.1372549019607842,0.681159420289855,0.7575757575757573,0.487179487179487,0.4683544303797466,0.4683544303797466,0.2608695652173911,0.1372549019607842,-0.1532846715328468,-0.2368421052631579,-0.3763440860215055,-0.3989637305699481,-0.4678899082568808,-0.5915492957746479,-0.5972222222222222,-0.6054421768707483,-0.6120401337792643,-0.6474164133738602,-0.667621776504298,-0.6804407713498623,-0.6750700280112045,-0.672316384180791,-0.6685714285714286,-0.6704545454545454,-0.6732394366197183,-0.6847826086956522,-0.6704545454545454,-0.6568047337278107,-0.6608187134502924,-0.6657060518731989,-0.6340694006309149,-0.6245954692556634,-0.6375000000000001,-0.6375000000000001,-0.6317460317460317,-0.6171617161716172,-0.6329113924050633,-0.6270096463022508,-0.6245954692556634,-0.5871886120996441,-0.5703703703703704,-0.6408668730650156,-0.7017994858611826
FTKK_08-L^H01,3.0,1.6552816987249808,-0.0327555486446379,1.4297550432276658,1.6723129510064565,1.3159698299719682e-08,0.7140837173017381,0.1385925415351655,-0.1369139315453162,-0.241337546100208,-0.0502447676594605,-0.0588290272421161,0.8719980787704131,7.832447397563677,-0.0156434844330628,0.9565403867419372,-0.0122699386503066,-0.0060975609756097,-0.0297619047619047,-0.0411764705882353,-0.0411764705882353,-0.0944444444444445,-0.118918918918919,-0.0944444444444445,0.0794701986754966,0.0382165605095541,-0.0180722891566265,0.0794701986754966,0.263565891472868,0.0794701986754966,-0.0842696629213484,-0.0239520958083833,0.0061728395061726,0.3039999999999998,-0.0297619047619047,-0.0060975609756097,-0.0944444444444445,-0.1329787234042553,-0.2048780487804877,-0.2087378640776699,-0.2723214285714287,-0.36328125,-0.4493243243243243,-0.4115523465703972,-0.3531746031746032,-0.2048780487804877,-0.2274881516587678,-0.2347417840375587,-0.2200956937799043,-0.0523255813953489,-0.0355029585798817,-0.0738636363636364,-0.0239520958083833,-0.0060975609756097,-0.1043956043956044,-0.1141304347826087,-0.1329787234042553,-0.1236559139784947,-0.1809045226130653,-0.1510416666666667,-0.0355029585798817,0.0584415584415582,0.1642857142857143,0.1241379310344827,-0.0842696629213484
FTKU_11-L,5.0,-0.0373840660448031,-0.0636384900233554,1.2825604522139642,0.0590084643288997,3.475538943395369e-07,0.0202720431375084,0.6308837009955047,-0.0800198093635275,-0.0485542077573409,0.0094691679417717,-0.0380257297254522,0.9157332775044488,5.247661122661123,-0.0007340387803409,0.5376442157324489,-0.0095238095238094,-0.054054054054054,-0.0186915887850467,0.0824742268041238,0.0096153846153845,0.0,0.0606060606060605,0.1666666666666667,0.3636363636363637,0.2962962962962963,0.3291139240506329,0.4000000000000001,0.4383561643835618,0.2804878048780488,0.09375,0.1538461538461539,0.2209302325581397,0.2068965517241379,0.2209302325581397,0.1413043478260869,0.0714285714285714,0.1538461538461539,0.1413043478260869,0.2209302325581397,0.1413043478260869,0.0294117647058824,0.0396039603960396,0.0714285714285714,0.2352941176470588,0.3125,0.129032258064516,0.129032258064516,0.0824742268041238,0.1413043478260869,0.1413043478260869,0.1170212765957448,0.1538461538461539,0.1538461538461539,0.0194174757281553,0.0396039603960396,0.0606060606060605,0.0294117647058824,0.0,-0.0186915887850467,0.0194174757281553,0.0714285714285714,0.2068965517241379,-0.036697247706422,-0.2222222222222222
