firms,age,agr,chpmia,currat,egr,herf,invest,mve_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,quick,salerec,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FTOR_44-L^G07,2.0,-0.1183365265411924,9.543591956771143,1.8663081772668275,-0.1386990981142388,9.617058113842095e-06,-0.014482136819565,1.356337424824024,-0.038103380979716,-0.0370167892243881,0.1809886438497976,0.1225849188462543,-0.086270375436951,1.8301501946968293,8.831710709318498,-0.0512948207171314,1.1562707372960572,0.0289855072463769,0.2545454545454544,0.0247524752475247,0.0298507462686568,0.1129032258064515,0.2248520710059172,0.0402010050251255,-0.1265822784810127,-0.1551020408163266,-0.1153846153846154,-0.0235849056603775,-0.1115879828326181,-0.0921052631578946,-0.1585365853658537,-0.151639344262295,-0.0675675675675677,-0.0504587155963304,-0.1945525291828793,-0.1976744186046513,-0.2304832713754647,-0.1619433198380567,-0.2361623616236162,-0.25,-0.2553956834532374,-0.2580645161290323,-0.25,-0.1686746987951808,-0.1446280991735538,-0.2038461538461539,-0.141078838174274,-0.0675675675675677,-0.0717488789237669,-0.1338912133891214,-0.151639344262295,-0.2038461538461539,-0.1302521008403361,-0.1153846153846154,-0.1551020408163266,-0.0881057268722468,0.1761363636363635,0.2176470588235293,-0.2389705882352942,-0.141078838174274,-0.1585365853658537,-0.1785714285714286,-0.0960698689956333,-0.0189573459715639,0.0197044334975369,-0.141078838174274
FTPD_57-L^E01,2.0,0.0721451755680141,3.117901316508497,1.2302817171085385,-0.2169033788510082,3.734770797270673e-07,0.1003826998220624,0.7685196187697135,-0.0977629447027443,-0.0977629447027443,0.2811709740940069,0.062908119592945,0.2811709740940069,1.2302817171085385,2.2259841445843143,0.2811709740940069,0.8096462881177134,-0.0396039603960396,-0.0648148148148148,-0.1721311475409835,-0.0380952380952381,-0.223076923076923,-0.2290076335877863,-0.2170542635658915,-0.223076923076923,-0.3082191780821918,-0.2348484848484848,-0.0818181818181819,-0.0471698113207547,0.0306122448979591,0.086021505376344,0.1348314606741572,0.086021505376344,0.1098901098901099,0.0978260869565217,0.1098901098901099,0.2317073170731707,0.2784810126582278,0.2948717948717949,0.2948717948717949,0.4225352112676057,0.4852941176470586,0.6031746031746033,0.5303030303030303,0.2784810126582278,0.2784810126582278,0.3648648648648649,0.4027777777777779,0.3648648648648649,0.3648648648648649,0.4027777777777779,0.3835616438356164,1.02,1.02,0.9423076923076924,1.148936170212766,1.2954545454545454,0.9056603773584906,0.463768115942029,0.5074626865671641,0.442857142857143,0.5303030303030303,0.6031746031746033,0.7719298245614037,0.8035714285714284,1.104166666666667
FTPH_62-L^G98,2.0,0.0828951946495534,1.2771030488645203,0.8289622231871472,0.0694610778443115,2.2420179786175025e-08,0.1472339273978427,0.4885492503235252,-0.1209545619860128,-0.2312043037127146,-0.1202620308003633,0.0768628498662476,0.0330420719243469,0.5091619626574034,11.840885684860968,0.0330420719243469,0.3908759092179286,0.0213032581453633,0.0323415265200517,-0.1063829787234041,-0.0806451612903225,-0.05,-0.0806451612903225,-0.1278688524590163,-0.1278688524590163,-0.1278688524590163,-0.1230769230769229,-0.1259583789704271,-0.1230769230769229,-0.1230769230769229,-0.1162790697674417,-0.0931818181818182,0.0363636363636363,-0.0533807829181494,-0.0753186558516801,-0.0962627406568515,-0.0806451612903225,-0.0879999999999999,-0.0879999999999999,-0.0753186558516801,-0.0774566473988439,-0.0806451612903225,-0.0666666666666666,-0.0062266500622664,-0.0024999999999999,0.0037735849056603,0.0063051702395966,-0.0208588957055214,-0.1083798882681562,-0.1182320441988951,-0.2874999999999998,-0.1446945337620578,-0.0962627406568515,0.0230769230769232,0.0283505154639176,0.0886766712141882,0.2707006369426752,0.2870967741935484,0.1769911504424779,0.2829581993569132,0.2586750788643535,0.7272727272727273,0.7272727272727273,0.7500000000000002,1.0,1.0100755667506296
FTPT_07-L^D03,6.0,-0.10436294948285,1.172904922533839,1.0192471555310512,-0.2210965606562095,1.632299471677835e-07,0.0454147566285043,0.0699449793536271,-0.2296672624144213,-0.2813038996520035,-0.0747641699298165,0.1047910384617636,-0.2487977317546025,0.6347050273169265,10.99667685763658,-0.0479288624279762,2.2091617531838863,-0.0660377358490567,0.0927835051546392,0.06,0.0816326530612245,-0.0701754385964911,-0.1382113821138211,-0.045045045045045,-0.2262773722627737,-0.2262773722627737,-0.0619469026548671,-0.0782608695652172,-0.196969696969697,-0.2148148148148148,-0.2837837837837837,-0.3161290322580645,-0.345679012345679,-0.3872832369942196,-0.5115207373271888,-0.5181818181818182,-0.5725806451612903,-0.5288888888888889,-0.4752475247524752,-0.4903846153846154,-0.5,-0.4903846153846154,-0.427027027027027,-0.4391534391534391,-0.5637860082304527,-0.6173285198555957,-0.66875,-0.7095890410958904,-0.7225130890052356,-0.7427184466019418,-0.7523364485981309,-0.7805383022774327,-0.7805383022774327,-0.7818930041152263,-0.7836734693877552,-0.7579908675799086,-0.7246753246753247,-0.7316455696202532,-0.8153310104529616,-0.7957610789980732,-0.7969348659003831,-0.7617977528089888,-0.7557603686635944,-0.6962750716332378,-0.6927536231884057,-0.6936416184971098
FTPZ_05-L^F15,2.0,0.0077803546046232,0.3794461799238008,1.7018680325399218,-0.0125315356300921,5.5848319032256506e-09,0.0548365377422009,0.1154725670371358,0.0422814169222032,0.0271918593579321,0.1948843011727404,0.1416909345404875,-0.0173407323928198,1.16563724013257,4.062925922648022,0.208842426795871,0.6961281100787962,0.108695652173913,0.2777777777777779,0.393939393939394,0.5333333333333334,0.6428571428571428,0.7037037037037037,0.5862068965517244,0.4375,0.5333333333333334,0.4838709677419355,0.4838709677419355,0.4375,0.6428571428571428,0.4838709677419355,0.4375,0.4838709677419355,0.393939393939394,0.1219512195121952,0.0952380952380953,0.0222222222222221,0.0,0.0697674418604652,-0.0212765957446807,-0.0612244897959183,-0.0612244897959183,0.0952380952380953,0.2777777777777779,0.1794871794871795,0.0952380952380953,-0.1785714285714286,-0.2068965517241378,-0.28125,-0.2333333333333332,-0.1636363636363637,-0.1320754716981131,-0.1929824561403508,-0.2333333333333332,-0.303030303030303,-0.2333333333333332,-0.1636363636363637,-0.3783783783783784,-0.5660377358490566,-0.5533980582524272,-0.5779816513761469,-0.4457831325301205,-0.361111111111111,-0.303030303030303,-0.3333333333333332,-0.352112676056338
FTQA_00-L,5.0,0.0005195799606214,18.38161486386054,1.9815511770349048,0.0732450048082059,3.930877704847048e-09,-0.1028221395755851,0.0323142512892984,0.149950907679909,0.2827990784706125,0.3829464197525653,-0.248065909773652,-0.1508166365114491,1.6927164046933805,2.523026531280708,0.0414255583797524,-1.0549624725106206,0.1,0.2195121951219512,0.0204081632653061,-0.1666666666666666,-0.180327868852459,-0.1228070175438595,-0.3150684931506849,-0.4318181818181817,-0.4565217391304348,-0.4680851063829787,-0.4623655913978495,-0.4318181818181817,-0.3975903614457831,-0.4623655913978495,-0.4565217391304348,-0.5192307692307693,-0.5412844036697249,-0.635036496350365,-0.6598639455782314,-0.6774193548387097,-0.6598639455782314,-0.6575342465753424,-0.6527777777777778,-0.6527777777777778,-0.635036496350365,-0.6062992125984252,-0.5652173913043478,-0.5614035087719298,-0.576271186440678,-0.5689655172413792,-0.5327102803738317,-0.6031746031746033,-0.5575221238938053,-0.5652173913043478,-0.5726495726495726,-0.5495495495495496,-0.5614035087719298,-0.5614035087719298,-0.2063492063492064,-0.2307692307692308,-0.2957746478873239,-0.5238095238095238,-0.5575221238938053,-0.5238095238095238,-0.4117647058823529,-0.3975903614457831,-0.2857142857142857,-0.3055555555555556,-0.2857142857142857
FTQG_18-L^H98,2.0,-0.5513130083904438,-10.94121718280172,1.8221075502444324,-0.0848206362040744,5.6296491030463663e-08,-0.384487286235829,0.1918939760109393,0.484315407594262,0.7340987201915057,0.1100495753794914,0.0687683806562984,-0.1063899626608436,1.0252580119500272,6.704632227793367,-0.6251649123167963,1.0202488126212788,-0.0402298850574712,0.1917808219178083,0.2340425531914893,0.2253521126760564,0.2608695652173913,0.3809523809523809,0.3700787401574803,0.1999999999999999,0.2167832167832168,0.2517985611510791,0.3700787401574803,0.4380165289256199,0.3488372093023255,0.2608695652173913,0.2985074626865671,0.2253521126760564,0.5398230088495577,0.10126582278481,-0.0333333333333333,-0.0491803278688525,0.0295857988165679,0.0609756097560976,-0.2401746724890829,-0.2627118644067796,-0.348314606741573,-0.3409090909090909,-0.348314606741573,-0.3695652173913043,-0.423841059602649,-0.4101694915254238,-0.4276315789473685,-0.4476190476190476,-0.4476190476190476,-0.4257425742574257,-0.423841059602649,-0.3358778625954198,-0.2719665271966527,-0.2658227848101266,-0.2955465587044534,-0.043956043956044,-0.2955465587044534,-0.4662576687116564,-0.4313725490196078,-0.364963503649635,-0.3358778625954198,-0.13,-0.0279329608938547,0.0740740740740739,0.1372549019607842
FTQX_59-L^F08,3.0,-0.0643001025119323,2.961479110158446,1.2839253107521689,-0.1069311950188506,1.5972750279893816e-06,-0.0620158183557211,0.5271511130128372,-0.0612318063531042,-0.034028890998921,-0.1410914657256451,-0.1496569706962279,-0.1196994043677136,0.7271936528849505,4.818795737100508,-0.2470541112483973,0.4930707941068151,0.08,0.4705882352941175,0.0638297872340425,0.0416666666666667,0.1111111111111111,0.0204081632653061,-0.0909090909090909,-0.2537313432835821,-0.2957746478873239,-0.3150684931506849,-0.2307692307692308,-0.21875,-0.1525423728813558,-0.2537313432835821,-0.4252873563218391,-0.3670886075949368,-0.3506493506493506,-0.4680851063829787,-0.5901639344262295,-0.7023809523809523,-0.7005988023952096,-0.6794871794871795,-0.6951219512195121,-0.7005988023952096,-0.7076023391812866,-0.6376811594202898,-0.5833333333333333,-0.596774193548387,-0.6268656716417911,-0.5833333333333333,-0.5495495495495496,-0.596774193548387,-0.5833333333333333,-0.5934959349593496,-0.5726495726495726,-0.5575221238938053,-0.6124031007751938,-0.6062992125984252,-0.5495495495495496,-0.4845360824742267,-0.504950495049505,-0.7023809523809523,-0.6932515337423313,-0.7058823529411764,-0.691358024691358,-0.6815286624203822,-0.6323529411764706,-0.5689655172413792,-0.5495495495495496
FTRB_07-L^H97,2.0,0.1295774647887324,-2.6777856167145284,3.235394769005133,0.1454404796441351,8.631980388692422e-10,0.0912676056338028,0.0443371852908553,-0.0073463113895035,0.0440713904055943,0.0650013379077995,-0.0093213902787706,0.0052477443763305,2.0073331703739914,4.000886721347816,0.0750536097212293,0.7542999302281084,0.3636363636363635,0.0,0.0185185185185186,0.0,0.0,-0.0350877192982455,-0.1269841269841268,-0.2666666666666666,-0.2465753424657533,-0.2763157894736842,-0.2465753424657533,-0.1911764705882352,-0.0833333333333332,-0.0983606557377048,-0.1666666666666666,-0.1911764705882352,-0.1911764705882352,-0.2666666666666666,-0.2666666666666666,-0.2857142857142857,-0.1538461538461538,-0.0833333333333332,-0.1269841269841268,0.0576923076923077,0.1,0.1956521739130434,0.1224489795918368,0.1,-0.0178571428571429,0.0377358490566037,0.0784313725490197,-0.0178571428571429,0.0,0.0377358490566037,0.2790697674418605,0.2790697674418605,-0.0178571428571429,-0.0517241379310343,0.0784313725490197,0.1956521739130434,-0.1911764705882352,-0.4660194174757281,-0.3956043956043955,-0.4811320754716981,-0.4554455445544554,-0.3888888888888888,-0.4270833333333332,-0.375,-0.5045045045045045
FTRR_S4-L^A11,2.0,-0.0968166117129847,-39.30599611087299,1.2193115392942195,-0.0579876967203834,1.4314225969293748e-08,0.1332136128120584,0.0436406248223862,-0.1351477524340229,-0.1647663652877705,-0.1038881929058992,0.0502023244298559,0.1552672522804982,1.088402973226528,6.144039458284568,-0.2311434250444607,-1.32914024964995,0.5416666666666667,0.1999999999999999,0.0,0.0,-0.142857142857143,-0.2258064516129032,-0.5,-0.5555555555555556,-0.5789473684210527,-0.6,-0.6,-0.625,-0.6521739130434783,-0.6712328767123288,-0.6470588235294118,-0.6470588235294118,-0.6129032258064516,-0.7,-0.7108433734939759,-0.7209302325581395,-0.7272727272727273,-0.76,-0.7692307692307693,-0.7876106194690266,-0.6521739130434783,-0.625,-0.6571428571428571,-0.5555555555555556,-0.5555555555555556,-0.5471698113207548,-0.52,-0.5932203389830508,-0.6571428571428571,-0.6190476190476191,-0.6,-0.5862068965517242,-0.6,-0.6363636363636365,-0.6,-0.6,-0.7446808510638299,-0.813953488372093,-0.7966101694915254,-0.8,-0.8016528925619835,-0.8,-0.8110236220472441,-0.8110236220472441,-0.7857142857142858
