firms,age,agr,cashdebt,che,chpmia,egr,herf,invest,lgr,mve_ia,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BBOU_00-L,23.0,0.0166032692505397,0.1536191145467322,-36.5,-0.0601151207229279,0.3089593211879211,4.017035846205598e-05,0.0298653233268222,-0.0597218434687755,16.334298204584073,-0.0352086977627867,0.0159509202453987,0.0145513338722718,-0.0351014040561623,-0.0455246913580248,0.0155993431855501,0.0316930775646371,0.0206270627062705,0.0308333333333332,0.0438818565400842,0.0794066317626525,0.0682210708117443,0.1204710144927536,0.1276207839562442,0.0976042590949421,0.1871401151631477,0.1691871455576559,0.1094170403587442,0.1015138023152268,0.1307129798903108,0.172511848341232,0.1411439114391144,0.1894230769230769,0.2247524752475247,0.295287958115183,0.2858627858627858,0.3301075268817202,0.3790412486064658,0.4673784104389087,0.5177914110429447,0.5658227848101265,0.5385572139303483,0.3519125683060107,0.287200832466181,0.3977401129943503,0.2532928064842958,0.2898852971845671,0.2247524752475247,0.4088838268792711,0.3759733036707451,0.2648261758691206,0.1882804995196925,0.1691871455576559,0.1974830590513068,0.1986434108527131,0.1453703703703701,0.1464318813716403,0.1359044995408631,0.1359044995408631,0.181470869149952,0.2394789579158316
BBTU_63-L^C18,22.0,-0.033154783893609,0.4437432103874605,10.7,-0.638258705532101,-5.248344370860929,3.908618829887358e-07,-0.0146841521980051,-0.3090447865640308,0.5992783627953835,-0.2091648905250919,-0.0504747142026739,-0.1418918918918918,-0.0326797385620915,-0.0067114093959731,-0.0263157894736841,0.1297709923664121,0.1044776119402983,0.1044776119402983,0.2032520325203253,0.1746031746031746,0.1044776119402983,0.1044776119402983,0.1044776119402983,0.0496453900709219,0.1839999999999999,0.0647482014388489,-0.0512820512820513,-0.075,0.0206896551724138,-0.0573248407643313,0.0724637681159421,0.0724637681159421,0.1839999999999999,-0.0920245398773005,-0.097560975609756,-0.0326797385620915,-0.0573248407643313,-0.1494252873563218,-0.26,-0.0864197530864198,0.0422535211267605,0.0068027210884353,-0.0632911392405063,-0.0198675496688741,0.034965034965035,-0.0807453416149068,-0.241025641025641,-0.2952380952380953,-0.2918660287081339,-0.4329501915708812,-0.4657039711191335,-0.4676258992805755,-0.4196078431372548,-0.4329501915708812,-0.4618181818181818,-0.4329501915708812,-0.5710144927536231,-0.6032171581769437,-0.5934065934065934,-0.5621301775147929
BCQE_67-L^A14,23.0,0.0251256281407035,0.1450506370467167,-10.5,-0.0168803021156838,0.5117647058823529,2.514691941932439e-06,-0.0276381909547738,-0.0503184713375796,1.1513248777276526,0.0726976355977273,0.1083370485956308,-0.100263852242744,-0.0641975308641974,0.0,-0.1103286384976525,-0.1366742596810933,-0.1463963963963964,-0.0954653937947495,-0.1444695259593679,-0.0641975308641974,0.03551912568306,-0.0026315789473683,0.2718120805369128,0.1081871345029239,0.2675585284280934,0.1017441860465115,-0.1040189125295508,-0.1226851851851852,-0.0548628428927679,-0.0155844155844155,0.0133689839572193,0.0646067415730338,0.0298913043478259,0.0557103064066852,0.1147058823529412,0.1519756838905774,0.3439716312056737,0.2804054054054055,0.4689922480620154,0.7546296296296295,1.07103825136612,1.0939226519337018,0.7465437788018434,0.9947368421052634,0.895,0.4689922480620154,0.0797720797720797,0.0736543909348441,0.1955835962145111,-0.0524999999999999,0.0215633423180592,0.2108626198083067,0.2031746031746031,0.238562091503268,0.3345070422535212,0.2426229508196722,-0.0756097560975609,-0.0181347150259066,-0.1061320754716981,-0.2021052631578946
BDAJ_H9-L,16.0,0.0286420770657324,0.1809458533241946,-2.6,-0.044967402334477,1.4745222929936308,1.2063638363849869e-07,0.076241500103029,-0.0713813615333773,0.2680043733144242,-0.0425043512996833,0.0461095100864553,-0.057142857142857,-0.0666666666666667,-0.0728476821192053,-0.0728476821192053,-0.0666666666666667,0.0687022900763356,0.1111111111111109,0.1111111111111109,0.0852713178294573,0.1023622047244092,0.1864406779661016,0.2280701754385965,0.1864406779661016,0.4736842105263157,0.1864406779661016,0.1475409836065573,0.1864406779661016,0.2499999999999997,0.5217391304347825,0.6867469879518071,0.7948717948717947,0.5909090909090908,0.5730337078651684,0.7948717948717947,0.8918918918918919,1.1538461538461535,1.1875,1.1538461538461535,0.917808219178082,1.4137931034482758,1.3728813559322033,1.0588235294117645,1.545454545454545,1.3728813559322033,0.9444444444444444,0.8421052631578947,0.8918918918918919,0.7948717948717947,0.5909090909090908,0.4736842105263157,0.4432989690721649,0.4893617021276595,0.5217391304347825,0.5384615384615383,0.2844036697247705,0.4432989690721649,-0.1411042944785275,-0.1812865497076023,-0.1666666666666667
BFRL_28-L,22.0,-0.0587235121172613,0.0038094986223775,-1.7566,-0.1863169362349937,-0.0827431282495565,4.451015811989165e-08,-0.0429296002991513,-0.053617603006651,0.1012143037686149,-0.0548644698170117,-0.0548644698170117,-0.0409165302782323,-0.065749235474006,-0.0853293413173651,-0.0974889217134415,-0.089418777943368,-0.0512422360248446,0.0516351118760758,0.0391156462585033,0.0719298245614035,0.0391156462585033,0.0338409475465313,0.0833333333333334,0.0833333333333334,0.0910714285714286,-0.0255183413078148,-0.0585516178736517,0.0286195286195285,0.3547671840354769,0.3981693363844394,0.3761261261261261,0.3458149779735684,0.351769911504425,0.3428571428571429,0.3854875283446712,0.4342723004694837,0.4242424242424243,0.4176334106728541,0.3699551569506727,0.3055555555555558,0.3981693363844394,0.3577777777777777,0.3168103448275863,0.4376470588235295,-0.2726190476190476,-0.2837045720984759,-0.4759862778730703,-0.4649737302977232,-0.7425200168563,-0.7009300048947626,-0.7714178825289937,-0.7381054436348049,-0.6964729259811226,-0.6907894736842105,-0.675,-0.6447674418604651,-0.6367419738406659,-0.66280353200883,-0.6516533637400228,-0.6861838726245506
BJJT_37-L,21.0,0.2887855543766848,0.0030477843826651,17.700000000000003,0.0090317539270821,0.0861430159318266,1.4677537453229133e-07,4.0611817023458255e-05,0.258795408983764,0.9290195531149108,0.4334128878281623,0.4334128878281623,-0.0345744680851063,0.0621468926553672,0.1124260355029584,0.0591549295774647,0.1058823529411765,0.2287581699346403,0.2207792207792207,0.4135338345864661,0.5601659751037342,0.3772893772893773,0.2876712328767123,0.4517374517374517,0.3525179856115108,0.8431372549019607,0.504,0.4188679245283018,0.4461538461538461,0.4861660079051384,0.4687499999999998,0.5284552845528454,0.5161290322580645,0.4406130268199233,0.3772893772893773,0.671111111111111,1.010695187165775,0.8799999999999999,1.224852071005917,1.1363636363636362,1.238095238095238,1.1734104046242773,1.1123595505617976,1.1123595505617976,0.9583333333333331,1.1242937853107344,0.7090909090909088,0.6637168141592922,0.8164251207729469,0.7407407407407405,0.4803149606299211,0.3722627737226276,0.3722627737226276,0.4573643410852712,0.4351145038167938,0.3623188405797102,0.2575250836120399,0.0026666666666665,0.0026666666666665,-0.0552763819095477,-0.1376146788990826
BLNT_37-L^D19,14.0,0.1115650453733014,0.1216575071991736,3.388,-0.0186022338954083,0.2677694972364766,2.266136924482627e-07,0.0089686375993631,0.0697994955171397,0.7409382997840628,0.0664808200754358,0.20495428219904,0.0186335403726707,-0.0584795321637425,-0.0612244897959183,-0.0852272727272727,-0.0826210826210824,-0.0473372781065087,0.0031152647975078,0.0238473767885534,0.0915254237288136,0.0878378378378379,0.1418439716312058,0.1278458844133101,0.0769230769230768,0.2337164750957856,0.1459074733096086,0.1624548736462094,0.1459074733096086,0.2803180914512921,0.3760683760683763,0.3305785123966942,0.5011655011655012,0.427937915742794,0.3333333333333335,0.3360995850622406,0.4838709677419357,0.5823095823095823,0.5260663507109007,0.4439461883408073,0.5333333333333334,0.4504504504504505,0.367303609341826,0.4703196347031964,0.288,0.4439461883408073,0.5224586288416075,0.4311111111111112,0.5940594059405941,0.6470588235294119,0.6902887139107612,0.7173333333333334,0.7173333333333334,0.788888888888889,0.8666666666666667,0.9397590361445785,0.9053254437869824,0.7595628415300546,0.7265415549597856,0.6512820512820514,0.7219251336898396
BLNV_40-L^F19,14.0,0.0927885617588993,0.1973363592059993,-8.439,0.3037388778635995,0.0145771026529251,1.3088362158990474e-10,0.0013733737170604,0.3403013022384885,0.0936942140790061,-0.575080553449583,-0.575080553449583,-0.0322580645161291,-0.03125,-0.1014492753623188,0.0,0.0508474576271185,0.0508474576271185,0.054421768707483,0.0726643598615917,0.0130718954248365,0.0402684563758388,0.0402684563758388,0.1969111969111969,0.1923076923076923,0.1923076923076923,0.1481481481481481,0.087719298245614,0.087719298245614,0.0367892976588628,-0.0158730158730158,-0.0158730158730158,-0.0606060606060605,0.0333333333333334,0.0333333333333334,0.0,0.3304721030042918,0.2704918032786885,0.2301587301587302,0.2916666666666667,0.3839285714285714,0.3362068965517242,0.4220183486238531,0.4027149321266969,0.4903846153846154,0.4090909090909089,-0.0064102564102563,0.3362068965517242,0.455399061032864,0.1111111111111111,-0.0746268656716417,-0.0828402366863905,-0.1142857142857142,-0.0718562874251496,-0.0251572327044025,-0.0882352941176469,0.1071428571428572,-0.0828402366863905,-0.0461538461538461,-0.1142857142857142,-0.1364902506963787
BPVK_29-L,15.0,0.0539570464886868,0.3021828987279745,1249.7788999999998,-0.03383650676146,0.1587308349240931,0.0001836682081452,0.016155407272855,-0.0105053699296697,20.37964622425881,0.0917282296119791,0.0459105771228935,-0.0115254237288136,-0.055697823303457,-0.0737833594976452,-0.0133779264214046,0.0189982728842832,-0.0100671140939597,-0.0270448548812665,0.0095824777549624,-0.028006589785832,-0.0520565552699229,-0.0844196151458721,-0.1019786910197869,-0.0948143602332004,-0.0462334303265438,0.0158402203856748,0.0211145725164416,0.0013577732518668,0.0071696824854898,0.0047683923705721,0.0137457044673539,0.071558300036324,0.0841602352076442,0.0669077757685352,0.0329131652661065,0.06038820992092,0.0893648449039883,0.1451863354037266,0.2688172043010752,0.2164948453608246,0.3169642857142858,0.095025983667409,0.0509440684004274,0.2190082644628099,0.0909763313609468,0.1673921646220815,0.0782163742690058,0.2105047189167008,0.3849765258215962,0.3532110091743119,0.4027579648121731,0.464746772591857,0.5708200212992545,0.4148681055155874,0.3632162661737523,0.2870855148342057,0.2660944206008584,0.1919191919191918,0.2129934210526316,0.1660079051383398
BUBP_92-L^K18,15.0,0.1144879267277269,0.2538829849351862,43.0,0.0889442080669275,0.8482142857142857,1.7708244499349858e-05,0.0129059117402164,0.0176720075400565,6.1316699022082926,0.0981398738134861,0.1158660351826793,-0.0330459770114941,-0.1802120141342756,-0.1614457831325302,-0.173396674584323,-0.1594202898550724,-0.1223203026481715,-0.0842105263157894,-0.0543478260869565,-0.0346740638002773,-0.0183356840620592,-0.0141643059490084,-0.0224719101123596,-0.0252100840336133,0.0,0.2210526315789474,0.1317073170731706,0.1372549019607842,0.256317689530686,0.2912801484230056,0.2384341637010676,0.2747252747252746,0.2888888888888887,0.2146596858638743,0.2794117647058822,0.3132075471698112,0.5064935064935066,0.5466666666666666,0.4262295081967213,0.6073903002309469,0.5130434782608697,0.446985446985447,0.4499999999999999,0.6811594202898552,0.7846153846153847,0.6730769230769229,0.4903640256959314,0.5605381165919283,0.5263157894736843,0.303370786516854,0.2700729927007299,0.2167832167832168,0.2540540540540541,0.2517985611510791,0.1243941841680129,0.140983606557377,0.0086956521739129,0.0175438596491228,0.0357142857142858,0.0625954198473282
