firms,age,cashdebt,chcsho,chinv,depr,grltnoa,herf,mve_ia,saleinv,secured,securedind,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,2.0,0.1929733770340981,0.0039706518436967,0.0069225539279312,0.0775067750677506,0.0270103220223738,1.0046074590866815e-05,1.0026873903049571,6.131041524846834,1.0,1.0,0.6931658408165908,-0.0555555555555556,-0.2767857142857142,-0.3106382978723403,-0.3753213367609254,-0.6115107913669064,-0.5095862764883956,-0.544943820224719,-0.5874363327674024,-0.6194205168363351,-0.6455142231947484,-0.6273006134969324,-0.6273006134969324,-0.6892583120204603,-0.7263513513513513,-0.7190751445086705,-0.6811023622047243,-0.6521116678596994,-0.6555634301913535,-0.6555634301913535,-0.6418570375829035,-0.6383928571428571,-0.5676156583629893,-0.5729349736379614,-0.6488439306358381,-0.615506329113924,-0.6309794988610478,-0.6768617021276595,-0.6837996096291477,-0.6918199112238428,-0.701840490797546,-0.6943396226415095,-0.6994434137291281,-0.698136645962733,-0.6725067385444743,-0.6796308503625577,-0.7005545286506469,-0.7480559875583204,-0.7531742001015744,-0.7687916270218839,-0.773109243697479,-0.773109243697479,-0.7695590327169275,-0.7515337423312883,-0.7372972972972973,-0.7263513513513513,-0.7436708860759493,-0.7202072538860104,-0.7515337423312883,-0.744613767735155
BALZ_07-L^I10,2.0,0.0710217755443886,0.0001950705026146,-0.0060163300386764,0.1525129982668977,-0.0567253975075193,2.764301991730967e-07,0.148765429507064,6.110429447852761,1.0,1.0,6.550228835433954,-0.04,-0.1379310344827585,-0.1666666666666666,-0.2424242424242424,-0.3055555555555556,-0.2647058823529412,-0.3421052631578947,-0.3055555555555556,-0.3243243243243243,-0.2647058823529412,-0.2857142857142857,-0.2424242424242424,-0.3243243243243243,-0.2857142857142857,-0.3421052631578947,-0.375,-0.375,-0.4680851063829787,-0.5535714285714286,-0.576271186440678,-0.609375,-0.5614035087719298,-0.5689655172413792,-0.5833333333333333,-0.5283018867924529,-0.5370370370370371,-0.5901639344262295,-0.576271186440678,-0.4791666666666666,-0.5098039215686274,-0.4791666666666666,-0.5192307692307693,-0.5833333333333333,-0.5614035087719298,-0.5098039215686274,-0.5833333333333333,-0.7395833333333333,-0.7252747252747254,-0.75,-0.7395833333333333,-0.7422680412371134,-0.6987951807228916,-0.6268656716417911,-0.6428571428571428,-0.5535714285714286,-0.5283018867924529,-0.5192307692307693,-0.4897959183673469,-0.4897959183673469
BBEK_99-L^L95,1.0,0.5666887856668879,0.0014577259475218,0.3546666666666667,0.1315612382234186,0.5540512820512682,2.9699182818566348e-06,6.180376253228416,5.664545980335454,1.0,1.0,0.5109798278491671,-0.0253521126760563,0.0534124629080117,-0.0633245382585752,-0.0405405405405406,-0.0533333333333333,0.0856269113149845,0.0597014925373133,0.1093749999999997,0.0757575757575756,0.0380116959064327,0.0319767441860465,0.1024844720496893,0.1378205128205127,-0.0083798882681564,0.0502958579881656,0.1912751677852349,0.2074829931972788,0.1794019933554818,0.2157534246575341,0.2678571428571428,0.3446969696969695,0.5638766519823788,0.5570175438596492,0.4143426294820718,0.4609053497942386,0.5777777777777777,0.4489795918367345,0.4087301587301586,0.4257028112449796,0.4087301587301586,0.5502183406113537,0.4978902953586497,0.392156862745098,0.4978902953586497,0.6666666666666667,0.3498098859315588,0.0410557184750732,0.0171919770773638,0.0823170731707316,0.0260115606936415,0.0410557184750732,0.1305732484076431,0.2074829931972788,0.1451612903225805,0.2199312714776631,0.38671875,0.3601532567049808,0.2769784172661871,0.3246268656716415
BBIO_50-L^J00,1.0,0.2164405426975259,-0.0019237957522,0.0222738659342649,0.1151672521765694,0.0106842121148098,1.3845920413604918e-05,1.967943388071367,5.521409921671018,1.0,1.0,0.9948160043815316,-0.0660377358490567,-0.0862068965517239,-0.1653543307086613,-0.2318840579710144,-0.1908396946564885,-0.1846153846153846,-0.196969696969697,-0.1782945736434108,-0.2689655172413793,-0.2885906040268455,-0.2148148148148148,-0.1846153846153846,-0.273972602739726,-0.3116883116883117,-0.2789115646258503,-0.2030075187969925,-0.196969696969697,-0.1846153846153846,-0.1382113821138211,-0.1166666666666665,-0.1092436974789915,0.06,0.0192307692307691,-0.0535714285714286,0.0291262135922329,0.0291262135922329,-0.0619469026548671,0.0,-0.0093457943925233,0.0192307692307691,0.0707070707070707,-0.0275229357798165,0.0,0.1276595744680853,0.2470588235294117,0.1648351648351649,-0.2374100719424459,-0.196969696969697,-0.2262773722627737,-0.1382113821138211,-0.0619469026548671,-0.045045045045045,0.0192307692307691,-0.1016949152542372,-0.0275229357798165,0.1521739130434782,0.1521739130434782,0.2619047619047621,0.2325581395348839
BBNH_32-L^L97,4.0,0.1336372926656709,0.0040485829959514,0.0084254870984728,0.0575079872204472,-0.0634017904160018,0.0002732281314454,14.23747023688412,6.963676797627873,1.0,1.0,0.7982346326510389,0.0222222222222221,-0.032258064516129,-0.1793313069908814,-0.1717791411042943,-0.150943396226415,-0.0109890109890109,-0.0753424657534246,-0.0357142857142855,-0.1118421052631578,-0.1401273885350318,-0.0526315789473683,0.0465116279069768,-0.0657439446366782,-0.1455696202531645,-0.0939597315436241,-0.0217391304347824,0.007462686567164,-0.0592334494773518,-0.0145985401459853,0.0465116279069768,0.0546875,0.2558139534883723,0.2053571428571428,0.2000000000000001,0.1111111111111111,0.1065573770491803,0.0931174089068824,0.062992125984252,0.062992125984252,0.1065573770491803,0.148936170212766,0.148936170212766,0.1894273127753305,0.2053571428571428,0.4361702127659577,0.3366336633663367,-0.0492957746478872,0.0112359550561798,-0.028776978417266,0.007462686567164,-0.0526315789473683,0.0887096774193549,0.1688311688311687,0.062992125984252,0.0931174089068824,0.1842105263157896,0.148936170212766,0.2272727272727273,0.291866028708134
BBOU_00-L,1.0,0.2266808964781216,0.0011123470522803,0.0525451559934318,0.0591054313099041,0.0567414705345655,1.399428843125402e-05,16.5383292944507,1.5014124293785311,1.0,1.0,0.8692476710749248,0.0433673469387754,-0.0485436893203884,-0.1605995717344753,-0.1459694989106753,-0.1269487750556793,0.0129198966408268,0.0103092783505154,0.0370370370370369,0.018181818181818,-0.0125944584382872,0.0425531914893617,0.136231884057971,0.1951219512195121,0.1395348837209302,0.2523961661341853,0.3424657534246575,0.3900709219858156,0.4572490706319703,0.5494071146245061,0.7043478260869567,0.7422222222222221,1.0310880829015543,1.0631578947368423,0.9898477157360406,1.10752688172043,1.227272727272727,1.074074074074074,1.0416666666666663,1.0851063829787235,1.1538461538461535,1.292397660818713,1.2399999999999998,1.3473053892215567,1.3473053892215567,1.76056338028169,1.648648648648649,0.8064516129032258,0.9121951219512195,0.8490566037735847,0.8846153846153846,0.8937198067632852,1.0416666666666663,1.165745856353591,1.0631578947368423,1.3195266272189348,1.3473053892215567,1.3473053892215567,1.0,1.1304347826086951
BBQS_26-L^G99,1.0,0.3373907360509762,-0.0003182081453076,0.5697516930022573,0.0971845318860244,0.5195259593679172,4.2116592562002045e-05,3.512807591157252,7.306259904912836,1.0,1.0,0.4753610078756874,0.037190082644628,-0.0509803921568626,-0.1247739602169982,-0.1279279279279279,-0.0692307692307693,0.0453563714902807,0.09255079006772,-0.0565302144249513,-0.0867924528301886,-0.1463844797178131,-0.0798479087452471,-0.1119266055045872,-0.1754684838160136,-0.2065573770491803,-0.1279279279279279,-0.0936329588014981,-0.0936329588014981,-0.0867924528301886,-0.0936329588014981,-0.1086556169429097,-0.1070110701107011,0.0276008492569002,-0.0396825396825397,-0.0780952380952381,-0.0656370656370656,-0.0509803921568626,-0.1183970856102004,-0.1523642732049036,-0.1037037037037037,-0.1151736745886654,-0.0970149253731343,-0.1433628318584071,-0.1726495726495726,-0.1310592459605027,0.0779510022271714,-0.0358565737051792,-0.28928046989721,-0.2389937106918239,-0.2413793103448276,-0.1838111298482293,-0.1523642732049036,-0.0620155038759689,-0.0281124497991969,-0.1640759930915372,0.0684326710816776,0.1388235294117645,0.1229698375870069,0.1634615384615383,0.1126436781609196
BBTU_63-L^C18,1.0,0.2452513713223627,0.0011641443538998,0.0652453120986385,0.0294185884645724,1.222364928503891,4.146367610806581e-05,5.946077326771182,24.01246719160105,1.0,1.0,0.7742617184520676,0.0985663082437275,-0.1415384615384615,-0.245945945945946,-0.2753246753246753,-0.2408163265306122,-0.0792079207920791,-0.1854014598540145,-0.1733333333333333,-0.2408163265306122,-0.2900763358778626,-0.2140845070422534,-0.1415384615384615,-0.2667542706964521,-0.2734375,-0.2638522427440632,-0.1684053651266766,-0.1646706586826346,-0.1375579598145285,-0.1142857142857142,-0.0926829268292683,-0.0278745644599303,0.1160000000000001,0.1387755102040815,0.0608365019011407,0.0813953488372092,0.1364562118126273,0.1071428571428572,0.125,0.174736842105263,0.1923076923076923,0.2236842105263159,0.3160377358490565,0.3381294964028778,0.5040431266846361,0.6557863501483678,0.3743842364532022,0.1027667984189724,0.1341463414634147,0.1027667984189724,0.1847133757961783,0.1576763485477177,0.1387755102040815,0.1772151898734177,0.1576763485477177,0.2976744186046511,0.3643031784841075,0.4607329842931937,0.4271099744245523,0.4801061007957559
BBVN_02-L^I99,2.0,0.1572159672466734,0.0006761703559406,0.0176372206173027,0.1352757544224766,-0.0246312908620952,3.821031341675097e-07,0.7649454730307561,6.387272727272728,1.0,1.0,0.7926927445909775,0.0439560439560438,0.0,-0.1078431372549019,-0.1121951219512193,-0.0108695652173913,-0.0569948186528497,-0.0808080808080807,-0.0319148936170211,-0.021505376344086,-0.0808080808080807,-0.0945273631840795,-0.0108695652173913,-0.1612903225806451,-0.1574074074074074,-0.1333333333333333,-0.0370370370370369,-0.021505376344086,-0.021505376344086,-0.0267379679144385,-0.0761421319796954,-0.0808080808080807,0.0459770114942528,0.0282485875706215,-0.0370370370370369,-0.0162162162162162,-0.0899999999999999,-0.2479338842975206,-0.2017543859649121,-0.2052401746724891,-0.2352941176470587,-0.1875,-0.2352941176470587,-0.2540983606557376,-0.1875,-0.1946902654867255,-0.1534883720930232,-0.4166666666666666,-0.3308823529411765,-0.3308823529411765,-0.3308823529411765,-0.2972972972972972,-0.3,-0.198237885462555,-0.3851351351351351,-0.2834645669291338,-0.1291866028708133,-0.1121951219512193,-0.1121951219512193,-0.0267379679144385
BBXK_89-L^E06,2.0,0.4216760438258809,0.0014787430683918,0.0030616031667491,0.0443723382680997,0.0225754576942051,9.73768672450026e-05,16.036848226836423,14.98290141597649,1.0,1.0,1.000214891580403,0.0346153846153844,-0.0545454545454545,-0.0972222222222222,-0.068100358422939,-0.0188679245283017,0.1818181818181816,0.1206896551724139,0.0699588477366255,0.0878661087866108,0.0970464135021096,0.092436974789916,0.1659192825112108,0.1158798283261801,-0.0038314176245209,0.0441767068273091,0.1353711790393013,0.2322274881516588,0.2871287128712871,0.368421052631579,0.3471502590673576,0.25,0.4285714285714286,0.5294117647058825,0.2745098039215685,0.3471502590673576,0.4606741573033708,0.2745098039215685,0.2621359223300972,0.2440191387559809,0.2264150943396226,0.2560386473429954,0.2440191387559809,0.2322274881516588,0.2093023255813955,0.2745098039215685,0.1016949152542374,-0.078014184397163,-0.068100358422939,-0.1447368421052631,-0.0940766550522648,-0.1304347826086956,-0.0545454545454545,0.0276679841897233,0.0236220472440944,0.1659192825112108,0.2322274881516588,0.1981566820276499,0.1158798283261801,0.1158798283261801
