firms,absacc,acc,age,agr,chpmia,currat,egr,herf,invest,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,salerec,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FSQT_46-L^B04,0.0071476294656309,0.0071476294656309,3.0,-0.1130167802157598,-0.4478634350883929,1.669736595425572,-0.0129595906556882,3.095831916645877e-07,-0.1286895215117026,0.0867769986092898,-4.974813380341471,0.048137660626545,0.1633092159244193,-0.1551721310365882,-0.2585418990320181,0.1116751269035552,0.7136646981627298,7.503304204165035,-0.2926615844911677,1.6320829830482315,0.0,-0.425,-0.5855855855855856,-0.6198347107438016,-0.6150627615062761,-0.6475095785440612,-0.6392156862745098,-0.6567164179104478,-0.7220543806646526,-0.7371428571428571,-0.640625,-0.6392156862745098,-0.6592592592592592,-0.6567164179104478,-0.6461538461538461,-0.7041800643086816,-0.7513513513513513,-0.7363896848137537,-0.7151702786377709,-0.7022653721682848,-0.747945205479452,-0.7634961439588689,-0.7628865979381443,-0.7875288683602771,-0.7733990147783251,-0.6567164179104478,-0.7041800643086816,-0.7142857142857143,-0.7079365079365079,-0.7115987460815048,-0.735632183908046,-0.7401129943502824,-0.7513513513513513,-0.7333333333333334,-0.7348703170028819,-0.6912751677852349,-0.7012987012987013,-0.7309941520467835,-0.7106918238993711,-0.7237237237237237,-0.7458563535911602,-0.7325581395348837,-0.7125,-0.7079365079365079,-0.7142857142857143,-0.7106918238993711,-0.6923076923076923,-0.667870036101083,-0.6244897959183673
FSQU_37-L^E00,0.0507897181790027,-0.0507897181790027,3.0,-0.1226744186046511,-0.4260482760291729,1.3671432425141623,-0.311111111111111,6.467145510654591e-06,-0.0018895348837209,0.1696936824370489,0.6863871863182897,-0.0413497297749829,-0.0403836929780014,-0.1307245350976733,0.038714774822228,-0.654690618762475,1.3555435662260589,8.31190727081138,0.038714774822228,1.6320829830482315,-0.1657754010695187,-0.1904761904761904,-0.2579365079365079,-0.2208333333333332,-0.2042553191489361,-0.2142857142857142,-0.272373540856031,-0.3199999999999999,-0.3297491039426523,-0.3807947019867549,-0.2008547008547008,-0.1904761904761904,-0.210970464135021,-0.1576576576576577,-0.0507614213197968,-0.2042553191489361,-0.2835249042145593,-0.2862595419847328,-0.2666666666666666,-0.1261682242990653,-0.1725663716814157,-0.210970464135021,-0.2076271186440677,-0.2579365079365079,-0.2549800796812748,0.0053763440860215,-0.2429149797570851,-0.2666666666666666,-0.3392226148409893,-0.3639455782312925,-0.3807947019867549,-0.3908794788273615,-0.3987138263665594,-0.3703703703703703,-0.3321428571428571,-0.236734693877551,-0.2579365079365079,-0.3022388059701493,-0.26953125,-0.26953125,-0.3048327137546468,-0.3551724137931034,-0.3321428571428571,-0.3273381294964028,-0.3273381294964028,-0.2637795275590551,-0.2779922779922779,-0.2272727272727271,-0.0507614213197968
FSRC_60-L^I04,0.09297188225364,-0.09297188225364,9.0,-0.1334482121976737,0.284348022951564,1.695039891480893,0.0401478883253542,3.3859916858093616e-08,-0.2278909471352083,0.0507598976593541,1.9734910594295565,0.2318840765541131,0.5255752137005181,0.0943693222159516,0.1937567555877503,-3.614201486798258,1.2056151498384706,4.996148459383754,-0.2044491525423728,0.5463984557449348,0.2647058823529411,-0.081081081081081,-0.1904761904761903,-0.15,-0.1282051282051282,-0.2093023255813952,-0.2608695652173912,-0.3061224489795917,-0.4035087719298245,-0.2608695652173912,-0.081081081081081,-0.2093023255813952,-0.2272727272727271,0.2142857142857142,-0.2093023255813952,-0.4137931034482758,-0.4848484848484848,-0.46875,-0.4603174603174602,-0.5,-0.5405405405405406,-0.5853658536585366,-0.575,-0.5584415584415584,-0.5405405405405406,-0.7322834645669292,-0.7861635220125787,-0.7622377622377622,-0.7364341085271318,-0.734375,-0.7571428571428571,-0.8121546961325967,-0.8089887640449438,-0.829145728643216,-0.8191489361702128,-0.8057142857142857,-0.8229166666666666,-0.8238341968911918,-0.8229166666666666,-0.7875,-0.8265306122448979,-0.8210526315789474,-0.8068181818181818,-0.8131868131868132,-0.8142076502732241,-0.8349514563106796,-0.83,-0.8349514563106796,-0.8162162162162162
FSRD_76-L^L07,0.1166703080620494,0.1166703080620494,3.0,0.0966559780119101,0.0088561016524801,1.0083217753120668,0.0634920634920634,4.642835891905765e-07,0.1809436555199266,1.430722193023687,0.0743145320138061,-0.0524121851447858,-0.1053009195461293,-0.11116232209409,0.0010997880756195,1.13375796178344,0.8099861303744801,4.58957654723127,0.1103230890464933,0.6757031458479941,-0.0293040293040293,0.0340909090909089,0.0224719101123596,0.0340909090909089,0.1142857142857141,0.2297297297297296,0.1973684210526316,0.1470588235294119,0.1818181818181818,0.2187499999999997,0.365,0.4000000000000001,0.5251396648044693,0.5423728813559321,0.5251396648044693,0.5964912280701755,0.3857868020304569,0.3125,0.4368421052631579,0.625,0.5423728813559321,0.4521276595744681,0.4368421052631579,0.3928571428571428,0.5166666666666666,0.5872093023255813,0.4836956521739128,0.5689655172413792,0.5780346820809248,0.6646341463414636,0.7960526315789473,0.75,0.7062499999999998,0.7169811320754715,0.4918032786885244,0.7169811320754715,0.4836956521739128,0.421875,0.4293193717277488,0.4836956521739128,0.3857868020304569,0.4000000000000001,0.4598930481283421,0.4677419354838708,0.6646341463414636,0.6445783132530121,0.7960526315789473,0.6956521739130435,0.7388535031847132
FSRE_07-L^C00,0.0402117484591975,0.0402117484591975,3.0,0.025898424790535,-0.0588092068169779,2.080964512540816,0.0720883296643764,7.369582373030572e-07,0.031640965807945,1.085850974320569,0.5479769438614922,0.4419549623712407,0.4800133792880044,-0.0006845602586702,-0.0554891628159497,0.5351211543697256,1.5106605906204025,7.439955294775077,-0.0787014851784894,0.8487009250264425,0.1282051282051282,-0.1612903225806451,-0.1789473684210525,-0.1958762886597937,-0.1521739130434782,-0.0714285714285714,-0.0126582278481012,-0.0126582278481012,-0.1136363636363636,-0.1521739130434782,-0.025,0.0985915492957747,0.0540540540540541,0.1470588235294117,0.2580645161290322,0.1142857142857143,-0.0930232558139534,-0.1521739130434782,-0.1333333333333333,-0.0126582278481012,-0.025,-0.0714285714285714,-0.1136363636363636,-0.1702127659574467,-0.025,0.0263157894736842,-0.0823529411764705,-0.1521739130434782,-0.1789473684210525,-0.2352941176470587,-0.2352941176470587,-0.1702127659574467,-0.1521739130434782,-0.0714285714285714,-0.0126582278481012,0.1641791044776119,0.1818181818181818,0.0985915492957747,0.2380952380952381,0.3448275862068968,0.1641791044776119,0.1470588235294117,0.1818181818181818,0.21875,0.2580645161290322,0.21875,0.3,0.3928571428571428,0.5918367346938775
FSRH_90-L^J04,0.013475415740138,-0.013475415740138,3.0,0.1701894998001208,-0.1863360363518735,1.809941520467836,-0.0500150162567302,7.670050926915163e-07,0.0762955845524768,1.506969970532236,0.573367705651816,1.0928505409207605,1.2873628175742673,0.1682192003171907,0.1213251987550461,-0.4177592829705511,1.6637426900584795,5.635892116182572,0.1213251987550461,0.2570373968180954,-0.0365853658536584,-0.108695652173913,-0.098901098901099,-0.1458333333333333,0.0249999999999999,0.0249999999999999,-0.029585798816568,-0.1546391752577319,-0.1546391752577319,-0.1182795698924732,0.0123456790123457,-0.0574712643678161,-0.0681818181818183,-0.088888888888889,0.0249999999999999,-0.0786516853932585,-0.2038834951456312,-0.2115384615384616,-0.18,-0.04093567251462,-0.1229946524064171,-0.136842105263158,-0.2115384615384616,-0.2869565217391304,-0.2477064220183487,-0.136842105263158,-0.2407407407407408,-0.2743362831858408,-0.2813321647677477,-0.1937069813176009,-0.2015579357351509,-0.1641182466870541,-0.1377497371188223,-0.108695652173913,-0.0702947845804989,0.0366624525916561,0.0073710073710071,-0.028436018957346,0.0991957104557639,0.1263736263736261,0.0621761658031088,0.0718954248366012,0.1263736263736261,0.1388888888888888,0.105121293800539,0.1747851002865328,0.2693498452012384,0.3141025641025639,0.6015624999999998
FSRI_58-L,0.0692166295810943,0.0692166295810943,28.0,0.2749299719887955,-0.2389502099649489,2.347760832728153,0.1470865182231084,5.417871457503456e-09,0.0649059623849539,0.2987921076153607,0.7789232703012132,-0.2387469942064657,-0.2320480712669969,0.0617656310599699,-0.0650049407277203,0.5065653964984559,2.0186879690147665,4.835539553108123,-0.0399276718319631,0.7006947410486423,-0.0298507462686565,0.0049999999999998,-0.0779816513761469,0.0414507772020724,0.0748663101604276,0.1964285714285714,0.1420454545454543,0.0864864864864862,0.1823529411764703,0.2407407407407404,0.3489932885906039,0.2407407407407404,0.2562499999999998,0.4671532846715325,0.4255319148936169,0.3399999999999998,0.1964285714285714,0.1485714285714283,0.218181818181818,0.2641509433962261,0.2331288343558282,0.3223684210526314,0.2967741935483869,0.2641509433962261,0.4888888888888887,0.6209677419354838,0.4154929577464787,0.5703124999999998,0.6209677419354838,0.5952380952380951,0.5952380952380951,0.7478260869565216,0.7179487179487178,0.732758620689655,0.8611111111111107,1.0099999999999998,1.0303030303030305,1.0303030303030305,1.072164948453608,1.61038961038961,1.5769230769230766,1.5769230769230766,1.5443037974683542,1.7534246575342465,2.045454545454545,2.1904761904761902,1.7534246575342465,2.1904761904761902,2.406779661016949
FSRL_02-L^A01,0.0266651258139721,0.0266651258139721,3.0,0.0275675180064995,-0.0927014390172142,1.3114551466271127,-0.0031167813068986,1.2084579607714184e-06,0.0074165384732932,0.3955054198883476,0.9775051675578856,-0.0180001250044379,0.0266180991208733,0.0201838751469165,-0.1128612272282353,0.535006804778466,0.9855381477704642,5.537739449600884,0.0903759321556939,0.7232861327163695,0.0144927536231884,-0.0580204778156997,-0.1038961038961039,-0.0921052631578948,0.0415094339622641,-0.0383275261324043,-0.1610942249240122,-0.1834319526627219,-0.1182108626198084,-0.0860927152317881,0.0952380952380951,-0.0107526881720431,-0.0315789473684211,-0.0416666666666667,-0.0142857142857143,-0.0860927152317881,-0.1455108359133127,-0.1953352769679301,-0.0980392156862746,-0.1067961165048544,-0.1096774193548387,-0.1906158357771261,-0.2459016393442623,-0.2698412698412699,-0.2225352112676056,-0.2,-0.2698412698412699,-0.2793733681462141,-0.2831168831168832,-0.2580645161290323,-0.2560646900269542,-0.2479564032697547,-0.2479564032697547,-0.2679045092838197,-0.28125,-0.2247191011235956,-0.2717678100263853,-0.2868217054263566,-0.2375690607734807,-0.2698412698412699,-0.2886597938144331,-0.2438356164383561,-0.2479564032697547,-0.2,-0.142857142857143,-0.1610942249240122,-0.1559633027522936,-0.112540192926045,-0.089108910891089
FSRQ_13-L^E09,0.0442539652833013,0.0442539652833013,8.0,0.1311792531848532,-0.0412687505737033,0.6923585113411144,0.0090787385957952,4.142318877946876e-08,0.1066217822414026,0.391496828137479,-0.4634115123293929,-0.1658569208183984,-0.031180142189332,-0.6846665243672958,0.1566310312291019,0.7352154716746472,0.4444322102326948,6.301292608673953,0.1566310312291019,0.6065125245131666,-0.0350877192982456,-0.0393258426966292,-0.0706521739130435,-0.0228571428571429,0.0058823529411764,0.1103896103896102,0.0178571428571427,0.0058823529411764,0.0822784810126582,0.0822784810126582,0.1958041958041958,0.125,0.2214285714285715,0.2857142857142856,0.3571428571428572,0.3571428571428572,0.1958041958041958,0.1875,0.1476510067114094,0.4132231404958677,0.3902439024390243,0.2214285714285715,0.1399999999999999,0.0822784810126582,0.0178571428571427,0.0118343195266272,-0.1185567010309278,-0.1363636363636363,-0.145,-0.145,-0.109375,-0.123076923076923,-0.1778846153846154,-0.2331838565022421,-0.1933962264150943,0.0058823529411764,0.0118343195266272,-0.0058139534883721,-0.0058139534883721,0.0239520958083832,-0.0338983050847457,-0.0284090909090909,-0.0446927374301676,0.0239520958083832,-0.0058139534883721,-0.0806451612903226,-0.0806451612903226,0.0239520958083832,0.0058823529411764
FSRS_45-L,0.0233037948995468,0.0233037948995468,2.0,-0.0037135815806353,-0.5642824600452415,1.606271935822052,0.1257952135716449,3.056624013993838e-08,0.0277393290795944,0.2101460308338654,0.9158279834191356,0.0835914145284184,0.0237310799229976,0.2294537544367559,-0.2872945981100835,0.2556270096463033,1.004033912211131,3.391538196941743,0.0754814271265096,0.8051420998490473,-0.0681818181818183,-0.1269841269841268,-0.0476190476190475,-0.105691056910569,-0.1199999999999998,-0.105691056910569,-0.140625,-0.1634980988593154,-0.1791044776119402,-0.1791044776119402,-0.0677966101694914,-0.1129032258064515,-0.043478260869565,-0.0265486725663715,-0.0598290598290597,-0.1439688715953306,-0.3081761006289307,-0.1199999999999998,0.1,0.1224489795918368,0.1055276381909549,0.0091743119266054,-0.1269841269841268,-0.1093117408906882,-0.0598290598290597,-0.0677966101694914,-0.1941391941391941,-0.2439862542955326,-0.188191881918819,-0.1093117408906882,-0.0393013100436681,-0.0833333333333332,0.0138248847926267,-0.0134529147982062,0.0138248847926267,0.0891089108910891,0.0,-0.1698113207547168,-0.105691056910569,-0.0638297872340425,-0.1999999999999999,-0.0557939914163089,0.1,0.0280373831775702,-0.0393013100436681,-0.105691056910569,-0.0598290598290597,-0.0557939914163089,0.264367816091954
