firms,chcsho,mve_ia,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BBOU_00-L,2.4191812534020992e-05,16.16146874750873,0.0682239525398591,-0.0540161346895826,-0.0249457700650759,0.0950060901339828,-0.040896159317212,-0.1294383473208522,-0.1574507966260543,-0.1366837387964148,-0.1448953709575142,-0.1871609403254973,-0.2489557226399331,-0.2351106069200227,-0.2001779359430605,-0.1977989292088042,-0.1652739090064996,-0.1311211340206185,-0.0820285908781484,-0.0706409372846312,-0.0350626118067978,-0.0449716713881019,0.0086013462976815,-0.0185589519650655,-0.0066298342541436,-0.0385026737967915,-0.0029574861367838,-0.0069955817378498,0.0349194167306217,0.1181592039800993,0.1098765432098765,0.0702380952380952,-0.0102752293577982,0.0514619883040936,0.0601415094339621,0.0936739659367396,0.041714947856315,0.105327868852459,0.1865376154861415,0.1510883482714469,0.2008014247551202,0.1834137779727951,0.1828947368421052,0.2326325411334551,0.2781990521327013,0.3718209562563579,0.2486111111111109,0.201336302895323,0.2941458733205373,0.2515081206496519,0.280018984337921
BDAJ_H9-L,6.186631437388382e-06,0.1275139159879237,-0.081081081081081,-0.0573248407643313,-0.0807453416149068,0.1297709923664121,-0.421875,-0.4788732394366197,-0.4657039711191335,-0.4126984126984127,-0.3983739837398373,-0.2169312169312168,-0.097560975609756,-0.0326797385620915,-0.097560975609756,-0.0198675496688741,-0.069182389937107,-0.069182389937107,-0.119047619047619,-0.097560975609756,0.0724637681159421,-0.0512820512820513,-0.0807453416149068,-0.159090909090909,-0.1345029239766081,-0.2127659574468084,-0.2210526315789474,-0.2085561497326203,-0.1494252873563218,-0.2815533980582524,-0.3363228699551569,-0.3508771929824561,-0.3884297520661157,-0.3781512605042016,-0.3755274261603376,-0.3242009132420091,-0.3537117903930131,-0.3807531380753138,-0.3537117903930131,-0.3272727272727274,-0.308411214953271,-0.2918660287081339,-0.2952380952380953,-0.2673267326732673,-0.241025641025641,-0.2291666666666666,-0.2371134020618556,-0.3116279069767441,-0.3211009174311927,-0.3565217391304347,-0.3272727272727274
BFRL_28-L,-0.0054203895863292,0.0481919105424068,-0.0572831423895254,0.037351443123939,0.0626086956521738,0.0200333889816359,-0.2054616384915474,-0.1430575035063113,-0.1271428571428571,-0.1345609065155806,-0.2044270833333332,-0.2475369458128077,-0.2428748451053284,-0.3064699205448354,-0.1765498652291104,-0.2256020278833966,-0.2002617801047119,-0.2064935064935065,-0.2156611039794608,-0.189655172413793,-0.1765498652291104,-0.2837045720984759,-0.3307776560788609,-0.32560706401766,-0.370103092783505,-0.3380281690140845,-0.354122621564482,-0.3472222222222221,-0.4153110047846889,-0.4284377923292797,-0.3896103896103895,-0.3713991769547325,-0.3173184357541898,-0.2743467933491685,-0.2256020278833966,-0.1618655692729766,-0.2146529562982004,-0.1831550802139037,-0.1572413793103447,-0.1490250696378829,-0.1233859397417502,-0.1221264367816091,-0.101470588235294,-0.0728376327769346,0.1028880866425994,0.1772639691714836,0.0738137082601053,0.0480274442538593,0.0552677029360968,0.1980392156862747,0.2623966942148761
BHDY_33-L,0.0014317520606672,0.2436244176335187,0.7698209718670075,0.2105263157894736,0.6359832635983262,0.7935779816513762,0.7692307692307694,1.0687830687830688,1.005128205128205,1.005128205128205,0.9356435643564356,0.4644194756554307,0.1957186544342508,0.3482758620689656,0.6853448275862071,0.7533632286995517,1.0259067357512954,-0.2132796780684104,-0.2407766990291262,-0.318815331010453,-0.3042704626334519,-0.208502024291498,-0.5927083333333333,-0.5952380952380952,-0.7090773809523809,-0.7393333333333334,-0.7914666666666667,-0.8374220374220374,-0.8303687635574837,-0.8081452404317959,-0.7922422954303932,-0.8086147821830642,-0.8084272415482606,-0.7952879581151833,-0.8047928107838243,-0.7732018561484919,-0.7077727952167414,-0.8020253164556962,-0.7493589743589744,-0.7615853658536585,-0.7665671641791045,-0.7571428571428571,-0.7803370786516854,-0.7422544495715228,-0.7359891964888589,-0.7540880503144654,-0.7531565656565656,-0.7506377551020408,-0.7533123028391167,-0.7329234972677596,-0.6874500399680256
BJJT_37-L,0.0001099071582938,1.2394882547733923,0.0201484623541887,0.0064034151547491,0.1613300492610838,0.2829931972789115,-0.0588822355289421,-0.1814236111111111,-0.1898625429553265,-0.1227906976744186,-0.0915221579961464,-0.011530398322851,0.0238870792616718,-0.0288362512873328,-0.1427272727272727,-0.0826848249027236,-0.1617777777777778,-0.0976076555023923,-0.0532128514056225,-0.0052742616033756,-0.0010593220338982,-0.0888888888888889,-0.0718503937007875,-0.18,-0.1735319894829097,-0.1912521440823328,-0.1669611307420495,-0.2115384615384615,-0.18,-0.1316758747697973,-0.1647475642161204,-0.2128547579298831,-0.2308319738988581,-0.2115384615384615,-0.2021996615905246,-0.1735319894829097,-0.1856649395509499,-0.2251437962202136,-0.2108786610878661,-0.2048903878583473,-0.1785714285714286,-0.1061611374407583,-0.1236059479553903,-0.1252319109461966,-0.0700197238658778,0.0,-0.003171247357294,-0.0278350515463917,-0.0258264462809917,0.029475982532751,0.1500000000000001
BPVK_29-L,6.02314576190832e-06,27.61027691449728,0.0373920246124719,-0.0290670955882352,0.0303584491587418,0.1899464939453676,0.2055634807417976,0.1334495708154506,0.110950440383857,0.1386418755052547,0.1320830542531814,0.1842769058295965,0.1218637992831541,0.17375,0.3063842943267894,0.4217698519515478,0.4973423104181433,0.3699140865618415,0.366149369544132,0.5142447590037629,0.4389579431295762,0.3736996098829648,0.4503174875579201,0.4108514190317196,0.435048395313296,0.4555632104719256,0.6308375144731764,0.5589374654122856,0.6211394590446959,0.7261029411764706,0.7731850608476711,0.7296356938190751,0.6502636203866432,0.7728130899937067,0.6393792434529584,0.6698280972139894,0.8403745644599303,0.882182628062361,0.6368390470656595,0.5861486486486487,0.8221216041397155,0.7211812627291243,0.8073139435414887,0.9898752060277844,0.9042361424064892,1.0713235294117651,0.8730053191489364,0.6764530847054158,0.7529558182949596,0.6681800236873274,0.8771657041314971
CWI_80-L,2.86938016171056e-06,13.896964312295635,-0.1915438821268418,-0.0316377171215881,0.0597420230821452,0.0931372549019609,0.0406666666666666,-0.0793276319669713,-0.0340346534653466,0.0236065573770491,0.1385849744711889,0.045545880776959,0.0758097863542384,-0.0107731305449936,0.0908455625436757,0.1282977954463315,0.0662568306010928,-0.00414673046252,0.0904645476772616,0.1520295202952029,0.2487999999999999,0.1218109953287818,-0.0863330406789582,-0.1087639166428775,-0.1627782247251273,-0.2534672405547585,-0.1827225130890053,-0.1840041819132253,-0.1994871794871795,-0.2442507867344469,-0.2691947565543071,-0.3528192371475954,-0.3778397768035074,-0.3474080267558529,-0.361684727049683,-0.3381386474454102,-0.3517441860465116,-0.3538907284768212,-0.4037433155080214,-0.4331880900508351,-0.4013422818791946,-0.4098298676748582,-0.3950784731641155,-0.3584052609946567,-0.3245348334054522,-0.2756380510440835,-0.3243886604631032,-0.3734697973108569,-0.3377174374204498,-0.3493122134222592,-0.3601147776183644
DOS_59-L,0.0001289233822215,13.664692559640931,-0.0906148867313915,-0.0064308681672026,0.0334448160535116,-0.0748502994011975,-0.2481751824817519,-0.3178807947019868,-0.3453389830508474,-0.3589211618257262,-0.3782696177062374,-0.3988326848249027,-0.386904761904762,-0.4267161410018553,-0.446236559139785,-0.4319852941176471,-0.4402173913043478,-0.4472271914132379,-0.4202626641651033,-0.4080459770114942,-0.3770161290322581,-0.4191729323308271,-0.429889298892989,-0.4806722689075631,-0.4422382671480145,-0.4511545293072824,-0.4607329842931937,-0.4644714038128249,-0.4361313868613139,-0.3549060542797495,-0.3481012658227849,-0.3832335329341317,-0.4091778202676864,-0.3719512195121951,-0.3988326848249027,-0.3562499999999999,-0.3056179775280899,-0.3223684210526315,-0.3148558758314855,-0.3425531914893618,-0.3009049773755656,-0.3223684210526315,-0.335483870967742,-0.346723044397463,-0.3941176470588234,-0.3425531914893618,-0.3311688311688312,-0.3253275109170306,-0.262529832935561,-0.2607655502392344,-0.3056179775280899
DPDP_V5-L,0.0001610558389966,0.0751170497275749,0.1142857142857141,-0.1249999999999998,0.09375,0.4000000000000001,0.09375,-0.0869565217391303,-0.1860465116279069,-0.1249999999999998,-0.2446043165467625,-0.2499999999999999,-0.054054054054054,-0.0454545454545455,-0.1599999999999999,-0.1599999999999999,-0.1923076923076923,-0.1025641025641024,-0.1666666666666666,-0.2499999999999999,-0.1599999999999999,-0.1860465116279069,-0.054054054054054,0.1931818181818181,0.3636363636363637,0.5217391304347827,0.7213114754098362,0.640625,0.25,0.640625,0.4189189189189191,0.2209302325581397,0.25,0.7796610169491527,2.888888888888889,2.888888888888889,3.565217391304348,2.888888888888889,2.888888888888889,2.28125,2.1818181818181817,2.888888888888889,3.2,3.772727272727273,6.5,6.000000000000001,6.000000000000001,6.5,6.000000000000001,7.076923076923077,8.545454545454545
DPXL_94-L,0.0001432222141634,3.797564862280612,0.0186335403726707,-0.0301204819277108,-0.0397614314115308,-0.0102459016393442,-0.2094926350245499,-0.2476635514018691,-0.1451327433628318,-0.1390374331550802,-0.1686746987951806,-0.1436170212765957,-0.1297297297297297,-0.1344086021505376,-0.0222672064777328,0.0454545454545454,-0.0182926829268292,0.0,0.0276595744680849,-0.063953488372093,0.0522875816993464,-0.0359281437125748,-0.0799999999999999,-0.2247191011235955,-0.2133550488599348,-0.2381703470031545,-0.2453125,-0.2603369065849923,-0.2107843137254902,-0.1686746987951806,-0.1672413793103447,-0.1854974704890387,-0.1570680628272251,-0.1249999999999998,-0.1701030927835052,-0.2333333333333332,-0.2081967213114753,-0.2042833607907743,-0.2357594936708861,-0.2823179791976226,-0.2296650717703349,-0.2393700787401574,-0.2429467084639498,-0.1701030927835052,-0.1841216216216216,-0.1923076923076924,-0.1022304832713754,-0.0921052631578948,-0.1055555555555556,-0.0903954802259886,-0.0886792452830188
