firms,absacc,acc,age,agr,chpmia,currat,egr,herf,invest,mve_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,salerec,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
HRG_P6-L,0.0505488894562164,0.0505488894562164,25.0,0.2582876909772268,-5.484885053892218,2.052434456928839,0.1924923614142296,2.167573465993014e-05,0.1651772845200345,32.558318512420804,-0.2238164170334845,-0.213958729733871,-0.0063032802332413,-0.0709537294990752,0.1105058365758754,0.2496847414880201,1.7588014981273408,4.764607679465776,0.1105058365758754,0.6622070428649115,0.0974729241877256,0.0452830188679245,0.0552380952380953,0.1762208067940551,0.1712473572938688,0.2043478260869566,0.073643410852713,0.0633397312859884,0.1214574898785423,0.1638655462184874,0.1469979296066252,0.2764976958525347,0.253393665158371,0.1283095723014256,0.1614255765199161,0.256235827664399,0.2096069868995633,0.1102204408817635,0.2175824175824177,0.2883720930232558,0.3127962085308058,0.2853828306264503,0.3159144893111638,0.4205128205128206,0.4464751958224542,0.658682634730539,0.6636636636636637,0.582857142857143,0.6686746987951808,0.8779661016949152,0.8104575163398693,0.7928802588996764,0.930313588850174,0.9103448275862068,0.7870967741935484,0.6890243902439026,0.6890243902439026,0.8045602605863194,0.7987012987012987,0.547486033519553,0.0109489051094888,0.0278293135435994,0.0202578268876612,0.073643410852713,0.0799220272904484,0.2393736017897092,0.2477477477477476,0.1283095723014256,0.2913752913752914
ISS_97-L^L07,0.0139555958314454,-0.0139555958314454,2.0,-0.041877384437938,12.320399581595028,1.576335877862595,-0.0684084563222975,0.0004432504753419,-0.019962736225712,16.432446284492528,0.0097703976818112,0.025513152324611,0.0496279386403411,0.7924933051566468,-0.1278813460228506,-0.2495948136142625,0.9263065179095712,24.963249516441007,-0.0201199605193227,0.8485917802252487,0.1021437578814628,0.0863013698630137,0.0545212765957447,0.1169014084507042,0.1344778254649499,0.0298701298701298,-0.0978384527872582,-0.1782383419689119,-0.219488188976378,-0.1333333333333334,-0.1266519823788546,-0.1129753914988813,-0.1285714285714285,-0.1705020920502092,-0.1687631027253668,-0.1380434782608695,-0.2396931927133269,-0.2862286228622862,-0.2411483253588516,-0.2546992481203008,-0.2518867924528302,-0.2285992217898832,-0.2148514851485148,-0.2022132796780683,-0.1899897854954034,-0.0703399765533411,-0.0352798053527981,-0.0998864926220205,-0.082175925925926,-0.0536992840095467,-0.0978384527872582,-0.1389793702497286,-0.0341047503045068,-0.0422705314009661,-0.0399515738498789,-0.1371055495103372,-0.1227876106194689,-0.1285714285714285,-0.0281862745098039,-0.1119820828667412,-0.4160530191458027,-0.3932670237184392,-0.3857474825716499,-0.3589329021827,-0.351063829787234,-0.2988505747126437,-0.271139705882353,-0.3296703296703297,-0.2744739249771272
LKDP_14-L,0.0169592066437502,0.0169592066437502,2.0,0.1466504501710078,21.408768195767745,2.829430687514027,0.1193195967820522,8.604495776229931e-09,-0.0158110832673517,0.2813018308956059,-0.108518058667561,-0.1975939647407038,-0.2693536684716868,0.4767380196073112,0.1213962799944151,0.0975673783689185,2.057828981820902,10.194155611330226,0.1558225095026118,0.09549443206996,0.3333333333333335,-0.0769230769230769,-0.0769230769230769,-0.142857142857143,-0.3333333333333333,-0.4,-0.5,-0.5,-0.5,-0.4545454545454546,-0.4545454545454546,-0.5,-0.4782608695652174,-0.4,-0.4,-0.4,-0.4782608695652174,-0.4285714285714286,-0.3333333333333333,-0.3333333333333333,-0.25,-0.1999999999999999,-0.25,-0.142857142857143,-0.0769230769230769,0.0909090909090908,0.0909090909090908,0.0,0.0,0.0,0.0909090909090908,0.0909090909090908,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.3333333333333332,0.5,0.3333333333333332,0.714285714285714,0.1999999999999999,0.0,0.0,0.0,0.0,0.1999999999999999,0.3333333333333332,0.5,1.0,1.0
LKXX_89-L^B05,0.0264286339371663,0.0264286339371663,2.0,-0.0219837285788471,85.8151734128103,4.177966101694915,-0.011823685206205,3.249304743135957e-12,-0.0868097628526916,0.0353479228941822,0.1591831961543437,0.1699301263372288,0.4681943833636992,-1.555128363758175,-0.1385249842252336,0.5763358778625957,4.16222760290557,2.0809792843691146,-0.2363510711817554,0.845477453374745,0.0,0.0,0.0259740259740259,0.234375,0.234375,0.234375,0.1791044776119403,0.1285714285714287,0.1285714285714287,0.1285714285714287,0.1285714285714287,0.1285714285714287,0.0259740259740259,0.0259740259740259,0.0533333333333334,0.0533333333333334,-0.0124999999999999,0.0128205128205127,0.0533333333333334,0.0533333333333334,0.0533333333333334,0.0821917808219179,0.1285714285714287,0.2153846153846155,0.0533333333333334,0.2153846153846155,0.1285714285714287,-0.0365853658536584,-0.0124999999999999,0.0128205128205127,-0.0365853658536584,-0.0919540229885057,-0.1222222222222222,-0.0705882352941176,-0.0124999999999999,-0.1222222222222222,-0.2099999999999999,-0.1684210526315789,-0.1684210526315789,-0.1222222222222222,-0.2403846153846154,-0.2616822429906542,-0.2818181818181818,-0.1855670103092782,-0.202020202020202,-0.1413043478260869,-0.1595744680851063,-0.1413043478260869,-0.1595744680851063
LLVM_66-L,0.0411774714990641,0.0411774714990641,3.0,-0.0026056417808994,-12.070229720729252,2.368860510805501,0.0279487606055565,3.2551884988224275e-10,0.0134813639968278,0.0172937640532551,0.1965999099455759,0.3607101891909404,0.4985884634918577,0.1510044725592428,0.3043142895858738,0.7739872068230278,1.2161100196463657,4.779602420051859,0.3957597173144876,0.8290260230639508,0.221153846153846,-0.037037037037037,0.2093023255813955,0.2093023255813955,0.0505050505050506,0.1304347826086955,0.1304347826086955,0.2682926829268293,0.2682926829268293,0.2682926829268293,0.118279569892473,0.0,-0.0714285714285715,-0.0714285714285715,-0.1260504201680671,-0.11864406779661,-0.282758620689655,-0.3066666666666666,-0.2972972972972972,-0.4720812182741116,-0.651006711409396,-0.6556291390728477,-0.6666666666666667,-0.6612377850162866,-0.6462585034013606,-0.6148148148148148,-0.6498316498316499,-0.6790123456790124,-0.6932153392330384,-0.6486486486486487,-0.6075471698113207,-0.3809523809523809,-0.2624113475177304,-0.2352941176470588,-0.2727272727272727,-0.3112582781456954,-0.35,-0.2238805970149253,-0.1679999999999999,-0.2624113475177304,-0.4497354497354496,-0.5047619047619047,-0.388235294117647,-0.3157894736842105,-0.2727272727272727,-0.251798561151079,-0.2624113475177304,-0.2624113475177304,-0.1475409836065573
LOYE_09-L^G04,0.0787444122414894,0.0787444122414894,2.0,-0.062990627527475,-15.704480334637038,2.024987751102401,0.0285811500510377,4.707652800142758e-11,0.0357295780008564,0.0226405683347546,0.0822824323989979,0.0822824323989979,0.1279163314561545,0.1515052109843769,0.0367561104616793,2.006257822277848,2.024987751102401,3.628990509059536,0.1279163314561545,0.3877488342669302,0.2432432432432432,-0.159090909090909,-0.1777777777777778,-0.2291666666666666,-0.3392857142857143,-0.4032258064516129,-0.421875,-0.4714285714285714,-0.486111111111111,-0.4307692307692308,-0.4307692307692308,-0.4714285714285714,-0.4931506849315068,-0.4931506849315068,-0.4637681159420289,-0.4637681159420289,-0.5066666666666666,-0.5256410256410257,-0.5375000000000001,-0.5,-0.5066666666666666,-0.4714285714285714,-0.486111111111111,-0.5,-0.5316455696202531,-0.5256410256410257,-0.5375000000000001,-0.5432098765432098,-0.5432098765432098,-0.5595238095238095,-0.5595238095238095,-0.5647058823529412,-0.5595238095238095,-0.5542168674698795,-0.5256410256410257,-0.4637681159420289,-0.4714285714285714,-0.4637681159420289,-0.4637681159420289,-0.486111111111111,-0.5795454545454546,-0.5747126436781609,-0.6336633663366337,-0.5194805194805194,-0.4637681159420289,-0.4931506849315068,-0.4931506849315068,-0.4714285714285714,-0.4558823529411765
LRHF_85-L^A05,0.3269518981403047,0.3269518981403047,3.0,0.2976841399217865,162.5371084159756,2.1147239372335345,-0.2493865672493484,3.095294643857373e-09,0.1215242635301444,0.0833525270868339,0.5574181008397335,2.507659141618515,-0.6984437754473078,-6.234160598830665,-0.4525486895215869,15.987764465969924,1.3631362003998089,0.5205837009448505,-0.3147478400642958,1.549056592896386,0.0,0.0740740740740739,-0.1470588235294119,-0.0645161290322581,-0.0645161290322581,-0.2368421052631579,-0.462962962962963,-0.5166666666666666,-0.4423076923076924,-0.4821428571428572,-0.5,-0.5245901639344263,-0.5972222222222222,-0.618421052631579,-0.6329113924050633,-0.5915492957746479,-0.6506024096385542,-0.6666666666666667,-0.6813186813186813,-0.6881720430107527,-0.6847826086956522,-0.6881720430107527,-0.6329113924050633,-0.5915492957746479,-0.6027397260273972,-0.5245901639344263,-0.5606060606060607,-0.5857142857142857,-0.5797101449275363,-0.5245901639344263,-0.6463414634146342,-0.6375000000000001,-0.6027397260273972,-0.573529411764706,-0.5538461538461539,-0.573529411764706,-0.5915492957746479,-0.4912280701754385,-0.4912280701754385,-0.6081081081081081,-0.7943262411347518,-0.7786259541984732,-0.7943262411347518,-0.7786259541984732,-0.7972027972027972,-0.7363636363636363,-0.71,-0.4423076923076924,-0.3555555555555556
LYNK_79-L^B05,0.1615542314103423,0.1615542314103423,15.0,0.0422193528191885,-0.4503670752657409,1.115301892085658,0.0813287514318441,1.6845666128791433e-08,0.0662832100794302,0.0630619271461017,-0.0253890902233106,-0.0418558572507875,-0.0962861693168487,-0.1673600072616393,-0.2499086413091975,3.028735632183908,0.6257286244194383,73.53327171903881,-0.0950111470039582,0.8257183850065506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666667,0.2931034482758621,0.3157894736842104,0.7857142857142856,1.0833333333333337,1.5862068965517242
MOMA_07-L^K99,0.282255111562585,-0.282255111562585,2.0,0.049010116656179,-1.764620236280492,1.8138839681133745,-0.2166242520118302,2.1390680763647232e-08,0.1499588557045356,0.1803164073202413,-0.2647822344301606,-0.2957796888212953,-0.2314159841448822,0.0661860631608691,-0.0709537843183315,-2.778281595163354,1.548134410983171,3.4586837435383075,0.0260823786579993,0.783443341367199,0.0992366412213738,0.0650406504065042,-0.0223880597014926,0.0155038759689922,-0.0437956204379562,-0.1208053691275167,-0.1761006289308175,-0.1548387096774193,-0.1148648648648648,-0.0437956204379562,-0.0367647058823529,-0.0367647058823529,0.048,0.0234375,0.1008403361344538,0.1008403361344538,0.0,-0.0902777777777776,-0.1324503311258278,-0.0296296296296296,-0.0642857142857141,-0.0642857142857141,-0.1324503311258278,-0.096551724137931,0.0,0.1008403361344538,0.0826446280991737,0.048,0.0916666666666667,-0.0223880597014926,-0.1761006289308175,-0.1602564102564102,-0.0367647058823529,-0.0223880597014926,0.0076923076923076,0.0314960629921259,-0.0223880597014926,0.1491228070175441,0.1909090909090909,0.0916666666666667,-0.3177083333333332,-0.3350253807106599,-0.3350253807106599,-0.3383838383838383,-0.3546798029556649,-0.2108433734939758,-0.215568862275449,-0.2640449438202247,-0.1863354037267081
MOQW_26-L^C91,0.0540210604101237,0.0540210604101237,2.0,3.1114258734655333,-29.91315143139135,1.1107440890125173,3.385556601351929,1.704843413705533e-07,2.763792256846081,0.6269159319332018,0.0428930225618436,0.103443728783713,0.0185105747751386,0.4944199908529529,-1.9836844392944315,0.5212778094694809,0.8863873435326842,4.674238227146815,1.5701665312753856,0.3896942141855711,0.3076923076923077,-0.0930232558139534,-0.0487804878048779,-0.0714285714285714,-0.1034482758620689,-0.2844036697247707,-0.390625,-0.409090909090909,-0.3809523809523809,-0.2777777777777778,-0.3658536585365853,-0.3389830508474576,-0.4135338345864662,-0.3953488372093023,-0.3553719008264462,-0.3333333333333332,-0.390625,-0.4765100671140939,-0.48,-0.4388489208633093,-0.4222222222222223,-0.3658536585365853,-0.35,-0.390625,-0.3445378151260504,-0.1428571428571429,-0.1702127659574467,-0.2641509433962264,-0.212121212121212,-0.2277227722772277,-0.2909090909090909,-0.2777777777777778,-0.25,-0.2844036697247707,-0.2972972972972973,-0.3333333333333332,-0.2277227722772277,-0.1958762886597937,-0.0823529411764705,-0.1521739130434782,-0.4834437086092715,-0.4264705882352941,-0.4468085106382978,-0.4,-0.3333333333333332,-0.2909090909090909,-0.25,-0.3658536585365853,-0.1958762886597937
