firms,age,agr,chpmia,currat,depr,egr,grltnoa,herf,invest,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchinvt,pchsale_pchrect,quick,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,11.0,0.2935759458559859,-0.3405850805376977,0.9694029850746269,0.1042953598620887,0.0154996353026987,0.0950077399380786,2.576221982426919e-06,0.3341839565072674,-0.2473055989817934,0.0025764712558877,-0.1260048843556961,0.032051773414658,-0.5821567311866757,-0.457590092937173,0.4701492537313433,15.487283825025434,-0.2703920253043227,-0.422077922077922,-0.1046511627906976,-0.3304347826086956,-0.3556485355648535,-0.2735849056603774,-0.3636363636363636,-0.4499999999999999,-0.2666666666666667,-0.3031674208144795,-0.0833333333333332,-0.1299435028248587,-0.4652777777777778,-0.3960784313725489,-0.3529411764705882,-0.5157232704402516,-0.574585635359116,-0.6289156626506025,-0.6681034482758621,-0.6778242677824268,-0.6681034482758621,-0.6907630522088354,-0.6484018264840182,-0.8579335793357934,-0.8697123519458545,-0.8501945525291829,-0.8541666666666666,-0.844758064516129,-0.8490196078431372,-0.8372093023255814,-0.8544423440453686,-0.8741830065359477,-0.8725165562913907,-0.8779714738510301,-0.8697123519458545,-0.8771929824561403,-0.8725165562913907,-0.8699324324324325,-0.8674698795180723,-0.8743882544861338,-0.8716666666666667,-0.8760064412238325,-0.8712374581939799,-0.8752025931928687,-0.8667820069204153,-0.8560747663551402,-0.8524904214559387,-0.8568773234200744,-0.8484251968503937,-0.8075
BALZ_07-L^I10,11.0,0.210049405852038,0.0920129769902546,1.6808607958876958,0.2315650865312265,0.152726628197806,0.1426967753747124,1.6751770591022863e-08,0.0956705992589121,1.744481306112418,-0.2211750149585674,-0.2103886056327937,-0.2850068579349428,-0.200166231279162,-0.1625536222800183,1.218858225697545,3.2198442048941693,0.0595439480770558,0.2098765432098763,0.0124999999999999,-0.0470588235294117,0.0384615384615385,0.0253164556962024,0.0945945945945947,0.2272727272727273,0.1911764705882352,0.3965517241379312,0.3728813559322035,0.3500000000000001,0.6200000000000001,0.7608695652173914,0.9285714285714288,0.7608695652173914,0.6875000000000002,0.6875000000000002,0.5882352941176472,0.9285714285714288,0.8837209302325584,1.076923076923077,0.9285714285714288,1.076923076923077,1.025,1.025,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.7000000000000002,1.7000000000000002,1.53125,1.3823529411764706,0.9756097560975612,1.025,1.1315789473684212,1.2500000000000004,1.4545454545454546,1.3823529411764706,1.2500000000000004,1.53125,1.7931034482758623,1.7931034482758623,1.8928571428571428,1.612903225806452,2.0,2.1153846153846154,2.5217391304347827,2.5217391304347827,2.3750000000000004
BBIO_50-L^J00,13.0,0.2963105303612606,-0.9231660960136652,1.0653495440729484,0.1219110378912685,0.3339901477832512,0.1275313807531368,1.52828792600956e-05,0.2009992313604919,0.2378598752714784,0.0895052413193248,0.1120109624474587,0.0243590707465603,0.022063288365833,-0.0072191295149017,0.6648936170212766,5.748837209302326,0.2476446837146702,0.0060150375939849,0.0106382978723404,-0.0059790732436472,-0.0877914951989026,-0.1085790884718498,-0.0234948604992656,-0.0712290502793295,0.0472440944881891,0.1749116607773853,0.2862669245647971,0.2360594795539035,0.5217391304347827,0.368312757201646,0.70076726342711,0.4712389380530974,0.3090551181102363,0.2157221206581354,0.0777957860615883,0.1328790459965929,0.2360594795539035,0.340725806451613,0.6024096385542168,0.5795724465558196,0.525229357798165,0.4745011086474502,0.4179104477611939,0.6299019607843137,0.8732394366197185,0.933139534883721,0.8523676880222844,1.0652173913043477,0.9910179640718564,1.084639498432602,0.9850746268656716,0.9674556213017752,0.7780748663101604,0.7183462532299743,0.713917525773196,0.8732394366197185,0.9616519174041298,0.996996996996997,1.0030120481927711,1.0090634441087616,1.0398773006134974,1.3333333333333337,1.3581560283687946,1.52851711026616,1.435897435897436,1.4448529411764706
BBOU_00-L,11.0,-0.0565665932537382,-0.0963205965328152,0.881807180314643,0.1384518565135305,-0.1100795755968169,0.0250506978408684,0.0001546399218529,0.0203431088443259,-0.2904119285648964,-0.1212823941965475,-0.2554807143476336,-0.2002948254829059,-0.1940856879743525,-0.3192303353030578,0.5857200484066156,5.900450225112556,-0.2092914124824026,-0.0676567656765675,0.0033112582781456,-0.0456692913385826,-0.0304,-0.1140350877192982,-0.0982142857142857,-0.1559888579387186,-0.1035502958579882,-0.1217391304347826,-0.1379800853485064,-0.1140350877192982,-0.0441640378548896,-0.1022222222222223,0.12430426716141,-0.0456692913385826,-0.1488764044943821,-0.1629834254143647,-0.1428571428571429,-0.1698630136986302,-0.1777476255088196,-0.0471698113207548,0.0998185117967331,-0.0648148148148149,-0.042654028436019,-0.0441640378548896,-0.1101321585903083,-0.0456692913385826,-0.0968703427719821,-0.1255411255411255,-0.0804248861911988,0.0430292598967296,0.0484429065743943,0.1455576559546312,0.2071713147410359,0.1433962264150943,0.178988326848249,0.1905697445972494,0.1327102803738318,0.0958408679927667,0.130597014925373,0.1078610603290677,0.130597014925373,0.0840787119856887,0.1263940520446096,0.1412429378531072,0.1412429378531072,0.1038251366120217,0.139097744360902,0.0341296928327643
BBTU_63-L^C18,11.0,0.422913458577148,-0.2277075660904574,0.532481250660188,0.0361564089075924,0.6470749043193001,0.3101484645107941,2.0546669506383905e-05,0.2840468124422544,0.8282424013359293,0.0416389424071611,0.1093871498813524,0.0309110227533977,-0.4268774703557312,-0.2368906455862979,0.509031372134784,16.341315089319647,-0.0814229249011858,0.0774193548387096,-0.0828402366863905,-0.2037671232876711,-0.2197986577181208,-0.2339373970345963,-0.2933130699088145,-0.3630136986301369,-0.3151693667157584,-0.3241279069767441,-0.1226415094339621,-0.2024013722126929,-0.1769911504424778,-0.1483516483516482,-0.0737051792828683,-0.181338028169014,-0.2954545454545454,-0.39374185136897,-0.4237918215613382,-0.4329268292682926,-0.4294478527607361,-0.3733153638814015,-0.3357142857142856,-0.2700156985871271,-0.2986425339366515,-0.2757009345794392,-0.3028485757121438,-0.2665615141955835,-0.2037671232876711,-0.2249999999999999,-0.1941074523396879,-0.1711229946524064,-0.1292134831460673,-0.1576086956521738,-0.1711229946524064,-0.1651705565529623,-0.0548780487804877,-0.0292275574112734,-0.079207920792079,-0.0755467196819085,0.0108695652173913,0.0640732265446224,0.0043196544276458,-0.002145922746781,0.0197368421052632,0.0356347438752784,0.1397058823529413,0.3172804532577906,0.3478260869565217,0.1832061068702291
BBXK_89-L^E06,11.0,0.0204625985538892,-0.5418418948670453,1.6533155975958225,0.0538803418803418,-0.0359074578546331,-0.0002717971616609,7.517820195059571e-05,0.1011362299133118,-0.2207107525916106,0.1393966780386761,0.3512801416801415,0.1308869082369506,-0.0313296999931603,-0.1987688311666492,1.3997438171248398,3.9864275327193406,-0.0023412953550155,-0.1287425149700598,-0.1021505376344087,-0.29979035639413,-0.2594235033259423,-0.2286374133949191,-0.2754880694143168,-0.3346613545816732,-0.302713987473904,-0.3127572016460905,-0.215962441314554,-0.3141683778234087,-0.319755600814664,-0.369811320754717,-0.369811320754717,-0.4773082942097026,-0.4506578947368421,-0.4869431643625191,-0.485362095531587,-0.5095447870778267,-0.5208034433285509,-0.5073746312684366,-0.508100147275405,-0.5282485875706215,-0.5510752688172044,-0.536754507628294,-0.5645371577574967,-0.5282485875706215,-0.5242165242165242,-0.4442595673876872,-0.4377104377104377,-0.4261168384879725,-0.416083916083916,-0.4319727891156463,-0.4231433506044905,-0.4241379310344827,-0.4358108108108108,-0.4470198675496689,-0.4442595673876872,-0.4251290877796901,-0.4171029668411867,-0.4056939501779359,-0.3882783882783883,-0.3539651837524178,-0.3320000000000001,-0.3399209486166007,-0.3450980392156862,-0.3721804511278196,-0.3564547206165703,-0.3225152129817444
BCPS_48-L^C06,11.0,-0.0135038648992642,0.1910168390948227,1.1022825772898006,0.0456185977389735,0.1642317908569831,-0.0167992373927488,4.185827843942168e-05,0.0032905969639586,-0.960932726534796,0.2001378224861739,0.1248242813924041,0.2016176210842064,0.1740432024629126,0.2299143515278785,1.0242704420687665,8.208400214018193,0.0380432024629126,0.0315315315315314,-0.0176991150442475,-0.1251231527093596,-0.1259842519685038,-0.1093279839518555,-0.0111358574610244,-0.0176991150442475,-0.0089285714285713,0.2131147540983606,0.3373493975903616,0.2507042253521128,0.2631578947368422,0.3495440729483283,0.7176015473887816,0.3020527859237536,-0.0642781875658587,0.0045248868778282,0.0660264105642258,0.0045248868778282,-0.0033670033670032,0.0990099009900991,0.2685714285714287,0.2832369942196533,0.3724884080370945,0.2813852813852815,0.3273542600896861,0.3557251908396948,0.4368932038834954,0.4509803921568629,0.3896713615023477,0.4557377049180329,0.453355155482815,0.3495440729483283,0.3619631901840492,0.5050847457627119,0.5050847457627119,0.4800000000000002,0.4072900158478607,0.7176015473887816,0.8122448979591836,0.8271604938271606,0.6978967495219885,0.6914285714285715,0.6723163841807913,0.6818181818181819,0.6414048059149724,0.8655462184873952,0.834710743801653,0.8309278350515468
BCQE_67-L^A14,11.0,1.1289969937141298,-0.9354003355145324,1.1105374325275756,0.1345565749235474,1.34435049961568,0.1474364573324992,9.850859367364236e-05,1.0798529156003875,2.0600313450931265,-0.148639871867851,3.8667614863856845e-05,-0.1392499534022404,0.3425675436716437,0.2260538278768,0.8103731518422905,3.774659182036888,1.5649828347229036,0.002589928057554,0.0584830947304295,-0.1126149131767109,-0.0992742353551062,-0.022228474957794,0.0438570141183538,-0.0623313545601728,0.0708782742681046,0.1385976408912188,0.2961581499440509,0.2549656915854099,0.4166326946596004,0.1755751014884981,0.5991716520938795,0.4166326946596004,0.0920804525455687,-0.0119419960193346,-0.2078869386824708,-0.1290726817042606,-0.0777600849256899,-0.0698608137044968,0.1024746192893402,-0.0037270642201835,0.0581607795371497,0.0063712713582391,-0.0806878306878305,0.0907093534212177,0.0896832862966447,0.1641541038525962,0.2406283470189216,0.2976101568334577,0.1835831062670299,0.2279151943462898,0.1525704809286898,0.1003799873337556,0.2663994169096209,0.2401855817273377,0.1823749574685267,0.3005239520958085,0.3468992248062015,0.2827611664820968,0.3795156808257245,0.3877795527156549,0.3375673595073132,0.4643910661609776,0.4959104606112785,0.4991371872303709,0.5625,0.5874828688899041
BCUB_73-L^L00,11.0,0.435,-0.2655236041523678,1.375439367311072,0.1658291457286432,0.1943427620632278,0.2305661484305826,8.276927362802872e-06,0.2157142857142857,0.017280996500099,-0.1287617488275446,0.1473843204461614,-0.1276390257232039,0.1506523725488019,-0.1490641556049994,0.9922012302284712,4.494811398451655,0.2998618587148097,0.0831295843520782,-0.0704545454545455,-0.201171875,-0.1297872340425532,-0.0788288288288289,-0.1443514644351465,-0.2073643410852713,0.030226700251889,0.0763157894736841,0.1054054054054052,0.2623456790123455,0.2393939393939395,0.1236263736263736,0.1924198250728861,0.0623376623376623,-0.0238663484486875,-0.1316348195329086,-0.3183333333333333,-0.2369402985074628,-0.2383612662942272,-0.2522851919561243,-0.0640732265446224,-0.1185344827586206,-0.1618852459016393,-0.2297551789077212,-0.3904619970193741,-0.3067796610169492,-0.2355140186915887,-0.2088974854932301,-0.274822695035461,-0.2340823970037453,-0.2425925925925927,-0.2297551789077212,-0.2617328519855596,-0.2972508591065292,-0.2563636363636363,-0.2799295774647887,-0.3114478114478115,-0.2563636363636363,-0.220952380952381,-0.2467771639042357,-0.2268431001890359,-0.2467771639042357,-0.1803607214428858,-0.1601642710472279,-0.1514522821576764,-0.1089324618736383,-0.0746606334841629,-0.0532407407407408
BCYN_75-L^D01,13.0,-0.0018529956763434,1.001280249749204,1.0922018348623854,0.0824366826684323,0.0957235206364992,-0.047707367336399,2.194210846713125e-05,0.0811200329421453,-0.4523291556343704,0.156141485725095,0.0192508495319436,0.0800753249334046,-0.2217786441087411,-0.109375209124661,0.728440366972477,6.069672131147541,-0.2011866235167206,0.2165308498253781,-0.0115074798619102,-0.0632497273718647,-0.1349446122860019,-0.056043956043956,0.1576819407008085,-0.0423634336677816,0.213276836158192,0.2995461422087744,0.412828947368421,0.488734835355286,0.4759450171821304,0.4035947712418299,0.470890410958904,0.8354700854700856,0.488734835355286,0.512323943661972,0.3678343949044584,0.2081575246132208,0.2859281437125749,0.2271428571428571,0.276374442793462,0.3877221324717284,0.4340567612687811,0.325617283950617,0.0312124849939976,0.0724094881398251,0.0604938271604937,-0.021640091116173,0.0011655011655011,0.0514075887392899,0.0901015228426396,0.1083870967741935,0.1545698924731182,0.1098191214470283,0.0552825552825551,0.0670807453416149,0.063118811881188,0.0777917189460477,0.1126943005181346,0.0777917189460477,0.0361881785283475,-0.0069364161849712,0.0901015228426396,0.1392572944297081,0.1347424042272127,0.1112548512289779,0.1126943005181346,0.1848275862068964
