firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.3005653266331658,-0.3005653266331658,13.0,-0.1213491985445963,0.0375211167422423,0.3619906594427453,0.8242764323685765,0.1571864345953705,-0.0377122877122876,-0.1292922948073685,3.289272047221642e-06,-0.1987412724948372,-0.175669099756691,-0.2600199545487026,-0.0294151014954681,0.0883395627256124,0.2415120103933437,0.0709174309561074,-4.317293233082707,0.4232132309509746,0.1654998278434523,-0.0283804627249357,-0.0115384615384616,0.0077519379844961,0.0483870967741935,0.4207650273224044,0.0526315789473683,0.0317460317460318,-0.087719298245614,-0.0579710144927535,0.0655737704918033,0.5116279069767442,0.5028901734104048,0.7687074829931975,2.25,1.7956989247311823,4.416666666666667,4.909090909090909,4.909090909090909,5.341463414634147,5.046511627906977,4.306122448979592,5.5,4.098039215686274,3.814814814814815,3.9056603773584895,1.9213483146067416,1.9213483146067416,0.6883116883116884,0.5116279069767442,0.1304347826086958,0.0878661087866108,0.2264150943396226,0.0743801652892561,-0.0714285714285712,0.2380952380952381,0.1764705882352941,0.5476190476190477,0.4689265536723164,-0.0972222222222222,0.019607843137255,0.092436974789916,-0.1823899371069182,-0.2817679558011049,-0.3734939759036144,-0.439655172413793,-0.4560669456066946,-0.439655172413793,-0.4779116465863454,-0.4063926940639268,-0.7601476014760148
BALZ_07-L^I10,0.0430235595843715,0.0430235595843715,13.0,0.3810514346866431,0.2638355745871871,0.351100778950258,1.5999621809013551,0.412926274764534,0.3857652798777919,-0.0075844614049231,3.3859807988547134e-08,-0.0594609056250417,0.3775085816043206,-0.3733457723921707,0.0831841587403734,0.2296614161575434,0.128902244914345,0.0586415039016326,0.3751347114725188,1.1999243618027102,-0.0380615075851484,0.2654303062302005,-0.2112676056338027,-0.0657894736842106,0.2909090909090908,0.3396226415094339,-0.0138888888888889,-0.0138888888888889,-0.303921568627451,-0.303921568627451,-0.3826086956521739,-0.3106796116504855,-0.5328947368421053,-0.6182795698924732,-0.5670731707317074,-0.6141304347826088,-0.6485148514851485,-0.6263157894736842,-0.6485148514851485,-0.6223404255319149,-0.6282722513089005,-0.55625,-0.4496124031007752,-0.4409448818897638,-0.538961038961039,-0.3660714285714287,-0.2755102040816326,-0.2755102040816326,-0.1234567901234569,-0.1125,-0.1647058823529411,-0.0897435897435898,-0.1012658227848102,-0.0405405405405405,0.0757575757575756,0.0441176470588233,0.2241379310344828,0.2033898305084744,0.1833333333333333,0.4199999999999999,0.543478260869565,0.6904761904761905,0.543478260869565,0.4791666666666667,0.4791666666666667,0.392156862745098,0.6904761904761905,0.6511627906976745,0.8205128205128203,0.6904761904761905,0.8205128205128203
BBOU_00-L,0.0621890547263681,-0.0621890547263681,13.0,0.0927119484382746,0.1508153371529308,0.1127782429704478,1.030153586022263,0.1527078085642317,0.101040118870728,0.0055081734186211,0.0001513951300637,0.0296232027764005,0.0910515159893097,-0.2899332098778031,0.0413205625645098,0.0977177543691166,0.0366396835280758,-0.0157238405922169,-0.8564437194127243,0.7156545019022122,0.1034641728134878,0.0801179443976411,0.0802547770700639,0.0536912751677851,0.1214285714285714,0.1214285714285714,0.1426491994177583,0.0651289009497964,-0.0162907268170426,0.0234680573663623,0.0827586206896551,0.0963687150837988,0.0963687150837988,0.2003058103975534,0.0466666666666666,0.0857538035961271,0.1930091185410334,0.2932454695222404,0.3604852686308493,0.3487972508591064,0.3039867109634551,0.3652173913043477,0.5096153846153846,0.5544554455445545,0.6422594142259412,0.7444444444444445,0.576305220883534,0.3893805309734512,0.2953795379537953,0.2996688741721853,0.2362204724409449,0.256,0.1476608187134502,0.1681547619047618,0.0933147632311977,0.1612426035502958,0.1376811594202898,0.1166429587482218,0.1476608187134502,0.2381703470031546,0.1629629629629629,0.4564007421150278,0.2362204724409449,0.1025280898876404,0.0842541436464088,0.1103253182461101,0.0753424657534247,0.0651289009497964,0.2342767295597483,0.4246823956442831,0.2114197530864197
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,9.191521857130155,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,3.249682973846159e-07,0.2216981132075471,-0.108730583824317,-0.2864175079004406,-0.2328427255985267,-0.2464646464646464,-0.4155844155844156,0.6064997804128239,-2.256756756756757,1.8,0.0007898894154818,0.2272727272727272,0.0,0.0,0.0,0.0,0.0499999999999998,0.0499999999999998,0.75,0.0499999999999998,0.0499999999999998,0.1052631578947367,0.1999999999999999,0.3999999999999999,0.6799999999999999,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.6799999999999999,0.6799999999999999,1.0999999999999996,0.5555555555555554,0.909090909090909,0.3125,1.625,1.625,0.909090909090909,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.1666666666666667,0.2352941176470586,0.4482758620689655,0.4482758620689655,0.4999999999999998,0.4482758620689655,0.6153846153846152,0.909090909090909,0.909090909090909,0.826086956521739,0.826086956521739,0.6153846153846152,0.4999999999999998,0.3548387096774192,0.2352941176470586,0.0769230769230768,0.0769230769230768,0.0769230769230768,0.1052631578947367,0.0769230769230768,0.0499999999999998
BBTU_63-L^C18,0.0619098767326479,-0.0619098767326479,13.0,0.0745087220406604,0.1377533193570929,-0.0066685477906522,0.455864342910975,0.0609911504424778,0.0755260420833665,0.0276405298961602,1.5952564776094628e-05,-0.016489113365307,0.0730680429172891,-0.8968913588774173,-0.1142927552111657,-0.1122302340207618,0.062030868777317,-0.0449271221203925,-2.114605171208945,0.4346679227508243,0.0397320535892821,0.0532202960900924,-0.0039292730844793,0.0241448692152916,0.189252336448598,0.1463963963963963,-0.1224137931034482,-0.1474036850921273,-0.1416526138279932,-0.1284246575342466,-0.0503731343283583,0.0241448692152916,-0.0828828828828829,-0.1239242685025817,0.0099206349206348,0.0899357601713062,0.1017316017316016,0.0899357601713062,-0.0286259541984733,-0.0450281425891182,-0.053903345724907,-0.1558872305140962,-0.216923076923077,-0.2492625368731563,-0.1894904458598726,0.2414634146341463,0.0648535564853556,0.0159680638722554,0.0946236559139783,0.0039447731755424,-0.1284246575342466,-0.1459731543624161,-0.1614497528830313,-0.2264437689969605,-0.3027397260273973,-0.2503681885125184,-0.2601744186046512,-0.0396226415094339,-0.1269296740994854,-0.0991150442477877,-0.0677655677655677,0.0139442231075697,-0.1038732394366197,-0.2287878787878787,-0.3363754889178618,-0.369268897149938,-0.3792682926829268,-0.3754601226993865,-0.3140161725067385,-0.2728571428571429,-0.2009419152276295
BBXK_89-L^E06,0.0859512760282387,-0.0859512760282387,13.0,-0.0401846422556297,0.0904980330063172,-0.2643091885620581,1.7744247073072266,0.0669839034693728,-0.0529835076345994,-0.0790379975682138,6.006596509989384e-05,0.0316886033310461,-0.0198144616478649,-0.5831172951214819,0.0324515770261952,0.0244610237791469,-0.0106127190270069,-0.0477332849369547,-519.3076923076923,1.5359810254339927,0.1012611173830437,-0.0146177780489293,0.0351288056206089,0.0517241379310344,0.2270114942528733,0.4186046511627905,0.326086956521739,0.457337883959044,0.3863636363636362,0.4523809523809523,0.3685897435897434,0.3385579937304075,0.5415162454873645,0.6174242424242422,0.9409090909090904,0.8405172413793103,0.8565217391304347,0.7941176470588234,0.7148594377510038,0.642307692307692,0.5141843971631206,0.3863636363636362,0.5415162454873645,0.3863636363636362,0.3863636363636362,0.278443113772455,0.2270114942528733,0.467353951890034,0.278443113772455,0.1478494623655912,-0.1048218029350105,-0.0532150776053215,-0.0138568129330255,-0.0737527114967463,-0.149402390438247,-0.1085594989561588,-0.1213991769547326,0.0023474178403755,-0.1232032854209447,-0.1303462321792261,-0.1943396226415095,-0.1943396226415095,-0.3317683881064163,-0.2976973684210526,-0.3440860215053763,-0.3420647149460709,-0.3729809104258443,-0.387374461979914,-0.3702064896755163,-0.3711340206185567,-0.3968926553672317
BCPS_48-L^C06,0.0439181240687005,-0.0439181240687005,13.0,-0.0099882949668357,0.1109114127607245,0.2599851017668699,1.4788245462402767,0.0877246420956442,-0.017326888065792,-0.0191357540585025,5.646370678465318e-06,0.0197424892703862,0.0035061120060646,-1.0858102878871203,0.0098910054219582,0.0093884000111999,-0.2816279001455417,-0.1439972222472514,-1.4082145850796313,1.4094332633658475,0.0154449824678577,-0.3722427868769332,-0.0504201680672269,-0.0325203252032521,0.1442307692307691,0.3222222222222222,0.0347826086956521,-0.0916030534351145,-0.0846153846153846,-0.2013422818791946,-0.0846153846153846,-0.0703125000000001,-0.1986531986531987,-0.2066666666666666,-0.2492113564668769,-0.2420382165605096,-0.1590106007067138,-0.6046511627906976,-0.5986509274873524,-0.5543071161048689,-0.5817223198594025,-0.6721763085399449,-0.6246056782334385,-0.6371951219512195,-0.6671328671328671,-0.7193396226415094,-0.7696030977734754,-0.740174672489083,-0.7319819819819819,-0.7367256637168141,-0.7655172413793103,-0.765748031496063,-0.761283851554664,-0.734966592427617,-0.7367256637168141,-0.734375,-0.674863387978142,-0.641566265060241,-0.6647887323943662,-0.6614509246088194,-0.6382978723404256,-0.5396518375241779,-0.6510263929618769,-0.7492096944151738,-0.7307692307692308,-0.7142857142857143,-0.7307692307692308,-0.7328843995510662,-0.7054455445544554,-0.66,-0.6560693641618498
BCQE_67-L^A14,0.0321227219090074,-0.0321227219090074,13.0,0.1092367256637168,0.0683085501858736,0.305208739333857,0.9219501530389156,0.1726105563480741,-0.1943359375,0.043398452864819,5.694356543754592e-05,0.008987831858407,0.1606425702811245,-0.7427008815212005,-0.0050396618398252,-0.0450523829197027,-0.2761242656915086,-0.2053589906987712,-3.141025641025641,0.6567555749890687,0.0912563088255354,-0.1296214301527562,-0.0272792534099065,0.1550580431177446,0.8697986577181207,2.054824561403509,0.3630136986301369,0.3394230769230768,-0.1200252684775742,-0.1887012230634829,-0.1943319838056679,-0.1216897856242118,-0.2498653742595584,-0.3484565014031805,-0.237964989059081,-0.2985901309164149,-0.2660695468914648,-0.1887012230634829,-0.5449199607971251,-0.5153096729297146,-0.5231085244779186,-0.494740660137831,-0.6121937639198218,-0.5474333983105913,-0.5753048780487804,-0.5849225268176401,-0.6461772923545848,-0.6001722158438576,-0.599136690647482,-0.5756929637526652,-0.6442798774259448,-0.6389320891653707,-0.6080472706809229,-0.5815560228296786,-0.624123043712898,-0.5707241910631742,-0.5435779816513762,-0.4804177545691905,-0.4969302997472011,-0.4321239298817775,-0.5287550744248986,-0.3589507593189139,-0.4321239298817775,-0.5622250157133879,-0.6039237986920671,-0.6824709368589013,-0.6508771929824562,-0.630307855626327,-0.6271413276231264,-0.5580583756345178,-0.6006307339449541
BCZB_W7-L^G07,0.0631005306180983,-0.0631005306180983,13.0,-0.0175322213798332,0.1230741669652454,-0.0526471276800546,0.8578034682080925,0.0683829444891391,0.0356389708983551,-0.0783976289497586,0.0002738697929117,-0.0830174374526156,-0.0621419892379795,0.3812155910892693,0.1325405230607542,0.2422356032748602,0.2859659721379878,-9.535654901916963,-2.519083969465649,0.6813872832369943,0.047725653810929,0.0597996435375822,0.0693779904306219,0.0096618357487923,-0.0301624129930394,0.0170316301703161,-0.027906976744186,-0.0952380952380953,-0.168986083499006,-0.1606425702811246,-0.0752212389380531,-0.0772626931567329,-0.0390804597701149,0.0023980815347721,-0.079295154185022,-0.0669642857142859,-0.0731707317073171,-0.0187793427230047,0.0096618357487923,0.1358695652173911,0.1611111111111109,0.3440514469453375,0.0885416666666667,0.2186588921282797,0.3704918032786886,0.1087533156498672,0.0476190476190474,0.1117021276595744,-0.0023866348448688,-0.0141509433962265,-0.1504065040650407,-0.0210772833723653,-0.1106382978723404,-0.0390804597701149,-0.0731707317073171,-0.0500000000000001,0.0121065375302662,-0.1451942740286298,-0.2413793103448276,-0.2640845070422535,-0.3192182410423453,-0.3559322033898305,-0.3136288998357964,-0.3136288998357964,-0.3290529695024078,-0.2614840989399294,-0.2344322344322345,-0.3102310231023102,-0.2157598499061914,-0.2535714285714285,-0.2817869415807561
BDAJ_H9-L,0.0915446941975953,-0.0915446941975953,7.0,-0.0363123115416694,0.2190345119627355,2.281221296011049,1.8931646932185144,0.1110192837465564,0.0546095126247797,-0.0914793518034479,1.7208443571192806e-06,-0.0359273753769166,-0.0849467815509376,-0.4194143574657059,0.0108288257671594,0.0019712117714734,-0.3022336159647405,-0.5264359139990071,-1.1092636579572444,1.706404736275565,0.1105798421372191,-0.23781643805063,0.0971786833855798,0.0159235668789807,0.2037735849056603,0.2608695652173913,0.0224358974358973,-0.0303951367781155,0.0887372013651877,0.042483660130719,0.2316602316602316,0.2083333333333332,0.24609375,0.3574468085106381,0.3127572016460904,0.2608695652173913,0.3291666666666666,0.3632478632478633,0.3690987124463518,0.3809523809523809,0.5118483412322274,0.6030150753768844,0.5637254901960784,0.5410628019323673,0.4768518518518516,0.5047169811320753,0.1727941176470586,0.1642335766423357,0.1771217712177122,0.0740740740740739,-0.1163434903047091,-0.2044887780548627,-0.0806916426512969,-0.039156626506024,-0.1064425770308122,0.0224358974358973,-0.0333333333333333,0.1232394366197182,-0.0093167701863354,0.0126984126984126,-0.1236263736263736,0.0493421052631579,-0.1605263157894736,-0.300438596491228,-0.2926829268292682,-0.362,-0.42,-0.4353982300884956,-0.316916488222698,-0.2615740740740742,-0.3198294243070363
