firms,absacc,acc,age,agr,chpmia,currat,depr,egr,grltnoa,herf,invest,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.0853032263122819,-0.0853032263122819,10.0,-0.4536251212415131,0.3542504107660022,0.9669117647058824,0.1193317422434367,-0.4106394411606663,-0.4808498961150912,4.945021458567678e-06,-0.5613482056256063,-0.3602925357477137,0.0626996779593871,0.4733073734455469,0.3214552644973751,0.3997882557447076,-0.5253770534709686,-0.9653948535936112,0.455548128342246,25.20048309178744,-0.0650595931535085,-0.0508474576271187,-0.3854166666666666,-0.3058823529411764,-0.2563025210084033,-0.4433962264150943,-0.511049723756906,-0.5734939759036145,-0.6185344827586207,-0.6297071129707112,-0.6185344827586207,-0.6445783132530121,-0.595890410958904,-0.8367158671586716,-0.850253807106599,-0.8278210116731517,-0.8323863636363636,-0.8215725806451613,-0.8264705882352941,-0.8128964059196617,-0.8327032136105861,-0.8553921568627452,-0.8534768211920529,-0.8597464342313788,-0.850253807106599,-0.8588516746411483,-0.8534768211920529,-0.8505067567567568,-0.8476764199655766,-0.8556280587275693,-0.8525,-0.857487922705314,-0.8520066889632107,-0.8565640194489466,-0.846885813148789,-0.8345794392523365,-0.8304597701149425,-0.8355018587360594,-0.8257874015748031,-0.77875,-0.797945205479452,-0.7877697841726619,-0.7753807106598984,-0.7397058823529412,-0.7527932960893855,-0.7126623376623377,-0.7181528662420382,-0.6746323529411765,-0.6861702127659575,-0.6758241758241759
BALZ_07-L^I10,0.028211462184693,-0.028211462184693,10.0,0.0219924914304369,-0.2725643563580593,2.1582009157015887,0.2932646212847555,0.0675062019089265,-0.0113125702999283,1.5247084591116032e-08,-0.0196855106371401,-0.1893903527455179,-0.0096342587485635,-0.0319136558585792,0.0104336357594083,-0.0239793655479703,-0.0269268402687756,-0.3392880258899677,1.704713169943442,3.7138278094749664,-0.0803568593834333,-0.0166666666666667,0.1999999999999999,0.3043478260869563,0.4285714285714286,0.3043478260869563,0.25,0.25,0.1764705882352941,0.4285714285714286,0.3953488372093023,0.5384615384615383,0.4285714285714286,0.5384615384615383,0.4999999999999998,0.4999999999999998,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,1.0,0.875,0.7647058823529409,0.4634146341463414,0.4999999999999998,0.5789473684210527,0.6666666666666667,0.8181818181818181,0.7647058823529409,0.6666666666666667,0.875,1.0689655172413794,1.0689655172413794,1.1428571428571428,0.9354838709677418,1.222222222222222,1.3076923076923077,1.6086956521739126,1.6086956521739126,1.5,1.4,1.3076923076923077,1.5,2.0,2.0,2.0,2.0,1.8571428571428568,1.727272727272727,1.6086956521739126
BBIO_50-L^J00,0.0707230343737653,0.0707230343737653,12.0,0.0577235772357723,1.94602743084366,0.97782874617737,0.1096311475409836,0.8321299638989169,0.1228763334650254,1.003199679206501e-05,0.1004065040650406,0.6769907312463053,-0.0706471831657007,0.0371845643764965,-0.1600107933081488,-0.0979722418254528,-0.0311375079318954,0.3156966490299823,0.6490825688073395,5.782101167315175,0.0486944248412138,-0.0390334572490705,0.2311212814645309,0.1069958847736625,0.3759590792838874,0.1902654867256639,0.0590551181102361,-0.016453382084095,-0.1280388978930308,-0.0834752981260648,0.0,0.0846774193548387,0.2963855421686745,0.2779097387173397,0.2339449541284401,0.1929046563192904,0.1471215351812365,0.3186274509803921,0.5154929577464789,0.5639534883720929,0.4986072423398329,0.670807453416149,0.6107784431137724,0.6865203761755485,0.6059701492537313,0.5917159763313609,0.4385026737967914,0.3901808785529714,0.3865979381443298,0.5154929577464789,0.5870206489675516,0.6156156156156156,0.6204819277108433,0.6253776435045317,0.6503067484662577,0.8877192982456139,0.9078014184397164,1.0456273764258557,0.9706959706959706,0.977941176470588,0.92831541218638,1.030188679245283,1.213991769547325,1.4678899082568804,1.5258215962441315,1.4566210045662102,1.5497630331753554,1.7875647668393784,1.892473118279569,1.7171717171717171
BBOU_00-L,0.1381098655602984,-0.1381098655602984,10.0,1.2083706642774863,-1.1486319482486025,1.0035160038797284,0.1859614105123087,0.0895953757225433,0.2798101089081262,0.0002527276469829,0.3203634967362089,3.9622603709066073,-0.2804451736886921,1.04674508425497,0.0952233663411003,1.956056510597436,1.659093979454879,-1.2937219730941705,0.7324199806013579,8.282620766240978,2.1536997885835096,0.0277777777777779,0.0788643533123027,0.0133333333333334,0.2690166975881263,0.0771653543307087,-0.0393258426966292,-0.0552486187845304,-0.0325318246110325,-0.0630136986301369,-0.0719131614654002,0.0754716981132075,0.2413793103448276,0.0555555555555553,0.0805687203791469,0.0788643533123027,0.0044052863436123,0.0771653543307087,0.0193740685543963,-0.0129870129870129,0.0379362670713201,0.1772805507745267,0.1833910034602075,0.2930056710775046,0.3625498007968128,0.290566037735849,0.3307392996108951,0.343811394891945,0.2785046728971962,0.2368896925858949,0.2761194029850744,0.2504570383912248,0.2761194029850744,0.2236135957066189,0.2713754646840149,0.2881355932203391,0.2881355932203391,0.2459016393442621,0.2857142857142856,0.1672354948805459,0.1362126245847177,0.1875,0.1916376306620208,0.2236135957066189,0.2346570397111913,0.2619926199261992,0.2979127134724859,0.4045174537987679,0.4045174537987679,0.3128598848368522
BBQS_26-L^G99,0.0498340109664664,-0.0498340109664664,10.0,-0.3223404255319148,0.3033915371746308,1.5693548387096774,0.1381396521300731,-0.4893182240386401,-0.1171994479465826,7.5261755889287776e-06,-0.2627659574468085,-0.2350486747028535,-0.1135424917616469,0.1941958143224978,0.0052971718957136,0.3092733011002657,0.073960217578311,-0.6900826446280992,1.0228110599078342,7.609222583505764,-0.1680294754532821,-0.1578947368421053,0.0,-0.0843373493975903,-0.6415094339622642,-0.7275985663082437,-0.7771260997067448,-0.7710843373493976,-0.7894736842105263,-0.7883008356545961,-0.790633608815427,-0.7717717717717718,-0.7370242214532872,-0.7441077441077442,-0.7540453074433657,-0.7771260997067448,-0.7744807121661721,-0.7654320987654322,-0.7610062893081762,-0.7682926829268293,-0.7834757834757835,-0.7912087912087912,-0.8015665796344648,-0.8056265984654731,-0.7956989247311828,-0.81,-0.790633608815427,-0.7840909090909091,-0.7900552486187845,-0.7962466487935657,-0.7900552486187845,-0.7828571428571429,-0.7912087912087912,-0.7877094972067039,-0.7945945945945946,-0.7797101449275362,-0.7865168539325843,-0.7751479289940828,-0.7548387096774194,-0.7710843373493976,-0.7828571428571429,-0.8020833333333333,-0.8071065989847716,-0.7877094972067039,-0.7934782608695652,-0.7945945945945946,-0.7956989247311828,-0.7877094972067039,-0.7828571428571429,-0.7877094972067039
BBTU_63-L^C18,0.0457312948180219,-0.0457312948180219,10.0,-0.0463743428588211,0.1251046984698103,0.5111956062526405,0.0325913355959273,-0.1286326822296331,-0.0610351929523847,2.488136908946384e-05,0.0407647801697553,0.7382190948980306,0.2306635637302018,0.3935705907937143,0.2307378750205819,0.2727246151408675,0.3123911139585765,-0.7130801687763711,0.4937684833122095,20.55555555555556,0.2264818405743934,-0.0909090909090909,0.0318584070796459,0.0677655677655677,0.1613545816733068,0.0264084507042254,-0.1166666666666665,-0.2398956975228161,-0.2775712515489467,-0.2890243902439023,-0.2846625766871166,-0.2142857142857143,-0.1671428571428571,-0.0847723704866562,-0.1206636500754148,-0.0919003115264797,-0.1259370314842578,-0.0804416403785488,-0.0017123287671232,-0.0283333333333333,0.0103986135181977,0.0392156862745096,0.0917602996254682,0.0561594202898552,0.0392156862745096,0.0466786355475763,0.184959349593496,0.2171189979123173,0.1544554455445546,0.1590457256461233,0.2673913043478262,0.3340961098398169,0.2591792656587472,0.2510729613733906,0.2785087719298247,0.2984409799554566,0.428921568627451,0.6515580736543911,0.689855072463768,0.4834605597964376,0.4116222760290557,0.4575,0.4116222760290557,0.4116222760290557,0.3340961098398169,0.358974358974359,0.4116222760290557,0.371764705882353,0.4395061728395062,0.4116222760290557
BBVN_02-L^I99,0.0355630821337849,-0.0355630821337849,10.0,-0.0498678996036988,-0.1095060398174212,1.3557760453579024,0.2065404475043029,-0.0444203683640302,-0.0413209144792546,1.350281410592747e-07,-0.0260898282694847,0.6074692503705632,-0.0475896609903433,0.1264264742041395,-0.0794208475439237,-0.0294089333846746,-0.0313421285377357,-0.6034482758620691,0.9199149539333809,3.213420316868593,0.0165094339622642,0.4471544715447155,-0.3387096774193548,-0.4142857142857143,-0.1907894736842105,-0.3387096774193548,-0.4557522123893804,-0.4225352112676056,-0.4383561643835616,-0.3910891089108911,-0.3351351351351351,-0.3128491620111732,-0.2115384615384615,-0.2453987730061348,-0.1907894736842105,-0.1907894736842105,-0.2678571428571428,-0.25,-0.2678571428571428,-0.2931034482758621,-0.2931034482758621,-0.3166666666666666,-0.3050847457627118,-0.2678571428571428,-0.2634730538922155,-0.2590361445783132,-0.2590361445783132,-0.2115384615384615,-0.2012987012987013,-0.2215189873417722,-0.1907894736842105,-0.1907894736842105,-0.1907894736842105,-0.1575342465753424,-0.016,0.088495575221239,-0.0080645161290322,-0.0390625,-0.0610687022900764,-0.0610687022900764,-0.0820895522388059,-0.0465116279069768,0.0081967213114753,0.1181818181818181,0.0982142857142855,0.1284403669724769,0.2299999999999999,0.28125,0.3369565217391304,0.3516483516483515
BBXK_89-L^E06,0.0176980163875631,-0.0176980163875631,10.0,0.1163968645539872,0.0901775623800336,1.451044776119403,0.0398735541346361,0.1184509747643123,0.0541975887659317,7.717772728857603e-05,0.1006612462959989,1.1284019470894366,-0.1961333306006016,-0.1158504725391714,-0.2036852426848192,-0.0726058315186976,-0.1475759392221819,-0.1547834479430571,1.2377398720682302,4.780664617525952,0.051186574682156,-0.1252566735112936,-0.0081466395112016,-0.0811320754716981,-0.0811320754716981,-0.2378716744913928,-0.1990131578947368,-0.2519201228878648,-0.2496147919876733,-0.2848751835535976,-0.3012912482065997,-0.2817109144542773,-0.2827687776141384,-0.3121468926553672,-0.3454301075268817,-0.3245492371705963,-0.3650586701434158,-0.3121468926553672,-0.3062678062678062,-0.189683860232945,-0.1801346801346801,-0.1632302405498281,-0.1486013986013985,-0.1717687074829931,-0.158894645941278,-0.1603448275862068,-0.1773648648648648,-0.1937086092715231,-0.189683860232945,-0.1617900172117038,-0.150087260034904,-0.1334519572953736,-0.108058608058608,-0.058027079303675,-0.026,-0.0375494071146244,-0.0450980392156862,-0.0845864661654135,-0.0616570327552986,-0.0121703853955374,-0.048828125,-0.0543689320388349,-0.0616570327552986,0.0209643605870022,-0.01417004048583,-0.026,-0.01417004048583,0.0894854586129754,0.0656455142231946,0.0361702127659573
BCPS_48-L^C06,0.0544775481997406,-0.0544775481997406,10.0,0.0010099283727723,-0.2138393257821262,0.9184633269921793,0.0405561993047508,0.0631293426968378,-0.0314938619581029,3.96930570348982e-05,-0.0257454048259038,0.6633959462803292,-0.1718434719209929,-0.1007083317758754,-0.1794022445083696,-0.0090615419503112,0.1963131694064867,-1.289705882352941,0.8524096385542168,6.390336179872446,-0.0009970258212789,-0.0647887323943662,0.0099573257467993,0.0790273556231002,0.3733075435203095,0.0410557184750732,-0.2518440463645943,-0.1968325791855204,-0.1476590636254502,-0.1968325791855204,-0.2031425364758698,-0.1212871287128712,0.0142857142857142,0.0260115606936415,0.0973724884080371,0.0245310245310246,0.061285500747384,0.0839694656488549,0.1488673139158576,0.1601307189542482,0.1111111111111111,0.1639344262295081,0.1620294599018001,0.0790273556231002,0.0889570552147238,0.2033898305084744,0.2033898305084744,0.1833333333333333,0.1251980982567353,0.3733075435203095,0.4489795918367345,0.4609053497942386,0.35755258126195,0.3523809523809522,0.3370998116760828,0.3446969696969695,0.3123844731977818,0.4915966386554622,0.4669421487603304,0.463917525773196,0.4549180327868851,0.2815884476534296,0.2283737024221452,0.2178387650085762,0.1359999999999999,0.2262521588946457,0.2283737024221452,0.2522045855379189,0.2262521588946457,0.1639344262295081
BCQE_67-L^A14,0.0786609245864169,-0.0786609245864169,10.0,0.2776649101644341,-0.0025624404102062,1.3044273461150355,0.1345513721429099,-0.1041707652960849,0.0443199397917753,1.529921811347532e-05,0.1278331534505746,0.3759925521532323,-0.2336952962370319,-0.0054579341469494,-0.1990187219845675,0.0718516188273759,-0.1733429324994324,-0.911793214862682,0.9414732593340064,3.4419956860170684,0.2212424716334474,-0.0317804261466234,0.128821850794945,-0.0632611637347766,0.2742751955821445,0.128821850794945,-0.1297925832809553,-0.2126812624395792,-0.3688169591976292,-0.3060150375939848,-0.2651273885350318,-0.258832976445396,-0.1215101522842638,-0.2061353211009174,-0.1568209500609013,-0.1980886185925282,-0.2674603174603174,-0.130885122410546,-0.1317027281279398,-0.0723618090452261,-0.0114244912531239,0.0339805825242718,-0.0568801089918256,-0.0215547703180212,-0.0815920398009949,-0.1231792273590879,0.0091107871720117,-0.0117773019271948,-0.0578428036747192,0.0363023952095808,0.0732558139534884,0.0221483942414175,0.0992457324335054,0.1058306709265177,0.0658198614318708,0.1668773704171935,0.1919931123547138,0.1945642795513373,0.2450539568345324,0.2649611694837825,0.3104590629436821,0.4214579055441478,0.3991915108640729,0.5008130081300814,0.5247797356828194,0.691508857666463,0.7306250000000001,0.7968851395197925,0.8709459459459459,0.7019053472649048
