firms,absacc,acc,age,agr,chpmia,currat,depr,egr,grltnoa,herf,invest,pchcurrat,pchdepr,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.1114775529607511,-0.1114775529607511,9.0,-0.038750655556203,1.2109667963025368,0.909863609408974,0.0809958223207434,0.0179411442949348,-0.0610274237157165,5.619013785674656e-06,0.066196608589243,0.012144494643547,0.1136925569102225,-0.2789975781603455,0.0274655057653525,0.1102965968820995,-2.2711864406779663,0.3447321605060289,0.1120633813343963,0.1498054474708172,-0.0265151515151516,0.036290322580645,0.0078431372549019,0.0866807610993656,-0.0283553875236295,-0.1601307189542484,-0.1490066225165564,-0.1854199683042788,-0.1302876480541456,-0.1802232854864434,-0.1490066225165564,-0.1317567567567568,-0.1153184165232358,-0.1615008156606852,-0.1433333333333334,-0.1723027375201289,-0.1404682274247493,-0.1669367909238249,-0.110726643598616,-0.0392523364485981,-0.0153256704980843,-0.0446096654275093,0.0118110236220472,0.2849999999999999,0.1735159817351597,0.2326139088729015,0.3045685279187817,0.5117647058823529,0.4357541899441339,0.6688311688311688,0.6369426751592355,0.8897058823529409,0.822695035460993,0.8827838827838828,0.855595667870036,0.9769230769230768,1.1965811965811968,1.0078125,1.274336283185841,1.2445414847161569,1.2543859649122808,1.3577981651376143,1.3153153153153148,1.336363636363636,1.12396694214876,0.8489208633093526,0.9469696969696968,0.7248322147651005
BALZ_07-L^I10,0.0399728572919929,0.0399728572919929,9.0,-0.0781461604052766,-2.5537784748593686,2.179195852407479,0.3029322984044847,0.1988909892879648,-0.0649545881616034,1.7906384865658363e-08,-0.1352058985805286,0.1864200722710116,0.3450155161829416,0.2928500062155283,0.2326420577144838,0.0911540034953092,0.3810708598726114,1.687110473774199,-0.0158417697787775,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333335,0.3333333333333335,0.25,0.1764705882352941,-0.0243902439024389,0.0,0.0526315789473683,0.1111111111111111,0.2121212121212121,0.1764705882352941,0.1111111111111111,0.25,0.3793103448275863,0.3793103448275863,0.4285714285714286,0.2903225806451615,0.4814814814814814,0.5384615384615385,0.7391304347826086,0.7391304347826086,0.6666666666666667,0.6000000000000001,0.5384615384615385,0.6666666666666667,1.0,1.0,1.0,1.0,0.9047619047619048,0.8181818181818183,0.7391304347826086,0.7391304347826086,0.5384615384615385,0.4814814814814814,0.3793103448275863,0.3333333333333335,0.25,0.1764705882352941,0.142857142857143,0.2121212121212121,0.25,0.25,0.6666666666666667,0.6666666666666667,0.6666666666666667
BAMD_17-L^J98,0.006616110691122,-0.006616110691122,9.0,0.2759953027639453,0.7293078885518987,1.4497230670615062,0.070531720444922,0.0885401189833655,0.010325235692532,7.697253680146699e-08,0.0991182176650628,0.1078766168920796,-0.0504828825837672,0.0684299553759657,-0.6329725441464642,-0.1050893585137857,-0.1388709469060845,1.269354424082983,0.1509468879156127,-0.0833333333333333,0.0,-0.16,-0.0802919708029197,-0.1710526315789473,-0.1818181818181818,-0.1655629139072847,-0.1280276816608997,-0.2075471698113208,-0.1032028469750889,0.0769230769230771,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.125,0.1402714932126696,0.1943127962085309,0.1454545454545452,0.1775700934579438,0.1830985915492957,0.26,0.2115384615384614,0.1943127962085309,0.2413793103448276,0.2233009708737863,0.2352941176470588,0.229268292682927,0.2475247524752475,0.5555555555555554,0.5180722891566265,0.6050955414012738,0.7379310344827588,0.7027027027027026,0.5555555555555554,0.423728813559322,0.5272727272727273,0.5949367088607593,0.5,0.3846153846153846,0.423728813559322,0.5365853658536586,0.6363636363636362,0.2413793103448276,0.172093023255814,0.1101321585903083,0.0543933054393304,0.1150442477876108,0.1999999999999999,0.2413793103448276
BBIO_50-L^J00,0.0644927244145269,-0.0644927244145269,9.0,-0.0167079702614118,-7.47347086588392,1.052160953800298,0.1057007125890736,-0.236072807501379,0.0235801523640559,9.060439044410094e-06,0.105364137820769,-0.3581779101926373,-0.1495289040013775,-0.408402257365042,-0.155822604587185,-0.2162022503252476,-0.5797101449275363,0.7727272727272727,-0.0135746606334841,-0.0332594235033257,-0.0383795309168444,0.1053921568627449,0.2704225352112677,0.3110465116279068,0.256267409470752,0.4006211180124222,0.3502994011976048,0.4137931034482758,0.3462686567164177,0.334319526627219,0.2058823529411764,0.1653746770025839,0.1623711340206184,0.2704225352112677,0.3303834808259587,0.3543543543543543,0.358433734939759,0.362537764350453,0.3834355828220859,0.582456140350877,0.5992907801418439,0.7148288973384029,0.6520146520146519,0.6580882352941175,0.6164874551971324,0.7018867924528303,0.8559670781893003,1.068807339449541,1.1173708920187797,1.0593607305936072,1.137440758293839,1.3367875647668392,1.4247311827956983,1.2777777777777777,1.137440758293839,1.21078431372549,1.178743961352657,1.1273584905660377,1.1476190476190475,1.398936170212766,1.2777777777777777,1.1476190476190475,1.4780219780219777,1.4917127071823204,1.21078431372549,1.5337078651685392,1.716867469879518,1.8012422360248443
BBNH_32-L^L97,0.0959706632082643,-0.0959706632082643,10.0,0.0067306829399623,4.565699282090361,1.847747093023256,0.1083916083916083,0.0349401488191523,-0.0160994588792987,9.084932010450128e-05,0.0015256214663914,0.4662176499046814,-0.0001308851576232,0.5086150674962413,0.1596461801902168,0.3035061891765225,-18.5,1.4269622093023255,0.1182554517133956,0.0073529411764705,-0.0872483221476508,-0.0388692579505299,-0.081081081081081,-0.0903010033444816,-0.0422535211267603,0.0625,0.1239669421487603,0.198237885462555,0.1903719912472647,0.1851851851851853,0.1724137931034484,0.1826086956521742,0.1333333333333335,0.1623931623931624,0.2391799544419135,0.2710280373831775,0.25635103926097,0.2534562211981568,0.2921615201900238,0.2448512585812357,0.2448512585812357,0.1724137931034484,0.2391799544419135,0.2477064220183487,0.2363636363636363,0.3300733496332519,0.4278215223097112,0.4056847545219639,0.363408521303258,0.3668341708542715,0.3772151898734177,0.4353562005277045,0.4904109589041097,0.3366093366093365,0.4391534391534393,0.3045563549160672,0.3532338308457714,0.2224719101123595,0.3108433734939759,0.3203883495145632,0.28,0.142857142857143,0.2035398230088496,0.1623931623931624,0.1356993736951983,0.142857142857143,0.3045563549160672,0.3333333333333335
BBOU_00-L,0.0417289486796213,-0.0417289486796213,8.0,-0.0521654737352905,1.7256146514900377,1.3946345256609642,0.0908571428571428,-0.0312645823611759,-0.018684603886395,2.5238981922890485e-05,-0.0093412592502729,-0.0493759992445892,0.1117722007722007,-0.1013909384160723,0.373706969607158,0.2885935840626945,-0.4890510948905109,0.6687402799377916,0.3568559954102123,-0.001577287066246,-0.0690161527165932,-0.0015748031496062,-0.0551415797317437,-0.085137085137085,-0.0379362670713201,0.0912220309810671,0.0968858131487888,0.1984877126654063,0.2629482071713147,0.1962264150943395,0.2334630350194553,0.2455795677799608,0.1850467289719626,0.1464737793851718,0.1828358208955223,0.1590493601462523,0.1828358208955223,0.1341681574239714,0.178438661710037,0.1939736346516007,0.1939736346516007,0.1548269581056465,0.1917293233082706,0.0819112627986347,0.0531561461794021,0.1006944444444444,0.1045296167247387,0.1341681574239714,0.1444043321299639,0.1697416974169741,0.2030360531309298,0.301848049281314,0.301848049281314,0.2168905950095969,0.2122370936902484,0.1675874769797423,0.2099236641221373,0.1241134751773049,0.2286821705426356,0.2504930966469427,0.161172161172161,0.1402877697841726,0.1719038817005544,0.0531561461794021,0.0376432078559736,0.1464737793851718,0.1527272727272726,0.2629482071713147
BBQS_26-L^G99,0.0733771192912784,-0.0733771192912784,9.0,-0.0462548492987168,0.4459822466441318,1.770366683258669,0.1156758803483528,-0.0216284987277355,-0.0581029479150742,1.0799862909555713e-05,-0.0475678901820352,0.0360340054750595,-0.0058222356646134,0.0342610208663788,-0.0063231887698314,0.0629123880801611,-1.6844319775596075,1.0174216027874563,-0.0358355925337322,-0.093841642228739,0.0118694362017803,0.0524691358024691,0.0723270440251573,0.0396341463414635,-0.0284900284900283,-0.0631868131868131,-0.1096605744125326,-0.1278772378516623,-0.0833333333333333,-0.1474999999999999,-0.0606060606060605,-0.03125,-0.0580110497237569,-0.0857908847184986,-0.0580110497237569,-0.0257142857142856,-0.0631868131868131,-0.047486033519553,-0.0783783783783783,-0.0115942028985507,-0.042134831460674,0.0088757396449705,0.1,0.0271084337349398,-0.0257142857142856,-0.1119791666666666,-0.1345177664974618,-0.047486033519553,-0.0733695652173913,-0.0783783783783783,-0.0833333333333333,-0.047486033519553,-0.0257142857142856,-0.047486033519553,0.0524691358024691,0.0209580838323353,-0.014450867052023,-0.047486033519553,0.0029411764705882,0.1143790849673203,0.0590062111801241,0.0088757396449705,0.0088757396449705,-0.0257142857142856,-0.047486033519553,0.0723270440251573,0.1071428571428572,0.0396341463414635
BBTU_63-L^C18,0.0705064089741025,-0.0705064089741025,9.0,0.1005559506108991,-2.2807176865218204,0.4153820924893408,0.0233869283775318,-0.0284094196609384,0.0828165633126624,1.642902556840198e-05,0.0565324196780658,-0.5187220805816266,-0.1654510686266151,-0.5182737288964472,-0.0138922145434006,-0.1029475233117125,-1.5172185430463578,0.4011971138078058,-0.0021963081106521,0.0327102803738317,-0.0374812593703148,0.0126182965299683,0.0993150684931507,0.07,0.1126516464471405,0.1443850267379678,0.202247191011236,0.1630434782608696,0.1443850267379678,0.1526032315978456,0.3048780487804878,0.3402922755741127,0.2712871287128713,0.276341948310139,0.3956521739130436,0.4691075514874141,0.386609071274298,0.3776824034334762,0.4078947368421053,0.4298440979955455,0.5735294117647058,0.8186968838526913,0.8608695652173912,0.6335877862595418,0.5544794188861986,0.605,0.5544794188861986,0.5544794188861986,0.4691075514874141,0.4965034965034964,0.5544794188861986,0.5105882352941176,0.5851851851851853,0.5544794188861986,0.6939313984168864,0.7734806629834254,0.7493188010899183,0.5930521091811414,0.5469879518072287,0.7211796246648794,0.6335877862595418,0.4298440979955455,0.368869936034115,0.2588235294117647,0.3048780487804878,0.6377551020408163,0.7637362637362637,0.5469879518072287
BBVN_02-L^I99,0.0619102797550074,-0.0619102797550074,9.0,0.0049784268171257,0.4847517464212533,1.4235209235209236,0.1833590138674884,-0.2844961240310077,-0.0066214202946532,1.2979597893292858e-07,0.0514437437769664,-0.0785626086227288,0.0390344119157677,-0.1305940598869892,-0.0550776963647304,0.148336189813719,-0.9894179894179896,0.9992784992784992,0.0956072351421187,0.0,-0.0952380952380952,-0.073170731707317,-0.0952380952380952,-0.1264367816091953,-0.1264367816091953,-0.1555555555555555,-0.1412429378531073,-0.0952380952380952,-0.089820359281437,-0.0843373493975903,-0.0843373493975903,-0.0256410256410256,-0.0129870129870129,-0.0379746835443037,0.0,0.0,0.0,0.0410958904109588,0.2159999999999999,0.3451327433628319,0.2258064516129032,0.1875,0.1603053435114503,0.1603053435114503,0.1343283582089551,0.1782945736434107,0.2459016393442623,0.3818181818181816,0.357142857142857,0.3944954128440365,0.52,0.5833333333333335,0.6521739130434783,0.6703296703296704,0.8313253012048194,0.7674418604651163,0.7674418604651163,0.6000000000000001,0.7674418604651163,0.8765432098765431,0.6703296703296704,0.6521739130434783,0.1875,0.1259259259259257,0.0555555555555555,0.2459016393442623,0.1782945736434107,0.0482758620689656
BBXK_89-L^E06,0.0215899277305577,-0.0215899277305577,9.0,0.0788673837383266,-0.3992598003349362,1.805081403864571,0.045098202166265,0.0994514030488396,-0.0075451115858348,6.937326757558425e-05,0.0378746121986173,0.0514104828143871,-0.0360681028252935,0.0614244042492683,0.031649881213551,0.0346197395593346,-0.1888417704744235,1.5543349670441102,0.0843934952154432,0.0319001386962551,-0.059973924380704,0.0183615819209039,0.0270655270655271,0.1996672212978369,0.2138047138047136,0.2388316151202749,0.2604895104895106,0.2261904761904762,0.2452504317789292,0.243103448275862,0.2179054054054054,0.1937086092715232,0.1996672212978369,0.2409638554216868,0.2582897033158813,0.2829181494661921,0.3205128205128205,0.3945841392649902,0.4419999999999999,0.4249011857707512,0.4137254901960785,0.3552631578947367,0.3892100192678227,0.462474645030426,0.408203125,0.3999999999999999,0.3892100192678227,0.5115303983228512,0.4595141700404856,0.4419999999999999,0.4595141700404856,0.6129753914988816,0.5776805251641137,0.5340425531914892,0.5243128964059196,0.4684317718940936,0.5307855626326965,0.4192913385826771,0.4507042253521127,0.5307855626326965,0.6057906458797326,0.3918918918918919,0.498960498960499,0.4419999999999999,0.3999999999999999,0.3451492537313432,0.3681214421252372,0.5147058823529413
