firms,absacc,acc,age,agr,cashdebt,chpmia,currat,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchquick,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.3005653266331658,-0.3005653266331658,13.0,-0.1213491985445963,0.0375211167422423,0.2695978435759641,0.8242764323685765,-0.0377122877122876,-0.1292922948073685,3.2798516732537288e-06,-0.1987412724948372,-0.175669099756691,-0.9996091349640588,-0.0294151014954681,0.0883395627256124,-4.317293233082707,0.4232132309509746,0.1654998278434523,-0.0283804627249357,0.3917910447761192,-0.2071005917159762,-0.2795698924731182,-0.3128205128205128,-0.2094395280235987,-0.1096345514950164,0.0428015564202335,0.0307692307692308,0.0387596899224806,0.0806451612903227,0.4644808743169399,0.0850202429149797,0.0634920634920634,-0.0596491228070175,-0.0289855072463767,0.098360655737705,0.558139534883721,0.5491329479768787,0.8231292517006805,2.35,1.881720430107527,4.583333333333334,5.090909090909091,5.090909090909091,5.536585365853659,5.232558139534884,4.469387755102042,5.7,4.254901960784314,3.962962962962963,4.056603773584905,2.01123595505618,2.01123595505618,0.7402597402597404,0.558139534883721,0.1652173913043479,0.1213389121338912,0.2641509433962263,0.1074380165289257,-0.0428571428571427,0.2761904761904763,0.2126696832579186,0.5952380952380953,0.5141242937853108,-0.0694444444444443,0.0509803921568627,0.1260504201680674,-0.1572327044025157,-0.2596685082872928
BALZ_07-L^I10,0.1110332982731763,-0.1110332982731763,14.0,-0.1812127992406081,-0.1180840664711632,-1.473208462982456,1.4047322369952484,-0.2502783995680588,-0.0500978577800263,2.020519007890565e-08,-0.000542422789506,-0.129401258717469,-3.576707481626672,-0.1220215991581263,-0.1689306507789129,-1.0932878867330886,0.9972203584779066,-0.1326859056979605,-0.2264079107949389,0.0303030303030302,-0.0833333333333332,-0.2978723404255318,-0.3399999999999999,-0.3399999999999999,-0.3529411764705882,-0.4107142857142857,-0.5352112676056338,-0.5657894736842105,-0.4,-0.3773584905660377,-0.5416666666666666,-0.5416666666666666,-0.6764705882352942,-0.6764705882352942,-0.7130434782608696,-0.6796116504854368,-0.7828947368421053,-0.8225806451612903,-0.7987804878048781,-0.8206521739130435,-0.8366336633663366,-0.8263157894736842,-0.8366336633663366,-0.8244680851063829,-0.8272251308900523,-0.79375,-0.7441860465116279,-0.7401574803149606,-0.7857142857142857,-0.7053571428571428,-0.6632653061224489,-0.6632653061224489,-0.5925925925925926,-0.5875,-0.611764705882353,-0.5769230769230769,-0.5822784810126582,-0.554054054054054,-0.5,-0.5147058823529411,-0.4310344827586206,-0.4406779661016948,-0.4499999999999999,-0.3399999999999999,-0.2826086956521739,-0.2142857142857142,-0.2826086956521739,-0.3124999999999999
BBOU_00-L,0.0216470588235294,-0.0216470588235294,14.0,0.04883166969147,0.1612550471063257,0.2989928776145611,0.9956539454026893,0.1569307885097358,-0.056636678200692,0.0001168946689238,-0.0619328493647912,0.0082777261593039,1.8774717385528048,-0.0334898029650001,-0.0482722569173726,-0.2418058132343846,0.6811082439223143,0.079366050666993,-0.120037438577334,0.0637720488466757,-0.1339600470035252,-0.1430232558139534,-0.1856353591160221,-0.1971677559912853,-0.1528735632183907,-0.1308962264150943,-0.0611464968152866,-0.010738255033557,0.0528571428571429,0.0528571428571429,0.0727802037845706,0.0,-0.0764411027568923,-0.0391134289439374,0.0165517241379311,0.0293296089385475,0.0293296089385475,0.1269113149847094,-0.0173333333333333,0.0193637621023512,0.1200607902735562,0.2141680395387148,0.2772963604852687,0.2663230240549827,0.2242524916943522,0.2817391304347827,0.4173076923076924,0.4594059405940593,0.5418410041841004,0.6377777777777778,0.4799196787148594,0.3044247787610619,0.2161716171617163,0.2201986754966887,0.1606299212598425,0.1792,0.077485380116959,0.0967261904761904,0.0264623955431755,0.0902366863905326,0.0681159420289854,0.0483641536273113,0.077485380116959,0.1624605678233439,0.0918518518518518,0.3673469387755104,0.1606299212598425,0.0351123595505618
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,6.845520477457427,1.8613333333333333,0.8411764705882353,0.1253396739130146,3.240375981766665e-07,0.2216981132075471,-0.108730583824317,-1.1010907136255763,-0.2328427255985267,-0.2464646464646464,-2.256756756756757,1.8,0.0007898894154818,0.2272727272727272,0.0,-0.2352941176470588,-0.2352941176470588,-0.2352941176470588,-0.2352941176470588,-0.2352941176470588,-0.3809523809523809,-0.3809523809523809,-0.3809523809523809,-0.3809523809523809,-0.3809523809523809,-0.35,-0.35,0.0833333333333334,-0.35,-0.35,-0.3157894736842105,-0.2571428571428571,-0.1333333333333333,0.04,-0.0714285714285715,-0.0714285714285715,-0.0714285714285715,0.04,0.04,0.3,-0.037037037037037,0.1818181818181818,-0.1875,0.625,0.625,0.1818181818181818,-0.35,-0.35,-0.35,-0.2777777777777777,-0.2352941176470588,-0.1034482758620688,-0.1034482758620688,-0.0714285714285715,-0.1034482758620688,0.0,0.1818181818181818,0.1818181818181818,0.1304347826086955,0.1304347826086955,0.0,-0.0714285714285715,-0.1612903225806451
BBTU_63-L^C18,0.0619098767326479,-0.0619098767326479,13.0,0.0745087220406604,0.1377533193570929,-0.0049664986022311,0.455864342910975,0.0755260420833665,0.0276405298961602,1.590687712126379e-05,-0.016489113365307,0.0730680429172891,-3.4479692028261977,-0.1142927552111657,-0.1122302340207618,-2.114605171208945,0.4346679227508243,0.0397320535892821,0.0532202960900924,0.0240700218818379,-0.1409774436090225,-0.2280405405405404,-0.2532679738562091,-0.2396006655574042,-0.155268022181146,-0.0986193293885601,-0.1021611001964636,-0.0804828973843057,0.0677570093457944,0.0292792792792793,-0.2120689655172413,-0.234505862646566,-0.2293423271500841,-0.2174657534246574,-0.1473880597014925,-0.0804828973843057,-0.1765765765765765,-0.2134251290877795,-0.0932539682539682,-0.0214132762312633,-0.0108225108225107,-0.0214132762312633,-0.1278625954198473,-0.1425891181988742,-0.1505576208178438,-0.24212271973466,-0.2969230769230768,-0.3259587020648967,-0.2722929936305732,0.1146341463414635,-0.0439330543933054,-0.087824351297405,-0.0172043010752688,-0.0986193293885601,-0.2174657534246574,-0.233221476510067,-0.2471169686985173,-0.3054711246200607,-0.373972602739726,-0.3269513991163475,-0.3357558139534883,-0.1377358490566037,-0.216123499142367,-0.1911504424778761,-0.1630036630036629,-0.0896414342629481,-0.1954225352112675,-0.3075757575757575
BBXK_89-L^E06,0.1263906056860321,-0.1263906056860321,14.0,-0.065146749161619,0.1127210112972995,0.1168718499823412,2.14798949051862,-0.3366986696516983,-0.1122292685547688,6.078274883835542e-05,-0.1372995034705072,0.3556588840522356,0.3326903866454201,0.2105272664841866,0.277482391539601,-6.148366013071896,1.9621887137308656,0.1461865403616631,0.0073925480144135,0.0382165605095541,-0.1397260273972602,-0.1325966850828729,-0.160427807486631,-0.1467391304347826,-0.3114035087719298,-0.2895927601809954,-0.2646370023419202,-0.2266009852216748,-0.0977011494252872,0.0431893687707642,-0.0248447204968944,0.0716723549488054,0.0194805194805194,0.0680272108843538,0.0064102564102563,-0.0156739811912225,0.1335740072202167,0.1893939393939394,0.4272727272727272,0.3534482758620692,0.3652173913043479,0.3193277310924372,0.2610441767068272,0.2076923076923076,0.1134751773049647,0.0194805194805194,0.1335740072202167,0.0194805194805194,0.0194805194805194,-0.059880239520958,-0.0977011494252872,0.0790378006872851,-0.059880239520958,-0.1559139784946236,-0.3417190775681341,-0.3037694013303769,-0.2748267898383372,-0.3188720173535792,-0.3745019920318724,-0.3444676409185804,-0.3539094650205762,-0.2629107981220656,-0.3552361396303901,-0.360488798370672,-0.4075471698113206,-0.4075471698113206,-0.5086071987480438,-0.4835526315789473
BCPS_48-L^C06,0.0439181240687005,-0.0439181240687005,13.0,-0.0099882949668357,0.1109114127607245,0.1936277110191894,1.4788245462402767,-0.017326888065792,-0.0191357540585025,5.630199646519956e-06,0.0197424892703862,0.0035061120060646,-4.174240721231352,0.0098910054219582,0.0093884000111999,-1.4082145850796313,1.4094332633658475,0.0154449824678577,-0.3722427868769332,0.0710900473933648,-0.1352459016393442,-0.2156133828996282,-0.2437275985663083,-0.1491935483870968,0.0144230769230768,-0.0663716814159292,-0.1134453781512605,-0.1422764227642277,0.0144230769230768,0.172222222222222,-0.0826086956521738,-0.1946564885496183,-0.1884615384615385,-0.2919463087248323,-0.1884615384615385,-0.1757812500000001,-0.2895622895622897,-0.2966666666666667,-0.334384858044164,-0.3280254777070064,-0.2544169611307421,-0.6495016611295681,-0.6441821247892074,-0.6048689138576779,-0.6291739894551847,-0.709366391184573,-0.6671924290220821,-0.6783536585365854,-0.7048951048951049,-0.7511792452830188,-0.7957405614714425,-0.769650655021834,-0.7623873873873874,-0.7665929203539823,-0.7921182266009852,-0.7923228346456693,-0.7883650952858576,-0.7650334075723831,-0.7665929203539823,-0.7645089285714286,-0.7117486338797814,-0.6822289156626506,-0.7028169014084507,-0.6998577524893315,-0.6793313069908815,-0.5918762088974855,-0.6906158357771262,-0.7776606954689147
BCQE_67-L^A14,0.1939937866758715,-0.1939937866758715,14.0,-0.1943405634505111,-0.0745637635483127,-0.8434336800559639,1.195095948827292,-0.8254545454545454,-0.1373835001724995,4.464134503749156e-05,-0.1320119670905011,-0.1244232987312572,-1.0324043063152293,0.296269592111936,0.3738358331984739,-1.6168009205983889,0.90227434257285,0.2698133145473758,-0.1133155284242655,0.1153846153846154,-0.2578496669838249,-0.3699515347334411,-0.383399209486166,-0.4616977225672878,-0.3304721030042918,-0.4243542435424354,-0.4400574300071788,-0.3532338308457712,0.0469798657718121,0.7105263157894739,-0.2367906066536204,-0.25,-0.5072646873025901,-0.5457192778101341,-0.5488721804511278,-0.5081967213114754,-0.5799676898222941,-0.6351730589335828,-0.5733041575492341,-0.607250755287009,-0.589041095890411,-0.5457192778101341,-0.7451813132963083,-0.7286012526096033,-0.7329681615884971,-0.7170837867247007,-0.7828507795100224,-0.746588693957115,-0.7621951219512195,-0.7675804529201431,-0.8018796037592075,-0.7761194029850746,-0.7755395683453238,-0.7624124276576302,-0.8008171603677221,-0.7978227060653188,-0.7805289814293753,-0.7656954040252328,-0.7895304910955208,-0.7596302003081664,-0.744429882044561,-0.7090637821708318,-0.7183098591549296,-0.6820220138605789,-0.736129905277402,-0.6410492406810862,-0.6820220138605789,-0.7548711502199874
BCZB_W7-L^G07,0.0655844761638212,-0.0655844761638212,14.0,0.0679077843156168,0.1279723303069606,0.0377081830265803,0.7918436703483432,-0.0128283445326817,0.0303199925366172,0.0002704944195222,0.0859457895244525,0.1404775124930594,0.7064013446101227,-0.0768938344321874,-0.0719991875729217,-1.931318681318681,0.6323279524214104,0.0575112951807228,-0.0047552771978659,0.0405797101449274,-0.172661870503597,-0.19953596287703,-0.2467248908296943,-0.2450765864332603,-0.2690677966101694,-0.2281879194630871,-0.1746411483253587,-0.1666666666666665,-0.19953596287703,-0.1605839416058394,-0.197674418604651,-0.2532467532467533,-0.3141153081510934,-0.3072289156626506,-0.236725663716814,-0.23841059602649,-0.2068965517241378,-0.172661870503597,-0.2400881057268722,-0.2299107142857143,-0.2350332594235032,-0.1901408450704225,-0.1666666666666665,-0.0625,-0.0416666666666666,0.1093247588424437,-0.1015624999999998,0.0058309037900874,0.1311475409836067,-0.0848806366047745,-0.1353383458646616,-0.0824468085106382,-0.1766109785202864,-0.1863207547169811,-0.298780487804878,-0.1920374707259952,-0.2659574468085106,-0.2068965517241378,-0.2350332594235032,-0.2159090909090909,-0.1646489104116222,-0.2944785276073619,-0.3738656987295825,-0.3926056338028169,-0.4381107491856677,-0.4684129429892142,-0.4334975369458127,-0.4334975369458127
BDAJ_H9-L,0.0915446941975953,-0.0915446941975953,7.0,-0.0363123115416694,0.2190345119627355,1.6989729598849472,1.8931646932185144,0.0546095126247797,-0.0914793518034479,1.7159159118122622e-06,-0.0359273753769166,-0.0849467815509376,-1.612377879941802,0.0108288257671594,0.0019712117714734,-1.1092636579572444,1.706404736275565,0.1105798421372191,-0.23781643805063,0.1433021806853582,-0.1277173913043479,-0.1914357682619647,-0.1596858638743454,-0.2113022113022113,-0.0775862068965517,-0.0828571428571428,0.006269592476489,0.0222929936305731,0.211320754716981,0.2687747035573122,0.0288461538461537,-0.0243161094224924,0.0955631399317404,0.0490196078431373,0.2393822393822393,0.2159090909090908,0.25390625,0.3659574468085105,0.3209876543209875,0.2687747035573122,0.3375000000000001,0.3717948717948718,0.3776824034334762,0.3896103896103895,0.5213270142180095,0.6130653266331658,0.5735294117647058,0.5507246376811594,0.4861111111111109,0.5141509433962264,0.1801470588235292,0.1715328467153283,0.1845018450184501,0.0808080808080806,-0.1108033240997229,-0.199501246882793,-0.07492795389049,-0.0331325301204818,-0.1008403361344537,0.0288461538461537,-0.0272727272727272,0.130281690140845,-0.0031055900621118,0.0190476190476189,-0.1181318681318681,0.0559210526315789,-0.1552631578947367,-0.2960526315789473
