firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchrect,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.2119296316657504,-0.2119296316657504,12.0,-0.1277982674328845,-0.0961240310077519,2.6611210670441587,0.8492574257425743,0.1565597177893499,-0.2810199317651284,-0.2166025288619949,3.6961046760355145e-06,0.0156102581696542,0.0123152709359605,-0.1064175604314413,-0.1239376824518478,0.5011187266276378,-0.1728980040861228,0.2633459029459828,-1.5207100591715978,0.3888613861386139,-0.1232275833928389,0.2775880189174986,0.032608695652174,0.1311475409836064,0.6046511627906976,0.5953757225433525,0.8775510204081631,2.45,1.9677419354838703,4.75,5.2727272727272725,5.2727272727272725,5.7317073170731705,5.418604651162791,4.63265306122449,5.9,4.411764705882352,4.111111111111111,4.2075471698113205,2.1011235955056176,2.1011235955056176,0.7922077922077921,0.6046511627906976,0.1999999999999999,0.1548117154811714,0.3018867924528301,0.140495867768595,-0.0142857142857143,0.314285714285714,0.248868778280543,0.6428571428571428,0.5593220338983049,-0.0416666666666667,0.0823529411764705,0.1596638655462183,-0.1320754716981133,-0.2375690607734807,-0.3349397590361447,-0.4051724137931034,-0.4225941422594143,-0.4051724137931034,-0.4457831325301206,-0.3698630136986301,-0.7453874538745388,-0.766497461928934,-0.7315175097276265,-0.7386363636363636,-0.7217741935483871,-0.7294117647058824,-0.7082452431289641,-0.7391304347826086
BALZ_07-L^I10,0.0430235595843715,0.0430235595843715,13.0,0.3810514346866431,0.2638355745871871,-1.1392491890903638,1.5999621809013551,0.412926274764534,0.3857652798777919,-0.0075844614049231,3.5918768391310135e-08,-0.0594609056250417,0.3775085816043206,-0.0914163610495685,0.0831841587403734,-0.6109879056589765,0.2296614161575434,0.0586415039016326,0.3751347114725188,1.1999243618027102,-0.0380615075851484,0.2654303062302005,0.0,-0.1130434782608694,-0.0097087378640776,-0.3289473684210526,-0.4516129032258065,-0.3780487804878049,-0.4456521739130434,-0.495049504950495,-0.4631578947368421,-0.495049504950495,-0.4574468085106382,-0.4659685863874345,-0.3625,-0.2093023255813954,-0.1968503937007873,-0.3376623376623376,-0.0892857142857143,0.0408163265306122,0.0408163265306122,0.2592592592592593,0.2749999999999999,0.1999999999999999,0.3076923076923077,0.2911392405063291,0.3783783783783785,0.5454545454545454,0.5,0.7586206896551726,0.728813559322034,0.7000000000000002,1.04,1.2173913043478262,1.4285714285714288,1.2173913043478262,1.125,1.125,1.0,1.4285714285714288,1.3720930232558142,1.6153846153846154,1.4285714285714288,1.6153846153846154,1.5499999999999998,1.5499999999999998,1.8333333333333333,1.8333333333333333,1.8333333333333333,2.4000000000000004,2.4000000000000004
BBOU_00-L,0.0621890547263681,-0.0621890547263681,13.0,0.0927119484382746,0.1508153371529308,-0.3659420017103447,1.030153586022263,0.1527078085642317,0.101040118870728,0.0055081734186211,0.0001606012241467,0.0296232027764005,0.0910515159893097,-0.0709922033524689,0.0413205625645098,0.256777098290656,0.0977177543691166,-0.0157238405922169,-0.8564437194127243,0.7156545019022122,0.1034641728134878,0.0801179443976411,0.0404172099087354,0.0579310344827586,0.0712290502793295,0.0712290502793295,0.1727828746177369,0.0226666666666666,0.0608575380359612,0.1656534954407293,0.2635914332784184,0.3292894280762566,0.3178694158075601,0.2740863787375416,0.3339130434782609,0.4749999999999998,0.5188118811881188,0.604602510460251,0.7044444444444444,0.540160642570281,0.3575221238938051,0.2656765676567658,0.269867549668874,0.2078740157480316,0.2272,0.1213450292397662,0.1413690476190476,0.0682451253481895,0.1346153846153845,0.1115942028985506,0.0910384068278804,0.1213450292397662,0.2097791798107255,0.1362962962962963,0.4230055658627087,0.2078740157480316,0.077247191011236,0.05939226519337,0.0848656294200849,0.0506849315068493,0.0407055630936228,0.2059748427672956,0.3920145190562614,0.1836419753086418,0.2116903633491311,0.2097791798107255,0.1262848751835537,0.2078740157480316,0.1430700447093889,0.1067821067821068,0.1638846737481032
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,-29.824581573273623,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,3.447290962850277e-07,0.2216981132075471,-0.108730583824317,-0.0701313587813734,-0.2328427255985267,-0.3980598279380004,-0.2464646464646464,0.6064997804128239,-2.256756756756757,1.8,0.0007898894154818,0.2272727272727272,-0.4,0.0,0.0526315789473683,0.142857142857143,0.3333333333333335,0.6000000000000001,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.6000000000000001,0.6000000000000001,1.0,0.4814814814814814,0.8181818181818183,0.25,1.5,1.5,0.8181818181818183,0.0,0.0,0.0,0.1111111111111111,0.1764705882352941,0.3793103448275863,0.3793103448275863,0.4285714285714286,0.3793103448275863,0.5384615384615385,0.8181818181818183,0.8181818181818183,0.7391304347826086,0.7391304347826086,0.5384615384615385,0.4285714285714286,0.2903225806451615,0.1764705882352941,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0526315789473683,0.0256410256410257,0.0,0.0,0.0,-0.1304347826086956,-0.0476190476190475,-0.0243902439024389,-0.0476190476190475,-0.0476190476190475
BBTU_63-L^C18,0.0692212078350692,-0.0692212078350692,12.0,0.0199125578979264,0.1282051282051282,-0.3508552920095034,0.5146896399381489,0.0471589978712952,0.0372614107883818,-0.0017573185890016,1.5255590529930584e-05,0.0531145837842517,0.001359989120087,0.1232872652298922,-0.0334126519947519,0.3043053581959103,-0.0381381673758147,-0.0451904075360269,-2.323741007194245,0.4896178484647669,0.0705462412114656,-0.0809182676652555,0.0154109589041095,0.0895522388059699,0.1750503018108651,0.0522522522522521,0.0051635111876076,0.1587301587301586,0.2505353319057815,0.2640692640692641,0.2505353319057815,0.1145038167938929,0.0956848030018762,0.0855018587360594,-0.0315091210613599,-0.1015384615384615,-0.1386430678466077,-0.070063694267516,0.4243902439024392,0.221757322175732,0.1656686626746506,0.2559139784946236,0.1518737672583825,0.0,-0.0201342281879194,-0.0378912685337726,-0.1124620060790273,-0.1999999999999999,-0.1399116347569956,-0.1511627906976744,0.1018867924528301,0.0017152658662091,0.0336283185840706,0.0695970695970695,0.1633466135458168,0.028169014084507,-0.1151515151515151,-0.2385919165580182,-0.2763320941759604,-0.2878048780487804,-0.2834355828220859,-0.2129380053908356,-0.1657142857142857,-0.0832025117739403,-0.1191553544494721,-0.0903426791277258,-0.1244377811094452,-0.0788643533123027,0.0,-0.0266666666666667,0.0121317157712306
BBXK_89-L^E06,0.0859512760282387,-0.0859512760282387,13.0,-0.0401846422556297,0.0904980330063172,0.857628483875044,1.7744247073072266,0.0669839034693728,-0.0529835076345994,-0.0790379975682138,6.371847971947638e-05,0.0316886033310461,-0.0198144616478649,-0.1427804066014142,0.0324515770261952,0.0862095447531602,0.0244610237791469,-0.0477332849369547,-519.3076923076923,1.5359810254339927,0.1012611173830437,-0.0146177780489293,0.0476190476190476,-0.0576923076923077,-0.0783699059561128,0.0613718411552346,0.1136363636363635,0.3363636363636362,0.267241379310345,0.2782608695652175,0.2352941176470588,0.1807228915662648,0.1307692307692307,0.0425531914893617,-0.0454545454545455,0.0613718411552346,-0.0454545454545455,-0.0454545454545455,-0.1197604790419161,-0.1551724137931034,0.0103092783505154,-0.1197604790419161,-0.2096774193548387,-0.3836477987421383,-0.3481152993348115,-0.3210161662817552,-0.3622559652928416,-0.4143426294820717,-0.3862212943632568,-0.3950617283950618,-0.3098591549295775,-0.3963039014373717,-0.4012219959266803,-0.4452830188679245,-0.4452830188679245,-0.539906103286385,-0.5164473684210527,-0.5483870967741935,-0.5469953775038521,-0.5682819383259912,-0.5781922525107603,-0.5663716814159292,-0.5670103092783505,-0.5847457627118644,-0.6048387096774194,-0.5922330097087378,-0.6166883963494133,-0.5847457627118644,-0.5811965811965811,-0.5108153078202995,-0.5050505050505051
BCPS_48-L^C06,0.1244105449946569,-0.1244105449946569,12.0,-0.3951003839133992,0.1093293277037999,1.3167466287148024,1.4643407440017608,0.1570357644853974,-0.521809612440335,-0.5170929696766813,1.51992762481214e-05,-0.4569041475234438,-0.2504439235741175,0.4222235679455581,0.3284622057641138,2.4423628140423195,0.3632376349237049,-0.3072394863598279,-9.303519061583575,1.396324014968083,0.1751632901583084,-0.3572662386337712,-0.1275167785234898,0.146153846153846,0.1640625,0.0033670033670032,-0.0066666666666667,-0.0599369085173501,-0.0509554140127388,0.0530035335689045,-0.5049833887043189,-0.4974704890387857,-0.4419475655430711,-0.4762741652021089,-0.5895316804407713,-0.5299684542586751,-0.5457317073170731,-0.5832167832167832,-0.6485849056603774,-0.7115198451113263,-0.6746724890829694,-0.6644144144144144,-0.6703539823008849,-0.7064039408866996,-0.7066929133858268,-0.7011033099297894,-0.6681514476614699,-0.6703539823008849,-0.6674107142857143,-0.592896174863388,-0.5512048192771084,-0.5802816901408451,-0.5761024182076814,-0.547112462006079,-0.4235976789168278,-0.563049853372434,-0.6859852476290833,-0.6628959276018099,-0.6422569027611045,-0.6628959276018099,-0.6655443322109988,-0.6311881188118812,-0.5742857142857143,-0.569364161849711,-0.5394126738794436,-0.56998556998557,-0.554559043348281,-0.5450381679389313,-0.517799352750809,-0.5130718954248366,-0.5336463223787167
BCQE_67-L^A14,0.0321227219090074,-0.0321227219090074,13.0,0.1092367256637168,0.0683085501858736,-0.9903390411977702,0.9219501530389156,0.1726105563480741,-0.1943359375,0.043398452864819,6.040621196134511e-05,0.008987831858407,0.1606425702811245,-0.1818555798876341,-0.0050396618398252,-0.043834144606215,-0.0450523829197027,-0.2053589906987712,-3.141025641025641,0.6567555749890687,0.0912563088255354,-0.1296214301527562,-0.0780430984274899,-0.0069404279930593,0.0825977301387139,-0.0753904146472804,-0.1969130028063609,-0.0607221006564551,-0.1354481369587108,-0.0953635405690199,0.0,-0.4390721986278993,-0.4025748086290882,-0.4121876069839095,-0.3772216177003989,-0.5219933184855234,-0.4421702404158544,-0.4765243902439023,-0.4883790226460072,-0.5638811277622555,-0.5071756601607348,-0.5058992805755396,-0.4770027413950654,-0.5615423901940755,-0.5549507516848107,-0.5168823860438941,-0.4842294983478521,-0.536697247706422,-0.4708782742681048,-0.4374180865006553,-0.3595673256247668,-0.3799205489346334,-0.3000407664084794,-0.41914749661705,-0.2098481362172112,-0.3000407664084794,-0.4604022627278441,-0.5117998294000569,-0.6086163665374971,-0.5696741854636591,-0.5443205944798302,-0.5404175588865097,-0.4552664974619288,-0.5077408256880733,-0.4771619975639464,-0.5027512308137851,-0.5457671957671957,-0.4610797237915881,-0.4615867042960175,-0.4247906197654941,-0.3870046411995715
BCZB_W7-L^G07,0.0631005306180983,-0.0631005306180983,13.0,-0.0175322213798332,0.1230741669652454,0.1708290072632862,0.8578034682080925,0.0683829444891391,0.0356389708983551,-0.0783976289497586,0.0002905233740339,-0.0830174374526156,-0.0621419892379795,0.0933433419895131,0.1325405230607542,0.0660267569648941,0.2422356032748602,-9.535654901916963,-2.519083969465649,0.6813872832369943,0.047725653810929,0.0597996435375822,0.0100401606425701,0.101769911504425,0.0993377483443709,0.1448275862068968,0.1942446043165469,0.0969162995594714,0.1116071428571428,0.1042128603104215,0.1690140845070424,0.2028985507246379,0.3532608695652175,0.3833333333333335,0.6012861736334407,0.2968750000000002,0.4518950437317786,0.6327868852459018,0.3209549071618038,0.2481203007518797,0.3244680851063832,0.1885441527446301,0.1745283018867924,0.0121951219512195,0.1662763466042156,0.0595744680851064,0.1448275862068968,0.1042128603104215,0.1318181818181818,0.205811138014528,0.0184049079754602,-0.0961887477313973,-0.1232394366197181,-0.1889250814332246,-0.2326656394453004,-0.1822660098522166,-0.1822660098522166,-0.2006420545746388,-0.1201413427561837,-0.0879120879120878,-0.178217821782178,-0.0656660412757973,-0.1107142857142855,-0.1443298969072164,-0.1232394366197181,-0.1263157894736841,-0.0514285714285713,0.0060606060606061,0.02258726899384,0.1828978622327792,0.2544080604534005
BDAJ_H9-L,0.2943997222644129,-0.2943997222644129,6.0,-0.4889508196721311,-0.1313369737537431,5.788649968739599,1.872883563427976,0.1727249291054395,-0.5514486391571555,-0.5755202117732959,3.142384918305365e-06,-0.5726229508196722,-0.4673326133909287,-0.2245163431987889,0.5285651367253398,1.4082080043621714,0.5841046568840266,0.0538482084999447,-2.1173533083645446,1.7030476686637146,0.4940212077912311,-0.1213130818226359,-0.0424836601307189,0.1814671814671815,0.1590909090909089,0.1953125,0.3021276595744679,0.2592592592592593,0.2094861660079052,0.2750000000000001,0.3076923076923077,0.3133047210300428,0.3246753246753247,0.4502369668246446,0.5376884422110553,0.5,0.4782608695652175,0.4166666666666665,0.4433962264150943,0.125,0.116788321167883,0.1291512915129151,0.0303030303030302,-0.1523545706371191,-0.2369077306733166,-0.1181556195965418,-0.0783132530120481,-0.1428571428571428,-0.0192307692307692,-0.0727272727272726,0.0774647887323944,-0.0496894409937889,-0.0285714285714285,-0.1593406593406593,0.006578947368421,-0.1947368421052631,-0.3289473684210525,-0.3215077605321507,-0.388,-0.4436363636363636,-0.4584070796460177,-0.3447537473233404,-0.2916666666666667,-0.347547974413646,-0.3624999999999999,-0.3390928725701944,-0.3916500994035785,-0.3767820773930753,-0.388,-0.4104046242774567,-0.4839797639123102
