firms,absacc,acc,age,agr,chpmia,currat,egr,herf,invest,mve_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,roic,salerec,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.0364670251560665,0.0364670251560665,2.0,-0.0214014919897272,7437.139050410232,0.9886275120735316,-0.0005420788724759,8.908525796736766e-06,0.0710529534058945,1.2309973773747558,-0.0239324690231623,-0.0490482891448421,-0.0490903334662364,-0.037555407369483,0.6126687435098657,0.5309238199096433,0.0589946553007238,22.376397515527948,-0.0094583447896618,0.6018291794302786,0.289760348583878,-0.0555555555555556,-0.3169642857142857,-0.3489361702127659,-0.410025706940874,-0.6330935251798562,-0.5368314833501514,-0.5702247191011236,-0.6103565365025467,-0.6405638214565388,-0.6652078774617067,-0.6480061349693251,-0.6480061349693251,-0.7065217391304348,-0.7415540540540541,-0.7346820809248555,-0.6988188976377954,-0.6714387974230493,-0.6746987951807228,-0.6746987951807228,-0.6617538688282978,-0.6584821428571428,-0.5916370106761566,-0.5966608084358525,-0.6683526011560694,-0.6368670886075949,-0.6514806378132119,-0.694813829787234,-0.7013662979830839,-0.7089410272669625,-0.7184049079754602,-0.7113207547169811,-0.7161410018552876,-0.7149068322981367,-0.690700808625337,-0.6974291364535268,-0.7171903881700554,-0.7620528771384136,-0.7668867445403759,-0.7816365366317792,-0.7857142857142857,-0.7857142857142857,-0.7823613086770982,-0.7653374233128835,-0.7518918918918919,-0.7415540540540541,-0.7579113924050633,-0.7357512953367875,-0.7653374233128835
BALZ_07-L^I10,0.0803609798023206,-0.0803609798023206,2.0,-0.1648264984227128,14.836477875502554,1.3601496725912068,-0.0581573308846036,2.451291335791419e-07,-0.0481072555205047,0.1240090451730323,0.0812569324248937,-0.0169722940626205,-0.1068325062656209,-0.3196366065195883,-10.388888888888898,0.902712815715622,0.1074914993967313,3.6439024390243904,-0.1346655082536924,5.687122205078245,-0.125,-0.04,-0.1724137931034483,-0.1999999999999999,-0.2727272727272728,-0.3333333333333333,-0.2941176470588236,-0.368421052631579,-0.3333333333333333,-0.3513513513513513,-0.2941176470588236,-0.3142857142857143,-0.2727272727272728,-0.3513513513513513,-0.3142857142857143,-0.368421052631579,-0.4,-0.4,-0.4893617021276596,-0.5714285714285715,-0.5932203389830508,-0.625,-0.5789473684210527,-0.5862068965517242,-0.6,-0.5471698113207548,-0.5555555555555556,-0.6065573770491803,-0.5932203389830508,-0.5,-0.5294117647058824,-0.5,-0.5384615384615385,-0.6,-0.5789473684210527,-0.5294117647058824,-0.6,-0.75,-0.7362637362637363,-0.76,-0.75,-0.7525773195876289,-0.7108433734939759,-0.6417910447761195,-0.6571428571428571,-0.5714285714285715,-0.5471698113207548,-0.5384615384615385,-0.5102040816326531
BBEK_99-L^L95,0.0715290147182902,0.0715290147182902,2.0,0.1881025641025642,-4931.985655466206,1.2113502935420746,0.1189962223421477,3.719972287295601e-06,0.1209230769230769,6.517497608085841,-0.1305661043733276,-0.1374161694793008,-0.0775669951964783,-0.1312287939240664,0.4267337807606272,0.8818304982688546,0.2149340825588934,3.533697632058288,0.1884827445374719,0.4465726832175534,0.106936416184971,-0.0253521126760563,0.0267062314540058,-0.0870712401055409,-0.0648648648648648,-0.0773333333333333,0.0581039755351682,0.0328358208955223,0.0812499999999998,0.0484848484848485,0.0116959064327486,0.0058139534883721,0.0745341614906831,0.108974358974359,-0.0335195530726257,0.0236686390532545,0.1610738255033557,0.1768707482993197,0.1495016611295681,0.1849315068493151,0.2357142857142857,0.3106060606060605,0.5242290748898679,0.5175438596491229,0.3784860557768925,0.4238683127572016,0.5377777777777777,0.4122448979591835,0.373015873015873,0.3895582329317268,0.373015873015873,0.5109170305676856,0.4599156118143459,0.3568627450980393,0.4599156118143459,0.6244131455399062,0.3155893536121674,0.0146627565982404,-0.008595988538682,0.0548780487804878,0.0,0.0146627565982404,0.1019108280254776,0.1768707482993197,0.1161290322580643,0.1890034364261168,0.3515625,0.3256704980842912,0.2446043165467626
BBIO_50-L^J00,0.0188766916419817,0.0188766916419817,2.0,-0.0457434733257661,3838.736140118645,1.3150136487716106,0.02255299954894,1.1428236792340296e-05,-0.0199205448354143,2.1020530644058195,0.0520743925854686,0.0674068232221226,0.1075902599495932,0.1444704701694206,0.3490870032223412,0.7175614194722475,0.0418392990558989,6.660790075089781,-0.0352295833924432,1.018353403523554,0.1212121212121213,-0.0660377358490567,-0.1465517241379309,-0.2204724409448819,-0.2826086956521738,-0.2442748091603054,-0.2384615384615385,-0.25,-0.2325581395348838,-0.3172413793103448,-0.3355704697986577,-0.2666666666666667,-0.2384615384615385,-0.321917808219178,-0.3571428571428572,-0.326530612244898,-0.255639097744361,-0.25,-0.2384615384615385,-0.1951219512195121,-0.1749999999999999,-0.1680672268907562,-0.01,-0.0480769230769231,-0.1160714285714287,-0.0388349514563106,-0.0388349514563106,-0.1238938053097344,-0.0660377358490567,-0.0747663551401869,-0.0480769230769231,0.0,-0.0917431192660551,-0.0660377358490567,0.0531914893617022,0.1647058823529412,0.0879120879120878,-0.2877697841726618,-0.25,-0.2773722627737227,-0.1951219512195121,-0.1238938053097344,-0.1081081081081082,-0.0480769230769231,-0.1610169491525424,-0.0917431192660551,0.076086956521739,0.076086956521739,0.1785714285714286
BBNH_32-L^L97,0.0380200105318588,0.0380200105318588,4.0,-0.0156739811912225,-3312.654251783456,1.229109454688113,0.2112223016440314,0.0002422896461059,0.0096133751306165,14.792225978113244,0.1214838567818624,0.1250208989048739,-0.0527169641369446,-0.1341994359513619,0.5694006309148265,0.6998823067869753,0.0920231972863551,7.367843137254902,0.0103248010324801,0.6930533296263757,0.0905797101449275,0.0222222222222221,-0.0107526881720431,-0.1610942249240122,-0.1533742331288343,-0.1320754716981133,0.0109890109890109,-0.0547945205479452,-0.0142857142857143,-0.0921052631578948,-0.1210191082802548,-0.0315789473684211,0.069767441860465,-0.0449826989619378,-0.1265822784810127,-0.0738255033557048,0.0,0.0298507462686565,-0.0383275261324043,0.0072992700729925,0.069767441860465,0.078125,0.283720930232558,0.2321428571428569,0.2266666666666665,0.1358024691358024,0.1311475409836064,0.1174089068825909,0.0866141732283463,0.0866141732283463,0.1311475409836064,0.1744680851063829,0.1744680851063829,0.2158590308370043,0.2321428571428569,0.4680851063829787,0.3663366336633662,-0.0281690140845071,0.0337078651685391,-0.0071942446043165,0.0298507462686565,-0.0315789473684211,0.1129032258064515,0.1948051948051947,0.0866141732283463,0.1174089068825909,0.2105263157894736,0.1744680851063829,0.2545454545454544
BBOU_00-L,0.0082929119073697,0.0082929119073697,2.0,0.0626109407777957,-1723.9810609837234,1.5523809523809524,0.1128188358404185,1.7338787382639167e-05,0.0164595772147813,16.487521922920266,0.1863064098878988,0.3256023457090976,0.1657890470951523,0.2128012157174904,0.0951526032315978,0.746218487394958,0.1028215336679937,3.068376068376069,0.1820319849482596,0.7605868172072603,0.0464547677261615,0.0433673469387754,-0.0072815533980583,-0.1241970021413276,-0.1089324618736383,-0.089086859688196,0.0568475452196381,0.0541237113402062,0.082010582010582,0.0623376623376623,0.030226700251889,0.0877659574468086,0.1855072463768114,0.2469512195121952,0.1889534883720929,0.3067092651757188,0.4006849315068492,0.450354609929078,0.520446096654275,0.616600790513834,0.7782608695652176,0.8177777777777777,1.1191709844559583,1.1526315789473682,1.0761421319796955,1.1989247311827955,1.3238636363636362,1.1640211640211642,1.1302083333333337,1.1755319148936172,1.2472527472527473,1.391812865497076,1.3371428571428572,1.4491017964071855,1.4491017964071855,1.880281690140845,1.7635135135135136,0.8847926267281105,0.9951219512195122,0.9292452830188678,0.9663461538461536,0.9758454106280194,1.1302083333333337,1.2596685082872927,1.1526315789473682,1.4201183431952664,1.4491017964071855,1.4491017964071855,1.0867346938775508
BBQS_26-L^G99,0.0908950855030041,0.0908950855030041,2.0,0.1978555304740406,2073.696660987316,1.3128398159765788,0.0400700252869092,4.8783180902396616e-05,0.1992099322799096,3.259360582513372,-0.0938294733828112,-0.1440016843354568,-0.0882925358991724,-0.0910158972965051,1.2957540263543186,0.6630071099958176,0.1253616200578592,8.237639241743208,0.1428881297109701,0.4796167481881506,-0.0278884462151394,0.037190082644628,-0.0156862745098039,-0.0922242314647379,-0.0954954954954955,-0.0346153846153847,0.0842332613390928,0.1331828442437923,-0.0214424951267057,-0.0528301886792453,-0.1146384479717813,-0.0456273764258555,-0.0788990825688074,-0.1448040885860307,-0.1770491803278688,-0.0954954954954955,-0.0599250936329588,-0.0599250936329588,-0.0528301886792453,-0.0599250936329588,-0.0755064456721915,-0.0738007380073801,0.0658174097664543,-0.003968253968254,-0.0438095238095238,-0.0308880308880309,-0.0156862745098039,-0.0856102003642987,-0.1208406304728547,-0.0703703703703705,-0.0822669104204754,-0.0634328358208956,-0.1115044247787612,-0.1418803418803419,-0.0987432675044884,0.1180400890868595,0.0,-0.262848751835536,-0.2106918238993711,-0.2131661442006269,-0.1534569983136594,-0.1208406304728547,-0.0271317829457365,0.0080321285140561,-0.1329879101899828,0.1081677704194259,0.1811764705882352,0.1647331786542922,0.2067307692307691
BBTU_63-L^C18,0.0138618936756444,0.0138618936756444,2.0,0.0044096241116532,-943.9187580055508,1.4236011477761834,0.0242409301943383,3.965657633739658e-05,0.0457444986728315,5.627696408765934,-0.0050267590210379,-0.0850543795483027,-0.1819425871397172,0.3305408730889111,0.2834061135371173,1.090028694404591,0.0574990736502539,21.12562534741523,0.0385298538051646,0.5240481569691179,-0.0065252854812397,0.0985663082437275,-0.0569230769230769,-0.1716216216216216,-0.2038961038961039,-0.1659863945578231,0.0115511551155116,-0.1051094890510948,-0.0918518518518518,-0.1659863945578231,-0.2201017811704835,-0.136619718309859,-0.0569230769230769,-0.1944809461235217,-0.2018229166666666,-0.1912928759894459,-0.0864381520119225,-0.0823353293413173,-0.0525502318392581,-0.026984126984127,-0.0032520325203252,0.0679442508710801,0.2259999999999999,0.2510204081632652,0.1653992395437262,0.1879844961240309,0.2484725050916496,0.2162698412698411,0.2358870967741935,0.2905263157894737,0.3098290598290598,0.3442982456140351,0.445754716981132,0.4700239808153477,0.6522911051212938,0.8189910979228485,0.5098522167487687,0.2114624505928855,0.2459349593495934,0.2114624505928855,0.3014861995753715,0.2717842323651451,0.2510204081632652,0.2932489451476792,0.2717842323651451,0.4255813953488372,0.4987775061124695,0.6047120418848169,0.5677749360613811
BBVN_02-L^I99,0.0741979625969286,0.0741979625969286,2.0,0.0760732323232322,-888.9123706418243,1.2955569864777847,0.0634920634920633,3.38836387979827e-07,0.0691287878787878,0.7862742065362199,0.0017266540146738,-0.0026362238769883,0.0230686766107676,0.0037753682930689,0.9606299212598424,0.9414037347070184,0.134154688569473,3.96054114994363,0.1409548554725561,0.6882416817532606,0.0789473684210526,0.0439560439560438,0.0439560439560438,-0.0686274509803922,-0.073170731707317,0.0326086956521738,-0.0155440414507772,-0.0404040404040404,0.0106382978723404,0.021505376344086,-0.0404040404040404,-0.0547263681592039,0.0326086956521738,-0.1244239631336405,-0.1203703703703704,-0.0952380952380953,0.0052910052910053,0.021505376344086,0.021505376344086,0.0160427807486629,-0.0355329949238578,-0.0404040404040404,0.0919540229885056,0.0734463276836157,0.0052910052910053,0.0270270270270269,-0.05,-0.2148760330578513,-0.1666666666666666,-0.1703056768558952,-0.2016806722689075,-0.1517857142857144,-0.2016806722689075,-0.2213114754098361,-0.1517857142857144,-0.15929203539823,-0.1162790697674418,-0.3910256410256411,-0.3014705882352941,-0.3014705882352941,-0.3014705882352941,-0.2664092664092664,-0.2692307692307693,-0.1629955947136564,-0.3581081081081081,-0.2519685039370078,-0.0909090909090909,-0.073170731707317,-0.073170731707317
BBXK_89-L^E06,0.0225754576942107,0.0225754576942107,2.0,0.1452929078484708,-621.3028814807719,0.9943013698630137,0.1335280617567284,8.635057663678636e-05,0.0822994758840311,15.107467400450036,0.1210216172738665,0.4728599783387794,0.0678432798688895,-0.0574551405334671,0.1876606683804626,0.5841095890410959,0.1943261068509578,43.64280155642024,0.0950112271795373,0.8684191747600197,-0.0111524163568772,0.0346153846153844,-0.0218181818181818,-0.0659722222222222,-0.03584229390681,0.0150943396226415,0.2227272727272726,0.1594827586206897,0.1069958847736625,0.1255230125523012,0.1350210970464134,0.1302521008403361,0.2062780269058295,0.1545064377682403,0.0306513409961686,0.0803212851405621,0.1746724890829694,0.2748815165876777,0.3316831683168317,0.4157894736842105,0.3937823834196892,0.2932692307692306,0.4780219780219779,0.5823529411764705,0.3186274509803921,0.3937823834196892,0.5112359550561798,0.3186274509803921,0.3058252427184464,0.2870813397129188,0.2688679245283019,0.2995169082125604,0.2870813397129188,0.2748815165876777,0.2511627906976745,0.3186274509803921,0.1398305084745763,-0.0460992907801418,-0.03584229390681,-0.1151315789473684,-0.0627177700348432,-0.1003344481605351,-0.0218181818181818,0.0632411067193676,0.0590551181102361,0.2062780269058295,0.2748815165876777,0.23963133640553,0.1545064377682403
