firms,absacc,acc,age,agr,cashdebt,chpmia,currat,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchquick,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.1110332982731763,-0.1110332982731763,14.0,-0.1812127992406081,-0.1180840664711632,4.819862199641289,1.4047322369952484,-0.2502783995680588,-0.0500978577800263,2.0470454399550143e-08,-0.000542422789506,-0.129401258717469,0.1071557329180478,-1.2208111460263364,-0.1220215991581263,-0.1689306507789129,-1.0932878867330886,0.9972203584779066,-0.1326859056979605,-0.2264079107949389,-0.2051282051282051,0.1470588235294117,0.5,0.1470588235294117,0.1818181818181818,0.0833333333333334,-0.1702127659574467,-0.2199999999999999,-0.2199999999999999,-0.2352941176470587,-0.3035714285714286,-0.4507042253521126,-0.4868421052631578,-0.2909090909090909,-0.2641509433962264,-0.4583333333333332,-0.4583333333333332,-0.6176470588235294,-0.6176470588235294,-0.6608695652173913,-0.6213592233009708,-0.743421052631579,-0.7903225806451613,-0.7621951219512195,-0.7880434782608696,-0.806930693069307,-0.7947368421052632,-0.806930693069307,-0.7925531914893617,-0.7958115183246073,-0.75625,-0.6976744186046512,-0.6929133858267716,-0.7467532467532467,-0.6517857142857143,-0.6020408163265306,-0.6020408163265306,-0.5185185185185186,-0.5125,-0.5411764705882353,-0.5,-0.5063291139240507,-0.4729729729729729,-0.409090909090909,-0.4264705882352941,-0.3275862068965516,-0.3389830508474576,-0.35,-0.2199999999999999
BBOU_00-L,0.0216470588235294,-0.0216470588235294,14.0,0.04883166969147,0.1612550471063257,-0.9782081117419966,0.9956539454026893,0.1569307885097358,-0.056636678200692,0.0001184293233774,-0.0619328493647912,0.0082777261593039,29.924350348232178,0.6408235609282477,-0.0334898029650001,-0.0482722569173726,-0.2418058132343846,0.6811082439223143,0.079366050666993,-0.120037438577334,0.0273972602739724,-0.0999999999999999,-0.1766917293233082,-0.1619897959183672,-0.1085481682496607,-0.2279670975323149,-0.2360465116279069,-0.2740331491712707,-0.284313725490196,-0.2448275862068964,-0.2252358490566037,-0.1630573248407643,-0.1181208053691275,-0.0614285714285713,-0.0614285714285713,-0.0436681222707423,-0.1085481682496607,-0.1766917293233082,-0.1434159061277704,-0.0937931034482758,-0.0824022346368714,-0.0824022346368714,0.0045871559633028,-0.124,-0.0912863070539419,-0.0015197568389057,0.0823723228995056,0.1386481802426344,0.1288659793814432,0.0913621262458472,0.1426086956521739,0.2634615384615384,0.300990099009901,0.3744769874476987,0.4599999999999999,0.3192771084337349,0.1628318584070796,0.0841584158415842,0.0877483443708608,0.0346456692913386,0.0512000000000001,-0.0394736842105262,-0.0223214285714284,-0.0849582172701949,-0.0281065088757396,-0.0478260869565217,-0.065433854907539,-0.0394736842105262,0.0362776025236593
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,-22.3963316904733,1.8613333333333333,0.8411764705882353,0.1253396739130146,3.282917335254523e-07,0.2216981132075471,-0.108730583824317,0.0032552863974818,-0.3758271602822967,-0.2328427255985267,-0.2464646464646464,-2.256756756756757,1.8,0.0007898894154818,0.2272727272727272,0.1351351351351351,0.0,-0.075,0.4230769230769229,0.4230769230769229,0.0882352941176469,0.0882352941176469,0.0882352941176469,0.0882352941176469,0.0882352941176469,-0.119047619047619,-0.119047619047619,-0.119047619047619,-0.119047619047619,-0.119047619047619,-0.075,-0.075,0.5416666666666667,-0.075,-0.075,-0.0263157894736841,0.0571428571428571,0.2333333333333334,0.48,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.48,0.48,0.8499999999999999,0.3703703703703702,0.6818181818181819,0.15625,1.3125,1.3125,0.6818181818181819,-0.075,-0.075,-0.075,0.0277777777777779,0.0882352941176469,0.2758620689655173,0.2758620689655173,0.3214285714285714,0.2758620689655173,0.4230769230769229,0.6818181818181819,0.6818181818181819,0.6086956521739129
BBTU_63-L^C18,0.0707154413795824,-0.0707154413795824,14.0,0.0019354966128809,0.1224645846748229,0.3409372657893383,0.7934593765968319,-0.0811946738079296,-0.0981216210883429,2.793120408732396e-05,-0.0474789169118954,0.0966122431759692,3.671025680584497,0.0418200734727477,0.7405602981143564,0.7798256356484531,-3.683453237410072,0.7736331119059785,0.0596739991860689,0.3164976692777163,-0.0735632183908044,0.0308056872037914,0.144736842105263,-0.0705128205128204,-0.0481400437636763,-0.1823308270676692,-0.2652027027027027,-0.2892156862745099,-0.2762063227953412,-0.1959334565619224,-0.1420118343195268,-0.1453831041257367,-0.124748490945674,0.0163551401869157,-0.0202702702702703,-0.25,-0.271356783919598,-0.266441821247892,-0.2551369863013699,-0.1884328358208956,-0.124748490945674,-0.2162162162162162,-0.2512908777969019,-0.1369047619047619,-0.0685224839400429,-0.0584415584415585,-0.0685224839400429,-0.1698473282442749,-0.1838649155722327,-0.191449814126394,-0.2786069651741294,-0.3307692307692308,-0.3584070796460178,-0.3073248407643313,0.0609756097560976,-0.089958158995816,-0.1317365269461078,-0.0645161290322582,-0.1420118343195268,-0.2551369863013699,-0.2701342281879195,-0.2833607907742999,-0.3389057750759879,-0.4041095890410959,-0.3593519882179676,-0.3677325581395348,-0.179245283018868,-0.2538593481989709,-0.2300884955752213
BBXK_89-L^E06,0.1263906056860321,-0.1263906056860321,14.0,-0.065146749161619,0.1127210112972995,-0.382366939972393,2.14798949051862,-0.3366986696516983,-0.1122292685547688,6.158073660855435e-05,-0.1372995034705072,0.3556588840522356,10.111672775543925,0.113554752318695,0.2105272664841866,0.277482391539601,-6.148366013071896,1.9621887137308656,0.1461865403616631,0.0073925480144135,-0.0652173913043479,-0.1104972375690607,0.0420711974110032,-0.0122699386503066,0.0254777070063694,-0.1178082191780821,-0.1104972375690607,-0.1390374331550802,-0.125,-0.2938596491228069,-0.2714932126696832,-0.2459016393442621,-0.2068965517241378,-0.0747126436781608,0.0697674418604652,0.0,0.0989761092150169,0.0454545454545454,0.0952380952380953,0.0320512820512821,0.0094043887147337,0.1624548736462094,0.2196969696969697,0.4636363636363636,0.3879310344827589,0.4000000000000001,0.3529411764705883,0.2931726907630521,0.2384615384615385,0.1418439716312058,0.0454545454545454,0.1624548736462094,0.0454545454545454,0.0454545454545454,-0.0359281437125748,-0.0747126436781608,0.1065292096219931,-0.0359281437125748,-0.1344086021505376,-0.3249475890985324,-0.286031042128603,-0.2563510392609699,-0.3015184381778741,-0.3585657370517927,-0.3277661795407097,-0.3374485596707819,-0.244131455399061,-0.3388090349075975,-0.3441955193482688
BCPS_48-L^C06,0.1248392467950887,-0.1248392467950887,14.0,-0.0591419037860276,-0.0251341558501123,2.365118589221756,1.2553991749575346,-0.2115249472944483,0.031406099822658,6.663336308633074e-06,-0.0262210661832321,0.0588290840415485,1.5514766942220517,-0.937356921078747,-0.1510830827435023,-0.161282749605851,-2.5659432387312187,1.1821159912642565,0.0910050428052069,0.0808158319870759,-0.1135135135135135,0.0054347826086955,0.0818713450292398,-0.1814159292035396,-0.1232227488151658,-0.2418032786885245,-0.312267657992565,-0.3369175627240143,-0.2540322580645161,-0.110576923076923,-0.1814159292035396,-0.2226890756302519,-0.2479674796747967,-0.110576923076923,0.0277777777777779,-0.1956521739130433,-0.2938931297709923,-0.2884615384615384,-0.3791946308724832,-0.2884615384615384,-0.27734375,-0.3771043771043771,-0.3833333333333333,-0.4164037854889589,-0.410828025477707,-0.3462897526501767,-0.6926910299003322,-0.6880269814502529,-0.6535580524344569,-0.6748681898066784,-0.7451790633608815,-0.7082018927444795,-0.7179878048780488,-0.7412587412587412,-0.7818396226415094,-0.8209099709583737,-0.7980349344978166,-0.7916666666666667,-0.7953539823008849,-0.8177339901477833,-0.8179133858267716,-0.8144433299899699,-0.7939866369710468,-0.7953539823008849,-0.7935267857142857,-0.7472677595628415,-0.7213855421686747,-0.7394366197183098,-0.736842105263158
BCQE_67-L^A14,0.1939937866758715,-0.1939937866758715,14.0,-0.1943405634505111,-0.0745637635483127,2.7594425463563854,1.195095948827292,-0.8254545454545454,-0.1373835001724995,4.522742000227944e-05,-0.1320119670905011,-0.1244232987312572,2.570573660056783,-0.3523829362142885,0.296269592111936,0.3738358331984739,-1.6168009205983889,0.90227434257285,0.2698133145473758,-0.1133155284242655,-0.2041343669250646,0.0602739726027397,0.1136690647482014,-0.1103448275862067,-0.0076923076923076,-0.263558515699334,-0.3747980613893377,-0.3881422924901185,-0.4658385093167702,-0.3356223175965666,-0.4287822878228782,-0.4443646805455851,-0.3582089552238806,0.0389261744966442,0.6973684210526319,-0.2426614481409001,-0.2557692307692307,-0.5110549589387239,-0.5492137449039022,-0.5523423944476575,-0.5119798234552333,-0.5831987075928917,-0.637979420018709,-0.5765864332603938,-0.6102719033232629,-0.5922023182297155,-0.5492137449039022,-0.7471414570401829,-0.7306889352818371,-0.735022252653201,-0.719260065288357,-0.784521158129176,-0.7485380116959064,-0.7640243902439025,-0.7693682955899881,-0.8034036068072136,-0.777841561423651,-0.7772661870503597,-0.7642400243679561,-0.8023493360572012,-0.7993779160186625,-0.7822172200337647,-0.7674977470711926,-0.7911494873178629,-0.7614791987673344,-0.7463958060288336,-0.71130175307721,-0.7204767063921993,-0.6844679983693437
BCZB_W7-L^G07,0.0655844761638212,-0.0655844761638212,14.0,0.0679077843156168,0.1279723303069606,-0.1233689939704985,0.7918436703483432,-0.0128283445326817,0.0303199925366172,0.0002740456119709,0.0859457895244525,0.1404775124930594,7.49008338626684,0.2411107532550638,-0.0768938344321874,-0.0719991875729217,-1.931318681318681,0.6323279524214104,0.0575112951807228,-0.0047552771978659,-0.0617647058823529,0.0725552050473186,0.1038961038961039,-0.0529247910863509,-0.0144927536231884,-0.184652278177458,-0.211136890951276,-0.2576419213973799,-0.2560175054704595,-0.2796610169491526,-0.2393736017897091,-0.1866028708133971,-0.1787439613526569,-0.211136890951276,-0.172749391727494,-0.2093023255813954,-0.2640692640692641,-0.3240556660039762,-0.3172690763052209,-0.2477876106194689,-0.2494481236203091,-0.2183908045977011,-0.184652278177458,-0.2511013215859031,-0.2410714285714287,-0.2461197339246119,-0.2018779342723005,-0.1787439613526569,-0.0760869565217392,-0.0555555555555555,0.0932475884244372,-0.1145833333333333,-0.0087463556851312,0.1147540983606558,-0.0981432360742705,-0.1478696741854637,-0.0957446808510638,-0.1885441527446302,-0.1981132075471698,-0.3089430894308943,-0.2037470725995315,-0.2765957446808511,-0.2183908045977011,-0.2461197339246119,-0.2272727272727274,-0.1767554479418885,-0.3047034764826175,-0.3829401088929219,-0.4014084507042254
BDAJ_H9-L,0.0177343467245747,0.0177343467245747,8.0,0.207309766327142,0.223157894736842,-0.0192192356384005,2.0644359032331,0.3051224944320714,0.0307636626854844,1.995837217292593e-06,0.0491977897610013,0.1574166389719728,2.1966697843341407,0.2723345045958382,0.0904682041811228,0.1112394626260638,0.2150694952450621,1.896224282161429,0.1171989273525109,0.0714756017265343,-0.0488431876606684,-0.0626506024096386,0.1474926253687316,0.0599455040871934,0.2118380062305296,0.0570652173913044,-0.0201511335012594,0.018324607329843,-0.0442260442260442,0.1178160919540229,0.1114285714285714,0.219435736677116,0.2388535031847134,0.4679245283018869,0.5375494071146247,0.2467948717948718,0.1823708206686929,0.3276450511945392,0.2712418300653594,0.501930501930502,0.4734848484848484,0.51953125,0.6553191489361703,0.6008230452674896,0.5375494071146247,0.6208333333333333,0.6623931623931625,0.6695278969957081,0.6839826839826839,0.8436018957345974,0.9547738693467338,0.9068627450980392,0.8792270531400967,0.8009259259259258,0.8349056603773584,0.4301470588235294,0.4197080291970803,0.4354243542435425,0.3097643097643097,0.0775623268698062,-0.0299251870324188,0.1210374639769451,0.1716867469879519,0.0896358543417368,0.2467948717948718,0.1787878787878789,0.369718309859155,0.2080745341614907,0.2349206349206349
BDCK_44-L^L08,0.0464601769911504,-0.0464601769911504,14.0,-0.0271580989330746,0.1961400359066427,-0.2440842411525106,0.9740173217854764,-0.0279269602577872,-0.1283185840707915,2.9870342174753814e-07,-0.0548011639185256,-0.0265721877767936,0.0005202074215055,-0.7334068767413633,0.1179315338390803,0.1190708758263719,-1.118343195266272,0.9653564290473016,0.0629599345870809,0.0690566037735849,0.0,0.0,0.0,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0588235294117647,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647
