firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchquick,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.3005653266331658,-0.3005653266331658,13.0,-0.1213491985445963,0.0375211167422423,0.2492317650823241,0.8242764323685765,0.1571864345953705,-0.0377122877122876,-0.1292922948073685,3.297336359588441e-06,-0.1987412724948372,-0.175669099756691,-0.8008226834337974,-0.0294151014954681,0.0883395627256124,-4.317293233082707,0.4232132309509746,0.1654998278434523,-0.0283804627249357,-0.2071005917159762,-0.0913978494623656,-0.1333333333333333,-0.0029498525073746,0.1229235880398671,0.3151750972762646,0.2999999999999998,0.3100775193798448,0.3629032258064515,0.8469945355191255,0.3684210526315787,0.3412698412698411,0.1859649122807016,0.2246376811594204,0.3852459016393443,0.9651162790697674,0.953757225433526,1.2993197278911564,3.225,2.634408602150537,6.041666666666667,6.681818181818182,6.681818181818182,7.2439024390243905,6.8604651162790695,5.8979591836734695,7.449999999999999,5.627450980392156,5.259259259259259,5.377358490566038,2.797752808988764,2.797752808988764,1.1948051948051948,0.9651162790697674,0.4695652173913045,0.4142259414225939,0.5943396226415094,0.396694214876033,0.207142857142857,0.6095238095238094,0.5294117647058822,1.011904761904762,0.9096045197740112,0.1736111111111111,0.3254901960784313,0.4201680672268908,0.0628930817610062,-0.0662983425414365,-0.1855421686746988
BALZ_07-L^I10,0.1110332982731763,-0.1110332982731763,14.0,-0.1812127992406081,-0.1180840664711632,-1.3619187034034206,1.4047322369952484,0.4369120287253141,-0.2502783995680588,-0.0500978577800263,2.0312902697053545e-08,-0.000542422789506,-0.129401258717469,-2.8654284790994806,-0.1220215991581263,-0.1689306507789129,-1.0932878867330886,0.9972203584779066,-0.1326859056979605,-0.2264079107949389,-0.0833333333333332,-0.2340425531914893,-0.28,-0.28,-0.2941176470588236,-0.3571428571428572,-0.4929577464788732,-0.5263157894736843,-0.3454545454545455,-0.3207547169811321,-0.5,-0.5,-0.6470588235294118,-0.6470588235294118,-0.6869565217391305,-0.6504854368932039,-0.7631578947368421,-0.8064516129032258,-0.7804878048780488,-0.8043478260869565,-0.8217821782178218,-0.8105263157894737,-0.8217821782178218,-0.8085106382978724,-0.8115183246073299,-0.775,-0.7209302325581395,-0.7165354330708662,-0.7662337662337663,-0.6785714285714286,-0.6326530612244898,-0.6326530612244898,-0.5555555555555556,-0.55,-0.5764705882352941,-0.5384615384615385,-0.5443037974683544,-0.5135135135135136,-0.4545454545454546,-0.4705882352941177,-0.3793103448275862,-0.3898305084745762,-0.4,-0.28,-0.2173913043478261,-0.1428571428571429,-0.2173913043478261,-0.25,-0.25
BBOU_00-L,0.0216470588235294,-0.0216470588235294,14.0,0.04883166969147,0.1612550471063257,0.2764062265725187,0.9956539454026893,0.1178781925343811,0.1569307885097358,-0.056636678200692,0.0001175178271712,-0.0619328493647912,0.0082777261593039,1.504109859693343,-0.0334898029650001,-0.0482722569173726,-0.2418058132343846,0.6811082439223143,0.079366050666993,-0.120037438577334,-0.1339600470035252,-0.0104651162790697,-0.0596685082872928,-0.0729847494553377,-0.02183908045977,0.0035377358490564,0.084076433121019,0.1422818791946307,0.2157142857142857,0.2157142857142857,0.2387190684133915,0.1546811397557665,0.0664160401002504,0.1095176010430247,0.1737931034482758,0.1885474860335194,0.1885474860335194,0.3012232415902141,0.1346666666666667,0.1770401106500689,0.2933130699088144,0.4019769357495879,0.4748700173310225,0.4621993127147765,0.4136212624584718,0.48,0.6365384615384615,0.6851485148514851,0.7803347280334727,0.891111111111111,0.7088353413654616,0.5061946902654866,0.4042904290429043,0.4089403973509933,0.3401574803149607,0.3615999999999999,0.2441520467836258,0.2663690476190476,0.1852367688022285,0.2588757396449703,0.2333333333333331,0.2105263157894736,0.2441520467836258,0.3422712933753944,0.2607407407407407,0.5788497217068647,0.3401574803149607,0.1952247191011236,0.1754143646408839
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,6.328393168408923,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,3.257650225632553e-07,0.2216981132075471,-0.108730583824317,-0.8821232111102844,-0.2328427255985267,-0.2464646464646464,-2.256756756756757,1.8,0.0007898894154818,0.2272727272727272,-0.2352941176470588,0.0,0.0,0.0,0.0,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.15,-0.15,0.4166666666666667,-0.15,-0.15,-0.1052631578947368,-0.0285714285714284,0.1333333333333335,0.3600000000000001,0.2142857142857142,0.2142857142857142,0.2142857142857142,0.3600000000000001,0.3600000000000001,0.7,0.2592592592592593,0.5454545454545456,0.0625,1.125,1.125,0.5454545454545456,-0.15,-0.15,-0.15,-0.0555555555555554,0.0,0.1724137931034484,0.1724137931034484,0.2142857142857142,0.1724137931034484,0.3076923076923077,0.5454545454545456,0.5454545454545456,0.4782608695652175,0.4782608695652175,0.3076923076923077,0.2142857142857142,0.0967741935483872,0.0
BBTU_63-L^C18,0.0619098767326479,-0.0619098767326479,13.0,0.0745087220406604,0.1377533193570929,-0.0045913171874617,0.455864342910975,0.0609911504424778,0.0755260420833665,0.0276405298961602,1.599167569898551e-05,-0.016489113365307,0.0730680429172891,-2.7622916326226323,-0.1142927552111657,-0.1122302340207618,-2.114605171208945,0.4346679227508243,0.0397320535892821,0.0532202960900924,-0.1409774436090225,-0.1013513513513513,-0.130718954248366,-0.1148086522462561,-0.0166358595194084,0.0493096646942801,0.0451866404715128,0.0704225352112677,0.2429906542056075,0.1981981981981981,-0.0827586206896551,-0.1088777219430484,-0.1028667790893759,-0.0890410958904108,-0.0074626865671642,0.0704225352112677,-0.0414414414414413,-0.0843373493975903,0.0555555555555555,0.1391862955032121,0.1515151515151516,0.1391862955032121,0.0152671755725191,-0.0018761726078798,-0.0111524163568772,-0.1177446102819237,-0.1815384615384615,-0.2153392330383481,-0.1528662420382165,0.2975609756097563,0.112970711297071,0.0618762475049901,0.1440860215053763,0.0493096646942801,-0.0890410958904108,-0.1073825503355704,-0.1235584843492586,-0.1914893617021276,-0.2712328767123287,-0.2164948453608247,-0.2267441860465116,0.0037735849056603,-0.0874785591766723,-0.0584070796460176,-0.0256410256410255,0.0597609561752989,-0.0633802816901407,-0.1939393939393938,-0.3063885267275097
BBXK_89-L^E06,0.1263906056860321,-0.1263906056860321,14.0,-0.065146749161619,0.1127210112972995,0.1080430654532595,2.14798949051862,0.0738199455814503,-0.3366986696516983,-0.1122292685547688,6.110677791158052e-05,-0.1372995034705072,0.3556588840522356,0.2665301855165543,0.2105272664841866,0.277482391539601,-6.148366013071896,1.9621887137308656,0.1461865403616631,0.0073925480144135,-0.1397260273972602,0.0082872928176795,-0.0240641711229947,-0.0081521739130435,-0.1995614035087718,-0.1742081447963801,-0.14519906323185,-0.1009852216748767,0.0488505747126437,0.212624584717608,0.1335403726708073,0.2457337883959043,0.1850649350649349,0.2414965986394557,0.1698717948717947,0.1442006269592477,0.3176895306859204,0.3825757575757575,0.659090909090909,0.5732758620689655,0.5869565217391306,0.5336134453781514,0.4658634538152608,0.4038461538461537,0.2943262411347518,0.1850649350649349,0.3176895306859204,0.1850649350649349,0.1850649350649349,0.0928143712574851,0.0488505747126437,0.2542955326460481,0.0928143712574851,-0.0188172043010753,-0.2348008385744234,-0.1906873614190687,-0.1570438799076212,-0.2082429501084599,-0.2729083665338645,-0.2379958246346555,-0.2489711934156379,-0.1431924882629107,-0.2505133470225873,-0.2566191446028514,-0.3113207547169812,-0.3113207547169812,-0.4287949921752738,-0.399671052631579,-0.4393241167434716
BCPS_48-L^C06,0.0439181240687005,-0.0439181240687005,13.0,-0.0099882949668357,0.1109114127607245,0.1790006015851723,1.4788245462402767,0.0877246420956442,-0.017326888065792,-0.0191357540585025,5.660213892476253e-06,0.0197424892703862,0.0035061120060646,-3.344133760637665,0.0098910054219582,0.0093884000111999,-1.4082145850796313,1.4094332633658475,0.0154449824678577,-0.3722427868769332,-0.1352459016393442,-0.0929368029739776,-0.1254480286738352,-0.0161290322580645,0.1730769230769229,0.0796460176991151,0.0252100840336135,-0.008130081300813,0.1730769230769229,0.3555555555555554,0.0608695652173914,-0.0687022900763358,-0.0615384615384615,-0.1812080536912751,-0.0615384615384615,-0.046875,-0.1784511784511785,-0.1866666666666666,-0.2302839116719243,-0.2229299363057325,-0.137809187279152,-0.5946843853820598,-0.5885328836424958,-0.5430711610486891,-0.5711775043936731,-0.6639118457300275,-0.6151419558359621,-0.6280487804878049,-0.6587412587412588,-0.7122641509433962,-0.7637947725072605,-0.7336244541484715,-0.7252252252252253,-0.7300884955752212,-0.7596059113300493,-0.7598425196850394,-0.7552657973921766,-0.7282850779510022,-0.7300884955752212,-0.7276785714285714,-0.6666666666666667,-0.6325301204819277,-0.6563380281690141,-0.6529160739687055,-0.6291793313069909,-0.528046421663443,-0.6422287390029326,-0.7428872497365648,-0.7239819004524887
BCQE_67-L^A14,0.1939937866758715,-0.1939937866758715,14.0,-0.1943405634505111,-0.0745637635483127,-0.7797186432279362,1.195095948827292,0.2534653465346534,-0.8254545454545454,-0.1373835001724995,4.487932528577697e-05,-0.1320119670905011,-0.1244232987312572,-0.8270960699070611,0.296269592111936,0.3738358331984739,-1.6168009205983889,0.90227434257285,0.2698133145473758,-0.1133155284242655,-0.2578496669838249,-0.1510500807754443,-0.1691699604743083,-0.274672187715666,-0.0978540772532189,-0.2243542435424355,-0.2455132806891601,-0.1285240464344942,0.410738255033557,1.304824561403509,0.0283757338551857,0.010576923076923,-0.3360707517372078,-0.3878858474082702,-0.3921341816078658,-0.337326607818411,-0.4340333871836295,-0.5084190832553788,-0.425054704595186,-0.4707955689828801,-0.4462592202318229,-0.3878858474082702,-0.6566481541979745,-0.6343075852470424,-0.640191715166039,-0.6187885382662315,-0.7074053452115814,-0.6585445094217024,-0.6795731707317073,-0.6868295589988082,-0.7330454660909322,-0.6983352468427095,-0.6975539568345324,-0.6798659762412427,-0.7316138917262512,-0.7275790565059617,-0.7042768711311198,-0.6842895764493842,-0.7164058283864004,-0.6761171032357474,-0.6556356487549149,-0.6079820962327489,-0.6204405922715782,-0.5715450468813698,-0.6444519621109608,-0.5163368614818225,-0.5715450468813698,-0.6697045883092394,-0.7011657662780779
BCZB_W7-L^G07,0.0655844761638212,-0.0655844761638212,14.0,0.0679077843156168,0.1279723303069606,0.0348596149327651,0.7918436703483432,0.0544454097885896,-0.0128283445326817,0.0303199925366172,0.0002719364085362,0.0859457895244525,0.1404775124930594,0.5659234200498389,-0.0768938344321874,-0.0719991875729217,-1.931318681318681,0.6323279524214104,0.0575112951807228,-0.0047552771978659,-0.172661870503597,-0.0324825986078886,-0.0895196506550218,-0.0875273522975931,-0.1165254237288135,-0.0671140939597315,-0.0023923444976076,0.0072463768115942,-0.0324825986078886,0.0145985401459853,-0.0302325581395348,-0.0974025974025974,-0.1709741550695825,-0.1626506024096387,-0.077433628318584,-0.0794701986754967,-0.0413793103448275,0.0,-0.0814977973568282,-0.0691964285714287,-0.0753880266075387,-0.0211267605633802,0.0072463768115942,0.1331521739130434,0.1583333333333332,0.3408360128617362,0.0859375,0.2157434402332361,0.3672131147540984,0.106100795755968,0.0451127819548871,0.1090425531914893,-0.0047732696897375,-0.0165094339622642,-0.1524390243902439,-0.0234192037470725,-0.1127659574468085,-0.0413793103448275,-0.0753880266075387,-0.0522727272727273,0.0096852300242131,-0.1472392638036809,-0.2431941923774954,-0.2658450704225351,-0.3208469055374593,-0.3574730354391372,-0.3152709359605911,-0.3152709359605911,-0.3306581059390049
BDAJ_H9-L,0.0915446941975953,-0.0915446941975953,7.0,-0.0363123115416694,0.2190345119627355,1.57062839970363,1.8931646932185144,0.1110192837465564,0.0546095126247797,-0.0914793518034479,1.7250633533686713e-06,-0.0359273753769166,-0.0849467815509376,-1.2917336740532264,0.0108288257671594,0.0019712117714734,-1.1092636579572444,1.706404736275565,0.1105798421372191,-0.23781643805063,-0.1277173913043479,-0.0730478589420654,-0.0366492146596857,-0.0958230958230959,0.0574712643678161,0.0514285714285713,0.1536050156739812,0.1719745222929936,0.388679245283019,0.4545454545454548,0.1794871794871795,0.1185410334346503,0.2559726962457338,0.2026143790849672,0.4208494208494209,0.393939393939394,0.4375,0.5659574468085107,0.51440329218107,0.4545454545454548,0.5333333333333334,0.5726495726495728,0.5793991416309012,0.5930735930735931,0.7440758293838865,0.8492462311557789,0.803921568627451,0.7777777777777779,0.7037037037037037,0.7358490566037736,0.3529411764705881,0.3430656934306568,0.3579335793357934,0.2390572390572389,0.0193905817174515,-0.0822942643391519,0.0605187319884725,0.108433734939759,0.0308123249299721,0.1794871794871795,0.1151515151515152,0.295774647887324,0.1428571428571428,0.1682539682539683,0.0109890109890109,0.2105263157894736,-0.0315789473684209,-0.1929824561403508,-0.1840354767184034
