firms,absacc,acc,age,agr,chpmia,currat,depr,egr,herf,invest,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.0902061855670103,-0.0902061855670103,8.0,0.1121119823731449,1.5972123993266998,0.8989463601532568,0.0727272727272727,0.0657572577824413,5.114626323297311e-06,0.1725746873177371,-0.3526757821242962,-0.3944160738411948,0.1341884188418842,-1.3279132791327912,0.4781289910600255,0.0681818181818182,0.0380794701986755,0.0202702702702703,0.0395869191049915,-0.0146818923327894,0.0066666666666665,-0.0273752012882447,0.0100334448160535,-0.0210696920583468,0.0449826989619377,0.1289719626168224,0.1570881226053639,0.1226765799256506,0.1889763779527558,0.51,0.3789954337899544,0.4484412470023982,0.532994923857868,0.7764705882352942,0.6871508379888267,0.9610389610389608,0.9235668789808916,1.2205882352941173,1.141843971631206,1.2124542124542126,1.1805054151624548,1.3230769230769228,1.5811965811965814,1.359375,1.672566371681416,1.6375545851528384,1.649122807017544,1.7706422018348622,1.7207207207207205,1.7454545454545451,1.4958677685950414,1.1726618705035974,1.2878787878787876,1.0268456375838926,1.054421768707483,1.0,0.8757763975155279,0.7456647398843932,0.7869822485207101,0.8875,0.9113924050632912,1.0,1.0827586206896551,1.1884057971014497,1.445344129554656
BALZ_07-L^I10,0.0096089302797583,-0.0096089302797583,8.0,0.1136246844069085,6.068940247192413,1.8367826904985889,0.2252258764004336,0.1625351617440224,2.0810904184258488e-08,0.0723909109189624,-0.0688001627812392,-0.0740745239605959,-0.0379847796998731,-0.1711864406779662,1.3049545312010034,0.157416030016726,0.0555555555555555,0.0909090909090908,0.0588235294117645,0.0,0.125,0.2413793103448276,0.2413793103448276,0.2857142857142856,0.161290322580645,0.3333333333333332,0.3846153846153846,0.5652173913043477,0.5652173913043477,0.5,0.4399999999999999,0.3846153846153846,0.5,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7142857142857142,0.6363636363636362,0.5652173913043477,0.5652173913043477,0.3846153846153846,0.3333333333333332,0.2413793103448276,0.1999999999999999,0.125,0.0588235294117645,0.0285714285714286,0.0909090909090908,0.125,0.125,0.5,0.5,0.5,0.5,0.5652173913043477,0.7999999999999998,1.117647058823529,1.117647058823529,1.7692307692307692,1.5714285714285712,1.5714285714285712,1.7692307692307692,1.7692307692307692,4.142857142857142
BAMD_17-L^J98,0.1365149081328005,-0.1365149081328005,8.0,0.0378543010413991,2.652699003562584,1.3085600372435031,0.0742816734434958,0.0024438432779111,6.540909292200979e-08,0.0250391312143517,-0.0121334256342019,-0.0383710071443663,0.2771323626389654,-2.5336746403036456,1.188055817506834,0.1828653032293035,-0.0564516129032258,0.0,0.0,0.1071428571428569,0.1221719457013574,0.1753554502369669,0.1272727272727272,0.1588785046728971,0.1643192488262912,0.24,0.1923076923076923,0.1753554502369669,0.2216748768472907,0.2038834951456309,0.2156862745098038,0.2097560975609758,0.2277227722772277,0.5308641975308641,0.493975903614458,0.5796178343949043,0.710344827586207,0.6756756756756757,0.5308641975308641,0.4011299435028248,0.5030303030303032,0.5696202531645569,0.4761904761904763,0.3626373626373627,0.4011299435028248,0.5121951219512195,0.6103896103896103,0.2216748768472907,0.1534883720930233,0.092511013215859,0.0376569037656904,0.0973451327433629,0.1809523809523809,0.2216748768472907,0.2653061224489796,0.3478260869565217,0.3478260869565217,0.2525252525252526,0.2277227722772277,0.3701657458563536,0.4335260115606936,0.5999999999999999,0.5999999999999999,0.6756756756756757,0.968253968253968
BBIO_50-L^J00,0.1267289946085657,-0.1267289946085657,8.0,0.0209345031626199,-8.038536637307526,1.6393342804952304,0.1242848970251716,-0.2170157633340531,1.048174754774331e-05,-0.0560293817588247,0.1023904775511264,0.1853786469479944,0.0844576134844833,-7.4714285714285715,1.3061700832149383,-0.0071191595244677,-0.0962566844919786,-0.0335917312661498,-0.0360824742268039,0.0535211267605635,0.1032448377581121,0.1231231231231231,0.1265060240963855,0.1299093655589125,0.147239263803681,0.312280701754386,0.3262411347517733,0.4220532319391636,0.36996336996337,0.375,0.3405017921146953,0.4113207547169812,0.5390946502057612,0.7155963302752293,0.7558685446009392,0.7077625570776258,0.7725118483412325,0.9378238341968914,1.010752688172043,0.8888888888888891,0.7725118483412325,0.8333333333333335,0.8067632850241548,0.7641509433962264,0.7809523809523811,0.9893617021276596,0.8888888888888891,0.7809523809523811,1.0549450549450552,1.0662983425414367,0.8333333333333335,1.101123595505618,1.2530120481927711,1.3229813664596275,1.3974358974358974,1.2530120481927711,1.266666666666667,1.460526315789474,1.382165605095541,1.294478527607362,1.3974358974358974,1.3670886075949369,1.3670886075949369,1.4768211920529803,1.75
BBNH_32-L^L97,0.0959706632082643,-0.0959706632082643,10.0,0.0067306829399623,-6.929233868573152,1.847747093023256,0.1083916083916083,0.0349401488191523,0.0001022667781393,0.0015256214663914,0.4662176499046814,0.5086150674962413,0.3035061891765225,-18.5,1.4269622093023255,0.1182554517133956,-0.0107758620689655,0.0086956521739129,-0.0333333333333333,-0.0085470085470085,0.0569476082004556,0.0841121495327101,0.0715935334872979,0.0691244239631336,0.1021377672209025,0.0617848970251715,0.0617848970251715,0.0,0.0569476082004556,0.0642201834862383,0.0545454545454544,0.1344743276283617,0.2178477690288713,0.1989664082687336,0.162907268170426,0.1658291457286431,0.1746835443037973,0.2242744063324537,0.2712328767123286,0.1400491400491399,0.2275132275132274,0.1127098321342925,0.1542288557213931,0.0426966292134829,0.1180722891566263,0.1262135922330096,0.0917647058823529,-0.0252100840336134,0.0265486725663717,-0.0085470085470085,-0.0313152400835073,-0.0252100840336134,0.1127098321342925,0.1372549019607842,0.1153846153846152,0.0197802197802197,0.1100478468899521,0.0790697674418603,0.145679012345679,0.1317073170731708,0.0740740740740739,0.0220264317180616,0.0521541950113377,-0.0021505376344087,0.0380313199105144
BBOU_00-L,0.0417289486796213,-0.0417289486796213,8.0,-0.0521654737352905,-2.6189170044804926,1.3946345256609642,0.0908571428571428,-0.0312645823611759,2.841088256688336e-05,-0.0093412592502729,-0.0493759992445892,-0.1013909384160723,0.2885935840626945,-0.4890510948905109,0.6687402799377916,0.3568559954102123,0.0311284046692608,0.0098231827111983,-0.0392523364485981,-0.0705244122965642,-0.041044776119403,-0.0603290676416818,-0.041044776119403,-0.0805008944543829,-0.0446096654275093,-0.032015065913371,-0.032015065913371,-0.0637522768670311,-0.0338345864661655,-0.1228668941979522,-0.1461794019933554,-0.1076388888888889,-0.1045296167247388,-0.0805008944543829,-0.0722021660649819,-0.0516605166051661,-0.0246679316888045,0.055441478439425,0.055441478439425,-0.0134357005758157,-0.0172084130019122,-0.0534069981583793,-0.0190839694656489,-0.0886524822695035,-0.0038759689922481,0.0138067061143982,-0.0586080586080586,-0.0755395683453237,-0.0499075785582255,-0.1461794019933554,-0.1587561374795418,-0.0705244122965642,-0.0654545454545455,0.0239043824701195,0.0489795918367346,-0.1273344651952461,-0.0463821892393321,-0.0671506352087114,-0.0551470588235295,-0.0771992818671455,-0.1076388888888889,-0.0153256704980843,-0.0338345864661655,-0.1390284757118928,-0.2043343653250774
BBQS_26-L^G99,0.0552963647180386,-0.0552963647180386,8.0,0.1036095376103279,4.347550291165006,1.708792060784618,0.1163533167789996,-0.1617915904936013,1.3077626950049665e-05,0.0957713081280463,0.0641043848380007,0.0713216290119495,-0.1416223135093191,-0.9255765199161424,0.9837184059544116,-0.0706880574539557,0.1019283746556474,0.03125,0.0027624309392264,-0.0268096514745308,0.0027624309392264,0.0371428571428571,-0.0027472527472528,0.0139664804469272,-0.0189189189189189,0.0521739130434781,0.0196629213483146,0.0739644970414201,0.1709677419354838,0.0933734939759036,0.0371428571428571,-0.0546875,-0.0786802030456853,0.0139664804469272,-0.0135869565217392,-0.0189189189189189,-0.0241935483870968,0.0139664804469272,0.0371428571428571,0.0139664804469272,0.1203703703703702,0.0868263473053891,0.0491329479768785,0.0139664804469272,0.0676470588235294,0.1862745098039215,0.1273291925465838,0.0739644970414201,0.0739644970414201,0.0371428571428571,0.0139664804469272,0.141509433962264,0.1785714285714286,0.1067073170731707,0.1487341772151897,0.0739644970414201,0.2263513513513513,0.2604166666666667,0.2099999999999999,0.1560509554140126,0.1343749999999999,0.1273291925465838,0.2517241379310344,0.3646616541353382,0.5512820512820513
BBTU_63-L^C18,0.0763284287565754,-0.0763284287565754,8.0,-0.1070511155366986,-1.0310596820443303,0.863081549619671,0.0280234357727172,-0.0351699882766705,1.857524219033716e-05,-0.0386469246976651,-0.0070052508897475,-0.0070878981743927,0.0793092322751479,-12.150485436893202,0.8328321245356448,-0.0059777523651107,0.1321138211382113,0.0271398747390396,-0.0257425742574257,-0.021868787276342,0.0695652173913043,0.1258581235697939,0.0626349892008639,0.055793991416309,0.0789473684210526,0.0957683741648105,0.2058823529411764,0.3937677053824362,0.4260869565217391,0.2519083969465647,0.1912832929782082,0.2299999999999999,0.1912832929782082,0.1912832929782082,0.1258581235697939,0.1468531468531468,0.1912832929782082,0.1576470588235294,0.2148148148148148,0.1912832929782082,0.2981530343007914,0.3591160220994474,0.3405994550408719,0.2208436724565756,0.1855421686746987,0.3190348525469169,0.2519083969465647,0.0957683741648105,0.0490405117270786,-0.0352941176470588,0.0,0.2551020408163265,0.3516483516483515,0.1855421686746987,0.0837004405286343,0.0102669404517452,0.074235807860262,0.0789473684210526,0.1388888888888888,0.2519083969465647,0.1576470588235294,0.0468085106382978,-0.0238095238095238,0.1156462585034012,0.0512820512820513
BBVN_02-L^I99,0.0502164502164502,-0.0502164502164502,8.0,0.0908761766835627,2.653465497155403,1.5448916408668731,0.1764705882352941,0.1497326203208555,1.2172067374109362e-07,0.056842867487328,0.0341463061156833,0.0681491802330408,-0.2426941602434871,-0.7435897435897436,1.1493808049535603,-0.0267211568689091,0.0,0.0641025641025641,0.0779220779220779,0.0506329113924048,0.0921052631578946,0.0921052631578946,0.0921052631578946,0.1369863013698629,0.3279999999999998,0.4690265486725664,0.3387096774193547,0.296875,0.2671755725190838,0.2671755725190838,0.2388059701492535,0.2868217054263564,0.360655737704918,0.5090909090909088,0.482142857142857,0.5229357798165135,0.6599999999999999,0.7291666666666667,0.8043478260869563,0.8241758241758241,1.0,0.9302325581395348,0.9302325581395348,0.7473684210526317,0.9302325581395348,1.0493827160493825,0.8241758241758241,0.8043478260869563,0.296875,0.2296296296296294,0.1527777777777776,0.360655737704918,0.2868217054263564,0.1448275862068966,0.2028985507246377,-0.1741293532338308,-0.0404624277456647,0.0506329113924048,-0.0348837209302326,-0.0621468926553673,-0.0404624277456647,-0.1443298969072165,-0.2420091324200913,-0.2589285714285715,-0.1822660098522167
BBXK_89-L^E06,0.025912408759124,-0.025912408759124,8.0,0.1128266241390791,-0.1422615035244679,1.7168189145620634,0.0467856726169641,0.1089396753613826,6.640965678304395e-05,0.0391861341371515,-0.0103146353539007,0.0041882220895547,-0.4045685483598229,-0.2393502911431197,1.4643859334885665,0.0624550062440315,-0.0202702702702702,-0.0198675496688741,-0.0149750415973377,0.0189328743545611,0.0331588132635252,0.0533807829181494,0.0842490842490841,0.1450676982591876,0.1839999999999999,0.1699604743083005,0.1607843137254903,0.1127819548872179,0.140655105973025,0.2008113590263691,0.15625,0.149514563106796,0.140655105973025,0.2410901467505242,0.1983805668016194,0.1839999999999999,0.1983805668016194,0.3243847874720358,0.2954048140043763,0.2595744680851064,0.2515856236786469,0.2057026476578412,0.256900212314225,0.1653543307086613,0.1911468812877264,0.256900212314225,0.3184855233853005,0.142857142857143,0.2307692307692308,0.1839999999999999,0.149514563106796,0.1044776119402983,0.1233396584440229,0.2436974789915966,0.2982456140350877,0.3068432671081678,0.3831775700934579,0.4299516908212561,0.5063613231552162,0.4509803921568627,0.4581280788177342,0.5063613231552162,0.574468085106383,0.5218508997429305,0.4726368159203982
