firms,age,agr,cashdebt,chpmia,egr,herf,invest,lgr,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BBOU_00-L,22.0,0.0750442086648983,0.1345219925072845,-0.0009616397231614,0.2440235951567836,3.948918406111913e-05,0.0330459770114942,0.0358757062146892,14.762481838198896,0.0127361208791081,-0.0687134399843901,0.0503705294812587,-0.010362694300518,0.0489130434782609,0.0556061987237921,0.0275066548358473,0.1113243761996161,0.0945179584120983,0.0385650224215246,0.0311665182546749,0.0585009140767824,0.0976303317535545,0.0682656826568266,0.1134615384615385,0.1465346534653466,0.212565445026178,0.2037422037422038,0.2451612903225806,0.2909698996655516,0.3736654804270463,0.4208588957055215,0.4658227848101266,0.4402985074626868,0.2655737704918033,0.2049947970863683,0.3084745762711864,0.1732522796352584,0.2075078206465068,0.1465346534653466,0.3189066059225514,0.2880978865406005,0.1840490797546012,0.1123919308357348,0.0945179584120983,0.1210067763794773,0.1220930232558139,0.0722222222222221,0.0732159406858203,0.0633608815426995,0.0633608815426995,0.1060171919770773,0.160320641282565,0.1113243761996161,0.0682656826568266,0.0945179584120983,0.1220930232558139,0.1626506024096383,0.1568431568431569,0.1556886227544911,0.1864754098360657,0.1864754098360657
BBTU_63-L^C18,22.0,-0.033154783893609,0.4437432103874605,0.0431655471890593,-5.248344370860929,3.9658951584414003e-07,-0.0146841521980051,-0.3090447865640308,0.5885136701126372,0.949525285797326,-0.2091648905250919,-0.0504747142026739,-0.0597014925373134,0.0,0.0,-0.0496453900709218,0.072,-0.0359712230215826,-0.1410256410256409,-0.1624999999999999,-0.0758620689655171,-0.1464968152866241,-0.0289855072463767,-0.0289855072463767,0.072,-0.1779141104294477,-0.1829268292682926,-0.1241830065359477,-0.1464968152866241,-0.2298850574712643,-0.3299999999999999,-0.1728395061728395,-0.056338028169014,-0.0884353741496597,-0.1518987341772152,-0.1125827814569535,-0.0629370629370628,-0.1677018633540372,-0.3128205128205128,-0.3619047619047618,-0.3588516746411482,-0.4865900383141762,-0.516245487364621,-0.5179856115107913,-0.4745098039215686,-0.4865900383141762,-0.5127272727272727,-0.4865900383141762,-0.6115942028985507,-0.6407506702412868,-0.6318681318681318,-0.6035502958579881,-0.6407506702412868,-0.6138328530259366,-0.6138328530259366,-0.6070381231671554,-0.6115942028985507,-0.6537467700258398,-0.6235955056179775,-0.6127167630057804,-0.6171428571428571
BCQE_67-L^A14,22.0,-0.0235525024533856,0.1293800539083558,0.0009969946766821,-0.3851717902350813,2.0771076147798538e-06,-0.029440628066732,0.1230329041487839,1.3497422457319934,0.0247319636068514,0.0005675552961017,-0.0179509632224168,0.1065573770491803,-0.0368421052631577,0.2281879194630873,0.0701754385964912,0.2240802675585282,0.0639534883720931,-0.1347517730496454,-0.1527777777777778,-0.0872817955112218,-0.0493506493506493,-0.0213903743315507,0.0280898876404493,-0.0054347826086956,0.0194986072423399,0.0764705882352942,0.1124620060790273,0.2978723404255321,0.2364864864864866,0.4186046511627908,0.6944444444444444,1.0,1.022099447513812,0.6866359447004609,0.9263157894736844,0.8300000000000001,0.4186046511627908,0.0427350427350428,0.0368271954674221,0.1545741324921137,-0.0849999999999999,-0.0134770889487869,0.1693290734824282,0.161904761904762,0.196078431372549,0.2887323943661972,0.2000000000000001,-0.1073170731707315,-0.0518134715025906,-0.1367924528301887,-0.2294736842105262,-0.2545824847250509,-0.2438016528925619,-0.1138014527845036,0.0027397260273973,0.0608695652173914,-0.026595744680851,0.0639534883720931,0.1124620060790273,0.2752613240418118
BDAJ_H9-L,16.0,0.0286420770657324,0.1809458533241946,0.0030411532355364,1.4745222929936308,1.2240417155683337e-07,0.076241500103029,-0.0713813615333773,0.2593271285832477,0.1271905911675364,-0.0425043512996833,0.0461095100864553,0.0157480314960629,0.0762711864406779,0.1140350877192983,0.0762711864406779,0.336842105263158,0.0762711864406779,0.0409836065573769,0.0762711864406779,0.1339285714285714,0.3804347826086955,0.530120481927711,0.6282051282051282,0.4431818181818181,0.4269662921348314,0.6282051282051282,0.7162162162162162,0.9538461538461538,0.984375,0.9538461538461538,0.7397260273972603,1.1896551724137931,1.152542372881356,0.8676470588235292,1.309090909090909,1.152542372881356,0.7638888888888891,0.6710526315789473,0.7162162162162162,0.6282051282051282,0.4431818181818181,0.336842105263158,0.3092783505154639,0.3510638297872341,0.3804347826086955,0.3956043956043955,0.1651376146788989,0.3092783505154639,-0.2208588957055214,-0.2573099415204678,-0.2440476190476189,-0.2983425414364641,-0.3681592039800994,-0.3520408163265306,-0.383495145631068,-0.5808580858085808,-0.6018808777429467,-0.6092307692307692,-0.6613333333333333,-0.6361031518624642
BFRL_28-L,22.0,-0.0587235121172613,0.0038094986223775,0.0126006467807873,-0.0827431282495565,4.516240346573437e-08,-0.0429296002991513,-0.053617603006651,0.0974996262783673,0.9451355301829882,-0.0548644698170117,-0.0548644698170117,-0.0306122448979591,-0.0050761421319797,0.0425531914893617,0.0425531914893617,0.05,-0.062200956937799,-0.0939907550077041,-0.0101010101010101,0.3037694013303769,0.3455377574370708,0.3243243243243241,0.2951541850220265,0.3008849557522124,0.2923076923076924,0.3333333333333332,0.380281690140845,0.3706293706293706,0.3642691415313226,0.3183856502242153,0.2564102564102564,0.3455377574370708,0.3066666666666666,0.267241379310345,0.3835294117647059,-0.3,-0.3106682297772567,-0.4957118353344768,-0.4851138353765324,-0.752212389380531,-0.7121879588839941,-0.7800224466891134,-0.7479639948564081,-0.7078986587183309,-0.7024291497975709,-0.6872340425531915,-0.6581395348837209,-0.6504161712247325,-0.6754966887417219,-0.6647662485746864,-0.6979969183359014,-0.7296551724137932,-0.7831858407079646,-0.7754868270332188,-0.7741067998463311,-0.782785371259697,-0.7789473684210526,-0.7810055865921788,-0.7816561455625697,-0.780515117581187
BJJT_37-L,21.0,0.2887855543766848,0.0030477843826651,-0.0006108190878719,0.0861430159318266,1.489261993993957e-07,4.0611817023458255e-05,0.258795408983764,0.6030152514933655,0.4334128878281623,0.4334128878281623,0.4334128878281623,-0.1172161172161171,-0.0650684931506849,0.0540540540540541,-0.0179856115107912,0.3382352941176469,0.092,0.030188679245283,0.05,0.0790513833992094,0.06640625,0.1097560975609757,0.1008064516129032,0.0459770114942528,0.0,0.2133333333333333,0.4598930481283421,0.365,0.6153846153846154,0.5511363636363635,0.625,0.5780346820809248,0.5337078651685392,0.5337078651685392,0.421875,0.5423728813559321,0.2409090909090907,0.2079646017699117,0.318840579710145,0.2638888888888888,0.074803149606299,-0.0036496350364964,-0.0036496350364964,0.0581395348837208,0.0419847328244273,-0.0108695652173912,-0.0869565217391304,-0.272,-0.272,-0.3140703517587939,-0.3738532110091743,-0.3561320754716981,-0.3809523809523809,-0.4065217391304347,-0.3906250000000001,-0.3906250000000001,-0.3665893271461716,-0.3651162790697674,-0.3242574257425742,-0.3373786407766991
BLNT_37-L^D19,14.0,0.1115650453733014,0.1216575071991736,0.0012580723115476,0.2677694972364766,2.2993445634682e-07,0.0089686375993631,0.0697994955171397,0.6577786816794203,0.20495428219904,0.0664808200754358,0.20495428219904,-0.0033783783783782,0.0496453900709219,0.0367775831873904,-0.0100334448160536,0.1340996168582375,0.0533807829181494,0.0685920577617329,0.0533807829181494,0.176938369781312,0.2649572649572651,0.2231404958677685,0.3799533799533798,0.3126385809312639,0.2256728778467909,0.2282157676348546,0.3640552995391706,0.4545454545454543,0.4028436018957346,0.3273542600896861,0.4095238095238094,0.3333333333333332,0.256900212314225,0.3515981735159816,0.1839999999999999,0.3273542600896861,0.3995271867612291,0.3155555555555556,0.4653465346534653,0.5140664961636827,0.5538057742782152,0.5786666666666667,0.5786666666666667,0.6444444444444444,0.7159420289855072,0.7831325301204819,0.7514792899408285,0.6174863387978142,0.5871313672922251,0.5179487179487179,0.5828877005347592,0.4299516908212561,0.2869565217391305,0.3799533799533798,0.3155555555555556,0.3896713615023475,0.4911838790931988,0.4095238095238094,0.4509803921568627,0.4334140435835352
BLNV_40-L^F19,13.0,0.1675161059413027,0.6753438159191606,-0.0440136498548365,0.1638599171121988,7.355123992433666e-10,-0.0003913147220233,0.1792396017343824,0.0968994198809586,-1.4750722535111924,-1.90201525869254,-1.90201525869254,0.0268456375838925,0.0,0.1505791505791507,0.146153846153846,0.146153846153846,0.1037037037037036,0.0456140350877192,0.0456140350877192,-0.0033444816053512,-0.053968253968254,-0.053968253968254,-0.0969696969696969,-0.0066666666666667,-0.0066666666666667,-0.0387096774193548,0.2789699570815449,0.2213114754098359,0.1825396825396825,0.2416666666666667,0.3303571428571428,0.2844827586206897,0.36697247706422,0.3484162895927603,0.4326923076923077,0.3545454545454545,-0.0448717948717949,0.2844827586206897,0.3990610328638497,0.0681003584229391,-0.1104477611940298,-0.1183431952662721,-0.1485714285714285,-0.1077844311377245,-0.0628930817610063,-0.1235294117647058,0.0642857142857142,-0.1183431952662721,-0.083076923076923,-0.1485714285714285,-0.1699164345403899,-0.2988235294117647,-0.3303370786516854,-0.3632478632478632,-0.3752620545073375,-0.3726315789473684,-0.3918367346938776,-0.41796875,-0.404,-0.404
BPVK_29-L,15.0,0.0539570464886868,0.3021828987279745,0.0022883688333041,0.1587308349240931,0.0001863596551991,0.016155407272855,-0.0105053699296697,22.093617616211684,0.0546916653329788,0.0917282296119791,0.0459105771228935,-0.0247429305912596,-0.0341402855369334,-0.0526636225266362,-0.0451058606934643,0.0061429033301003,0.0716253443526171,0.0771893388715818,0.0563475899524779,0.0624786616592694,0.0599455040871934,0.0694158075601374,0.1304031965128951,0.14369717015803,0.1254972875226041,0.0896358543417368,0.1186196980589504,0.1491875923190546,0.2080745341614907,0.3384946236559141,0.283298969072165,0.3892857142857144,0.1551596139569413,0.108656929105807,0.2859504132231405,0.150887573964497,0.2314998021369212,0.1374269005847954,0.2769798933114484,0.4610328638497651,0.4275229357798165,0.4797907750832144,0.5451837140019862,0.6570820021299255,0.4925659472422061,0.4380776340110905,0.3577661431064571,0.3356223175965664,0.2573737373737375,0.2796052631578947,0.2300395256916996,0.1708051166290445,0.1598956392098398,0.1470696645779581,0.1449595290654894,0.1074733096085409,0.0719944884602135,0.1341107871720117,0.0768166089965398,-0.0126903553299492
BQMM_18-L^C11,21.0,-0.2445157045014318,-5.599938499384994,2.6324197348773968,-0.2408586431745177,1.7656374000631436e-14,-0.0012326342227453,-0.3416624171341152,0.0026536514180486,-1.8605909280066584,-1.8605909280066584,-1.8605909280066584,0.0,0.5999999999999999,0.5999999999999999,1.0,1.0,1.0,0.5999999999999999,1.0,1.0,1.666666666666667,1.0,1.0,0.5999999999999999,1.0,0.3333333333333335,1.0,1.0,1.0,1.0,1.0,0.5999999999999999,1.0,1.666666666666667,1.0,1.0,1.0,1.0,1.0,0.5999999999999999,0.3333333333333335,1.0,0.5999999999999999,1.0,0.3333333333333335,0.5999999999999999,0.5999999999999999,0.3333333333333335,0.5999999999999999,0.5999999999999999,0.3333333333333335,0.3333333333333335,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,0.5999999999999999,0.5999999999999999,0.3333333333333335,0.3333333333333335
