firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchrect,pctacc,quick,roic,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.2119296316657504,-0.2119296316657504,12.0,-0.1277982674328845,-0.0961240310077519,1.6943845003782931,0.8492574257425743,0.1565597177893499,-0.2810199317651284,-0.2166025288619949,3.608256980023449e-06,0.0156102581696542,0.0123152709359605,-0.1155536973894222,-0.1239376824518478,0.5011187266276378,-0.1728980040861228,0.2633459029459828,-1.5207100591715978,0.3888613861386139,-0.1232275833928389,19.50852557673019,0.2775880189174986,0.1768707482993197,0.8374999999999999,0.5806451612903225,2.0625,2.340909090909091,2.340909090909091,2.5853658536585367,2.4186046511627906,2.0,2.675,1.8823529411764703,1.722222222222222,1.773584905660377,0.651685393258427,0.651685393258427,-0.0454545454545455,-0.1453488372093023,-0.3608695652173912,-0.3849372384937238,-0.3066037735849057,-0.3925619834710744,-0.475,-0.3,-0.334841628959276,-0.125,-0.1694915254237288,-0.4895833333333333,-0.4235294117647058,-0.3823529411764705,-0.5377358490566038,-0.5939226519337018,-0.6457831325301205,-0.6831896551724137,-0.6924686192468619,-0.6831896551724137,-0.7048192771084338,-0.6643835616438356,-0.8643911439114391,-0.8756345177664975,-0.8570038910505836,-0.8607954545454546,-0.8518145161290323,-0.8558823529411764,-0.8446088794926004,-0.8610586011342155,-0.8799019607843137,-0.8783112582781457,-0.8835182250396196,-0.8756345177664975
BALZ_07-L^I10,0.0430235595843715,0.0430235595843715,13.0,0.3810514346866431,0.2638355745871871,-0.7253808148636253,1.5999621809013551,0.412926274764534,0.3857652798777919,-0.0075844614049231,3.5065063931253526e-08,-0.0594609056250417,0.3775085816043206,-0.0992646183424722,0.0831841587403734,-0.6109879056589765,0.2296614161575434,0.0586415039016326,0.3751347114725188,1.1999243618027102,-0.0380615075851484,3.400454013407584,0.2654303062302005,-0.1827956989247312,0.1341463414634147,0.0108695652173913,-0.0792079207920791,-0.0210526315789473,-0.0792079207920791,-0.0106382978723402,-0.026178010471204,0.1625000000000001,0.4418604651162792,0.4645669291338583,0.2077922077922078,0.6607142857142856,0.8979591836734695,0.8979591836734695,1.2962962962962965,1.3250000000000002,1.1882352941176473,1.3846153846153846,1.3544303797468356,1.5135135135135136,1.8181818181818183,1.7352941176470589,2.2068965517241383,2.1525423728813564,2.1,2.72,3.0434782608695654,3.428571428571429,3.0434782608695654,2.8750000000000004,2.8750000000000004,2.647058823529412,3.428571428571429,3.325581395348838,3.769230769230769,3.428571428571429,3.769230769230769,3.65,3.65,4.166666666666667,4.166666666666667,4.166666666666667,5.2,5.2,4.8125,4.470588235294118,3.536585365853659,3.65
BBOU_00-L,0.0658357499845745,-0.0658357499845745,12.0,-0.0087234303968546,0.1198083067092651,-0.041030902508486,0.9892761394101875,0.1215074723846653,0.1701440635866865,-0.0172764854692416,0.0001343877513071,-0.0175697260105664,-0.0713735558408215,0.0095048850508436,0.121873535955103,-0.1223846653671216,0.1130703893459981,0.0198653799133564,-1.0932377049180328,0.6519476423277085,0.1402855369335816,6.019269776876268,0.006358626536668,0.0948012232415902,-0.128,-0.0954356846473029,-0.0060790273556231,0.0774299835255354,0.1334488734835355,0.1237113402061855,0.0863787375415283,0.1373913043478261,0.2576923076923076,0.2950495049504951,0.3682008368200835,0.4533333333333333,0.3132530120481926,0.1575221238938051,0.0792079207920792,0.0827814569536424,0.0299212598425198,0.0464,-0.043859649122807,-0.0267857142857141,-0.0891364902506963,-0.0325443786982247,-0.0521739130434782,-0.069701280227596,-0.043859649122807,0.0315457413249211,-0.031111111111111,0.2133580705009277,0.0299212598425198,-0.0814606741573034,-0.0966850828729282,-0.074964639321075,-0.1041095890410959,-0.1126187245590231,0.0283018867924527,0.1869328493647912,0.0092592592592593,0.0331753554502369,0.0315457413249211,-0.0396475770925109,0.0299212598425198,-0.0253353204172875,-0.0562770562770562,-0.007587253414264,0.1256454388984509,0.1314878892733564,0.2362948960302457,0.3027888446215141
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,-18.989857084613547,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,3.365356982318525e-07,0.2216981132075471,-0.108730583824317,-0.0761522607479122,-0.2328427255985267,-0.3980598279380004,-0.2464646464646464,0.6064997804128239,-2.256756756756757,1.8,0.0007898894154818,2.311284046692607,0.2272727272727272,0.1666666666666667,0.1999999999999999,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.1999999999999999,0.1999999999999999,0.4999999999999998,0.1111111111111109,0.3636363636363635,-0.0625,0.875,0.875,0.3636363636363635,-0.2500000000000001,-0.2500000000000001,-0.2500000000000001,-0.1666666666666666,-0.1176470588235295,0.0344827586206897,0.0344827586206897,0.0714285714285714,0.0344827586206897,0.1538461538461537,0.3636363636363635,0.3636363636363635,0.3043478260869563,0.3043478260869563,0.1538461538461537,0.0714285714285714,-0.0322580645161291,-0.1176470588235295,-0.2307692307692308,-0.2307692307692308,-0.2307692307692308,-0.2105263157894736,-0.2307692307692308,-0.2500000000000001,-0.2500000000000001,-0.2500000000000001,-0.3478260869565218,-0.2857142857142857,-0.2682926829268293,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857
BBTU_63-L^C18,0.0692212078350692,-0.0692212078350692,12.0,0.0199125578979264,0.1282051282051282,-0.2233959875102283,0.5146896399381489,0.0471589978712952,0.0372614107883818,-0.0017573185890016,1.489300110218868e-05,0.0531145837842517,0.001359989120087,0.1338716963684058,-0.0334126519947519,0.3043053581959103,-0.0381381673758147,-0.0451904075360269,-2.323741007194245,0.4896178484647669,0.0705462412114656,15.575482853764289,-0.0809182676652555,-0.0447504302925989,0.1527777777777776,0.2441113490364024,0.2575757575757575,0.2441113490364024,0.1087786259541983,0.0900562851782362,0.0799256505576206,-0.0364842454394693,-0.1061538461538462,-0.1430678466076697,-0.0748407643312103,0.4170731707317072,0.215481171548117,0.1596806387225549,0.2494623655913976,0.1459566074950689,-0.0051369863013699,-0.0251677852348993,-0.0428336079077431,-0.1170212765957448,-0.2041095890410958,-0.1443298969072165,-0.1555232558139535,0.0962264150943394,-0.0034305317324185,0.0283185840707962,0.0641025641025641,0.1573705179282869,0.0228873239436619,-0.1196969696969697,-0.242503259452412,-0.2800495662949195,-0.2914634146341464,-0.287116564417178,-0.2169811320754717,-0.17,-0.087912087912088,-0.1236802413273001,-0.0950155763239876,-0.1289355322338831,-0.083596214511041,-0.0051369863013699,-0.0316666666666667,0.0069324090121316,0.0356506238859177,0.0880149812734081,0.0525362318840578,0.0356506238859177
BBXK_89-L^E06,0.0859512760282387,-0.0859512760282387,13.0,-0.0401846422556297,0.0904980330063172,0.5460677562388768,1.7744247073072266,0.0669839034693728,-0.0529835076345994,-0.0790379975682138,6.220404164821713e-05,0.0316886033310461,-0.0198144616478649,-0.1550383586192779,0.0324515770261952,0.0862095447531602,0.0244610237791469,-0.0477332849369547,-519.3076923076923,1.5359810254339927,0.1012611173830437,3.4514488417813487,-0.0146177780489293,0.0492424242424243,0.1999999999999999,0.1379310344827586,0.1478260869565217,0.1092436974789916,0.0602409638554215,0.0153846153846153,-0.0638297872340424,-0.1428571428571428,-0.0469314079422382,-0.1428571428571428,-0.1428571428571428,-0.2095808383233531,-0.2413793103448275,-0.0927835051546391,-0.2095808383233531,-0.2903225806451612,-0.4465408805031445,-0.4146341463414633,-0.3903002309468821,-0.4273318872017353,-0.4741035856573704,-0.4488517745302713,-0.4567901234567901,-0.380281690140845,-0.4579055441478439,-0.4623217922606925,-0.5018867924528301,-0.5018867924528301,-0.5868544600938967,-0.5657894736842105,-0.5944700460829493,-0.5932203389830508,-0.6123348017621145,-0.6212338593974175,-0.6106194690265487,-0.6111929307805597,-0.6271186440677966,-0.6451612903225806,-0.6338418862690707,-0.6558018252933506,-0.6271186440677966,-0.6239316239316239,-0.5607321131447587,-0.5555555555555556,-0.5463917525773196,-0.5384615384615384,-0.5510204081632653,-0.544041450777202
BCPS_48-L^C06,0.1244105449946569,-0.1244105449946569,12.0,-0.3951003839133992,0.1093293277037999,0.8383966841079876,1.4643407440017608,0.1570357644853974,-0.521809612440335,-0.5170929696766813,1.483802527811896e-05,-0.4569041475234438,-0.2504439235741175,0.4584722126992884,0.3284622057641138,2.4423628140423195,0.3632376349237049,-0.3072394863598279,-9.303519061583575,1.396324014968083,0.1751632901583084,5.553646860039425,-0.3572662386337712,-0.0099999999999998,-0.0536277602523659,-0.0445859872611464,0.0600706713780918,-0.5016611295681063,-0.4940978077571669,-0.4382022471910112,-0.4727592267135325,-0.5867768595041323,-0.526813880126183,-0.5426829268292683,-0.5804195804195804,-0.6462264150943396,-0.7095837366892546,-0.6724890829694323,-0.6621621621621622,-0.668141592920354,-0.7044334975369458,-0.704724409448819,-0.6990972918756269,-0.665924276169265,-0.668141592920354,-0.6651785714285714,-0.5901639344262295,-0.5481927710843373,-0.5774647887323943,-0.5732574679943101,-0.5440729483282675,-0.4197292069632495,-0.5601173020527859,-0.683877766069547,-0.6606334841628959,-0.6398559423769508,-0.6606334841628959,-0.6632996632996633,-0.6287128712871287,-0.5714285714285714,-0.5664739884393064,-0.536321483771252,-0.5670995670995671,-0.5515695067264574,-0.5419847328244275,-0.5145631067961165,-0.5098039215686274,-0.5305164319248826,-0.5081967213114753,-0.5090016366612111,-0.5440729483282675,-0.5398773006134969
BCQE_67-L^A14,0.0321227219090074,-0.0321227219090074,13.0,0.1092367256637168,0.0683085501858736,-0.6305669976108443,0.9219501530389156,0.1726105563480741,-0.1943359375,0.043398452864819,5.897049868730643e-05,0.008987831858407,0.1606425702811245,-0.1974682050755309,-0.0050396618398252,-0.043834144606215,-0.0450523829197027,-0.2053589906987712,-3.141025641025641,0.6567555749890687,0.0912563088255354,3.218583708555056,-0.1296214301527562,-0.1314312441534143,0.1695842450765863,0.0765357502517622,0.1264488935721812,0.2451951077460685,-0.3015354459327017,-0.2560890744606819,-0.2680588839438549,-0.2245194051505259,-0.4047884187082405,-0.3053931124106563,-0.348170731707317,-0.362932061978546,-0.4569469138938278,-0.386337543053961,-0.3847482014388489,-0.34876637222053,-0.4540347293156281,-0.4458268532918611,-0.3984243106359032,-0.3577650946230098,-0.423097679438748,-0.341140215716487,-0.299475753604194,-0.2025363670272286,-0.2278801011195378,-0.1284141867101509,-0.2767253044654939,-0.0161067648412334,-0.1284141867101509,-0.328095537397863,-0.3920955359681547,-0.5126510143606109,-0.4641604010025062,-0.4325902335456476,-0.4277301927194861,-0.3217005076142132,-0.3870412844036698,-0.348964677222899,-0.3808282652765711,-0.4343915343915343,-0.3289391086001255,-0.3295703982439636,-0.2837520938023451,-0.2367011781506606,-0.2016430171769978,-0.2717983651226158,-0.2445229681978799,-0.2908789386401327
BCYN_75-L^D01,0.085183227625088,-0.085183227625088,14.0,0.3415841584158416,0.2515977671709408,-0.2288562046935193,0.6694444444444444,0.0679117147707979,0.1148173360562741,0.1649929527836504,2.5770972020453865e-05,0.4267739273927393,0.5518166804293972,0.0497209130634627,-0.387068925288161,-0.1761954439148784,-0.3857373588954194,-0.1770643081952454,-0.971859296482412,0.4474537037037037,0.0761106454316848,5.271805273833672,0.1699302273238802,0.0529999999999999,0.027749229188078,0.146788990825688,0.1049723756906075,0.2224938875305624,0.0604453870625663,0.1350737797956867,0.1111111111111111,0.2165450121654499,0.2165450121654499,0.1210762331838564,0.278772378516624,0.0582010582010583,-0.1902834008097166,-0.0430622009569376,0.1641443538998837,0.1507479861910241,0.0905125408942202,0.0070493454179254,0.098901098901099,0.3477088948787061,0.1148272017837235,0.4124293785310735,0.51285930408472,0.644736842105263,0.733102253032929,0.7182130584192439,0.6339869281045751,0.7123287671232876,1.1367521367521367,0.733102253032929,0.7605633802816902,0.592356687898089,0.4064697609001406,0.4970059880239521,0.4285714285714286,0.4858841010401187,0.615508885298869,0.669449081803005,0.5432098765432098,0.2004801920768306,0.2484394506866416,0.234567901234568,0.1389521640091116,0.1655011655011655,0.2239902080783353,0.2690355329949239,0.2903225806451612,0.3440860215053762
BCZB_W7-L^G07,0.0631005306180983,-0.0631005306180983,13.0,-0.0175322213798332,0.1230741669652454,0.1087699562814065,0.8578034682080925,0.0683829444891391,0.0356389708983551,-0.0783976289497586,0.0002836183182296,-0.0830174374526156,-0.0621419892379795,0.1013570340256244,0.1325405230607542,0.0660267569648941,0.2422356032748602,-9.535654901916963,-2.519083969465649,0.6813872832369943,0.047725653810929,7.397683397683398,0.0597996435375822,0.0431654676258992,-0.0814977973568282,-0.0691964285714287,-0.0753880266075387,-0.0211267605633802,0.0072463768115942,0.1331521739130434,0.1583333333333332,0.3408360128617362,0.0859375,0.2157434402332361,0.3672131147540984,0.106100795755968,0.0451127819548871,0.1090425531914893,-0.0047732696897375,-0.0165094339622642,-0.1524390243902439,-0.0234192037470725,-0.1127659574468085,-0.0413793103448275,-0.0753880266075387,-0.0522727272727273,0.0096852300242131,-0.1472392638036809,-0.2431941923774954,-0.2658450704225351,-0.3208469055374593,-0.3574730354391372,-0.3152709359605911,-0.3152709359605911,-0.3306581059390049,-0.2632508833922261,-0.2362637362637363,-0.3118811881188118,-0.2176360225140713,-0.2553571428571428,-0.2835051546391752,-0.2658450704225351,-0.268421052631579,-0.2057142857142857,-0.1575757575757576,-0.1437371663244353,-0.009501187648456,0.0503778337531486,0.094488188976378,0.0831168831168831,0.1846590909090908,0.127027027027027
