firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.0610699659324542,-0.0610699659324542,17.0,0.108957485284979,0.0713249361852815,-0.0101358857981076,1.2764034021871205,0.2645667801740446,-0.0383347073371804,-0.0381331382202103,1.3719568858882304e-08,0.0390026602244084,0.1923271837227607,0.2027116899472714,-0.8132213418968101,-0.0834184046636541,-0.0319019746861747,-0.0730397554368885,-5.566083283041642,0.9553705953827462,2.976226980032828,0.0772600557546794,0.1851851851851851,-0.0795454545454544,-0.0240963855421685,0.0384615384615385,0.306451612903226,0.2272727272727273,0.3500000000000001,0.306451612903226,0.4727272727272726,0.4464285714285714,0.6200000000000001,0.5576923076923077,0.6875000000000002,0.6875000000000002,0.840909090909091,0.7608695652173914,0.6875000000000002,0.6200000000000001,0.6875000000000002,0.6875000000000002,0.3728813559322035,0.3965517241379312,0.5882352941176472,0.6200000000000001,0.7608695652173914,0.7234042553191491,0.5576923076923077,0.9756097560975612,0.9285714285714288,1.1315789473684212,1.3823529411764706,1.7931034482758623,1.53125,1.7931034482758623,1.612903225806452,1.076923076923077,1.3823529411764706,2.1153846153846154,1.3823529411764706,1.4545454545454546,1.2500000000000004,0.7234042553191491,0.6200000000000001,0.6200000000000001,0.5882352941176472,0.4464285714285714,0.1408450704225352,0.0657894736842106,0.4727272727272726
BBOU_00-L,0.0362985685071574,-0.0362985685071574,17.0,-0.0564939673527324,0.1591366757887127,0.0430528476381722,1.2053307008884502,0.1044349070100143,-0.0138136511375948,-0.0050314782354659,2.281640995571576e-05,0.0151171043293115,-0.045119612395276,20.825419378722422,-0.2953880219976166,0.1948640439239559,0.0929882301440661,-0.3132309420461684,-0.3759455370650529,0.6290720631786771,4.450396825396825,-0.2431672477786525,0.0180072028811524,0.0036144578313253,0.0347826086956521,0.0638569604086845,0.0109223300970873,0.0491183879093197,0.0762273901808785,0.0989445910290236,0.1196236559139785,0.1426611796982166,0.1211305518169583,0.1348773841961852,0.1317934782608696,0.1968390804597701,0.2178362573099415,0.216058394160584,0.1379781420765027,0.1666666666666667,0.1018518518518518,0.1798866855524079,0.1047745358090186,0.1569444444444443,0.1333333333333333,0.1317934782608696,0.1934097421203437,0.2737003058103975,0.2322485207100593,0.3138801261829653,0.2934782608695652,0.2659574468085106,0.219619326500732,0.2698170731707319,0.3138801261829653,0.2934782608695652,0.2340740740740741,0.2678843226788432,0.1410958904109589,0.0438596491228069,0.0625,0.130257801899593,-0.0211515863689776,-0.0313953488372092,-0.0795580110497238,-0.0925925925925925,-0.0425287356321838,-0.017688679245283,0.0611464968152866,0.1181208053691273,0.1899999999999999
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,1.1784249623326049,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,1.7779483680319568e-07,0.2216981132075471,-0.108730583824317,0.0019348113560325,-0.6077388036725159,-0.2328427255985267,-0.2464646464646464,0.6064997804128239,-2.256756756756757,1.8,2.311284046692607,0.2272727272727272,0.0,-0.0238095238095238,-0.127659574468085,-0.088888888888889,-0.0238095238095238,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.1081081081081081,0.0249999999999999,0.0789473684210526,-0.088888888888889,0.0249999999999999,0.1714285714285714,0.1714285714285714,0.1714285714285714,0.1714285714285714,-0.088888888888889,0.1714285714285714,0.1714285714285714,-0.088888888888889,0.1714285714285714,0.1714285714285714,0.0249999999999999,0.0249999999999999,-0.088888888888889,0.1714285714285714,0.1714285714285714,0.0249999999999999,0.0249999999999999,0.0249999999999999,-0.18,-0.2545454545454546,-0.18,-0.0238095238095238,0.1081081081081081,0.1081081081081081,0.0249999999999999,0.5769230769230769,0.5769230769230769,0.2058823529411764,0.2058823529411764,0.2058823529411764,0.2058823529411764,0.2058823529411764,-0.0238095238095238,-0.0238095238095238,-0.0238095238095238,-0.0238095238095238
BBTU_63-L^C18,0.0425212985978027,-0.0425212985978027,17.0,0.0649622881770987,0.0865919715070119,-0.0052556708987575,1.7423959218351743,0.1869346733668342,0.0162668548134211,-0.1480181393847981,6.666888431541116e-05,-0.6129885395239495,0.1137076537013801,4.565359233889635,0.1199674607510739,0.978720885946152,1.0153209678917725,0.8184563428692277,-1.1422018348623857,1.7423959218351743,374.671009771987,-0.0328753762591016,-0.0157766990291262,0.0743155149934811,0.0842105263157895,0.1671388101983004,0.1671388101983004,0.1737891737891739,0.2484848484848485,0.1444444444444443,0.0799475753604195,0.1492329149232916,0.2011661807580174,0.3268921095008053,0.3079365079365079,0.2189349112426035,0.3121019108280254,0.3079365079365079,0.2618683001531394,0.2716049382716048,0.3733333333333333,0.5009107468123861,0.492753623188406,0.5091575091575091,0.5202952029520296,0.5846153846153845,0.7420718816067653,0.8769931662870161,0.7238493723849373,0.73109243697479,0.8558558558558558,0.8855835240274599,1.221024258760108,1.4744744744744749,1.251366120218579,1.1237113402061856,1.0446650124069476,0.8942528735632187,0.9526066350710902,1.168421052631579,0.7606837606837609,0.8030634573304156,0.5488721804511278,0.3918918918918919,0.34640522875817,0.3710482529118137,0.5231053604436229,0.6252465483234713,0.618860510805501,0.6579476861167004,0.9252336448598132
BBXK_89-L^E06,0.169506349628283,-0.169506349628283,17.0,-0.4191484458662618,0.197405228682929,0.007960859739969,0.6495772900023269,0.0815415699164681,-0.8076484741040901,-0.0212997659083662,3.1786215954834626e-05,-0.022352957124073,-0.2355223334890618,6.421185804453739,-1.428590231989286,-0.6836133044405258,-0.7903832560889411,0.9256939167437414,-1.6838160136286202,0.3861009850306368,100.91867852604828,-0.0432692886827681,0.1037974683544304,0.0881542699724518,0.1651917404129794,0.144927536231884,0.1416184971098266,0.2382445141065832,0.2267080745341614,0.196969696969697,0.1755952380952381,0.151603498542274,0.2042682926829269,0.2421383647798742,0.1350574712643679,0.2042682926829269,0.1686390532544379,0.1933534743202416,0.1482558139534884,0.1285714285714285,0.4962121212121211,0.4575645756457565,0.3811188811188812,0.5310077519379846,0.4311594202898552,0.5134099616858239,0.4363636363636365,0.32996632996633,0.348122866894198,0.3527397260273974,0.3344594594594594,0.4311594202898552,0.4684014869888477,0.4522058823529411,0.348122866894198,0.348122866894198,0.3122923588039867,0.2267080745341614,0.091160220994475,0.2783171521035599,0.2116564417177915,0.2579617834394905,0.0821917808219179,0.091160220994475,0.0561497326203208,0.0733695652173913,-0.1337719298245613,-0.1063348416289592,-0.0749414519906321,-0.0270935960591132,0.1350574712643679
BCPS_48-L^C06,0.2001199580146948,-0.2001199580146948,16.0,-0.2266599303321189,0.0361847473829008,-0.1361982170381308,1.3977200759974666,0.2427630117716739,-0.2767315671879988,-0.2550907182485772,2.8964329976603813e-06,-0.106336586273832,-0.2145116976105235,2.821557797207803,-1.8702775172441888,-0.0473296715654651,-0.040028919523193,0.1472381302448613,-2.6660007990411505,1.329322355921469,6.681995540691193,0.0464862505456132,0.0598086124401913,0.2477611940298505,0.3062499999999999,0.3227848101265822,0.3397435897435896,0.3227848101265822,0.5597014925373132,0.4463667820069201,0.3312101910828025,0.3527508090614886,0.4026845637583891,0.388704318936877,0.5597014925373132,0.6076923076923075,0.7131147540983607,0.8999999999999997,0.8253275109170304,0.9532710280373828,0.9351851851851848,0.8660714285714282,0.8095238095238093,0.7863247863247864,0.817391304347826,0.6854838709677418,0.4822695035460993,0.6653386454183268,0.6138996138996138,0.8253275109170304,0.7863247863247864,0.7563025210084033,1.09,1.4161849710982657,1.6289308176100628,1.548780487804878,1.548780487804878,1.259459459459459,1.2717391304347825,1.4444444444444442,0.8495575221238938,0.981042654028436,0.7131147540983607,0.553903345724907,0.4982078853046594,0.6854838709677418,1.0096153846153846,0.8495575221238938,0.7563025210084033,0.6991869918699185,1.0096153846153846
BCQE_67-L^A14,0.1957726957726957,-0.1957726957726957,17.0,-0.1951219512195122,-0.1129668994837534,-0.0836481854370915,2.072480181200453,0.2285067873303167,0.371002132196162,-0.1514206514206311,4.305304623714956e-06,-0.1316447779862414,-0.1193603655054254,0.8920081490924309,-1.632120914171163,0.1392047202584966,0.1932191138216297,-0.0867279520787616,-1.1945031712473573,1.77123442808607,3.5777233782129745,-0.2487792341300436,0.3416149068322982,-0.0799999999999999,-0.0799999999999999,0.0387096774193549,0.3089430894308944,0.1751824817518248,0.0805369127516779,-0.125,-0.2029702970297029,-0.2938596491228069,-0.1104972375690607,-0.2648401826484018,-0.1104972375690607,0.1751824817518248,-0.0473372781065087,-0.125,-0.2107843137254901,-0.1390374331550802,-0.2938596491228069,-0.2844444444444444,-0.3735408560311283,-0.459731543624161,-0.244131455399061,-0.3428571428571428,-0.5625,-0.498442367601246,-0.6092233009708738,-0.4806451612903225,-0.3119658119658118,-0.2546296296296296,-0.0182926829268291,0.3760683760683763,-0.0955056179775281,-0.7373572593800979,-0.7386363636363636,-0.7919896640826873,-0.7794520547945205,-0.7683453237410072,-0.8149425287356322,-0.7935897435897435,-0.846812559467174,-0.869951534733441,-0.8727272727272727,-0.8888888888888888,-0.8618025751072962,-0.8811808118081181,-0.8844221105527638,-0.8665008291873963,-0.7838926174496644
BCZB_W7-L^G07,0.0722811944983685,-0.0722811944983685,17.0,-0.0774239656952275,0.0734536967117457,-0.0206563629971077,0.8473611928585443,0.0662566396421582,-0.1430250783699059,-0.1477840650943786,0.0001196451683682,-0.0822679266259032,-0.0336123110151187,4.173253341216248,-0.8451947464993841,0.0251921115077726,0.0960331411917105,-0.1216512486991885,-14.344262295081966,0.7376888365705316,5.656754772393539,-0.101044279796978,0.0433212996389891,-0.0142348754448399,-0.0212014134275618,-0.0107142857142856,-0.0314685314685314,-0.0314685314685314,-0.0177304964539006,-0.0546075085324232,-0.0348432055749129,-0.0314685314685314,0.0259259259259259,0.0613026819923372,0.0374531835205993,0.0905511811023622,0.073643410852713,0.0374531835205993,-0.0977198697068403,-0.1035598705501618,-0.1289308176100629,-0.0797342192691029,-0.201729106628242,-0.1370716510903427,-0.2240896358543417,-0.187683284457478,-0.1780415430267062,-0.1178343949044585,-0.1289308176100629,-0.0827814569536423,-0.0448275862068965,-0.1035598705501618,0.0109489051094888,0.0992063492063493,0.0413533834586465,-0.0142348754448399,-0.1316614420062696,-0.1852941176470588,-0.1261829652996845,-0.1006493506493506,-0.2284122562674094,-0.1971014492753623,-0.3357314148681055,-0.3573085846867748,-0.3951965065502183,-0.3938730853391685,-0.413135593220339,-0.3803131991051454,-0.3373205741626793,-0.3309178743961352,-0.3573085846867748
BDAJ_H9-L,0.0517990074441687,-0.0517990074441687,11.0,-0.121102628358296,0.0797364834166288,0.125081045164605,1.8260312580066616,0.1266375545851528,-0.6140394088669952,-0.057816377171212,3.308551755455744e-07,-0.2714610408531966,0.0298186289578849,1.673251151467455,-0.7439267708820431,0.0292739858373711,0.0657542171861183,0.3349488353125776,-1.8806306306306304,1.741480912118883,40.71859296482412,-0.5851635693441868,0.0478468899521531,0.0,0.0663265306122449,0.1420765027322403,0.1029023746701847,0.1176470588235292,0.1611111111111109,0.0801033591731266,0.0801033591731266,0.1176470588235292,0.1389645776566757,-0.0094786729857819,0.0476190476190474,0.0609137055837563,0.0555555555555555,0.0195121951219512,0.0,-0.027906976744186,-0.0542986425339366,-0.1010752688172044,-0.0542986425339366,-0.045662100456621,0.0773195876288659,0.0270270270270269,0.0555555555555555,0.1389645776566757,0.0555555555555555,0.0372208436724563,0.2011494252873562,0.1908831908831909,0.244047619047619,0.2628398791540784,0.2822085889570551,0.274390243902439,0.1297297297297295,0.0745501285347043,0.0072289156626503,0.2330383480825957,0.1389645776566757,0.3021806853582554,0.1358695652173911,0.0528967254408059,0.094240837696335,0.0270270270270269,0.2011494252873562,0.1942857142857141,0.3103448275862068,0.3312101910828025,0.5773584905660376
BDCK_44-L^L08,0.0467741935483871,-0.0467741935483871,17.0,0.0097244732576986,0.0934376358105171,0.018574613747904,1.351288056206089,0.0876201243640474,-0.1245858184227966,-0.1793010752688137,1.3132207843867977e-07,-0.1291193949216639,0.1042524005486969,0.0002431935587581,-1.1845445552887628,0.1693520878062482,0.1697962014619087,0.1638733048351086,-2.9,1.3427010148321623,7.878086419753087,-0.004291008386971,0.0,0.0,0.0,0.0,0.0,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295
