firms,age,agr,cashdebt,egr,invest,lgr,mve_ia,pchsale_pchinvt,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BBOU_00-L,22.0,0.0750442086648983,0.1345219925072845,0.2440235951567836,0.0330459770114942,0.0358757062146892,14.364329800526004,0.0127361208791081,0.0503705294812587,0.0489130434782609,0.006381039197812,-0.0204081632653061,0.0595009596928981,0.0434782608695651,-0.009865470852018,-0.0169189670525379,0.0091407678244972,0.0464454976303316,0.0184501845018449,0.0615384615384613,0.0930693069306929,0.1560209424083767,0.1476091476091476,0.1870967741935483,0.2307692307692306,0.3096085409252669,0.3546012269938647,0.3974683544303796,0.3731343283582089,0.2065573770491802,0.1488033298647242,0.2474576271186439,0.1185410334346503,0.1511991657977058,0.0930693069306929,0.2574031890660593,0.2280311457174637,0.1288343558282207,0.0605187319884725,0.0434782608695651,0.0687318489835429,0.069767441860465,0.0222222222222221,0.0231696014828544,0.0137741046831953,0.0137741046831953,0.0544412607449855,0.1062124248496991,0.0595009596928981,0.0184501845018449,0.0434782608695651,0.069767441860465,0.1084337349397588,0.1028971028971028,0.1017964071856287,0.1311475409836064,0.1311475409836064,0.1732199787460147
BBTU_63-L^C18,21.0,-0.1637964321569234,0.1445356277791836,-0.8158536585365854,-0.0214688392926094,-0.2955819828701707,0.6028506719879064,0.8806415834826381,-0.1193584165173619,0.0,0.0,-0.0496453900709218,0.072,-0.0359712230215826,-0.1410256410256409,-0.1624999999999999,-0.0758620689655171,-0.1464968152866241,-0.0289855072463767,-0.0289855072463767,0.072,-0.1779141104294477,-0.1829268292682926,-0.1241830065359477,-0.1464968152866241,-0.2298850574712643,-0.3299999999999999,-0.1728395061728395,-0.056338028169014,-0.0884353741496597,-0.1518987341772152,-0.1125827814569535,-0.0629370629370628,-0.1677018633540372,-0.3128205128205128,-0.3619047619047618,-0.3588516746411482,-0.4865900383141762,-0.516245487364621,-0.5179856115107913,-0.4745098039215686,-0.4865900383141762,-0.5127272727272727,-0.4865900383141762,-0.6115942028985507,-0.6407506702412868,-0.6318681318681318,-0.6035502958579881,-0.6407506702412868,-0.6138328530259366,-0.6138328530259366,-0.6070381231671554,-0.6115942028985507,-0.6537467700258398,-0.6235955056179775,-0.6127167630057804,-0.6171428571428571,-0.5975975975975976
BCQE_67-L^A14,22.0,-0.0235525024533856,0.1293800539083558,-0.3851717902350813,-0.029440628066732,0.1230329041487839,1.17491632355427,0.0247319636068514,-0.0179509632224168,-0.0368421052631577,0.2751677852348992,0.1111111111111111,0.2709030100334446,0.1046511627906976,-0.1016548463356975,-0.1203703703703704,-0.0523690773067331,-0.0129870129870131,0.0160427807486629,0.0674157303370786,0.0326086956521738,0.0584958217270195,0.1176470588235294,0.1550151975683888,0.3475177304964538,0.2837837837837837,0.4728682170542635,0.7592592592592591,1.0765027322404368,1.0994475138121549,0.7511520737327189,1.0,0.8999999999999999,0.4728682170542635,0.0826210826210827,0.0764872521246458,0.198738170347003,-0.05,0.0242587601078165,0.2140575079872204,0.2063492063492062,0.2418300653594771,0.3380281690140845,0.2459016393442623,-0.073170731707317,-0.0155440414507772,-0.1037735849056604,-0.2,-0.2260692464358452,-0.2148760330578513,-0.0799031476997579,0.0410958904109588,0.1014492753623186,0.0106382978723404,0.1046511627906976,0.1550151975683888,0.3240418118466897,0.3970588235294117
BDAJ_H9-L,15.0,-0.1529062663641123,0.1237393328161365,-8.136363636363638,0.0459067900157095,-0.21375368092846,0.2459189502667995,0.0230603317946338,-0.0032554576790502,0.0762711864406779,0.0350877192982457,0.0,0.2421052631578948,0.0,-0.0327868852459016,0.0,0.0535714285714283,0.2826086956521738,0.4216867469879517,0.5128205128205128,0.3409090909090908,0.3258426966292134,0.5128205128205128,0.5945945945945945,0.8153846153846152,0.8437499999999998,0.8153846153846152,0.6164383561643836,1.0344827586206895,1.0,0.7352941176470587,1.145454545454545,1.0,0.6388888888888888,0.5526315789473684,0.5945945945945945,0.5128205128205128,0.3409090909090908,0.2421052631578948,0.2164948453608246,0.2553191489361701,0.2826086956521738,0.2967032967032965,0.0825688073394494,0.2164948453608246,-0.2760736196319018,-0.3099415204678363,-0.2976190476190476,-0.3480662983425414,-0.4129353233830846,-0.3979591836734694,-0.4271844660194175,-0.6105610561056105,-0.6300940438871474,-0.6369230769230769,-0.6853333333333333,-0.66189111747851,-0.6402439024390244
BFRL_28-L,21.0,-0.0978789239647906,-0.021940677752744,-0.2532720637449499,-0.0502834791009461,-0.0616596210959953,0.0968802957183883,1.19266807039165,0.19266807039165,-0.0050761421319797,0.0478723404255319,0.0478723404255319,0.0553571428571428,-0.0574162679425837,-0.0893682588597842,-0.005050505050505,0.3104212860310422,0.3524027459954233,0.3310810810810809,0.3017621145374449,0.3075221238938055,0.2989010989010989,0.3401360544217686,0.387323943661972,0.3776223776223777,0.3712296983758703,0.3251121076233183,0.262820512820513,0.3524027459954233,0.3133333333333334,0.2737068965517242,0.3905882352941177,-0.2964285714285715,-0.3071512309495896,-0.4931389365351629,-0.4824868651488616,-0.7509481668773704,-0.71071953010279,-0.7789001122334456,-0.7466780968709815,-0.706408345752608,-0.7009109311740891,-0.6856382978723404,-0.6563953488372093,-0.6486325802615933,-0.673841059602649,-0.6630558722919042,-0.6964560862865947,-0.7282758620689656,-0.7820796460176991,-0.7743413516609393,-0.7729542835190165,-0.7816771333579609,-0.7778195488721804,-0.7798882681564245,-0.7805421463052358,-0.7793952967525196,-0.7733026467203683
BJJT_37-L,20.0,0.2966239476576951,0.0028794949808802,0.0625984251968503,5.265825451050866e-05,0.2654423807366624,0.6578689718640446,0.2155497534087612,0.2155497534087612,-0.0650684931506849,0.1274131274131273,0.0503597122302159,0.4313725490196078,0.1679999999999999,0.1018867924528301,0.123076923076923,0.1541501976284585,0.140625,0.1869918699186992,0.1774193548387097,0.1187739463601533,0.0695970695970695,0.2977777777777777,0.5614973262032084,0.4599999999999999,0.7278106508875739,0.659090909090909,0.7380952380952381,0.6878612716763006,0.6404494382022472,0.6404494382022472,0.5208333333333333,0.6497175141242937,0.3272727272727271,0.2920353982300885,0.4106280193236715,0.3518518518518516,0.1496062992125983,0.0656934306569341,0.0656934306569341,0.1317829457364341,0.1145038167938929,0.0579710144927536,-0.0234113712374582,-0.2213333333333333,-0.2213333333333333,-0.2663316582914573,-0.3302752293577982,-0.3113207547169812,-0.3378684807256236,-0.3652173913043478,-0.3482142857142858,-0.3482142857142858,-0.3225058004640371,-0.3209302325581395,-0.2772277227722772,-0.2912621359223301,-0.1728045325779036
BLNT_37-L^D19,13.0,0.0745263601599495,0.1003973775880908,0.024246586196878,0.0075446298033288,0.0871870404820469,0.6355566712342644,0.1221160919082076,0.1221160919082076,0.0496453900709219,-0.0122591943957969,-0.0568561872909699,0.0804597701149425,0.0035587188612098,0.0180505415162455,0.0035587188612098,0.1212723658051688,0.205128205128205,0.165289256198347,0.3146853146853146,0.2505543237250554,0.1677018633540372,0.1701244813278006,0.2995391705069123,0.3857493857493856,0.3364928909952607,0.26457399103139,0.3428571428571427,0.2702702702702702,0.197452229299363,0.2876712328767123,0.1279999999999999,0.26457399103139,0.333333333333333,0.2533333333333332,0.3960396039603959,0.4424552429667518,0.4803149606299211,0.504,0.504,0.5666666666666664,0.6347826086956521,0.6987951807228916,0.6686390532544377,0.540983606557377,0.5120643431635388,0.4461538461538461,0.5080213903743314,0.3623188405797102,0.2260869565217391,0.3146853146853146,0.2533333333333332,0.323943661971831,0.4206549118387908,0.3428571428571427,0.3823529411764705,0.3656174334140436,0.4387755102040815
BLNV_40-L^F19,13.0,0.1675161059413027,0.6753438159191606,0.1638599171121988,-0.0003913147220233,0.1792396017343824,0.0908962672775254,-1.4750722535111924,-1.90201525869254,0.0,0.1505791505791507,0.146153846153846,0.146153846153846,0.1037037037037036,0.0456140350877192,0.0456140350877192,-0.0033444816053512,-0.053968253968254,-0.053968253968254,-0.0969696969696969,-0.0066666666666667,-0.0066666666666667,-0.0387096774193548,0.2789699570815449,0.2213114754098359,0.1825396825396825,0.2416666666666667,0.3303571428571428,0.2844827586206897,0.36697247706422,0.3484162895927603,0.4326923076923077,0.3545454545454545,-0.0448717948717949,0.2844827586206897,0.3990610328638497,0.0681003584229391,-0.1104477611940298,-0.1183431952662721,-0.1485714285714285,-0.1077844311377245,-0.0628930817610063,-0.1235294117647058,0.0642857142857142,-0.1183431952662721,-0.083076923076923,-0.1485714285714285,-0.1699164345403899,-0.2988235294117647,-0.3303370786516854,-0.3632478632478632,-0.3752620545073375,-0.3726315789473684,-0.3918367346938776,-0.41796875,-0.404,-0.404,-0.4202334630350194
BPVK_29-L,14.0,0.0472031816739817,0.2667918095735633,0.1582526977887568,-0.024752053922732,-0.0099396664117311,21.94801756981446,-0.0282015873758684,-0.0739727790558924,-0.0341402855369334,-0.0191780821917808,-0.011353175820804,0.0417070805043646,0.1095041322314049,0.115264797507788,0.0936863543788186,0.100034141345169,0.0974114441416893,0.1072164948453606,0.1703596077006901,0.1841234840132304,0.1652802893309222,0.1281512605042016,0.1581595974119338,0.189807976366322,0.2507763975155279,0.3858064516129031,0.3286597938144329,0.4383928571428572,0.195991091314031,0.1478446740292125,0.3314049586776859,0.191568047337278,0.2750296794618123,0.1776315789473683,0.3221173574066474,0.5126760563380282,0.4779816513761468,0.5320970042796005,0.599801390268123,0.7156549520766771,0.545323741007194,0.4889094269870608,0.4057591623036647,0.3828326180257511,0.3018181818181817,0.3248355263157894,0.2735177865612648,0.2121896162528216,0.2008945210585166,0.1876151861408035,0.185430463576159,0.1466192170818503,0.1098863244919048,0.1741982507288628,0.114878892733564,0.022208121827411,-0.0338830584707646
BQMM_18-L^C11,21.0,-0.2445157045014318,-5.599938499384994,-0.2408586431745177,-0.0012326342227453,-0.3416624171341152,0.0025560768557232,-1.8605909280066584,-1.8605909280066584,0.5999999999999999,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.6666666666666667,0.25,0.25,0.0,0.25,-0.1666666666666666,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.6666666666666667,0.25,0.25,0.25,0.25,0.25,0.0,-0.1666666666666666,0.25,0.0,0.25,-0.1666666666666666,0.0,0.0,-0.1666666666666666,0.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,0.25,0.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666
