firms,age,agr,cash,cashdebt,chatoia,chcsho,che,chempia,chpmia,chtx,cinvest,depr,egr,grltnoa,herf,hire,invest,lgr,mve_ia,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,20.0,0.1849771597667135,0.1191539739857309,0.2032752741992374,1.457129129203277,0.0002577673887954,3.1675000000000004,0.2198998243503549,0.0276216706572677,0.0096101358922055,0.0464543864487226,0.2840123176333989,0.4746497769180369,0.0146521591444503,2.6614204255513383e-08,0.0669371196754563,0.0595665622815333,0.0566878540831835,0.2624194232175124,0.2091331599811619,-0.0269824010578996,0.0574937473595372,0.1189363961273902,0.0277154298156654,0.0720077107873527,0.3091744196284448,0.4318794785445846,0.0588235294117645,-0.074829931972789,-0.2916666666666666,-0.4471544715447154,-0.4603174603174602,-0.4559999999999999,-0.5160142348754448,-0.3429951690821254,-0.3061224489795917,-0.2444444444444444,-0.231638418079096,-0.231638418079096,-0.2486187845303866,-0.3523809523809523,-0.2444444444444444,-0.1337579617834394,-0.1904761904761903,-0.1999999999999999,-0.15,-0.1337579617834394,-0.1604938271604938,-0.1168831168831168,-0.15,-0.1392405063291139,-0.0933333333333332,-0.0072992700729926,0.0625,0.2035398230088496,0.2830188679245282,0.3465346534653466,0.3737373737373739,0.3465346534653466,0.2952380952380953,0.2363636363636363,0.2952380952380953,0.4020618556701032,0.4166666666666667,0.6790123456790123,0.5454545454545456,0.63855421686747,0.7435897435897436,1.1935483870967745,1.0606060606060606,1.266666666666667,1.1935483870967745,1.4727272727272729,1.4285714285714284,1.7200000000000002,1.6153846153846154
BBOU_00-L,20.0,0.1483949555746632,0.0950868756521344,0.1593492929106202,0.6059406635115779,3.3367096220393704e-07,-16.5,0.2703117318463798,0.0072912340752873,0.0004859086491739,0.1207576953433307,0.1063632141198328,-0.1193353474320241,0.0690391221692292,2.431600700215602e-05,0.0822824156305506,0.0447836056176554,0.2111179235642755,16.782915709344795,-0.0153805321478335,0.0133079024935806,-0.0297499574988212,0.0293780104188694,0.0353466026080988,0.1619496855345912,0.0814062291137548,0.5725486468198273,0.0858757062146893,-0.1033434650455926,-0.0771637122002085,-0.1237623762376237,0.0079726651480638,-0.0155728587319243,-0.0950920245398773,-0.1498559077809799,-0.16351606805293,-0.1432720232333011,-0.1424418604651163,-0.1805555555555557,-0.1797961075069508,-0.1873278236914601,-0.1873278236914601,-0.1547277936962752,-0.1132264529058116,-0.1506717850287908,-0.1835793357933579,-0.16351606805293,-0.1424418604651163,-0.1114457831325302,-0.1158841158841158,-0.1167664670658682,-0.0932377049180328,-0.0932377049180328,-0.0595111583421892,-0.0585106382978724,-0.0453074433656958,-0.0390879478827362,-0.0033783783783785,-0.0220994475138123,-0.0274725274725274,-0.0011286681715575,0.0460992907801416,0.0498220640569395,0.0436320754716981,0.062424969987995,0.0662650602409637,0.0993788819875776,0.1302681992337164,0.0740291262135921,0.114609571788413,0.1434108527131783,0.1675461741424802,0.189516129032258,0.213991769547325,0.1911170928667565,0.2057220708446865
BBTU_63-L^C18,20.0,0.2000926784059315,0.0203876747239169,0.1685539378945031,0.7776304194875238,2.586554410527147e-05,26.250000000000004,0.1656582861022316,-0.093417924809629,-0.0024035643100011,0.04904831625183,0.1973110465116279,-0.2724046140195209,0.0896415181768354,5.104163157868729e-07,0.0504260908566668,-0.1675625579240036,0.0608576284481632,0.7787664331412153,0.032751072812846,-0.1323139436331433,0.9490688259109312,-0.0623235791523601,0.0477925950467986,-0.1411448140900195,-0.0509311740890689,0.3009607253180847,0.0463576158940397,0.055944055944056,-0.062111801242236,-0.2256410256410256,-0.2809523809523809,-0.2775119617224879,-0.421455938697318,-0.4548736462093863,-0.4568345323741006,-0.4078431372549019,-0.421455938697318,-0.4509090909090909,-0.421455938697318,-0.5623188405797102,-0.5951742627345844,-0.5851648351648352,-0.5532544378698225,-0.5951742627345844,-0.5648414985590778,-0.5648414985590778,-0.5571847507331378,-0.5623188405797102,-0.6098191214470284,-0.5758426966292135,-0.5635838150289016,-0.5685714285714285,-0.5465465465465466,-0.5424242424242425,-0.5424242424242425,-0.5673352435530086,-0.5492537313432836,-0.5770308123249299,-0.8402116402116402,-0.8297632468996617,-0.8291855203619909,-0.8278221208665906,-0.813810110974106,-0.816747572815534,-0.8031290743155151,-0.8013157894736842,-0.7861189801699717,-0.7861189801699717,-0.7849002849002849,-0.7712121212121212,-0.7902777777777777,-0.8020969855832241,-0.7894002789400278,-0.7798833819241983,-0.7568438003220612
BDAJ_H9-L,14.0,-0.0608196721311475,0.1949729446674812,0.0106613359986673,1.1639667781872198,7.021289194119165e-06,-39.900000000000006,-0.045581735181532,-0.0473721479995888,0.022536023054755,0.0338028169014084,0.1464365256124721,-0.6691729323308271,-0.1898723476202463,1.0131388087473601e-07,-0.0138749999999999,0.0481967213114754,-0.07380073800738,0.1855490756341793,-0.0792482319384206,-0.1449125941665056,-0.1404764001408945,-6.849833560726652,0.0335263354501307,-0.2715582450832072,-0.0228293413173651,1.63977054980008,0.2363636363636363,-0.0677966101694914,-0.236111111111111,-0.2763157894736842,-0.2567567567567567,-0.2948717948717948,-0.375,-0.4210526315789473,-0.4329896907216494,-0.4148936170212765,-0.4021739130434782,-0.3956043956043955,-0.4954128440366973,-0.4329896907216494,-0.6625766871165644,-0.6783625730994152,-0.6726190476190476,-0.6961325966850829,-0.7263681592039801,-0.7193877551020408,-0.7330097087378641,-0.8184818481848184,-0.8275862068965517,-0.8307692307692307,-0.8533333333333333,-0.8424068767908309,-0.8323170731707317,-0.8253968253968254,-0.7955390334572491,-0.8,-0.8083623693379791,-0.8264984227129337,-0.8338368580060422,-0.8424068767908309,-0.8521505376344086,-0.8705882352941177,-0.8744292237442922,-0.868421052631579,-0.868421052631579,-0.8596938775510203,-0.8497267759562841,-0.8548812664907651,-0.8529411764705882,-0.8472222222222222,-0.8578811369509044,-0.8578811369509044,-0.8529411764705882,-0.8501362397820164,-0.8696682464454977
BFRL_28-L,20.0,0.2141241032664049,0.0279487963599792,-0.0311007562740224,0.3264922900667127,0.0001504914629804,-47.8835,0.8465300747884278,-0.8872452805586462,-0.0094418224522703,-0.1564851335313518,0.0260331431746124,-0.1911727640818946,0.0243635660828164,3.198485949429141e-08,0.2576822655151637,-0.0074911584460462,0.371532939029658,0.1077302623133365,0.3932315776719847,-0.1946526624718143,1.1946526624718143,0.1946526624718143,-0.0127913272457157,-0.0685794865431795,0.1946526624718143,1.63977054980008,0.0917647058823529,-0.494047619047619,-0.5017584994138335,-0.6355060034305318,-0.6278458844133099,-0.8209018120522545,-0.7919725893294175,-0.8410026187803965,-0.8178311187312473,-0.7888723298559364,-0.784919028340081,-0.773936170212766,-0.752906976744186,-0.7473246135552913,-0.7654525386313467,-0.75769669327252,-0.7817154596815614,-0.8045977011494253,-0.8432890855457227,-0.8377243222604047,-0.8367268536304264,-0.8429996305873662,-0.8402255639097744,-0.8417132216014898,-0.8421834385443743,-0.8413587159387831,-0.8369773686229383,-0.829454253611557,-0.8321484992101106,-0.8322809786898184,-0.8255336617405583,-0.84472049689441,-0.8398643556895252,-0.8357170467723232,-0.8363496341933,-0.8349514563106796,-0.8364126250962278,-0.6013133208255159,-0.6013133208255159,-0.6013133208255159,-0.6013133208255159,-0.6013133208255159,-0.6013133208255159,-0.6013133208255159,-0.6013133208255159,-0.6013133208255159,-0.6013133208255159,-0.6013133208255159,-0.6013133208255159
BJJT_37-L,19.0,-0.0554049516893194,0.1483317206742889,0.004992968124407,0.0124176082354458,4.8433091982564254e-05,22.45,-0.1827915358798231,0.0573493438560111,-0.0008970112033349,0.0220412074748442,0.5819672131147541,0.1480225988700565,0.050978874973222,4.414462006418527e-08,-0.0556414219474498,0.0002984443587798,-0.0666610291869669,0.5964180893808937,0.1004470938897167,0.291469681397739,-0.291469681397739,-0.291469681397739,0.001435045800014,0.0482588134135855,-0.291469681397739,-2.407114741509805,-0.0729166666666666,0.0847457627118644,-0.1272727272727274,-0.1504424778761061,-0.072463768115942,-0.1111111111111111,-0.2440944881889764,-0.2992700729927008,-0.2992700729927008,-0.2558139534883721,-0.2671755725190841,-0.3043478260869565,-0.3578595317725753,-0.488,-0.488,-0.5175879396984925,-0.5596330275229358,-0.5471698113207548,-0.564625850340136,-0.5826086956521739,-0.5714285714285715,-0.5714285714285715,-0.5545243619489559,-0.5534883720930233,-0.5247524752475248,-0.5339805825242718,-0.4560906515580736,-0.4385964912280702,-0.4146341463414634,-0.4216867469879518,-0.4146341463414634,-0.4710743801652892,-0.4181818181818182,-0.3981191222570532,-0.3513513513513513,-0.2835820895522388,-0.2671755725190841,-0.2258064516129032,-0.25,-0.2319999999999999,-0.2033195020746888,-0.1794871794871795,-0.1272727272727274,-0.1028037383177571,-0.1794871794871795,-0.2131147540983606,-0.142857142857143,-0.0943396226415095,-0.0447761194029849
BLNT_37-L^D19,12.0,0.3388293193823754,0.0585209601531141,0.1116519363581363,0.6263013746685387,0.0001227020354973,-2.141,0.3285170103173485,-0.054304753045491,-0.0018174173051766,0.0209658201863309,0.4912249283667621,0.0358686730506155,0.0279617061792691,1.1318323491168777e-07,0.1,0.016106645516526,0.454621978298508,0.6498746733157008,-0.0015159740930424,-0.0051699077025235,0.1249337605269808,0.1494409878594382,0.0139315100121741,0.055428664484233,0.1249337605269808,0.7212196073368858,-0.124,0.1210762331838564,0.1820330969267138,0.1111111111111111,0.2376237623762376,0.278772378516624,0.3123359580052494,0.3333333333333332,0.3333333333333332,0.3888888888888888,0.4492753623188406,0.5060240963855422,0.4792899408284023,0.3661202185792349,0.3404825737265415,0.2820512820512821,0.3368983957219251,0.2077294685990338,0.0869565217391306,0.1655011655011655,0.1111111111111111,0.1737089201877935,0.2594458438287153,0.1904761904761904,0.2254901960784314,0.2106537530266343,0.2755102040816326,0.2690355329949239,0.400560224089636,0.25,0.4124293785310735,0.3089005235602096,0.36986301369863,0.0504201680672269,0.098901098901099,0.0020040080160319,0.0395010395010395,0.0683760683760683,0.1600928074245939,0.2437810945273633,0.2285012285012284,0.3192612137203166,0.4084507042253522,0.4619883040935673,0.2987012987012987,0.3440860215053762,0.2987012987012987,0.3440860215053762,0.3888888888888888
BLNV_40-L^F19,11.0,-0.0787389577542044,0.0130362964572918,-0.6460188564838484,-0.3319118893056174,0.0254202269336289,-25.9205,-0.4927755154760226,0.0764777024713314,-0.0059353576986163,-225.3,0.2062084257206208,-0.141199882757663,-0.0837705377393881,1.6780111064752506e-10,-0.1499999999999999,0.0010868718743968,0.3775723654454997,0.0949912637769629,-0.0510204081632652,1.5059518141129415,-1.4961798271422575,-1.5059518141129415,-0.0713776425274175,-0.0872148374348841,-1.5059518141129415,1.63977054980008,0.0625,-0.0545454545454545,-0.3333333333333333,-0.1034482758620688,-0.0234741784037557,-0.2544802867383512,-0.3791044776119403,-0.3846153846153846,-0.4057142857142857,-0.3772455089820359,-0.3459119496855346,-0.388235294117647,-0.2571428571428571,-0.3846153846153846,-0.36,-0.4057142857142857,-0.4206128133704735,-0.5105882352941176,-0.5325842696629213,-0.5555555555555556,-0.5639412997903563,-0.5621052631578947,-0.5755102040816327,-0.59375,-0.584,-0.584,-0.5953307392996108,-0.5478260869565217,-0.5666666666666667,-0.5377777777777777,-0.48,-0.5251141552511416,-0.5218390804597701,-0.5428571428571428,-0.4926829268292683,-0.5035799522673031,-0.5218390804597701,-0.462532299741602,-0.5229357798165137,-0.4838709677419355,-0.4812967581047381,-0.4666666666666667,-0.4124293785310734,-0.4173669467787114,-0.4408602150537635,-0.48,-0.4987951807228916,-0.4597402597402598,-0.388235294117647
BPVK_29-L,13.0,0.348190861322737,0.0935250252455561,0.2916555572003477,0.8901375466053828,0.0005066529204625,230.41240000000005,1.0932550038211972,0.0063538424436934,0.0043296349742433,0.0434013779132708,0.264943908440431,0.4880418554056397,0.1238813184025536,0.0001787763424487,0.3327848998641224,0.0730528615479188,0.2850424294822248,28.381537477063,0.3487757862928786,0.025470457800515,0.4104796466289554,-0.0553167018068139,0.0321325835903465,0.0959149140332671,0.4774647382742412,0.6856342424792178,0.1599173553719008,-0.1050295857988166,-0.0423426988523941,-0.1154970760233918,-0.0069757899056217,0.136150234741784,0.110091743119266,0.1507370423204943,0.2015888778550147,0.2886048988285408,0.1606714628297361,0.1182994454713493,0.0558464223385688,0.0386266094420599,-0.0222222222222222,-0.0049342105263158,-0.0434782608695653,-0.0895410082768999,-0.0980245993291092,-0.1079985256173977,-0.1096394407652685,-0.1387900355871887,-0.1663796073027902,-0.1180758017492712,-0.162629757785467,-0.232233502538071,-0.2743628185907046,-0.2954876273653567,-0.2519319938176199,-0.2585784313725491,-0.1550279329608939,-0.2013201320132013,-0.1675266597867217,-0.0861027190332326,-0.1148500365764447,-0.1445740544361965,-0.1017074981440238,-0.0449881610102604,-0.0888554216867469,-0.0546875000000001,-0.0543180930050801,0.0471657291215923,0.0276008492569002,0.0609381850065759,0.1534795042897998,0.1668273866923819,0.1944718657453108,0.2811011116993116,0.1651420317766008
BQMM_18-L^C11,6.0,0.2513365883076066,0.8801471746726106,-2.9447004608294933,0.102590630930959,0.0006067236024844,0.2915,0.6570340206346967,-1.4760329153693177,-0.0001391675461282,0.0199999999999999,0.6774193548387096,0.256197748030735,0.0012157052635916,7.312209857689098e-13,0.1999999999999999,0.0039662750646549,0.1348379629629628,0.0013507245168412,0.8967741935483869,0.2495854506552553,-0.2495854506552553,-0.2495854506552553,0.042052164484307,0.0440434015133747,-0.2495854506552553,1.63977054980008,-0.25,0.0,0.0,0.0,0.0,-0.2,-0.3333333333333332,0.0,-0.2,0.0,-0.3333333333333332,-0.2,-0.2,-0.3333333333333332,-0.2,-0.2,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,0.0,-0.2,-0.2,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,-0.6666666666666666
