firms,absacc,acc,age,agr,cashdebt,chpmia,currat,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.0610699659324542,-0.0610699659324542,17.0,0.108957485284979,0.0713249361852815,-0.0072293001873907,1.2764034021871205,-0.0383347073371804,-0.0381331382202103,1.3793557883837325e-08,0.0390026602244084,0.1923271837227607,0.2126513098545669,-0.8564332681103394,-0.0834184046636541,-0.0319019746861747,-0.0730397554368885,-5.566083283041642,0.9553705953827462,2.976226980032828,0.0772600557546794,0.0824742268041238,0.0104166666666667,0.1975308641975308,0.1022727272727272,0.1686746987951808,0.2435897435897436,0.564516129032258,0.4696969696969695,0.6166666666666667,0.564516129032258,0.7636363636363634,0.732142857142857,0.94,0.8653846153846152,1.0208333333333337,1.0208333333333337,1.2045454545454546,1.108695652173913,1.0208333333333337,0.94,1.0208333333333337,1.0208333333333337,0.6440677966101696,0.6724137931034484,0.9019607843137254,0.94,1.108695652173913,1.0638297872340423,0.8653846153846152,1.3658536585365852,1.3095238095238098,1.552631578947368,1.852941176470588,2.344827586206897,2.03125,2.344827586206897,2.129032258064516,1.4871794871794872,1.852941176470588,2.7307692307692304,1.852941176470588,1.939393939393939,1.6944444444444446,1.0638297872340423,0.94,0.94,0.9019607843137254,0.732142857142857,0.3661971830985915
BBOU_00-L,0.0362985685071574,-0.0362985685071574,17.0,-0.0564939673527324,0.1591366757887127,0.0307069323488681,1.2053307008884502,-0.0138136511375948,-0.0050314782354659,2.2939457840307585e-05,0.0151171043293115,-0.045119612395276,19.729235171459496,-0.311083976780541,0.1948640439239559,0.0929882301440661,-0.3132309420461684,-0.3759455370650529,0.6290720631786771,4.450396825396825,-0.2431672477786525,0.00355871886121,-0.0058962264150944,0.0120048019207683,0.0156626506024095,0.0472049689440992,0.0766283524904214,0.0230582524271845,0.0617128463476068,0.0891472868217053,0.1121372031662268,0.1330645161290322,0.1563786008230452,0.1345895020188425,0.1485013623978202,0.1453804347826086,0.2112068965517242,0.2324561403508771,0.2306569343065694,0.1516393442622949,0.180672268907563,0.1150793650793651,0.1940509915014163,0.1180371352785145,0.1708333333333331,0.146938775510204,0.1453804347826086,0.2077363896848136,0.2889908256880733,0.2470414201183433,0.3296529968454258,0.3090062111801241,0.2811550151975683,0.2342606149341142,0.2850609756097562,0.3296529968454258,0.3090062111801241,0.2488888888888889,0.2831050228310501,0.1547945205479453,0.0563909774436088,0.0752551020408163,0.1438263229308005,-0.0094007050528789,-0.019767441860465,-0.0685082872928177,-0.0816993464052288,-0.0310344827586206,-0.0058962264150944,0.0738853503184713
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,0.8404976112307422,1.8613333333333333,0.8411764705882353,0.1253396739130146,1.787536764542382e-07,0.2216981132075471,-0.108730583824317,0.0018557088102026,-0.6400320588890368,-0.2328427255985267,-0.2464646464646464,0.6064997804128239,-2.256756756756757,1.8,2.311284046692607,0.2272727272727272,0.0,0.0,0.0,-0.0238095238095238,-0.127659574468085,-0.088888888888889,-0.0238095238095238,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.1081081081081081,0.0249999999999999,0.0789473684210526,-0.088888888888889,0.0249999999999999,0.1714285714285714,0.1714285714285714,0.1714285714285714,0.1714285714285714,-0.088888888888889,0.1714285714285714,0.1714285714285714,-0.088888888888889,0.1714285714285714,0.1714285714285714,0.0249999999999999,0.0249999999999999,-0.088888888888889,0.1714285714285714,0.1714285714285714,0.0249999999999999,0.0249999999999999,0.0249999999999999,-0.18,-0.2545454545454546,-0.18,-0.0238095238095238,0.1081081081081081,0.1081081081081081,0.0249999999999999,0.5769230769230769,0.5769230769230769,0.2058823529411764,0.2058823529411764,0.2058823529411764,0.2058823529411764,0.2058823529411764,-0.0238095238095238,-0.0238095238095238
BBTU_63-L^C18,0.0425212985978027,-0.0425212985978027,17.0,0.0649622881770987,0.0865919715070119,-0.0037485448603166,1.7423959218351743,0.0162668548134211,-0.1480181393847981,6.702842664477109e-05,-0.6129885395239495,0.1137076537013801,4.772847620678321,0.1263421398143512,0.978720885946152,1.0153209678917725,0.8184563428692277,-1.1422018348623857,1.7423959218351743,374.671009771987,-0.0328753762591016,0.0079817559863171,0.0813810110974107,0.0643203883495144,0.1434159061277704,0.1539473684210526,0.2422096317280453,0.2422096317280453,0.2492877492877492,0.3287878787878788,0.2180555555555554,0.1494102228047182,0.2231520223152021,0.2784256559766762,0.4122383252818034,0.392063492063492,0.2973372781065089,0.3964968152866241,0.392063492063492,0.343032159264931,0.3533950617283949,0.4616666666666666,0.5974499089253187,0.588768115942029,0.6062271062271061,0.6180811808118081,0.6865384615384613,0.8541226215644817,0.997722095671982,0.8347280334728031,0.8424369747899159,0.9752252252252248,1.0068649885583525,1.363881401617251,1.6336336336336332,1.3961748633879778,1.2603092783505154,1.1761786600496276,1.0160919540229885,1.0781990521327014,1.3078947368421052,0.8739316239316239,0.9190371991247264,0.6484962406015036,0.4814189189189188,0.4330065359477124,0.459234608985025,0.621072088724584,0.7297830374753449,0.7229862475442044
BBXK_89-L^E06,0.169506349628283,-0.169506349628283,17.0,-0.4191484458662618,0.197405228682929,0.0056779886786702,0.6495772900023269,-0.8076484741040901,-0.0212997659083662,3.195763760442862e-05,-0.022352957124073,-0.2355223334890618,6.699962177916692,-1.504500851292638,-0.6836133044405258,-0.7903832560889411,0.9256939167437414,-1.6838160136286202,0.3861009850306368,100.91867852604828,-0.0432692886827681,-0.0227743271221533,0.1077981651376145,0.2227848101265821,0.3305785123966942,0.4247787610619469,0.3999999999999999,0.3959537572254334,0.5141065830721003,0.5,0.4636363636363638,0.4375,0.4081632653061224,0.4725609756097562,0.5188679245283019,0.3879310344827587,0.4725609756097562,0.4289940828402367,0.4592145015105739,0.4040697674418605,0.3800000000000001,0.8295454545454546,0.7822878228782288,0.688811188811189,0.872093023255814,0.7500000000000002,0.8505747126436782,0.7563636363636363,0.6262626262626261,0.6484641638225255,0.654109589041096,0.6317567567567568,0.7500000000000002,0.7955390334572492,0.775735294117647,0.6484641638225255,0.6484641638225255,0.6046511627906979,0.5,0.3342541436464088,0.563106796116505,0.48159509202454,0.5382165605095541,0.3232876712328767,0.3342541436464088,0.2914438502673797,0.3125,0.0592105263157896,0.0927601809954752,0.1311475409836067
BCPS_48-L^C06,0.2001199580146948,-0.2001199580146948,16.0,-0.2266599303321189,0.0361847473829008,-0.0971417610229859,1.3977200759974666,-0.2767315671879988,-0.2550907182485772,2.9120533320563634e-06,-0.106336586273832,-0.2145116976105235,3.3326193790851075,-1.969657956382042,-0.0473296715654651,-0.040028919523193,0.1472381302448613,-2.6660007990411505,1.329322355921469,6.681995540691193,0.0464862505456132,0.1652360515021458,0.0519187358916479,0.1148325358851676,0.3910447761194029,0.45625,0.4746835443037975,0.4935897435897436,0.4746835443037975,0.7388059701492538,0.6124567474048443,0.484076433121019,0.5080906148867315,0.563758389261745,0.5481727574750832,0.7388059701492538,0.7923076923076924,0.9098360655737704,1.1181818181818182,1.034934497816594,1.1775700934579438,1.1574074074074074,1.0803571428571428,1.0173160173160172,0.9914529914529916,1.0260869565217394,0.8790322580645162,0.6524822695035462,0.856573705179283,0.7992277992277994,1.034934497816594,0.9914529914529916,0.9579831932773112,1.33,1.69364161849711,1.9308176100628929,1.8414634146341464,1.8414634146341464,1.518918918918919,1.5326086956521738,1.7251461988304095,1.0619469026548676,1.2085308056872042,0.9098360655737704,0.7323420074349443,0.6702508960573477,0.8790322580645162,1.2403846153846154,1.0619469026548676,0.9579831932773112
BCQE_67-L^A14,0.1957726957726957,-0.1957726957726957,17.0,-0.1951219512195122,-0.1129668994837534,-0.0596610749864767,2.072480181200453,0.371002132196162,-0.1514206514206311,4.328522940159119e-06,-0.1316447779862414,-0.1193603655054254,1.017933473926046,-1.718846489215985,0.1392047202584966,0.1932191138216297,-0.0867279520787616,-1.1945031712473573,1.77123442808607,3.5777233782129745,-0.2487792341300436,0.1898148148148146,0.0,0.3416149068322982,0.2342857142857144,0.2342857142857144,0.3935483870967742,0.75609756097561,0.5766423357664234,0.4496644295302014,0.1739130434782609,0.0693069306930693,-0.0526315789473682,0.1933701657458564,-0.0136986301369862,0.1933701657458564,0.5766423357664234,0.2781065088757397,0.1739130434782609,0.0588235294117647,0.1550802139037432,-0.0526315789473682,-0.0399999999999999,-0.1595330739299609,-0.2751677852348992,0.0140845070422537,-0.1183673469387754,-0.4130434782608695,-0.3271028037383177,-0.4757281553398058,-0.3032258064516129,-0.0769230769230767,0.0,0.3170731707317074,0.8461538461538465,0.2134831460674158,-0.6476345840130505,-0.6493506493506493,-0.7209302325581395,-0.7041095890410959,-0.6892086330935252,-0.7517241379310344,-0.7230769230769231,-0.7944814462416746,-0.8255250403877221,-0.8292490118577075,-0.8509316770186335,-0.8145922746781116,-0.840590405904059,-0.8449389806173726
BCZB_W7-L^G07,0.0722811944983685,-0.0722811944983685,17.0,-0.0774239656952275,0.0734536967117457,-0.0147329056246551,0.8473611928585443,-0.1430250783699059,-0.1477840650943786,0.0001202904094424,-0.0822679266259032,-0.0336123110151187,4.238083756708715,-0.8901056350117375,0.0251921115077726,0.0960331411917105,-0.1216512486991885,-14.344262295081966,0.7376888365705316,5.656754772393539,-0.101044279796978,-0.0285714285714285,0.0899653979238752,0.1371841155234656,0.1209964412811388,0.1130742049469963,0.125,0.1013986013986014,0.1013986013986014,0.1170212765957448,0.0750853242320819,0.0975609756097559,0.1013986013986014,0.1666666666666665,0.2068965517241379,0.1797752808988764,0.2401574803149606,0.2209302325581394,0.1797752808988764,0.0260586319218241,0.0194174757281553,-0.009433962264151,0.0465116279069768,-0.0922190201729107,-0.0186915887850467,-0.1176470588235294,-0.0762463343108504,-0.0652818991097923,0.003184713375796,-0.009433962264151,0.0430463576158939,0.0862068965517242,0.0194174757281553,0.1496350364963503,0.25,0.1842105263157893,0.1209964412811388,-0.0125391849529781,-0.0735294117647058,-0.0063091482649841,0.0227272727272727,-0.1225626740947075,-0.0869565217391304,-0.2446043165467626,-0.2691415313225057,-0.3122270742358078,-0.3107221006564552,-0.3326271186440678,-0.2953020134228188,-0.2464114832535885
BDAJ_H9-L,0.0517990074441687,-0.0517990074441687,11.0,-0.121102628358296,0.0797364834166288,0.0892125701945395,1.8260312580066616,-0.6140394088669952,-0.057816377171212,3.326394627991852e-07,-0.2714610408531966,0.0298186289578849,1.3630166587380452,-0.7834566099005856,0.0292739858373711,0.0657542171861183,0.3349488353125776,-1.8806306306306304,1.741480912118883,40.71859296482412,-0.5851635693441868,-0.1247058823529411,-0.0296803652968036,0.0167464114832536,0.0167464114832536,0.0841836734693877,0.1612021857923495,0.121372031662269,0.1363636363636362,0.1805555555555555,0.0981912144702841,0.0981912144702841,0.1363636363636362,0.1580381471389647,0.0071090047393365,0.0651629072681703,0.0786802030456852,0.0732323232323233,0.0365853658536585,0.0167464114832536,-0.011627906976744,-0.0384615384615384,-0.0860215053763441,-0.0384615384615384,-0.0296803652968036,0.0953608247422681,0.0442260442260442,0.0732323232323233,0.1580381471389647,0.0732323232323233,0.0545905707196028,0.2212643678160919,0.2108262108262109,0.2648809523809523,0.283987915407855,0.303680981595092,0.2957317073170733,0.1486486486486486,0.0925449871465295,0.0240963855421685,0.2536873156342183,0.1580381471389647,0.32398753894081,0.1548913043478259,0.070528967254408,0.1125654450261781,0.0442260442260442,0.2212643678160919,0.2142857142857142,0.3322884012539184
BDCK_44-L^L08,0.0467741935483871,-0.0467741935483871,17.0,0.0097244732576986,0.0934376358105171,0.0132481226922963,1.351288056206089,-0.1245858184227966,-0.1793010752688137,1.320302925698005e-07,-0.1291193949216639,0.1042524005486969,0.0002332508687035,-1.2474873843596102,0.1693520878062482,0.1697962014619087,0.1638733048351086,-2.9,1.3427010148321623,7.878086419753087,-0.004291008386971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295
BLNT_37-L^D19,0.0120107949664957,-0.0120107949664957,9.0,-0.6177644900768441,0.0454600878326013,-0.0048752845527592,1.083281420174513,1.8328409415801008,0.0633397897501642,1.2651564854714772e-07,-0.007020509318207,-0.6761406644718242,0.7818597686916067,-1.1997352017911411,0.0740910267047254,0.0740910267047254,0.9818000046353283,-0.3703557234097245,1.083281420174513,3.381981713713362,0.0675785956606821,-0.0881763527054109,0.0374220374220375,0.0662393162393164,0.1577726218097448,0.2412935323383087,0.2260442260442259,0.316622691292876,0.4056338028169015,0.4590643274853803,0.2961038961038962,0.3413978494623655,0.2961038961038962,0.3413978494623655,0.386111111111111,0.0639658848614073,0.1658878504672896,0.1768867924528301,0.106430155210643,0.196642685851319,0.0708154506437768,-0.0099206349206348,-0.025390625,-0.0724907063197025,-0.1627516778523489,-0.0549242424242424,-0.0759259259259259,-0.1199294532627865,-0.1120996441281139,-0.1291448516579406,-0.1152482269503545,-0.1627516778523489,-0.1899350649350649,-0.1245614035087718,-0.1120996441281139,-0.1792763157894736,-0.1710963455149501,-0.2529940119760479,-0.2462235649546827,-0.2650957290132547,-0.1683333333333333,-0.1899350649350649,-0.1872964169381107,-0.2154088050314465,-0.2618343195266271,-0.2507507507507507,-0.1724709784411277,-0.1655518394648829,-0.2003205128205127,-0.1899350649350649
BPVK_29-L,0.0853286066418096,-0.0853286066418096,10.0,0.0844873144496398,0.5640792719789613,0.0142615793841693,2.013452286244554,0.0546838069963324,-0.0684855073353541,9.860622054702716e-05,-0.0248487269300211,0.1236072528518005,35.13997179655076,-0.4850320058470075,0.0850890285762865,0.1522337820640559,0.0895368718165221,-0.4328516772662373,1.6908905029288448,5.547834033248784,0.250111124988107,-0.0335807705903146,0.0501113585746102,0.1164167324388318,0.0651355421686747,0.1050781249999999,0.1055099648300117,0.2241453916053657,0.2012738853503184,0.2402455063568611,0.3484270734032411,0.3640308582449374,0.3963474827245803,0.4976177871889888,0.3620606644198363,0.26125724476148,0.2353711790393013,0.1072407045009784,0.1472019464720193,0.1532816958825926,0.1150965707528577,0.0728100113765641,0.1102825745682887,0.0889145496535797,0.0752565564424172,0.055597014925373,0.0627347858752815,0.0220375722543353,0.0977881257275901,0.130695443645084,0.1641975308641974,0.1936708860759493,0.1248508946322068,0.1499999999999999,0.276624548736462,0.3555342597029227,0.3542364767831498,0.2743243243243243,0.1641975308641974,0.2523240371845949,0.4144999999999998,0.4984110169491527,0.2595725734639358,0.055597014925373,-0.0588822355289421,-0.1137218045112782,-0.1887008890163464,-0.2195862068965517,-0.1507054938456921,-0.0868302130406714
BUBP_92-L^K18,0.192997438087105,-0.192997438087105,9.0,-0.0186125211505922,0.273552290406223,0.0130182098648301,1.1604743083003952,-1.3777777777777778,-0.067463706233973,8.301624787427556e-06,0.016497461928934,0.0351802990325417,7.443364923008856,2.436216304963152,-0.1160449604743083,-0.1013879952201489,-0.1118801170309542,-1.0635294117647058,0.891699604743083,18.65437788018433,0.1072210065645514,0.0120967741935482,-0.0139165009940358,-0.0498084291187739,-0.1063063063063063,-0.1267605633802816,-0.0831792975970425,-0.0641509433962264,-0.0746268656716419,-0.0814814814814816,-0.1328671328671328,-0.1343804537521815,-0.1328671328671328,-0.1174377224199288,-0.1174377224199288,-0.0293542074363992,0.0247933884297519,0.0226804123711341,-0.1788079470198675,-0.1974110032362459,-0.1733333333333333,-0.2552552552552553,-0.2608047690014903,-0.3168044077134986,-0.3421750663129973,-0.2944523470839261,-0.2640949554896142,-0.253012048192771,-0.1921824104234527,-0.2619047619047618,-0.2954545454545454,-0.2427480916030534,-0.2597014925373134,-0.2262090483619344,-0.2164296998420221,-0.2298136645962734,-0.1855500821018062,-0.2237871674491393,-0.228615863141524,-0.1373913043478261,-0.0498084291187739,-0.1733333333333333,-0.1063063063063063,-0.2369230769230769,-0.3251700680272108,-0.3583441138421733,-0.4038461538461538,-0.309192200557103,-0.2274143302180685,-0.3439153439153438
BWQW_65-L^I10,0.0322471577701703,-0.0322471577701703,4.0,0.1970379311945773,0.2137933423395337,0.0013048186733853,2.321775820950284,0.4819357716324711,0.0701153797388099,5.130877244709758e-06,0.1095686893541947,0.1768209923088523,2.037277685204637,-0.6075959342752301,0.0172181310718359,-0.0283929435221539,-0.0497276206324903,-0.4022140221402215,1.505962208769033,5.780926430517711,0.0678119652383987,0.08,0.0416666666666667,0.102941176470588,0.0309278350515462,0.0489510489510489,0.0948905109489051,0.1278195488721805,0.1070110701107012,0.2244897959183671,0.1320754716981131,0.0714285714285714,0.0869565217391306,0.1811023622047243,0.2048192771084336,0.1811023622047243,0.1194029850746267,0.149425287356322,0.1904761904761904,0.102941176470588,0.149425287356322,0.1111111111111109,0.1320754716981131,0.1194029850746267,0.1450381679389312,0.1194029850746267,0.0948905109489051,0.075268817204301,0.1999999999999999,0.1235955056179776,0.1904761904761904,0.3274336283185841,0.2396694214876034,0.4285714285714286,0.6949152542372881,0.5625,0.5625,0.5789473684210527,0.3761467889908256,0.5151515151515151,0.3274336283185841,0.2345679012345678,0.3513513513513513,0.1999999999999999,0.1450381679389312,0.1363636363636362,0.1583011583011584,0.2295081967213115,0.4925373134328359,0.4150943396226414
