firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.3005653266331658,-0.3005653266331658,13.0,-0.1213491985445963,0.0375211167422423,0.1723543009317627,0.8242764323685765,0.1571864345953705,-0.0377122877122876,-0.1292922948073685,3.248993266296119e-06,-0.1987412724948372,-0.175669099756691,-0.4739632616716216,-0.0294151014954681,0.0883395627256124,0.0709174309561074,-4.317293233082707,0.4232132309509746,0.1654998278434523,-0.0283804627249357,-0.0461538461538461,0.1504424778761062,0.2956810631229236,0.5175097276264593,0.5,0.5116279069767442,0.5725806451612903,1.1311475409836065,0.5789473684210524,0.5476190476190477,0.368421052631579,0.4130434782608696,0.598360655737705,1.2674418604651163,1.254335260115607,1.6530612244897958,3.875,3.193548387096774,7.125,7.863636363636363,7.863636363636363,8.512195121951219,8.069767441860465,6.959183673469388,8.75,6.647058823529411,6.222222222222221,6.358490566037736,3.382022471910112,3.382022471910112,1.5324675324675323,1.2674418604651163,0.6956521739130437,0.6317991631799162,0.8396226415094339,0.6115702479338843,0.392857142857143,0.857142857142857,0.7647058823529411,1.3214285714285716,1.2033898305084745,0.3541666666666667,0.5294117647058825,0.6386554621848739,0.2264150943396226,0.0773480662983425,-0.0602409638554217,-0.1594827586206896,-0.1841004184100418
BALZ_07-L^I10,0.1110332982731763,-0.1110332982731763,14.0,-0.1812127992406081,-0.1180840664711632,-0.9418243536230402,1.4047322369952484,0.4369120287253141,-0.2502783995680588,-0.0500978577800263,2.0015090025541898e-08,-0.000542422789506,-0.129401258717469,-1.6958908084588695,-0.1220215991581263,-0.1689306507789129,-0.0346581856858692,-1.0932878867330886,0.9972203584779066,-0.1326859056979605,-0.2264079107949389,-0.06,0.0,-0.0196078431372549,-0.1071428571428572,-0.2957746478873239,-0.3421052631578947,-0.0909090909090909,-0.0566037735849057,-0.3055555555555556,-0.3055555555555556,-0.5098039215686274,-0.5098039215686274,-0.5652173913043478,-0.5145631067961165,-0.6710526315789473,-0.7311827956989247,-0.6951219512195121,-0.7282608695652174,-0.7524752475247525,-0.736842105263158,-0.7524752475247525,-0.7340425531914894,-0.7382198952879582,-0.6875,-0.6124031007751938,-0.6062992125984252,-0.6753246753246753,-0.5535714285714286,-0.4897959183673469,-0.4897959183673469,-0.3827160493827161,-0.375,-0.4117647058823529,-0.358974358974359,-0.3670886075949368,-0.3243243243243243,-0.2424242424242424,-0.2647058823529412,-0.1379310344827585,-0.1525423728813558,-0.1666666666666666,0.0,0.0869565217391303,0.1904761904761904,0.0869565217391303,0.0416666666666667,0.0416666666666667,-0.0196078431372549,0.1904761904761904
BBOU_00-L,0.0216470588235294,-0.0216470588235294,14.0,0.04883166969147,0.1612550471063257,0.1911465897549492,0.9956539454026893,0.1178781925343811,0.1569307885097358,-0.056636678200692,0.0001157948681937,-0.0619328493647912,0.0082777261593039,0.8902005771813727,-0.0334898029650001,-0.0482722569173726,-0.2121244353380929,-0.2418058132343846,0.6811082439223143,0.079366050666993,-0.120037438577334,-0.0497237569060774,-0.0141612200435728,0.0402298850574713,0.0672169811320755,0.1528662420382167,0.214765100671141,0.2928571428571429,0.2928571428571429,0.3173216885007279,0.2279511533242877,0.1340852130325815,0.1799217731421123,0.2482758620689655,0.2639664804469275,0.2639664804469275,0.3837920489296638,0.2066666666666667,0.2517289073305671,0.3753799392097265,0.4909390444810544,0.568457538994801,0.5549828178694158,0.5033222591362128,0.5739130434782609,0.7403846153846154,0.7920792079207923,0.893305439330544,1.011111111111111,0.8172690763052208,0.6017699115044248,0.4933993399339935,0.4983443708609272,0.4251968503937009,0.4480000000000002,0.3230994152046784,0.3467261904761907,0.2604456824512535,0.3387573964497044,0.3115942028985508,0.2873399715504978,0.3230994152046784,0.4274447949526816,0.3407407407407408,0.6790352504638222,0.4251968503937009,0.2710674157303372,0.25,0.2800565770862802,0.2397260273972603
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,4.376351386036944,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,3.209888980919513e-07,0.2216981132075471,-0.108730583824317,-0.522080609082345,-0.2328427255985267,-0.2464646464646464,0.6064997804128239,-2.256756756756757,1.8,0.0007898894154818,0.2272727272727272,0.0,0.0,0.0,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.15,-0.15,0.4166666666666667,-0.15,-0.15,-0.1052631578947368,-0.0285714285714284,0.1333333333333335,0.3600000000000001,0.2142857142857142,0.2142857142857142,0.2142857142857142,0.3600000000000001,0.3600000000000001,0.7,0.2592592592592593,0.5454545454545456,0.0625,1.125,1.125,0.5454545454545456,-0.15,-0.15,-0.15,-0.0555555555555554,0.0,0.1724137931034484,0.1724137931034484,0.2142857142857142,0.1724137931034484,0.3076923076923077,0.5454545454545456,0.5454545454545456,0.4782608695652175,0.4782608695652175,0.3076923076923077,0.2142857142857142,0.0967741935483872,0.0,-0.1282051282051282,-0.1282051282051282
BBTU_63-L^C18,0.0619098767326479,-0.0619098767326479,13.0,0.0745087220406604,0.1377533193570929,-0.0031750899165665,0.455864342910975,0.0609911504424778,0.0755260420833665,0.0276405298961602,1.575721764378331e-05,-0.016489113365307,0.0730680429172891,-1.6348497351152804,-0.1142927552111657,-0.1122302340207618,-0.0449271221203925,-2.114605171208945,0.4346679227508243,0.0397320535892821,0.0532202960900924,-0.0326797385620915,0.0183028286189683,0.131238447319778,0.2071005917159762,0.2023575638506876,0.2313883299798793,0.4299065420560748,0.3783783783783783,0.0551724137931035,0.0251256281407035,0.0320404721753795,0.047945205479452,0.1417910447761192,0.2313883299798793,0.1027027027027027,0.0533562822719451,0.2142857142857142,0.3104925053533192,0.3246753246753247,0.3104925053533192,0.1679389312977099,0.148217636022514,0.1375464684014871,0.0149253731343284,-0.0584615384615384,-0.0973451327433628,-0.0254777070063694,0.4926829268292685,0.2803347280334727,0.221556886227545,0.3161290322580645,0.2071005917159762,0.047945205479452,0.0268456375838925,0.0082372322899506,-0.0699088145896656,-0.1616438356164383,-0.0986745213549337,-0.1104651162790697,0.1547169811320754,0.0497427101200687,0.0831858407079646,0.1208791208791209,0.2191235059760956,0.0774647887323944,-0.0727272727272726,-0.2020860495436766,-0.241635687732342,-0.2536585365853657
BBXK_89-L^E06,0.1263906056860321,-0.1263906056860321,14.0,-0.065146749161619,0.1127210112972995,0.0747163468933034,2.14798949051862,0.0738199455814503,-0.3366986696516983,-0.1122292685547688,6.021087578234145e-05,-0.1372995034705072,0.3556588840522356,0.1577446776603595,0.2105272664841866,0.277482391539601,0.0046572714950531,-6.148366013071896,1.9621887137308656,0.1461865403616631,0.0073925480144135,-0.0320855614973262,0.0163043478260869,-0.1798245614035086,-0.1538461538461537,-0.1241217798594847,-0.0788177339901476,0.0747126436781608,0.2425249169435217,0.1614906832298137,0.2764505119453924,0.2142857142857144,0.272108843537415,0.1987179487179486,0.1724137931034484,0.3501805054151625,0.4166666666666667,0.7,0.6120689655172415,0.6260869565217393,0.5714285714285716,0.5020080321285141,0.4384615384615384,0.3262411347517733,0.2142857142857144,0.3501805054151625,0.2142857142857144,0.2142857142857144,0.1197604790419162,0.0747126436781608,0.2852233676975946,0.1197604790419162,0.0053763440860215,-0.2159329140461214,-0.1707317073170731,-0.1362586605080831,-0.1887201735357917,-0.2549800796812748,-0.219206680584551,-0.2304526748971194,-0.1220657276995303,-0.2320328542094455,-0.2382892057026476,-0.2943396226415093,-0.2943396226415093,-0.4147104851330203,-0.3848684210526315,-0.4254992319508448,-0.423728813559322,-0.4508076358296622
BCPS_48-L^C06,0.0439181240687005,-0.0439181240687005,13.0,-0.0099882949668357,0.1109114127607245,0.1237864826033982,1.4788245462402767,0.0877246420956442,-0.017326888065792,-0.0191357540585025,5.577228046199828e-06,0.0197424892703862,0.0035061120060646,-1.9792103513624348,0.0098910054219582,0.0093884000111999,-0.1439972222472514,-1.4082145850796313,1.4094332633658475,0.0154449824678577,-0.3722427868769332,-0.03584229390681,0.125,0.3413461538461537,0.2345132743362832,0.1722689075630252,0.1341463414634147,0.3413461538461537,0.55,0.2130434782608696,0.0648854961832061,0.073076923076923,-0.0637583892617449,0.073076923076923,0.08984375,-0.0606060606060606,-0.0699999999999999,-0.1198738170347002,-0.1114649681528662,-0.0141342756183745,-0.5365448504983388,-0.5295109612141653,-0.4775280898876404,-0.5096660808435853,-0.615702479338843,-0.5599369085173501,-0.5746951219512195,-0.6097902097902098,-0.6709905660377359,-0.7299128751210068,-0.695414847161572,-0.6858108108108109,-0.6913716814159292,-0.7251231527093596,-0.7253937007874016,-0.720160481444333,-0.6893095768374164,-0.6913716814159292,-0.6886160714285714,-0.6188524590163935,-0.5798192771084337,-0.6070422535211267,-0.6031294452347085,-0.5759878419452887,-0.460348162475822,-0.5909090909090909,-0.7060063224446786,-0.6843891402714932,-0.6650660264105642,-0.6843891402714932
BCQE_67-L^A14,0.1939937866758715,-0.1939937866758715,14.0,-0.1943405634505111,-0.0745637635483127,-0.5392084015960952,1.195095948827292,0.2534653465346534,-0.8254545454545454,-0.1373835001724995,4.422133799768072e-05,-0.1320119670905011,-0.1244232987312572,-0.4895130459192809,0.296269592111936,0.3738358331984739,0.1339214752597295,-1.6168009205983889,0.90227434257285,0.2698133145473758,-0.1133155284242655,-0.0213438735177865,-0.1269841269841269,0.0858369098712446,-0.066420664206642,-0.0918880114860013,0.048922056384743,0.6979865771812082,1.774122807017544,0.2377690802348335,0.2163461538461537,-0.2008843967150979,-0.2632498543972045,-0.2683632157316367,-0.2023959646910466,-0.3187937533656435,-0.4083255378858745,-0.3079868708971554,-0.3630412890231621,-0.333508956796628,-0.2632498543972045,-0.5867363606664489,-0.5598469032707027,-0.5669291338582677,-0.5411679361624955,-0.6478285077951003,-0.5890188434048083,-0.6143292682926829,-0.6230631704410012,-0.6786893573787147,-0.6369115958668198,-0.6359712230215827,-0.6146816935729515,-0.6769662921348314,-0.6721099015033696,-0.6440630275745638,-0.6200060078101532,-0.6586616297895305,-0.6101694915254238,-0.5855176933158585,-0.5281611339052592,-0.5431563741422896,-0.4843049327354259,-0.5720568335588633,-0.4178554993097101,-0.4843049327354259,-0.6024512884978002,-0.6403184532271823,-0.7116480510599499,-0.6829573934837092
BCZB_W7-L^G07,0.0655844761638212,-0.0655844761638212,14.0,0.0679077843156168,0.1279723303069606,0.0241068972909717,0.7918436703483432,0.0544454097885896,-0.0128283445326817,0.0303199925366172,0.0002679494791685,0.0859457895244525,0.1404775124930594,0.3349392013636121,-0.0768938344321874,-0.0719991875729217,-0.0669603394029281,-1.931318681318681,0.6323279524214104,0.0575112951807228,-0.0047552771978659,-0.0589519650655022,0.0021881838074397,-0.0296610169491524,0.0246085011185683,0.0956937799043062,0.106280193236715,0.0626450116009282,0.1143552311435522,0.0651162790697674,-0.0086580086580086,-0.0894632206759443,-0.0803212851405623,0.0132743362831859,0.011037527593819,0.0528735632183909,0.0983213429256595,0.0088105726872247,0.0223214285714283,0.0155210643015522,0.0751173708920187,0.106280193236715,0.2445652173913042,0.2722222222222221,0.4726688102893892,0.1927083333333334,0.3352769679300291,0.5016393442622953,0.2148541114058355,0.1478696741854637,0.2180851063829787,0.0930787589498804,0.080188679245283,-0.0691056910569105,0.0725995316159251,-0.025531914893617,0.0528735632183909,0.0155210643015522,0.0409090909090907,0.1089588377723971,-0.0633946830265848,-0.1687840290381125,-0.1936619718309858,-0.254071661237785,-0.2942989214175655,-0.2479474548440065,-0.2479474548440065,-0.2648475120385233,-0.1908127208480565,-0.1611721611721611
BDAJ_H9-L,0.0915446941975953,-0.0915446941975953,7.0,-0.0363123115416694,0.2190345119627355,1.0861559310671156,1.8931646932185144,0.1110192837465564,0.0546095126247797,-0.0914793518034479,1.69977175750689e-06,-0.0359273753769166,-0.0849467815509376,-0.7645066979623673,0.0108288257671594,0.0019712117714734,-0.5264359139990071,-1.1092636579572444,1.706404736275565,0.1105798421372191,-0.23781643805063,0.0392670157068064,-0.0614250614250615,0.0977011494252872,0.0914285714285714,0.1974921630094044,0.21656050955414,0.441509433962264,0.5098814229249011,0.2243589743589742,0.1610942249240121,0.3037542662116039,0.2483660130718954,0.4749034749034748,0.4469696969696968,0.4921875,0.6255319148936169,0.5720164609053495,0.5098814229249011,0.5916666666666666,0.6324786324786325,0.6394849785407724,0.6536796536796536,0.8104265402843602,0.9195979899497486,0.8725490196078429,0.8454106280193237,0.7685185185185184,0.8018867924528301,0.4044117647058822,0.3941605839416056,0.4095940959409594,0.2861952861952861,0.0581717451523544,-0.0473815461346632,0.100864553314121,0.1506024096385543,0.0700280112044817,0.2243589743589742,0.1575757575757574,0.3450704225352112,0.1863354037267079,0.2126984126984126,0.0494505494505492,0.256578947368421,0.0052631578947368,-0.1622807017543859,-0.1529933481152993,-0.236,-0.3054545454545455
