firms,age,agr,cashdebt,che,egr,invest,lgr,mve_ia,pchsale_pchinvt,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,22.0,0.1077336848549972,0.1520892771858582,-1.777,-0.0198401701655968,0.0263859907788037,0.2492351128208589,0.4193880059001706,-0.1246270397349758,0.0281747039758588,0.4046511627906977,0.1436170212765957,0.162162162162162,0.1944444444444444,0.2573099415204678,0.3271604938271604,0.2011173184357542,0.4827586206896552,0.4527027027027026,0.396103896103896,0.3782051282051282,0.3190184049079754,0.6796875,0.6538461538461537,0.6538461538461537,0.4930555555555556,0.5808823529411762,0.4625850340136055,0.1197916666666667,-0.1260162601626017,-0.1468253968253968,-0.14,-0.2348754448398576,0.038647342995169,0.096938775510204,0.1944444444444444,0.2146892655367231,0.2146892655367231,0.1878453038674032,0.0238095238095237,0.1944444444444444,0.3694267515923566,0.2797619047619046,0.2647058823529411,0.3437499999999998,0.3694267515923566,0.3271604938271604,0.396103896103896,0.3437499999999998,0.360759493670886,0.4333333333333333,0.5693430656934304,0.6796875,0.9026548672566372,1.0283018867924527,1.1287128712871288,1.1717171717171715,1.1287128712871288,1.0476190476190474
BBOU_00-L,21.0,0.1290946527734448,0.1443180070736583,-136.5,-0.0791881074899942,0.0486054782554439,0.1947350658116773,14.747541973008646,-0.0035088550629081,0.1509270704573547,-0.0071237756010685,0.0265082266910421,0.0644549763033175,0.0359778597785978,0.0798076923076922,0.1118811881188119,0.175916230366492,0.1673596673596675,0.2075268817204301,0.2519509476031214,0.33214709371293,0.3779141104294479,0.4215189873417722,0.396766169154229,0.2273224043715846,0.1685744016649324,0.2689265536723164,0.1377912867274571,0.1710114702815433,0.1118811881188119,0.2790432801822324,0.2491657397107898,0.1482617586912067,0.0787704130643611,0.0614366729678639,0.0871248789932237,0.0881782945736433,0.0398148148148147,0.040778498609824,0.0312213039485766,0.0312213039485766,0.0725883476599809,0.1252505010020039,0.0777351247600768,0.0359778597785978,0.0614366729678639,0.0881782945736433,0.1275100401606426,0.1218781218781219,0.1207584830339323,0.1506147540983606,0.1506147540983606,0.1934112646121148,0.1946808510638298,0.2114347357065804,0.2193268186753527,0.2646396396396395,0.2408839779005525,0.2340659340659341
BBTU_63-L^C18,21.0,-0.1637964321569234,0.1445356277791836,121.4,-0.8158536585365854,-0.0214688392926094,-0.2955819828701707,0.7429401405440078,0.8806415834826381,-0.1193584165173619,-0.025,0.1034482758620689,0.019108280254777,0.1594202898550727,0.1594202898550727,0.28,-0.01840490797546,-0.0243902439024389,0.0457516339869281,0.019108280254777,-0.0804597701149424,-0.1999999999999999,-0.0123456790123457,0.1267605633802817,0.0884353741496599,0.0126582278481013,0.0596026490066226,0.1188811188811189,-0.0062111801242236,-0.1794871794871794,-0.2380952380952381,-0.2344497607655501,-0.3869731800766283,-0.4223826714801444,-0.4244604316546762,-0.372549019607843,-0.3869731800766283,-0.4181818181818181,-0.3869731800766283,-0.536231884057971,-0.5710455764075066,-0.5604395604395604,-0.5266272189349113,-0.5710455764075066,-0.5389048991354467,-0.5389048991354467,-0.530791788856305,-0.536231884057971,-0.58656330749354,-0.550561797752809,-0.5375722543352601,-0.5428571428571428,-0.5195195195195195,-0.5151515151515151,-0.5151515151515151,-0.5415472779369628,-0.5223880597014925,-0.5518207282913166,-0.8306878306878307
BCQE_67-L^A14,22.0,-0.0235525024533856,0.1293800539083558,-25.0,-0.3851717902350813,-0.029440628066732,0.1230329041487839,1.442703782299087,0.0247319636068514,-0.0179509632224168,-0.0208333333333332,0.0773067331670824,0.1220779220779222,0.1550802139037432,0.2134831460674158,0.1739130434782609,0.2033426183844011,0.2705882352941178,0.3130699088145898,0.5319148936170215,0.4594594594594596,0.6744186046511629,1.0,1.360655737704918,1.3867403314917128,0.9907834101382492,1.2736842105263162,1.16,0.6744186046511629,0.2307692307692308,0.2237960339943343,0.3627760252365932,0.08,0.1644204851752022,0.380191693290735,0.3714285714285716,0.411764705882353,0.5211267605633805,0.4163934426229509,0.0536585365853661,0.1191709844559587,0.0188679245283018,-0.0905263157894736,-0.120162932790224,-0.1074380165289254,0.0460048426150121,0.1835616438356164,0.2521739130434783,0.148936170212766,0.2558139534883721,0.3130699088145898,0.505226480836237,0.588235294117647,0.7142857142857144,0.8461538461538465,0.7704918032786887,0.588235294117647,0.5595667870036103,0.570909090909091
BDAJ_H9-L,15.0,-0.1529062663641123,0.1237393328161365,44.0,-8.136363636363638,0.0459067900157095,-0.21375368092846,0.251539695910061,0.0230603317946338,-0.0032554576790502,0.0338983050847458,0.0535714285714283,0.2826086956521738,0.4216867469879517,0.5128205128205128,0.3409090909090908,0.3258426966292134,0.5128205128205128,0.5945945945945945,0.8153846153846152,0.8437499999999998,0.8153846153846152,0.6164383561643836,1.0344827586206895,1.0,0.7352941176470587,1.145454545454545,1.0,0.6388888888888888,0.5526315789473684,0.5945945945945945,0.5128205128205128,0.3409090909090908,0.2421052631578948,0.2164948453608246,0.2553191489361701,0.2826086956521738,0.2967032967032965,0.0825688073394494,0.2164948453608246,-0.2760736196319018,-0.3099415204678363,-0.2976190476190476,-0.3480662983425414,-0.4129353233830846,-0.3979591836734694,-0.4271844660194175,-0.6105610561056105,-0.6300940438871474,-0.6369230769230769,-0.6853333333333333,-0.66189111747851,-0.6402439024390244,-0.6253968253968254,-0.5613382899628253,-0.5709090909090909,-0.5888501742160279,-0.6277602523659307,-0.6435045317220545
BFRL_28-L,21.0,-0.0978789239647906,-0.021940677752744,6.6417,-0.2532720637449499,-0.0502834791009461,-0.0616596210959953,0.1138573973254073,1.19266807039165,0.19266807039165,0.0925925925925925,0.3170731707317074,0.3592677345537758,0.3378378378378377,0.3083700440528636,0.3141592920353984,0.3054945054945057,0.346938775510204,0.3943661971830987,0.3846153846153848,0.3781902552204179,0.3318385650224216,0.2692307692307694,0.3592677345537758,0.32,0.2801724137931036,0.3976470588235294,-0.2928571428571428,-0.3036342321219225,-0.490566037735849,-0.4798598949211908,-0.7496839443742098,-0.7092511013215859,-0.7777777777777778,-0.745392198885555,-0.7049180327868851,-0.6993927125506073,-0.6840425531914893,-0.6546511627906977,-0.6468489892984541,-0.6721854304635762,-0.661345496009122,-0.6949152542372881,-0.7268965517241379,-0.7809734513274336,-0.7731958762886598,-0.7718017671917019,-0.7805688954562247,-0.7766917293233082,-0.7787709497206704,-0.779428147047902,-0.7782754759238522,-0.7721518987341772,-0.761637239165329,-0.7654028436018957,-0.7655880031570639,-0.7561576354679802,-0.782974059188893,-0.7761868877166541
BJJT_37-L,20.0,0.2966239476576951,0.0028794949808802,3.1,0.0625984251968503,5.265825451050866e-05,0.2654423807366624,0.677091565352831,0.2155497534087612,0.2155497534087612,0.0192307692307691,0.0276679841897233,0.015625,0.056910569105691,0.0483870967741935,-0.0038314176245209,-0.0476190476190475,0.1555555555555556,0.3903743315508021,0.3,0.5384615384615385,0.4772727272727273,0.5476190476190477,0.5028901734104048,0.4606741573033708,0.4606741573033708,0.3541666666666667,0.4689265536723164,0.1818181818181816,0.1504424778761064,0.2560386473429954,0.2037037037037037,0.0236220472440944,-0.0510948905109489,-0.0510948905109489,0.0077519379844961,-0.0076335877862595,-0.0579710144927535,-0.1304347826086956,-0.3066666666666666,-0.3066666666666666,-0.3467336683417085,-0.4036697247706422,-0.3867924528301887,-0.4104308390022676,-0.4347826086956521,-0.4196428571428572,-0.4196428571428572,-0.3967517401392111,-0.3953488372093022,-0.3564356435643564,-0.3689320388349514,-0.263456090651558,-0.2397660818713449,-0.2073170731707316,-0.216867469879518,-0.2073170731707316,-0.2837465564738292,-0.212121212121212
BLNT_37-L^D19,13.0,0.0745263601599495,0.1003973775880908,10.773,0.024246586196878,0.0075446298033288,0.0871870404820469,0.6319421968571769,0.1221160919082076,0.1221160919082076,-0.0142348754448399,0.1172962226640159,0.200854700854701,0.1611570247933884,0.3100233100233101,0.2461197339246119,0.1635610766045547,0.1659751037344397,0.2949308755760369,0.3808353808353808,0.3317535545023697,0.2600896860986548,0.338095238095238,0.2657657657657657,0.1932059447983014,0.2831050228310503,0.1240000000000001,0.2600896860986548,0.3286052009456264,0.2488888888888889,0.391089108910891,0.4373401534526853,0.4750656167979004,0.4986666666666666,0.4986666666666666,0.5611111111111111,0.6289855072463768,0.6927710843373496,0.6627218934911243,0.53551912568306,0.5067024128686328,0.441025641025641,0.5026737967914439,0.357487922705314,0.2217391304347826,0.3100233100233101,0.2488888888888889,0.31924882629108,0.415617128463476,0.338095238095238,0.3774509803921568,0.360774818401937,0.4336734693877551,0.4263959390862943,0.5742296918767509,0.405,0.5875706214689265,0.4712041884816755,0.5397260273972604
BLNV_40-L^F19,12.0,-0.2298447561083179,-1.0537296167388812,16.4125,-0.282674690138315,0.0014076328246743,0.0222231342211644,0.0925620725721467,1.1437022645546675,1.201816299642387,0.0,-0.0468227424749164,-0.0952380952380952,-0.0952380952380952,-0.1363636363636362,-0.0499999999999999,-0.0499999999999999,-0.0806451612903226,0.2231759656652361,0.168032786885246,0.1309523809523809,0.1875,0.2723214285714284,0.2284482758620691,0.3073394495412844,0.2895927601809955,0.3701923076923077,0.2954545454545454,-0.0865384615384615,0.2284482758620691,0.3380281690140847,0.021505376344086,-0.1492537313432835,-0.1568047337278105,-0.1857142857142857,-0.1467065868263473,-0.1037735849056603,-0.1617647058823529,0.017857142857143,-0.1568047337278105,-0.123076923076923,-0.1857142857142857,-0.2061281337047353,-0.3294117647058823,-0.3595505617977528,-0.3910256410256409,-0.4025157232704401,-0.4,-0.4183673469387755,-0.443359375,-0.4299999999999999,-0.4299999999999999,-0.4455252918287937,-0.3804347826086955,-0.40625,-0.3666666666666667,-0.2875,-0.3493150684931506,-0.3448275862068964
BPVK_29-L,14.0,0.0472031816739817,0.2667918095735633,332.9806000000001,0.1582526977887568,-0.024752053922732,-0.0099396664117311,22.0697759936623,-0.0282015873758684,-0.0739727790558924,-0.0193482688391039,0.0058040286787299,0.0034059945504087,0.0123711340206185,0.070105339629495,0.0826901874310914,0.0654611211573237,0.0315126050420169,0.0589503953989936,0.0878877400295421,0.1436335403726707,0.2670967741935484,0.2148453608247422,0.3151785714285715,0.0935412026726056,0.0495190594941219,0.2173553719008265,0.0894970414201183,0.1658092599920855,0.0767543859649122,0.2088633565859663,0.3830985915492957,0.3513761467889909,0.4008559201141226,0.4627606752730884,0.5686900958466454,0.4129496402877697,0.3613678373382625,0.2853403141361257,0.2643776824034334,0.1903030303030304,0.2113486842105263,0.1644268774703556,0.1083521444695261,0.0980245993291093,0.0858827865831184,0.0838852097130242,0.0483985765124554,0.0148122631760247,0.0736151603498542,0.0193771626297578,-0.0653553299492385,-0.1166416791604197,-0.14235807860262,-0.0893353941267388,-0.0974264705882352,0.0286312849162011,-0.0277227722772277,0.0134158926728586
