firms,age,agr,cash,cashdebt,chatoia,chcsho,che,chpmia,chtx,cinvest,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,19.0,0.1357701071912202,0.0724529742260123,0.1429400136710451,1.0573014633488336,0.0010792907020618,1.911,0.0119823931211255,0.0054095465337965,0.0041341135500204,0.2348891975122275,0.1057407024080591,0.0601600635568938,2.2616649549286712e-08,0.0153037084572839,0.1495969183114253,0.2833230146432035,0.3191213720333577,0.0233446173826212,0.0566576296142572,0.0125023000068861,0.0205969105831202,0.0671039905151165,0.1405697325403644,0.5141390498892973,-0.0654761904761903,-0.0117647058823529,0.0499999999999998,0.0700636942675159,0.0370370370370369,0.0909090909090908,0.0499999999999998,0.0632911392405062,0.1199999999999998,0.2262773722627735,0.3125,0.4867256637168142,0.5849056603773584,0.6633663366336633,0.696969696969697,0.6633663366336633,0.5999999999999999,0.5272727272727271,0.5999999999999999,0.731958762886598,0.75,1.074074074074074,0.909090909090909,1.0240963855421683,1.1538461538461535,1.7096774193548383,1.5454545454545454,1.7999999999999998,1.7096774193548383,2.0545454545454542,2.0,2.36,2.2307692307692304,2.5,2.5,2.818181818181818,2.652173913043478,2.5,2.36,2.5,2.5,1.847457627118644,1.896551724137931,2.294117647058824,2.36,2.652173913043478,2.5744680851063837,2.2307692307692304,3.097560975609756
BBOU_00-L,19.0,0.0020822862066489,0.053400935010206,0.1639344262295081,0.5507612490876634,-0.0001141281860865,4.0,-0.0791912286337281,-0.0012251565477811,0.0258577821979114,0.1080246913580246,-0.1177254553531763,-0.022953053832084,3.0284773560885107e-05,0.0076829180728082,0.0584036340038935,19.53050680672898,-0.0080910349601939,-0.0124306681212218,-0.0026690358588552,0.0069750673787431,0.0349312123817712,0.1227341389728096,0.0304407713498622,0.719464641893771,0.0490981963927856,-0.0422264875239922,-0.0793357933579335,-0.0567107750472589,-0.0329457364341084,0.002008032128514,-0.0029970029970028,-0.0039920159680637,0.0225409836065575,0.0225409836065575,0.0605738575982996,0.0617021276595743,0.0765911542610573,0.0836047774158523,0.1238738738738738,0.1027624309392265,0.0967032967032968,0.126410835214447,0.1796690307328605,0.183867141162515,0.1768867924528301,0.1980792316926771,0.2024096385542169,0.2397515527950309,0.2745849297573435,0.2111650485436893,0.256926952141058,0.2894056847545219,0.316622691292876,0.3413978494623655,0.3689986282578876,0.3432032301480485,0.3596730245231607,0.3559782608695652,0.4339080459770115,0.4590643274853803,0.4569343065693432,0.3633879781420766,0.3977591036414567,0.3201058201058202,0.4135977337110483,0.323607427055703,0.386111111111111,0.3578231292517009,0.3559782608695652,0.4297994269340974,0.525993883792049,0.4763313609467456,0.5741324921135649
BBTU_63-L^C18,18.0,-0.8431044314858079,0.0350324374420759,0.1100412017962131,-1.599968529037065,7.370337879922516e-06,29.6,0.178009958520185,0.001747383523093,0.0412336002726188,0.174413821472645,-1.241794268523161,-0.8655748131656942,5.049626706952056e-07,0.0104302717021394,-0.4790170398535417,1.9081244762971417,-0.0669798259931088,0.998730512715816,0.0839824732229795,-1.00569811645761,0.0791609622530803,-0.1517338331771321,-0.9160175267770204,0.3498884978011997,0.0769230769230771,-0.0938337801608579,-0.0259365994236312,-0.0259365994236312,-0.0087976539589443,-0.0202898550724638,-0.1266149870801034,-0.050561797752809,-0.0231213872832369,-0.0342857142857143,0.015015015015015,0.0242424242424241,0.0242424242424241,-0.0315186246418338,0.0089552238805969,-0.0532212885154061,-0.6423280423280423,-0.6189402480270575,-0.6176470588235294,-0.6145952109464081,-0.5832305795314426,-0.5898058252427185,-0.5593220338983051,-0.5552631578947369,-0.5212464589235127,-0.5212464589235127,-0.5185185185185185,-0.4878787878787879,-0.5305555555555556,-0.5570117955439056,-0.5285913528591353,-0.5072886297376094,-0.4557165861513688,-0.4634920634920635,-0.5,-0.4617834394904458,-0.4634920634920635,-0.4823889739663094,-0.4783950617283951,-0.4366666666666666,-0.3843351548269581,-0.3876811594202898,-0.3809523809523809,-0.3763837638376384,-0.3500000000000001,-0.2854122621564483,-0.2300683371298405,-0.292887029288703,-0.2899159663865546
BCQE_67-L^A14,19.0,-0.1077199281867145,0.1446765155374426,0.0565770862800565,1.4360301371914856,0.0001852627056199,-18.0,0.0438212375691005,-0.002561475409836,-0.0119455725433986,0.2101910828025477,-0.6965098634294385,-0.0863377609108013,3.551920789521476e-06,-0.0152603231597845,-0.2456575682382134,1.9188467964276577,0.0302323495110792,0.007063073011929,-0.0374536365102402,0.0385770385770385,0.0105740181268882,-0.1153846153846153,0.0427350427350427,0.4452558624492065,-0.1073684210526315,-0.0325865580448065,-0.018595041322314,0.1501210653753026,0.3013698630136987,0.3768115942028984,0.2632978723404255,0.3808139534883721,0.4437689969604863,0.6550522648083623,0.7463235294117645,0.8849206349206349,1.0299145299145305,0.9467213114754098,0.7463235294117645,0.7148014440433212,0.7272727272727273,0.9874476987447698,0.8482490272373542,1.199074074074074,1.199074074074074,1.950310559006211,1.7142857142857144,1.7142857142857144,2.064516129032258,2.861788617886179,2.4671532846715327,2.1879194630872485,1.5815217391304346,1.3514851485148514,1.0833333333333337,1.6243093922651934,1.1689497716894977,1.6243093922651934,2.4671532846715327,1.8106508875739644,1.5815217391304346,1.3284313725490198,1.5401069518716577,1.0833333333333337,1.1111111111111112,0.8482490272373542,0.5939597315436242,1.2300469483568075,0.9387755102040816,0.2907608695652173,0.4797507788161994,0.1529126213592233,0.532258064516129
BDAJ_H9-L,12.0,-0.4247728930442278,0.1181967213114754,0.1328205609229903,0.4313354269578819,6.8908054392837765e-06,-17.05,0.1444950651421021,0.0029838870101452,-0.0639494026704147,0.1327514928801102,-0.5194639438417358,-0.2279003199191531,1.634550976516479e-07,-0.3140375306677276,-0.4088059701492537,0.474356140107502,0.0482790299843188,0.1064622780220044,0.5479642781012644,0.6782673084042947,-0.0317537072856221,-1.3873239436619718,-0.3217326915957052,-0.2745638557689949,0.0178571428571427,-0.0718232044198895,-0.1641791044776118,-0.1428571428571429,-0.1844660194174757,-0.4455445544554455,-0.4733542319749216,-0.483076923076923,-0.552,-0.518624641833811,-0.4878048780487805,-0.4666666666666667,-0.3754646840148699,-0.3890909090909091,-0.4146341463414634,-0.4700315457413249,-0.4924471299093655,-0.518624641833811,-0.5483870967741936,-0.6047058823529412,-0.6164383561643836,-0.5980861244019139,-0.5980861244019139,-0.5714285714285714,-0.5409836065573771,-0.5567282321899736,-0.5508021390374331,-0.5333333333333334,-0.5658914728682171,-0.5658914728682171,-0.5508021390374331,-0.5422343324250681,-0.6018957345971564,-0.5789473684210527,-0.5736040609137056,-0.5757575757575757,-0.5902439024390244,-0.5980861244019139,-0.6093023255813954,-0.6199095022624435,-0.6387096774193548,-0.6199095022624435,-0.6164383561643836,-0.5670103092783505,-0.5872235872235873,-0.5757575757575757,-0.5422343324250681,-0.5757575757575757,-0.5831265508684864
BDCK_44-L^L08,18.0,0.0155163188871054,0.1413973384030418,0.1269909599655617,1.4779494704117933,-0.0959734956855145,5.05,0.011141016823211,0.0016366612111292,0.0564263322884012,0.0982194141298104,0.1809235427706283,0.0724714627024151,1.527512078852997e-07,-0.0048154093097914,-0.0761904761904762,0.0001840977383244,0.1209686683589336,-0.8168462291870715,-0.9592556317335946,0.0407443682664053,0.0125061911837543,0.031982267257758,0.0407443682664053,0.3119288966246545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFRL_28-L,18.0,0.0566801913157132,0.0256786576895363,0.2193965934218025,0.3219637689981675,-0.008098010303803,33.2754,0.1239933353746052,0.0051516910377773,0.4343149898868188,0.0704866739100748,0.0241656342084625,-0.0259293546220679,5.8776616500785215e-08,0.0061788256120181,0.0716435156932432,0.4256631618663444,-0.1516744665987971,-0.113957234687345,0.0720825722923517,0.113957234687345,0.0322715576990573,0.1527522619916543,0.113957234687345,0.2901125641805645,-0.0991268618387262,-0.1048275862068965,-0.2820796460176992,-0.2565864833906072,-0.2520169035728007,-0.2807536017731806,-0.268045112781955,-0.2748603351955307,-0.2770144819903454,-0.2732362821948488,-0.2531645569620253,-0.2186998394863564,-0.231042654028436,-0.2316495659037095,-0.2007389162561577,-0.2886371940080381,-0.2663903541823662,-0.2473908001546193,-0.2502887947631883,-0.2438834951456311,-0.2505773672055428,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,0.8264540337711068,10.452941176470588,10.452941176470588,10.452941176470588,10.452941176470588,10.452941176470588,10.452941176470588,10.452941176470588,10.452941176470588,10.452941176470588,10.452941176470588,10.452941176470588,10.452941176470588,10.452941176470588
BJJT_37-L,17.0,0.2426229811481323,0.119949761866272,0.0079364406420376,0.0664606049607936,0.0005672236747953,24.9,0.0273604102384939,-0.000573511183468,-0.0003731073122207,0.8888888888888888,0.3923497267759562,-0.0091898647505991,1.5202145101307598e-06,3.700072151406948e-05,0.238722107800799,1.3456988004499482,-0.8867290616750659,0.153142683912692,-0.153142683912692,-0.153142683912692,0.0016443132515799,0.0631979695431472,-0.153142683912692,1.4960508983063607,-0.0871559633027523,0.0283018867924529,-0.0113378684807256,-0.052173913043478,-0.0267857142857143,-0.0267857142857143,0.0116009280742461,0.013953488372093,0.0792079207920792,0.0582524271844659,0.2351274787535413,0.2748538011695907,0.3292682926829269,0.3132530120481929,0.3292682926829269,0.2011019283746558,0.3212121212121213,0.3667711598746082,0.472972972972973,0.6268656716417911,0.6641221374045803,0.7580645161290325,0.703125,0.7440000000000002,0.8091286307053942,0.8632478632478635,0.9818181818181816,1.0373831775700937,0.8632478632478635,0.7868852459016396,0.9464285714285714,1.056603773584906,1.1691542288557215,1.4772727272727275,1.4914285714285715,1.6424242424242426,1.3191489361702131,1.3956043956043955,1.5952380952380951,1.4222222222222225,1.3956043956043955,1.4222222222222225,1.6265060240963858,1.759493670886076,1.725,1.8496732026143792,2.544715447154472,2.40625,2.758620689655173
BLNT_37-L^D19,10.0,-0.1314036861486517,0.0641228030037266,0.1148764278393306,0.8860053844484204,0.0001875929933641,-11.084,0.0236483781666706,-0.004146801287462,0.0091110408098703,0.6178525908671384,0.0850798990748528,-0.062014926669692,1.241443865019957e-07,-0.0073289335769741,-0.1784238908522591,0.5908145219457565,0.140490643149485,0.1637281959304116,-0.041526839761869,-0.041526839761869,0.0068155583376651,0.0257519732959575,-0.041526839761869,0.6974266600412113,0.0427807486631015,-0.0966183574879225,-0.1869565217391303,-0.1282051282051282,-0.1688888888888888,-0.1220657276995303,-0.0579345088161209,-0.1095238095238094,-0.0833333333333332,-0.0944309927360773,-0.0459183673469386,-0.0507614213197968,0.0476190476190476,-0.0649999999999999,0.056497175141243,-0.0209424083769632,0.0246575342465753,-0.2142857142857142,-0.1780219780219779,-0.250501002004008,-0.2224532224532223,-0.2008547008547008,-0.1322505800464035,-0.0696517412935321,-0.0810810810810811,-0.0131926121372031,0.0535211267605635,0.0935672514619883,-0.0285714285714285,0.0053763440860215,-0.0285714285714285,0.0053763440860215,0.0388888888888889,-0.2025586353944563,-0.1261682242990653,-0.1179245283018868,-0.1707317073170731,-0.1031175059952037,-0.1974248927038626,-0.2579365079365079,-0.26953125,-0.3048327137546468,-0.37248322147651,-0.2916666666666666,-0.3074074074074074,-0.3403880070546736,-0.3345195729537366,-0.3472949389179756,-0.3368794326241133
BLNV_40-L^F19,10.0,0.0762993520549842,0.0032082698978776,1.1065136542344065,0.1359763585353532,0.0254202269336289,-6.102,0.564425602469515,0.0014936221383341,-0.2273920064594267,0.2172949002217294,0.2022515671946287,0.9812777205400816,9.54742643934239e-10,-0.0001129712907152,-0.3976912861375013,0.1529413452951738,0.3802816901408452,-0.0062766518135211,0.2878679154640671,0.0062766518135211,-0.0206607232946099,-0.0234722099343378,0.0062766518135211,-0.5127221906329509,-0.0250696378830083,-0.1552941176470588,-0.1932584269662922,-0.2329059829059828,-0.2473794549266247,-0.2442105263157895,-0.2673469387755103,-0.298828125,-0.282,-0.282,-0.3015564202334631,-0.2195652173913043,-0.2520833333333333,-0.2022222222222223,-0.1025,-0.1803652968036529,-0.1747126436781608,-0.210989010989011,-0.124390243902439,-0.1431980906921242,-0.1747126436781608,-0.0723514211886305,-0.176605504587156,-0.1091811414392061,-0.1047381546134663,-0.0794871794871795,0.0141242937853107,0.0056022408963585,-0.0349462365591398,-0.1025,-0.1349397590361446,-0.0675324675324675,0.0558823529411764,0.1149068322981365,0.1396825396825396,0.1433121019108278,0.1183800623052959,0.1080246913580245,0.2379310344827585,0.1887417218543046,0.2006688963210701,0.3198529411764703,0.3754789272030652,0.471311475409836,0.3547169811320754,0.3102189781021895,0.3102189781021895,0.2913669064748201,0.3598484848484846
