firms,absacc,acc,age,agr,chpmia,currat,depr,egr,herf,invest,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.0902061855670103,-0.0902061855670103,8.0,0.1121119823731449,1.7671057890572357,0.8989463601532568,0.0727272727272727,0.0657572577824413,4.91594146283321e-06,0.1725746873177371,-0.3526757821242962,-0.3944160738411948,0.0628423826364329,0.1341884188418842,-1.3279132791327912,0.4781289910600255,0.0681818181818182,0.0132450331125828,-0.0427892234548334,0.0219966159052453,-0.0366826156299839,0.0,0.0202702702702703,0.0395869191049915,-0.0146818923327894,0.0066666666666665,-0.0273752012882447,0.0100334448160535,-0.0210696920583468,0.0449826989619377,0.1289719626168224,0.1570881226053639,0.1226765799256506,0.1889763779527558,0.51,0.3789954337899544,0.4484412470023982,0.532994923857868,0.7764705882352942,0.6871508379888267,0.9610389610389608,0.9235668789808916,1.2205882352941173,1.141843971631206,1.2124542124542126,1.1805054151624548,1.3230769230769228,1.5811965811965814,1.359375,1.672566371681416,1.6375545851528384,1.649122807017544,1.7706422018348622,1.7207207207207205,1.7454545454545451,1.4958677685950414,1.1726618705035974,1.2878787878787876,1.0268456375838926,1.054421768707483,1.0,0.8757763975155279,0.7456647398843932,0.7869822485207101,0.8875,0.9113924050632912
BALZ_07-L^I10,0.0399728572919929,0.0399728572919929,9.0,-0.0781461604052766,4.288061591419615,2.179195852407479,0.3029322984044847,0.1988909892879648,1.9373745948159552e-08,-0.1352058985805286,0.1864200722710116,0.2928500062155283,0.2326420577144838,0.0911540034953092,0.3810708598726114,1.687110473774199,-0.0158417697787775,-0.0588235294117647,-0.1707317073170731,-0.15,-0.1052631578947368,-0.0555555555555554,0.0303030303030302,0.0,-0.0555555555555554,0.0625,0.1724137931034484,0.1724137931034484,0.2142857142857142,0.0967741935483872,0.2592592592592593,0.3076923076923077,0.4782608695652175,0.4782608695652175,0.4166666666666667,0.3600000000000001,0.3076923076923077,0.4166666666666667,0.7,0.7,0.7,0.7,0.6190476190476193,0.5454545454545456,0.4782608695652175,0.4782608695652175,0.3076923076923077,0.2592592592592593,0.1724137931034484,0.1333333333333335,0.0625,0.0,-0.0285714285714284,0.0303030303030302,0.0625,0.0625,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4782608695652175,0.7,1.0,1.0,1.6153846153846154,1.4285714285714284
BAMD_17-L^J98,0.1365149081328005,-0.1365149081328005,8.0,0.0378543010413991,2.9348631201447257,1.3085600372435031,0.0742816734434958,0.0024438432779111,6.286818461731185e-08,0.0250391312143517,-0.0121334256342019,-0.0383710071443663,-0.2723747140692405,0.2771323626389654,-2.5336746403036456,1.188055817506834,0.1828653032293035,0.0449826989619377,-0.0911949685534591,0.0284697508896798,0.2350427350427351,0.1653225806451612,0.1653225806451612,0.1653225806451612,0.2901785714285714,0.3076923076923077,0.3696682464454977,0.3136363636363635,0.3504672897196261,0.3568075117370892,0.445,0.3894230769230768,0.3696682464454977,0.4236453201970445,0.4029126213592233,0.4166666666666667,0.4097560975609757,0.4306930693069306,0.7839506172839505,0.7409638554216869,0.8407643312101911,0.9931034482758624,0.9527027027027029,0.7839506172839505,0.6327683615819211,0.7515151515151517,0.8291139240506329,0.7202380952380953,0.5879120879120878,0.6327683615819211,0.7621951219512197,0.8766233766233766,0.4236453201970445,0.344186046511628,0.2731277533039649,0.209205020920502,0.2787610619469027,0.3761904761904762,0.4236453201970445,0.4744897959183674,0.5706521739130435,0.5706521739130435,0.4595959595959598,0.4306930693069306,0.5966850828729282,0.6705202312138729
BBIO_50-L^J00,0.1267289946085657,-0.1267289946085657,8.0,0.0209345031626199,-8.893585244719405,1.6393342804952304,0.1242848970251716,-0.2170157633340531,1.0074569306889791e-05,-0.0560293817588247,0.1023904775511264,0.1853786469479944,0.1826636637726694,0.0844576134844833,-7.4714285714285715,1.3061700832149383,-0.0071191595244677,-0.0359281437125748,0.0470219435736676,-0.0029850746268657,-0.0118343195266272,-0.1069518716577541,-0.1369509043927649,-0.1391752577319588,-0.0591549295774648,-0.0147492625368732,0.003003003003003,0.0060240963855422,0.0090634441087613,0.0245398773006135,0.1719298245614033,0.1843971631205674,0.2699619771863117,0.2234432234432233,0.2279411764705881,0.1971326164874551,0.260377358490566,0.3744855967078189,0.5321100917431192,0.568075117370892,0.5251141552511416,0.5829383886255926,0.7305699481865284,0.7956989247311825,0.6868686868686869,0.5829383886255926,0.6372549019607843,0.6135265700483092,0.5754716981132073,0.5904761904761904,0.7765957446808511,0.6868686868686869,0.5904761904761904,0.8351648351648351,0.8453038674033149,0.6372549019607843,0.8764044943820224,1.0120481927710845,1.074534161490683,1.141025641025641,1.0120481927710845,1.0242424242424244,1.1973684210526314,1.127388535031847,1.0490797546012272,1.141025641025641
BBNH_32-L^L97,0.0959706632082643,-0.0959706632082643,10.0,0.0067306829399623,-7.666287394243117,1.847747093023256,0.1083916083916083,0.0349401488191523,9.829408116002308e-05,0.0015256214663914,0.4662176499046814,0.5086150674962413,0.1596461801902168,0.3035061891765225,-18.5,1.4269622093023255,0.1182554517133956,0.0578512396694215,0.066079295154185,0.0590809628008752,0.0544662309368191,0.0431034482758621,0.0521739130434784,0.0083333333333333,0.0341880341880342,0.10250569476082,0.1308411214953269,0.1177829099307159,0.1152073732718894,0.1496437054631829,0.1075514874141876,0.1075514874141876,0.0431034482758621,0.10250569476082,0.1100917431192658,0.0999999999999998,0.1833740831295842,0.2703412073490814,0.2506459948320412,0.213032581453634,0.2160804020100502,0.2253164556962024,0.2770448548812665,0.3260273972602741,0.189189189189189,0.2804232804232804,0.1606714628297361,0.2039800995024876,0.0876404494382021,0.1662650602409636,0.1747572815533979,0.1388235294117645,0.0168067226890755,0.0707964601769912,0.0341880341880342,0.010438413361169,0.0168067226890755,0.1606714628297361,0.1862745098039215,0.1634615384615383,0.0637362637362637,0.1578947368421053,0.1255813953488371,0.1950617283950617,0.1804878048780489,0.1203703703703702
BBOU_00-L,0.0417289486796213,-0.0417289486796213,8.0,-0.0521654737352905,-2.8974877740924074,1.3946345256609642,0.0908571428571428,-0.0312645823611759,2.7307221833595595e-05,-0.0093412592502729,-0.0493759992445892,-0.1013909384160723,0.373706969607158,0.2885935840626945,-0.4890510948905109,0.6687402799377916,0.3568559954102123,0.005190311418685,0.0926275992438563,0.151394422310757,0.090566037735849,0.124513618677043,0.1355599214145384,0.080373831775701,0.0452079566003615,0.0783582089552239,0.056672760511883,0.0783582089552239,0.0339892665474061,0.0743494423791821,0.0885122410546139,0.0885122410546139,0.0528233151183969,0.0864661654135339,-0.0136518771331057,-0.0398671096345514,0.0034722222222223,0.0069686411149825,0.0339892665474061,0.0433212996389891,0.066420664206642,0.0967741935483872,0.1868583162217658,0.1868583162217658,0.1094049904030711,0.1051625239005735,0.0644567219152856,0.1030534351145038,0.024822695035461,0.1201550387596899,0.1400394477317554,0.0586080586080586,0.0395683453237412,0.0683918669131238,-0.0398671096345514,-0.0540098199672668,0.0452079566003615,0.050909090909091,0.151394422310757,0.1795918367346938,-0.0186757215619693,0.0723562152133581,0.0490018148820328,0.0625,0.0377019748653499,0.0034722222222223
BBQS_26-L^G99,0.0552963647180386,-0.0552963647180386,8.0,0.1036095376103279,4.8099935180654265,1.708792060784618,0.1163533167789996,-0.1617915904936013,1.2569608119047934e-05,0.0957713081280463,0.0641043848380007,0.0713216290119495,-0.1696304781355069,-0.1416223135093191,-0.9255765199161424,0.9837184059544116,-0.0706880574539557,-0.0496083550913838,-0.020460358056266,0.0295698924731182,-0.0424999999999999,0.0550964187327824,0.0880681818181818,0.0580110497237569,0.0268096514745308,0.0580110497237569,0.0942857142857143,0.0521978021978022,0.0698324022346368,0.035135135135135,0.1101449275362318,0.0758426966292133,0.1331360946745563,0.2354838709677418,0.1536144578313254,0.0942857142857143,-0.0026041666666666,-0.0279187817258882,0.0698324022346368,0.0407608695652172,0.035135135135135,0.0295698924731182,0.0698324022346368,0.0942857142857143,0.0698324022346368,0.1820987654320986,0.1467065868263473,0.106936416184971,0.0698324022346368,0.1264705882352941,0.2516339869281045,0.1894409937888197,0.1331360946745563,0.1331360946745563,0.0942857142857143,0.0698324022346368,0.2044025157232705,0.2435064935064934,0.1676829268292683,0.2120253164556962,0.1331360946745563,0.2939189189189188,0.3298611111111111,0.2766666666666666,0.2197452229299363,0.1968749999999999
BBTU_63-L^C18,0.0763284287565754,-0.0763284287565754,8.0,-0.1070511155366986,-1.1407321491944993,0.863081549619671,0.0280234357727172,-0.0351699882766705,1.7853660755176763e-05,-0.0386469246976651,-0.0070052508897475,-0.0070878981743927,0.0112636269452339,0.0793092322751479,-12.150485436893202,0.8328321245356448,-0.0059777523651107,0.050561797752809,-0.0326086956521738,-0.0481283422459893,-0.0412926391382406,0.0853658536585366,0.1148225469728601,0.0574257425742574,0.0616302186878727,0.1608695652173912,0.2219679633867275,0.1533477321814254,0.1459227467811157,0.1710526315789473,0.1893095768374164,0.3088235294117647,0.5127478753541077,0.5478260869565217,0.3587786259541983,0.2929782082324454,0.3349999999999999,0.2929782082324454,0.2929782082324454,0.2219679633867275,0.2447552447552448,0.2929782082324454,0.256470588235294,0.3185185185185186,0.2929782082324454,0.408970976253298,0.4751381215469612,0.4550408719346048,0.3250620347394539,0.286746987951807,0.4316353887399464,0.3587786259541983,0.1893095768374164,0.1385927505330488,0.0470588235294118,0.0853658536585366,0.3622448979591837,0.4670329670329669,0.286746987951807,0.1762114537444934,0.0965092402464065,0.1659388646288209,0.1710526315789473,0.2361111111111109,0.3587786259541983,0.256470588235294
BBVN_02-L^I99,0.0619102797550074,-0.0619102797550074,9.0,0.0049784268171257,-0.813948964511115,1.4235209235209236,0.1833590138674884,-0.2844961240310077,1.4043227261142494e-07,0.0514437437769664,-0.0785626086227288,-0.1305940598869892,-0.0550776963647304,0.148336189813719,-0.9894179894179896,0.9992784992784992,0.0956072351421187,0.0169491525423728,0.0535714285714286,0.0598802395209581,0.066265060240964,0.066265060240964,0.1346153846153845,0.1493506493506493,0.120253164556962,0.1644736842105263,0.1644736842105263,0.1644736842105263,0.2123287671232876,0.4159999999999999,0.5663716814159294,0.4274193548387097,0.3828125,0.3511450381679388,0.3511450381679388,0.3208955223880596,0.3720930232558139,0.4508196721311475,0.6090909090909089,0.5803571428571428,0.6238532110091741,0.77,0.84375,0.9239130434782608,0.945054945054945,1.132530120481928,1.058139534883721,1.058139534883721,0.8631578947368421,1.058139534883721,1.1851851851851851,0.945054945054945,0.9239130434782608,0.3828125,0.3111111111111111,0.2291666666666667,0.4508196721311475,0.3720930232558139,0.2206896551724138,0.282608695652174,-0.1194029850746267,0.0231213872832369,0.120253164556962,0.0290697674418605,0.0,0.0231213872832369
BBXK_89-L^E06,0.0215899277305577,-0.0215899277305577,9.0,0.0788673837383266,0.6703990309529034,1.805081403864571,0.045098202166265,0.0994514030488396,7.505814667150843e-05,0.0378746121986173,0.0514104828143871,0.0614244042492683,0.031649881213551,0.0346197395593346,-0.1888417704744235,1.5543349670441102,0.0843934952154432,0.0174825174825175,-0.0272108843537415,-0.0120898100172711,-0.0137931034482758,-0.0337837837837837,-0.0529801324503311,-0.0482529118136438,-0.0154905335628227,-0.0017452006980803,0.0177935943060496,0.0476190476190476,0.1063829787234043,0.1439999999999999,0.1304347826086958,0.1215686274509804,0.0751879699248119,0.1021194605009632,0.1602434077079106,0.1171875,0.1106796116504853,0.1021194605009632,0.1991614255765199,0.1578947368421051,0.1439999999999999,0.1578947368421051,0.2796420581655481,0.2516411378555798,0.2170212765957446,0.2093023255813952,0.1649694501018328,0.2144373673036093,0.1259842519685039,0.1509054325955734,0.2144373673036093,0.2739420935412024,0.1042471042471042,0.1891891891891892,0.1439999999999999,0.1106796116504853,0.0671641791044774,0.0853889943074004,0.2016806722689075,0.2543859649122808,0.2626931567328916,0.3364485981308409,0.3816425120772948,0.4554707379134859,0.4019607843137254,0.4088669950738917
