firms,absacc,acc,age,agr,chpmia,currat,depr,egr,gma,grltnoa,herf,invest,lgr,mve_ia,operprof,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,roic,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.0011905352448038,0.0011905352448038,18.0,0.1577260650019519,-0.0586919995544428,1.2821200108117847,0.1780648865920183,0.1832710795419753,0.4986966869404253,0.0904865145621716,1.6784572674786793e-08,-0.0340939140946696,0.1385874480014469,0.1948164482589583,0.3742371359173757,-0.9056908741350864,0.0044786848850989,0.0314011216099788,-0.0687474373102764,0.0180291648254528,0.9853703036309576,0.1047944528217931,2.79908176650634,0.0862822338717008,0.0660377358490564,0.0495049504950495,0.0707070707070707,0.0495049504950495,0.0095238095238094,-0.0363636363636363,0.0095238095238094,0.0927835051546392,0.1041666666666667,0.308641975308642,0.2045454545454545,0.2771084337349399,0.358974358974359,0.7096774193548387,0.606060606060606,0.7666666666666668,0.7096774193548387,0.9272727272727272,0.8928571428571428,1.12,1.0384615384615383,1.2083333333333337,1.2083333333333337,1.4090909090909092,1.3043478260869563,1.2083333333333337,1.12,1.2083333333333337,1.2083333333333337,0.7966101694915255,0.827586206896552,1.0784313725490198,1.12,1.3043478260869563,1.2553191489361706,1.0384615384615383,1.5853658536585369,1.5238095238095242,1.7894736842105263,2.117647058823529,2.655172413793104,2.3125,2.655172413793104,2.419354838709677,1.717948717948718,2.117647058823529,3.0769230769230766,2.117647058823529,2.212121212121212
BBOU_00-L,0.022996950883509,0.022996950883509,18.0,0.0476154656235895,-0.0733548441131922,1.450374812593703,0.1089058524173028,0.2364734962922274,0.3424853317285993,0.0938246206972557,2.753619749936541e-05,-0.0041372047540243,-0.0226215644820295,18.0924802159585,0.879154078549849,-0.1894789294435741,0.2033003154442433,0.1682803557028861,0.0260021182892337,0.1640461215932914,0.7349325337331334,0.1330370143306,4.560301507537688,0.0789121711992866,0.0140237324703345,0.0065146579804558,0.0439189189189188,0.0243093922651933,0.0186813186813186,0.0462753950338601,0.0957446808510635,0.0996441281138789,0.0931603773584903,0.112845138055222,0.116867469879518,0.1515527950310558,0.1839080459770115,0.125,0.1675062972292189,0.197674418604651,0.2229551451187335,0.2459677419354837,0.2716049382716048,0.2476446837146702,0.2629427792915531,0.2595108695652173,0.3318965517241379,0.3552631578947367,0.3532846715328468,0.2663934426229506,0.2983193277310925,0.2261904761904762,0.3130311614730878,0.2294429708222811,0.2874999999999998,0.2612244897959184,0.2595108695652173,0.3280802292263609,0.4174311926605503,0.371301775147929,0.4621451104100946,0.4394409937888197,0.4088145896656534,0.357247437774524,0.4131097560975609,0.4621451104100946,0.4394409937888197,0.3733333333333333,0.4109589041095889,0.2698630136986302,0.1616541353383458,0.1823979591836735,0.2578018995929443
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,-1.2074918846286236,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1458635703918722,0.1253396739130146,1.843332229296362e-07,0.2216981132075471,-0.108730583824317,0.0024264462331799,0.3911764705882353,-0.2804956002432143,-0.2328427255985267,-0.2464646464646464,0.6064997804128239,-2.256756756756757,1.8,0.0007898894154818,2.311284046692607,0.2272727272727272,-0.0307692307692307,-0.0714285714285712,0.3,0.3,0.1818181818181816,0.5116279069767442,0.5853658536585367,0.5853658536585367,0.5853658536585367,0.5853658536585367,0.5476190476190477,0.3829787234042554,0.4444444444444444,0.5476190476190477,0.625,0.625,0.625,0.7567567567567568,0.625,0.7105263157894737,0.4444444444444444,0.625,0.8571428571428574,0.8571428571428574,0.8571428571428574,0.8571428571428574,0.4444444444444444,0.8571428571428574,0.8571428571428574,0.4444444444444444,0.8571428571428574,0.8571428571428574,0.625,0.625,0.4444444444444444,0.8571428571428574,0.8571428571428574,0.625,0.625,0.625,0.3,0.1818181818181816,0.3,0.5476190476190477,0.7567567567567568,0.7567567567567568,0.625,1.5,1.5
BBTU_63-L^C18,0.0425212985978027,-0.0425212985978027,17.0,0.0649622881770987,0.0053853067962569,1.7423959218351743,0.1869346733668342,0.0162668548134211,0.0710549515133703,-0.1480181393847981,6.912062541268314e-05,-0.6129885395239495,0.1137076537013801,1.654074501192062,0.0876450297899023,0.05536974882907,0.978720885946152,1.0153209678917725,0.8184563428692277,-1.1422018348623857,1.7423959218351743,0.0423388438921557,374.671009771987,-0.0328753762591016,0.0,-0.0544412607449857,-0.0149253731343284,-0.0756302521008402,-0.6507936507936508,-0.6279594137542277,-0.6266968325791855,-0.6237172177879133,-0.593094944512947,-0.5995145631067962,-0.5697522816166884,-0.5657894736842105,-0.5325779036827196,-0.5325779036827196,-0.5299145299145299,-0.5,-0.5416666666666667,-0.5674967234600262,-0.5397489539748954,-0.5189504373177842,-0.4685990338164251,-0.4761904761904761,-0.5118343195266273,-0.4745222929936306,-0.4761904761904761,-0.4946401225114855,-0.4907407407407408,-0.45,-0.3989071038251367,-0.4021739130434782,-0.3956043956043956,-0.3911439114391144,-0.3653846153846154,-0.3023255813953489,-0.2482915717539863,-0.3096234309623431,-0.3067226890756303,-0.2567567567567569,-0.2448512585812358,-0.1105121293800539,-0.009009009009009,-0.098360655737705,-0.1494845360824742,-0.1811414392059553,-0.2413793103448275,-0.2180094786729858,-0.131578947368421,-0.2948717948717948,-0.2778993435448579
BCQE_67-L^A14,0.0033319450229071,0.0033319450229071,18.0,-0.1344211344211344,-0.1604629511627489,1.5369565217391303,0.2040229885057471,0.0248833592534992,0.2886557886557886,0.0420658059141933,3.153850039422144e-06,-0.0889665889665889,-0.0852788586251621,1.11133939018113,-0.1757387247278382,-0.3355558476983638,-0.2583974815870754,-0.2623665628822417,-0.032130266392696,0.1951219512195122,1.306521739130435,0.1512850467289719,3.4460028050490883,-0.1594252480328429,0.0769230769230771,-0.040983606557377,-0.1397058823529412,-0.1552346570397113,-0.1490909090909091,-0.0209205020920503,-0.0894941634241245,0.0833333333333332,0.0833333333333332,0.4534161490683228,0.3371428571428569,0.3371428571428569,0.5096774193548386,0.9024390243902438,0.7080291970802917,0.5704697986577181,0.2717391304347825,0.1584158415841583,0.0263157894736842,0.2928176795580108,0.0684931506849315,0.2928176795580108,0.7080291970802917,0.3846153846153846,0.2717391304347825,0.1470588235294117,0.2513368983957218,0.0263157894736842,0.04,-0.0894941634241245,-0.2147651006711409,0.0985915492957747,-0.0448979591836735,-0.3641304347826087,-0.2710280373831776,-0.4320388349514563,-0.2451612903225807,0.0,0.0833333333333332,0.4268292682926828,1.0,0.3146067415730336,-0.6182707993474714,-0.6201298701298701,-0.6976744186046512,-0.6794520547945205,-0.6633093525179856,-0.7310344827586207,-0.7
BCZB_W7-L^G07,0.045967576441617,-0.045967576441617,18.0,0.0971767946290239,-2.8837507382951627e-05,0.7993762993762994,0.0665722379603399,-0.1115683584819387,0.1430538819073851,-0.0475271906423147,0.0001347646198944,0.0246169736615596,0.2267076407319458,4.241755925628861,0.1620941929583904,-0.3415479164072631,-0.0566286182169488,-0.0787094152253726,0.3172762232800805,-8.75,0.6796257796257796,0.0422851225405591,8.132151898734177,0.0423129339996106,0.0228571428571429,0.0447761194029849,0.0903426791277259,0.0479041916167666,0.0479041916167666,0.09375,0.1437908496732025,0.1111111111111111,0.2110726643598615,0.2635379061371841,0.2455516014234875,0.2367491166077737,0.25,0.2237762237762237,0.2237762237762237,0.2411347517730497,0.1945392491467577,0.2195121951219512,0.2237762237762237,0.2962962962962963,0.3409961685823754,0.3108614232209739,0.3779527559055118,0.3565891472868217,0.3108614232209739,0.1400651465798046,0.1326860841423949,0.10062893081761,0.1627906976744186,0.0086455331412103,0.0903426791277259,-0.0196078431372548,0.0263929618768328,0.0385756676557862,0.1146496815286624,0.10062893081761,0.1589403973509933,0.2068965517241379,0.1326860841423949,0.2773722627737225,0.3888888888888888,0.3157894736842104,0.2455516014234875,0.0971786833855798,0.0294117647058824,0.1041009463722397,0.1363636363636362,-0.0250696378830083,0.0144927536231882
BDAJ_H9-L,0.0517990074441687,-0.0517990074441687,11.0,-0.121102628358296,-0.1281662827798264,1.8260312580066616,0.1266375545851528,-0.6140394088669952,0.2198263302057229,-0.057816377171212,3.430223392750972e-07,-0.2714610408531966,0.0298186289578849,0.913571075320516,0.8022167487684727,-0.3433517571604612,0.0292739858373711,0.0657542171861183,0.3349488353125776,-1.8806306306306304,1.741480912118883,0.1108049311094996,40.71859296482412,-0.5851635693441868,0.1710037174721188,-0.0218181818181818,-0.0627177700348432,-0.1514195583596214,-0.1873111782477341,-0.2292263610315187,-0.2768817204301076,-0.3670588235294117,-0.3858447488584474,-0.3564593301435406,-0.3564593301435406,-0.3137755102040817,-0.2650273224043716,-0.2902374670184696,-0.2807486631016043,-0.2527777777777777,-0.3049095607235143,-0.3049095607235143,-0.2807486631016043,-0.2670299727520435,-0.3625592417061611,-0.3258145363408522,-0.3172588832487309,-0.3207070707070707,-0.3439024390243902,-0.3564593301435406,-0.3744186046511627,-0.3914027149321267,-0.421505376344086,-0.3914027149321267,-0.3858447488584474,-0.306701030927835,-0.3390663390663391,-0.3207070707070707,-0.2670299727520435,-0.3207070707070707,-0.3325062034739454,-0.2270114942528736,-0.2336182336182336,-0.1994047619047618,-0.1873111782477341,-0.1748466257668711,-0.1798780487804877,-0.272972972972973,-0.3084832904884319,-0.3518072289156627,-0.2064896755162242,-0.2670299727520435,-0.161993769470405
BLNT_37-L^D19,0.0120107949664957,-0.0120107949664957,9.0,-0.6177644900768441,0.0070040252988844,1.083281420174513,0.5417427969079409,1.8328409415801008,0.0788224016337608,0.0633397897501642,1.304646579042484e-07,-0.007020509318207,-0.6761406644718242,0.5793475659096115,3.305308300771944,-0.5257868584636992,0.0740910267047254,0.0740910267047254,0.9818000046353283,-0.3703557234097245,1.083281420174513,0.1617405288066336,3.381981713713362,0.0675785956606821,0.1036414565826331,-0.1075,0.0084745762711864,-0.0654450261780105,-0.0219178082191781,-0.25,-0.2153846153846154,-0.2845691382765531,-0.2577962577962578,-0.2371794871794871,-0.1716937354988398,-0.1119402985074626,-0.1228501228501229,-0.0580474934036939,0.0056338028169014,0.0438596491228069,-0.0727272727272727,-0.0403225806451613,-0.0727272727272727,-0.0403225806451613,-0.0083333333333334,-0.2388059701492538,-0.1658878504672898,-0.1580188679245283,-0.2084257206208425,-0.1438848920863309,-0.2339055793991417,-0.2916666666666667,-0.302734375,-0.3364312267657993,-0.401006711409396,-0.3238636363636364,-0.338888888888889,-0.3703703703703703,-0.3647686832740213,-0.3769633507853404,-0.3670212765957447,-0.401006711409396,-0.4204545454545455,-0.3736842105263158,-0.3647686832740213,-0.4128289473684211,-0.4069767441860464,-0.4655688622754491,-0.4607250755287009,-0.4742268041237113,-0.405,-0.4204545454545455,-0.4185667752442996
BPVK_29-L,0.0853286066418096,-0.0853286066418096,10.0,0.0844873144496398,-0.0204887451650873,2.013452286244554,0.1770937657369288,0.0546838069963324,0.8697291415037051,-0.0684855073353541,0.0001016840760698,-0.0248487269300211,0.1236072528518005,37.07237732315796,0.8508367124776364,-0.2125664515202255,0.0850890285762865,0.1522337820640559,0.0895368718165221,-0.4328516772662373,1.6908905029288448,0.3574932436694191,5.547834033248784,0.250111124988107,0.0618238021638331,-0.0088848039215686,0.1295391061452513,0.0676567656765676,0.1128310973512212,0.2216767371601209,0.1832479882955378,0.143513609049134,0.2008166295471418,0.2766377269139701,0.2179969879518073,0.263671875,0.2641656897225479,0.3998269147555171,0.3736730360934182,0.4182376150811049,0.5419447092469019,0.5597878495660562,0.5967423494570583,0.7125463208046585,0.5575349061145884,0.4422648238965672,0.4126637554585155,0.2661448140900195,0.3118410381184104,0.3187933143090093,0.2751281040599134,0.2267728479332575,0.2696232339089481,0.2451886066204773,0.2295705055112125,0.2070895522388061,0.2152516904583019,0.16871387283237,0.2553356616220412,0.2929656274980017,0.331275720164609,0.3649789029535866,0.2862823061630219,0.315040650406504,0.4598375451263539,0.5500718735026353,0.5485878410722833,0.4572072072072073,0.331275720164609,0.4320495794599381,0.6175000000000002,0.7134533898305087,0.4403383793410507
BUBP_92-L^K18,0.1063515509601181,-0.1063515509601181,10.0,0.6262931034482758,-0.0307861556954577,1.4892367906066537,0.2697495183044316,-4.5588235294117645,0.8564655172413793,0.0692598063351205,8.98893462610935e-06,-0.0896551724137931,0.5514018691588785,6.970706385509227,-25.91176470588235,-0.3814081995577675,0.2833000954478317,0.4330907967967136,-0.5098586546693139,-0.588021778584392,1.2778864970645794,0.354978354978355,12.456456456456456,0.0247035573122529,0.0215827338129497,-0.0176678445229683,0.0296296296296294,0.0570342205323193,0.0392523364485981,0.0923379174852652,0.1075697211155379,0.1209677419354837,0.1053677932405565,0.0651340996168581,0.0018018018018017,-0.0211267605633802,0.0277264325323474,0.0490566037735848,0.0373134328358206,0.0296296296296294,-0.027972027972028,-0.0296684118673649,-0.027972027972028,-0.0106761565836299,-0.0106761565836299,0.0880626223091975,0.1487603305785123,0.1463917525773195,-0.0794701986754967,-0.1003236245954692,-0.0733333333333333,-0.1651651651651652,-0.1713859910581222,-0.2341597796143251,-0.2625994694960213,-0.2091038406827881,-0.1750741839762611,-0.1626506024096385,-0.0944625407166124,-0.1726190476190476,-0.2102272727272728,-0.151145038167939,-0.1701492537313433,-0.1326053042121685,-0.1216429699842023,-0.1366459627329194,-0.0870279146141215,-0.1298904538341158,-0.135303265940902,-0.0330434782608696,0.0651340996168581,-0.0733333333333333,0.0018018018018017
