firms,absacc,acc,age,agr,chpmia,currat,egr,herf,invest,pchcapx_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.028601458738096,0.028601458738096,4.0,-0.0482998694598122,-0.560567394940604,0.9838182131175762,-0.0264927654371306,7.891128632597319e-06,0.0237458817678872,-0.6345119748609088,0.1687570330042822,-0.0539200804094252,-0.2350591761983516,0.5336225607909503,4.776595744680851,0.4663453262179377,0.0623081090843417,0.1174089068825909,0.4360465116279071,0.6196721311475413,1.0329218106995883,0.7034482758620693,0.4360465116279071,0.3173333333333334,0.3608815426997247,0.7769784172661873,0.5782747603833867,0.6860068259385665,0.7034482758620693,0.6632996632996633,0.3760445682451254,0.4529411764705884,0.4702380952380953,0.8783269961977189,0.7706093189964158,-0.0100200400801603,-0.2341085271317828,-0.2423312883435582,-0.2423312883435582,-0.0100200400801603,-0.0351562499999998,-0.1655405405405404,0.0762527233115468,0.0164609053497941,-0.2648809523809523,-0.2992907801418438,-0.365038560411311,-0.6051159072741806,-0.5015136226034309,-0.5374531835205991,-0.5806451612903225,-0.6131558339859045,-0.6396790663749088,-0.6211656441717791,-0.6211656441717791,-0.6841432225063939,-0.7218468468468469,-0.7144508670520231,-0.6758530183727034,-0.6463851109520401,-0.6498936924167257,-0.6498936924167257,-0.6359616801768607,-0.6324404761904762,-0.5604982206405693,-0.5659050966608083
BALZ_07-L^I10,0.0537624942980385,-0.0537624942980385,4.0,-0.1968686868686869,0.6738925979429023,2.131091300646066,-0.124014644282463,3.0714419846403024e-08,-0.0338816738816738,-1.381420232110831,-0.0080445412319163,-0.0675567182806562,-0.4625564447658877,-0.3205582539450917,-2.319751381215469,1.5559673461211,-0.4893784786641929,0.857142857142857,-0.2999999999999999,-0.2222222222222221,-0.2999999999999999,-0.3636363636363635,-0.3636363636363635,-0.4166666666666666,-0.1249999999999998,-0.2222222222222221,-0.2999999999999999,-0.2222222222222221,0.0,-0.3636363636363635,-0.5,-0.5,-0.4615384615384614,-0.4615384615384614,-0.5,-0.5,-0.5333333333333332,-0.5625,-0.588235294117647,-0.5625,-0.588235294117647,-0.6666666666666666,-0.7083333333333333,-0.72,-0.7586206896551724,-0.7666666666666666,-0.7878787878787878,-0.8055555555555556,-0.7941176470588235,-0.8157894736842105,-0.8055555555555556,-0.8108108108108107,-0.7941176470588235,-0.7999999999999999,-0.7878787878787878,-0.8108108108108107,-0.7999999999999999,-0.8157894736842105,-0.825,-0.825,-0.851063829787234,-0.875,-0.8813559322033898,-0.890625,-0.8771929824561403,-0.8793103448275862
BAMD_17-L^J98,0.0953264723913233,-0.0953264723913233,4.0,0.0648034504384227,0.0263676351715004,1.2874155905476403,0.0555618294748731,3.0310656682471574e-08,0.0378132346321212,-5.09359623018137,0.0018649079736484,0.0018649079736484,1.0652614353619574,0.1629521110229302,-6.649077203015336,1.2874155905476403,0.0652614353619574,0.1746031746031746,-0.0307692307692307,0.2115384615384614,0.1666666666666665,0.0,-0.0666666666666667,-0.1870967741935484,-0.1486486486486486,0.0,-0.1710526315789473,-0.2075471698113208,-0.136986301369863,-0.0802919708029197,-0.2075471698113208,-0.2758620689655172,-0.284090909090909,-0.3403141361256544,-0.2222222222222223,-0.3971291866028708,-0.4272727272727273,-0.4246575342465754,-0.4028436018957345,-0.2758620689655172,-0.2269938650306747,-0.3038674033149171,-0.4375,-0.4449339207048458,-0.536764705882353,-0.6123076923076923,-0.6612903225806452,-0.6785714285714286,-0.6158536585365854,-0.6158536585365854,-0.6012658227848102,-0.5868852459016394,-0.5771812080536913,-0.5922330097087378,-0.6170212765957447,-0.5855263157894737,-0.6181818181818182,-0.5785953177257526,-0.5418181818181818,-0.5097276264591439,-0.4298642533936652,-0.4298642533936652,-0.3225806451612903,-0.2544378698224852,-0.1923076923076923,-0.16
BBEK_99-L^L95,0.0483882101194174,-0.0483882101194174,4.0,0.1732673267326732,1.7792043908015749,1.1756574160690156,0.1713388652164162,4.1793804244228375e-06,0.0822082208220821,2.6796586433381604,0.0192320641723198,0.0468886108479657,-0.0450774518268426,-0.4552668952044765,-0.7324973876698015,0.8987631223365553,0.0480698604423407,0.1187214611872147,-0.0309734513274335,0.1587301587301588,0.2658959537572254,0.2032967032967032,0.0233644859813082,-0.396694214876033,-0.4384615384615384,-0.3282208588957055,-0.4427480916030535,-0.4341085271317829,-0.3282208588957055,-0.4267015706806283,-0.5218340611353711,-0.5300429184549357,-0.561122244488978,-0.5584677419354839,-0.5530612244897959,-0.5548780487804879,-0.54375,-0.5300429184549357,-0.4918793503480277,-0.4190981432360743,-0.4065040650406504,-0.4281984334203655,-0.3670520231213873,-0.3830985915492957,-0.3501483679525222,-0.4221635883905014,-0.4081081081081081,-0.416,-0.3302752293577982,-0.3462686567164179,-0.315625,-0.3363636363636363,-0.3596491228070175,-0.3633720930232558,-0.3198757763975156,-0.2980769230769231,-0.388268156424581,-0.3520710059171598,-0.2651006711409396,-0.2551020408163265,-0.2724252491694352,-0.25,-0.2178571428571428,-0.1704545454545455,-0.0352422907488987,-0.0394736842105262
BBIO_50-L^J00,0.1014492753623188,-0.1014492753623188,4.0,0.0249146553273042,-0.2183827026642552,1.2849538679914834,-0.0117735849056603,1.0071149736590644e-05,0.0755824399592741,-5.590411161596506,-0.0663965230757614,-0.0976308338280563,-0.0199952377747762,0.0082560362775546,-3.543388429752066,0.74041873669269,0.035369273917108,0.1102941176470586,0.0,0.0461538461538462,0.1826086956521742,0.0225563909774435,0.142857142857143,-0.0620689655172412,0.0225563909774435,0.192982456140351,0.2035398230088496,0.2592592592592593,0.3600000000000001,0.4020618556701032,0.2142857142857142,0.0793650793650795,0.0461538461538462,0.1724137931034484,0.1724137931034484,0.1525423728813559,0.0967741935483872,0.0708661417322835,0.1056910569105691,0.2830188679245282,0.2252252252252251,0.2252252252252251,0.3737373737373739,0.2830188679245282,0.1724137931034484,0.0708661417322835,-0.0144927536231882,0.0381679389312976,0.0461538461538462,0.0303030303030302,0.0542635658914729,-0.0620689655172412,-0.0872483221476508,0.0074074074074073,0.0461538461538462,-0.0684931506849314,-0.1168831168831168,-0.074829931972789,0.0225563909774435,0.0303030303030302,0.0461538461538462,0.1056910569105691,0.1333333333333335,0.142857142857143,0.3600000000000001,0.3076923076923077
BBNH_32-L^L97,0.0266307277628032,-0.0266307277628032,6.0,0.0191575051703494,-0.1523585976623457,1.4883720930232558,0.0988269794721407,0.0001586824526691,-0.0018504408403178,-1.6825678659999257,0.097602585974679,0.1377474744896183,-0.169322861444091,-0.1984157922846474,-0.3958333333333333,0.9044397463002114,-0.0954503886602652,0.040268456375839,0.0849514563106794,0.1119402985074626,0.152061855670103,0.0592417061611374,-0.0175824175824176,-0.1269531250000001,-0.0783505154639174,0.0090293453724605,-0.0240174672489084,-0.0448717948717948,0.0136054421768707,0.0875912408759123,0.0492957746478872,0.0745192307692306,0.0642857142857142,0.1374045801526715,0.2081081081081079,0.1640625,0.100985221674877,0.1147132169576059,0.2213114754098359,0.350453172205438,0.3224852071005917,0.4850498338870432,0.6195652173913044,0.6555555555555554,0.6021505376344085,0.3586626139817628,0.3711656441717792,0.4056603773584903,0.6373626373626373,0.5308219178082192,0.5964285714285715,0.4703947368421051,0.4235668789808915,0.5684210526315787,0.7325581395348835,0.546712802768166,0.4145569620253162,0.5,0.6195652173913044,0.6679104477611939,0.5574912891986061,0.6313868613138685,0.7325581395348835,0.7460937499999998,1.0790697674418603,0.995535714285714
BBOU_00-L,0.046358454718176,-0.046358454718176,4.0,0.0911137597669183,2.1358590606169603,1.4432707355242569,0.0285138248847926,2.561106444077796e-05,0.0311217057343398,-0.0334392160568422,-0.0762706812910627,-0.0226830793088259,-0.0091475530740615,-0.0534631746409974,-0.6971428571428572,0.735133020344288,0.0805574439157036,-0.0758513931888544,0.0453074433656959,0.0385852090032154,0.0695364238410596,0.0253968253968255,0.0237717908082408,-0.0744985673352436,-0.0810810810810811,0.0109546165884193,-0.0541727672035139,-0.0241691842900302,0.0986394557823129,0.1273996509598602,0.0660066006600661,0.080267558528428,0.0857142857142856,0.1353251318101933,0.1515151515151513,0.1515151515151513,0.2304761904761905,0.2471042471042472,0.3862660944206009,0.4748858447488584,0.468181818181818,0.5093457943925233,0.5794621026894866,0.6479591836734695,0.5679611650485437,0.3832976445396145,0.4074074074074074,0.4387527839643652,0.669250645994832,0.6649484536082475,0.7089947089947091,0.6779220779220778,0.6272040302267001,0.7180851063829787,0.872463768115942,0.9695121951219514,0.877906976744186,1.0638977635782747,1.212328767123288,1.290780141843972,1.4014869888475836,1.5533596837944668,1.8086956521739133,1.871111111111111,2.3471502590673574,2.4000000000000004
BBQS_26-L^G99,0.0032012629640186,0.0032012629640186,4.0,0.0185447463928477,0.2113050961054144,1.7709579011592431,-0.2182854311199207,4.84624680553255e-05,0.0014605647517039,-4.046627561332783,-0.0729121839334241,-0.0268170894659343,-0.0011905744055702,-0.4204845374425671,0.0777422790202344,1.1330079316656498,-0.0609028046213976,0.1367521367521369,0.1037735849056602,0.3764705882352941,0.1699999999999999,-0.078740157480315,-0.2641509433962264,-0.3463687150837989,-0.403061224489796,-0.2822085889570552,-0.2402597402597402,-0.2951807228915662,-0.2994011976047904,-0.2994011976047904,-0.4060913705583756,-0.4608294930875576,-0.5010660980810235,-0.4989293361884368,-0.4347826086956522,-0.5073684210526317,-0.524390243902439,-0.524390243902439,-0.4669703872437357,-0.2930513595166163,-0.5145228215767635,-0.5204918032786885,-0.5338645418326693,-0.5165289256198347,-0.5411764705882354,-0.5768535262206149,-0.5783783783783785,-0.55,-0.4946004319654428,-0.4717832957110609,-0.543859649122807,-0.5584905660377358,-0.5873015873015873,-0.5551330798479088,-0.5706422018348625,-0.6013628620102215,-0.6163934426229508,-0.5783783783783785,-0.5617977528089888,-0.5617977528089888,-0.5584905660377358,-0.5617977528089888,-0.569060773480663,-0.5682656826568266,-0.5031847133757962,-0.5357142857142858
BBTU_63-L^C18,0.0678286521522353,-0.0678286521522353,4.0,-0.0716675012518778,1.6860521863616709,1.44551977306858,-0.1192120298643485,4.399358415612573e-05,-0.0025638457686529,-9.105657766640306,-0.1883063811955274,-0.258491375232978,-0.0080618165595627,0.0136123146405906,-272.08333333333337,1.0862673118638413,0.1005890588266371,-0.0576923076923076,0.1142857142857141,0.1277108433734939,0.3565217391304347,0.0960187353629977,-0.0583501006036217,-0.1746031746031746,-0.2302631578947369,-0.0841487279843445,-0.1642857142857142,-0.0769230769230769,-0.1642857142857142,-0.1775043936731107,-0.2238805970149254,-0.2512000000000001,-0.3046062407132245,-0.2535885167464115,-0.1537070524412297,-0.2365415986949429,-0.2854961832061069,-0.3004484304932736,-0.2451612903225807,-0.1169811320754716,-0.1746031746031746,-0.2315270935960591,-0.2365415986949429,-0.1612903225806452,-0.28,-0.3675675675675676,-0.3922077922077922,-0.363265306122449,-0.2277227722772277,-0.3167883211678832,-0.3066666666666667,-0.363265306122449,-0.4045801526717557,-0.3408450704225352,-0.28,-0.3850197109067017,-0.390625,-0.3825857519788919,-0.3025335320417288,-0.2994011976047904,-0.276661514683153,-0.2571428571428571,-0.2390243902439025,-0.1846689895470383,-0.064,-0.0448979591836735
BBVN_02-L^I99,0.0158986461309154,-0.0158986461309154,4.0,-0.0396883369856343,1.6062487540718524,1.3856635071090049,-0.1551601423487544,4.016344232639789e-07,0.0725590455320185,4.292734917425728,-0.2226511198823732,-0.2887801560137094,-0.0607511192655221,0.135222999241884,-0.6037735849056605,0.98281990521327,0.0782773564463706,0.1034482758620691,0.0913978494623655,0.1534090909090908,0.1871345029239766,0.2228915662650601,0.025252525252525,-0.2101167315175097,-0.2564102564102565,-0.1781376518218624,-0.1912350597609562,-0.2281368821292776,-0.2222222222222222,-0.2007874015748032,-0.2192307692307693,-0.1541666666666666,-0.188,-0.1747967479674798,-0.0645161290322581,-0.1017699115044248,-0.0688073394495414,-0.0333333333333334,-0.0097560975609756,0.0913978494623655,-0.0896860986547085,-0.0097560975609756,0.0684210526315789,0.1153846153846152,0.1153846153846152,-0.0049019607843138,-0.0097560975609756,0.1032608695652173,0.0518134715025906,0.025252525252525,0.0797872340425531,0.0913978494623655,0.025252525252525,0.0099502487562188,0.1032608695652173,-0.0645161290322581,-0.0601851851851853,-0.0333333333333334,0.0740740740740739,0.0913978494623655,0.0913978494623655,0.0855614973262031,0.030456852791878,0.025252525252525,0.1666666666666665,0.1468926553672316
