firms,absacc,acc,age,agr,chpmia,currat,egr,herf,invest,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.0498582156991057,-0.0498582156991057,3.0,0.0051862034491376,7.883818019075254,0.8417645287563986,-0.3346440677966102,7.262406113273399e-06,0.2118220444888777,1.25242357541411,-0.5350198654176314,-0.1485523936200248,-0.0715733601650049,-0.7883916826115575,-0.0119963774679931,-5.970149253731352,0.4929238181270702,-0.0778326764003775,1.7420861381058286,-0.0826666666666666,0.0330578512396695,0.3489208633093525,0.1980830670926519,0.2798634812286689,0.2931034482758621,0.2626262626262625,0.0445682451253481,0.1029411764705883,0.1160714285714286,0.4258555133079849,0.3440860215053762,-0.2484969939879759,-0.4186046511627906,-0.4248466257668711,-0.4248466257668711,-0.2484969939879759,-0.267578125,-0.366554054054054,-0.1830065359477124,-0.228395061728395,-0.4419642857142857,-0.4680851063829787,-0.5179948586118253,-0.7002398081534772,-0.6215943491422805,-0.648876404494382,-0.6816638370118846,-0.706342991386061,-0.7264770240700219,-0.7124233128834356,-0.7124233128834356,-0.760230179028133,-0.7888513513513513,-0.7832369942196532,-0.7539370078740157,-0.7315676449534718,-0.7342310418143161,-0.7342310418143161,-0.7236551215917465,-0.7209821428571428,-0.6663701067615658,-0.6704745166959578,-0.7290462427745665,-0.7033227848101267,-0.715261958997722,-0.7506648936170213,-0.7560182173064411,-0.7622067216233355
BALZ_07-L^I10,0.0537624942980385,-0.0537624942980385,4.0,-0.1968686868686869,2.06315719308657,2.131091300646066,-0.124014644282463,3.1899561851788326e-08,-0.0338816738816738,0.0659973611597084,2.812806715056238,-0.0080445412319163,-0.0675567182806562,-0.3205582539450917,-0.0862935925358285,-2.319751381215469,1.5559673461211,-0.4893784786641929,1.7420861381058286,-0.0833333333333332,0.5,0.3333333333333332,0.1999999999999999,0.3333333333333332,0.714285714285714,0.0909090909090908,-0.142857142857143,-0.142857142857143,-0.0769230769230769,-0.0769230769230769,-0.142857142857143,-0.142857142857143,-0.1999999999999999,-0.25,-0.2941176470588236,-0.25,-0.2941176470588236,-0.4285714285714286,-0.5,-0.52,-0.5862068965517242,-0.6,-0.6363636363636365,-0.6666666666666667,-0.6470588235294118,-0.6842105263157895,-0.6666666666666667,-0.6756756756756757,-0.6470588235294118,-0.6571428571428571,-0.6363636363636365,-0.6756756756756757,-0.6571428571428571,-0.6842105263157895,-0.7,-0.7,-0.7446808510638299,-0.7857142857142858,-0.7966101694915254,-0.8125,-0.7894736842105263,-0.7931034482758621,-0.8,-0.7735849056603774,-0.7777777777777778,-0.8032786885245902,-0.7966101694915254,-0.75
BBEK_99-L^L95,0.0818751003371326,0.0818751003371326,3.0,0.1508977900552485,4.686556976317261,1.1534737351730815,0.0752351097178683,3.951607868507545e-06,0.0776933701657458,3.7214912925577535,0.642176737724428,-0.0477785481850653,-0.0264468769016489,-0.1300932967782724,-0.0482182584959831,0.7112970711297063,0.8585088356330185,0.0526632302405497,0.5551836576808673,-0.4104683195592286,-0.0692307692307692,0.1134969325153374,-0.0763358778625954,-0.0620155038759689,0.1134969325153374,-0.0497382198952879,-0.2074235807860261,-0.2210300429184549,-0.2725450901803607,-0.2681451612903226,-0.2591836734693878,-0.2621951219512195,-0.24375,-0.2210300429184549,-0.1577726218097447,-0.0371352785145888,-0.0162601626016259,-0.0522193211488251,0.0491329479768785,0.0225352112676056,0.0771513353115727,-0.0422163588390501,-0.0189189189189189,-0.032,0.110091743119266,0.0835820895522387,0.1343749999999999,0.1,0.0614035087719297,0.0552325581395347,0.1273291925465838,0.1634615384615383,0.0139664804469272,0.0739644970414201,0.2181208053691274,0.2346938775510203,0.2059800664451827,0.2431506849315068,0.2964285714285715,0.375,0.5991189427312775,0.5921052631578949,0.4462151394422311,0.4938271604938269,0.6133333333333333,0.4816326530612242,0.4404761904761904,0.4578313253012047
BBIO_50-L^J00,0.0180239324400942,0.0180239324400942,3.0,-0.0069584869751397,3.404728847614008,1.3763379204892965,-0.0258785472724599,9.75732811447854e-06,-0.0113001070536457,2.317947503721143,4.031832635145393,0.046633943134332,0.1434944809870935,-0.0797753595434988,-0.0562689932359572,0.8228882833787451,0.8205275229357798,-0.0562689932359572,1.96044025895833,-0.1793103448275862,0.0902255639097744,0.2719298245614037,0.2831858407079646,0.3425925925925925,0.4499999999999999,0.4948453608247423,0.294642857142857,0.1507936507936507,0.1153846153846154,0.25,0.25,0.2288135593220339,0.1693548387096775,0.1417322834645669,0.1788617886178862,0.3679245283018866,0.306306306306306,0.306306306306306,0.4646464646464645,0.3679245283018866,0.25,0.1417322834645669,0.0507246376811594,0.1068702290076335,0.1153846153846154,0.0984848484848484,0.1240310077519379,0.0,-0.0268456375838926,0.0740740740740739,0.1153846153846154,-0.0068493150684931,-0.0584415584415585,-0.0136054421768707,0.0902255639097744,0.0984848484848484,0.1153846153846154,0.1788617886178862,0.2083333333333332,0.2184873949579833,0.4499999999999999,0.3942307692307691,0.294642857142857,0.4077669902912619,0.4077669902912619,0.2831858407079646,0.3679245283018866,0.3551401869158876
BBNH_32-L^L97,0.0379427097328962,0.0379427097328962,5.0,-0.0247346072186836,-0.9901238422791702,1.356020942408377,0.006196518146946,0.0002014218234372,-0.1126326963906581,23.45127910286472,-27.83894186053864,0.103254829939021,0.1358179943496192,-0.020924161020593,-0.0687672982754949,0.5364741641337386,0.7949389179755671,-0.0687672982754949,0.7889691020600865,-0.111328125,0.0556701030927835,0.1557562076749437,0.1179039301310043,0.0940170940170941,0.1609977324263038,0.2457420924574209,0.2018779342723005,0.2307692307692308,0.2190476190476189,0.302798982188295,0.3837837837837836,0.3333333333333335,0.2610837438423647,0.2768079800498755,0.3989071038251366,0.5468277945619335,0.5147928994082842,0.700996677740864,0.8550724637681162,0.8962962962962961,0.8351254480286738,0.5562310030395137,0.5705521472392638,0.6100628930817609,0.8754578754578755,0.7534246575342467,0.8285714285714287,0.6842105263157894,0.6305732484076432,0.7964912280701755,0.9844961240310076,0.7716262975778547,0.620253164556962,0.7181208053691275,0.8550724637681162,0.9104477611940298,0.7839721254355401,0.8686131386861313,0.9844961240310076,1.0,1.3813953488372093,1.2857142857142856,1.2755555555555556,1.1069958847736625,1.098360655737705,1.0728744939271255,1.015748031496063,1.015748031496063
BBOU_00-L,0.0362195812110922,-0.0362195812110922,3.0,0.1466970387243735,0.7006273066250529,1.562439024390244,0.0202762268586541,2.278108011196497e-05,0.1138952164009111,27.331132163956333,-15.825686137335197,0.0064791261409546,0.008009228740936,-0.1320960067478173,0.1707122960604854,-0.4025157232704403,0.7521951219512195,0.1707122960604854,0.7861300654659951,-0.0959885386819485,-0.0071123755334281,0.0923317683881066,0.0219619326500732,0.0543806646525679,0.1870748299319728,0.2181500872600348,0.1518151815181518,0.1672240802675584,0.173109243697479,0.226713532513181,0.2442067736185382,0.2442067736185382,0.3295238095238095,0.3474903474903477,0.4978540772532189,0.5936073059360731,0.5863636363636364,0.6308411214953271,0.7066014669926652,0.7806122448979593,0.6941747572815535,0.4946466809421843,0.5206971677559915,0.55456570155902,0.8036175710594315,0.7989690721649487,0.8465608465608467,0.8129870129870131,0.7581863979848866,0.8563829787234045,1.0231884057971017,1.1280487804878052,1.0290697674418603,1.2300319488817897,1.3904109589041096,1.4751773049645394,1.5947955390334574,1.7588932806324116,2.0347826086956524,2.102222222222222,2.616580310880829,2.673684210526316,2.543147208121828,2.752688172043011,2.9659090909090917,2.693121693121693,2.635416666666667,2.712765957446809
BBQS_26-L^G99,0.0273847558192606,0.0273847558192606,3.0,0.0644492603410912,0.7540676365975261,1.9102374882597613,0.5096315691041705,5.707249282203323e-05,-0.0281729953830208,2.737022783000468,3.041017506600706,0.4550423174351988,0.7559829327762504,0.1889453053993007,-0.016628473466662,0.4858299595141711,1.1642291694619618,0.1047162649459101,0.5402582922222934,-0.1117318435754189,-0.0867346938775509,0.098159509202454,0.1623376623376622,0.0783132530120482,0.0718562874251498,0.0718562874251498,-0.0913705583756344,-0.1751152073732718,-0.2366737739872069,-0.2334047109207708,-0.1352657004830917,-0.2463157894736841,-0.2723577235772357,-0.2723577235772357,-0.184510250569476,0.081570996978852,-0.2572614107883817,-0.2663934426229508,-0.2868525896414342,-0.2603305785123966,-0.2980392156862744,-0.352622061482821,-0.3549549549549549,-0.3115384615384615,-0.2267818574514039,-0.1918735891647854,-0.3021442495126705,-0.3245283018867924,-0.3686067019400353,-0.3193916349809885,-0.3431192660550458,-0.3901192504258943,-0.4131147540983606,-0.3549549549549549,-0.3295880149812733,-0.3295880149812733,-0.3245283018867924,-0.3295880149812733,-0.3406998158379373,-0.3394833948339483,-0.2399150743099787,-0.2896825396825396,-0.3180952380952381,-0.3088803088803088,-0.2980392156862744,-0.3479052823315118,-0.3730297723292469,-0.337037037037037
BBTU_63-L^C18,0.0208163391741613,0.0208163391741613,3.0,0.0639998295042837,2.5218511746191967,1.7808687164470474,0.1444101247543022,3.772084080268351e-05,0.0032181066450705,5.619988052131978,3.0025839424267,0.2509604387640133,0.343948334361398,-0.1990026179961254,-0.0375642581141858,0.6562500000000003,1.4649422482511794,-0.0038942244441521,0.5988421099738787,-0.1234567901234567,-0.0674342105263158,0.1095890410958904,0.0124999999999999,0.1183431952662721,0.0124999999999999,-0.0035149384885765,-0.0597014925373134,-0.0928,-0.1575037147102527,-0.0956937799043061,0.0253164556962024,-0.0750407830342577,-0.1343511450381679,-0.1524663677130046,-0.085483870967742,0.069811320754717,0.0,-0.0689655172413793,-0.0750407830342577,0.0161290322580645,-0.1276923076923076,-0.2337837837837838,-0.2636363636363636,-0.2285714285714285,-0.0643564356435643,-0.1722627737226276,-0.16,-0.2285714285714285,-0.2786259541984733,-0.2014084507042253,-0.1276923076923076,-0.254927726675427,-0.26171875,-0.2519788918205805,-0.1549925484351714,-0.1511976047904191,-0.123647604327666,-0.0999999999999999,-0.0780487804878049,-0.0121951219512195,0.1339999999999999,0.157142857142857,0.0779467680608365,0.0988372093023255,0.1547861507128309,0.125,0.1431451612903225,0.1936842105263156
BBVN_02-L^I99,0.0158986461309154,-0.0158986461309154,4.0,-0.0396883369856343,4.917613995116872,1.3856635071090049,-0.1551601423487544,4.171318289841321e-07,0.0725590455320185,0.950998367608299,-8.740738930138042,-0.2226511198823732,-0.2887801560137094,0.135222999241884,-0.0719730609158999,-0.6037735849056605,0.98281990521327,0.0782773564463706,0.9696517183796596,-0.2295719844357976,-0.0586080586080586,0.0404858299595141,0.0239043824701195,-0.0228136882129277,-0.0153256704980843,0.0118110236220472,-0.0115384615384616,0.0708333333333333,0.028,0.0447154471544715,0.1843317972350229,0.1371681415929204,0.1788990825688072,0.2238095238095236,0.2536585365853658,0.3817204301075267,0.1524663677130044,0.2536585365853658,0.3526315789473684,0.4120879120879119,0.4120879120879119,0.2598039215686274,0.2536585365853658,0.3967391304347825,0.3316062176165804,0.297979797979798,0.3670212765957445,0.3817204301075267,0.297979797979798,0.2786069651741294,0.3967391304347825,0.1843317972350229,0.1898148148148146,0.2238095238095236,0.3597883597883597,0.3817204301075267,0.3817204301075267,0.374331550802139,0.3045685279187817,0.297979797979798,0.4770114942528733,0.4519774011299433,0.3597883597883597,0.389189189189189,0.2849999999999999,0.06198347107438,0.1271929824561404,0.1222707423580784
BBXK_89-L^E06,0.0383024921016358,0.0383024921016358,4.0,0.1003023160483705,-0.0889182124975651,1.2947467488021902,0.1000824402308327,8.833971717619031e-05,0.0518548882967822,22.53705587181029,-0.2937671174441852,-0.100418867464029,-0.0404932174810095,-0.0390485061898237,0.0312778421905653,0.3899652260308002,1.0053045859000684,0.0032208907667797,0.9446035865586248,-0.0252525252525253,-0.0075187969924812,0.1715976331360946,0.0476190476190476,0.1282051282051282,0.1999999999999999,0.2110091743119266,0.1647058823529412,0.2073170731707316,0.1445086705202312,0.1785714285714286,0.3797909407665505,0.3333333333333332,0.3112582781456954,0.4142857142857143,0.375,0.4831460674157304,0.5057034220532319,0.488721804511278,0.4721189591078067,0.523076923076923,0.4399999999999999,0.375,0.4193548387096775,0.4943396226415095,0.7999999999999998,0.7068965517241381,0.6296296296296295,0.6569037656903765,0.6708860759493669,0.6638655462184875,0.7757847533632287,0.6995708154506437,0.517241379310345,0.5903614457831323,0.7292576419213974,0.8767772511848342,0.9603960396039604,1.0842105263157895,1.0518134715025909,0.9038461538461536,1.1758241758241756,1.3294117647058823,0.9411764705882352,1.0518134715025909,1.2247191011235956,0.9411764705882352,0.9223300970873788,0.8947368421052633
