firms,age,agr,cashdebt,chcsho,chpmia,depr,egr,grltnoa,herf,lgr,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,7.0,0.0048186494758089,0.225211542633977,0.0007007708479327,-2.6337996392552787,0.0878022568511553,0.023020038167939,-0.0482655580096102,5.2930481984519096e-06,-0.0170658253262583,4.1759639481499295,0.0686877216686371,-0.0731796242925101,-0.0161290322580644,0.5274470976554917,0.0674740484429066,0.080373831775701,0.10727969348659,0.0743494423791821,0.1377952755905511,0.445,0.3196347031963471,0.3860911270983214,0.467005076142132,0.7000000000000002,0.6145251396648046,0.8766233766233766,0.8407643312101911,1.125,1.0496453900709222,1.1172161172161172,1.0866425992779782,1.2230769230769232,1.4700854700854702,1.2578125,1.5575221238938055,1.5240174672489082,1.5350877192982455,1.6513761467889907,1.6036036036036037,1.627272727272727,1.388429752066116,1.0791366906474824,1.1893939393939394,0.9395973154362418,0.9659863945578232,0.913907284768212,0.7950310559006211,0.6705202312138729,0.7100591715976332,0.8062499999999999,0.8291139240506329,0.913907284768212,0.9931034482758624,1.094202898550725,1.3400809716599191,2.36046511627907,2.79016393442623,3.757201646090535,2.986206896551725,2.36046511627907,2.082666666666667,2.184573002754821,3.158273381294965
BALZ_07-L^I10,8.0,0.1136246844069085,0.1521336811981475,-1.1138550954305873e-07,-6.696480544644277,0.2252258764004336,0.1625351617440224,-0.03279087098769,2.457385276176732e-08,0.0847479956336808,0.1286756621444893,-0.0395994973073312,-0.0318795647906797,0.157416030016726,0.4033803764624472,-0.096774193548387,0.1481481481481481,0.1923076923076923,0.3478260869565217,0.3478260869565217,0.2916666666666667,0.24,0.1923076923076923,0.2916666666666667,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.4761904761904763,0.4090909090909091,0.3478260869565217,0.3478260869565217,0.1923076923076923,0.1481481481481481,0.0689655172413794,0.0333333333333334,-0.03125,-0.088235294117647,-0.1142857142857142,-0.0606060606060606,-0.03125,-0.03125,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.3478260869565217,0.5499999999999998,0.8235294117647058,0.8235294117647058,1.3846153846153846,1.214285714285714,1.214285714285714,1.3846153846153846,1.3846153846153846,3.428571428571428,2.1,2.4444444444444446,2.1,1.8181818181818183,1.8181818181818183,1.5833333333333337,2.875,2.4444444444444446
BAMD_17-L^J98,7.0,0.1803260872673818,0.0891417070187868,0.0012187690432663,-1.3520729071562412,0.0560997506234413,0.0918002973503957,-0.0087201180521396,5.52013682861183e-08,0.2491410591489254,0.6665837117785124,-0.1856084474472362,0.126160324838273,0.1428945847902358,0.7977504304100986,0.0046948356807512,0.0649999999999999,0.0240384615384614,0.009478672985782,0.0492610837438423,0.0339805825242718,0.0441176470588233,0.0390243902439024,0.0544554455445545,0.3148148148148146,0.2831325301204819,0.3566878980891719,0.4689655172413793,0.439189189189189,0.3148148148148146,0.2033898305084744,0.290909090909091,0.3481012658227846,0.2678571428571428,0.1703296703296701,0.2033898305084744,0.2987804878048781,0.3831168831168829,0.0492610837438423,-0.0093023255813953,-0.0616740088105727,-0.1087866108786611,-0.0575221238938052,0.0142857142857142,0.0492610837438423,0.086734693877551,0.1576086956521738,0.1576086956521738,0.0757575757575756,0.0544554455445545,0.1767955801104972,0.2312138728323698,0.3741935483870966,0.3741935483870966,0.439189189189189,0.6904761904761905,0.6384615384615384,1.048076923076923,0.972222222222222,0.6904761904761905,0.5777777777777775,0.3741935483870966,0.439189189189189,0.6904761904761905
BBIO_50-L^J00,7.0,0.0453905550104518,0.1880347730850845,0.0028653295128939,-3.0613179257830105,0.123462028001697,0.1580395098774694,-0.0396279147374084,1.2555145127465586e-05,-0.0111632972568238,6.508411738106491,0.0067006245344186,0.171403125253016,0.171403125253016,1.019371341956115,0.0153374233128835,0.1438596491228068,0.1560283687943262,0.2395437262357413,0.1941391941391941,0.1985294117647056,0.1684587813620071,0.2301886792452829,0.3415637860082303,0.4954128440366969,0.5305164319248825,0.4885844748858448,0.5450236966824644,0.689119170984456,0.7526881720430105,0.6464646464646464,0.5450236966824644,0.5980392156862744,0.5748792270531402,0.5377358490566035,0.5523809523809522,0.7340425531914894,0.6464646464646464,0.5523809523809522,0.7912087912087911,0.8011049723756904,0.5980392156862744,0.8314606741573032,0.963855421686747,1.024844720496894,1.0897435897435894,0.963855421686747,0.9757575757575758,1.1447368421052628,1.0764331210191085,1.0,1.0897435897435894,1.0632911392405062,1.0632911392405062,1.1589403973509933,1.3970588235294112,1.3970588235294112,1.5076923076923072,1.834782608695652,1.451127819548872,1.7394957983193278,1.2482758620689656,1.451127819548872,1.8596491228070176
BBNH_32-L^L97,9.0,0.139482564679415,0.1138646051585868,0.0004770992366412,-1.9051068610677768,0.1084057971014492,-0.1238662131519274,0.0757097791798107,9.656835374861684e-05,0.2353036175710594,17.254068603767912,0.0533533507488317,0.031491002570694,0.031491002570694,0.7497550291741281,0.030878859857482,-0.0366132723112128,-0.0366132723112128,-0.0926724137931034,-0.0410022779043279,-0.0344036697247707,-0.0431818181818183,0.0293398533007336,0.1049868766404198,0.0878552971576227,0.0551378446115287,0.0577889447236181,0.0658227848101264,0.1108179419525066,0.1534246575342466,0.0343980343980343,0.1137566137566137,0.0095923261390886,0.0472636815920399,-0.0539325842696629,0.0144578313253012,0.0218446601941746,-0.0094117647058823,-0.1155462184873948,-0.0685840707964601,-0.1004273504273504,-0.1210855949895616,-0.1155462184873948,0.0095923261390886,0.0318627450980391,0.0120192307692306,-0.0747252747252746,0.0071770334928229,-0.0209302325581395,0.0395061728395063,0.0268292682926829,-0.025462962962963,-0.0726872246696035,-0.0453514739229025,-0.0946236559139785,-0.0581655480984339,0.0218446601941746,0.0472636815920399,0.0850515463917525,-0.0023696682464454,-0.0747252747252746,-0.177734375,-0.1319587628865979,-0.0496613995485326
BBOU_00-L,7.0,0.0522083226959407,0.1949875344442986,-0.0493583415597235,1.6287922293209096,0.0817228050800662,0.0858880162148467,-0.0171673819742382,1.822214554828508e-05,0.0188079470198675,17.635395088371574,-0.0145522875613656,0.007514450867052,0.007514450867052,0.6693176465022274,0.0390334572490707,0.0131826741996234,0.0131826741996234,-0.0200364298724955,0.0112781954887217,-0.0819112627986349,-0.1063122923588039,-0.0659722222222222,-0.0627177700348432,-0.037567084078712,-0.0288808664259928,-0.007380073800738,0.0208728652751424,0.1047227926078029,0.1047227926078029,0.0326295585412668,0.02868068833652,-0.009208103130755,0.0267175572519082,-0.0460992907801418,0.0426356589147285,0.0611439842209071,-0.0146520146520147,-0.0323741007194243,-0.0055452865064695,-0.1063122923588039,-0.1194762684124386,-0.027124773960217,-0.0218181818181818,0.0717131474103587,0.0979591836734692,-0.0865874363327673,-0.0018552875695732,-0.0235934664246824,-0.0110294117647059,-0.0341113105924596,-0.0659722222222222,0.0306513409961686,0.0112781954887217,-0.0988274706867671,-0.1671826625386997,-0.1294498381877022,-0.135048231511254,-0.1092715231788079,-0.146031746031746,-0.1473851030110934,-0.2292263610315187,-0.2347083926031294,-0.1580594679186228
BBQS_26-L^G99,7.0,-0.2845765986522783,0.0124675324675324,0.0054308989566957,4.134055794935602,0.1149784904184591,0.0032095369096744,-0.146141801499869,1.7880852066321154e-05,-0.3203775680177679,2.3873741839146776,-0.0700995568488356,0.0339282746827213,-0.1896940116388212,1.586629480752292,-0.0324324324324324,0.0724637681159421,0.0393258426966292,0.0946745562130177,0.1935483870967742,0.1144578313253013,0.0571428571428571,-0.0364583333333332,-0.0609137055837563,0.0335195530726257,0.0054347826086955,0.0,-0.0053763440860215,0.0335195530726257,0.0571428571428571,0.0335195530726257,0.1419753086419752,0.1077844311377247,0.0693641618497109,0.0335195530726257,0.0882352941176471,0.2091503267973857,0.1490683229813665,0.0946745562130177,0.0946745562130177,0.0571428571428571,0.0335195530726257,0.1635220125786163,0.2012987012987013,0.128048780487805,0.1708860759493671,0.0946745562130177,0.25,0.2847222222222223,0.2333333333333334,0.1783439490445859,0.15625,0.1490683229813665,0.2758620689655173,0.3909774436090225,0.5811965811965814,0.7452830188679245,1.1764705882352944,0.8500000000000001,0.4566929133858268,0.1635220125786163,0.0335195530726257,-0.0561224489795917,0.1349693251533743
BBTU_63-L^C18,7.0,-0.1368675419147505,0.0604902897166507,0.0008576329331046,-9.528884168305646,0.0276443536024527,-0.0593393898020269,-0.0595817510830496,2.2198548484511075e-05,-0.2068506184586108,4.273509445016652,0.7950298353729649,0.0069966514786573,-0.1176645951338087,0.8979422270033839,0.0219298245614036,0.0155902004454342,0.1176470588235292,0.291784702549575,0.3217391304347825,0.1603053435114503,0.1041162227602905,0.1399999999999999,0.1041162227602905,0.1041162227602905,0.0434782608695651,0.0629370629370629,0.1041162227602905,0.072941176470588,0.1259259259259257,0.1041162227602905,0.2031662269129286,0.2596685082872927,0.2425068119891007,0.1315136476426797,0.0987951807228912,0.2225201072386058,0.1603053435114503,0.0155902004454342,-0.0277185501066099,-0.1058823529411765,-0.0731707317073171,0.1632653061224489,0.2527472527472525,0.0987951807228912,0.0044052863436121,-0.0636550308008214,-0.0043668122270743,0.0,0.0555555555555553,0.1603053435114503,0.072941176470588,-0.0297872340425533,-0.0952380952380953,0.0340136054421766,-0.0256410256410256,0.0857142857142856,0.0987951807228912,0.3217391304347825,0.0679156908665106,-0.0824949698189134,-0.1957671957671958,-0.2500000000000001,-0.1076320939334639
BBVN_02-L^I99,8.0,0.0908761766835627,0.1784651992861392,0.0002949852507374,-2.927839021945581,0.1764705882352941,0.1497326203208555,-0.0412121212121204,1.437297432198682e-07,0.0475030450669915,0.9386074696093212,-0.0957588137726749,-0.0854119017899022,-0.0267211568689091,0.5370130550238527,0.1679999999999999,0.1061946902654868,0.0080645161290322,-0.0234375,-0.0458015267175573,-0.0458015267175573,-0.0671641791044777,-0.0310077519379845,0.0245901639344261,0.1363636363636362,0.1160714285714283,0.146788990825688,0.25,0.3020833333333335,0.3586956521739131,0.3736263736263736,0.5060240963855422,0.4534883720930232,0.4534883720930232,0.3157894736842106,0.4534883720930232,0.5432098765432098,0.3736263736263736,0.3586956521739131,-0.0234375,-0.0740740740740741,-0.1319444444444444,0.0245901639344261,-0.0310077519379845,-0.1379310344827585,-0.0942028985507246,-0.3781094527363183,-0.2774566473988439,-0.2088607594936709,-0.2732558139534884,-0.2937853107344632,-0.2774566473988439,-0.3556701030927834,-0.4292237442922374,-0.4419642857142858,-0.3842364532019704,-0.3279569892473118,-0.2897727272727273,-0.2690058479532163,-0.2469879518072288,-0.3686868686868687,-0.5136186770428015,-0.5421245421245422,-0.4939271255060729
BBXK_89-L^E06,8.0,0.1128266241390791,0.3891721117254254,0.0003553660270078,0.1569716213706592,0.0467856726169641,0.1089396753613826,-0.0043297942932972,7.841759845208625e-05,0.1204323995127891,23.353283820934607,-0.059030404896552,-0.01317957692824,0.0624550062440315,0.7585479589253985,0.034,-0.0118577075098813,-0.0196078431372548,-0.0601503759398496,-0.0366088631984586,0.0141987829614604,-0.0234375,-0.0291262135922331,-0.0366088631984586,0.0482180293501048,0.0121457489878542,0.0,0.0121457489878542,0.1185682326621924,0.0940919037199123,0.0638297872340425,0.0570824524312896,0.0183299389002036,0.0615711252653927,-0.0157480314960629,0.006036217303823,0.0615711252653927,0.1135857461024498,-0.0347490347490346,0.0395010395010395,0.0,-0.0291262135922331,-0.0671641791044777,-0.0512333965844401,0.0504201680672269,0.0964912280701755,0.1037527593818983,0.1682242990654205,0.2077294685990338,0.272264631043257,0.2254901960784314,0.2315270935960591,0.272264631043257,0.3297872340425531,0.2853470437017995,0.2437810945273633,0.3089005235602096,0.2853470437017995,0.4204545454545454,0.3440860215053762,0.2953367875647668,0.2626262626262625,0.2531328320802004,0.4792899408284023
