firms,age,agr,cashdebt,chcsho,chempia,chpmia,depr,egr,grltnoa,herf,hire,invest,lgr,mve_ia,pchdepr,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,10.0,-0.4536251212415131,0.3408582089552238,0.0316766794101583,0.3849788377541626,0.1955003053207227,0.1193317422434367,-0.4106394411606663,-0.4808498961150912,5.07951605703911e-06,0.1674674435289258,-0.5613482056256063,-0.5092476706994855,0.7351315214968528,0.4733073734455469,0.3997882557447076,0.3099404068464915,-0.0650595931535085,0.7878280837473558,0.0714285714285714,-0.2515723270440252,-0.3425414364640884,-0.4265060240963856,-0.4870689655172413,-0.502092050209205,-0.4870689655172413,-0.5220883534136547,-0.45662100456621,-0.7804428044280443,-0.7986463620981388,-0.7684824902723735,-0.7746212121212122,-0.7600806451612904,-0.7666666666666666,-0.7484143763213531,-0.7750472589792061,-0.8055555555555556,-0.8029801324503312,-0.8114104595879557,-0.7986463620981388,-0.8102073365231259,-0.8029801324503312,-0.7989864864864865,-0.7951807228915663,-0.8058727569331159,-0.8016666666666666,-0.8083735909822867,-0.8010033444816054,-0.807131280388979,-0.7941176470588236,-0.7775700934579439,-0.7720306513409961,-0.7788104089219331,-0.765748031496063,-0.7025,-0.728310502283105,-0.7146282973621103,-0.6979695431472082,-0.65,-0.6675977653631285,-0.6136363636363636,-0.6210191082802548,-0.5625,-0.5780141843971631,-0.5641025641025641,-0.5703971119133574,-0.5423076923076924,-0.4914529914529915
BALZ_07-L^I10,10.0,0.0219924914304369,0.2327529002585635,0.0011725406018994,-0.333773578846491,-0.1504201922372501,0.2932646212847555,0.0675062019089265,-0.0113125702999283,1.5661774504420484e-08,-0.145192936559843,-0.0196855106371401,-0.0254817358303024,0.1711190412519736,-0.0319136558585792,-0.0239793655479703,-0.0413290896241814,-0.0803568593834333,0.4919356362076808,0.0952380952380953,-0.0869565217391304,-0.125,-0.125,-0.1764705882352941,0.0,-0.0232558139534884,0.0769230769230768,0.0,0.0769230769230768,0.0499999999999998,0.0499999999999998,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.3999999999999999,0.3999999999999999,0.3125,0.2352941176470586,0.024390243902439,0.0499999999999998,0.1052631578947367,0.1666666666666667,0.2727272727272727,0.2352941176470586,0.1666666666666667,0.3125,0.4482758620689655,0.4482758620689655,0.4999999999999998,0.3548387096774192,0.5555555555555554,0.6153846153846152,0.826086956521739,0.826086956521739,0.75,0.6799999999999999,0.6153846153846152,0.75,1.0999999999999996,1.0999999999999996,1.0999999999999996,1.0999999999999996,1.0,0.909090909090909,0.826086956521739,0.826086956521739,0.6153846153846152,0.5555555555555554
BBIO_50-L^J00,9.0,-0.0167079702614118,0.2022552849583021,0.0014084507042253,0.2463558450053686,1.2880281922066328,0.1057007125890736,-0.236072807501379,0.0235801523640559,9.3700869996663e-06,0.1071658478739622,0.105364137820769,0.0787306341070091,7.813214477354917,-0.1495289040013775,-0.155822604587185,-0.0135746606334841,-0.0135746606334841,0.7498188340928781,0.2429667519181586,-0.1349557522123893,-0.2303149606299213,-0.2851919561243143,-0.366288492706645,-0.333901192504259,-0.2732342007434943,-0.2116935483870967,-0.0578313253012048,-0.0712589073634203,-0.1032110091743119,-0.1330376940133036,-0.1663113006396589,-0.0416666666666666,0.1014084507042254,0.1366279069767442,0.0891364902506963,0.2142857142857142,0.1706586826347307,0.225705329153605,0.1671641791044775,0.1568047337278106,0.0454545454545454,0.0103359173126615,0.0077319587628865,0.1014084507042254,0.1533923303834807,0.1741741741741742,0.1777108433734939,0.1812688821752266,0.1993865030674848,0.3719298245614035,0.3865248226950355,0.4866920152091256,0.4322344322344322,0.4375,0.4014336917562724,0.4754716981132076,0.6090534979423867,0.7935779816513762,0.835680751173709,0.7853881278538815,0.8530805687203793,1.0259067357512954,1.1021505376344083,0.9747474747474748,0.8530805687203793,0.9166666666666669,0.8888888888888891
BBOU_00-L,10.0,1.2083706642774863,0.2423352069494123,-0.0011160714285714,6.315933297246156,-0.6338959384639037,0.1859614105123087,0.0895953757225433,0.2798101089081262,0.0002596013286622,2.7474580394064705,0.3203634967362089,2.3903533370723498,36.87904839570983,1.04674508425497,1.956056510597436,2.1536997885835096,2.1536997885835096,1.1338393146520904,0.2523191094619668,-0.1511811023622047,-0.2429775280898877,-0.2555248618784531,-0.2376237623762377,-0.2616438356164383,-0.2686567164179105,-0.1525157232704403,-0.0217785843920145,-0.1682098765432099,-0.1484992101105845,-0.1498422712933754,-0.2085168869309838,-0.1511811023622047,-0.1967213114754098,-0.2222222222222222,-0.1820940819423369,-0.072289156626506,-0.0674740484429067,0.0189035916824196,0.0737051792828684,0.0169811320754715,0.0486381322957198,0.0589390962671905,0.0074766355140187,-0.0253164556962026,0.005597014925373,-0.0146252285191956,0.005597014925373,-0.035778175313059,0.0018587360594795,0.015065913370998,0.015065913370998,-0.0182149362477231,0.013157894736842,-0.0802047781569966,-0.1046511627906976,-0.0642361111111111,-0.0609756097560976,-0.035778175313059,-0.0270758122743682,-0.0055350553505535,0.0227703984819733,0.1067761806981517,0.1067761806981517,0.0345489443378117,0.0305927342256213,-0.007366482504604,0.0286259541984732
BBQS_26-L^G99,9.0,-0.0462548492987168,0.1215626864986457,-0.5,0.0140000799165109,-0.0768635774742332,0.1156758803483528,-0.0216284987277355,-0.0581029479150742,1.1168957105830272e-05,0.0060900947348069,-0.0475678901820352,-0.0582100196113388,0.4631025647664538,-0.0058222356646134,-0.0063231887698314,0.0375047657381329,-0.0358355925337322,0.8918240659398123,-0.6084905660377359,-0.2401433691756271,-0.3782991202346041,-0.36144578313253,-0.4127423822714681,-0.4094707520891364,-0.4159779614325068,-0.3633633633633634,-0.2664359861591695,-0.2861952861952862,-0.3139158576051779,-0.3782991202346041,-0.370919881305638,-0.345679012345679,-0.3333333333333333,-0.3536585365853658,-0.3960113960113959,-0.4175824175824175,-0.4464751958224543,-0.4578005115089514,-0.4301075268817204,-0.47,-0.4159779614325068,-0.3977272727272727,-0.4143646408839778,-0.4316353887399463,-0.4143646408839778,-0.3942857142857142,-0.4175824175824175,-0.4078212290502793,-0.427027027027027,-0.3855072463768115,-0.4044943820224719,-0.3727810650887573,-0.3161290322580645,-0.36144578313253,-0.3942857142857142,-0.4479166666666666,-0.4619289340101522,-0.4078212290502793,-0.4239130434782608,-0.427027027027027,-0.4301075268817204,-0.4078212290502793,-0.3942857142857142,-0.4078212290502793,-0.345679012345679,-0.3652694610778443,-0.3872832369942196
BBTU_63-L^C18,9.0,0.1005559506108991,0.127089215590822,0.0008382229673093,0.0258612043593275,0.3930742129623527,0.0233869283775318,-0.0284094196609384,0.0828165633126624,1.6990501027722703e-05,0.0112497346760688,0.0565324196780658,0.2671620925612539,4.123959686054874,-0.1654510686266151,-0.0138922145434006,-0.0439385948620132,-0.0021963081106521,0.5747382988090678,0.0876494023904383,-0.1161971830985916,-0.2393939393939393,-0.3455019556714472,-0.3779429987608427,-0.3878048780487805,-0.3840490797546013,-0.3234501347708896,-0.2828571428571429,-0.2119309262166405,-0.2428355957767722,-0.2180685358255452,-0.247376311844078,-0.2082018927444795,-0.1404109589041096,-0.1633333333333334,-0.1299826689774696,-0.1051693404634582,-0.0599250936329588,-0.0905797101449275,-0.1051693404634582,-0.0987432675044884,0.0203252032520324,0.0480167014613777,-0.0059405940594059,-0.0019880715705766,0.0913043478260868,0.1487414187643019,0.0842332613390928,0.0772532188841199,0.1008771929824561,0.1180400890868595,0.2303921568627449,0.4220963172804532,0.4550724637681158,0.2773536895674298,0.2154963680387409,0.2549999999999999,0.2154963680387409,0.2154963680387409,0.1487414187643019,0.17016317016317,0.2154963680387409,0.1811764705882352,0.239506172839506,0.2154963680387409,0.3245382585751977,0.3867403314917126,0.3678474114441417
BBVN_02-L^I99,10.0,-0.0498678996036988,0.144223693892568,0.000866050808314,0.0254378501246487,-0.0604331387294009,0.2065404475043029,-0.0444203683640302,-0.0413209144792546,1.3870063384141342e-07,0.0110655737704918,-0.0260898282694847,-0.0557939914163089,1.1111329925704307,0.1264264742041395,-0.0294089333846746,0.0057132126397269,0.0165094339622642,0.9783509370310858,0.381578947368421,-0.1827956989247312,-0.327433628318584,-0.2863849765258215,-0.3059360730593606,-0.2475247524752475,-0.1783783783783784,-0.1508379888268156,-0.0256410256410256,-0.067484662576687,0.0,0.0,-0.0952380952380952,-0.073170731707317,-0.0952380952380952,-0.1264367816091953,-0.1264367816091953,-0.1555555555555555,-0.1412429378531073,-0.0952380952380952,-0.089820359281437,-0.0843373493975903,-0.0843373493975903,-0.0256410256410256,-0.0129870129870129,-0.0379746835443037,0.0,0.0,0.0,0.0410958904109588,0.2159999999999999,0.3451327433628319,0.2258064516129032,0.1875,0.1603053435114503,0.1603053435114503,0.1343283582089551,0.1782945736434107,0.2459016393442623,0.3818181818181816,0.357142857142857,0.3944954128440365,0.52,0.5833333333333335,0.6521739130434783,0.6703296703296704,0.8313253012048194,0.7674418604651163,0.7674418604651163
BBXK_89-L^E06,10.0,0.1163968645539872,0.4091329456010193,0.0010478519035976,0.1041091880421851,0.0497663247312938,0.0398735541346361,0.1184509747643123,0.0541975887659317,7.927680563021407e-05,0.0452879427633122,0.1006612462959989,0.1131280670517219,19.620976478105693,-0.1158504725391714,-0.0726058315186976,1.051186574682156,0.051186574682156,0.6819566973097183,0.0,-0.1705790297339593,-0.1282894736842106,-0.1858678955453149,-0.1833590138674885,-0.2217327459618208,-0.2395982783357245,-0.2182890855457228,-0.219440353460972,-0.2514124293785311,-0.2876344086021506,-0.2649098474341192,-0.3089960886571056,-0.2514124293785311,-0.2450142450142449,-0.1181364392678868,-0.1077441077441078,-0.0893470790378008,-0.0734265734265734,-0.0986394557823129,-0.0846286701208981,-0.086206896551724,-0.1047297297297297,-0.1225165562913908,-0.1181364392678868,-0.0877796901893287,-0.075043630017452,-0.0569395017793594,-0.0293040293040293,0.0251450676982591,0.06,0.0474308300395256,0.0392156862745098,-0.0037593984962407,0.0211946050096338,0.0750507099391482,0.03515625,0.0291262135922329,0.0211946050096338,0.1111111111111111,0.0728744939271253,0.06,0.0728744939271253,0.1856823266219238,0.159737417943107,0.127659574468085,0.1205073995771668,0.0794297352342159,0.1252653927813163
BCPS_48-L^C06,9.0,0.0151417170076181,0.1390707569830485,0.001564945226917,-0.0539799215080747,0.2406979939211902,0.0450979373408842,0.0821036548590729,-0.0437375745526743,4.0854052515430825e-05,-0.0234814970858787,-0.0438636614564439,-0.0312652002377992,6.426859035961649,-0.2159866155778414,0.5035264181005197,0.0528252196612706,-0.1654538274947819,0.4686095329022767,0.2727272727272727,-0.2419354838709677,-0.4552160168598524,-0.4151583710407239,-0.3793517406962785,-0.4151583710407239,-0.419753086419753,-0.3601485148514851,-0.2614285714285714,-0.2528901734104046,-0.2009273570324574,-0.2539682539682539,-0.2272047832585949,-0.2106870229007633,-0.1634304207119741,-0.1552287581699346,-0.190923317683881,-0.1524590163934426,-0.1538461538461538,-0.2142857142857143,-0.2070552147239263,-0.123728813559322,-0.123728813559322,-0.1383333333333333,-0.1806656101426307,0.0,0.0551020408163265,0.0637860082304526,-0.0114722753346081,-0.0152380952380952,-0.0263653483992466,-0.0208333333333333,-0.044362292051756,0.0861344537815127,0.0681818181818181,0.0659793814432989,0.0594262295081966,-0.0667870036101083,-0.1055363321799308,-0.1132075471698113,-0.1728,-0.1070811744386873,-0.1055363321799308,-0.0881834215167548,-0.1070811744386873,-0.1524590163934426,-0.1482701812191104,-0.1896551724137931,-0.1566068515497553
BCUB_73-L^L00,9.0,0.1094408653463772,0.2050718954248366,0.0492795990812278,0.2892564954080728,-0.1771242828310542,0.1261061946902655,0.2098613251155624,-0.022622728301031,3.3891202819771068e-06,0.1258278145695364,0.0450966356478168,0.0751953124999999,2.791453234868316,0.0618327498858471,0.023510639213964,0.0978421900161031,0.0978421900161031,0.7629493021553341,0.0612244897959184,-0.109090909090909,-0.1813842482100238,-0.2717622080679405,-0.4283333333333333,-0.3600746268656716,-0.361266294227188,-0.3729433272394881,-0.2151029748283752,-0.2607758620689654,-0.2971311475409836,-0.3540489642184556,-0.4888226527570789,-0.4186440677966102,-0.3588785046728971,-0.3365570599613152,-0.3918439716312056,-0.3576779026217228,-0.3648148148148148,-0.3540489642184556,-0.3808664259927797,-0.4106529209621993,-0.3763636363636363,-0.3961267605633802,-0.4225589225589226,-0.3763636363636363,-0.3466666666666667,-0.3683241252302025,-0.3516068052930057,-0.3683241252302025,-0.312625250501002,-0.2956878850102669,-0.2883817427385892,-0.2527233115468409,-0.2239819004524886,-0.2060185185185185,-0.2292134831460673,-0.2004662004662004,-0.1714975845410626,-0.1381909547738693,-0.109090909090909,-0.0550964187327822,-0.0828877005347593,0.0,0.0088235294117646,-0.1020942408376962,-0.0828877005347593,-0.0392156862745096,-0.0115273775216138
