firms,age,agr,cash,cashdebt,chatoia,chcsho,che,chpmia,egr,herf,lgr,mve_ia,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,21.0,0.2936037466713539,0.0854038536916877,0.2116650390477371,1.337336460982272,9.372508115706965e-05,-1.777,-0.0261255884120159,0.4124598002708191,5.2612390537723647e-08,0.1625355519958155,0.2495702009457178,0.0071056309263628,-0.0112465689587929,0.0031861692338015,0.0202076333107598,0.0513182364267728,0.2208223579741823,0.8206789318100738,0.0555555555555553,-0.0949720670391061,0.1172413793103448,0.0945945945945947,0.0519480519480519,0.0384615384615385,-0.0061349693251532,0.265625,0.2461538461538461,0.2461538461538461,0.1250000000000002,0.1911764705882352,0.1020408163265307,-0.1562499999999999,-0.3414634146341463,-0.3571428571428571,-0.352,-0.4234875444839857,-0.2173913043478259,-0.173469387755102,-0.0999999999999999,-0.0847457627118644,-0.0847457627118644,-0.1049723756906076,-0.2285714285714285,-0.0999999999999999,0.0318471337579617,-0.0357142857142855,-0.0470588235294117,0.0124999999999999,0.0318471337579617,0.0,0.0519480519480519,0.0124999999999999,0.0253164556962024,0.08,0.1824817518248174,0.265625,0.433628318584071,0.5283018867924529,0.603960396039604,0.6363636363636365,0.603960396039604,0.5428571428571429,0.4727272727272726,0.5428571428571429,0.6701030927835052,0.6875000000000002,1.0
BBOU_00-L,21.0,0.1290946527734448,0.0809640273107102,0.1443180070736583,0.6533261154924102,1.368422216604567e-05,142.0,-0.0269945627291789,-0.0791881074899942,4.272257991470246e-05,0.1947350658116773,14.52141247805489,-0.030312170969771,-0.0035088550629081,0.0528549832821661,0.0283488063660477,0.1592673082893511,0.1509270704573547,0.3088786772992272,0.0297029702970297,0.0575916230366491,0.0498960498960499,0.086021505376344,0.1259754738015606,0.1981020166073546,0.2392638036809815,0.2784810126582278,0.2562189054726369,0.1038251366120217,0.0509885535900105,0.1412429378531072,0.0233029381965552,0.0531803962460897,0.0,0.1503416856492028,0.1234705228031145,0.0327198364008181,-0.0297790585975024,-0.0453686200378071,-0.0222652468538238,-0.0213178294573643,-0.0648148148148148,-0.0639481000926783,-0.0725436179981635,-0.0725436179981635,-0.0353390639923592,0.0120240480961923,-0.0307101727447217,-0.0682656826568266,-0.0453686200378071,-0.0213178294573643,0.0140562248995983,0.008991008991009,0.0079840319361277,0.0348360655737705,0.0348360655737705,0.0733262486716259,0.0744680851063828,0.0895361380798274,0.0966340933767642,0.1373873873873872,0.1160220994475136,0.1098901098901099,0.1399548532731378,0.1938534278959809,0.1981020166073546,0.1910377358490564,0.212484993997599
BBTU_63-L^C18,21.0,-0.1637964321569234,0.0229035833025489,0.1445356277791836,0.886745580868981,1.8247739844078423e-05,-63.1,-0.0952776526009191,-0.8158536585365854,5.250401641060483e-07,-0.2955819828701707,0.6944823604540369,-0.0962840415831965,0.8806415834826381,-0.1131005942395145,0.015289079229122,-0.0536519386834986,-0.1193584165173619,0.3240340272888205,0.1039999999999998,-0.2331288343558282,-0.2378048780487804,-0.1830065359477124,-0.2038216560509554,-0.2816091954022989,-0.375,-0.228395061728395,-0.1197183098591548,-0.1496598639455781,-0.2088607594936709,-0.1721854304635761,-0.1258741258741258,-0.2236024844720497,-0.3589743589743589,-0.4047619047619047,-0.4019138755980861,-0.5210727969348659,-0.5487364620938628,-0.5503597122302157,-0.5098039215686274,-0.5210727969348659,-0.5454545454545454,-0.5210727969348659,-0.6376811594202898,-0.6648793565683646,-0.6565934065934066,-0.6301775147928994,-0.6648793565683646,-0.6397694524495677,-0.6397694524495677,-0.6334310850439883,-0.6376811594202898,-0.6770025839793281,-0.648876404494382,-0.6387283236994219,-0.6428571428571428,-0.6246246246246246,-0.6212121212121212,-0.6212121212121212,-0.6418338108882522,-0.6268656716417911,-0.649859943977591,-0.8677248677248677,-0.859075535512965,-0.8585972850678734,-0.8574686431014823,-0.8458692971639951,-0.8483009708737864
BFRL_28-L,21.0,-0.0978789239647906,0.0350654940344508,-0.021940677752744,0.3964304228980589,0.0001504914629804,8.5994,0.0818611284175928,-0.2532720637449499,6.03466593467233e-08,-0.0616596210959953,0.0841703608845749,-0.19266807039165,1.19266807039165,0.19266807039165,-0.0037276171773924,-0.0240764937656365,0.19266807039165,1.7125841731077014,0.004424778761062,-0.0065934065934066,0.0249433106575962,0.0610328638497652,0.0536130536130534,0.0487238979118329,0.013452914798206,-0.0341880341880341,0.0343249427917617,0.0044444444444442,-0.0258620689655172,0.0635294117647058,-0.4619047619047619,-0.47010550996483,-0.6123499142367067,-0.6042031523642732,-0.8095238095238095,-0.7787567302985805,-0.8309016086793864,-0.8062580368624089,-0.7754595131644312,-0.771255060728745,-0.7595744680851064,-0.7372093023255815,-0.7312722948870393,-0.750551876379691,-0.74230330672748,-0.7678479712378017,-0.792183908045977,-0.8333333333333334,-0.8274150439098893,-0.8263542066845947,-0.8330254894717399,-0.8300751879699249,-0.831657355679702,-0.8321574452283699,-0.8312803284807764,-0.8266206367472191,-0.8186195826645265,-0.8214849921011058,-0.8216258879242304,-0.8144499178981938,-0.834855681402996,-0.8296910324039186,-0.8252802473908002,-0.8259530227185214,-0.8244660194174758,-0.8260200153964589,-0.575984990619137
BJJT_37-L,20.0,0.2966239476576951,0.0868636001360495,0.0028794949808802,0.0307736992733913,0.0001800008484037,-12.999999999999998,-0.2464943054272063,0.0625984251968503,8.65152891189889e-08,0.2654423807366624,0.6666060689784389,-0.2155497534087612,0.2155497534087612,0.2155497534087612,0.0007610642107955,0.0230174081237911,0.2155497534087612,-0.4862362099526892,-0.0498084291187739,-0.043956043956044,0.1599999999999999,0.3957219251336896,0.3049999999999999,0.544378698224852,0.4829545454545454,0.5535714285714286,0.5086705202312138,0.4662921348314606,0.4662921348314606,0.359375,0.4745762711864405,0.1863636363636363,0.1548672566371682,0.2608695652173913,0.2083333333333332,0.0275590551181101,-0.0474452554744526,-0.0474452554744526,0.0116279069767442,-0.0038167938931298,-0.0543478260869565,-0.1270903010033446,-0.304,-0.304,-0.3442211055276382,-0.4013761467889909,-0.384433962264151,-0.4081632653061224,-0.4326086956521738,-0.4174107142857144,-0.4174107142857144,-0.3944315545243619,-0.3930232558139535,-0.3539603960396039,-0.3665048543689321,-0.2606232294617564,-0.2368421052631579,-0.2042682926829268,-0.2138554216867469,-0.2042682926829268,-0.2809917355371901,-0.2090909090909091,-0.1818181818181818,-0.1182432432432433,-0.0261194029850747,-0.0038167938931298,0.0524193548387097
BLNT_37-L^D19,13.0,0.0745263601599495,0.0510667209738539,0.1003973775880908,0.632004213991696,0.0019333578020778,8.605500000000001,-0.0019562532683051,0.024246586196878,1.890284983899494e-07,0.0871870404820469,0.5129052561376135,-0.0105455727771453,0.1221160919082076,-0.0510838811503228,0.0122525170284171,0.0649253799628501,0.1221160919082076,0.6944410565247201,-0.0487804878048779,-0.0662525879917185,-0.0643153526970955,0.0391705069124423,0.1081081081081078,0.0687203791469195,0.0112107623318384,0.0738095238095237,0.0157657657657657,-0.0424628450106157,0.0296803652968036,-0.098,0.0112107623318384,0.0661938534278958,0.0022222222222221,0.1163366336633662,0.1534526854219948,0.1837270341207348,0.2026666666666665,0.2026666666666665,0.2527777777777777,0.307246376811594,0.358433734939759,0.334319526627219,0.2322404371584698,0.2091152815013404,0.1564102564102563,0.2058823529411764,0.0893719806763284,-0.0195652173913043,0.0512820512820513,0.0022222222222221,0.0586854460093897,0.136020151133501,0.0738095238095237,0.1053921568627449,0.0920096852300242,0.1505102040816326,0.1446700507614213,0.2633053221288515,0.1274999999999999,0.2740112994350281,0.1806282722513088,0.2356164383561643,-0.0525210084033613,-0.0087912087912087,-0.0961923847695391,-0.0623700623700623,-0.0363247863247863
BLNV_40-L^F19,12.0,-0.2298447561083179,0.0436055449935256,-1.0537296167388812,-0.371412922027835,0.0254202269336289,15.488,-0.4231541649014799,-0.282674690138315,1.079012800461336e-09,0.0222231342211644,0.113263227110586,-1.201816299642387,1.1437022645546675,1.201816299642387,0.0447912192794082,0.0587601888139031,1.201816299642387,1.7125841731077014,0.0999999999999998,0.0,-0.0322580645161291,0.2875536480686695,0.2295081967213115,0.1904761904761904,0.25,0.3392857142857142,0.2931034482758621,0.3761467889908256,0.3574660633484163,0.4423076923076923,0.3636363636363635,-0.0384615384615385,0.2931034482758621,0.4084507042253522,0.075268817204301,-0.1044776119402984,-0.1124260355029586,-0.1428571428571429,-0.1017964071856286,-0.0566037735849057,-0.1176470588235294,0.0714285714285714,-0.1124260355029586,-0.0769230769230768,-0.1428571428571429,-0.1643454038997214,-0.2941176470588235,-0.3258426966292135,-0.3589743589743589,-0.371069182389937,-0.368421052631579,-0.3877551020408164,-0.4140625,-0.4,-0.4,-0.4163424124513618,-0.3478260869565217,-0.375,-0.3333333333333333,-0.25,-0.3150684931506849,-0.3103448275862068,-0.3406593406593406,-0.2682926829268292,-0.2840095465393795,-0.3103448275862068,-0.2248062015503876
BPVK_29-L,14.0,0.0472031816739817,0.2076110707534767,0.2667918095735633,0.52866497645603,0.0001187647842507,95.36379999999996,0.08954089078276,0.1582526977887568,0.0002033420301116,-0.0099396664117311,22.271931007770785,0.0132673182498511,-0.0282015873758684,0.0782364746655965,0.0296400033605192,0.0793176512543906,-0.0739727790558924,0.7430078507712663,0.0117603822124219,-0.0159132007233272,-0.0472689075630251,-0.0219266714593817,0.0048005908419499,0.0562888198757762,0.1703225806451613,0.1220618556701031,0.2147321428571429,0.010022271714922,-0.0306376914855717,0.1243801652892562,0.0062869822485207,0.0767708745548081,-0.0054824561403508,0.1165367254821501,0.2774647887323944,0.2481651376146789,0.2938659058487873,0.3510427010923536,0.4488817891373802,0.3050359712230215,0.2573937153419594,0.1871727748691098,0.1678111587982833,0.0993939393939393,0.1188322368421053,0.075494071146245,0.023702031602709,0.0141632500931794,0.0029487652045705,0.001103752759382,-0.0316725978647687,-0.0626937650706166,-0.0083819241982507,-0.0584775086505189,-0.136738578680203,-0.1841079460269865,-0.2078602620087336,-0.158887171561051,-0.166360294117647,-0.0499301675977653,-0.1019801980198019,-0.0639834881320948,0.0275679758308158,-0.0047549378200438,-0.0381760339342522,0.010022271714922,0.0737963693764798
BQMM_18-L^C11,7.0,-0.2445157045014318,0.8720741940232591,-4.3453259532595325,-0.1110407870072676,0.0006067236024844,-0.4299,-12.652265378463378,-0.2408586431745177,2.8455902172253053e-14,-0.3416624171341152,0.0014381001083208,0.8287119538099651,-0.8287119538099651,-0.8287119538099651,-0.0088116878420405,-0.0090975843486702,-0.8287119538099651,1.7125841731077014,-0.2,0.25,-0.1666666666666666,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.6666666666666667,0.25,0.25,0.25,0.25,0.25,0.0,-0.1666666666666666,0.25,0.0,0.25,-0.1666666666666666,0.0,0.0,-0.1666666666666666,0.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,0.25,0.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666
BUBP_92-L^K18,13.0,0.1193042626163645,0.1059631059631059,0.1218056962737813,1.468289557787106,-0.0003250803606208,42.0,0.1829433849948672,-0.6190476190476191,1.4152472889131624e-05,0.0901176470588235,5.339682143604908,-0.2290608780390781,-0.1485802162296508,0.3529072465837788,0.0295469468154957,-2.109375,0.0821890145395799,1.302621938618599,0.011111111111111,-0.0575916230366492,-0.0073529411764705,0.0188679245283018,0.1688311688311687,0.2000000000000001,0.1065573770491803,0.2471131639722863,0.1739130434782609,0.1226611226611227,0.1250000000000002,0.3043478260869567,0.3846153846153848,0.2980769230769231,0.1563169164882227,0.2107623318385652,0.1842105263157896,0.0112359550561798,-0.0145985401459853,-0.0559440559440558,-0.0270270270270269,-0.028776978417266,-0.1276252019386107,-0.1147540983606556,-0.217391304347826,-0.2105263157894735,-0.1964285714285714,-0.1755725190839694,-0.150943396226415,-0.1793313069908814,-0.0753424657534246,-0.0391459074733095,-0.018181818181818,-0.0476190476190475,0.0344827586206897,0.0285714285714286,-0.0036900369003689,-0.0109890109890109,-0.0492957746478872,-0.028776978417266,-0.0459363957597173,0.0,0.0266159695817491,0.0093457943925234,0.0609037328094304,0.0756972111553786,0.0887096774193549,0.0735586481113319,0.0344827586206897
BUNQ_03-L^K12,21.0,-0.0079844626672421,0.2844430806996011,-1.0463761360988115,-0.5920410638556121,0.3485032459359991,0.0885,-13.334334551452132,1.9678714859437747,5.5634395340521954e-14,-0.7338447919740336,0.0051812703535117,0.0027102753263131,-0.3871171168763845,-0.4198158636725208,-0.1161627148140091,-0.1445196211096076,-0.9310910582444626,1.7125841731077014,0.3333333333333335,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.142857142857143,-0.3333333333333333,-0.5,-0.5714285714285715,-0.5714285714285715,-0.6666666666666667,-0.7,-0.7142857142857143,-0.7272727272727273,-0.7391304347826086,-0.7142857142857143,-0.7692307692307693,-0.7692307692307693,-0.7931034482758621,-0.7692307692307693,-0.8125,-0.8378378378378378,-0.7692307692307693,-0.7,-0.6842105263157895,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6470588235294118,-0.6470588235294118,-0.6470588235294118,-0.625,-0.625,-0.625,-0.625,-0.625,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
CWI_80-L,21.0,-0.0340096548219665,0.0833395957015104,0.1648137711972949,0.6220088135382535,1.9600291893577738e-06,-18.5,-0.029034486102235,0.0963421658986175,9.947884045214637e-05,-0.0803501180173092,21.16321307550624,-0.0063071982584511,0.1456437767805716,-0.020562482703254,0.0254380664652567,0.0945076324453756,0.1720838145520541,0.7095262110479382,-0.018595041322314,-0.0076883649410559,0.0254237288135592,0.0619857377948436,0.1428571428571428,0.1394938198940554,0.2047293092719353,0.2047293092719353,0.1158501440922188,0.0237969328397673,0.0755555555555556,0.2099999999999999,0.1177829099307159,0.0243386243386243,0.0178759200841218,0.0684326710816776,0.141509433962264,0.0364025695931478,0.0051921079958461,0.0072840790842871,0.0216358839050132,0.0672546857772877,-0.0147582697201017,0.0297872340425531,0.0596606458675423,0.1236215902495647,0.1819291819291819,0.2276474318325936,0.1627627627627628,0.1282051282051282,0.2579597141000649,0.2284263959390862,0.2307692307692306,0.2466194462330972,0.3547935619314206,0.3519553072625698,0.3538461538461537,0.3529000698812019,0.3397923875432527,0.3481894150417828,0.4059549745824256,0.429837518463811,0.3808844507845934,0.3978339350180506,0.4008683068017364,0.5184313725490195,0.4892307692307691,0.5377283558379666,0.5727051177904141
