firms,age,agr,cashdebt,chcsho,chempia,chinv,chpmia,depr,egr,grltnoa,herf,hire,invest,lgr,mve_ia,pchdepr,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,9.0,-0.038750655556203,0.2335152192492275,0.0316766794101583,0.1298860806062453,0.0132513295896841,-0.217221048353818,0.0809958223207434,0.0179411442949348,-0.0610274237157165,5.685231356618337e-06,0.0523943533072505,0.066196608589243,-0.1033665835411471,1.1187438029015224,0.1136925569102225,0.0274655057653525,-0.2496387463251781,0.1120633813343963,0.779971886695661,-0.1056034482758618,-0.0292887029288704,0.0,-0.0682730923694781,0.0593607305936072,-0.5719557195571956,-0.607445008460237,-0.5486381322957199,-0.5606060606060607,-0.532258064516129,-0.5450980392156863,-0.5095137420718816,-0.5614366729678639,-0.6209150326797386,-0.6158940397350994,-0.6323296354992076,-0.607445008460237,-0.6299840510366825,-0.6158940397350994,-0.6081081081081081,-0.6006884681583478,-0.6215334420880914,-0.6133333333333333,-0.6264090177133655,-0.6120401337792643,-0.6239870340356564,-0.5986159169550174,-0.5663551401869159,-0.5555555555555556,-0.5687732342007434,-0.5433070866141733,-0.42,-0.4703196347031964,-0.4436450839328537,-0.4111675126903553,-0.3176470588235294,-0.3519553072625698,-0.2467532467532468,-0.2611464968152867,-0.1470588235294119,-0.1773049645390071,-0.1501831501831502,-0.1624548736462094,-0.1076923076923077,-0.0085470085470085,-0.0937500000000001,0.0265486725663717,0.0131004366812226,0.0175438596491228
BALZ_07-L^I10,10.0,0.0219924914304369,0.2327529002585635,0.0002356195794755,-0.3599346164438587,-0.0108282071567345,-0.1565571065991745,0.2932646212847555,0.0675062019089265,-0.0113125702999283,1.532267646178779e-08,-0.145192936559843,-0.0196855106371401,-0.0254817358303024,0.1667722391970197,-0.0319136558585792,-0.0239793655479703,-0.0413290896241814,-0.0803568593834333,0.4881732046957921,-0.0588235294117647,0.2142857142857144,0.186046511627907,0.3076923076923077,0.2142857142857144,0.3076923076923077,0.2749999999999999,0.2749999999999999,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.7000000000000002,0.7000000000000002,0.59375,0.5,0.2439024390243902,0.2749999999999999,0.3421052631578947,0.4166666666666667,0.5454545454545454,0.5,0.4166666666666667,0.59375,0.7586206896551726,0.7586206896551726,0.8214285714285714,0.6451612903225807,0.8888888888888888,0.9615384615384616,1.2173913043478262,1.2173913043478262,1.125,1.04,0.9615384615384616,1.125,1.5499999999999998,1.5499999999999998,1.5499999999999998,1.5499999999999998,1.4285714285714288,1.3181818181818183,1.2173913043478262,1.2173913043478262,0.9615384615384616,0.8888888888888888,0.7586206896551726,0.7000000000000002,0.59375,0.5
BAMD_17-L^J98,9.0,0.2759953027639453,0.0986578295405205,0.0023557126030624,0.1296582380087088,0.0487048322226131,-0.1308219388076223,0.070531720444922,0.0885401189833655,0.010325235692532,7.787962381188873e-08,0.0523024445707789,0.0991182176650628,0.3986491402053094,0.9618455269954814,-0.0504828825837672,-0.6329725441464642,0.0308760953709526,0.1509468879156127,0.838256171380312,0.0206185567010308,0.375886524822695,0.6302521008403361,0.4980694980694982,0.4370370370370369,0.39568345323741,0.6796536796536796,0.5396825396825395,0.5396825396825395,0.2933333333333332,0.4160583941605837,0.276315789473684,0.2597402597402596,0.2847682119205297,0.3425605536332179,0.2201257861635219,0.3807829181494662,0.6581196581196582,0.564516129032258,0.564516129032258,0.564516129032258,0.732142857142857,0.755656108597285,0.8388625592417063,0.7636363636363634,0.8130841121495325,0.8215962441314555,0.94,0.8653846153846152,0.8388625592417063,0.911330049261084,0.8834951456310678,0.9019607843137254,0.8926829268292684,0.9207920792079208,1.3950617283950617,1.3373493975903616,1.4713375796178343,1.6758620689655173,1.6216216216216215,1.3950617283950617,1.1920903954802258,1.3515151515151516,1.4556962025316451,1.3095238095238098,1.1318681318681318,1.1920903954802258,1.3658536585365852,1.5194805194805192
BBIO_50-L^J00,9.0,-0.0167079702614118,0.2022552849583021,0.001410437235543,0.2656651161160124,0.01882381393849,1.3405777774301977,0.1057007125890736,-0.236072807501379,0.0235801523640559,9.167212276882613e-06,0.1071658478739622,0.105364137820769,0.0787306341070091,8.211589531451096,-0.1495289040013775,-0.155822604587185,-0.0135746606334841,-0.0135746606334841,0.7440840553902274,-0.113452188006483,0.0511073253833049,0.1468401486988848,0.2439516129032257,0.4867469879518071,0.4655581947743468,0.415137614678899,0.3680709534368072,0.3155650319829424,0.5122549019607843,0.7380281690140846,0.7936046511627908,0.7186629526462396,0.9161490683229812,0.847305389221557,0.9341692789968652,0.8417910447761194,0.8254437869822486,0.6497326203208555,0.594315245478036,0.5902061855670104,0.7380281690140846,0.8200589970501475,0.8528528528528527,0.858433734939759,0.86404833836858,0.8926380368098161,1.1649122807017545,1.1879432624113475,1.3460076045627378,1.26007326007326,1.2683823529411762,1.211469534050179,1.328301886792453,1.5390946502057612,1.830275229357798,1.8967136150234745,1.817351598173516,1.924170616113744,2.196891191709845,2.3172043010752685,2.1161616161616164,1.924170616113744,2.0245098039215685,1.980676328502416,1.9103773584905657,1.9380952380952376,2.2819148936170213,2.1161616161616164
BBOU_00-L,10.0,1.2083706642774863,0.2423352069494123,0.0005600672080649,6.810973584805035,0.0294410978577412,-0.6597579256802801,0.1859614105123087,0.0895953757225433,0.2798101089081262,0.0002539806180339,2.7474580394064705,0.3203634967362089,2.3903533370723498,36.91664033399974,1.04674508425497,1.956056510597436,2.1536997885835096,2.1536997885835096,1.125167463188448,0.0240452616690241,-0.0315068493150684,-0.0407055630936227,0.1116352201257862,0.2831215970961889,0.0910493827160494,0.1169036334913111,0.1151419558359623,0.0381791483113069,0.1133858267716536,0.0536512667660209,0.0202020202020203,0.0728376327769348,0.2168674698795181,0.2231833910034601,0.33648393194707,0.4083665338645419,0.3339622641509434,0.3754863813229574,0.3889980353634579,0.3214953271028038,0.2784810126582278,0.3190298507462685,0.2925045703839124,0.3190298507462685,0.264758497316637,0.3141263940520447,0.3314500941619587,0.3314500941619587,0.2877959927140254,0.3289473684210526,0.2064846416382253,0.1744186046511628,0.2274305555555555,0.2317073170731707,0.264758497316637,0.2761732851985561,0.3044280442804428,0.3415559772296017,0.4517453798767967,0.4517453798767967,0.3570057581573898,0.3518164435946462,0.3020257826887662,0.3492366412213741,0.2535460992907803,0.3701550387596899,0.3944773175542406,0.2948717948717949
BBQS_26-L^G99,9.0,-0.0462548492987168,0.1215626864986457,0.0010952902519167,0.0150974004963116,-0.0084313425996639,-0.0799994941719497,0.1156758803483528,-0.0216284987277355,-0.0581029479150742,1.092713447635961e-05,0.0060900947348069,-0.0475678901820352,-0.0582100196113388,1.7321873344237015,-0.0058222356646134,-0.0063231887698314,0.0375047657381329,-0.0358355925337322,0.8850032001155359,-0.0803324099722991,0.0055710306406684,-0.0055096418732782,0.0840840840840839,0.2491349480968856,0.2154882154882154,0.1682847896440129,0.0586510263929618,0.0712166172106825,0.1141975308641973,0.1352201257861633,0.1006097560975609,0.0284900284900284,-0.0082417582417583,-0.0574412532637076,-0.0767263427109975,-0.0295698924731183,-0.0975,-0.0055096418732782,0.0255681818181818,-0.0027624309392265,-0.032171581769437,-0.0027624309392265,0.0314285714285713,-0.0082417582417583,0.0083798882681562,-0.0243243243243244,0.0463768115942027,0.0140449438202245,0.0680473372781065,0.1645161290322581,0.0873493975903614,0.0314285714285713,-0.0598958333333333,-0.0837563451776649,0.0083798882681562,-0.0190217391304348,-0.0243243243243244,-0.0295698924731183,0.0083798882681562,0.0314285714285713,0.0083798882681562,0.1141975308641973,0.0808383233532934,0.0433526011560694,0.0083798882681562,0.0617647058823529,0.1797385620915033,0.12111801242236
BBTU_63-L^C18,9.0,0.1005559506108991,0.127089215590822,-0.0008396305625524,0.0278881950573202,6.155077169279988e-05,0.4091110411763868,0.0233869283775318,-0.0284094196609384,0.0828165633126624,1.66226343060927e-05,0.0112497346760688,0.0565324196780658,0.2671620925612539,5.399051227992703,-0.1654510686266151,-0.0138922145434006,-0.0439385948620132,-0.0021963081106521,0.5703425743943892,-0.0495662949194548,-0.0158536585365852,-0.0098159509202454,0.0876010781671159,0.1528571428571428,0.2668759811616954,0.2171945701357467,0.2570093457943925,0.2098950524737632,0.2728706624605679,0.3818493150684932,0.345,0.3986135181975738,0.4385026737967914,0.5112359550561798,0.4619565217391306,0.4385026737967914,0.4488330341113105,0.6402439024390245,0.6847599164926932,0.5980198019801981,0.6043737574552683,0.7543478260869567,0.8466819221967963,0.7429805615550757,0.7317596566523605,0.7697368421052633,0.7973273942093542,0.9779411764705884,1.286118980169972,1.3391304347826083,1.053435114503817,0.953995157384988,1.0175,0.953995157384988,0.953995157384988,0.8466819221967963,0.8811188811188813,0.953995157384988,0.8988235294117648,0.9925925925925928,0.953995157384988,1.129287598944591,1.229281767955801,1.1989100817438691,1.002481389578164,0.944578313253012,1.163538873994638,1.053435114503817
BBVN_02-L^I99,10.0,-0.0498678996036988,0.144223693892568,0.000866050808314,0.0274316584896099,0.0091447925486875,-0.0628987185926394,0.2065404475043029,-0.0444203683640302,-0.0413209144792546,1.356975824672373e-07,0.0110655737704918,-0.0260898282694847,-0.0557939914163089,1.0538626989131623,0.1264264742041395,-0.0294089333846746,0.0057132126397269,0.0165094339622642,0.9708682947416428,-0.0273972602739726,0.0841584158415842,0.1837837837837836,0.2234636871508379,0.4038461538461537,0.3435582822085889,0.4407894736842104,0.4407894736842104,0.3035714285714286,0.3353658536585366,0.3035714285714286,0.2586206896551724,0.2586206896551724,0.2166666666666665,0.2372881355932203,0.3035714285714286,0.311377245508982,0.3192771084337349,0.3192771084337349,0.4038461538461537,0.422077922077922,0.3860759493670884,0.4407894736842104,0.4407894736842104,0.4407894736842104,0.5,0.752,0.9380530973451328,0.7661290322580645,0.7109375,0.6717557251908395,0.6717557251908395,0.6343283582089552,0.6976744186046511,0.7950819672131149,0.9909090909090909,0.9553571428571426,1.0091743119266052,1.19,1.28125,1.3804347826086951,1.4065934065934065,1.6385542168674698,1.5465116279069768,1.5465116279069768,1.305263157894737,1.5465116279069768,1.7037037037037033,1.4065934065934065
BBXK_89-L^E06,10.0,0.1163968645539872,0.4091329456010193,0.0010478519035976,0.1122692239324305,0.0076006290175738,0.0517967148567229,0.0398735541346361,0.1184509747643123,0.0541975887659317,7.756035839061227e-05,0.0452879427633122,0.1006612462959989,0.1131280670517219,22.53634161887293,-0.1158504725391714,-0.0726058315186976,1.051186574682156,0.051186574682156,0.6767409430954445,0.0030816640986131,-0.0469897209985314,-0.0688665710186513,-0.0427728613569321,-0.044182621502209,-0.0833333333333332,-0.1276881720430107,-0.0998613037447988,-0.1538461538461538,-0.0833333333333332,-0.0754985754985754,0.0798668885191349,0.0925925925925925,0.1151202749140893,0.1346153846153848,0.1037414965986394,0.1208981001727116,0.1189655172413792,0.0962837837837837,0.0745033112582782,0.0798668885191349,0.1170395869191052,0.132635253054101,0.1548042704626335,0.1886446886446886,0.2553191489361703,0.298,0.282608695652174,0.2725490196078433,0.2199248120300752,0.2504816955684006,0.3164300202839758,0.267578125,0.2601941747572815,0.2504816955684006,0.3605870020964361,0.3137651821862348,0.298,0.3137651821862348,0.4519015659955259,0.4201312910284462,0.3808510638297873,0.3720930232558139,0.3217922606924643,0.3779193205944799,0.2775590551181102,0.3058350100603622,0.3779193205944799,0.44543429844098
BCPS_48-L^C06,9.0,0.0151417170076181,0.1390707569830485,0.0158982511923688,-0.058210845839941,-0.039229191778463,0.2505181048638189,0.0450979373408842,0.0821036548590729,-0.0437375745526743,3.996950847875824e-05,-0.0234814970858787,-0.0438636614564439,-0.0312652002377992,8.061274524135294,-0.2159866155778414,0.5035264181005197,0.0528252196612706,-0.1654538274947819,0.4650255045384144,0.0612244897959184,-0.0576923076923077,-0.0650953984287318,0.0309405940594058,0.1899999999999999,0.203757225433526,0.2874806800618239,0.202020202020202,0.2451420029895366,0.2717557251908398,0.34789644012945,0.3611111111111111,0.3035993740219094,0.3655737704918034,0.3633387888707038,0.2659574468085106,0.2776073619631902,0.4118644067796608,0.4118644067796608,0.3883333333333334,0.3201267828843106,0.6112185686653773,0.7,0.713991769547325,0.5927342256214148,0.5866666666666667,0.5687382297551791,0.5776515151515151,0.5397412199630314,0.75,0.7210743801652892,0.7175257731958764,0.7069672131147542,0.5036101083032491,0.4411764705882353,0.4288164665523155,0.3328,0.4386873920552676,0.4411764705882353,0.4691358024691359,0.4386873920552676,0.3655737704918034,0.3723228995057659,0.3056426332288402,0.3588907014681892,0.2232011747430251,0.2678843226788432,0.3015624999999999,0.3370786516853932
