firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.0591054893179204,-0.0591054893179204,15.0,-0.0453556049779965,0.0782982849524271,5.279307315776186,1.2042656057210486,0.4001977680463343,-0.0103374292958844,-0.041529988500877,1.6037592399669674e-08,0.0181528888468272,-0.0656279001611878,0.1512767529221965,0.1539275268857466,-0.0593513653656937,-4.681687440076702,0.8386422582026039,-0.0361363743620513,0.02,0.0869565217391303,0.0638297872340425,-0.0384615384615385,0.2195121951219512,0.1904761904761904,0.3157894736842106,0.4705882352941175,0.7241379310344829,0.5625,0.7241379310344829,0.6129032258064517,0.2820512820512819,0.4705882352941175,0.9230769230769228,0.4705882352941175,0.5151515151515151,0.3888888888888888,0.0638297872340425,0.0,0.0,-0.0196078431372549,-0.1071428571428572,-0.2957746478873239,-0.3421052631578947,-0.0909090909090909,-0.0566037735849057,-0.3055555555555556,-0.3055555555555556,-0.5098039215686274,-0.5098039215686274,-0.5652173913043478,-0.5145631067961165,-0.6710526315789473,-0.7311827956989247,-0.6951219512195121,-0.7282608695652174,-0.7524752475247525,-0.736842105263158,-0.7524752475247525,-0.7340425531914894,-0.7382198952879582,-0.6875,-0.6124031007751938,-0.6062992125984252,-0.6753246753246753,-0.5535714285714286,-0.4897959183673469,-0.4897959183673469
BBOU_00-L,0.1091957336408186,-0.1091957336408186,15.0,-0.1241550857081057,0.0310803055052757,-4.988592527934577,0.9427402862985684,0.1398176291793313,-0.1744709215130811,-0.1122513692706832,6.992163129144094e-05,-0.0620234683393716,-0.1024545530702856,27.1438934854424,-0.4393121743107949,-0.0636926527632136,-24.92105263157895,0.6224072451066316,-0.1632689239496543,-0.001358695652174,0.0544412607449855,0.1253822629969418,0.0887573964497041,0.1608832807570979,0.1428571428571428,0.1185410334346503,0.0775988286969253,0.1219512195121952,0.1608832807570979,0.1428571428571428,0.0903703703703704,0.1202435312024352,0.0082191780821918,-0.0776942355889724,-0.0612244897959183,-0.0013568521031207,-0.1351351351351351,-0.1441860465116278,-0.1867403314917127,-0.1982570806100216,-0.154022988505747,-0.1320754716981131,-0.0624203821656049,-0.0120805369127516,0.0514285714285713,0.0514285714285713,0.0713245997088791,-0.0013568521031207,-0.0776942355889724,-0.0404172099087353,0.0151724137931035,0.0279329608938547,0.0279329608938547,0.1253822629969418,-0.0186666666666666,0.0179806362378975,0.1185410334346503,0.2125205930807248,0.2755632582322358,0.2646048109965635,0.222591362126246,0.28,0.4153846153846154,0.4574257425742576,0.5397489539748954,0.6355555555555557,0.4779116465863453,0.3026548672566371
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,40.27511875788928,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,2.768474026225722e-07,0.2216981132075471,-0.108730583824317,0.002344474792615,-0.2469284293526567,0.6064997804128239,-2.256756756756757,1.8,0.2272727272727272,-0.1250000000000001,0.0,-0.111111111111111,0.142857142857143,0.142857142857143,0.0,0.0,0.0,-0.1999999999999999,-0.2727272727272727,-0.1999999999999999,-0.0476190476190475,0.0810810810810811,0.0810810810810811,0.0,0.5384615384615385,0.5384615384615385,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,0.0,0.0,0.6666666666666667,0.0,0.0,0.0526315789473683,0.142857142857143,0.3333333333333335,0.6000000000000001,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.6000000000000001,0.6000000000000001,1.0,0.4814814814814814,0.8181818181818183,0.25,1.5,1.5,0.8181818181818183,0.0
BBTU_63-L^C18,0.0753488192324044,-0.0753488192324044,15.0,0.0400149809781001,0.1179786665684125,-0.1924053975440536,0.8406364110589463,0.0810558280775519,-0.0107679229243413,-0.0330073822131131,6.257763026991019e-05,0.0389505430604562,0.0882930019620667,4.2796403165991785,0.0107572863540493,0.7366897530466435,-3.48125,0.825943314206225,0.6299507209344771,0.0423076923076921,0.0993657505285412,0.1845102505694762,0.0878661087866108,0.092436974789916,0.1711711711711712,0.1899313501144164,0.4016172506738544,0.5615615615615617,0.4207650273224044,0.3402061855670104,0.2903225806451612,0.1954022988505748,0.2322274881516588,0.368421052631579,0.1111111111111111,0.1378555798687089,-0.0225563909774436,-0.1216216216216216,-0.1503267973856209,-0.1347753743760399,-0.0388170055452865,0.0256410256410255,0.0216110019646365,0.046277665995976,0.2149532710280373,0.1711711711711712,-0.1034482758620689,-0.1289782244556113,-0.1231028667790893,-0.1095890410958904,-0.0298507462686566,0.046277665995976,-0.0630630630630629,-0.1049913941480206,0.0317460317460318,0.1134903640256959,0.1255411255411256,0.1134903640256959,-0.0076335877862595,-0.024390243902439,-0.0334572490706319,-0.1376451077943615,-0.1999999999999999,-0.2330383480825958,-0.1719745222929936,0.2682926829268295,0.0878661087866108,0.0379241516966069
BBXK_89-L^E06,0.0986815219495408,-0.0986815219495408,15.0,-0.0606907483106698,0.1827750951687488,1.5002396439896977,1.9590803502293168,0.068382288725219,-0.0139226949664103,-0.0333096738577023,5.119048409399287e-05,0.0352326131086455,-0.0957454571991533,7.857318652667802,0.1719311436693632,0.066070869114946,-1.4322580645161291,1.7435821073321816,-0.0071539199055977,0.0574712643678161,-0.0509090909090909,-0.1212121212121213,-0.1092150170648464,-0.1061643835616438,-0.1182432432432433,-0.0543478260869565,-0.0297397769516728,-0.0404411764705883,-0.1092150170648464,-0.1092150170648464,-0.1328903654485049,-0.1894409937888199,-0.2790055248618784,-0.1553398058252427,-0.1993865030674846,-0.1687898089171975,-0.2849315068493151,-0.2790055248618784,-0.3021390374331552,-0.2907608695652174,-0.4276315789473683,-0.4095022624434389,-0.3887587822014051,-0.3571428571428571,-0.25,-0.1328903654485049,-0.1894409937888199,-0.1092150170648464,-0.1525974025974026,-0.1122448979591836,-0.1634615384615385,-0.1818181818181818,-0.0577617328519856,-0.0113636363636364,0.1863636363636363,0.125,0.1347826086956522,0.0966386554621849,0.0481927710843372,0.0038461538461538,-0.0744680851063829,-0.1525974025974026,-0.0577617328519856,-0.1525974025974026,-0.1525974025974026,-0.218562874251497,-0.25,-0.1030927835051547
BCPS_48-L^C06,0.0538839778252993,-0.0538839778252993,15.0,0.0501815135437028,0.0781949707199449,3.2811540051445256,1.4671602906897026,0.0784266984505363,0.0153945875871009,0.0147377310432137,4.118297741852999e-06,0.0907846970120078,0.0711673949879603,2.042986154855172,1.412450364529078,-0.052994350666336,-3.956,1.3847525023995613,-0.1439034415754269,-0.0725806451612903,-0.1205673758865247,-0.0119521912350596,-0.0424710424710423,0.0829694323144105,0.0598290598290598,0.0420168067226891,0.24,0.4335260115606936,0.5597484276729559,0.5121951219512195,0.5121951219512195,0.3405405405405404,0.3478260869565217,0.4502923976608186,0.0973451327433629,0.1753554502369669,0.0163934426229508,-0.0780669144981413,-0.1111111111111111,0.0,0.1923076923076923,0.0973451327433629,0.0420168067226891,0.0081300813008129,0.1923076923076923,0.3777777777777777,0.0782608695652173,-0.0534351145038168,-0.0461538461538462,-0.1677852348993288,-0.0461538461538462,-0.03125,-0.164983164983165,-0.1733333333333333,-0.2176656151419558,-0.2101910828025478,-0.1236749116607773,-0.5880398671096345,-0.581787521079258,-0.5355805243445693,-0.5641476274165202,-0.6584022038567493,-0.6088328075709779,-0.6219512195121951,-0.6531468531468532,-0.7075471698113207,-0.7599225556631172,-0.7292576419213974
BCQE_67-L^A14,0.3119629874421679,-0.3119629874421679,15.0,-0.3612873278663159,-0.2294919944653093,-6.000851694390188,1.5243977764051884,0.3193181818181818,-1.7152777777777777,-0.2994995751108946,1.9757358366478525e-05,-0.2294600030945381,-0.3339370986332949,0.768186294758597,-0.4280279418249793,0.131916620104281,-1.145631067961165,1.2223594811612106,-0.2802639127940333,-0.1306122448979593,-0.3342391304347826,-0.2367601246105918,-0.4053398058252426,-0.2096774193548386,0.047008547008547,0.1342592592592593,0.4939024390243904,1.094017094017094,0.3764044943820226,-0.6003262642740619,-0.6022727272727273,-0.6834625322997416,-0.6643835616438356,-0.6474820143884892,-0.7183908045977011,-0.6858974358974359,-0.7668886774500475,-0.8021001615508885,-0.8063241106719368,-0.8309178743961353,-0.7896995708154506,-0.8191881918819188,-0.8241206030150754,-0.796849087893864,-0.6711409395973154,-0.462719298245614,-0.7602739726027397,-0.7644230769230769,-0.8452305748578648,-0.8573092603377985,-0.8582995951417004,-0.8455233291298865,-0.868066774367259,-0.8854069223573433,-0.8659737417943107,-0.8766364551863042,-0.8709167544783983,-0.8573092603377985,-0.9199607971251224,-0.9147529575504524,-0.9161246148579254,-0.9111352919840406,-0.9317928730512248,-0.9204028589993504,-0.9253048780487804,-0.9269964243146604,-0.9377698755397512,-0.9296785304247992
BCZB_W7-L^G07,0.0533287161284737,-0.0533287161284737,15.0,0.086713034052931,0.1318497065772426,0.1783909295533377,0.8699204021784667,0.0545092838196286,0.0319719471947194,0.0107350012985888,0.0002383758955123,0.0736157528678529,0.1293411230120091,7.305532688074201,0.1171344071415205,-0.0389075292955714,-1.3568281938325992,0.7023460410557185,0.0156158955832653,0.0469208211143694,0.0118694362017803,0.0859872611464969,0.0723270440251573,0.1291390728476822,0.1758620689655172,0.1035598705501619,0.2445255474452554,0.3531746031746032,0.281954887218045,0.2135231316725978,0.0689655172413794,0.0029411764705882,0.0757097791798107,0.1071428571428572,-0.0501392757660166,-0.0115942028985507,-0.1822541966426858,-0.2088167053364268,-0.2554585152838428,-0.2538293216630197,-0.2775423728813558,-0.2371364653243847,-0.1842105263157893,-0.1763285024154588,-0.2088167053364268,-0.170316301703163,-0.2069767441860464,-0.2619047619047618,-0.3220675944333996,-0.3152610441767068,-0.2455752212389379,-0.2472406181015453,-0.2160919540229884,-0.1822541966426858,-0.2488986784140968,-0.2388392857142858,-0.2439024390243901,-0.1995305164319247,-0.1763285024154588,-0.0733695652173913,-0.0527777777777778,0.0964630225080387,-0.1119791666666666,-0.0058309037900874,0.1180327868852459,-0.0954907161803713,-0.1453634085213032,-0.0930851063829786
BDAJ_H9-L,0.0995056109236443,-0.0995056109236443,9.0,0.1080231596360629,0.1565847636493967,-1.494628531865046,1.388252929953666,0.118152390438247,-0.2505688282138794,-0.0093123021789724,2.9102817083283803e-06,0.0343534601599117,0.4034264931087289,1.990821801262264,-0.0697963349927841,0.2577405495858088,-1.870206489675516,1.2925865358408286,0.3149665437662162,-0.0466830466830467,0.0277777777777779,0.108991825613079,0.0277777777777779,0.0099255583126551,0.1695402298850574,0.1595441595441598,0.2113095238095239,0.2296072507552871,0.2484662576687117,0.2408536585365854,0.1,0.0462724935732647,-0.0192771084337349,0.2005899705014748,0.108991825613079,0.2679127725856698,0.1059782608695651,0.0251889168765744,0.0654450261780106,0.0,0.1695402298850574,0.162857142857143,0.2758620689655173,0.2961783439490446,0.5358490566037737,0.6086956521739133,0.3044871794871795,0.237082066869301,0.3890784982935154,0.3300653594771243,0.5714285714285716,0.5416666666666667,0.58984375,0.7319148936170212,0.6748971193415638,0.6086956521739133,0.6958333333333335,0.7393162393162396,0.7467811158798283,0.7619047619047621,0.9289099526066352,1.0452261306532664,0.9950980392156864,0.9661835748792272,0.8842592592592593,0.9198113207547168,0.4963235294117647,0.4854014598540146
BDCK_44-L^L08,0.1048727458754316,-0.1048727458754316,15.0,-0.0510967098703888,0.090804332795575,-1.3931110357009968,1.056758775205377,0.1148325358851674,-0.0828729281767955,-0.1000127893592498,2.2956280687482946e-07,-0.0533399800598205,-0.0259326660600546,0.0003976614729968,0.077798768244213,0.1261365081871126,-9.534883720930234,1.047796863330844,-0.0453582774444053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1176470588235295,-0.1428571428571428,-0.1428571428571428,-0.1428571428571428,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295
