firms,age,cashdebt,chcsho,depr,grltnoa,herf,mve_ia,secured,securedind,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,1.0,0.4711994578721482,0.0030036904783817,0.0720489296636085,0.8797847621376402,1.1204847119399928e-05,2.285427155569048,1.0,1.0,0.8991034264725529,-0.0685630926331145,0.0513803680981597,0.0513803680981597,-0.1234015345268542,-0.2280405405405405,-0.207514450867052,-0.1003937007874015,-0.0186113099498925,-0.0283486888731395,-0.0283486888731395,0.0103168754605749,0.0200892857142858,0.2197508896797153,0.2047451669595781,-0.0093930635838149,0.0846518987341773,0.0410022779043282,-0.0884308510638296,-0.1080026024723486,-0.1306277742549143,-0.1588957055214723,-0.1377358490566037,-0.1521335807050092,-0.1484472049689441,-0.0761455525606468,-0.096242584047462,-0.155268022181146,-0.2892690513219283,-0.3037074657186389,-0.3477640342530922,-0.3599439775910364,-0.3599439775910364,-0.3499288762446656,-0.2990797546012269,-0.2589189189189188,-0.2280405405405405,-0.2768987341772152,-0.2107081174438687,-0.2990797546012269,-0.27955859169732,-0.3477640342530922,-0.2589189189189188,-0.3086232980332828,-0.284446764091858,-0.3437051220679751,-0.3973626373626373,-0.207514450867052,-0.2297752808988763,-0.254891304347826
BALZ_07-L^I10,1.0,0.1520329994107248,0.0001950705026146,0.1666666666666666,0.3186119873817,4.03991735923581e-07,0.1882321184867326,1.0,1.0,6.05469109055066,0.0882352941176469,-0.0285714285714284,0.0303030303030302,-0.081081081081081,-0.0285714285714284,-0.1052631578947368,-0.15,-0.15,-0.276595744680851,-0.3928571428571429,-0.423728813559322,-0.46875,-0.4035087719298245,-0.4137931034482758,-0.4333333333333332,-0.3584905660377359,-0.3703703703703703,-0.442622950819672,-0.423728813559322,-0.2916666666666666,-0.3333333333333332,-0.2916666666666666,-0.3461538461538461,-0.4333333333333332,-0.4035087719298245,-0.3333333333333332,-0.4333333333333332,-0.6458333333333333,-0.6263736263736264,-0.6599999999999999,-0.6458333333333333,-0.6494845360824741,-0.5903614457831325,-0.4925373134328358,-0.5142857142857142,-0.3928571428571429,-0.3584905660377359,-0.3461538461538461,-0.3061224489795917,-0.3061224489795917,-0.3461538461538461,-0.2608695652173912,-0.276595744680851,-0.2916666666666666,-0.3818181818181818,-0.2444444444444444,-0.2093023255813952,-0.3061224489795917,-0.081081081081081
BBEK_99-L^L95,1.0,0.5666887856668879,0.001102443894872,0.1315612382234186,0.5540512820512682,3.250120955999228e-06,4.718153316375892,1.0,1.0,0.5116834611832107,-0.0350877192982456,-0.0058139534883721,0.0621118012422359,0.096153846153846,-0.0446927374301676,0.0118343195266272,0.1476510067114094,0.1632653061224489,0.1362126245847177,0.1712328767123287,0.2214285714285715,0.2954545454545454,0.5066079295154184,0.5,0.3625498007968128,0.4074074074074072,0.52,0.3959183673469386,0.3571428571428572,0.3734939759036142,0.3571428571428572,0.4934497816593886,0.4430379746835442,0.3411764705882354,0.4430379746835442,0.6056338028169015,0.3003802281368821,0.002932551319648,-0.0200573065902579,0.0426829268292683,-0.0115606936416184,0.002932551319648,0.0891719745222929,0.1632653061224489,0.1032258064516129,0.1752577319587627,0.3359375,0.3103448275862068,0.2302158273381296,0.2761194029850744,0.1324503311258278,0.1999999999999999,0.1438127090301002,0.2619926199261992,0.2391304347826088,0.2391304347826088,0.3734939759036142,0.5336322869955157,0.6208530805687205
BBIO_50-L^J00,1.0,0.2164405426975259,-0.002304800622462,0.1151672521765694,0.0106842121148098,1.5152240506503993e-05,2.347290792293565,1.0,1.0,0.9961858934921634,-0.0268456375838926,0.1037037037037036,0.146153846153846,0.0205479452054795,-0.0324675324675325,0.0136054421768707,0.1203007518796992,0.1287878787878786,0.146153846153846,0.2113821138211382,0.2416666666666667,0.2521008403361344,0.49,0.4326923076923077,0.3303571428571428,0.4466019417475728,0.4466019417475728,0.3185840707964602,0.4056603773584906,0.3925233644859811,0.4326923076923077,0.505050505050505,0.36697247706422,0.4056603773584906,0.5851063829787235,0.7529411764705882,0.6373626373626373,0.0719424460431654,0.1287878787878786,0.0875912408759123,0.2113821138211382,0.3185840707964602,0.3423423423423422,0.4326923076923077,0.2627118644067796,0.36697247706422,0.6195652173913042,0.6195652173913042,0.773809523809524,0.7325581395348837,0.5684210526315789,0.2844827586206897,0.2016129032258065,0.3070175438596492,0.2956521739130435,0.1919999999999999,0.2956521739130435,0.505050505050505,0.6931818181818181
BBNH_32-L^L97,3.0,0.1528004290671074,-0.0007578299595141,0.0494920552227142,0.2741920836520837,0.0002929263285028,12.80898108460171,1.0,1.0,0.7723306745426827,-0.0318471337579617,0.1017543859649123,0.2170542635658914,0.0865051903114186,-0.0063291139240506,0.0536912751677853,0.13768115942029,0.171641791044776,0.0940766550522647,0.145985401459854,0.2170542635658914,0.2265625,0.4604651162790698,0.4017857142857142,0.3955555555555556,0.2921810699588476,0.2868852459016393,0.2712550607287449,0.2362204724409449,0.2362204724409449,0.2868852459016393,0.3361702127659574,0.3361702127659574,0.3832599118942732,0.4017857142857142,0.670212765957447,0.5544554455445545,0.1056338028169014,0.1760299625468164,0.1294964028776979,0.171641791044776,0.1017543859649123,0.2661290322580645,0.3593073593073592,0.2362204724409449,0.2712550607287449,0.3771929824561404,0.3361702127659574,0.4272727272727272,0.5023923444976077,0.5392156862745099,0.6354166666666667,0.5242718446601942,0.6354166666666667,0.5544554455445545,0.5096153846153846,0.6881720430107527,0.8150289017341041,0.7348066298342542
BBOU_00-L,1.0,0.2266808964781216,0.00065287648154,0.0591054313099041,0.0567414705345655,1.5314606591223316e-05,12.478909908104969,1.0,1.0,0.8704446491229285,-0.0302267002518892,0.0558510638297873,0.1507246376811595,0.2103658536585366,0.1540697674418605,0.2683706070287541,0.3595890410958904,0.4078014184397165,0.475836431226766,0.5691699604743086,0.7260869565217394,0.7644444444444445,1.05699481865285,1.0894736842105264,1.015228426395939,1.1344086021505375,1.2556818181818183,1.100529100529101,1.0677083333333337,1.1117021276595749,1.1813186813186816,1.321637426900585,1.268571428571429,1.3772455089820363,1.3772455089820363,1.7957746478873244,1.6824324324324325,0.8294930875576039,0.9365853658536588,0.8726415094339623,0.9086538461538464,0.917874396135266,1.0677083333333337,1.1933701657458564,1.0894736842105264,1.3491124260355032,1.3772455089820363,1.3772455089820363,1.0255102040816326,1.1576086956521738,0.9556650246305424,1.2303370786516856,1.0677083333333337,1.2816091954022988,1.2178770949720672,1.1117021276595749,1.4060606060606062,1.3772455089820363,1.1344086021505375
BBQS_26-L^G99,1.0,0.3373907360509762,0.0003351547169811,0.0971845318860244,0.5195259593679172,4.6090163799211154e-05,3.04490167990336,1.0,1.0,0.4760155931109869,-0.0652557319223986,0.0779467680608365,0.0403669724770641,-0.0340715502555366,-0.0704918032786885,0.0216216216216216,0.0617977528089888,0.0617977528089888,0.069811320754717,0.0617977528089888,0.0441988950276244,0.0461254612546124,0.2038216560509553,0.125,0.08,0.0945945945945947,0.1117647058823529,0.0327868852459016,-0.0070052539404553,0.0499999999999998,0.0365630712979889,0.0578358208955223,0.0035398230088494,-0.0307692307692307,0.0179533213644522,0.2628062360801781,0.1294820717131475,-0.1674008810572687,-0.1084905660377358,-0.1112852664576802,-0.0438448566610455,-0.0070052539404553,0.0988372093023255,0.1385542168674698,-0.0207253886010363,0.2516556291390728,0.3341176470588234,0.3155452436194896,0.3629807692307691,0.3034482758620691,0.2628062360801781,0.3695652173913044,0.3034482758620691,0.4354430379746834,0.2516556291390728,0.4921052631578948,0.7886435331230284,1.0106382978723407,0.9220338983050846
BBTU_63-L^C18,1.0,0.2452513713223627,0.001012238544023,0.0294185884645724,1.222364928503891,4.537564668188216e-05,5.824168860797704,1.0,1.0,0.7753278982202005,-0.0648854961832061,0.1070422535211268,0.2092307692307693,0.0328515111695137,0.0234375,0.0369393139841689,0.1713859910581223,0.1766467065868264,0.2148377125193199,0.2476190476190476,0.2780487804878049,0.3693379790940767,0.5720000000000001,0.6040816326530611,0.4942965779467683,0.5232558139534884,0.6008146639511203,0.5595238095238095,0.5846774193548387,0.6547368421052633,0.6794871794871797,0.7236842105263159,0.8537735849056605,0.8848920863309353,1.1185983827493264,1.3323442136498516,0.9359605911330052,0.5533596837944665,0.5975609756097562,0.5533596837944665,0.6687898089171975,0.6307053941908713,0.6040816326530611,0.6582278481012658,0.6307053941908713,0.8279069767441862,0.921760391198044,1.057591623036649,1.0102301790281332,1.0848806366047747,1.0415584415584416,1.141689373297003,1.1129032258064515,1.1243243243243244,1.147540983606557,0.9503722084367244,1.057591623036649,1.3254437869822486,1.304985337243402
BBVN_02-L^I99,1.0,0.272572402044293,0.0027829074573816,0.1171366594360086,0.7449494949494935,3.212171336226602e-07,0.6128008558597344,1.0,1.0,0.7796842772265709,-0.0606060606060605,-0.0149253731343282,0.076086956521739,-0.0875576036866359,-0.0833333333333333,-0.0571428571428571,0.0476190476190476,0.064516129032258,0.064516129032258,0.0588235294117647,0.0050761421319796,0.0,0.1379310344827586,0.11864406779661,0.0476190476190476,0.0702702702702702,-0.01,-0.1818181818181817,-0.131578947368421,-0.1353711790393013,-0.1680672268907562,-0.1160714285714287,-0.1680672268907562,-0.1885245901639344,-0.1160714285714287,-0.1238938053097344,-0.0790697674418604,-0.3653846153846154,-0.2720588235294118,-0.2720588235294118,-0.2720588235294118,-0.2355212355212355,-0.2384615384615385,-0.1277533039647577,-0.331081081081081,-0.2204724409448819,-0.0526315789473683,-0.0341463414634145,-0.0341463414634145,0.0588235294117647,0.0206185567010308,0.2147239263803682,0.0879120879120878,0.1061452513966481,0.0588235294117647,0.1578947368421053,0.2692307692307691,0.3288590604026846,0.4142857142857143
BBXK_89-L^E06,1.0,0.8202216320175839,0.0007434944237918,0.0459302071018871,1.4422477277249732,8.887378544014714e-05,11.620690051631325,1.0,1.0,0.9805103419605664,0.0084388185654007,-0.0042016806722687,0.0627802690582959,0.017167381974249,-0.0919540229885056,-0.0481927710843373,0.0349344978165939,0.123222748815166,0.1732673267326732,0.2473684210526316,0.2279792746113991,0.1394230769230768,0.3021978021978022,0.3941176470588237,0.161764705882353,0.2279792746113991,0.3314606741573034,0.161764705882353,0.1504854368932038,0.1339712918660287,0.1179245283018868,0.1449275362318842,0.1339712918660287,0.123222748815166,0.1023255813953489,0.161764705882353,0.0042372881355932,-0.1595744680851063,-0.1505376344086021,-0.2203947368421052,-0.1742160278745644,-0.2073578595317725,-0.1381818181818181,-0.0632411067193674,-0.0669291338582677,0.0627802690582959,0.123222748815166,0.0921658986175115,0.017167381974249,0.017167381974249,-0.0813953488372093,0.021551724137931,-0.0326530612244898,0.017167381974249,-0.0481927710843373,-0.0705882352941175,0.0723981900452488,0.185,0.1394230769230768
