firms,absacc,acc,age,agr,chpmia,currat,egr,herf,invest,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,salerec,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FSXI_Z5-L,0.0297834989018606,-0.0297834989018606,28.0,0.1017672488875517,-0.0640755630219008,1.2052992606777906,0.0231359678863001,1.0540368399706589e-07,0.1078560230565804,0.1676446249539821,-2.8009574998356124,-0.0660673108310173,-0.1663894279842572,-0.0402580928810658,0.510794734402934,0.0343276908914314,-0.5236455159623787,0.5150297455538638,14.540672649011452,0.2041530226319796,0.8830818036740435,-0.0189873417721518,-0.0246913580246913,0.0394736842105263,0.1285714285714287,0.3504273504273505,0.3277310924369749,0.2950819672131148,0.3057851239669422,0.3982300884955754,0.1126760563380282,0.0394736842105263,0.0326797385620916,0.1285714285714287,0.2248062015503875,0.1285714285714287,0.1205673758865248,0.0896551724137932,0.0972222222222223,0.1285714285714287,0.1791044776119403,0.0063694267515923,0.0128205128205127,-0.0306748466257668,0.0533333333333334,-0.1022727272727271,-0.0424242424242423,-0.0246913580246913,0.1366906474820144,0.2539682539682539,0.3277310924369749,0.3389830508474578,0.4495412844036697,0.4905660377358489,0.462962962962963,0.5047619047619047,0.6122448979591837,0.6458333333333335,0.6458333333333335,0.6122448979591837,0.6458333333333335,0.8160919540229885,1.051948051948052,1.0789473684210529,0.7362637362637363,0.4234234234234233,0.4905660377358489,0.4107142857142856,0.5490196078431373,0.7752808988764046
FSXN_M8-L,0.0250906355198235,-0.0250906355198235,2.0,0.0915886551921775,0.0823202032176578,0.2424992430126779,0.0833829083714946,7.797954323702279e-08,0.0919776994285911,0.735619559773608,-9.791188461760802,-0.1589479379339612,-0.2266939751662298,-0.0206485882924162,0.0432590004468738,0.0839566748654785,-0.3216795128390748,0.1319790939849129,22.272443809276343,0.0839566748654785,0.5488151710661608,0.0576923076923077,-0.0095238095238094,-0.0095238095238094,0.0947368421052632,0.1818181818181818,0.1818181818181818,0.2682926829268293,0.2682926829268293,0.3333333333333332,0.2530120481927711,0.1685393258426966,0.1555555555555556,0.2682926829268293,0.4444444444444446,0.368421052631579,0.2682926829268293,0.1685393258426966,0.1685393258426966,0.0833333333333334,0.118279569892473,0.0196078431372548,0.0196078431372548,0.0947368421052632,0.1063829787234043,0.1428571428571428,0.1304347826086955,0.0947368421052632,0.0196078431372548,0.0833333333333334,0.1555555555555556,0.0947368421052632,0.1304347826086955,0.2093023255813955,0.2093023255813955,0.1685393258426966,0.1428571428571428,0.2235294117647059,0.2530120481927711,0.2839506172839505,0.2839506172839505,0.3333333333333332,0.4054054054054055,0.625,0.3506493506493506,0.1954022988505748,0.2839506172839505,0.2093023255813955,0.3164556962025315,0.368421052631579
FSXR_02-L^A06,0.0258364312267658,-0.0258364312267658,11.0,-0.1808960270498732,0.0364152650295106,1.0852390852390852,-0.0446180993193848,3.7698439995285897e-05,-0.0686390532544379,1.828091953066421,-30.93416118110532,0.0077220077220077,-0.0270270270270269,-0.0291522419856931,0.0340313219965052,-0.1865990504963314,-0.3381995133819951,0.6735966735966736,13.857720588235296,-0.1865990504963314,0.5412924692506782,-0.0259740259740259,0.0,0.023936170212766,-0.0253164556962025,0.0814606741573034,0.096866096866097,0.0784313725490197,0.1323529411764705,0.0664819944598338,0.0845070422535212,0.0185185185185186,0.010498687664042,0.1257309941520468,0.0694444444444444,0.0606060606060605,0.0212201591511935,-0.0128205128205127,-0.0493827160493826,0.010498687664042,0.0694444444444444,-0.0855106888361044,-0.0833333333333333,-0.0789473684210525,0.0784313725490197,0.0547945205479452,0.0490463215258856,0.0875706214689264,0.0576923076923077,0.1191860465116279,0.2664473684210526,0.2581699346405228,0.1390532544378699,0.2222222222222223,0.1846153846153846,0.09375,0.1561561561561562,0.2459546925566345,0.3184931506849315,0.3701067615658362,0.3050847457627117,0.2183544303797469,0.2106918238993711,0.4694656488549618,0.2459546925566345,-0.0350877192982456,0.0078534031413612,0.0377358490566037,-0.0128205128205127,0.1191860465116279
FSXX_00-L,0.0438802446045074,0.0438802446045074,2.0,-0.0183739452724548,-0.3737868728274546,0.9420611616414812,-0.0067998807038473,2.376289304040738e-09,-0.1987487842704307,0.0441347032507917,-12.060860594655953,-0.1635950013489979,-0.1617089930489629,0.0015754287238919,0.206281833999579,0.0808067381792963,0.7525022747952687,0.931032013177684,4.842394822006472,0.1175174577093991,1.012858221385527,-0.0126582278481012,-0.0124999999999999,-0.202020202020202,-0.2178217821782178,0.1449275362318842,0.0675675675675675,0.0675675675675675,-0.2476190476190476,-0.2818181818181818,-0.3247863247863247,-0.3969465648854962,-0.4060150375939849,-0.4148148148148148,-0.4060150375939849,-0.3828125,-0.3524590163934425,-0.3130434782608695,-0.2818181818181818,-0.233009708737864,-0.2685185185185185,-0.3629032258064516,-0.3828125,-0.3875968992248062,-0.373015873015873,-0.3577235772357723,-0.3524590163934425,-0.373015873015873,-0.3828125,-0.3361344537815125,-0.3875968992248062,-0.3875968992248062,-0.4148148148148148,-0.4060150375939849,-0.4148148148148148,-0.4060150375939849,-0.4148148148148148,-0.3969465648854962,-0.2882882882882883,-0.2946428571428572,-0.2818181818181818,0.2153846153846155,0.1617647058823528,0.2153846153846155,0.1449275362318842,-0.1222222222222222,-0.0595238095238094,-0.0246913580246913,0.3859649122807018,0.3620689655172415
FSYC_23-L^H00,0.1007231404958678,0.1007231404958678,3.0,0.3249669749009246,0.004679495700535,0.9295467584624212,-0.1177455357142856,2.281646670629112e-05,0.2048757055362074,2.1018812145457217,40.05815432353656,-0.1111053367049199,0.0172795404438963,-0.0113928275857762,1.0420489573624143,-0.1907727954669325,1.3000000000000016,0.5101549053356282,145.89054726368158,0.165361840797997,0.4692307874906436,-0.025369978858351,-0.0104602510460251,-0.0145833333333331,-0.0186721991701244,0.1288782816229117,0.092378752886836,0.1103286384976527,0.1452784503631963,0.1795511221945138,0.2253886010362695,0.0873563218390807,0.0534521158129175,0.0974477958236661,0.1795511221945138,0.1480582524271845,0.1593137254901961,0.0581655480984342,0.1,0.1261904761904762,0.1480582524271845,0.0464601769911505,0.0282608695652175,-0.0267489711934155,0.0193965517241381,0.0350109409190373,0.0511111111111111,0.048780487804878,0.0677200902934538,0.0725623582766441,0.2480211081794197,0.2480211081794197,0.1825000000000001,0.2349869451697128,0.2680965147453085,0.1707920792079209,0.200507614213198,0.2349869451697128,0.2382198952879581,0.2888283378746594,0.2613333333333334,0.2749326145552562,0.2783783783783784,0.4290030211480364,0.3249299719887957,-0.0104602510460251,0.048780487804878,0.0418502202643171,0.0260303687635574,0.0150214592274677
FSYG_05-L^J08,0.0532307379869799,-0.0532307379869799,3.0,-0.0587310887098982,0.0576961689506459,1.9997775482640816,0.2526069376463076,1.738711842393143e-07,-0.0888960679848216,0.2880029851639275,-20.48409213426346,0.5007304232214499,0.6003907465636132,0.1075986385423178,0.2493445610902928,-0.0110645551065158,-0.6609694592322772,1.4256613966791132,4.76010190230024,-0.0528056835211189,0.7582199565688497,0.0602739726027397,-0.0852130325814537,-0.0343915343915344,0.0310734463276836,0.200657894736842,0.1094224924012157,0.0895522388059701,0.1370716510903427,0.1624203821656049,0.1928104575163398,0.0398860398860398,0.067251461988304,0.1928104575163398,0.2943262411347518,0.200657894736842,0.200657894736842,0.2046204620462046,0.2673611111111111,0.2673611111111111,0.1928104575163398,0.123076923076923,0.0488505747126437,0.0138888888888888,-0.0161725067385445,-0.0135135135135135,0.0252808988764043,0.0167130919220055,0.0339943342776203,0.0798816568047338,0.1736334405144695,0.1587301587301588,0.0895522388059701,0.2086092715231788,0.2586206896551724,0.2372881355932201,0.2166666666666665,0.2629757785467126,0.2943262411347518,0.2542955326460481,0.3619402985074627,0.3419117647058822,0.2852112676056337,0.2372881355932201,0.0027472527472527,-0.1589861751152074,-0.1760722347629796,-0.20479302832244,-0.0214477211796246,0.1736334405144695
FSYV_44-L^H00,0.0811922893723494,0.0811922893723494,2.0,0.0004477252115214,-0.0314029486546434,1.9817979804581551,0.0447826186601884,3.5296507965110875e-08,0.047550713490305,0.2327647934532289,-11.409157174969826,0.0815486102459382,0.1064966331643309,0.0811979553003328,-0.1844465316748945,-0.456819989469295,0.7659989171629675,1.4176660893434858,5.766511674416279,0.1032820287165555,0.8093234748427834,-0.0103092783505154,-0.0202020202020202,-0.0251256281407035,0.0837988826815641,0.2124999999999999,0.1829268292682926,0.2516129032258063,0.2435897435897436,0.2516129032258063,0.1149425287356322,0.0319148936170212,0.0486486486486485,0.0960451977401128,0.1479289940828403,0.0960451977401128,0.0543478260869565,0.0543478260869565,0.0898876404494382,0.1085714285714285,0.127906976744186,-0.0152284263959391,0.0,0.0157068062827225,0.0210526315789474,0.0210526315789474,0.0210526315789474,0.0104166666666667,0.0319148936170212,0.0898876404494382,0.2435897435897436,0.1547619047619048,0.1149425287356322,0.1411764705882352,0.1022727272727272,0.0659340659340659,0.1149425287356322,0.127906976744186,0.1022727272727272,0.1085714285714285,0.0898876404494382,0.0659340659340659,0.2933333333333332,0.3020134228187918,0.1022727272727272,0.0,0.0659340659340659,0.0264550264550265,0.0777777777777777,0.1411764705882352
FSZD_06-L^D15,0.0703196436823424,-0.0703196436823424,8.0,-0.1568808669493676,-0.0030515252613677,1.8423678838738944,-0.0745582432664264,1.3921528074671641e-08,-0.2044507266862382,0.0499010792884683,-12.223023589577776,0.0734105266379424,0.2218973139146866,0.2855343254930801,0.1200423765316245,-0.0854675907638087,-2.7550077041602474,1.3644061389581916,5.349630723781389,-0.0897621171946668,0.6712488101902158,0.148936170212766,-0.1214953271028038,-0.0961538461538462,-0.0408163265306122,0.2368421052631577,0.2368421052631577,0.1749999999999998,0.119047619047619,0.119047619047619,-0.1965811965811965,-0.3088235294117648,-0.3333333333333333,-0.3088235294117648,-0.2878787878787879,-0.2878787878787879,-0.3237410071942446,-0.3333333333333333,-0.2656250000000001,-0.3648648648648649,-0.4161490683229815,-0.5078534031413613,-0.5204081632653061,-0.5323383084577114,-0.5323383084577114,-0.5323383084577114,-0.6000000000000001,-0.6284584980237153,-0.624,-0.6209677419354839,-0.616326530612245,-0.6342412451361867,-0.6356589147286822,-0.6384615384615384,-0.6425855513307985,-0.6492537313432836,-0.6194331983805669,-0.6000000000000001,-0.6083333333333334,-0.6284584980237153,-0.6425855513307985,-0.6452830188679246,-0.6479400749063671,-0.6452830188679246,-0.6758620689655173,-0.7321937321937322,-0.7210682492581603,-0.7267441860465116,-0.6938110749185668,-0.6866666666666668
FSZL_42-L^I96,0.1449983202013222,0.1449983202013222,2.0,0.2279151382058133,-0.1139781540249976,1.3438705492779843,0.220822223384047,1.0618464362627133e-07,0.1254850178472445,0.4767335745828814,-9.116199803983154,-0.0580969525891037,-0.0574470351815777,0.4162302689632911,0.686193474576664,-0.0139761316686928,1.58784534221852,1.0658063928811206,4.382360672975815,0.7439129638831498,0.2098519971503143,-0.131004366812227,0.0601851851851851,-0.0984251968503937,0.0601851851851851,0.2180851063829787,0.1116504854368931,0.0956937799043062,0.2116402116402116,0.106280193236715,-0.0576131687242799,-0.2392026578073088,-0.2366666666666667,-0.2315436241610737,-0.1259541984732824,-0.1964912280701755,-0.1879432624113475,-0.2103448275862068,-0.2564935064935065,-0.2103448275862068,-0.2020905923344947,-0.228956228956229,-0.1486988847583642,-0.0912698412698412,-0.1908127208480565,-0.1580882352941176,-0.1192307692307692,-0.1702898550724636,-0.0418410041841004,-0.0418410041841004,0.0504587155963303,-0.0653061224489796,-0.0984251968503937,-0.0803212851405623,0.0,-0.0766129032258063,-0.0948616600790512,0.0177777777777778,0.0751173708920187,0.0177777777777778,0.0223214285714283,-0.0043478260869563,0.0088105726872247,0.1336633663366335,0.1280788177339902,-0.254071661237785,-0.0984251968503937,-0.0576131687242799,-0.0337552742616034,-0.0576131687242799
FTAE_98-L,0.118680595409615,-0.118680595409615,3.0,0.3329057748483259,-0.0046681569102772,3.132006153704851,0.4964860221771047,3.1088631907946375e-08,-0.0239588794846828,0.185528786993313,-23.16081458057623,0.0617378051629324,3.16484802834406,-0.0904291318739218,-1.2142821936941228,-0.2675851678225376,-2.433108441665296,1.0942573075245112,14.310285563194077,-0.1425210323684586,0.8235049149097946,0.0091743119266054,0.0582524271844659,0.0092592592592593,0.1237113402061855,0.345679012345679,0.3132530120481929,0.3132530120481929,0.5571428571428574,0.8166666666666669,0.5797101449275364,0.2823529411764707,0.2674418604651163,0.3974358974358976,0.6029411764705883,0.4533333333333333,0.4533333333333333,0.4342105263157896,0.4533333333333333,0.5797101449275364,0.8474576271186443,0.472972972972973,0.535211267605634,0.3625,0.1978021978021977,0.101010101010101,0.1237113402061855,0.1595744680851065,0.1720430107526882,0.1237113402061855,0.2674418604651163,0.345679012345679,0.1237113402061855,0.1473684210526318,0.2247191011235956,0.101010101010101,0.0380952380952381,0.0283018867924529,0.09,0.1354166666666667,0.2247191011235956,0.1473684210526318,0.5138888888888891,0.5138888888888891,0.2976190476190476,-0.0438596491228068,0.0480769230769231,-0.0353982300884954,0.0186915887850467,0.1847826086956521
