firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.0610699659324542,-0.0610699659324542,17.0,0.108957485284979,0.0713249361852815,-0.0097992016223581,1.2764034021871205,0.2645667801740446,-0.0383347073371804,-0.0381331382202103,1.7752210396253782e-08,0.0390026602244084,0.1923271837227607,0.1725775737674175,-0.4413580717834408,-0.0834184046636541,-0.0319019746861747,0.0640683542552739,-0.0730397554368885,-5.566083283041642,0.9553705953827462,0.0772600557546794,-0.0795454545454544,0.0602409638554217,0.1282051282051282,0.4193548387096775,0.3333333333333332,0.4666666666666668,0.4193548387096775,0.5999999999999999,0.5714285714285714,0.76,0.6923076923076923,0.8333333333333335,0.8333333333333335,1.0,0.9130434782608694,0.8333333333333335,0.76,0.8333333333333335,0.8333333333333335,0.4915254237288136,0.517241379310345,0.7254901960784315,0.76,0.9130434782608694,0.8723404255319149,0.6923076923076923,1.1463414634146345,1.0952380952380951,1.3157894736842106,1.5882352941176467,2.03448275862069,1.75,2.03448275862069,1.838709677419355,1.2564102564102564,1.5882352941176467,2.3846153846153846,1.5882352941176467,1.6666666666666663,1.4444444444444446,0.8723404255319149,0.76,0.76,0.7254901960784315,0.5714285714285714,0.2394366197183099,0.1578947368421053,0.5999999999999999,0.6603773584905659
BBOU_00-L,0.0362985685071574,-0.0362985685071574,17.0,-0.0564939673527324,0.1591366757887127,0.0416227592562144,1.2053307008884502,0.1044349070100143,-0.0138136511375948,-0.0050314782354659,2.952291826275677e-05,0.0151171043293115,-0.045119612395276,20.82939609076325,-0.1603153792209939,0.1948640439239559,0.0929882301440661,-0.316237100719829,-0.3132309420461684,-0.3759455370650529,0.6290720631786771,-0.2431672477786525,0.0036144578313253,0.0310559006211179,0.0600255427841636,0.0072815533980583,0.0453400503778338,0.0723514211886304,0.0949868073878628,0.1155913978494624,0.1385459533607682,0.117092866756393,0.1307901907356949,0.1277173913043479,0.1925287356321841,0.2134502923976609,0.2116788321167884,0.133879781420765,0.1624649859943978,0.0978835978835981,0.1756373937677056,0.1007957559681698,0.1527777777777779,0.1292517006802722,0.1277173913043479,0.1891117478510029,0.2691131498470949,0.2278106508875741,0.3091482649842272,0.2888198757763975,0.2613981762917934,0.2152269399707176,0.2652439024390245,0.3091482649842272,0.2888198757763975,0.2296296296296296,0.2633181126331811,0.1369863013698631,0.0401002506265664,0.0586734693877553,0.1261872455902306,-0.0246768507638072,-0.0348837209302324,-0.0828729281767955,-0.0958605664488015,-0.0459770114942527,-0.0212264150943395,0.0573248407643314,0.1140939597315437,0.1857142857142857,0.1857142857142857
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,1.139281167204249,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,2.300547038148737e-07,0.2216981132075471,-0.108730583824317,0.0019522274125119,-0.3298369247310194,-0.2328427255985267,-0.2464646464646464,-0.4155844155844156,0.6064997804128239,-2.256756756756757,1.8,0.2272727272727272,-0.0238095238095238,-0.1063829787234041,-0.0666666666666667,0.0,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.1351351351351351,0.0499999999999998,0.1052631578947367,-0.0666666666666667,0.0499999999999998,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,-0.0666666666666667,0.1999999999999999,0.1999999999999999,-0.0666666666666667,0.1999999999999999,0.1999999999999999,0.0499999999999998,0.0499999999999998,-0.0666666666666667,0.1999999999999999,0.1999999999999999,0.0499999999999998,0.0499999999999998,0.0499999999999998,-0.16,-0.2363636363636364,-0.16,0.0,0.1351351351351351,0.1351351351351351,0.0499999999999998,0.6153846153846152,0.6153846153846152,0.2352941176470586,0.2352941176470586,0.2352941176470586,0.2352941176470586,0.2352941176470586,0.0,0.0,0.0,0.0,0.0
BBTU_63-L^C18,0.0551027878928,-0.0551027878928,16.0,-0.0325240234263945,0.1724048185603807,0.0097920695488098,0.8805668016194332,0.0792268645060523,0.0439906698858288,-0.045739167292819,9.222959005184256e-05,0.0072212429635525,-0.0984162895927602,4.6802935486363015,-0.0026715144985612,0.0475001915634213,0.0467726827189431,0.396861894398857,0.2862035167492429,-1.0966257668711654,0.8645748987854251,0.3317731370024074,0.0743155149934811,0.0092105263157895,0.0864022662889518,0.0864022662889518,0.0925925925925925,0.1621212121212121,0.0652777777777777,0.0052424639580603,0.0697350069735007,0.1180758017492711,0.2351046698872785,0.2174603174603175,0.1346153846153845,0.2213375796178343,0.2174603174603175,0.1745788667687595,0.1836419753086418,0.2783333333333333,0.3970856102003641,0.3894927536231884,0.4047619047619046,0.4151291512915129,0.4749999999999998,0.6215644820295982,0.7471526195899774,0.604602510460251,0.6113445378151261,0.7274774774774773,0.7551487414187643,1.0673854447439353,1.303303303303303,1.0956284153005464,0.9768041237113404,0.9032258064516128,0.7632183908045977,0.8175355450236967,1.0184210526315791,0.6388888888888891,0.6783369803063457,0.4417293233082706,0.2956081081081081,0.2532679738562091,0.2762063227953411,0.4177449168207023,0.5128205128205128,0.5068762278978389,0.5432595573440644,0.792056074766355,0.7274774774774773
BBXK_89-L^E06,0.169506349628283,-0.169506349628283,17.0,-0.4191484458662618,0.197405228682929,0.0076964235029004,0.6495772900023269,0.0815415699164681,-0.8076484741040901,-0.0212997659083662,4.112925115468628e-05,-0.022352957124073,-0.2355223334890618,5.869723208504127,-0.7753360588013891,-0.6836133044405258,-0.7903832560889411,0.1032131233775334,0.9256939167437414,-1.6838160136286202,0.3861009850306368,-0.0432692886827681,0.0881542699724518,0.070796460176991,0.0521739130434781,0.0491329479768785,0.1379310344827586,0.1273291925465838,0.1,0.0803571428571428,0.0583090379008746,0.1067073170731707,0.141509433962264,0.0431034482758621,0.1067073170731707,0.0739644970414201,0.0966767371601207,0.0552325581395347,0.0371428571428571,0.375,0.3394833948339484,0.2692307692307691,0.4069767441860463,0.3152173913043479,0.3908045977011494,0.32,0.2222222222222221,0.2389078498293515,0.2431506849315068,0.2263513513513513,0.3152173913043479,0.3494423791821561,0.3345588235294117,0.2389078498293515,0.2389078498293515,0.2059800664451827,0.1273291925465838,0.0027624309392264,0.1747572815533979,0.1134969325153374,0.1560509554140126,-0.0054794520547944,0.0027624309392264,-0.0294117647058824,-0.0135869565217392,-0.2039473684210525,-0.1787330316742081,-0.1498829039812645,-0.105911330049261,0.0431034482758621,0.2059800664451827
BCPS_48-L^C06,0.2001199580146948,-0.2001199580146948,16.0,-0.2266599303321189,0.0361847473829008,-0.1316741147193586,1.3977200759974666,0.2427630117716739,-0.2767315671879988,-0.2550907182485772,3.747791822177422e-06,-0.106336586273832,-0.2145116976105235,2.6819400908419184,-1.015052158844547,-0.0473296715654651,-0.040028919523193,0.3276842538734003,0.1472381302448613,-2.6660007990411505,1.329322355921469,0.0464862505456132,0.2477611940298505,0.046875,0.0601265822784808,0.0737179487179486,0.0601265822784808,0.25,0.1591695501730103,0.0668789808917198,0.0841423948220065,0.1241610738255034,0.1129568106312293,0.25,0.2884615384615385,0.3729508196721312,0.5227272727272727,0.4628820960698689,0.5654205607476634,0.5509259259259258,0.4955357142857142,0.4502164502164503,0.4316239316239316,0.456521739130435,0.3508064516129032,0.1879432624113475,0.3346613545816734,0.2934362934362935,0.4628820960698689,0.4316239316239316,0.4075630252100841,0.675,0.9364161849710984,1.1069182389937104,1.0426829268292686,1.0426829268292686,0.8108108108108107,0.8206521739130435,0.9590643274853804,0.4823008849557524,0.5876777251184835,0.3729508196721312,0.2453531598513012,0.2007168458781363,0.3508064516129032,0.6105769230769231,0.4823008849557524,0.4075630252100841,0.3617886178861789,0.6105769230769231,0.8611111111111112
BCQE_67-L^A14,0.1957726957726957,-0.1957726957726957,17.0,-0.1951219512195122,-0.1129668994837534,-0.0808696398883558,2.072480181200453,0.2285067873303167,0.371002132196162,-0.1514206514206311,5.570778082481124e-06,-0.1316447779862414,-0.1193603655054254,0.67086127893866,-0.8857978787371972,0.1392047202584966,0.1932191138216297,0.043773957359318,-0.0867279520787616,-1.1945031712473573,1.77123442808607,-0.2487792341300436,-0.0799999999999999,0.0,0.129032258064516,0.4227642276422765,0.2773722627737225,0.1744966442953019,-0.0489130434782608,-0.1336633663366336,-0.2324561403508771,-0.0331491712707182,-0.2009132420091324,-0.0331491712707182,0.2773722627737225,0.0355029585798816,-0.0489130434782608,-0.1421568627450981,-0.0641711229946524,-0.2324561403508771,-0.2222222222222222,-0.3190661478599221,-0.412751677852349,-0.1784037558685445,-0.2857142857142858,-0.5244565217391304,-0.454828660436137,-0.575242718446602,-0.435483870967742,-0.2521367521367521,-0.1898148148148148,0.0670731707317073,0.4957264957264957,-0.0168539325842697,-0.7145187601957586,-0.7159090909090909,-0.7739018087855297,-0.7602739726027397,-0.7482014388489209,-0.7988505747126436,-0.7756410256410257,-0.8334919124643196,-0.8586429725363489,-0.8616600790513834,-0.8792270531400966,-0.849785407725322,-0.8708487084870848,-0.8743718592964824,-0.8548922056384742,-0.7651006711409396,-0.6162280701754386
BCZB_W7-L^G07,0.0722811944983685,-0.0722811944983685,17.0,-0.0774239656952275,0.0734536967117457,-0.0199702196556978,0.8473611928585443,0.0662566396421582,-0.1430250783699059,-0.1477840650943786,0.0001548128970826,-0.0822679266259032,-0.0336123110151187,4.035974884749233,-0.4587109368359353,0.0251921115077726,0.0960331411917105,0.1565918423809768,-0.1216512486991885,-14.344262295081966,0.7376888365705316,-0.101044279796978,-0.0142348754448399,-0.0070671378091873,0.0035714285714285,-0.0174825174825173,-0.0174825174825173,-0.00354609929078,-0.0409556313993174,-0.0209059233449477,-0.0174825174825173,0.0407407407407407,0.0766283524904214,0.052434456928839,0.1062992125984252,0.0891472868217053,0.052434456928839,-0.0846905537459282,-0.0906148867313915,-0.1163522012578616,-0.0664451827242523,-0.1902017291066282,-0.1246105919003115,-0.2128851540616245,-0.1759530791788857,-0.1661721068249257,-0.1050955414012738,-0.1163522012578616,-0.0695364238410596,-0.0310344827586206,-0.0906148867313915,0.0255474452554744,0.1150793650793651,0.0563909774436088,0.0,-0.1191222570532914,-0.1735294117647058,-0.113564668769716,-0.0876623376623376,-0.2172701949860723,-0.1855072463768116,-0.3261390887290167,-0.3480278422273781,-0.3864628820960698,-0.3851203501094092,-0.4046610169491524,-0.3713646532438478,-0.3277511961722488,-0.321256038647343,-0.3480278422273781,-0.3163017031630171
BDAJ_H9-L,0.2037956674630231,-0.2037956674630231,10.0,-0.146063501542749,-0.028906955736224,-0.1188523577134371,1.7740963855421688,0.1104772505913454,-0.2296015180265654,-0.0995356078704967,2.487689239731431e-06,-0.0098039215686274,-0.1125963309009069,1.6083841323036818,0.0637566287780484,0.2779345515959982,0.264159960876717,0.0868766872453461,0.2524534142899629,-3.1792294807370185,1.6340361445783131,0.0142271145957733,0.0,0.0663265306122449,0.1420765027322403,0.1029023746701847,0.1176470588235292,0.1611111111111109,0.0801033591731266,0.0801033591731266,0.1176470588235292,0.1389645776566757,-0.0094786729857819,0.0476190476190474,0.0609137055837563,0.0555555555555555,0.0195121951219512,0.0,-0.027906976744186,-0.0542986425339366,-0.1010752688172044,-0.0542986425339366,-0.045662100456621,0.0773195876288659,0.0270270270270269,0.0555555555555555,0.1389645776566757,0.0555555555555555,0.0372208436724563,0.2011494252873562,0.1908831908831909,0.244047619047619,0.2628398791540784,0.2822085889570551,0.274390243902439,0.1297297297297295,0.0745501285347043,0.0072289156626503,0.2330383480825957,0.1389645776566757,0.3021806853582554,0.1358695652173911,0.0528967254408059,0.094240837696335,0.0270270270270269,0.2011494252873562,0.1942857142857141,0.3103448275862068,0.3312101910828025,0.5773584905660376,0.6521739130434783
BDCK_44-L^L08,0.1291783193501132,-0.1291783193501132,16.0,-0.0275807722616233,0.0854898336414048,0.0025958562704199,1.1555869872701556,0.1104199066874028,-0.0909638554216867,-0.135836995605269,1.7138975675765976e-07,-0.0795902285263987,0.021485287248949,0.0002453826469819,0.4628187959717795,0.0935201243496385,0.0954486294775491,0.031198003327787,-0.1416458195160357,-17.321428571428573,1.1478076379066475,-0.0521353300055461,0.0,0.0,0.0,0.0,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295,-0.1176470588235295
