firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.0481325730343349,-0.0481325730343349,16.0,-0.1126112171305359,0.0988162853654652,-0.0238413438091777,1.3925693126303016,0.3484698370761779,-0.2276462205512265,-0.1112807230062656,1.516115021097215e-08,0.0177947408857716,-0.030361642288833,0.1097517969829474,2.699256440878385,0.1563639333504896,0.1767272043078105,0.0378124690246668,-2.462546187437017,0.986853159909139,0.0713731140752759,-0.0384615384615385,0.0833333333333334,0.0833333333333334,0.1818181818181818,0.1304347826086955,0.0833333333333334,0.04,0.0833333333333334,0.0833333333333334,-0.11864406779661,-0.1034482758620688,0.0196078431372548,0.04,0.1304347826086955,0.1063829787234043,0.0,0.2682926829268293,0.2380952380952381,0.368421052631579,0.5294117647058822,0.7931034482758623,0.625,0.7931034482758623,0.6774193548387097,0.3333333333333332,0.5294117647058822,1.0,0.5294117647058822,0.5757575757575757,0.4444444444444446,0.1063829787234043,0.04,0.04,0.0196078431372548,-0.0714285714285715,-0.2676056338028169,-0.3157894736842105,-0.0545454545454545,-0.0188679245283018,-0.2777777777777777,-0.2777777777777777,-0.4901960784313726,-0.4901960784313726,-0.5478260869565217,-0.4951456310679611,-0.6578947368421053,-0.7204301075268817,-0.6829268292682926,-0.7173913043478262
BBOU_00-L,0.0481394657773962,-0.0481394657773962,16.0,-0.1300858183614249,0.1569274041026138,-0.7307976193018709,1.0087597053553654,0.1143724696356275,-0.2547436415018167,-0.0924561032786344,5.1083456504935896e-05,0.0004321787985429,-0.0753220085868956,19.825822314265693,-0.1686210413638441,0.0700292753118734,-0.0752799502013805,0.2769020438683948,-0.5237068965517241,0.5755524586900259,-0.0581567796610169,0.0122615803814714,-0.0027173913043478,0.0545977011494251,0.0730994152046784,0.0715328467153284,0.0027322404371583,0.0280112044817928,-0.029100529100529,0.0396600566572238,-0.026525198938992,0.0194444444444443,-0.001360544217687,-0.0027173913043478,0.0515759312320915,0.1223241590214068,0.0857988165680474,0.1577287066246055,0.139751552795031,0.1155015197568389,0.0746705710102488,0.1189024390243902,0.1577287066246055,0.139751552795031,0.0874074074074073,0.1171993911719937,0.0054794520547944,-0.0802005012531329,-0.0637755102040816,-0.0040705563093622,-0.1374853113983548,-0.1465116279069767,-0.188950276243094,-0.2004357298474945,-0.1563218390804597,-0.134433962264151,-0.064968152866242,-0.014765100671141,0.0485714285714284,0.0485714285714284,0.0684133915574962,-0.0040705563093622,-0.0802005012531329,-0.0430247718383312,0.0124137931034482,0.0251396648044692,0.0251396648044692,0.1223241590214068,-0.0213333333333333,0.0152143845089902
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,-5.37416974194432,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,2.280089765015025e-07,0.2216981132075471,-0.108730583824317,0.0018655932565565,-0.2284285945095565,-0.2328427255985267,-0.2464646464646464,0.6064997804128239,-2.256756756756757,1.8,0.2272727272727272,-0.1555555555555555,0.125,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.0,0.2857142857142858,0.2857142857142858,0.0,0.2857142857142858,0.2857142857142858,0.125,0.125,0.0,0.2857142857142858,0.2857142857142858,0.125,0.125,0.125,-0.0999999999999999,-0.1818181818181818,-0.0999999999999999,0.0714285714285714,0.2162162162162162,0.2162162162162162,0.125,0.7307692307692308,0.7307692307692308,0.3235294117647058,0.3235294117647058,0.3235294117647058,0.3235294117647058,0.3235294117647058,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.125,0.125,0.8750000000000002,0.125,0.125,0.1842105263157893,0.2857142857142858,0.5,0.8,0.607142857142857
BBTU_63-L^C18,0.0551027878928,-0.0551027878928,16.0,-0.0325240234263945,0.1724048185603807,-0.0461907432467842,0.8805668016194332,0.0792268645060523,0.0439906698858288,-0.045739167292819,9.140945210925168e-05,0.0072212429635525,-0.0984162895927602,3.980728720180457,-0.0018501576274878,0.0475001915634213,0.0467726827189431,0.2862035167492429,-1.0966257668711654,0.8645748987854251,0.3317731370024074,0.1046698872785829,-0.0142857142857142,-0.0813609467455621,-0.0111464968152866,-0.0142857142857142,-0.0490045941807044,-0.0416666666666667,0.0349999999999999,0.1311475409836064,0.125,0.1373626373626373,0.1457564575645755,0.1942307692307692,0.3128964059196615,0.4145785876993166,0.2991631799163179,0.3046218487394958,0.3986486486486484,0.4210526315789473,0.6738544474393531,0.8648648648648649,0.6967213114754098,0.6005154639175259,0.5409429280397022,0.4275862068965519,0.4715639810426542,0.6342105263157896,0.3269230769230771,0.3588621444201312,0.1672932330827066,0.0489864864864864,0.0147058823529411,0.0332778702163061,0.1478743068391865,0.2248520710059169,0.2200392927308447,0.2494969818913481,0.4509345794392523,0.3986486486486484,0.0706896551724138,0.0402010050251255,0.0472175379426644,0.0633561643835616,0.1585820895522387,0.2494969818913481,0.118918918918919,0.0688468158347677,0.2321428571428572,0.3297644539614561
BBXK_89-L^E06,0.0161609872070644,-0.0161609872070644,16.0,0.0919815859200379,0.1838340817554742,-0.0346508358620552,2.053111901098318,0.0691617108874657,-0.2202804107424961,-0.0945601720819517,4.453405074233805e-05,0.0358216024986306,0.3243752185726199,4.982592078535254,0.3764281105276983,0.0479978020595198,0.056410077376569,-0.1383912558927758,-0.2067716820568532,1.8419377089191915,0.0277695240925073,0.0314465408805031,-0.086206896551724,-0.0304878048780486,-0.059171597633136,-0.0392749244712991,-0.0755813953488371,-0.0914285714285714,0.2045454545454545,0.1734317343173432,0.1118881118881121,0.2325581395348837,0.1521739130434785,0.2183908045977012,0.1563636363636364,0.0707070707070707,0.0853242320819112,0.089041095890411,0.0743243243243243,0.1521739130434785,0.1821561338289963,0.1691176470588236,0.0853242320819112,0.0853242320819112,0.0564784053156146,-0.0124223602484472,-0.1215469613259668,0.0291262135922332,-0.0245398773006133,0.0127388535031847,-0.1287671232876711,-0.1215469613259668,-0.1497326203208556,-0.1358695652173913,-0.3026315789473683,-0.2805429864253393,-0.2552693208430912,-0.2167487684729062,-0.086206896551724,0.0564784053156146,-0.0124223602484472,0.0853242320819112,0.0324675324675325,0.0816326530612245,0.0192307692307691,-0.0031347962382444,0.1480144404332131,0.2045454545454545,0.4454545454545453,0.3706896551724139
BCPS_48-L^C06,0.2001199580146948,-0.2001199580146948,16.0,-0.2266599303321189,0.0361847473829008,0.6211276579411915,1.3977200759974666,0.2427630117716739,-0.2767315671879988,-0.2550907182485772,3.7144651395740207e-06,-0.106336586273832,-0.2145116976105235,1.948690893839124,-0.7029744719692542,-0.0473296715654651,-0.040028919523193,0.1472381302448613,-2.6660007990411505,1.329322355921469,0.0464862505456132,-0.0099667774086378,0.1231343283582087,0.1576923076923075,0.2336065573770491,0.3681818181818179,0.3144104803493448,0.4065420560747661,0.3935185185185184,0.3437499999999998,0.303030303030303,0.2863247863247864,0.308695652173913,0.2137096774193547,0.0673758865248226,0.199203187250996,0.162162162162162,0.3144104803493448,0.2863247863247864,0.2647058823529411,0.5049999999999999,0.7398843930635837,0.8930817610062891,0.8353658536585367,0.8353658536585367,0.6270270270270268,0.6358695652173911,0.7602339181286548,0.331858407079646,0.4265402843601895,0.2336065573770491,0.1189591078066913,0.0788530465949819,0.2137096774193547,0.4471153846153843,0.331858407079646,0.2647058823529411,0.2235772357723575,0.4471153846153843,0.672222222222222,0.308695652173913,0.1488549618320609,0.1576923076923075,0.0100671140939596,0.1576923076923075,0.17578125,0.0134680134680134,0.0033333333333331,-0.0504731861198738,-0.0414012738853504
BCQE_67-L^A14,0.033033033033033,-0.033033033033033,16.0,-0.2252906976744186,-0.0463760434609778,-0.9992588201461996,1.819234194122885,0.2318181818181818,3.5533980582524274,-0.2705432705431982,9.783663716753798e-06,-0.1087693798449612,-0.1342398022249691,0.7776275512310741,-0.1095319936445846,0.1934117343131892,0.2143864090312484,-0.1265341164038877,-0.3689024390243902,1.4844167408726625,-0.2245914707054603,-0.1735159817351598,0.2099447513812153,0.5985401459854014,0.2958579881656804,0.1902173913043476,0.0735294117647058,0.1711229946524062,-0.0394736842105262,-0.0266666666666667,-0.1478599221789882,-0.2651006711409396,0.028169014084507,-0.1061224489795918,-0.4048913043478261,-0.3177570093457944,-0.4684466019417476,-0.2935483870967742,-0.0641025641025641,0.0138888888888888,0.3353658536585366,0.8717948717948718,0.2303370786516854,-0.6427406199021207,-0.6444805194805194,-0.7170542635658914,-0.7,-0.6848920863309353,-0.7482758620689656,-0.7192307692307692,-0.7916270218839201,-0.8231017770597738,-0.8268774703557312,-0.8488612836438924,-0.8120171673819743,-0.8383763837638376,-0.8427853553481695,-0.818407960199005,-0.7060402684563758,-0.519736842105263,-0.7857142857142857,-0.7894230769230769,-0.8616550852811118,-0.8724519510774607,-0.8733371891266628,-0.8619167717528373,-0.8820678513731826,-0.8975678203928905,-0.8801969365426696,-0.8897280966767371
BCZB_W7-L^G07,0.0366309291747888,-0.0366309291747888,16.0,0.0467126589643421,0.1158209786315862,0.0144895034656313,0.8265389319200979,0.0530801071341611,0.0201878872676394,0.0216049382716049,0.0001898678204285,0.0514504197489818,0.0645207644776548,4.051460692048797,-0.1813328570181026,-0.0498683214576096,-0.041706844416151,-0.0387943193686273,-1.1388888888888888,0.673053403995108,-0.0165806081468732,0.0344827586206897,-0.0224719101123596,0.0275590551181101,0.0116279069767442,-0.0224719101123596,-0.1498371335504885,-0.1553398058252427,-0.179245283018868,-0.1328903654485049,-0.2478386167146975,-0.1869158878504673,-0.2689075630252101,-0.2346041055718475,-0.2255192878338279,-0.1687898089171975,-0.179245283018868,-0.1357615894039735,-0.0999999999999999,-0.1553398058252427,-0.0474452554744526,0.0357142857142855,-0.0187969924812031,-0.0711743772241993,-0.1818181818181818,-0.2323529411764706,-0.1766561514195583,-0.1525974025974026,-0.2729805013927576,-0.2434782608695652,-0.3741007194244604,-0.3944315545243619,-0.4301310043668123,-0.4288840262582057,-0.4470338983050848,-0.4161073825503355,-0.3755980861244019,-0.3695652173913043,-0.3944315545243619,-0.3649635036496351,-0.3930232558139535,-0.4350649350649351,-0.4811133200795229,-0.4759036144578313,-0.4225663716814158,-0.423841059602649,-0.4,-0.3741007194244604,-0.4251101321585904,-0.4174107142857144
BDAJ_H9-L,0.2037956674630231,-0.2037956674630231,10.0,-0.146063501542749,-0.028906955736224,0.5606453990192091,1.7740963855421688,0.1104772505913454,-0.2296015180265654,-0.0995356078704967,2.4655678323421966e-06,-0.0098039215686274,-0.1125963309009069,1.4019771570591624,0.0441546595012486,0.2779345515959982,0.264159960876717,0.2524534142899629,-3.1792294807370185,1.6340361445783131,0.0142271145957733,-0.1303317535545023,0.057644110275689,0.0710659898477157,0.0656565656565655,0.0292682926829268,0.0095693779904306,-0.0186046511627907,-0.0452488687782806,-0.09247311827957,-0.0452488687782806,-0.0365296803652968,0.0876288659793813,0.0368550368550366,0.0656565656565655,0.1498637602179835,0.0656565656565655,0.0471464019851115,0.2126436781609195,0.2022792022792023,0.2559523809523809,0.2749244712990935,0.294478527607362,0.2865853658536585,0.1405405405405404,0.0848329048843186,0.0168674698795179,0.2448377581120941,0.1498637602179835,0.3146417445482865,0.1467391304347824,0.0629722921914357,0.1047120418848166,0.0368550368550366,0.2126436781609195,0.2057142857142857,0.322884012539185,0.3439490445859872,0.5924528301886791,0.6679841897233203,0.3525641025641024,0.2826747720364742,0.440273037542662,0.3790849673202614,0.6293436293436294,0.5984848484848484,0.6484374999999998,0.7957446808510638,0.736625514403292,0.6679841897233203
BDCK_44-L^L08,0.1291783193501132,-0.1291783193501132,16.0,-0.0275807722616233,0.0854898336414048,-0.0122450652433423,1.1555869872701556,0.1104199066874028,-0.0909638554216867,-0.135836995605269,1.698656987800696e-07,-0.0795902285263987,0.021485287248949,0.0002518403100546,0.3205252024546793,0.0935201243496385,0.0954486294775491,-0.1416458195160357,-17.321428571428573,1.1478076379066475,-0.0521353300055461,0.0,0.0,0.0,0.0,0.0,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1714285714285714,-0.1714285714285714,-0.1714285714285714,-0.1714285714285714,-0.1714285714285714
