firms,absacc,acc,age,agr,chpmia,currat,egr,herf,invest,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.028601458738096,0.028601458738096,4.0,-0.0482998694598122,-2.291679389041026,0.9838182131175762,-0.0264927654371306,8.21424174070523e-06,0.0237458817678872,0.9726539783027464,0.9885548957758304,0.1687570330042822,-0.0539200804094252,0.5336225607909503,0.0708795376557703,4.776595744680851,0.4663453262179377,0.0623081090843417,-0.1620689655172412,-0.1569767441860465,-0.2266666666666666,-0.2011019283746556,0.0431654676258992,-0.0734824281150159,-0.0102389078498293,0.0,-0.0235690235690236,-0.192200557103064,-0.1470588235294118,-0.1369047619047618,0.102661596958175,0.039426523297491,-0.4188376753507015,-0.5503875968992249,-0.5552147239263803,-0.5552147239263803,-0.4188376753507015,-0.43359375,-0.5101351351351351,-0.3681917211328975,-0.4032921810699589,-0.5684523809523809,-0.5886524822695036,-0.6272493573264781,-0.768185451638689,-0.7073662966700303,-0.7284644194756554,-0.7538200339558574,-0.7729052466718872,-0.788475565280817,-0.7776073619631901,-0.7776073619631901,-0.8145780051150895,-0.8367117117117118,-0.8323699421965318,-0.8097112860892388,-0.7924123120973515,-0.7944720056697377,-0.7944720056697377,-0.7862932940309506,-0.7842261904761905,-0.7419928825622776,-0.7451669595782073,-0.7904624277456648,-0.7705696202531646,-0.7798025816249051,-0.8071808510638298
BALZ_07-L^I10,0.0537624942980385,-0.0537624942980385,4.0,-0.1968686868686869,2.754968967284824,2.131091300646066,-0.124014644282463,3.1972063983555574e-08,-0.0338816738816738,0.065960892019828,2.152220584767216,-0.0080445412319163,-0.0675567182806562,-0.3205582539450917,-0.0862935925358285,-2.319751381215469,1.5559673461211,-0.4893784786641929,-0.0909090909090908,0.0,-0.0833333333333332,0.375,0.2222222222222223,0.0999999999999998,0.2222222222222223,0.5714285714285714,0.0,-0.2142857142857143,-0.2142857142857143,-0.1538461538461538,-0.1538461538461538,-0.2142857142857143,-0.2142857142857143,-0.2666666666666666,-0.3125,-0.3529411764705883,-0.3125,-0.3529411764705883,-0.4761904761904761,-0.5416666666666666,-0.56,-0.6206896551724137,-0.6333333333333333,-0.6666666666666667,-0.6944444444444444,-0.6764705882352942,-0.7105263157894737,-0.6944444444444444,-0.7027027027027026,-0.6764705882352942,-0.6857142857142857,-0.6666666666666667,-0.7027027027027026,-0.6857142857142857,-0.7105263157894737,-0.7250000000000001,-0.7250000000000001,-0.7659574468085106,-0.8035714285714286,-0.8135593220338984,-0.828125,-0.8070175438596491,-0.8103448275862069,-0.8166666666666667,-0.7924528301886793,-0.7962962962962963,-0.819672131147541
BBEK_99-L^L95,0.0818751003371326,0.0818751003371326,3.0,0.1508977900552485,6.258039414752675,1.1534737351730815,0.0752351097178683,3.9605891829126185e-06,0.0776933701657458,3.3075161332673955,0.4913618794320669,-0.0477785481850653,-0.0264468769016489,-0.1300932967782724,-0.0482182584959831,0.7112970711297063,0.8585088356330185,0.0526632302405497,-0.0494505494505495,-0.1495327102803738,-0.4986225895316803,-0.5333333333333333,-0.4417177914110428,-0.5368956743002544,-0.5297157622739018,-0.4417177914110428,-0.5235602094240837,-0.6026200873362446,-0.6094420600858369,-0.6352705410821644,-0.6330645161290323,-0.6285714285714286,-0.6300813008130082,-0.6208333333333333,-0.6094420600858369,-0.5777262180974477,-0.5172413793103448,-0.5067750677506775,-0.524804177545692,-0.4739884393063583,-0.4873239436619717,-0.4599406528189911,-0.5197889182058048,-0.5081081081081081,-0.5146666666666666,-0.4434250764525993,-0.4567164179104477,-0.43125,-0.4484848484848485,-0.4678362573099415,-0.4709302325581395,-0.4347826086956522,-0.4166666666666666,-0.4916201117318436,-0.4615384615384614,-0.3892617449664429,-0.3809523809523809,-0.3953488372093022,-0.3767123287671232,-0.35,-0.3106060606060606,-0.198237885462555,-0.2017543859649121,-0.2749003984063743,-0.2510288065843622,-0.1911111111111111,-0.2571428571428571
BBIO_50-L^J00,0.0180239324400942,0.0180239324400942,3.0,-0.0069584869751397,4.546392465211656,1.3763379204892965,-0.0258785472724599,9.779504816840129e-06,-0.0113001070536457,2.463194299596275,3.0849589291892285,0.046633943134332,0.1434944809870935,-0.0797753595434988,-0.0562689932359572,0.8228882833787451,0.8205275229357798,-0.0562689932359572,-0.1353383458646617,0.1176470588235294,-0.0827586206896551,0.0,0.1666666666666667,0.1769911504424781,0.2314814814814814,0.33,0.3711340206185567,0.1875,0.0555555555555555,0.0230769230769229,0.1465517241379312,0.1465517241379312,0.1271186440677967,0.0725806451612904,0.0472440944881891,0.08130081300813,0.2547169811320755,0.1981981981981981,0.1981981981981981,0.3434343434343434,0.2547169811320755,0.1465517241379312,0.0472440944881891,-0.0362318840579708,0.0152671755725191,0.0230769230769229,0.0075757575757575,0.0310077519379845,-0.0827586206896551,-0.1073825503355704,-0.0148148148148148,0.0230769230769229,-0.0890410958904108,-0.1363636363636363,-0.0952380952380951,0.0,0.0075757575757575,0.0230769230769229,0.08130081300813,0.1083333333333333,0.1176470588235294,0.33,0.2788461538461539,0.1875,0.2912621359223302,0.2912621359223302,0.1769911504424781
BBNH_32-L^L97,0.0266307277628032,-0.0266307277628032,6.0,0.0191575051703494,-0.6228636577105731,1.4883720930232558,0.0988269794721407,0.0001651799238005,-0.0018504408403178,22.01786510845967,2.6214015925766123,0.097602585974679,0.1377474744896183,-0.1984157922846474,-0.0954503886602652,-0.3958333333333333,0.9044397463002114,-0.0954503886602652,-0.0805687203791468,-0.0725274725274724,-0.1757812500000001,-0.1298969072164948,-0.0474040632054175,-0.0786026200873363,-0.0982905982905982,-0.0430839002267574,0.0267639902676397,-0.0093896713615023,0.0144230769230768,0.0047619047619047,0.0737913486005088,0.1405405405405404,0.0989583333333332,0.0394088669950738,0.0523690773067331,0.1530054644808742,0.2749244712990935,0.2485207100591715,0.4019933554817276,0.5289855072463769,0.5629629629629627,0.5125448028673834,0.2826747720364742,0.294478527607362,0.3270440251572326,0.5457875457875456,0.4452054794520548,0.5071428571428571,0.388157894736842,0.3439490445859872,0.4807017543859648,0.635658914728682,0.4602076124567473,0.3354430379746833,0.4161073825503354,0.5289855072463769,0.5746268656716416,0.4703832752613239,0.5401459854014596,0.635658914728682,0.6484374999999998,0.9627906976744184,0.8839285714285712,0.8755555555555554,0.736625514403292,0.7295081967213115,0.7085020242914977
BBOU_00-L,0.0362195812110922,-0.0362195812110922,3.0,0.1466970387243735,0.9355595850147994,1.562439024390244,0.0202762268586541,2.2832857527584407e-05,0.1138952164009111,28.90630461644149,-12.10903233788568,0.0064791261409546,0.008009228740936,-0.1320960067478173,0.1707122960604854,-0.4025157232704403,0.7521951219512195,0.1707122960604854,-0.0412698412698412,-0.0015847860538826,-0.0974212034383954,-0.1038406827880512,-0.0140845070422535,-0.0775988286969253,-0.0483383685800604,0.0714285714285714,0.0994764397905758,0.0396039603960396,0.0535117056856186,0.0588235294117647,0.1072056239015817,0.1229946524064169,0.1229946524064169,0.1999999999999999,0.2162162162162162,0.351931330472103,0.4383561643835616,0.4318181818181816,0.4719626168224298,0.5403422982885087,0.6071428571428572,0.529126213592233,0.3490364025695931,0.3725490196078431,0.4031180400890868,0.627906976744186,0.6237113402061856,0.6666666666666667,0.6363636363636362,0.5869017632241813,0.675531914893617,0.826086956521739,0.9207317073170732,0.8313953488372092,1.0127795527156551,1.1575342465753424,1.2340425531914896,1.3420074349442377,1.490118577075099,1.7391304347826089,1.7999999999999998,2.2642487046632125,2.3157894736842106,2.197969543147208,2.387096774193548,2.5795454545454546,2.333333333333333
BBQS_26-L^G99,0.0273847558192606,0.0273847558192606,3.0,0.0644492603410912,1.006919368539276,1.9102374882597613,0.5096315691041705,5.7202208628604287e-05,-0.0281729953830208,1.892491434174229,2.326836195786264,0.4550423174351988,0.7559829327762504,0.1889453053993007,-0.016628473466662,0.4858299595141711,1.1642291694619618,0.1047162649459101,-0.2125984251968504,-0.2012578616352202,-0.2905027932960894,-0.3520408163265306,-0.2208588957055214,-0.1753246753246753,-0.2349397590361445,-0.2395209580838323,-0.2395209580838323,-0.3553299492385786,-0.4147465437788018,-0.4584221748400853,-0.45610278372591,-0.3864734299516907,-0.4652631578947368,-0.483739837398374,-0.483739837398374,-0.4214123006833712,-0.2326283987915407,-0.4730290456431535,-0.4795081967213115,-0.4940239043824701,-0.4752066115702479,-0.5019607843137255,-0.5406871609403254,-0.5423423423423424,-0.5115384615384615,-0.4514038876889849,-0.4266365688487584,-0.5048732943469785,-0.5207547169811321,-0.5520282186948853,-0.5171102661596958,-0.5339449541284405,-0.5672913117546848,-0.5836065573770491,-0.5423423423423424,-0.5243445692883895,-0.5243445692883895,-0.5207547169811321,-0.5243445692883895,-0.5322283609576427,-0.5313653136531364,-0.4607218683651805,-0.496031746031746,-0.5161904761904762,-0.5096525096525096,-0.5019607843137255,-0.5373406193078325
BBTU_63-L^C18,0.0208163391741613,0.0208163391741613,3.0,0.0639998295042837,3.367470859451448,1.7808687164470474,0.1444101247543022,3.780657368462571e-05,0.0032181066450705,4.288947526988336,2.297428733297461,0.2509604387640133,0.343948334361398,-0.1990026179961254,-0.0375642581141858,0.6562500000000003,1.4649422482511794,-0.0038942244441521,-0.1920374707259952,-0.1408450704225352,-0.2469135802469136,-0.2976973684210526,-0.1643835616438357,-0.2375,-0.1577909270216964,-0.2375,-0.249560632688928,-0.2918739635157547,-0.3168000000000001,-0.3655274888558694,-0.3189792663476875,-0.2278481012658229,-0.303425774877651,-0.3480916030534351,-0.3617339312406578,-0.3112903225806452,-0.1943396226415095,-0.2469135802469136,-0.2988505747126437,-0.303425774877651,-0.2347670250896057,-0.3430769230769231,-0.4229729729729731,-0.4454545454545455,-0.4190476190476191,-0.2953795379537954,-0.3766423357664233,-0.3674074074074075,-0.4190476190476191,-0.4567430025445294,-0.3985915492957746,-0.3430769230769231,-0.4388961892247044,-0.4440104166666667,-0.4366754617414249,-0.3636363636363636,-0.3607784431137725,-0.3400309119010819,-0.3222222222222223,-0.3056910569105692,-0.2560975609756099,-0.1460000000000001,-0.1285714285714286,-0.188212927756654,-0.1724806201550388,-0.1303462321792261,-0.1527777777777779
BBVN_02-L^I99,0.0158986461309154,-0.0158986461309154,4.0,-0.0396883369856343,6.566573790416975,1.3856635071090049,-0.1551601423487544,4.180798967654338e-07,0.0725590455320185,0.902949217329962,-6.68798113671424,-0.2226511198823732,-0.2887801560137094,0.135222999241884,-0.0719730609158999,-0.6037735849056605,0.98281990521327,0.0782773564463706,0.0301204819277107,-0.1616161616161616,-0.3540856031128404,-0.391941391941392,-0.3279352226720649,-0.3386454183266931,-0.3688212927756654,-0.3639846743295019,-0.3464566929133859,-0.3615384615384616,-0.3083333333333333,-0.3360000000000001,-0.3252032520325203,-0.2350230414746543,-0.2654867256637168,-0.2385321100917432,-0.2095238095238095,-0.1902439024390243,-0.1075268817204302,-0.2556053811659193,-0.1902439024390243,-0.1263157894736841,-0.0879120879120879,-0.0879120879120879,-0.1862745098039215,-0.1902439024390243,-0.0978260869565218,-0.1398963730569948,-0.1616161616161616,-0.1170212765957446,-0.1075268817204302,-0.1616161616161616,-0.1741293532338308,-0.0978260869565218,-0.2350230414746543,-0.2314814814814816,-0.2095238095238095,-0.1216931216931217,-0.1075268817204302,-0.1075268817204302,-0.1122994652406418,-0.1573604060913705,-0.1616161616161616,-0.0459770114942529,-0.0621468926553673,-0.1216931216931217,-0.1027027027027027,-0.17,-0.3140495867768595
BBXK_89-L^E06,0.0383024921016358,0.0383024921016358,4.0,0.1003023160483705,-0.118734004795218,1.2947467488021902,0.1000824402308327,8.854049792185532e-05,0.0518548882967822,22.660572552876985,-0.2247760693640348,-0.100418867464029,-0.0404932174810095,-0.0390485061898237,0.0312778421905653,0.3899652260308002,1.0053045859000684,0.0032208907667797,-0.0537634408602151,-0.0362694300518133,-0.0606060606060605,-0.0676691729323308,0.1005917159763314,-0.0158730158730158,0.0598290598290598,0.1272727272727274,0.1376146788990826,0.0941176470588236,0.1341463414634147,0.0751445086705202,0.1071428571428572,0.2961672473867596,0.2525252525252526,0.2317880794701987,0.3285714285714287,0.2916666666666667,0.3932584269662922,0.414448669201521,0.3984962406015038,0.3828996282527881,0.4307692307692308,0.3527272727272728,0.2916666666666667,0.3333333333333335,0.4037735849056605,0.6909090909090909,0.6034482758620692,0.5308641975308641,0.5564853556485356,0.5696202531645569,0.5630252100840338,0.6681614349775786,0.5965665236051503,0.4252873563218391,0.4939759036144577,0.6244541484716157,0.7630331753554505,0.8415841584158417,0.9578947368421054,0.9274611398963732,0.7884615384615385,1.0439560439560438,1.1882352941176473,0.8235294117647058,0.9274611398963732,1.0898876404494384,0.8235294117647058
