firms,age,agr,chpmia,currat,egr,herf,invest,mve_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,quick,roic,salerec,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FTDC_07-L^B06,2.0,-0.0097316835812595,-47.35221853802643,1.1268562798892523,-0.04364694471387,6.279730048909908e-06,0.0115389962463505,0.5662996594136301,-0.0089124737119403,0.0243128740572695,0.2874217362863284,0.2421795192822891,0.8547696954442487,0.0602913825170489,5.787072243346008,0.1662835249042145,0.9335650305918614,0.0294117647058824,-0.0364372469635628,-0.0881226053639846,-0.0703125000000001,-0.15,-0.2371794871794872,-0.2585669781931464,-0.2222222222222223,-0.2013422818791946,-0.2444444444444444,-0.2562500000000001,-0.2916666666666666,-0.314121037463977,-0.2444444444444444,-0.2468354430379747,-0.3636363636363636,-0.4005037783375316,-0.3881748071979435,-0.3736842105263158,-0.4278846153846154,-0.407960199004975,-0.442622950819672,-0.4166666666666667,-0.4064837905236907,-0.2787878787878788,-0.2809667673716012,-0.3550135501355014,-0.3351955307262571,-0.3081395348837209,-0.3425414364640884,-0.3351955307262571,-0.3443526170798898,-0.383419689119171,-0.398989898989899,-0.3720316622691293,-0.3550135501355014,-0.2809667673716012,-0.2937685459940653,-0.2654320987654321,-0.5102880658436215,-0.4734513274336283,-0.5051975051975052,-0.4803493449781659,-0.4603174603174603,-0.4180929095354523,-0.4123456790123456,-0.4152334152334153,-0.3333333333333333,-0.3160919540229885
FTDO_30-L,2.0,-0.0780547112462006,215.50445007931063,1.173732335827099,-0.2096115712119444,5.401756078750121e-06,0.0032218844984802,2.015365689746732,-0.1483231013242236,-0.1169957353537156,0.096161100561734,-0.0378357706681641,0.5960099750623441,0.0013203256803344,5.951096121416526,0.0981795550023337,0.7129849737970585,0.1401273885350318,-0.0710059171597632,-0.01875,0.0536912751677853,-0.0654761904761903,-0.2523809523809524,-0.2663551401869158,-0.230392156862745,-0.1822916666666666,-0.1373626373626373,-0.190721649484536,-0.2697674418604651,-0.329059829059829,-0.1693121693121692,-0.2110552763819094,-0.2764976958525345,-0.2488038277511961,-0.2831050228310502,-0.3203463203463204,-0.3261802575107296,-0.3114035087719298,-0.3232758620689654,-0.2594339622641509,-0.2663551401869158,-0.2731481481481481,-0.2831050228310502,-0.2991071428571429,-0.2697674418604651,-0.2451923076923077,-0.2451923076923077,0.0,0.0,0.0194805194805194,0.0608108108108109,0.1056338028169014,0.1134751773049647,0.2170542635658914,0.4403669724770642,0.2362204724409449,-0.0977011494252872,0.0466666666666666,-0.1513513513513513,-0.0818713450292397,-0.0125786163522012,0.145985401459854,0.1629629629629629,0.2076923076923076,0.2362204724409449,0.4017857142857142
FTFK_07-L,2.0,0.0118194348725017,206.78947925201885,1.510735459061048,0.0494301327088211,2.8859305826107814e-08,0.0861819434872502,0.0869350961784099,0.0248151790515406,-0.0498837215458842,-0.1152759318982647,0.0936925736267505,0.8821502964268546,0.1712197130894364,5.0352837831242985,0.0057413562857616,0.7073556093840001,-0.0361990950226244,0.042452830188679,-0.0221238938053096,-0.0595744680851064,-0.1845018450184502,-0.2533783783783784,-0.2457337883959045,-0.2078853046594982,-0.1845018450184502,-0.1814814814814815,-0.1845018450184502,-0.2078853046594982,-0.0714285714285714,-0.1299212598425196,-0.1814814814814815,-0.3422619047619047,-0.41688654353562,-0.4333333333333333,-0.4419191919191919,-0.4304123711340206,-0.4529702970297029,-0.4712918660287081,-0.4712918660287081,-0.425974025974026,-0.3556851311953353,-0.3895027624309393,-0.3703703703703703,-0.3179012345679013,-0.3323262839879154,-0.3179012345679013,-0.2984126984126983,-0.3050314465408805,-0.3282674772036474,-0.3179012345679013,-0.3383233532934131,-0.309375,-0.3461538461538461,-0.309375,-0.3895027624309393,-0.4954337899543378,-0.4543209876543209,-0.46875,-0.3911845730027548,-0.2682119205298013,-0.2326388888888888,-0.2379310344827586,-0.1467181467181466,-0.0307017543859648,0.0231481481481481
FTFN_52-L^L99,2.0,0.048607318405243,-40.69876041569809,1.3281667557455907,-0.3076315789473683,1.6412793318310405e-06,0.1064991807755324,1.2722767588907915,-0.3375226278778039,-0.3945238034440523,-0.1209520822716165,-0.0018217343109555,0.8909673971138429,0.0777854432562952,5.721323529411765,0.1184418571223228,0.5801480795457772,0.0144927536231884,0.0952380952380951,0.1039999999999998,0.0147058823529411,-0.1347962382445141,-0.1810089020771514,-0.1636363636363637,-0.1507692307692308,-0.08,-0.1096774193548387,-0.0482758620689656,-0.1009771986970684,-0.0860927152317881,-0.034965034965035,-0.1375,-0.2,-0.2091690544412608,-0.1929824561403509,-0.1067961165048544,-0.0482758620689656,0.0739299610894941,0.0375939849624058,0.0375939849624058,0.0739299610894941,0.205240174672489,0.2158590308370043,0.0823529411764705,0.1311475409836064,0.205240174672489,0.1358024691358024,0.1694915254237288,0.1694915254237288,0.1499999999999999,0.2545454545454544,0.1694915254237288,0.1694915254237288,0.2376681614349776,0.4603174603174602,0.205240174672489,-0.142857142857143,-0.1096774193548387,-0.1153846153846155,-0.0580204778156997,-0.0707070707070708,-0.0416666666666667,0.0260223048327137,-0.0142857142857143,0.0739299610894941,0.1845493562231759
FTFY_S0-L^J09,2.0,0.0221531842341647,234.06106377122583,1.2026039949239085,0.0166554479711421,2.978786876857008e-07,0.2139052425007009,0.3315436398430038,-0.0589762925427548,-0.103015073053588,-0.053839366654515,0.1013637857323985,0.8746565144838473,0.1508473328917701,4.913218118219008,0.0829021129797326,0.7071481793446698,-0.0510638297872341,0.0085836909871244,0.1519607843137256,0.2433862433862434,0.1463414634146342,-0.0084388185654008,-0.0524193548387096,-0.0599999999999999,0.1137440758293839,0.1407766990291261,0.119047619047619,0.0633484162895927,0.0981308411214954,0.1244019138755982,0.175,-0.0856031128404668,-0.0926640926640925,-0.0996168582375478,-0.0208333333333332,-0.0329218106995885,-0.1098484848484848,-0.1328413284132841,-0.1391941391941391,-0.1098484848484848,0.0398230088495576,-0.004237288135593,-0.0674603174603174,-0.0674603174603174,-0.0167364016736402,-0.1423357664233576,-0.1360294117647059,-0.0996168582375478,-0.1296296296296296,-0.1098484848484848,-0.0856031128404668,-0.0084388185654008,0.0173160173160173,0.2051282051282053,-0.0368852459016393,-0.2394822006472491,-0.2492012779552714,-0.2701863354037267,-0.2964071856287424,-0.1607142857142856,-0.08203125,-0.1030534351145038,-0.0368852459016393,0.1633663366336633,0.1989795918367347
FTGF_31-L^H99,2.0,0.3014901469897925,-74.40952894077932,1.6605805499371344,0.2674723503991796,5.7220707778662184e-08,0.0660303551869817,0.5842242971406443,0.157382139276849,0.2865845325818492,-0.0437795858142123,-0.3470543836450445,1.2030467027460412,0.2729558949031286,4.505799528594467,0.2005338092995199,0.8396735411972609,0.0163934426229508,0.0166666666666666,0.1090909090909089,0.2199999999999999,0.2708333333333332,0.0892857142857141,0.0517241379310344,0.0517241379310344,0.2448979591836735,0.1296296296296295,0.0517241379310344,0.1090909090909089,0.196078431372549,0.2708333333333332,0.2708333333333332,0.2199999999999999,0.2199999999999999,0.2199999999999999,0.196078431372549,0.0701754385964912,0.0166666666666666,-0.0161290322580645,0.2448979591836735,0.2448979591836735,0.4878048780487805,0.4878048780487805,0.326086956521739,0.4186046511627908,0.4186046511627908,0.2199999999999999,0.2199999999999999,0.3555555555555554,0.3555555555555554,0.4186046511627908,0.4878048780487805,0.3555555555555554,0.5249999999999999,0.90625,0.4523809523809523,-0.0161290322580645,0.0,0.0338983050847458,-0.1029411764705883,0.196078431372549,0.326086956521739,0.3863636363636362,0.5641025641025641,1.103448275862069,1.259259259259259
FTGH_45-L^B03,2.0,0.1332451529813081,-79.66781243649612,2.0498903348442754,0.193806608869069,3.847668953237895e-08,0.0188195435506515,0.1508625910161996,0.2122439542558401,0.4023634302471061,0.1228084915573081,-0.4746546279146456,1.546541892089487,0.0959775314276455,3.579592572561745,0.1187004084698811,0.491005097103767,-0.1063829787234041,0.0444444444444442,0.0,0.0,-0.0408163265306122,-0.1607142857142858,-0.175438596491228,-0.1607142857142858,-0.0408163265306122,-0.0961538461538462,-0.1132075471698114,-0.1132075471698114,-0.0961538461538462,0.0217391304347824,0.0681818181818181,-0.0208333333333333,-0.1454545454545456,-0.189655172413793,-0.2033898305084746,-0.1296296296296297,-0.1132075471698114,-0.1296296296296297,-0.0961538461538462,-0.0408163265306122,0.205128205128205,0.1749999999999998,0.0930232558139534,0.146341463414634,0.2368421052631577,0.1749999999999998,0.2368421052631577,0.2702702702702702,0.3055555555555556,0.3055555555555556,0.119047619047619,0.205128205128205,0.2368421052631577,0.5161290322580645,0.3428571428571429,0.0444444444444442,0.0681818181818181,0.119047619047619,0.0217391304347824,0.1749999999999998,0.146341463414634,0.146341463414634,0.119047619047619,0.4242424242424241,0.4687499999999998
FTGM_05-L^B22,2.0,0.1582195067142014,-19.557843976003284,1.399070612240084,0.0474538280854198,1.7777601535541737e-07,0.1467892694244189,0.4646745100557934,-0.0676440793653733,-0.0133193804624081,0.0953107432511492,-0.2134274424386046,0.7732671282154103,0.1342213002893171,5.512970657251728,0.1605372996342774,0.7264042528630874,0.0970548862115128,0.0142566191446027,-0.0180742688136706,0.1195204196328212,0.0641025641025641,-0.0441458733205375,-0.0135358204027732,0.0142566191446027,0.2067851373182552,0.0190995907230557,-0.0606727444199937,-0.2145110410094637,-0.1939573779336391,-0.1969900564364418,-0.1,-0.222886866059818,-0.2312837664008232,-0.225706141487432,-0.1460417262074879,-0.1183239893773975,-0.0180742688136706,-0.0135358204027732,-0.056520366277234,-0.0355067785668173,0.0830010873504891,-0.020327868852459,-0.1183239893773975,0.0190995907230557,-0.0769230769230768,-0.1252927400468383,-0.1183239893773975,-0.0769230769230768,-0.0089552238805969,0.0190995907230557,-0.0606727444199937,-0.0806153846153846,0.0094594594594594,0.1430757459831675,-0.0441458733205375,-0.3352614015572859,-0.2498116997238262,-0.3119963159106609,-0.2338461538461539,-0.2338461538461539,-0.1460417262074879,-0.1786695986805938,-0.0845588235294118,-0.0089552238805969,0.1554524361948956
FTGU_Q3-L,27.0,0.1663442176333558,39.538248134665736,1.2714940070542795,0.1456500488758552,1.3569140850910758e-07,0.0169516063226332,0.1577920772456044,-0.0214584217569223,0.0343941127628818,0.2344878175263537,0.0975934516095341,0.9666437907975168,0.1217208351111568,5.788264514126048,0.2355884464571713,0.8840606131600474,0.0402985074626864,-0.0261627906976743,0.0136157337367623,0.1900532859680284,0.1019736842105263,-0.0132547864506626,-0.0859481582537516,0.0858995137763372,0.25,0.0276073619631902,-0.0132547864506626,-0.074585635359116,0.0,0.0858995137763372,0.0858995137763372,-0.1184210526315788,-0.1666666666666665,-0.2108362779740871,-0.2108362779740871,-0.2351598173515982,-0.2023809523809524,-0.2580287929125138,-0.1078561917443408,0.0136157337367623,0.1019736842105263,0.1019736842105263,0.0702875399361022,0.0702875399361022,0.1185308848080133,0.0858995137763372,0.04199066874028,0.153184165232358,0.2293577981651375,0.25,0.1185308848080133,0.153184165232358,0.1355932203389829,0.1355932203389829,-0.0074074074074074,-0.1377091377091376,-0.074585635359116,-0.1230366492146596,-0.1018766756032171,0.181657848324515,0.2293577981651375,0.153184165232358,0.2093862815884477,0.3871635610766046,0.666666666666667
FTHC_39-L^K08,2.0,-0.2582238218799698,-62.62210784784102,1.3028488477590274,0.0297219558964525,1.1437011254568041e-09,-0.1979576462710303,0.0200617817366501,0.2406371032163975,0.2768353210057945,-0.1334140546102069,-0.4354729051427078,1.2208310651424423,-0.0528785188942429,4.153690596562184,-0.5524371908569935,1.5730938310760498,0.0999999999999998,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.3333333333333332,-0.5,-0.5652173913043479,-0.5454545454545454,-0.5454545454545454,-0.5,-0.5,-0.5454545454545454,-0.5833333333333333,-0.6153846153846154,-0.6153846153846154,-0.6666666666666666,-0.7142857142857142,-0.736842105263158,-0.7435897435897436,-0.7560975609756098,-0.7619047619047619,-0.7297297297297297,-0.6153846153846154,-0.6551724137931034,-0.6153846153846154,-0.6666666666666666,-0.696969696969697,-0.6551724137931034,-0.6875,-0.7297297297297297,-0.7297297297297297,-0.7297297297297297,-0.8837209302325582,-0.8837209302325582,-0.8901098901098901,-0.8850574712643678,-0.8837209302325582,-0.855072463768116,-0.9145299145299144,-0.9428571428571428,-0.9393939393939392,-0.943181818181818,-0.9324324324324323,-0.9315068493150684,-0.9236641221374046,-0.9264705882352942,-0.9295774647887324,-0.9236641221374046,-0.903846153846154
