firms,absacc,acc,age,agr,chpmia,currat,depr,egr,grltnoa,herf,invest,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FWIY_55-L^I99,0.811428921168598,-0.811428921168598,9.0,-0.2683529993640924,-7.532352930104621,0.6374489200233509,0.1456513967621674,-0.7207899894467058,-0.2343724498123059,2.9240197965956597e-08,-0.0338090864127747,-0.0479855654063379,-0.044040360703028,-0.2031682288970616,-0.1897317229681601,-1.416467822928167,0.5039404553415062,-0.4627991774240931,0.0857142857142858,-0.0789473684210526,0.1666666666666667,0.2068965517241379,0.09375,0.09375,0.2499999999999997,0.7499999999999998,0.6666666666666665,0.4583333333333332,0.3999999999999999,0.129032258064516,0.0606060606060605,0.129032258064516,0.4583333333333332,-0.0277777777777777,-0.054054054054054,0.0606060606060605,-0.1463414634146341,-0.2391304347826087,-0.4615384615384615,-0.4776119402985075,-0.435483870967742,-0.4444444444444445,-0.5394736842105263,-0.5,-0.5138888888888888,-0.4852941176470589,-0.5333333333333334,-0.5512820512820513,-0.5783132530120483,-0.5679012345679013,-0.6153846153846154,-0.6391752577319587,-0.6236559139784947,-0.5070422535211268,-0.5512820512820513,-0.5679012345679013,-0.6601941747572816,-0.7008547008547008,-0.7083333333333333,-0.6276595744680851,-0.6634615384615385,-0.6929824561403508,-0.7008547008547008,-0.6875,-0.6846846846846848,-0.675925925925926,-0.7976878612716763
FWJG_10-L^I06,0.2597846073023377,-0.2597846073023377,9.0,0.5123974733666448,186.5189441155134,1.1785739878179864,0.4579815809669992,1.2661249999999995,-0.1630830425156665,1.5480069697364828e-11,0.1309041199208069,0.8555554241661943,0.8819594404982452,0.7459960305649884,-0.0046103220309991,-13.46887159533074,1.1615908276603368,-0.1315233492799727,-0.2,-0.1666666666666666,-0.1666666666666666,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.375,-0.375,-0.375,-0.375,-0.4117647058823529,-0.4117647058823529,-0.4117647058823529,-0.5833333333333333,-0.0909090909090908,0.0,0.0,0.25,0.25,0.1111111111111111,0.0,0.0,0.0,0.0,-0.2307692307692307,-0.2307692307692307,-0.2307692307692307,-0.2857142857142857,-0.2857142857142857,-0.5,-0.5652173913043479,-0.6,-0.6428571428571428,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.696969696969697,-0.7560975609756098,-0.7619047619047619,-0.803921568627451,-0.8148148148148149,-0.8148148148148149,-0.8148148148148149,-0.8181818181818181,-0.8245614035087719,-0.8181818181818181,-0.7560975609756098,-0.7727272727272727,-0.7872340425531914
FWJN_76-L^G01,0.0882142380449686,-0.0882142380449686,12.0,-0.2032441153172533,19.13841333574789,0.7190497650164167,0.0441534029381116,0.0764383880736082,-0.257750597599891,6.9026759772655645e-09,-0.1862895431058916,0.5801134940440157,0.569509753302396,0.1268578258589359,0.149969518764354,-1.072165962048963,0.6046481684156313,0.0848093083387202,0.008,-0.0335051546391752,-0.0183246073298428,-0.0284974093264248,-0.002659574468085,0.053370786516854,0.1227544910179641,0.1432926829268292,0.2417218543046357,0.1942675159235667,0.1980830670926519,0.2135922330097088,0.2842465753424659,0.2886597938144328,0.3537906137184115,0.3440860215053762,0.506024096385542,0.5,0.4880952380952381,0.4367816091954024,0.4423076923076923,0.4423076923076923,0.524390243902439,0.5495867768595042,0.524390243902439,0.5822784810126582,0.7942583732057418,0.7942583732057418,0.6741071428571428,0.5625,0.5368852459016393,0.5306122448979591,0.506024096385542,0.46484375,0.6163793103448276,0.6163793103448276,0.404494382022472,0.3686131386861313,0.3537906137184115,0.2931034482758621,0.3992537313432835,0.5495867768595042,0.5822784810126582,0.5625,0.7201834862385319,0.9230769230769232,0.9430051813471504,0.9841269841269842,0.99468085106383
FWJQ_58-L^I05,0.0492577684431459,-0.0492577684431459,8.0,0.2402375255940536,-14.800211574204916,0.8334262165253864,0.0333954202488981,0.393473908512955,0.1701849768511542,2.711063704747068e-08,0.0921897010486773,0.1848175262836331,0.1848175262836331,1.0844195836624084,-0.0380412084877527,-0.8472556040614114,0.8334262165253864,0.0844195836624084,-0.0198511166253101,-0.0265700483091786,-0.0170731707317072,0.0049875311720699,0.0176767676767677,0.038659793814433,0.038659793814433,0.1041095890410959,0.0833333333333332,-0.0122549019607842,0.0413436692506459,0.0633245382585752,-0.0692840646651269,-0.1024498886414253,-0.064965197215777,-0.0964125560538116,-0.0517647058823529,-0.0495283018867924,-0.056206088992974,-0.1200873362445414,-0.1388888888888887,-0.0778032036613272,-0.09438202247191,-0.0049382716049382,-0.0692840646651269,0.0176767676767677,0.0176767676767677,0.0718085106382979,0.1194444444444444,0.0125628140703517,-0.0122549019607842,0.0333333333333334,0.0125628140703517,-0.058411214953271,-0.1388888888888887,0.038659793814433,-0.0692840646651269,-0.0984340044742728,-0.1388888888888887,-0.1858585858585858,-0.1842105263157895,-0.0923423423423424,-0.058411214953271,0.0125628140703517,0.0359897172236505,0.1288515406162467,0.1320224719101124,0.2593749999999999,0.2793650793650795
FWJV_72-L^G06,0.0684809924406462,-0.0684809924406462,8.0,0.123110800149376,-4.90495984043692,1.1681274900398406,0.1197183098591549,-0.0470914127423822,-0.0063462988684217,2.645743172318707e-06,0.0344380582824324,-0.0516511943746916,-0.013251045930924,0.0133357065672383,0.0803479052832799,-1.399669421487603,0.8164674634794156,0.0540198542123367,-0.0337078651685393,0.0190839694656488,0.0269230769230768,0.0595238095238095,0.068,0.0853658536585366,0.0722891566265058,0.0595238095238095,0.0637450199203188,0.04296875,0.0269230769230768,0.0229885057471264,0.0308880308880308,0.068,0.1313559322033899,0.0987654320987654,0.0722891566265058,0.1078838174273857,0.0348837209302324,0.0722891566265058,-0.0037313432835821,-0.0255474452554745,-0.0326086956521738,0.0308880308880308,-0.0255474452554745,0.0075471698113207,-0.014760147601476,0.0766129032258065,0.0637450199203188,-0.0037313432835821,0.0809716599190282,-0.0111111111111111,0.0308880308880308,-0.1158940397350993,-0.0598591549295774,0.015209125475285,0.0190839694656488,-0.0255474452554745,-0.0598591549295774,-0.0918367346938775,-0.1158940397350993,-0.0290909090909091,0.0,0.0229885057471264,0.0190839694656488,0.117154811715481,0.2535211267605635,0.1866666666666665,0.2191780821917808
FWKZ_24-L^C13,0.0553108447170337,-0.0553108447170337,8.0,0.0749524832658458,2.820675650590726,1.6300184586986617,0.1297822117311718,0.1007910407963736,-0.0625751722489942,1.1298040648088449e-08,0.0152218824890504,0.0720032900508299,0.1525625742390085,0.0991710045935855,-0.147741549130219,-0.4523778501628665,1.1912398092601135,0.0662840746054519,-0.098901098901099,-0.0421052631578946,0.0,-0.0714285714285714,-0.0899999999999999,-0.0520833333333332,-0.0618556701030926,-0.0714285714285714,-0.1165048543689319,-0.0990099009900989,-0.0808080808080807,-0.125,-0.1165048543689319,-0.125,-0.0714285714285714,-0.021505376344086,0.0,-0.0319148936170211,0.011111111111111,0.0459770114942528,-0.0618556701030926,-0.0899999999999999,-0.0899999999999999,-0.021505376344086,0.0224719101123596,0.1518987341772151,0.1818181818181818,0.1234567901234566,0.1097560975609757,0.1666666666666667,0.1518987341772151,0.1374999999999999,0.1097560975609757,0.1097560975609757,0.1973684210526316,0.1818181818181818,0.1818181818181818,0.0963855421686747,0.058139534883721,0.0224719101123596,0.1097560975609757,0.1374999999999999,0.1818181818181818,0.1518987341772151,0.1234567901234566,0.0963855421686747,0.1374999999999999,0.2133333333333333,0.2816901408450705
FWND_50-L^G04,0.0511972517048659,-0.0511972517048659,2.0,-0.1192410617420863,-9.644139491888089,4.547209708559345,0.4419054996127033,-0.2578077941042255,-0.0616828180279953,4.598942037364493e-08,-0.076625119538401,1.697696299607343,1.4190988801770754,-0.1253521548854584,0.0902192704609468,-1.7656940760389035,2.338098740461524,-0.0864615846057231,-0.1,0.0,-0.2307692307692307,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.0909090909090908,-0.1666666666666666,-0.1666666666666666,-0.2307692307692307,0.0,0.0,-0.1666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.0,-0.0909090909090908,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.3333333333333332,-0.375,-0.375,-0.2857142857142857,-0.1666666666666666,-0.0909090909090908,-0.1666666666666666,-0.3333333333333332,-0.375,-0.2857142857142857,-0.2857142857142857,-0.4117647058823529,-0.4444444444444444,-0.4444444444444444,-0.6875,-0.75,-0.7560975609756098,-0.8076923076923077,-0.8461538461538461,-0.8484848484848485,-0.782608695652174,-0.7142857142857142,-0.8181818181818181,-0.8214285714285714,-0.8076923076923077,-0.782608695652174,-0.7058823529411764,-0.6551724137931034
FWNV_96-L^G02,0.0706997835720911,-0.0706997835720911,8.0,0.0742755344418053,0.30186091686542,1.337154348919055,0.1193912919614453,0.1390522727958254,0.0248338619976255,7.632575176783117e-08,0.107070467141726,-0.0011199854482128,-0.0639399977676469,0.0874515232375157,0.338110856826325,-0.6162906767817928,0.8538677009265245,0.2394854911871116,-0.1428571428571429,-0.109090909090909,-0.117117117117117,-0.2367601246105918,-0.2519083969465648,-0.2575757575757574,-0.2541856925418568,-0.2686567164179104,-0.2367601246105918,-0.3019943019943019,-0.289855072463768,-0.274074074074074,-0.2708333333333332,-0.2877906976744185,-0.2159999999999999,-0.1327433628318584,-0.1009174311926605,0.0,-0.01010101010101,-0.0485436893203883,-0.04296875,-0.0199999999999999,0.0652173913043479,0.1666666666666667,0.0652173913043479,0.1529411764705883,0.1951219512195123,0.240506329113924,0.2564102564102566,0.2098765432098766,0.1529411764705883,0.1951219512195123,0.2894736842105265,0.2727272727272727,0.3066666666666668,0.3802816901408452,0.2564102564102566,0.240506329113924,0.3802816901408452,0.3066666666666668,0.2727272727272727,0.5076923076923079,0.6333333333333335,0.53125,0.5806451612903227,0.6333333333333335,0.6065573770491806,0.6065573770491806,0.6610169491525424
FWOG_40-L^I03,0.0656334957150545,0.0656334957150545,9.0,-0.1843852571972639,118.97604199727782,1.666395310973624,0.1364012580698559,0.8608442189355499,-0.1117259842954332,6.948086389814414e-09,-0.1096940693042018,0.7804111444761715,0.8453714786617814,0.2128803653318491,-0.0712549576800712,2.565264293419633,0.86055030934549,-0.013578961072777,0.0,-0.0760869565217392,-0.0760869565217392,-0.15,-0.1666666666666667,-0.15,-0.2272727272727274,-0.2272727272727274,-0.1904761904761905,-0.3461538461538461,-0.5454545454545454,-0.6398305084745763,-0.6743295019157087,-0.816414686825054,-0.8156182212581345,-0.811529933481153,-0.8123620309050773,-0.8059360730593608,-0.8081264108352144,-0.8059360730593608,-0.8156182212581345,-0.816414686825054,-0.802784222737819,-0.7875,-0.7911547911547911,-0.7619047619047619,-0.7619047619047619,-0.7424242424242424,-0.7327044025157232,-0.66796875,-0.6743295019157087,-0.6840148698884758,-0.6863468634686347,-0.6897810218978102,-0.6863468634686347,-0.6897810218978102,-0.6897810218978102,-0.6875,-0.6897810218978102,-0.7027972027972028,-0.7118644067796611,-0.7007042253521127,-0.7166666666666667,-0.7470238095238095,-0.7557471264367817,-0.802784222737819,-0.8094170403587444,-0.8123620309050773,-0.8131868131868132
FWON_41-L^G09,0.1738617155429153,-0.1738617155429153,8.0,0.1214070237349879,0.6837636513058815,1.1256684491978608,0.1911778080945884,0.1333709404464501,-0.0147567814118215,6.9063325881894185e-09,0.0544709431384825,-0.0066561392556142,-0.0104123044973579,0.0537543448493461,0.1042255843452518,-1.0762331838565022,0.981071216365334,0.1534961137324966,-0.0588235294117646,0.0,-0.0221238938053096,0.0184331797235022,0.0523809523809524,0.1218274111675126,0.2277777777777776,0.2277777777777776,0.2415730337078652,0.1391752577319587,0.1510416666666667,0.1049999999999999,0.1881720430107525,0.2277777777777776,0.3899371069182389,0.4166666666666665,0.5454545454545454,0.5563380281690142,0.5785714285714287,0.5563380281690142,0.5136986301369864,0.6014492753623188,0.6492537313432833,0.6131386861313868,0.6131386861313868,0.8416666666666668,0.8114754098360655,1.0090909090909088,0.9732142857142856,0.8728813559322035,0.9385964912280702,1.084905660377358,1.0654205607476634,0.9217391304347826,1.3263157894736843,1.4831460674157304,1.402173913043478,1.3020833333333337,1.2551020408163267,0.768,0.7401574803149606,0.9217391304347826,0.9217391304347826,0.4350649350649349,0.4166666666666665,0.4350649350649349,0.5136986301369864,0.5136986301369864,0.5347222222222223
