firms,age,cashdebt,chcsho,chinv,depr,grltnoa,herf,mve_ia,secured,securedind,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FTHD_44-L,2.0,0.427,0.000291565529548,-0.0009039548022598,0.1009900990099009,-0.0022598870056496,4.869511657578515e-07,1.0718645305758243,1.0,1.0,1.0199863118699952,0.0353982300884956,0.1078431372549018,0.2417582417582415,0.1414141414141412,0.1299999999999999,0.0865384615384614,0.046296296296296,0.1770833333333332,0.21505376344086,0.1078431372549018,0.046296296296296,0.0660377358490564,0.0660377358490564,0.1299999999999999,0.0970873786407766,0.1078431372549018,0.046296296296296,0.1188118811881187,0.1894736842105262,0.2021276595744681,0.1299999999999999,0.1770833333333332,0.2417582417582415,0.046296296296296,0.0761904761904761,0.0865384615384614,0.0865384615384614,0.1530612244897957,0.1894736842105262,0.2282608695652173,0.1649484536082472,0.1894736842105262,0.2988505747126435,-0.0341880341880341,0.0089285714285711,-0.0423728813559322,-0.110236220472441,-0.0887096774193548,-0.0737704918032787,-0.0341880341880341,-0.0661157024793389,0.0272727272727271,0.1894736842105262,0.1770833333333332,0.2696629213483144,0.1188118811881187,0.1299999999999999,0.2021276595744681,0.1414141414141412
FTHF_97-L,1.0,0.634920634920635,0.0003164371463644,0.3149770184719451,0.1226294933484291,1.054779868759575,7.222557729415099e-09,0.0507784314534708,1.0,1.0,1.1874083984719537,-0.0324324324324324,-0.0512820512820512,0.0511363636363637,0.0571428571428571,-0.0414507772020724,-0.1552511415525114,-0.2259414225941423,-0.2857142857142856,-0.3369175627240143,-0.4012944983818769,-0.4126984126984127,-0.4182389937106918,-0.405144694533762,-0.4089456869009584,-0.3954248366013071,-0.4254658385093167,-0.4012944983818769,-0.410828025477707,-0.3248175182481752,-0.3462897526501767,-0.3686006825938567,-0.3097014925373135,-0.3297101449275361,-0.3554006968641114,-0.3554006968641114,-0.3198529411764705,-0.3097014925373135,-0.2938931297709923,-0.3297101449275361,-0.3297101449275361,-0.2127659574468084,-0.2418032786885245,-0.3791946308724832,-0.5667447306791569,-0.5916114790286976,-0.5636792452830188,-0.5363408521303259,-0.4637681159420289,-0.410828025477707,-0.4494047619047618,-0.3954248366013071,-0.2965779467680608,-0.2479674796747967,-0.2161016949152541,-0.2025862068965516,-0.1355140186915887,-0.1590909090909091,-0.1062801932367148,-0.1991341991341991
FTHP_V2-L^F09,2.0,0.3655703325816991,4.166267760994759e-05,0.0474787904772252,0.0716757083592267,0.1250047719590855,1.0306499380368257e-07,0.2305067884820701,1.0,1.0,0.8003931643985365,-0.0666666666666665,-0.0082644628099173,0.1009174311926603,0.0714285714285714,0.0909090909090908,-0.0082644628099173,-0.024390243902439,0.0909090909090908,0.1320754716981131,0.0084033613445377,-0.0909090909090909,-0.1111111111111111,-0.1044776119402985,-0.1044776119402985,-0.0977443609022556,-0.1111111111111111,-0.1044776119402985,-0.0551181102362204,0.0526315789473683,0.0256410256410257,-0.0163934426229508,0.0619469026548673,0.0169491525423728,-0.0322580645161291,0.0084033613445377,0.0,-0.0769230769230769,-0.0769230769230769,-0.024390243902439,-0.024390243902439,0.0084033613445377,-0.0625,-0.183673469387755,-0.2899408284023669,-0.2307692307692308,-0.2638036809815951,-0.1724137931034483,-0.0977443609022556,0.0,0.0526315789473683,0.0526315789473683,0.2371134020618557,0.2765957446808511,0.2244897959183673,0.2765957446808511,0.2903225806451612,0.1650485436893203,0.2903225806451612,0.2765957446808511
FTHX_01-L^E20,1.0,0.4323030270787892,0.0019629073006827,0.3581273234809731,0.1053712513360018,0.6661133268971173,3.075984684244892e-07,0.3395444480201113,1.0,1.0,0.8692656501468528,0.0486111111111111,-0.027027027027027,-0.0204081632653061,0.0510948905109487,0.0666666666666666,0.006993006993007,0.0992366412213738,0.1519999999999999,0.006993006993007,-0.0649350649350649,-0.1325301204819277,-0.1219512195121951,-0.0828025477707007,-0.1219512195121951,-0.2173913043478261,-0.1676300578034681,-0.2538860103626943,-0.2216216216216217,-0.0943396226415095,-0.0588235294117647,-0.1955307262569833,-0.1272727272727272,0.0,-0.1864406779661017,-0.2460732984293193,-0.2538860103626943,-0.2340425531914893,-0.1219512195121951,-0.1529411764705882,-0.04,0.0212765957446807,0.0285714285714286,0.0,-0.3872340425531915,-0.3684210526315788,-0.3793103448275862,-0.3009708737864078,-0.2421052631578947,-0.3175355450236966,-0.2577319587628865,-0.4122448979591837,-0.3302325581395349,-0.1864406779661017,-0.2131147540983606,-0.2131147540983606,-0.1627906976744186,-0.0769230769230769,-0.0943396226415095,-0.1955307262569833
FTIC_M8-L^B14,2.0,0.445388265247078,6.240776885564838e-05,0.0778044031750786,0.1695362875565921,-0.0203809095901353,8.737302023262246e-08,0.3269757565128015,1.0,1.0,0.9092992857920086,0.0435510887772194,0.1393129770992365,0.2463465553235908,0.1705882352941177,0.2183673469387754,0.238589211618257,0.2109533468559838,0.2756410256410257,0.4525547445255473,0.2258726899383982,0.177514792899408,0.2334710743801653,0.2950108459869847,0.2838709677419353,0.3006535947712418,0.2594936708860758,0.3537414965986394,0.3916083916083914,0.5546875,0.4887780548628428,0.3883720930232557,0.4316546762589928,0.3661327231121281,0.272921108742004,0.2756410256410257,0.2756410256410257,0.3207964601769912,0.3661327231121281,0.404705882352941,0.3661327231121281,0.4525547445255473,0.6222826086956521,0.5506493506493506,0.1349809885931558,0.2183673469387754,0.1569767441860463,0.3325892857142856,0.4490291262135921,0.6864406779661016,0.7927927927927927,0.9012738853503184,1.139784946236559,1.3503937007874014,1.3503937007874014,1.3139534883720927,1.529661016949153,1.8564593301435408,1.9554455445544556,1.884057971014493
FTIT_63-L,3.0,0.4401772525849336,-0.0176606866404323,0.0073568050446662,0.1388888888888889,0.0210194429847608,5.944427470379768e-08,0.2674018428174438,1.0,1.0,1.0014980807178202,0.0617283950617282,0.0384615384615385,0.1739130434782609,0.1911764705882352,0.2089552238805969,0.2089552238805969,0.1571428571428572,0.1739130434782609,0.265625,0.0945945945945947,0.0657894736842106,-0.0357142857142855,-0.0581395348837208,-0.0689655172413792,-0.1818181818181817,-0.1382978723404254,-0.1098901098901098,-0.0470588235294117,0.0945945945945947,0.0124999999999999,-0.0470588235294117,-0.0689655172413792,-0.0121951219512194,-0.1382978723404254,-0.1195652173913043,-0.0581395348837208,-0.0357142857142855,0.0124999999999999,-0.0470588235294117,0.0519480519480519,0.1250000000000002,0.2089552238805969,0.1571428571428572,-0.2211538461538461,-0.1818181818181817,-0.2894736842105262,-0.173469387755102,-0.3249999999999999,-0.2211538461538461,-0.2211538461538461,-0.1980198019801979,-0.1562499999999999,-0.0581395348837208,0.0124999999999999,0.2461538461538461,-0.0581395348837208,-0.0999999999999999,-0.0121951219512194,-0.173469387755102
