firms,absacc,acc,age,agr,cashdebt,chpmia,currat,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.0591054893179204,-0.0591054893179204,15.0,-0.0453556049779965,0.0782982849524271,-0.9922695780902532,1.2042656057210486,-0.0103374292958844,-0.041529988500877,1.84789657246653e-08,0.0181528888468272,-0.0656279001611878,0.1039101530879773,0.1629122604467468,-0.142708073463881,-0.1590201192014834,-0.0593513653656937,-4.681687440076702,0.8386422582026039,0.0224081905800051,-0.0361363743620513,-0.0937500000000001,0.1034482758620691,0.032258064516129,-0.1794871794871795,-0.0588235294117647,0.2307692307692308,-0.0588235294117647,-0.0303030303030302,-0.111111111111111,-0.3191489361702126,-0.36,-0.36,-0.3725490196078431,-0.4285714285714286,-0.5492957746478873,-0.5789473684210527,-0.4181818181818182,-0.3962264150943396,-0.5555555555555556,-0.5555555555555556,-0.6862745098039216,-0.6862745098039216,-0.7217391304347827,-0.6893203883495146,-0.7894736842105263,-0.8279569892473119,-0.8048780487804879,-0.8260869565217391,-0.8415841584158416,-0.831578947368421,-0.8415841584158416,-0.8297872340425532,-0.8324607329842932,-0.8,-0.751937984496124,-0.7480314960629921,-0.7922077922077922,-0.7142857142857143,-0.673469387755102,-0.673469387755102,-0.6049382716049383,-0.6000000000000001,-0.6235294117647059,-0.5897435897435898,-0.5949367088607596,-0.5675675675675675,-0.5151515151515151,-0.5294117647058824,-0.4482758620689654
BBOU_00-L,0.0216470588235294,-0.0216470588235294,14.0,0.04883166969147,0.1612550471063257,-0.3306312748766166,0.9956539454026893,0.1569307885097358,-0.056636678200692,0.0001150742737048,-0.0619328493647912,0.0082777261593039,29.76972331888122,0.4456140549772281,-0.0334898029650001,-0.0482722569173726,-0.2121244353380929,-0.2418058132343846,0.6811082439223143,0.079366050666993,-0.120037438577334,0.0347003154574132,-0.015527950310559,-0.0607407407407407,-0.0350076103500761,-0.1315068493150685,-0.2055137844611529,-0.1913265306122449,-0.1397557666214383,-0.2549941245593419,-0.2627906976744185,-0.2994475138121547,-0.3093681917211329,-0.2712643678160918,-0.2523584905660377,-0.1923566878980891,-0.148993288590604,-0.0942857142857143,-0.0942857142857143,-0.0771470160116448,-0.1397557666214383,-0.2055137844611529,-0.1734028683181225,-0.1255172413793104,-0.1145251396648044,-0.1145251396648044,-0.0305810397553517,-0.1546666666666667,-0.1230982019363763,-0.0364741641337386,0.044481054365733,0.098786828422877,0.0893470790378005,0.0531561461794021,0.1026086956521739,0.2192307692307691,0.2554455445544554,0.3263598326359831,0.4088888888888888,0.2730923694779115,0.1221238938053097,0.0462046204620463,0.0496688741721853,-0.0015748031496062,0.0143999999999999,-0.0730994152046783,-0.056547619047619,-0.116991643454039,-0.0621301775147928,-0.0811594202898551
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,-7.569889894077893,1.8613333333333333,0.8411764705882353,0.1253396739130146,3.1899137579593895e-07,0.2216981132075471,-0.108730583824317,0.0040159042011583,-0.2613416158129097,-0.2328427255985267,-0.2464646464646464,0.6064997804128239,-2.256756756756757,1.8,0.0007898894154818,0.2272727272727272,-0.0909090909090909,0.1,0.3095238095238097,0.4864864864864866,0.4864864864864866,0.375,1.1153846153846154,1.1153846153846154,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.3095238095238097,0.3095238095238097,0.3095238095238097,0.3095238095238097,0.3095238095238097,0.375,0.375,1.291666666666667,0.375,0.375,0.4473684210526316,0.5714285714285716,0.8333333333333335,1.2000000000000002,0.9642857142857142,0.9642857142857142,0.9642857142857142,1.2000000000000002,1.2000000000000002,1.75,1.0370370370370372,1.5,0.71875,2.4375,2.4375,1.5,0.375,0.375,0.375,0.5277777777777779,0.6176470588235294,0.8965517241379313,0.8965517241379313,0.9642857142857142,0.8965517241379313,1.1153846153846154
BBTU_63-L^C18,0.0707154413795824,-0.0707154413795824,14.0,0.0019354966128809,0.1224645846748229,0.1152357269253641,0.7934593765968319,-0.0811946738079296,-0.0981216210883429,2.7139925589268152e-05,-0.0474789169118954,0.0966122431759692,3.143402808099849,0.0290807230817834,0.7405602981143564,0.7798256356484531,0.5228867575763525,-3.683453237410072,0.7736331119059785,0.0596739991860689,0.3164976692777163,-0.0901639344262295,-0.0567010309278349,-0.0918114143920595,-0.1586206896551723,-0.1327014218009478,-0.0368421052631577,-0.2179487179487178,-0.199124726477024,-0.3120300751879699,-0.3817567567567567,-0.4019607843137255,-0.3910149750415973,-0.3234750462107209,-0.2781065088757396,-0.2809430255402749,-0.2635814889336015,-0.1448598130841122,-0.1756756756756757,-0.3689655172413792,-0.386934673366834,-0.3827993254637436,-0.3732876712328766,-0.3171641791044776,-0.2635814889336015,-0.3405405405405405,-0.370051635111876,-0.2738095238095238,-0.2162740899357601,-0.2077922077922077,-0.2162740899357601,-0.3015267175572519,-0.3133208255159474,-0.3197026022304832,-0.3930348258706467,-0.4369230769230768,-0.4601769911504425,-0.4171974522292994,-0.1073170731707315,-0.2343096234309624,-0.2694610778443113,-0.2129032258064516,-0.2781065088757396,-0.3732876712328766,-0.3859060402684563,-0.3970345963756178,-0.4437689969604863,-0.4986301369863013,-0.4609720176730486,-0.4680232558139534
BBXK_89-L^E06,0.0986815219495408,-0.0986815219495408,15.0,-0.0606907483106698,0.1827750951687488,-0.2819767953510512,1.9590803502293168,-0.0139226949664103,-0.0333096738577023,5.898311775409642e-05,0.0352326131086455,-0.0957454571991533,9.37220731759353,0.1819667464491953,-0.0879469574330609,-0.1114095728249451,0.066070869114946,-1.4322580645161291,1.7435821073321816,0.1264839746650116,-0.0071539199055977,-0.0716723549488054,0.0,-0.0265780730897008,-0.0900621118012422,-0.1906077348066298,-0.0517799352750808,-0.1012269938650305,-0.0668789808917197,-0.1972602739726027,-0.1906077348066298,-0.2165775401069518,-0.2038043478260869,-0.3574561403508771,-0.3371040723981899,-0.3138173302107727,-0.2783251231527093,-0.1580459770114942,-0.0265780730897008,-0.0900621118012422,0.0,-0.0487012987012986,-0.0034013605442175,-0.0608974358974359,-0.0815047021943573,0.0577617328519857,0.1098484848484848,0.3318181818181818,0.2629310344827587,0.273913043478261,0.2310924369747899,0.1767068273092369,0.1269230769230769,0.0390070921985816,-0.0487012987012986,0.0577617328519857,-0.0487012987012986,-0.0487012987012986,-0.1227544910179639,-0.1580459770114942,0.0068728522336769,-0.1227544910179639,-0.2123655913978495,-0.3857442348008385,-0.3503325942350331,-0.3233256351039261,-0.3644251626898047,-0.4163346613545816,-0.3883089770354906,-0.397119341563786
BCPS_48-L^C06,0.1248392467950887,-0.1248392467950887,14.0,-0.0591419037860276,-0.0251341558501123,0.7994026680030465,1.2553991749575346,-0.2115249472944483,0.031406099822658,6.474566976317439e-06,-0.0262210661832321,0.0588290840415485,1.6959808261293672,-0.6518165748428831,-0.1510830827435023,-0.161282749605851,0.2800495484621718,-2.5659432387312187,1.1821159912642565,0.0910050428052069,0.0808158319870759,0.0880503144654087,-0.0304878048780486,-0.0304878048780486,-0.1405405405405405,-0.1358695652173913,-0.0701754385964911,-0.2964601769911503,-0.2464454976303316,-0.3483606557377049,-0.4089219330855018,-0.4301075268817204,-0.3588709677419355,-0.235576923076923,-0.2964601769911503,-0.3319327731092436,-0.3536585365853658,-0.235576923076923,-0.1166666666666667,-0.3086956521739129,-0.3931297709923664,-0.3884615384615384,-0.4664429530201341,-0.3884615384615384,-0.37890625,-0.4646464646464646,-0.47,-0.4984227129337539,-0.4936305732484076,-0.4381625441696113,-0.7358803986710963,-0.7318718381112985,-0.702247191011236,-0.7205623901581723,-0.78099173553719,-0.749211356466877,-0.7576219512195121,-0.7776223776223776,-0.8125,-0.846079380445305,-0.8264192139737991,-0.8209459459459459,-0.8241150442477876,-0.8433497536945813,-0.8435039370078741,-0.8405215646940822,-0.8229398663697105,-0.8241150442477876,-0.8225446428571429,-0.7827868852459017
BCQE_67-L^A14,0.3119629874421679,-0.3119629874421679,15.0,-0.3612873278663159,-0.2294919944653093,1.127887092532192,1.5243977764051884,-1.7152777777777777,-0.2994995751108946,2.276498485343758e-05,-0.2294600030945381,-0.3339370986332949,0.5059511991223754,-0.4530118877881677,0.2755442589367232,0.3547536746702036,0.131916620104281,-1.145631067961165,1.2223594811612106,0.1432600112803158,-0.2802639127940333,-0.3426966292134832,-0.7096247960848288,-0.711038961038961,-0.7700258397932817,-0.7561643835616438,-0.743884892086331,-0.7954022988505747,-0.7717948717948717,-0.8306374881065652,-0.8562197092084006,-0.8592885375494071,-0.8771566597653554,-0.8472103004291845,-0.8686346863468635,-0.8722182340272793,-0.8524046434494196,-0.7610738255033557,-0.6096491228070176,-0.8258317025440314,-0.8288461538461538,-0.8875552747946936,-0.8963308095515434,-0.8970503181029497,-0.8877679697351828,-0.9041464728056005,-0.9167446211412535,-0.9026258205689278,-0.9103726082578046,-0.9062170706006324,-0.8963308095515434,-0.9418490689317216,-0.9380654140570632,-0.939061965080452,-0.9354370692782008,-0.950445434298441,-0.9421702404158544,-0.9457317073170732,-0.9469606674612634,-0.9547879095758192,-0.9489092996555684,-0.9487769784172662,-0.9457812975936644,-0.9545454545454546,-0.9538621047174702,-0.9499155880697804,-0.9465304896365276,-0.9519697787371828,-0.945146379044684,-0.9416775884665792
BCZB_W7-L^G07,0.0533287161284737,-0.0533287161284737,15.0,0.086713034052931,0.1318497065772426,-0.0335293783474306,0.8699204021784667,0.0319719471947194,0.0107350012985888,0.0002746634216025,0.0736157528678529,0.1293411230120091,6.131545244052356,0.1239715301713308,0.0986011945966258,0.1107306554552646,-0.0389075292955714,-1.3568281938325992,0.7023460410557185,0.060514907546669,0.0156158955832653,-0.0526315789473684,-0.0533807829181494,-0.1661442006269592,-0.2176470588235293,-0.1608832807570976,-0.1363636363636363,-0.2590529247910863,-0.2289855072463767,-0.3621103117505995,-0.3828306264501159,-0.4192139737991266,-0.4179431072210066,-0.4364406779661016,-0.4049217002237135,-0.3636363636363635,-0.3574879227053139,-0.3828306264501159,-0.3527980535279805,-0.3813953488372092,-0.4242424242424242,-0.4711729622266402,-0.465863453815261,-0.4115044247787609,-0.41280353200883,-0.3885057471264367,-0.3621103117505995,-0.4140969162995594,-0.40625,-0.4101995565410199,-0.3755868544600939,-0.3574879227053139,-0.2771739130434782,-0.261111111111111,-0.1446945337620577,-0.3072916666666666,-0.2244897959183673,-0.1278688524590162,-0.2944297082228116,-0.3333333333333333,-0.2925531914893616,-0.3651551312649165,-0.3726415094339622,-0.4593495934959349,-0.3770491803278687,-0.4340425531914893,-0.3885057471264367,-0.4101995565410199,-0.3954545454545455,-0.3559322033898304
BDAJ_H9-L,0.0177343467245747,0.0177343467245747,8.0,0.207309766327142,0.223157894736842,-0.0064960413893546,2.0644359032331,0.3051224944320714,0.0307636626854844,1.939296043101686e-06,0.0491977897610013,0.1574166389719728,2.036406491543278,0.1893751889012616,0.0904682041811228,0.1112394626260638,0.1327806093137877,0.2150694952450621,1.896224282161429,0.1171989273525109,0.0714756017265343,0.0153374233128835,-0.0060975609756097,-0.118918918918919,-0.1619537275064267,-0.2144578313253012,-0.0383480825958703,-0.111716621253406,0.0155763239875388,-0.1141304347826087,-0.1788413098236776,-0.1465968586387435,-0.1990171990171991,-0.0632183908045977,-0.0685714285714286,0.0219435736677116,0.0382165605095541,0.2301886792452829,0.2885375494071147,0.0448717948717947,-0.0091185410334346,0.1126279863481227,0.065359477124183,0.2586872586872586,0.2348484848484846,0.2734375,0.3872340425531912,0.3415637860082303,0.2885375494071147,0.3583333333333334,0.3931623931623931,0.3991416309012874,0.4112554112554112,0.5450236966824644,0.6381909547738693,0.5980392156862744,0.5748792270531402,0.5092592592592591,0.5377358490566035,0.1985294117647056,0.18978102189781,0.2029520295202951,0.0976430976430975,-0.0969529085872576,-0.1870324189526184,-0.0605187319884726,-0.0180722891566265,-0.0868347338935574,0.0448717948717947,-0.012121212121212
BDCK_44-L^L08,0.0464601769911504,-0.0464601769911504,14.0,-0.0271580989330746,0.1961400359066427,-0.0824997082531159,0.9740173217854764,-0.0279269602577872,-0.1283185840707915,2.902412876345377e-07,-0.0548011639185256,-0.0265721877767936,0.000505383719003,-0.5099943763295811,0.1179315338390803,0.1190708758263719,0.1340620208916781,-1.118343195266272,0.9653564290473016,0.0629599345870809,0.0690566037735849,-0.0625,0.0,0.0,0.0,0.0,0.0,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0588235294117647,-0.0857142857142856,-0.0857142857142856,-0.0857142857142856,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647
