firms,age,agr,cashdebt,chpmia,egr,herf,lgr,mve_ia,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BBOU_00-L,23.0,0.0166032692505397,0.1536191145467322,0.0497976173430035,0.3089593211879211,3.3591886381334566e-05,-0.0597218434687755,18.095220357500427,-0.0352086977627867,0.0159509202453987,0.0424055512721663,0.0510534846029173,0.0334661354581673,0.0485044462409054,0.0117004680187207,0.0007716049382715,0.0648604269293924,0.0817347789824853,0.0701320132013203,0.0808333333333333,0.0945147679324895,0.131762652705061,0.1200345423143351,0.1748188405797102,0.1823154056517775,0.1508429458740019,0.2447216890595009,0.2258979206049149,0.1632286995515695,0.1549421193232414,0.1855575868372945,0.2293838862559241,0.1964944649446496,0.2471153846153846,0.2841584158415842,0.3581151832460731,0.3482328482328485,0.3946236559139784,0.4459308807134894,0.538552787663108,0.5914110429447852,0.6417721518987343,0.6131840796019903,0.4174863387978142,0.3496357960457859,0.4655367231638418,0.314083080040527,0.3524504692387904,0.2841584158415842,0.477220956719818,0.442714126807564,0.3261758691206544,0.2459173871277618,0.2258979206049149,0.2555663117134559,0.2567829457364341,0.2009259259259259,0.2020389249304912,0.1910009182736456
BBTU_63-L^C18,23.0,-0.0085968096284267,0.2216816777332194,-0.5750752066356977,0.1925175370226031,3.241901777832096e-07,-0.0743132042030636,0.6371203185566787,0.0187448707540933,-0.0040812162024283,-0.0367647058823529,0.1333333333333335,0.0708661417322835,-0.081081081081081,-0.111111111111111,-0.0872483221476508,-0.1052631578947368,0.0381679389312976,0.0149253731343284,0.0149253731343284,0.1056910569105691,0.0793650793650795,0.0149253731343284,0.0149253731343284,0.0149253731343284,-0.0354609929078012,0.088,-0.0215827338129495,-0.1282051282051282,-0.15,-0.0620689655172412,-0.1337579617834394,-0.0144927536231882,-0.0144927536231882,0.088,-0.165644171779141,-0.1707317073170731,-0.111111111111111,-0.1337579617834394,-0.2183908045977011,-0.3199999999999999,-0.1604938271604938,-0.0422535211267603,-0.074829931972789,-0.1392405063291139,-0.0993377483443708,-0.0489510489510488,-0.15527950310559,-0.3025641025641025,-0.3523809523809523,-0.3492822966507176,-0.478927203065134,-0.5090252707581226,-0.5107913669064748,-0.4666666666666665,-0.478927203065134,-0.5054545454545454,-0.478927203065134,-0.6057971014492753
BCQE_67-L^A14,23.0,0.0251256281407035,0.1450506370467167,0.0139831512485096,0.5117647058823529,2.102875085798489e-06,-0.0503184713375796,0.8875461674126492,0.0726976355977273,0.1083370485956308,-0.0192307692307693,-0.037037037037037,-0.2375366568914956,-0.3139841688654353,-0.3580246913580246,-0.3139841688654353,-0.3896713615023474,-0.4077448747152619,-0.4144144144144144,-0.3794749403341289,-0.4130925507900677,-0.3580246913580246,-0.2896174863387978,-0.3157894736842105,-0.1275167785234898,-0.2397660818713449,-0.1304347826086956,-0.2441860465116279,-0.3853427895981087,-0.3981481481481481,-0.3516209476309226,-0.3246753246753247,-0.3048128342245989,-0.2696629213483146,-0.2934782608695652,-0.2757660167130918,-0.2352941176470587,-0.2097264437689969,-0.078014184397163,-0.1216216216216216,0.0077519379844961,0.2037037037037037,0.4207650273224044,0.4364640883977901,0.1981566820276499,0.368421052631579,0.3,0.0077519379844961,-0.2592592592592592,-0.263456090651558,-0.1798107255520504,-0.35,-0.2991913746630728,-0.1693290734824281,-0.1746031746031745,-0.1503267973856209,-0.084507042253521,-0.1475409836065573,-0.3658536585365852
BDAJ_H9-L,17.0,0.0050080128205128,0.5305890702625975,0.3858075873888447,1.814671814671815,1.0850426327396335e-07,-0.32858837485172,0.2971393889718819,1.0370982552800736,0.0370982552800735,0.0441176470588233,0.1724137931034484,0.0303030303030302,-0.0285714285714284,-0.0933333333333332,-0.0993377483443708,-0.0993377483443708,-0.0933333333333332,0.0381679389312976,0.0793650793650795,0.0793650793650795,0.0542635658914729,0.0708661417322835,0.1525423728813559,0.192982456140351,0.1525423728813559,0.4315789473684213,0.1525423728813559,0.1147540983606558,0.1525423728813559,0.2142857142857142,0.4782608695652175,0.63855421686747,0.7435897435897436,0.5454545454545456,0.5280898876404496,0.7435897435897436,0.8378378378378379,1.0923076923076924,1.125,1.0923076923076924,0.8630136986301371,1.3448275862068968,1.305084745762712,1.0,1.4727272727272729,1.305084745762712,0.8888888888888891,0.7894736842105263,0.8378378378378379,0.7435897435897436,0.5454545454545456,0.4315789473684213,0.4020618556701032,0.4468085106382979,0.4782608695652175,0.4945054945054945,0.2477064220183487,0.4020618556701032
BFRL_28-L,23.0,-0.1595843043645604,0.0524800166198595,0.302513289534366,0.1237101181078143,2.6030468065684072e-08,-0.2084151497869016,0.0994769230029648,-0.16372892158582,-0.16372892158582,0.0219780219780219,-0.0054644808743169,-0.068259385665529,-0.1063829787234043,-0.1651376146788991,-0.1826347305389221,-0.1935007385524372,-0.1862891207153502,-0.1521739130434782,-0.0602409638554216,-0.0714285714285714,-0.0421052631578947,-0.0714285714285714,-0.0761421319796954,-0.0319148936170212,-0.0319148936170212,-0.0249999999999999,-0.1291866028708133,-0.1587057010785825,-0.0808080808080808,0.2106430155210643,0.2494279176201372,0.2297297297297296,0.2026431718061674,0.2079646017699117,0.1999999999999999,0.2380952380952381,0.2816901408450705,0.2727272727272727,0.2668213457076567,0.2242152466367712,0.1666666666666667,0.2494279176201372,0.2133333333333333,0.1767241379310344,0.2847058823529411,-0.35,-0.3599062133645955,-0.5317324185248713,-0.521891418563923,-0.7699115044247787,-0.7327459618208516,-0.7957351290684624,-0.7659665666523789,-0.7287630402384501,-0.7236842105263158,-0.7095744680851064,-0.6825581395348836,-0.6753864447086801
BJJT_37-L,22.0,0.0730638033040011,0.0045932634833529,0.2569656117860548,0.1569162544772301,8.90230569008494e-08,0.1622229416963449,0.8693433672148609,-0.1483516483516483,-0.1483516483516483,-0.0408163265306122,0.0786163522012579,-0.0550964187327822,-0.0877659574468083,-0.0310734463276836,0.0147928994082842,-0.0338028169014084,0.0088235294117646,0.1209150326797385,0.1136363636363637,0.2894736842105263,0.4232365145228216,0.2564102564102564,0.1746575342465754,0.3243243243243245,0.2338129496402878,0.6813725490196079,0.3720000000000001,0.2943396226415096,0.3192307692307692,0.3557312252964428,0.33984375,0.3943089430894309,0.3830645161290322,0.3141762452107282,0.2564102564102564,0.5244444444444445,0.8342245989304813,0.7150000000000001,1.0295857988165684,0.9488636363636364,1.041666666666667,0.9826589595375724,0.9269662921348316,0.9269662921348316,0.7864583333333335,0.9378531073446328,0.5590909090909091,0.517699115044248,0.6570048309178746,0.587962962962963,0.3503937007874016,0.251824817518248,0.251824817518248,0.3294573643410852,0.3091603053435114,0.242753623188406,0.1471571906354514,-0.0853333333333332
BLNT_37-L^D19,15.0,0.0661701001346468,0.116204922985429,-0.0287117078059852,-0.0300701410618453,2.2810179617779842e-07,0.092420769926929,0.7697743225854754,0.0447078304977072,0.0971270836683283,-0.0972602739726027,0.1514195583596214,0.1128048780487804,0.1335403726708073,0.067251461988304,0.064139941690962,0.0369318181818181,0.0398860398860398,0.0798816568047338,0.1370716510903427,0.1605723370429252,0.2372881355932201,0.2331081081081081,0.2943262411347518,0.2784588441330997,0.2207357859531771,0.3984674329501916,0.2989323843416369,0.3176895306859204,0.2989323843416369,0.4512922465208746,0.5598290598290598,0.5082644628099173,0.7016317016317015,0.6186252771618626,0.5113871635610765,0.5145228215767634,0.6820276497695852,0.7936117936117935,0.7298578199052133,0.6367713004484306,0.7380952380952379,0.644144144144144,0.5498938428874733,0.6666666666666667,0.4599999999999999,0.6367713004484306,0.7257683215130022,0.6222222222222222,0.806930693069307,0.867007672634271,0.916010498687664,0.9466666666666664,0.9466666666666664,1.0277777777777777,1.1159420289855069,1.1987951807228918,1.1597633136094676,0.9945355191256828
BLNV_40-L^F19,14.0,0.0927885617588993,0.1973363592059993,-0.2516084510876806,0.0145771026529251,1.0944955220597851e-10,0.3403013022384885,0.0992939679891578,-0.575080553449583,-0.575080553449583,-0.0941176470588235,0.0461538461538462,0.1333333333333333,0.096774193548387,0.0625,-0.0144927536231884,0.096774193548387,0.1525423728813557,0.1525423728813557,0.1564625850340135,0.1764705882352939,0.1111111111111111,0.1409395973154361,0.1409395973154361,0.3127413127413128,0.3076923076923077,0.3076923076923077,0.2592592592592591,0.1929824561403508,0.1929824561403508,0.1371237458193979,0.0793650793650793,0.0793650793650793,0.0303030303030302,0.1333333333333333,0.1333333333333333,0.096774193548387,0.4592274678111587,0.3934426229508196,0.3492063492063491,0.4166666666666667,0.5178571428571426,0.4655172413793105,0.5596330275229355,0.5384615384615385,0.6346153846153846,0.5454545454545452,0.0897435897435896,0.4655172413793105,0.596244131455399,0.2186379928315411,0.0149253731343284,0.0059171597633136,-0.0285714285714285,0.0179640718562874,0.0691823899371069,0.0,0.2142857142857144,0.0059171597633136
BPVK_29-L,16.0,-0.0515949779714666,0.3875238203876875,0.1208635594566635,0.0090252315984522,0.0001589641422514,-0.0958550583392158,20.32549137665444,-0.0839488419143545,0.0173449841489397,-0.0162162162162162,0.032798325191905,0.0150891632373113,0.0033898305084745,-0.0524967989756721,-0.0706436420722135,-0.0100334448160533,0.0224525043177894,-0.0067114093959731,-0.0237467018469657,0.0130047912388775,-0.0247116968698517,-0.0488431876606684,-0.0813159528243326,-0.0989345509893455,-0.0917459343356859,-0.0430003233107015,0.0192837465564739,0.0245759778470058,0.0047522063815343,0.0105838170023899,0.0081743869209809,0.0171821305841923,0.0751907010533963,0.087835354649026,0.0705244122965642,0.0364145658263306,0.0639827462257369,0.0930576070901034,0.1490683229813665,0.2731182795698925,0.220618556701031,0.3214285714285716,0.0987379361544171,0.0545065906661916,0.2231404958677687,0.0946745562130177,0.1713494261970716,0.0818713450292398,0.2146081247435372,0.3896713615023475,0.3577981651376147,0.4075130765572992,0.4697120158887786,0.5761448349307774,0.4196642685851319,0.3678373382624769,0.2914485165794065,0.2703862660944205
BUBP_92-L^K18,15.0,0.1144879267277269,0.2538829849351862,-0.0736787947013811,0.8482142857142857,1.4808265597055558e-05,0.0176720075400565,7.187571934135133,0.0981398738134861,0.1158660351826793,0.0788732394366198,0.0806697108066969,0.0549777117384842,0.0201149425287356,-0.1637220259128387,-0.1445783132530121,-0.156769596199525,-0.1425120772946859,-0.1046658259773014,-0.0657894736842105,-0.0353260869565218,-0.015256588072122,0.001410437235543,0.0056657223796034,-0.002808988764045,-0.0056022408963585,0.0201149425287356,0.2456140350877191,0.154471544715447,0.1601307189542482,0.2815884476534296,0.3172541743970316,0.2633451957295372,0.3003663003663004,0.3148148148148146,0.2390924956369982,0.3051470588235292,0.3396226415094339,0.5367965367965366,0.5777777777777777,0.4549180327868851,0.6397228637413395,0.5434782608695652,0.476091476091476,0.4791666666666667,0.7149758454106281,0.8205128205128205,0.7067307692307692,0.5203426124197001,0.5919282511210762,0.5570175438596492,0.3295880149812733,0.2956204379562042,0.2412587412587412,0.2792792792792793,0.2769784172661871,0.1470113085621969,0.1639344262295081,0.0289855072463767
