firms,age,agr,cash,cashdebt,chatoia,chcsho,chpmia,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,16.0,-0.1126112171305359,0.0699696469314623,0.0988162853654652,0.9910992988006052,0.0001207178248849,-0.0232585602443322,0.3484698370761779,-0.2276462205512265,-0.1112807230062656,1.8165057579756322e-08,0.0177947408857716,-0.030361642288833,0.1128723066579664,-0.1292559206981068,0.0396862185368566,0.1734047945160472,-0.0235932482505288,0.0713731140752759,1.1732135310515812,0.0909090909090908,-0.0434782608695653,-0.0833333333333332,-0.12,-0.0833333333333332,-0.0833333333333332,-0.2542372881355932,-0.2413793103448275,-0.1372549019607842,-0.12,-0.0434782608695653,-0.0638297872340425,-0.1538461538461538,0.0731707317073171,0.0476190476190476,0.1578947368421053,0.2941176470588234,0.517241379310345,0.375,0.517241379310345,0.4193548387096775,0.1282051282051282,0.2941176470588234,0.6923076923076923,0.2941176470588234,0.3333333333333332,0.2222222222222223,-0.0638297872340425,-0.12,-0.12,-0.1372549019607842,-0.2142857142857143,-0.380281690140845,-0.4210526315789473,-0.2,-0.169811320754717,-0.3888888888888888,-0.3888888888888888,-0.5686274509803921,-0.5686274509803921,-0.6173913043478261,-0.5728155339805825,-0.7105263157894737,-0.7634408602150538,-0.7317073170731707,-0.7608695652173914,-0.7821782178217822,-0.7684210526315789,-0.7821782178217822
BBTK_30-L^C11,11.0,0.1364296081277213,0.1020806241872561,0.1818181818181818,0.2005973365776044,-0.0176602507504856,-5.242802239115498,0.0887634684453566,0.8411764705882353,0.1253396739130146,2.731848262972603e-07,0.2216981132075471,-0.108730583824317,0.0018421297213081,-0.3980598279380004,0.1172088780784433,-0.4155844155844156,0.3563049853372434,0.2272727272727272,0.5897171429986011,0.0,0.0,0.0,-0.2222222222222223,0.0,0.0,-0.2222222222222223,0.0,0.0,-0.1250000000000001,-0.1250000000000001,-0.2222222222222223,0.0,0.0,-0.1250000000000001,-0.1250000000000001,-0.1250000000000001,-0.3,-0.3636363636363637,-0.3,-0.1666666666666667,-0.054054054054054,-0.054054054054054,-0.1250000000000001,0.346153846153846,0.346153846153846,0.0294117647058822,0.0294117647058822,0.0294117647058822,0.0294117647058822,0.0294117647058822,-0.1666666666666667,-0.1666666666666667,-0.1666666666666667,-0.1666666666666667,-0.1666666666666667,-0.1250000000000001,-0.1250000000000001,0.4583333333333332,-0.1250000000000001,-0.1250000000000001,-0.0789473684210526,0.0,0.1666666666666667,0.3999999999999999,0.2499999999999997,0.2499999999999997,0.2499999999999997,0.3999999999999999
BBTU_63-L^C18,15.0,0.0400149809781001,0.1179640032099048,0.1179786665684125,2.050069509297366,0.0001973921564395,0.0250463184261691,0.0810558280775519,-0.0107679229243413,-0.0330073822131131,6.174975417300793e-05,0.0389505430604562,0.0882930019620667,4.20207758253885,-0.0153087397747829,-0.5678652382520899,0.7588167003159204,0.0473176677131886,0.6299507209344771,0.8066118566202671,0.0764331210191082,-0.003174603174603,-0.0382848392036753,-0.0308641975308642,0.0466666666666666,0.1438979963570128,0.13768115942029,0.1501831501831503,0.1586715867158672,0.2076923076923076,0.3276955602536997,0.4305239179954443,0.3138075313807531,0.3193277310924372,0.4144144144144144,0.437070938215103,0.692722371967655,0.885885885885886,0.715846994535519,0.6185567010309279,0.5583126550868487,0.4436781609195404,0.4881516587677725,0.6526315789473687,0.341880341880342,0.3741794310722099,0.1804511278195488,0.0608108108108109,0.0261437908496733,0.0449251247920134,0.1608133086876155,0.2386587771203154,0.2337917485265226,0.2635814889336016,0.4672897196261683,0.4144144144144144,0.0827586206896553,0.0519262981574539,0.0590219224283306,0.0753424657534247,0.171641791044776,0.2635814889336016,0.1315315315315315,0.0808950086058521,0.246031746031746,0.3447537473233406,0.3593073593073592,0.3447537473233406,0.1984732824427482
BBXK_89-L^E06,16.0,0.0919815859200379,0.1517048262230275,0.1838340817554742,1.030281631503845,9.757718762368722e-06,-0.0338038224633897,0.0691617108874657,-0.2202804107424961,-0.0945601720819517,5.335766645256981e-05,0.0358216024986306,0.3243752185726199,7.391620025831237,0.0113980122159787,0.0893331874374487,-0.0722857550672494,1.027769524092507,0.0277695240925073,0.6357108503723735,-0.029585798816568,0.0211480362537763,-0.0174418604651163,-0.0342857142857143,0.2803030303030303,0.2472324723247232,0.1818181818181818,0.3100775193798448,0.2246376811594204,0.2950191570881226,0.229090909090909,0.1380471380471379,0.1535836177474401,0.1575342465753424,0.1418918918918918,0.2246376811594204,0.2565055762081785,0.2426470588235292,0.1535836177474401,0.1535836177474401,0.1229235880398671,0.0496894409937886,-0.0662983425414365,0.0938511326860842,0.0368098159509202,0.0764331210191082,-0.073972602739726,-0.0662983425414365,-0.0962566844919786,-0.0815217391304348,-0.2587719298245613,-0.2352941176470588,-0.208430913348946,-0.1674876847290639,-0.028735632183908,0.1229235880398671,0.0496894409937886,0.1535836177474401,0.0974025974025973,0.1496598639455781,0.0833333333333332,0.0595611285266457,0.2202166064981949,0.2803030303030303,0.5363636363636362,0.4568965517241379,0.4695652173913045,0.4201680672268908,0.3574297188755018
BCPS_48-L^C06,15.0,0.0501815135437028,0.0302055457495871,0.0781949707199449,0.4528694098966027,2.282830906832292e-06,-0.4271232983437152,0.0784266984505363,0.0153945875871009,0.0147377310432137,4.063814370627517e-06,0.0907846970120078,0.0711673949879603,1.8146236586315845,-0.0769008055073381,-0.0757818407448444,-0.1389365541582084,0.1260058326181215,-0.1439034415754269,0.6369772817568049,0.0655737704918033,0.1090909090909089,0.0655021834061135,0.1401869158878503,0.1296296296296295,0.0892857142857141,0.0562770562770562,0.0427350427350428,0.0608695652173914,-0.0161290322580645,-0.1347517730496453,-0.0278884462151394,-0.0579150579150579,0.0655021834061135,0.0427350427350428,0.0252100840336135,0.2199999999999999,0.4104046242774566,0.5345911949685533,0.4878048780487805,0.4878048780487805,0.3189189189189187,0.326086956521739,0.4269005847953215,0.0796460176991151,0.1563981042654028,0.0,-0.0929368029739776,-0.1254480286738352,-0.0161290322580645,0.1730769230769229,0.0796460176991151,0.0252100840336135,-0.008130081300813,0.1730769230769229,0.3555555555555554,0.0608695652173914,-0.0687022900763358,-0.0615384615384615,-0.1812080536912751,-0.0615384615384615,-0.046875,-0.1784511784511785,-0.1866666666666666,-0.2302839116719243,-0.2229299363057325,-0.137809187279152,-0.5946843853820598,-0.5885328836424958
BCQE_67-L^A14,16.0,-0.2252906976744186,0.2809688581314878,-0.0463760434609778,1.0177571060576165,0.6253626278936839,-0.974832696263706,0.2318181818181818,3.5533980582524274,-0.2705432705431982,1.172211951486297e-05,-0.1087693798449612,-0.1342398022249691,0.6310044617283584,-0.2740213523131673,-0.0267672249467135,0.0064923738753167,-0.0231672591083087,-0.2245914707054603,1.531195388838473,-0.1893491124260353,-0.0815217391304348,-0.1715686274509804,-0.0962566844919786,-0.2587719298245613,-0.2488888888888889,-0.3424124513618677,-0.4328859060402684,-0.2065727699530516,-0.3102040816326531,-0.5407608695652174,-0.4735202492211838,-0.5898058252427185,-0.4548387096774193,-0.2777777777777778,-0.2175925925925926,0.0304878048780488,0.4444444444444444,-0.050561797752809,-0.7243066884176182,-0.7256493506493507,-0.7816537467700259,-0.7684931506849315,-0.7568345323741007,-0.8057471264367816,-0.7833333333333333,-0.8392007611798287,-0.8634894991922456,-0.866403162055336,-0.883367839889579,-0.8549356223175966,-0.8752767527675277,-0.8786791098348887,-0.8598673300165838,-0.7731543624161074,-0.6293859649122806,-0.8346379647749511,-0.8375,-0.8932406822488945,-0.9015725101921956,-0.9022556390977444,-0.8934426229508197,-0.908992999461497,-0.9209541627689428,-0.9075492341356676,-0.9149043303121852,-0.910958904109589,-0.9015725101921956,-0.9447892845475336
BCZB_W7-L^G07,16.0,0.0467126589643421,0.2654277699859748,0.1158209786315862,1.103013241450512,1.509754347870058e-06,0.0141353185442557,0.0530801071341611,0.0201878872676394,0.0216049382716049,0.0002274866908272,0.0514504197489818,0.0645207644776548,4.085995067094896,-0.0262189591445854,0.081797999451221,0.0421693918531267,-0.1760008980019456,-0.0165806081468732,0.7965309345977916,-0.0155038759689922,-0.0337078651685393,-0.1596091205211726,-0.1650485436893203,-0.1886792452830189,-0.1428571428571428,-0.2564841498559078,-0.1962616822429906,-0.2773109243697478,-0.2434017595307918,-0.2344213649851632,-0.1783439490445859,-0.1886792452830189,-0.1456953642384105,-0.1103448275862069,-0.1650485436893203,-0.0583941605839416,0.0238095238095237,-0.0300751879699248,-0.0818505338078291,-0.1912225705329153,-0.2411764705882352,-0.1861198738170346,-0.1623376623376623,-0.2813370473537604,-0.2521739130434782,-0.3812949640287769,-0.4013921113689094,-0.4366812227074236,-0.4354485776805251,-0.4533898305084745,-0.4228187919463086,-0.3827751196172247,-0.3768115942028984,-0.4013921113689094,-0.3722627737226277,-0.3999999999999999,-0.4415584415584416,-0.4870775347912525,-0.4819277108433735,-0.4292035398230087,-0.4304635761589404,-0.4068965517241378,-0.3812949640287769,-0.4317180616740088,-0.4241071428571429,-0.4279379157427937,-0.3943661971830985,-0.3768115942028984
BDAJ_H9-L,9.0,0.1080231596360629,0.0635006784260515,0.1565847636493967,0.9786414331943704,0.0006176266004374,0.1945628481101129,0.118152390438247,-0.2505688282138794,-0.0093123021789724,2.8717798882501065e-06,0.0343534601599117,0.4034264931087289,1.6042573431119462,0.144436367433492,-0.1716486643064295,0.371418156669442,0.0755497987050684,0.3149665437662162,0.4230736521766086,-0.005050505050505,-0.0341463414634145,-0.0526315789473683,-0.0790697674418604,-0.1040723981900452,-0.1483870967741936,-0.1040723981900452,-0.095890410958904,0.0206185567010308,-0.027027027027027,0.0,0.0790190735694822,0.0,-0.0173697270471464,0.1379310344827586,0.1282051282051282,0.1785714285714286,0.1963746223564955,0.2147239263803682,0.2073170731707316,0.0702702702702702,0.0179948586118252,-0.0457831325301205,0.168141592920354,0.0790190735694822,0.233644859813084,0.076086956521739,-0.0025188916876575,0.0366492146596859,-0.027027027027027,0.1379310344827586,0.1314285714285714,0.2413793103448276,0.2611464968152865,0.4943396226415095,0.5652173913043479,0.2692307692307691,0.2036474164133739,0.3515358361774743,0.2941176470588236,0.528957528957529,0.5,0.546875,0.6851063829787234,0.6296296296296295,0.5652173913043479,0.6500000000000001,0.6923076923076923,0.6995708154506437
BFRL_28-L,15.0,0.2416451499687172,0.0018249848349043,0.108107353709689,0.2670661989532904,0.0315435889789329,-0.9492048102467976,0.0811486388493136,0.4994042160797786,-0.1019220177172726,4.324425069872701e-08,-0.1134956405155885,0.1816802497119873,0.4209405956149957,3.7020756966513946,-0.3269014716343613,0.2724403569927955,0.3269014716343613,0.3269014716343613,0.2074539370485963,0.0,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118,5.270588235294118
BFTY_62-L^H05,17.0,0.0287939642676128,0.0001990324468216,0.0645175358974401,0.0691262259319956,-0.110503297666553,-1.7916299974155945,0.1423092318329027,0.0980005632216277,-0.0174042104764323,2.5588942008946507e-08,0.0134787507012161,0.016441991331046,0.4567965606945958,0.1792235346240631,0.0083079222557399,0.611446057483768,-0.0083079222557399,-0.0083079222557399,-0.0901897518792116,0.0218978102189779,0.1810344827586207,0.1759656652360515,0.1810344827586207,0.011070110701107,0.0339622641509436,0.0262172284644195,0.1322314049586779,0.170940170940171,0.1965065502183407,0.1861471861471861,0.4345549738219896,0.3631840796019903,0.5393258426966294,0.7018633540372672,0.7125000000000001,0.9160839160839164,0.902777777777778,0.985507246376812,0.8145695364238412,0.8513513513513515,0.6213017751479293,0.8896551724137933,0.8513513513513515,0.5657142857142858,0.6606060606060609,0.3365853658536588,0.1275720164609053,0.1093117408906882,0.0223880597014924,0.0873015873015874,0.0185873605947957,0.0745098039215688,0.1004016064257027,0.1759656652360515,-0.0419580419580418,-0.2080924855491328,-0.2080924855491328,-0.221590909090909,-0.3349514563106796,-0.2789473684210525,-0.1845238095238094,-0.2614555256064689,-0.3217821782178217,-0.308080808080808,-0.2472527472527472,-0.2883116883116883,-0.273209549071618,-0.267379679144385
