firms,clusters,mom1
65832,18,0.0264730999146027
21020,59,0.0308191403081914
11499,38,-0.0815154994259472
62500,18,-0.0034158838599488
81912,45,-0.0354306658521687
27991,60,0.0132013201320131
20482,60,0.021311475409836
10656,4,-0.0954248366013073
60038,41,-0.0554838709677418
85084,60,-0.0776255707762556
79678,4,-0.1299694189602446
10779,10,-0.0812407680945347
61487,41,0.0419847328244273
61241,41,-0.2094528973777921
88845,20,0.0382215288611544
28222,45,-0.0143407864302235
11368,31,-0.0431406384814495
11456,30,-0.0759493670886076
28804,31,0.0175529168817758
11587,26,-0.0154166666666666
42083,60,0.047516663083208
48514,45,-0.0247678018575852
11691,45,-0.0216574585635358
71271,30,-0.0210414460163459
10137,31,0.0164518782561009
10145,45,-0.021369596891695
41443,45,0.0320129345189974
45911,4,-0.0265017667844523
24643,45,0.0201765447667088
84260,38,-0.1372944334392178
28484,26,-0.6476666666666666
81073,38,0.1385589865399841
39482,15,0.0073461891643709
10225,45,-0.0404054054054053
12758,6,0.0437179992122882
24109,60,-0.0005836008170412
59176,30,-0.020971302428256
57904,45,-0.0096153846153844
15667,45,-0.0290773939658942
66800,60,-0.0287828947368421
13470,31,-0.0330188679245283
13507,30,0.1177940542869453
13603,26,0.0139860139860139
58560,59,0.0078301722637899
13769,45,-0.0453124999999999
81285,4,0.0183572605318897
69200,41,0.0
11144,4,-0.1822503961965134
85257,45,0.0383519614288845
14008,30,-0.0349164077526261
64864,37,-0.0059642147117296
18075,41,-0.128119293974437
14219,60,-0.2307692307692308
14227,31,0.0422177009155644
14286,26,0.0554435483870967
14323,60,-0.1245059288537548
83112,5,-0.5971146398140976
59184,60,-0.0010955302366344
29145,60,-0.0081595648232094
39490,37,0.0519420468557336
14593,41,-0.0418270035134682
10516,41,-0.0069761847486167
14868,31,0.1590536665301105
77595,31,0.2183935937879155
29209,31,-0.0092307692307691
24272,31,0.0672000000000001
15457,41,-0.0408602150537633
15553,45,0.0423844681432867
15721,45,0.0170186590116874
29787,31,-0.0922448979591837
44644,60,-0.0026391027050801
15991,45,-0.1317882352941176
16030,26,0.0110026619343388
44601,60,-0.0223943424818993
27684,18,-0.0932971014492752
40416,20,-0.0220820189274447
53110,31,-0.5108695652173914
62797,45,0.1366279069767442
52484,45,-0.0359840071079521
75034,41,-0.0515643105446118
10318,60,0.0869565217391303
58755,45,0.0510581121934834
57568,4,-0.0101549973276323
24221,45,0.0545454545454544
16505,20,-0.008776458440888
16548,60,-0.0222747880938299
55781,60,-0.018508583690987
49656,30,-0.0309960878724042
29532,8,-0.0095238095238094
16890,45,-0.0632834613829357
46877,45,-0.0101337657073368
39693,31,-0.5168321627512715
47423,31,0.007462686567164
26518,60,-0.0022380467955238
27887,45,-0.0249336870026526
29612,31,-0.369390402075227
39642,18,0.0115836505047162
17444,45,-0.0556521739130435
65875,60,0.0730535084908683
29639,30,0.1080000000000001
65883,45,0.0719573586023096
65509,4,-0.0972222222222223
43772,60,0.0072368421052633
11510,31,0.1846355303360978
17778,30,-0.0068371437858922
61508,18,-0.019537658463833
18033,31,-0.0869565217391304
20220,18,-0.0287488500459981
61946,60,0.0147797812592374
62519,31,-0.0794158831766352
65154,45,-0.062402496099844
19561,31,-0.0160960960960961
42024,37,-0.014033389789499
18650,41,-0.0033030553261766
52230,41,0.023391812865497
87146,4,0.0339840925524224
66130,20,-0.0168539325842697
60898,30,0.0069204152249136
39757,4,-0.0058708414872798
47642,60,-0.0137931034482757
17961,4,-0.0398148148148147
19393,30,0.0533604887983705
10874,45,-0.0745894795435568
55597,31,0.0087082728592162
50227,41,0.023769538819274
