,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
count,391,391,391,391,391,391,391,391,391
annual return mean,0.0002609090363159261,0.04398857955503965,0.08522209315030338,0.10947097658487426,0.15799295842369032,0.14280027509929094,0.11763312243919422,0.12108189563059923,0.13044647740479953
annual return std,0.030885676852821176,0.09701163450690586,0.13616432415036717,0.1278554488549648,0.12482524322516397,0.09466845594980278,0.11372002673151793,0.1159816197272654,0.103012232534754
cumulative return,0.853640634684516,306.60225581858487,1336.5318219827443,2851.3988088110427,11805.597020356616,7642.2428501342265,3647.580958054656,4043.3342389753266,5333.287159961183
Shrape Ratio,0.008447573856296887,0.4534361242198046,0.625876812315332,0.8562089262934323,1.265713203047378,1.5084250996446977,1.0344099084404432,1.0439748635630999,1.2663202630890447
t-statistic,-23.937018020306475,-12.081779135365842,-5.237512251187183,-2.526111796662066,3.365604139616068,1.746035635745815,-1.6512517214368159,-1.1937120224927809,0.0
Down std,0.11001567397478929,0.1154530345816207,0.10585604477652688,0.09470304145539776,0.08666445112717946,0.07142765683039043,0.0734317905589088,0.07993900670974141,0.06385790775240219
Sortino Ratio,0.0027335778093760363,0.5011497188456107,0.8432312351462482,1.080046774312367,1.4802951312131527,2.067173602388748,0.9413278522142278,0.9093333756190068,1.3057557927023649
Gross profit,0.24954191914693122,2.2542676052835904,4.843298036386078,5.840165958086869,6.770981040815779,5.962495195954278,5.669270658570146,5.788726424564561,5.8178205588260266
Gross loss,-0.24104174188528713,-0.8516023420884361,-2.178481191758318,-2.455301634647022,-1.9913873204333377,-1.6132186834157978,-2.045575011598112,-2.064640496137914,-1.8226911448901382
Profit Factor,1.0352643371855874,2.6470894851643,2.223245284241773,2.378594090304697,3.4001326468938116,3.69602413934942,2.7714802079738985,2.803745463383512,3.191885018554086
Profitable years,5,19,21,27,29,30,28,25,28
Unprofitable years,6,5,6,4,4,3,5,8,5
Maximum Drawdown,-0.14001556955935376,-0.15576467027840274,-0.24586472436576293,-0.21959015977278606,-0.26099332692354177,-0.12995343975942936,-0.3247787667877306,-0.37319531802540973,-0.2139555810313436
Calmar Ratio,0.000149991990525369,0.09807321796175043,0.1101007302431816,0.3753690827750788,0.5155919018550348,1.0513315370922405,0.3549568960695599,0.31876678956045107,0.4672353145336483
Mean,2.173958378937101e-05,0.003587379189757428,0.006815388349431611,0.008656942003682475,0.012224024860313152,0.011123469341530641,0.009267763802997526,0.009524516440988867,0.010217722286281044
Standard deviation,0.008781010655940438,0.026728369220312607,0.0368516791831102,0.034732813887499214,0.033956187578489616,0.026111109752548125,0.031091982678715636,0.03167759097063647,0.028303104626450516
Standard error,0.0004446437587026025,0.0013534435863678971,0.0018660573125936677,0.0017587643976730368,0.0017194383958406916,0.001322187438232387,0.0015744037429709398,0.0016040571715168828,0.0014331834132947146
t-statistic,0.048954574723545995,2.6885387976997324,3.4851975842488345,5.130498872571095,6.4124769517130655,7.953078749686085,5.836555514783444,6.03023202302178,6.079092139302423
Min,-0.09646289085477504,-0.09646289085477504,-0.1394297419183008,-0.166435354885759,-0.2034059548292716,-0.09681540179551532,-0.24459843916112606,-0.24459843916112606,-0.14482288074435462
25%,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017639425519647432,0.0,-0.0006998104709672331
50%,0.0,0.0,0.0,0.0,0.0033405209087993236,0.006142883507605262,0.006767475838191245,0.008168939453499155,0.009017131713542582
75%,0.0,0.0,0.005439948250265289,0.02325148298790726,0.027196930929456447,0.02407334414387049,0.02317289618838004,0.02167631405809098,0.019948915739624318
Max,0.10899976662421217,0.2174937736872431,0.2174937736872431,0.20125828246161692,0.1735450454655367,0.09976732099145175,0.19243035818333623,0.22267033375512657,0.17784183944335796
Skew,2.079267621673062,4.115407221269886,1.69618622491041,0.5343634733002183,0.13935985812017984,0.1660880046326964,-1.3420017138323375,-1.2449091085842219,-0.3969449711677264
Kurtosis,102.34926673149393,27.880105173862862,8.474461009092492,5.454852102846022,6.763190284092955,2.2523500202670808,17.00404002309405,19.59752349346296,9.014488947133925
