,0
1990-02,0.019733690808375785
1990-03,0.010043784545158422
1990-04,-0.002483304567079685
1990-05,0.015850062969064046
1990-06,0.04138691859015981
1990-07,0.01924768835771025
1990-08,-0.012472334783358288
1990-09,-0.034014478939327984
1990-10,-0.04662522138087519
1990-11,0.0
1990-12,0.021404250265668476
1991-01,0.052422576050777776
1991-02,0.021695953619993585
1991-03,0.05461884512973248
1991-04,0.054571134979070825
1991-05,0.030704355343226946
1991-06,0.04786367549479721
1991-07,-0.006961760849212225
1991-08,0.015170404934006537
1991-09,0.03668569993349801
1991-10,0.012452211464605591
1991-11,0.03225378521329652
1991-12,0.0071190693698351196
1992-01,0.0
1992-02,0.03703490411314442
1992-03,-0.00043888055849949855
1992-04,0.0
1992-05,-0.004440175386699399
1992-06,0.029298745978194148
1992-07,0.008296407298817213
1992-08,0.019111449669883384
1992-09,0.023380074739231864
1992-10,-0.009195982883532924
1992-11,0.027362708477134724
1992-12,0.03164291636998433
1993-01,0.0
1993-02,-0.013588051334155913
1993-03,-0.02865550552303478
1993-04,-0.0043251977144641565
1993-05,0.0044112210693099795
1993-06,0.010016772084404891
1993-07,-0.0027254020174481922
1993-08,0.034991962894557846
1993-09,-0.028121599810217873
1993-10,0.004964344920258599
1993-11,0.015056825415044304
1993-12,0.01619562518523043
1994-01,-0.02307440851543261
1994-02,-0.022578849460797964
1994-03,0.018086456758656295
1994-04,0.01129554748727981
1994-05,0.011907083031545281
1994-06,0.008881855375769286
1994-07,0.013881395884694041
1994-08,0.003926686655544879
1994-09,0.00982126755412111
1994-10,0.0001617105031630906
1994-11,0.002162567675618961
1994-12,0.012871270501754382
1995-01,0.02249624804907607
1995-02,0.001174247879170971
1995-03,-0.0009122870254466456
1995-04,0.005160282760137139
1995-05,0.006418277285302233
1995-06,0.009300468885214637
1995-07,0.007384059295944768
1995-08,0.007159306301532523
1995-09,0.00494576020744241
1995-10,-0.008585036628765181
1995-11,0.012212547793886842
1995-12,0.002831453870185823
1996-01,0.007556170895713395
1996-02,0.0007238296119675993
1996-03,-0.011205210235692339
1996-04,0.004063550379366205
1996-05,0.009055888475346753
1996-06,-0.004508894004352099
1996-07,0.018679294745730442
1996-08,0.0042833850151151355
1996-09,0.01017132949450837
1996-10,0.00763801763334499
1996-11,0.010237164095314567
1996-12,0.012999414827296305
1997-01,0.022428768137265083
1997-02,0.021941576175998487
1997-03,0.007827608229047938
1997-04,0.014957949018768069
1997-05,0.023865477535612183
1997-06,0.006442786900378465
1997-07,0.03322223395972361
1997-08,0.008388475738694029
1997-09,0.013404279484634902
1997-10,0.0091741981953149
1997-11,0.003730360180493173
1997-12,-0.007152433123955981
1998-01,0.03519174071514187
1998-02,0.015364961124866565
1998-03,0.01593059581393372
1998-04,0.020182677750942308
1998-05,0.0017219651109429911
1998-06,0.009564762442609533
1998-07,-0.008664640882996916
1998-08,-0.009121156092219973
1998-09,0.036690510358141935
1998-10,0.04129020725738769
1998-11,0.028790077622493682
1998-12,0.004644711634607819
1999-01,0.015501322601842815
1999-02,0.017138018372673834
1999-03,-0.006026344781795892
1999-04,0.01252527894486154
1999-05,0.0174366989388624
1999-06,0.010415544222432052
1999-07,0.017658864338500748
1999-08,-0.0017464154776951348
1999-09,-0.00209953322740239
1999-10,0.021076195726096748
1999-11,0.008860235363517788
1999-12,0.010610108821648326
2000-01,0.014450450617460637
2000-02,-0.03095951763277234
2000-03,0.04904366142293586
2000-04,0.022840803523376068
2000-05,-0.017963171046561525
2000-06,0.012464172956753049
2000-07,0.036625013261307855
2000-08,0.012027053268408326
2000-09,-0.00018057033600505816
2000-10,0.013827918752721513
2000-11,-0.005042608329114722
2000-12,0.003725700049050149
2001-01,0.057054361504431314
2001-02,0.02725694007091867
2001-03,-0.003859480436307957
2001-04,0.032065351160806214
2001-05,-0.0009323664479497629
2001-06,0.02827430105176837
2001-07,0.021529184211799935
2001-08,0.004051601170109835
2001-09,-0.002436801532847314
2001-10,0.03616225400869958
2001-11,0.005992181165246508
2001-12,-0.004346668860246268
2002-01,0.022666022312779532
2002-02,0.009149207968119251
2002-03,0.022450259142992632
2002-04,-0.003536910231970141
2002-05,0.01950408632442999
2002-06,0.001980138202426704
2002-07,0.011367848930818965
2002-08,-0.00950160589851936
2002-09,-0.02543838349884976
2002-10,0.013786543566674027
2002-11,0.02121352743266978
2002-12,0.02892531542625805
2003-01,0.002082086384888409
2003-02,-0.006768018961550831
2003-03,0.0004554521922004595
2003-04,0.01513847315361884
2003-05,0.003929950054140406
2003-06,0.003093079260143388
2003-07,0.006222001846345317
2003-08,-1.9920356106736973e-05
2003-09,0.006731659659872791
2003-10,0.02549099324974326
2003-11,-0.008301523394766473
2003-12,0.016597294719261718
2004-01,0.012805977770379921
2004-02,0.0023929297500907914
2004-03,0.004903636359934879
2004-04,-0.001862151505271152
2004-05,0.009387464683891743
2004-06,0.004960197818641375
2004-07,0.00021521475107805896
2004-08,-0.0059711890658190716
2004-09,0.010249032332303348
2004-10,0.006227707614900395
2004-11,0.017172753647870832
2004-12,0.00765537097153496
2005-01,0.01557043811880504
2005-02,-0.013012782433293246
2005-03,0.005209257096346964
2005-04,-0.007496577562633839
2005-05,0.009505288950719068
2005-06,0.0024788391752401076
2005-07,0.012136597618849438
2005-08,-0.002217891083901735
2005-09,-0.014498072795618131
2005-10,0.0006105138703542233
2005-11,0.00667107564817351
2005-12,0.01451784619378039
2006-01,0.012122271659414038
2006-02,0.007305302662847341
2006-03,0.0003233538072302321
2006-04,0.007515837547353957
2006-05,-0.0053108248776089825
