firms,mom1,clusters
54594,-0.1259259259259258,251
11624,-0.5138888888888888,0
11790,-0.1075949367088607,16
12117,-0.1428571428571429,0
12320,-0.194078947368421,545
13056,-0.2070365358592693,369
50091,-0.2358845671267252,450
14286,-0.2291666666666666,0
14526,-0.2192771084337349,547
11581,-0.2593283582089553,817
15203,-0.03125,212
15748,-0.0793650793650794,312
16126,-0.125,1
17137,-0.2027027027027027,174
85885,0.0851063829787233,0
85914,-0.1684491978609625,0
55044,-0.2117647058823529,805
18092,-0.14,807
18244,-0.1153846153846154,153
20336,-0.0422535211267606,843
20670,-0.25,542
64899,-0.1176470588235294,0
22905,-0.2311435523114355,0
23115,-0.2727272727272727,92
47175,-0.4012121212121212,45
23660,-0.1980319803198031,563
23975,-0.1149825783972126,287
24548,-0.5,804
30680,-0.1255605381165919,545
25583,-0.6416184971098267,0
56274,-0.0434782608695651,136
48637,-0.2424242424242424,343
64565,-0.2240932642487046,0
27642,0.0,431
28215,-0.1636363636363637,0
87207,-0.1666666666666666,134
63554,-0.1972633979475484,226
31318,-0.0508474576271186,71
31668,-0.25,657
54391,-0.3056,171
32046,-0.3461538461538461,0
32054,-0.2061855670103093,126
47511,-0.0693641618497109,597
33188,-0.1034482758620689,0
33639,-0.3695652173913043,0
48143,-0.1401869158878504,606
34041,-0.2061855670103093,528
23552,-0.2264150943396226,348
60628,-0.1750772399588053,118
36848,-0.1777777777777778,0
57330,-0.1180124223602484,353
37875,-0.1555555555555555,226
20765,-0.0894308943089431,0
17144,0.0565085771947528,173
39328,-0.0204081632653061,271
26657,-0.2079002079002079,477
40540,-0.3153153153153153,688
22250,-0.0185185185185184,320
64979,-0.1333333333333333,31
41452,-0.2320441988950276,725
52716,-0.0424581005586591,74
62287,-0.0714285714285714,444
44821,-0.2093023255813954,314
53129,-0.1726190476190476,545
89181,-0.1986531986531986,713
46843,-0.0833333333333333,156
47141,-0.205607476635514,288
89392,-0.25,32
48550,-0.1875,0
48697,-0.0454545454545454,71
61145,-0.2443181818181817,847
49585,-0.0687499999999999,288
64020,-0.0651340996168582,462
11198,-0.3971631205673759,32
51423,-0.1807228915662651,32
67328,-0.262987012987013,601
45022,0.0133689839572193,251
67002,-0.2754491017964071,105
52090,-0.1040462427745664,261
53613,-0.3170731707317072,748
54114,-0.2612612612612612,869
55160,-0.2375,695
55213,-0.0890688259109311,121
56363,-0.1502276176024279,0
52337,-0.1440501043841335,480
51377,-0.2639593908629442,529
22066,-0.2827918170878459,261
57665,-0.2205056179775281,131
67010,-0.1975308641975308,51
34948,-0.0997920997920998,259
35107,-0.2960526315789473,335
61621,-0.0602782071097373,819
45823,-0.0806451612903226,795
51692,-0.4,622
63096,0.0671936758893281,652
63344,-0.4358974358974359,423
43692,-0.0363636363636363,0
66852,-0.3020833333333333,797
46922,-0.0838607594936708,0
67193,-0.1666666666666666,601
64477,-0.2769230769230769,0
67679,-0.3902439024390244,838
67732,-0.16,263
68233,0.1313131313131312,26
77354,-0.0753169276659209,601
69199,-0.1149825783972126,385
69682,-0.2875816993464052,30
70288,-0.3395826666666667,0
70798,-0.7076923076923076,0
38850,-0.1223300970873786,156
71002,-0.5660377358490566,0
72128,-0.119047619047619,259
72486,-0.2805755395683453,149
72710,-0.2509090909090908,289
27764,-0.2783505154639175,263
44951,-0.5901639344262295,0
76022,-0.2824427480916031,263
74500,-0.4285714285714286,0
60353,-0.0957446808510638,36
74561,0.0,13
74740,-0.0377358490566037,71
65752,-0.1842105263157895,77
40061,-0.4337899543378996,111
75417,-0.180327868852459,125
40694,-0.0285234899328858,130
37640,-0.0357142857142857,875
76129,-0.0429292929292929,0
48709,-0.6266666666666667,627
65306,-0.0335731414868105,493
37612,-0.0961538461538461,296
65103,-0.1549295774647887,0
80013,-0.0572289156626506,487
61698,0.0,174
92874,-0.2418300653594771,482
81294,-0.1487179487179487,271
81614,-0.1239669421487603,490
82449,-0.2727272727272727,0
51086,-0.1016042780748662,263
53671,-0.0114942528735632,248
83601,-0.0995670995670995,434
83687,-0.1547169811320754,346
83919,-0.2023809523809523,0
62042,-0.0577777777777778,229
10012,-0.5686274509803921,0
88867,-0.1354838709677419,175
21785,-0.3157894736842105,22
65067,0.0,0
10044,-0.28,65
69032,-0.3330940416367551,0
10104,-0.2476415094339622,8
39416,-0.1162790697674418,158
75510,-0.1876208897485493,509
89659,-0.0618556701030927,298
10972,-0.109375,672
11020,-0.1344086021505376,188
11136,-0.1973684210526315,0
11152,-0.1428571428571429,0
11353,-0.1304347826086956,547
75033,0.0,351
75094,-0.1428571428571429,0
75174,0.0229007633587785,338
75557,-0.1746031746031746,352
11694,-0.3939393939393939,818
11614,-0.2040816326530612,51
11757,-0.3970588235294118,792
75110,-0.2615384615384615,140
11956,-0.3461538461538461,794
11952,-0.1818181818181817,0
10114,0.0109890109890109,0
12099,-0.094488188976378,16
11106,-0.0294117647058823,0
11794,-0.1685423153534728,0
12122,-0.2307692307692307,780
12211,-0.1344086021505376,527
12171,-0.2222222222222222,0
75434,-0.3435114503816794,404
80297,-0.1228070175438597,518
75625,-0.3945945945945945,244
75657,-0.0188679245283018,333
75976,-0.1034482758620689,722
75857,-0.1393229166666666,523
75993,-0.1531531531531531,98
77488,-0.0964912280701754,788
76526,-0.4038461538461538,696
77820,-0.1282051282051282,451
76096,-0.5783582089552239,803
76138,-0.3217922606924643,242
76276,0.0,0
76410,-0.2142857142857143,0
76420,-0.3888888888888888,0
76279,-0.25,548
76568,-0.1930379746835443,139
76990,-0.2159090909090909,0
76605,-0.2427007299270073,237
76613,-0.3815261044176706,0
76623,0.0,56
76988,-0.04,856
76739,-0.2830188679245283,431
76752,-0.1134969325153374,155
76772,-0.3720930232558139,827
76774,-0.2684824902723736,782
76797,-0.3441558441558441,94
76846,-0.5509202453987729,400
77163,-0.0847457627118644,0
77478,-0.3111111111111111,0
77637,-0.0506329113924051,188
77667,0.0140186915887849,160
77669,-0.6011560693641618,243
77676,-0.0576923076923077,861
77989,-0.1578947368421053,520
77803,-0.1715976331360946,220
80367,-0.1584158415841584,0
79094,-0.3261648745519713,0
79305,-0.3954451345755694,759
79562,-0.2142857142857143,0
79255,-0.0445062586926287,801
79428,-0.4014598540145985,0
79505,-0.3477011494252874,0
87055,-0.170704845814978,0
79866,-0.25,84
79931,-0.0999999999999999,679
79950,-0.5267857142857143,0
80032,-0.6114457831325302,0
80006,-0.25,848
80199,-0.0967741935483871,594
80357,-0.1496062992125983,472
80465,0.0476190476190476,0
80599,-0.4521739130434783,0
80553,-0.25,0
80540,0.0,479
80659,-0.3271028037383178,115
80753,-0.21656050955414,31
80763,-0.2455089820359282,301
80667,-0.3846153846153846,0
50906,-0.3376865671641791,563
80071,-0.339622641509434,0
10568,0.0166666666666666,0
11157,-0.0971223021582733,0
50032,0.0533854166666667,745
68814,-0.2137931034482758,872
47730,-0.135593220338983,486
12627,-0.1555555555555555,0
13777,-0.5217391304347826,492
44652,0.2506738544474394,654
78120,-0.3099415204678363,0
38746,-0.1574074074074074,230
60871,-0.3459302325581395,617
14198,-0.1779141104294478,156
