firms,mom1,clusters
21020,0.0305010893246187,364
11499,-0.0517560073937154,23
81912,-0.0463065049614112,161
27991,-0.0722143557346693,267
10517,0.0564687168610817,5
20482,0.0124179528117793,95
10656,-0.0263901979264843,51
60038,0.0342998585572842,84
10779,-0.0533333333333333,72
61487,-0.0824720523096392,0
61241,-0.0560146923783289,392
88845,0.001165556730245,30
28222,0.0063788644736793,172
11368,0.0267027027027026,353
28804,0.0627439641463063,5
11587,-0.0652238382811692,254
11691,0.0229688035653068,69
11790,-0.0795631825273009,165
10145,-0.0166710043170681,95
45911,-0.0934695436318502,86
28484,0.0346556233653005,119
81073,0.0195321709463358,274
93330,-0.0235576923076923,131
12758,-0.0087463556851312,62
24109,-0.0522993688007213,206
59176,0.0163749872070413,95
13507,0.0231352213801356,131
13769,0.0182352941176471,188
11144,-0.0125628140703517,1
85257,-0.0030265511074425,100
14008,-0.0100194125014231,95
18075,-0.1328671328671329,113
83112,-0.0356037151702786,252
39490,0.0093234520678939,119
14593,-0.01524591124551,386
14761,0.0756972111553784,1
10516,0.005015045135406,23
77595,-0.0554821664464993,48
29209,-0.0039638300507867,1
24272,-0.0375777237091106,172
15457,-0.0004820438659919,39
44644,0.0238511270312773,286
16030,-0.0926430517711173,296
44601,0.006484402383456,263
27684,-0.0432262738468969,172
40416,0.0858585858585858,56
53110,0.0301724137931034,166
10318,-0.0764294717543256,76
57568,-0.0516161363066899,235
16505,0.0036764705882352,101
16548,0.0096606974552309,201
49656,-0.0160759956156375,54
39693,-0.045269352648257,142
27887,-0.0135815656951014,75
29612,0.0648944487881155,166
39642,-0.06200433539265,136
17444,-0.0467453036260375,132
65875,0.0400864609943014,175
43772,0.0185421994884908,166
17778,0.020926243567753,386
61508,-0.0678795356854641,132
61946,0.0273457528627585,206
19561,0.0654263390688707,25
52230,-0.026297335203366,127
12437,0.1945945945945946,111
17961,0.0188755020080322,161
19393,-0.0302263016300047,95
10874,-0.0023486901535682,62
55597,-0.0061349693251533,1
19880,0.0914158305462653,1
10890,0.0516129032258065,241
20117,0.0113761467889907,237
64186,-0.0408066877627165,30
67838,0.0212844036697246,140
20336,0.4742318019093079,351
62148,-0.0132735426008968,305
28564,-0.055045871559633,15
86290,-0.0741035856573706,140
46690,0.0057152188112346,138
20750,-0.0054824561403509,1
21371,0.0351410711268795,185
27334,-0.0114812559798207,166
20618,0.031559781509205,13
18542,0.1164010709458782,95
89792,-0.0035911200516566,174
60599,0.1432488005483208,82
90011,0.142603550295858,17
64194,-0.0118728145076034,262
23182,-0.0818234950321449,206
88208,-0.0074074074074074,0
14541,0.05210521892596,175
30509,0.0324675324675325,250
23297,0.0574462292404032,277
23393,0.0654066680823954,427
79026,-0.0097872340425532,209
47677,-0.0391705069124422,0
27422,0.0825825825825825,458
46578,0.0678442147924629,25
11995,-0.0020862267819653,229
11308,0.0024033209525891,386
24441,-0.0157480314960629,73
24476,-0.0333607012385497,20
30648,-0.0355887521968366,55
14055,-0.1733870967741936,357
18729,0.0414078674948239,114
61735,-0.044358864641278,30
89525,0.0668620138518911,175
25081,0.0420117632937222,54
25129,-0.0137760508654184,201
25452,-0.0680628272251308,102
25487,0.1517060367454068,233
25778,0.0063501663138796,294
40125,-0.0128978572914498,100
26084,-0.0173410404624279,98
79618,-0.1079268292682925,0
13625,0.0127088726759236,153
26463,-0.0931922287158427,267
11404,-0.0459344115004493,206
26607,0.2081632361516034,69
26650,0.0353823577368335,11
23229,-0.0521042084168337,206
30840,-0.0140114167099117,132
91983,0.1191633213606593,457
27430,-0.038095238095238,364
59248,0.050832266325224,178
22293,-0.0123494905835135,161
20204,0.0450978095349654,142
27618,-0.0399201596806387,13
17726,-0.058262179809141,142
59256,0.0,89
31077,-0.0484261501210653,161
27888,-0.0382074992378822,242
41080,0.0551971956509673,138
18091,-0.0189210950080516,100
19828,0.1027535258562795,100
92570,-0.0311743341404359,301
28629,-0.0781010719754977,244
80912,0.0142857142857142,13
91926,0.0582010582010581,30
61743,0.0807313642756681,166
11674,-0.0528683914510685,206
76708,0.0144752714113387,86
29867,0.0271317829457364,0
40440,-0.1484374999999999,23
79322,-0.0853080568720379,398
44943,-0.0215017064846415,60
26403,0.0256630414043121,386
10886,-0.0493827160493826,455
64936,-0.0364911446570782,206
38682,-0.0095846645367412,211
25953,0.0335687237744346,100
30681,0.0194568868980962,286
63132,0.0171612441902038,154
27959,-0.0568513119533528,206
88590,-0.0381772398667857,286
30940,-0.0105683419445747,60
31051,0.151987217894947,0
12486,-0.0781250000000001,9
42200,-0.007600434310532,171
31480,-0.0920138888888889,113
14276,-0.0606060606060605,0
11762,0.0158138338904603,30
70578,-0.0128017216009416,427
82855,-0.0911330049261083,206
32054,-0.1044713748432929,22
32062,-0.0614571746384872,45
22103,0.0751311323665535,75
32548,-0.0881953867028494,327
32986,-0.0693466247697476,267
52476,0.0332982825096388,286
33532,-0.0955882352941175,15
31691,0.0445510026155187,132
50788,0.0543401552575866,210
42550,-0.0078147909671124,138
33770,-0.0334190231362466,55
87717,-0.0013893176906453,15
33823,0.2431761786600497,331
87725,0.0279491833030853,278
11850,0.0042021851362707,175
19166,0.0027542372881355,301
24205,-0.0117058347067725,206
34367,-0.0599415204678364,1
47706,-0.0655813953488372,1
21135,-0.0694280078895464,301
34666,0.0233236151603497,0
34746,-0.0055719436250409,54
35263,-0.0612846199175014,201
10777,-0.0550774708686597,54
35554,0.0120746374667062,54
36397,0.0309437854564207,179
54244,0.1129056603773583,87
36768,-0.1003846153846154,96
88924,-0.0335335335335336,277
88853,0.0669283205949184,13
37154,-0.0201207243460764,454
25785,-0.0023961661341852,54
37402,0.1753246753246751,39
37568,-0.0086393088552915,96
37584,-0.0004613610149942,418
58421,0.001763668430335,184
12036,-0.0156769596199525,5
38093,-0.03873613853866,30
47941,0.0602409638554217,69
20765,-0.009209272785011,137
12052,-0.0179088627148098,264
12060,-0.0459267359212685,306
46834,-0.0211267605633802,0
12369,-0.0487352053840798,60
55212,-0.0156788962057071,69
38659,0.02294921875,15
46674,0.0219425621168118,166
57154,0.0312650312650313,134
32299,0.1264367816091955,454
16432,-0.0018535681186282,364
53604,-0.052232007288187,138
85908,-0.043377438275815,237
39571,-0.656356866023254,49
60468,0.0549395161290322,224
52695,0.0675071167141114,405
39731,0.1958233681385988,132
90213,-0.074438202247191,14
23819,0.1696984202967926,75
25582,-0.0197232525951557,161
25304,0.0332409972299168,147
52978,-0.0228983014405503,294
41188,0.0369790034471952,1
10294,-0.064128256513026,87
41241,-0.0821382007822685,252
41292,0.0152127864432889,6
76927,-0.0507288629737607,451
32651,0.0614973262032085,210
32707,0.1034482758620689,149
16600,0.023257910393942,166
61567,-0.0024193548387096,138
52716,-0.0030751034890595,263
32803,0.1515287769784172,180
42439,0.102,364
21792,-0.0549816727757415,206
32942,0.0759201844343746,166
42877,0.0345510167356488,262
42906,0.011111111111111,54
87464,-0.0249266862170087,107
12570,-0.0153136531365314,161
80210,0.0025356576862123,110
21928,-0.0753972270013156,269
56573,-0.0141801477104874,30
43634,-0.0970149253731342,236
43757,0.4880294659300186,0
51633,-0.0644604316546763,267
12431,0.0179182834969184,100
44274,-0.0796235975389069,62
46463,-0.1284796573875802,84
44506,-0.011964107676969,266
59328,0.0294380017841211,95
44768,0.0080160320641282,165
12490,-0.003572124439826,386
40272,-0.0182063818836849,138
45306,0.0006570302233903,342
21573,0.0234940823176117,23
53065,0.0192113245702729,286
45728,-0.0398860398860398,26
46042,-0.119107744107744,202
46077,0.0629370629370629,13
52329,0.0050281883285083,74
82694,0.0121332177788784,263
22111,0.0027991100265556,95
46886,0.0276799687010953,86
12558,0.048752176436448,46
46923,0.0107948969578017,411
47002,-0.0137445524639623,234
24432,-0.0603322646458758,136
12650,-0.0617085785625111,100
24053,-0.0770844257996854,432
26825,0.0275090689238211,427
47379,-0.0644939965694681,6
44134,0.0383955383955383,161
47619,-0.1002770448548813,265
47715,0.0070118662351672,15
17750,0.0075150300601201,280
59045,-0.0074294205052005,149
48072,0.8392857142857142,332
48144,-0.0199355618203784,158
89456,-0.0157367668097282,65
49488,-0.027746947835738,7
12781,-0.0863221884498479,206
48486,-0.0429469661519265,158
48523,-0.0305371398559423,15
48961,-0.0388349514563106,5
50286,0.0,56
60943,-0.0105721393034826,166
65330,0.0505505505505503,252
20415,0.0068415051311288,54
50876,-0.0021266540642722,95
81678,0.0048277375466314,138
21178,0.0060478503384306,95
50017,-0.0532741398446171,191
56223,-0.0488953277797898,174
59774,-0.0781108083560399,1
33849,-0.0075265017667844,9
66245,-0.1099944165270798,79
23835,-0.0382826475849731,15
50623,-0.0393559928443648,69
50789,-0.0439393939393939,269
51263,-0.0209059233449476,0
15069,0.1408355795148248,119
51423,-0.0266903914590747,14
45751,-0.0302633146669845,30
34032,0.0240037287345606,142
39538,-0.1572602739726026,23
51925,0.0679012345679013,329
51960,0.0359712230215827,99
43449,0.0008722451590394,386
89915,-0.0171548117154811,286
17478,0.0236886028523084,81
81061,0.055570525546871,185
52250,-0.0805555555555554,80
17005,-0.0535248041775455,350
22752,0.0180929980097701,306
42796,-0.0308143800440207,166
53074,-0.0763857928369744,138
87437,0.4234875444839856,0
89857,-0.1006864988558352,0
53373,2.292682926829269,0
24010,-0.0588575393154486,267
53859,-0.1346487424111014,1
54253,-0.0986046511627907,86
22592,-0.0319568972608372,386
24248,-0.0762732919254658,206
54704,-0.1179039301310043,301
76591,0.1410897604632797,309
42614,0.0719980671659821,132
22779,-0.0400595048347678,266
28345,0.110912343470483,119
65365,-0.0866510538641687,364
69550,0.1582261155214892,427
