month,invested,outlier,first,second,rest,total,number of clusters
1990-01,358,586,16,13,1338,1953,520
1990-02,336,588,19,16,1335,1958,533
1990-03,358,576,29,13,1303,1921,517
1990-04,410,578,27,17,1305,1927,507
1990-05,326,585,27,14,1325,1951,522
1990-06,378,591,19,14,1345,1969,547
1990-07,374,594,20,14,1353,1981,533
1990-08,382,603,24,11,1371,2009,558
1990-09,378,602,22,12,1369,2005,555
1990-10,350,606,13,11,1391,2021,576
1990-11,378,610,16,14,1397,2037,574
1990-12,388,638,21,14,1453,2126,588
1991-01,390,645,18,13,1473,2149,600
1991-02,378,650,33,14,1469,2166,600
1991-03,386,634,21,17,1440,2112,571
1991-04,402,642,16,15,1466,2139,573
1991-05,390,648,17,14,1480,2159,563
1991-06,394,655,29,20,1479,2183,574
1991-07,386,665,39,17,1495,2216,590
1991-08,404,672,23,20,1525,2240,588
1991-09,426,666,19,18,1516,2219,596
1991-10,448,669,23,17,1521,2230,598
1991-11,432,670,19,15,1529,2233,588
1991-12,418,689,27,15,1564,2295,580
1992-01,404,687,26,14,1561,2288,597
1992-02,458,685,21,16,1562,2284,596
1992-03,354,670,19,18,1525,2232,578
1992-04,440,671,18,17,1531,2237,591
1992-05,432,672,23,13,1536,2244,611
1992-06,342,683,27,18,1548,2276,633
1992-07,436,689,21,18,1567,2295,623
1992-08,428,692,23,22,1568,2305,614
1992-09,440,684,26,16,1553,2279,612
1992-10,446,685,22,14,1563,2284,606
1992-11,442,688,21,20,1565,2294,589
1992-12,378,705,27,18,1599,2349,626
1993-01,424,703,34,22,1584,2343,605
1993-02,460,707,25,16,1610,2358,601
1993-03,430,688,23,16,1566,2293,594
1993-04,466,692,23,21,1570,2306,599
1993-05,392,694,24,16,1580,2314,608
1993-06,420,695,23,19,1580,2317,614
1993-07,370,700,22,18,1594,2334,619
1993-08,450,702,29,18,1590,2339,621
1993-09,414,691,18,15,1578,2302,609
1993-10,424,692,27,17,1570,2306,604
1993-11,452,695,21,17,1582,2315,595
1993-12,430,713,21,20,1621,2375,617
1994-01,470,717,27,17,1629,2390,634
1994-02,472,717,20,18,1634,2389,645
1994-03,474,699,23,13,1596,2331,621
1994-04,434,701,18,17,1599,2335,643
1994-05,430,707,19,15,1614,2355,638
1994-06,434,704,33,17,1591,2345,631
1994-07,474,710,20,16,1619,2365,650
1994-08,406,715,19,13,1635,2382,670
1994-09,414,705,23,18,1603,2349,646
1994-10,424,702,19,15,1605,2341,647
1994-11,446,701,20,19,1597,2337,637
1994-12,456,713,39,15,1609,2376,642
1995-01,462,715,27,16,1624,2382,637
1995-02,438,714,26,22,1618,2380,637
1995-03,454,705,26,20,1600,2351,614
1995-04,408,708,28,22,1601,2359,624
1995-05,438,714,28,21,1615,2378,629
1995-06,410,704,22,18,1603,2347,616
1995-07,414,712,23,18,1619,2372,619
1995-08,414,719,23,20,1633,2395,610
1995-09,450,715,31,20,1616,2382,610
1995-10,478,718,28,21,1626,2393,614
1995-11,490,725,28,19,1644,2416,641
1995-12,542,802,24,22,1824,2672,693
1996-01,498,806,18,17,1845,2686,705
1996-02,514,813,22,21,1852,2708,703
1996-03,486,748,35,19,1692,2494,664
1996-04,424,761,23,18,1735,2537,682
1996-05,402,768,22,19,1751,2560,688
1996-06,472,773,24,23,1756,2576,677
1996-07,546,860,24,22,1961,2867,772
1996-08,468,869,27,18,1981,2895,783
1996-09,514,843,23,20,1922,2808,767
1996-10,554,850,20,18,1944,2832,744
1996-11,532,859,23,20,1959,2861,762
1996-12,576,896,21,18,2050,2985,788
1997-01,502,897,23,19,2052,2991,785
1997-02,634,897,24,22,2048,2991,786
1997-03,516,854,24,23,1946,2847,761
1997-04,564,869,20,18,1988,2895,756
1997-05,510,871,22,18,1993,2904,785
1997-06,540,879,24,21,2006,2930,790
1997-07,552,890,27,19,2029,2965,800
1997-08,542,900,27,21,2053,3001,799
1997-09,530,882,28,20,2008,2938,768
1997-10,552,889,18,17,2039,2963,763
1997-11,528,894,22,21,2042,2979,771
1997-12,538,941,31,15,2149,3136,850
1998-01,556,956,39,18,2174,3187,854
1998-02,590,965,32,17,2203,3217,868
1998-03,554,954,25,23,2178,3180,823
1998-04,564,960,20,19,2202,3201,847
1998-05,560,966,21,16,2217,3220,848
