firms,mom1,clusters
50906,-0.1304347826086956,1
18980,-0.15,0
10568,0.0,0
10998,0.0,22
11181,-0.009090909090909,431
39116,-0.1428571428571429,0
50032,-0.03125,0
49330,-0.218562874251497,33
69171,0.1764705882352941,0
68814,0.1875,0
47730,0.0033783783783782,44
13232,0.0192307692307691,0
13777,-0.4541062801932367,0
44652,-0.0262664165103189,0
44548,0.0666666666666666,0
38746,-0.0153846153846153,0
60871,-0.0833333333333333,104
14198,0.0,415
14331,-0.2115384615384615,0
45583,-0.0415094339622641,49
14702,-0.0855263157894736,0
14737,-0.074074074074074,0
15537,-0.0294117647058823,18
68830,-0.0303030303030302,0
85631,-0.0405405405405405,0
16185,0.064516129032258,0
16791,-0.1999999999999999,0
17057,-0.2727272727272727,0
17495,0.1153846153846154,0
17903,-0.0365853658536585,0
49373,-0.0294117647058823,70
18570,-0.0517241379310344,236
18623,-0.2542372881355932,0
18834,-0.0434782608695651,29
47642,-0.0720720720720721,181
18973,-0.1451612903225806,36
19271,-0.0697674418604651,0
29938,0.0218181818181817,0
10866,0.0316742081447964,14
19880,-0.2897196261682243,0
20240,-0.0406976744186046,0
20248,0.0039370078740157,406
49402,-0.1824324324324324,0
20651,0.0,0
25320,-0.0676855895196506,0
40352,-0.0666666666666666,0
21726,0.0129870129870128,18
21742,-0.0606060606060605,0
26841,-0.1029411764705882,411
48047,-0.0999999999999999,0
65533,-0.0812854442344045,0
24126,-0.28125,0
24572,0.032258064516129,0
24951,0.0,0
25049,-0.0408163265306122,0
25217,-0.1032608695652174,258
25487,-0.0625,0
69307,-0.2222222222222222,0
27124,0.125,0
65541,0.0,0
27562,-0.0093457943925233,0
31026,-0.107981220657277,0
27800,0.0263157894736842,0
27909,-0.0945945945945946,124
28207,0.0909090909090908,0
19828,-0.1265822784810126,0
28311,-0.046875,0
28522,-0.032258064516129,0
59707,-0.3809523809523809,0
63546,0.0851063829787233,0
29023,-0.0099009900990099,0
49154,-0.0378006872852233,252
19350,-0.0068259385665528,0
49429,-0.0284090909090909,61
30227,-0.25,0
43211,-0.0606060606060605,68
61313,-0.092250922509225,138
19254,0.0453400503778338,182
31595,-0.1666666666666666,0
87581,-0.0555555555555555,0
69358,-0.0198019801980198,0
33209,0.0370370370370369,0
50788,-0.0978260869565217,0
53196,-0.0451977401129943,0
34287,-0.2241379310344827,0
58405,-0.1647058823529411,207
46295,-0.025,95
63589,-0.0999999999999999,0
26382,0.0111731843575419,0
37103,-0.0544217687074829,414
31974,-0.073170731707317,8
62228,-0.1228070175438597,20
59010,-0.0150862068965517,0
60935,0.0597014925373133,418
40838,-0.096045197740113,0
19174,-0.0576923076923077,464
21055,-0.0909090909090909,242
59547,-0.0597014925373133,78
47888,-0.3305084745762712,171
62367,-0.0416666666666666,33
39670,-0.0493827160493827,0
49189,0.2682926829268293,0
40628,-0.0188679245283018,26
40644,-0.0512820512820513,88
39765,-0.28125,381
32600,-0.1875,0
41420,-0.1568627450980392,116
32678,-0.0571428571428571,0
23077,0.0107913669064747,57
63212,-0.3333333333333333,0
41663,-0.0909090909090909,0
27828,-0.0873015873015873,195
88701,-0.0212765957446808,0
32803,-0.0316742081447963,0
66181,-0.4069264069264069,0
32870,-0.074829931972789,47
42366,0.0459183673469387,207
32926,-0.0131578947368421,262
66587,-0.1048387096774193,274
42922,-0.4797297297297297,0
43474,0.0,0
43781,0.15625,0
44135,-0.0666666666666666,69
44389,-0.0967741935483871,0
12503,-0.0909090909090909,0
45560,-0.0652173913043477,0
45699,0.0707964601769912,437
12040,-0.1428571428571429,0
46149,-0.0285714285714285,0
46237,-0.0117647058823529,429
48100,-0.127659574468085,0
33267,-0.2142857142857143,0
47133,0.0138888888888888,101
47141,-0.0095238095238094,0
57437,0.0084745762711864,79
47571,0.0,140
53495,0.0,0
50374,-0.0588235294117647,423
48208,0.0,0
48291,0.0555555555555555,0
48347,0.0204081632653061,47
64282,-0.1606217616580311,226
24731,-0.0909090909090909,0
26294,0.0139860139860139,24
53612,-0.0266272189349112,23
50092,-0.0943396226415094,0
61399,-0.3856041131105399,0
50519,0.0270270270270269,0
66253,-0.0394736842105263,255
64039,-0.1111111111111111,0
51960,-0.1809523809523809,11
13100,-0.0812641083521444,198
64637,-0.1063829787234043,75
60097,-0.033033033033033,19
22891,-0.0402476780185758,181
53050,-0.0833333333333333,0
60548,-0.1578947368421053,218
53189,0.1851851851851851,138
53306,-0.0697674418604651,0
55191,0.0425531914893617,135
54843,0.0384615384615385,0
68582,-0.0307692307692307,0
47773,0.0502283105022831,183
56339,-0.0684931506849315,444
56419,0.0625,0
56777,-0.1428571428571429,173
57171,0.0,0
57534,-0.0138888888888888,156
57809,0.0,426
57817,-0.1532846715328467,220
57884,0.0384615384615385,44
58107,-0.1428571428571429,0
58473,-0.3,0
53639,0.0901639344262295,376
58801,0.0689655172413792,0
59185,0.0714285714285714,0
45313,-0.0952380952380952,237
59767,-0.14,129
59775,-0.0772058823529411,408
60055,-0.05,455
60679,-0.1284722222222222,0
35051,-0.0330882352941176,100
61525,0.0,0
18403,-0.0515463917525773,56
61460,-0.0909090909090909,0
35238,0.0423728813559323,385
27713,-0.0725388601036269,133
61823,0.0845070422535212,0
49576,-0.0571428571428571,247
62384,-0.0833333333333333,168
13936,0.0114942528735633,0
64338,-0.1111111111111111,0
49971,-0.0091324200913242,210
63686,-0.1578947368421053,0
91193,-0.1428571428571429,0
43748,-0.0382165605095541,0
64697,-0.0416666666666666,8
64902,-0.1875,0
42307,-0.0074074074074074,0
65227,-0.081081081081081,0
62033,-0.0648148148148147,176
61620,-0.0681818181818182,459
67177,-0.0377358490566037,270
25312,-0.0510204081632652,0
91556,-0.1098901098901099,0
38711,-0.0526315789473684,0
62682,-0.0584415584415584,14
68065,0.0175438596491228,118
68209,0.5,0
41320,-0.0491803278688525,0
68428,-0.0705882352941176,0
39773,-0.0769230769230768,0
50948,-0.1538461538461538,136
70106,-0.0689655172413793,0
70376,0.0,0
70835,0.0526315789473683,36
