firms,mom1,clusters
54594,-0.0231481481481481,245
14526,0.0210946408209806,172
11581,-0.0134340890008396,77
16126,0.0331968096572536,50
17137,0.0049610205527994,314
20670,0.0015220700152205,237
64899,0.0156035665294924,0
23660,0.0767979987492182,57
23975,-0.0521538461538462,36
82542,0.1373917900027923,278
30680,-0.0319277108433735,85
56274,0.0680497925311203,239
31668,0.110599078341014,492
32046,-0.0525830258302583,84
47511,0.0936280884265279,239
60628,0.0215249736672187,197
37875,0.0081398132631074,277
20765,0.0554425228891148,459
17144,0.0146367907481026,38
39328,0.0242179616548938,192
41452,-0.0013697066544915,53
84226,0.0239273927392738,70
64020,-0.0207547169811319,154
52090,0.0424966799468791,20
53613,-0.0071098471382865,191
54114,0.0105800802626778,57
55213,-0.1428571428571429,154
57665,0.0286321327397813,136
35107,-0.011049723756906,132
61621,0.0210787352758834,50
51692,0.0047430830039525,325
64742,-0.0168855534709192,316
65307,0.0523769457299116,152
66852,-0.0258717660292463,335
46922,0.1309987029831387,0
77354,0.09375,70
69199,0.0075382803297998,114
38850,-0.0782122905027933,0
44951,0.0045506257110354,549
74500,-0.0267876693997712,0
74740,-0.0103729334871203,306
65752,0.0184237461617196,269
65306,0.0095381082751919,251
81294,0.0421195652173913,277
19502,0.035089834800434,164
81614,0.0541871921182266,168
51086,0.049251569290198,95
83601,0.0066592674805772,38
21785,0.0032362459546926,0
10044,0.0282352941176469,168
10104,-0.002980284273269,343
75510,0.0398369708125163,102
70092,0.0200138026224983,512
75033,-0.1028331584470093,195
12211,0.0170476070210885,359
80297,-0.0820895522388059,0
75976,0.049393803322856,194
77488,-0.0184757505773671,163
76858,-0.1253644314868806,0
76568,0.0520069808027923,0
76605,0.0014272144067082,160
76752,-0.0026515151515151,137
77637,0.0724248927038626,53
77669,0.0668569099062372,232
79094,0.0910301953818828,117
87055,-0.0032156588605383,380
79866,0.0281285878300803,195
80719,0.0440284278037788,588
81138,-0.0122132856717308,9
91364,-0.0384615384615384,0
81655,0.0277559981182373,103
82777,-0.0237827188291583,20
83148,0.0056298381421533,246
83597,0.0494313488785818,102
20598,0.2679490046969357,0
89508,0.043018646307444,186
85040,0.0085470085470087,0
85982,0.0386458000638774,0
85272,-0.0528808208366219,0
85394,0.0134228187919465,330
85796,-0.0210586226522482,198
87184,0.0267074142971033,225
87214,-0.0600750938673342,278
88668,0.0265005265005267,160
88841,-0.0044416243654822,251
88873,0.0408855205424809,102
89216,0.0571429170410304,217
89900,0.0806535947712419,0
90992,-0.0164979676416672,421
93065,0.0306236080178174,108
93399,-0.0437187500000001,370
12488,-0.1272727272727272,0
90179,-0.0383463151587777,53
47730,0.0121684867394695,118
13777,-0.094747682801236,369
38746,-0.0039138943248533,0
60871,0.0989650711513581,170
14198,0.0013017751479289,36
14702,0.0171803941384538,50
15537,0.0114285714285713,572
68830,0.0102815564694715,72
85914,0.0014430014430015,380
49373,0.0492724867724867,525
18570,0.0676429567642955,30
18973,-0.0499436725497558,243
19271,-0.0494571773220746,0
29938,0.1142640528538936,115
10866,0.0414141414141413,12
25320,0.0811898904048311,38
21742,0.0609637381357992,330
11267,-0.0521098118962888,359
86474,-0.0365853658536584,215
22825,0.0395177494976557,269
26201,0.0394463667820068,174
65541,0.0207782882698777,292
27562,0.0649154589371983,103
27909,0.0193423597678916,166
63546,-0.0460829493087557,0
49154,0.0062159076493719,380
19350,0.0349094122845781,100
49429,-0.1183980545634166,161
61313,-0.0457586299170458,36
30737,-0.0140093395597065,232
12008,0.2522836015658982,423
31500,-0.0116845180136319,100
33209,-0.132142857142857,149
50788,-0.0280348638691706,53
77462,0.035896642426118,161
62228,-0.025679758308157,18
59010,-0.0330474268415742,103
21055,-0.0207131232430833,303
83233,-0.0630520117762512,426
32678,0.0261461318051574,20
27828,0.0130421595389749,151
