firms,mom1,clusters
54594,0.0148367952522254,408
11624,-0.1732283464566929,10
11790,-0.0151515151515151,360
12320,-0.1331058020477815,223
13056,-0.0574468085106383,15
50091,0.0748898678414096,474
14286,0.0535714285714286,0
14526,-0.1645569620253164,356
11581,0.0745614035087718,176
15748,0.0227272727272727,422
16126,0.1374999999999999,220
17137,-0.1767676767676768,419
85885,0.0,635
85914,-0.0569514237855945,0
55044,0.0289017341040462,0
18092,-0.0171821305841924,450
18244,0.295774647887324,85
67176,-0.089655172413793,126
20336,0.0349999999999999,441
20670,0.4814814814814814,0
64899,-0.0341880341880341,307
22905,-0.1752136752136752,0
23115,-0.130801687763713,21
47175,-0.08994708994709,38
23660,-0.1988304093567251,40
23975,-0.0888888888888889,388
24548,0.2166666666666665,25
30680,-0.071969696969697,388
56274,-0.0415647921760391,7
64565,-0.1342281879194631,655
27642,-0.15,682
28215,-0.0263157894736841,9
87207,0.0352941176470589,787
63554,-0.0720461095100865,298
55589,0.0,0
30593,0.1764705882352941,0
31318,-0.1063829787234043,246
54391,-0.09255079006772,401
32046,-0.0202020202020202,778
32054,0.0491803278688525,511
47511,-0.0405405405405405,321
33188,-0.05,266
33815,-0.1139240506329114,630
23552,-0.0095238095238094,253
60628,-0.0516759776536313,533
57330,-0.0060606060606061,132
37875,-0.133093525179856,149
20765,-0.1828978622327791,300
17144,0.0113207547169811,590
39328,-0.2222222222222222,743
26657,0.0162748643761301,537
40540,0.0885416666666667,208
22250,-0.0571428571428571,287
64979,-0.2672413793103448,272
41452,-0.1460674157303371,10
62287,-0.0774647887323943,253
44821,-0.03,458
53129,-0.0294117647058823,513
89181,-0.0909090909090909,0
46843,-0.23828125,589
47141,0.0683229813664596,176
48550,0.2307692307692308,0
48697,0.0,246
61145,-0.1428571428571429,360
49585,-0.1149825783972126,21
64020,-0.0970464135021097,0
11198,0.0133928571428572,0
51423,0.0,182
67328,-0.0730994152046783,238
67002,-0.0316742081447963,708
52090,-0.0321361058601133,41
53613,0.2150101419878296,0
54114,-0.1023809523809523,141
55160,0.0309734513274335,391
55862,0.0138888888888888,0
56363,-0.0838323353293413,219
52337,-0.0278745644599303,7
51377,0.1475826972010179,595
22066,-0.0938053097345132,40
57665,-0.1009615384615384,40
67010,0.0666666666666666,540
25232,-0.0235756385068762,409
34948,-0.1328320802005013,223
35107,-0.0548780487804878,149
61621,0.0489977728285078,727
51692,-0.42,469
63344,0.1413043478260869,43
43692,-0.0352112676056337,768
65307,-0.0897435897435897,21
66852,0.0810810810810811,147
46922,-0.1268436578171091,0
67193,0.0301369863013698,159
64477,0.0625,0
67679,-0.1415094339622641,641
67732,-0.1933701657458563,266
68233,-0.0526315789473684,137
77354,-0.1120448179271709,573
69199,-0.0711974110032362,149
69682,-0.0317796610169491,138
70288,-0.0462962962962962,191
71002,-0.34375,0
72128,-0.0467289719626168,0
72486,0.03125,392
72710,-0.2095588235294118,141
27764,-0.047945205479452,419
44951,-0.0054794520547944,493
76022,-0.0999999999999999,419
74500,0.1147540983606556,0
60353,-0.1034482758620689,582
74740,0.0,212
40061,0.0493096646942801,157
75417,-0.0270270270270269,192
40694,-0.0921985815602837,408
76129,0.0284974093264249,64
48709,-0.1134020618556701,0
65306,-0.0936329588014981,419
61698,-0.1083333333333332,621
92874,0.0620689655172412,422
81294,-0.0462287104622871,473
19502,-0.1810154525386313,83
81614,-0.2071428571428571,56
82449,-0.0666666666666666,0
51086,-0.0229591836734693,328
83601,0.0256410256410255,15
83919,-0.0588235294117647,0
62042,0.1132075471698113,11
10012,-0.0434782608695651,577
88867,-0.0456431535269709,47
21785,0.1666666666666667,575
65067,-0.125,0
10044,0.0108695652173913,121
69032,-0.0491689750692521,599
10104,-0.0410509031198685,413
10216,-0.053156146179402,0
39416,-0.081081081081081,212
75510,0.161807580174927,143
10800,-0.131578947368421,5
89659,-0.09375,473
10972,0.0344827586206897,52
11353,-0.0069930069930069,243
75033,0.0657276995305164,0
75094,-0.2013093289689034,0
75174,-0.1096491228070175,376
75557,0.0384615384615385,287
11694,-0.1481481481481481,512
11614,-0.2007434944237918,398
11757,-0.0365853658536585,104
75110,-0.0192307692307692,191
11956,-0.15,670
11952,0.0,0
10114,0.036697247706422,0
12099,-0.0485436893203883,396
11106,-0.1044776119402984,808
11794,-0.0689655172413793,0
12211,-0.0927152317880795,118
12171,-0.2199999999999999,0
75434,-0.1271186440677966,42
80297,0.0787589498806682,0
75625,0.3937823834196892,6
75657,-0.0416666666666666,246
75976,-0.018348623853211,392
75857,0.2143549951503394,0
75993,-0.0606060606060605,248
77488,-0.1904761904761904,392
76526,-0.2666666666666667,271
77820,-0.0212765957446808,217
76400,-0.109375,210
76096,-0.0062499999999999,77
76138,-0.0858085808580858,116
81480,-0.1999999999999999,337
76276,0.2173913043478261,759
76410,-0.0806451612903226,82
76858,1.210526315789474,0
76279,0.0,148
76568,-0.0466926070038909,269
76990,-0.3846153846153846,0
76605,-0.0354430379746835,469
76613,-0.0084033613445377,142
76623,-0.0151515151515151,264
76988,0.2068965517241379,371
76752,0.1502347417840375,450
76772,-0.0961538461538461,35
76774,-0.0507246376811594,257
76797,0.0054054054054053,481
77163,-0.0157232704402515,0
77478,-0.1489361702127659,0
79580,0.0198412698412697,0
77637,0.1071428571428572,16
77667,0.0691244239631336,21
77669,-0.1488095238095238,174
77989,-0.037037037037037,176
77803,-0.0098039215686274,21
79094,0.0653789004457652,0
79305,0.0050251256281406,535
79562,0.1212121212121211,268
79505,-0.024390243902439,538
87055,0.0,662
79866,-0.0596026490066224,331
79931,-0.6666666666666667,0
79950,-0.1981132075471697,696
80032,0.0347003154574132,262
80006,0.0267857142857141,310
80393,-0.0952380952380952,785
80357,0.102880658436214,212
80465,-0.1666666666666666,0
80599,0.0,472
80553,0.2698412698412697,633
80540,0.2727272727272727,626
80659,-0.0509554140127388,301
80763,0.0463576158940397,797
80803,-0.2666666666666667,0
80667,-0.0571428571428571,0
81011,0.9047619047619048,0
80975,0.2058823529411764,0
81078,0.0303030303030302,769
81181,-0.3809523809523809,0
81300,-0.0087719298245614,463
81655,-0.2836676217765043,659
81755,-0.0136986301369863,796
81605,0.0270270270270269,0
50906,-0.1671348314606742,329
80071,-0.0285714285714285,316
10568,0.0370370370370369,600
11157,0.125,457
50032,-0.0364321608040201,426
68814,-0.0709219858156028,0
47730,-0.1730337078651685,388
12627,-0.1724137931034483,0
13777,-0.0517241379310344,584
78120,-0.2835365853658537,0
38746,-0.0588235294117647,264
60871,0.1942028985507247,499
14198,-0.021897810218978,225
45583,-0.0341463414634146,15
14702,-0.0121633362293657,499
15537,-0.0425531914893616,137
68830,0.0756302521008402,0
85631,-0.1320754716981131,199
49373,0.0183066361556063,300
18570,-0.0369276218611521,298
18973,-0.1428571428571429,96
19271,-0.0406976744186046,376
29938,-0.0263736263736263,32
10866,-0.128526645768025,281
20248,-0.0352504638218923,138
25320,0.0042613636363635,590
21726,-0.2181818181818181,388
21742,-0.1300813008130081,426
11267,0.0696517412935322,96
22825,-0.0117647058823529,212
65533,0.2014652014652014,32
80416,-0.0230769230769231,365
24572,-0.0283018867924528,84
24951,-0.0426829268292683,330
25217,-0.1489361702127659,388
69307,-0.2142857142857143,255
26201,-0.4807017543859649,0
65541,0.1712538226299693,114
27562,-0.1322314049586777,541
27677,0.0,717
27909,-0.1049382716049383,65
28311,0.423728813559322,0
10731,0.0555555555555555,636
63546,0.0182926829268292,112
49154,-0.106280193236715,83
19350,0.0196721311475409,774
76769,0.0,369
61313,-0.2090680100755667,298
12008,-0.3494764397905759,0
31500,-0.1238779174147217,346
33209,0.1677215189873417,0
50788,0.0607287449392712,89
33690,-0.1445086705202312,440
34121,-0.1790123456790123,39
34287,-0.044334975369458,169
77462,-0.1035322777101096,38
46295,-0.116531165311653,573
37058,0.0552147239263802,209
26382,0.032761310452418,408
62228,-0.036144578313253,153
40838,-0.0565275908479138,576
21055,-0.0104166666666666,661
38608,0.0204081632653061,285
47888,-0.1506493506493507,516
62367,-0.0217391304347825,345
39765,0.1843575418994414,627
32678,-0.0512129380053908,549
23077,-0.0092838196286472,202
41663,0.0,509
27828,0.0065671641791045,48
32803,-0.0543933054393305,474
66181,-0.0362389813907932,715
32870,0.0206022187004755,298
66587,-0.1842105263157895,282
42922,-0.088235294117647,338
12503,0.095774647887324,109
45744,-0.0204081632653061,258
46149,-0.109717868338558,47
46237,-0.2241379310344827,33
33267,0.0769230769230768,74
47133,-0.4241071428571429,496
57437,0.0523415977961432,238
47571,-0.0235294117647059,257
50374,-0.2142857142857143,52
16678,-0.1252955082742316,20
48291,-0.0545454545454545,0
48347,-0.1023017902813299,404
26294,-0.0654545454545454,300
53612,-0.087114337568058,298
61399,-0.1421800947867298,625
51960,-0.1490384615384615,0
13100,0.0096930533117931,7
51984,0.0,361
27617,-0.3543307086614173,52
64637,-0.0434782608695651,52
60097,0.085429314830876,48
55191,0.1034482758620689,23
68582,-0.0251798561151078,442
47773,-0.1066499372647428,281
56339,0.1386861313868612,62
56777,-0.0327868852459016,9
57745,-0.1851851851851852,279
57809,-0.1451086956521738,21
57817,-0.099403578528827,533
57884,-0.3076923076923077,170
79611,0.097938144329897,558
58473,-0.1351351351351351,259
53639,-0.1824817518248175,43
59185,-0.0769230769230768,388
45313,-0.0817307692307692,193
59767,0.0696864111498258,0
60055,-0.125,0
35051,-0.0563798219584569,223
90924,-0.1951219512195121,153
79105,-0.202020202020202,59
18403,-0.1714285714285713,7
35238,-0.1278195488721805,361
13936,0.0,272
49971,-0.0146788990825688,190
63686,-0.0462427745664739,691
63715,-0.0285714285714285,246
42307,-0.014218009478673,238
65270,0.0,0
62033,0.0526315789473683,474
67177,0.0303030303030302,96
68065,-0.0144927536231883,461
41320,0.1979695431472081,0
39773,0.0144927536231884,461
50948,0.1323232323232324,0
70376,-0.1052631578947368,0
70923,-0.0248962655601659,282
42585,-0.0490956072351421,15
72005,-0.0491452991452991,391
72961,-0.1845493562231759,285
73796,-0.1296296296296296,350
75951,-0.1875,0
76081,-0.0889830508474576,96
60580,0.0352112676056337,11
61065,-0.15,7
50278,-0.0480769230769231,302
79338,0.0612244897959184,54
66368,0.0842105263157895,664
37807,-0.0068376068376068,223
80654,-0.0347222222222222,132
59627,-0.0676691729323308,287
81190,0.023936170212766,446
55976,0.0488165680473373,795
51932,-0.1208226221079691,408
82924,-0.037037037037037,89
82991,-0.0333333333333333,697
83011,0.0417362270450751,83
15456,-0.3125,317
79672,-0.1328125,300
40539,-0.1266540642722117,83
89245,-0.1999999999999999,212
34228,0.0406504065040651,550
10025,0.0476190476190476,193
90609,-0.0800970873786407,566
87864,-0.0727272727272727,246
69411,0.0289855072463767,553
10089,0.0068493150684931,784
10182,0.0206540447504302,0
10256,0.0178571428571427,0
10259,0.1180124223602483,296
10423,-0.0163934426229508,0
10501,-0.1749049429657795,457
77420,-0.1773049645390071,126
10514,-0.0351758793969849,437
10622,0.069767441860465,52
10667,-0.0058139534883721,198
10658,0.0,81
10645,-0.3398058252427184,256
10709,0.0,29
75232,0.1117241379310345,138
10761,-0.0476190476190476,121
75527,-0.3065326633165829,76
10942,0.032258064516129,0
11132,0.1499999999999999,31
71837,0.0,376
11154,-0.151111111111111,389
10325,-0.024390243902439,701
11343,-0.1666666666666666,419
71685,0.045643153526971,678
11342,-0.0625,767
11381,-0.2433862433862433,0
11382,-0.2690217391304348,693
11379,-0.2413793103448276,0
11426,-0.6744186046511628,0
11278,-0.0853658536585365,29
75055,-0.0103092783505154,3
11484,-0.1293103448275862,0
75066,-0.0123456790123457,587
10790,-0.1541218637992831,415
11174,0.013157894736842,0
80039,-0.1129807692307692,428
75100,0.0633540372670806,401
75172,0.0208333333333332,0
86677,-0.25,490
80731,0.0108695652173913,0
75563,0.0666666666666666,80
11663,-0.0916666666666666,212
11805,-0.0714285714285714,399
11081,0.1941896024464831,618
75621,-0.1566265060240963,182
75696,0.6129032258064515,0
75489,-0.2467532467532467,171
75655,-0.3,755
76008,-0.073394495412844,259
11839,0.2702702702702702,276
12106,-0.0153846153846153,276
80220,0.0291970802919707,0
76959,-0.0625,39
75905,-0.1320754716981131,271
76052,0.3529411764705883,436
76361,-0.03,0
76362,-0.011111111111111,703
76076,0.0915492957746479,811
76462,-0.2249999999999999,0
76322,0.171875,423
76937,0.0909090909090908,536
76671,-0.1368078175895765,167
77990,-0.0515463917525773,67
76217,-0.3645833333333333,437
80063,-0.1521739130434782,505
56354,-0.0476190476190476,345
76860,-0.6192842942345924,0
77007,-0.0904761904761904,0
76734,0.1115384615384615,245
76839,-0.0821917808219178,376
76847,-0.0795454545454545,35
77077,-0.2451298701298701,90
77045,-0.5653266331658291,498
77025,0.1666666666666667,221
77040,0.0333333333333334,0
77082,-0.2352941176470588,0
77208,-0.0736842105263158,0
77268,-0.2142857142857143,293
77338,0.0232142857142856,262
77403,0.2317073170731707,753
