firms,clusters,mom1
54594,28,-0.0148148148148148
10154,19,0.0384615384615385
11790,60,0.0140845070422535
12117,56,-0.1710484210526315
12320,37,0.0133333333333334
13056,76,0.0165289256198346
13283,10,0.0260869565217392
50091,37,0.0140350877192982
14286,73,-0.1666666666666666
11581,25,0.1324786324786324
15203,22,-0.0833333333333333
15828,10,0.0789473684210526
16126,80,0.0
17137,20,-0.01
85885,33,-0.0714285714285714
85914,1,0.0384615384615385
38471,3,-0.0232558139534884
55044,58,0.0
18092,28,0.0573770491803278
18244,67,0.1111111111111111
55108,61,-0.0404040404040404
20336,75,-0.0277777777777777
20670,44,0.1599999999999999
20897,13,-0.0865384615384615
64899,63,0.0852272727272727
22905,1,0.0
47175,59,-0.0675675675675675
23660,28,0.0066666666666665
23975,28,-0.0054054054054053
24548,19,0.3932584269662922
30680,58,-0.0044052863436123
53401,37,-0.0784313725490196
25583,17,0.0757575757575756
56274,28,0.0066225165562914
48637,15,-0.1521739130434782
36150,28,-0.0515463917525773
64565,76,-0.0112359550561798
63554,76,-0.0619469026548672
55589,20,-0.0422535211267606
31318,23,0.2916666666666667
31536,25,-0.1153846153846154
54391,37,-0.0051020408163264
31983,1,-0.1333333333333333
32046,10,-0.3300492610837439
32054,77,-0.0878378378378378
47511,76,0.0196078431372548
33188,20,-0.0208333333333333
48143,76,-0.0080321285140562
34041,59,-0.0806451612903226
53866,28,0.0
23552,18,0.0
60628,28,0.0629629629629628
63597,23,-0.12
57330,22,0.0135135135135135
37875,76,-0.0283687943262411
20765,76,0.021505376344086
66923,37,-0.0075187969924812
17144,20,-0.0119617224880382
88357,28,0.1890243902439023
38907,58,0.175
32205,28,0.0204918032786884
39328,60,0.0169491525423728
26657,23,0.0179372197309417
40540,33,0.2105263157894736
22250,37,0.0612244897959184
64979,76,-0.1330049261083743
41452,28,-0.0119047619047618
50382,9,0.0161290322580645
52716,20,-0.0042016806722688
42586,29,-0.1052631578947368
62287,76,-0.0267857142857143
44821,28,0.125
45103,28,0.0059523809523809
53129,23,-0.0163934426229508
76745,18,0.0263157894736842
89181,63,-0.0166666666666667
46843,60,0.0181159420289855
47141,20,0.0
47563,58,0.3157894736842106
89392,26,-0.0925373134328357
33478,59,0.0
61145,76,0.0535714285714286
50462,25,-0.0618556701030927
49585,20,-0.0761904761904761
64020,76,0.0063291139240506
11198,41,0.509433962264151
59926,28,0.0
51423,28,0.008
67328,28,-0.0481283422459892
45022,37,-0.0078125
67002,28,-0.12
52090,76,-0.0166666666666667
59942,59,-0.024793388429752
53613,5,0.2324649298597194
54114,37,0.09375
55213,76,-0.160427807486631
64442,22,-0.0588235294117647
55862,70,0.1290322580645162
65373,22,-0.141025641025641
56363,25,0.0098039215686274
52337,66,0.0491803278688525
51377,57,0.0462962962962962
22066,28,-0.0169491525423728
57665,59,0.0248962655601658
67010,70,-0.0555555555555555
25232,28,-0.0591397849462365
34948,80,-0.0068965517241379
35107,21,-0.5075593952483801
58675,60,0.0227272727272727
61621,58,0.1006711409395972
45823,75,0.0
51692,28,-0.0512820512820513
40571,76,-0.0303030303030302
65058,26,-0.0292207792207792
65307,28,-0.0303030303030302
79733,24,0.0
66852,23,0.0350877192982457
46922,59,-0.0132158590308369
67193,59,0.0022831050228311
67679,22,0.0352941176470589
67732,22,-0.0789473684210526
91679,6,0.0068965517241379
69199,60,-0.0619469026548672
69682,67,0.0161290322580645
70288,10,0.0769230769230768
38850,60,0.0522388059701492
71002,68,0.0256410256410255
25283,76,0.0212765957446807
72128,66,0.2608695652173913
72486,66,-0.0890410958904109
72603,1,0.1724137931034481
72710,59,0.1658986175115206
27764,20,0.0224719101123596
44951,60,-0.0365853658536585
76022,37,-0.0851063829787234
74500,44,-0.0833333333333333
60353,1,-0.0116279069767442
74561,22,-0.0689655172413793
65752,1,0.2352941176470588
74975,18,-0.0097087378640776
40061,10,-0.0519480519480519
75417,7,-0.1071428571428571
75433,9,0.1504424778761062
40694,25,0.1189801699716714
37640,20,-0.0914634146341463
76129,40,-0.4759493670886076
48709,20,-0.1290322580645161
92524,1,0.0909090909090908
47183,37,0.0175438596491228
65306,20,0.0277777777777776
37612,75,0.1333333333333333
65103,15,-0.081081081081081
47917,28,0.0
80013,26,0.0
61698,20,0.0117647058823529
92874,78,0.6296296296296295
81294,60,-0.0171428571428571
19502,28,-0.5265700483091788
81614,41,-0.0294117647058823
81702,20,0.0568181818181818
64506,55,-0.1818181818181817
82449,22,-0.0588235294117647
51086,37,-0.0294117647058823
53671,23,0.0
83601,76,-0.0419161676646706
83687,70,0.0248756218905472
83919,60,0.0909090909090908
88381,23,0.078125
62042,37,0.146067415730337
88445,18,0.0573248407643312
88867,42,0.3010752688172042
65067,47,-0.0689655172413793
10048,76,0.1126760563380282
10175,17,0.0
10281,15,0.04
10361,29,-0.1666666666666666
39416,70,-0.0425531914893616
10434,1,-0.125
70148,37,-0.1008403361344537
75510,70,-0.1740890688259109
10800,1,0.0256410256410255
10914,76,-0.0227272727272727
10972,67,0.0
11124,43,0.1506849315068492
11020,59,0.0136986301369863
10087,20,0.058139534883721
11136,33,0.2307692307692308
11353,20,-0.04
75033,7,0.0
75068,47,-0.0331491712707182
75094,70,-0.15
11596,46,0.3863709090909091
75174,58,-0.1283783783783784
75557,22,0.2244897959183673
11694,33,0.1162790697674418
11727,1,0.0
76270,41,0.0188679245283018
11757,50,-0.2647702407002188
75110,77,0.375
10114,6,0.063157894736842
12099,28,0.0470588235294118
75335,28,0.0222222222222221
11106,80,0.0129870129870128
12041,33,0.0388349514563106
12006,28,-0.0672514619883041
12122,2,0.0555555555555555
12211,37,0.0454545454545454
75434,32,0.2260869565217391
75625,1,0.0
75657,20,-0.03125
75857,28,-0.0240549828178694
76096,70,0.0783410138248847
76138,20,-0.1044776119402984
76420,1,-0.2903225806451612
76279,1,0.2857142857142858
76568,26,-0.3223140495867769
76605,20,0.0336538461538462
76613,21,-0.1077844311377245
76623,22,-0.0656934306569343
76715,35,-0.1071428571428571
76714,28,0.0256410256410255
76738,1,-0.0869565217391304
76739,1,0.411764705882353
76752,59,0.0355555555555555
10074,20,-0.0888888888888889
50906,58,0.0
10568,75,0.0
10998,44,0.2115384615384614
11181,59,-0.0252100840336134
50032,20,0.0759493670886075
69171,73,0.1999999999999999
68814,22,0.2236842105263157
47730,28,0.03
13232,66,0.0117647058823529
13777,75,0.2608695652173913
44652,20,0.0
38746,37,0.0727272727272727
60871,10,-0.0415224913494809
14198,28,0.0
14331,34,0.1076923076923077
45583,76,-0.0099009900990099
14702,50,0.0048309178743961
15537,76,-0.0681818181818182
85631,58,0.0193370165745856
16185,18,-0.0294117647058823
17057,9,0.1486486486486486
17903,28,0.0666666666666666
49373,76,0.04
18570,76,-0.0833333333333333
47642,37,-0.0136054421768707
18973,10,0.0227670753064799
19271,76,-0.0454545454545454
29938,22,0.081180811808118
10866,20,-0.2663316582914573
20002,13,-0.0357142857142857
20240,1,0.0298507462686568
20248,28,-0.0747126436781608
25320,37,-0.0213903743315507
21726,20,-0.0461538461538461
21742,28,0.0
11267,1,-0.0793650793650794
22825,9,0.5909090909090908
26841,37,-0.037037037037037
65533,20,0.1008403361344538
24572,22,-0.1578947368421053
24951,10,0.0253164556962024
25049,9,0.0071942446043165
25217,76,0.0592105263157893
25487,23,0.1327800829875518
69307,24,0.3
65541,13,0.1818181818181818
27562,20,-0.0297619047619047
31026,55,-0.03125
27800,2,-0.1136363636363636
27909,76,0.1944444444444444
28207,1,-0.3
28311,33,0.2272727272727273
28522,37,-0.0306122448979592
10731,17,0.0985915492957747
59707,1,0.25
63546,75,0.0593220338983051
29023,57,0.0186915887850467
49154,37,-0.0330578512396694
19350,59,-0.0472878998609179
76769,47,-0.1208791208791209
49429,76,-0.0040322580645161
61313,20,-0.0514018691588784
19254,28,0.0434782608695651
56960,20,-0.109375
12008,6,0.1568627450980393
31500,76,0.2338709677419355
87581,27,0.06
32839,20,0.0571428571428571
33209,61,0.0740740740740741
50788,70,0.1711229946524064
33690,66,0.1
34121,28,0.0
34287,62,-0.0285714285714285
44708,15,-0.0338983050847457
58405,58,0.0491803278688525
46295,76,-0.0484848484848484
37058,25,0.2307692307692308
46164,28,-0.0064516129032258
26382,28,0.0353982300884956
37103,28,-0.0179640718562874
31974,23,0.0128205128205127
62228,15,-0.0746268656716417
60935,59,-0.050314465408805
40838,28,-0.0749999999999999
19174,36,-0.0196078431372549
21055,22,-0.1142857142857143
38608,60,0.2105263157894736
59547,37,-0.1075268817204301
47888,28,-0.0283687943262411
62367,76,0.0638297872340425
39670,28,-0.003003003003003
49189,70,0.0357142857142858
40628,22,0.5490196078431373
40644,32,-0.0217391304347825
39765,76,-0.0843373493975904
23077,37,-0.0230547550432276
27828,37,0.0272873194221507
32803,20,0.0
66181,60,-0.0909090909090909
32870,37,-0.0203045685279187
42366,55,-0.2777777777777778
32926,76,-0.0424528301886792
66587,59,0.2196531791907514
42922,22,0.4137931034482758
43474,19,0.6590909090909092
44389,26,0.1578947368421053
12503,13,-0.1544715447154471
45560,70,-0.137546468401487
45744,6,0.0303030303030302
46149,21,0.0206896551724138
46237,20,-0.1034482758620689
33267,2,0.1111111111111111
47133,28,0.25
57437,20,0.0769230769230768
47571,1,0.3513513513513513
53495,78,0.0933333333333332
50374,9,-0.0104166666666666
48291,40,0.0224719101123596
48347,76,0.0506912442396312
64282,76,-0.0920245398773006
26294,20,0.0064935064935065
53612,37,0.0102389078498292
61399,58,-0.0983050847457627
50519,46,-0.0344827586206896
66253,58,0.1052631578947369
51960,20,0.078125
13100,76,-0.0230547550432276
51984,58,-0.0153846153846153
27617,15,-0.1333333333333333
60097,18,0.149390243902439
22891,28,-0.0160857908847185
53050,35,0.0769230769230768
60548,76,0.0370370370370369
53189,59,0.0444444444444445
55191,20,0.0588235294117647
68582,76,-0.089108910891089
47773,76,0.0088105726872247
56339,59,-0.029585798816568
56777,15,0.1724137931034481
34665,22,0.05
57809,37,0.0224215246636771
57817,37,0.0248447204968944
57884,25,0.02
58473,9,0.0238095238095237
53639,58,0.0
59185,20,0.0161290322580645
45313,28,0.0416666666666667
59767,59,0.1411764705882352
60055,63,0.3246753246753247
60346,37,-0.0892857142857143
60679,18,-0.079155672823219
35051,37,-0.0437158469945355
75310,22,-0.2756756756756756
18403,76,-0.0645994832041343
61460,75,0.3333333333333332
35238,37,-0.0222222222222222
62384,76,-0.079646017699115
13936,22,-0.0634920634920634
64338,15,0.125
49971,20,0.0251572327044025
63686,6,0.063063063063063
43748,80,0.0476190476190476
64697,76,0.0285714285714284
42307,28,-0.0304568527918781
62033,37,-0.0256410256410256
75793,22,-0.0686274509803921
67177,28,0.0517241379310344
25312,28,0.0508474576271187
91556,75,0.3128205128205128
62682,37,0.1165644171779141
68065,22,0.0428571428571429
41320,59,0.2173913043478261
39773,20,0.0476190476190476
50948,77,0.3333333333333332
70376,20,-0.03125
70421,1,-0.0625
70923,58,-0.0273224043715847
42585,76,-0.04
72961,60,-0.1639344262295081
73083,80,-0.0266666666666666
73796,22,0.2166666666666665
74230,28,0.0630252100840336
75345,47,0.3043478260869565
53751,22,0.0
62447,32,0.261111111111111
75951,70,0.5652173913043479
76081,76,-0.0397350993377483
48573,3,-0.0192307692307692
60580,28,0.0436681222707424
63036,15,0.6111111111111112
61065,20,-0.0669642857142857
76743,58,0.0232558139534884
50278,76,0.0666666666666666
79338,1,0.183673469387755
46260,70,0.0169491525423728
66368,22,-0.0309278350515463
79840,2,0.0065810526315788
37807,37,0.0094637223974762
80179,37,0.0
80347,37,0.0833333333333332
80654,20,-0.2063492063492064
80857,29,0.0178571428571427
59627,18,0.0857142857142856
81190,10,0.2350427350427351
55976,76,-0.07981220657277
51932,10,-0.0107066381156316
44783,28,-0.1521739130434782
82924,76,0.0342465753424656
83011,15,-0.0714285714285714
15456,20,-0.144
40539,22,-0.1452991452991453
89245,76,0.024390243902439
91572,70,-0.1196581196581196
91636,28,0.0593220338983051
34228,62,0.0689655172413792
91994,46,0.0
10025,59,0.0574712643678161
86511,44,0.0382978723404254
90609,2,-0.0068965517241379
69411,20,-0.0172413793103448
67467,59,-0.0112359550561798
10089,32,-0.0055555555555555
10136,76,-0.0379746835443037
10182,2,-0.1363636363636363
10222,55,-0.2307692307692307
10248,1,0.5
10247,1,0.2105263157894736
10256,3,0.4782608695652173
10259,22,-0.25
10282,55,-0.125
75500,37,0.0882352941176469
10501,9,-0.0909090909090909
10185,23,-0.0263157894736841
10514,1,-0.3333333333333333
10515,76,-0.0377358490566037
10531,15,0.15625
10178,22,0.0731707317073171
10622,63,-0.0526315789473684
10633,73,-0.0909090909090909
10645,6,-0.0555555555555555
10709,30,-0.0564118048626791
75232,22,0.1300813008130081
10761,1,0.0434782608695651
10706,6,0.3913043478260869
11747,22,-0.25
76563,20,-0.0303030303030302
10199,76,0.1194029850746267
10870,6,0.4166666666666667
75528,70,-0.2060301507537688
10984,67,-0.0799999999999999
11103,26,0.4185393258426966
71837,22,0.0298507462686568
11154,21,0.0067447482014388
10325,1,-0.0955414012738853
11343,20,0.010752688172043
71685,27,0.1804123711340206
11344,55,1.5
11382,70,-0.22992700729927
11379,22,-0.0675675675675675
11278,62,0.08
75055,1,-0.1333333333333333
11484,73,-0.1047619047619047
11480,55,0.4499999999999999
75066,37,0.024390243902439
10790,9,0.0285714285714284
75100,28,0.1176470588235294
11651,1,0.0212765957446807
75172,1,0.4750000000000001
75563,63,0.0
75179,37,-0.024390243902439
11959,34,0.0857142857142856
11928,28,0.0403225806451612
11081,44,0.1846153846153846
75700,19,-0.282051282051282
75621,23,0.1353383458646617
75659,1,0.032258064516129
75615,22,0.2297297297297298
79410,28,0.0104166666666667
75614,9,0.1770833333333332
75655,20,-0.2112676056338028
75905,55,0.8
76052,75,0.0416666666666667
76075,75,0.0420168067226891
76076,47,0.1771300448430492
76106,46,0.2592592592592593
76251,17,0.0566037735849056
76217,73,0.0238095238095237
76498,55,-0.06
56354,20,-0.0204081632653061
76607,1,-0.4311926605504587
76673,22,-0.1408450704225352
76747,23,-0.0099009900990099
65832,76,0.1351351351351351
66413,10,0.1016949152542372
21020,18,-0.06
85041,20,-0.1382113821138211
62500,59,0.1388888888888888
10496,1,-0.1666666666666666
27991,58,0.0205128205128204
10517,63,-0.0205479452054794
20482,18,-0.03125
10656,37,0.0695652173913043
10123,19,0.063063063063063
10057,70,-0.0660377358490565
63837,26,-0.043010752688172
60038,20,-0.0175438596491228
10752,6,-0.1401869158878504
61487,67,-0.1384615384615384
10875,38,0.1106557377049179
61241,59,0.0344827586206897
11042,45,0.1276150627615062
61081,28,-0.0945273631840796
28222,37,-0.0424107142857143
51721,76,-0.0467836257309941
28804,9,0.0129870129870128
11587,37,0.0496894409937889
49584,36,-0.0277777777777777
42083,28,-0.0578512396694215
48514,25,-0.010752688172043
63845,37,0.0054347826086955
11691,76,-0.0520833333333333
44740,59,-0.0809859154929577
11851,67,0.1585365853658535
26331,70,0.0058139534883721
10145,76,-0.0508021390374331
41443,20,0.0710900473933648
45911,5,0.0703125
12205,21,0.0
24643,20,0.0021929824561404
64856,76,-0.0821256038647343
28484,60,-0.0078534031413612
60046,66,-0.0817610062893081
39482,20,-0.0526315789473684
10225,37,0.0532915360501566
56119,20,-0.006578947368421
12758,1,-0.2653061224489795
24109,76,-0.0108695652173913
12811,17,0.0
12918,28,0.0
15667,18,-0.0253164556962025
65859,20,0.0594315245478036
13304,28,0.0149253731343284
29049,20,-0.0680100755667506
13603,10,0.0
46527,25,0.1702127659574468
65111,76,0.0444444444444445
