firms,clusters,mom1
54594,27,-0.0611888111888111
11624,57,0.3214285714285714
11790,36,0.1707317073170731
12117,37,0.05
12320,59,-0.0513447432762835
13056,34,0.0373134328358208
50091,28,0.025219298245614
14286,42,0.04
14526,23,0.023391812865497
11581,27,0.2080856123662307
15203,59,-0.0158730158730159
15748,1,-0.0845070422535211
15828,59,0.0873786407766989
17137,34,-0.0833333333333333
85885,15,0.1
85914,37,0.3125
38471,15,0.1470588235294117
55044,28,0.0145348837209302
18092,28,0.0407523510971787
18244,25,0.1282051282051282
20336,23,0.1228070175438595
20670,20,0.1691176470588236
64899,59,-0.059171597633136
22905,57,0.0434782608695651
23115,34,0.1403508771929824
47175,59,-0.0172413793103448
23660,28,0.0648854961832061
23975,59,0.0096385542168675
24548,30,0.1339285714285714
30680,34,-0.031496062992126
25583,15,-0.0263157894736841
56274,27,-0.0843694493783303
48637,45,0.0454545454545454
64565,28,-0.0443262411347518
27642,59,-0.0666666666666666
28215,27,-0.0416666666666666
87207,20,0.0270270270270269
63554,27,-0.0798969072164949
55589,37,0.0606060606060605
31318,75,0.05
31536,34,0.0
31668,75,0.0873786407766989
54391,27,-0.059171597633136
32046,28,-0.0649350649350649
32054,57,-0.03
47511,75,0.2253521126760562
33188,27,-0.0285714285714285
48143,45,-0.0596153846153846
34041,36,0.0625
23552,36,0.0309278350515462
60628,36,0.0290416263310744
57330,59,-0.1901140684410646
37875,59,0.0690072639225181
20765,38,-0.0815450643776823
66923,45,-0.0655737704918032
17144,34,-0.0705244122965641
32205,34,-0.031657355679702
39328,75,0.0
26657,36,-0.0865603644646925
40540,23,-0.119047619047619
22250,59,0.0247933884297519
64979,75,-0.101123595505618
41452,27,0.0564516129032257
52716,59,-0.0422343324250681
62287,59,-0.0058997050147492
44821,75,-0.1530612244897958
53129,28,-0.0486725663716813
89181,75,-0.0437499999999999
46843,36,0.0472440944881888
47141,25,-0.0772946859903381
89392,45,-0.0154798761609906
48697,42,-0.0303030303030302
61145,28,-0.0471014492753623
50462,28,-0.3243243243243243
49585,28,-0.0084033613445377
64020,75,0.0
11198,15,-0.0666666666666666
51423,36,-0.0074999999999999
45022,28,-0.0215716486902927
67002,36,0.0
52090,34,-0.0913461538461538
53613,31,-0.0824742268041237
54114,27,0.0428211586901763
55160,9,-0.0196078431372549
55213,59,0.0614250614250613
65373,20,-0.1739130434782608
56363,28,-0.0784615384615384
52337,28,-0.0897703549060542
51377,28,0.0873015873015872
22066,28,-0.1026615969581749
57665,23,-0.1477045908183633
67010,75,-0.0307692307692307
25232,28,-0.0749999999999999
34948,28,0.1004098360655738
35107,34,-0.016597510373444
58675,38,0.0095693779904306
61621,23,-0.1517027863777089
45823,45,0.108695652173913
63096,28,0.1579391891891892
65307,59,-0.0030674846625766
66852,45,0.0075187969924812
67193,28,-0.0543478260869565
67679,28,-0.0119047619047618
67732,59,-0.008
68233,27,-0.1073825503355704
77354,75,-0.0283687943262411
69199,36,-0.074074074074074
69682,31,0.0126582278481013
70288,59,0.032967032967033
38850,34,0.1375921375921376
71002,20,0.0
72128,28,-0.0389610389610389
72486,75,-0.0927835051546391
72603,75,0.2045454545454545
72710,36,-0.134090909090909
27764,59,-0.1244239631336405
73198,34,-0.0833333333333333
44951,28,-0.0308641975308642
76022,28,-0.0181818181818181
74500,49,0.0447761194029849
60353,59,0.2337662337662338
74561,20,0.0869565217391303
74740,34,-0.0512820512820513
65752,31,0.25
74975,75,0.3101265822784811
40061,28,-0.1002024291497976
75417,75,0.0188679245283018
75433,75,0.267605633802817
40694,75,0.0249999999999999
37640,45,-0.0833333333333333
76129,58,-0.0868571428571428
48709,59,0.0913461538461537
65306,59,0.0212765957446807
37612,31,0.0
65103,75,0.3333333333333332
80013,59,-0.006578947368421
61698,36,0.0057142857142857
92874,27,0.3500000000000001
81294,59,-0.5375
19502,28,-0.5232300884955752
81614,38,-0.0416666666666666
81702,36,0.1217948717948718
82449,57,-0.0333333333333333
51086,36,-0.0289855072463768
53671,36,-0.0588235294117647
83601,36,-0.0630914826498423
83687,6,0.0306603773584905
83919,75,0.26
88381,36,-0.0303030303030302
62042,59,0.0749999999999999
88445,45,0.0454545454545454
10012,75,0.1029411764705883
88867,75,0.015625
21785,23,0.0113636363636364
65067,79,0.0370370370370369
10044,80,0.0263157894736842
10048,75,0.1555555555555554
69032,23,-0.0822407628128725
10104,28,-0.2996555683122847
10216,70,-0.0188679245283018
39416,75,-0.02
75510,36,0.0535117056856186
10800,37,0.0
89659,28,0.1623931623931624
10972,75,-0.02
11124,59,0.0109890109890109
11020,45,0.108695652173913
10087,75,-0.0886075949367088
10847,18,-0.0434782608695651
11136,26,0.1818181818181818
11152,62,0.2105263157894736
11353,75,-0.0847457627118644
75033,59,0.0080645161290322
11450,28,0.1030640668523676
75094,27,-0.0245901639344262
11596,31,0.25
75174,34,-0.0186567164179104
75557,34,0.1525423728813559
11694,31,-0.1578947368421053
11614,23,-0.0680272108843537
11757,37,-0.1111111111111111
75110,20,-0.09375
11956,59,0.25
10011,15,-0.0056818181818182
10114,20,-0.0303030303030302
12099,75,0.0625
11106,36,-0.0136986301369863
11794,30,0.0
12138,65,0.0416666666666667
12006,25,-0.4865085854456255
12122,20,0.1090909090909091
12211,36,0.1366120218579234
12171,30,0.0
75434,36,0.0647482014388489
75625,37,-0.1070110701107011
75976,59,0.3076923076923077
75857,6,-0.4690966719492868
75993,9,-0.1357615894039735
77488,10,0.1294117647058823
76526,59,-0.0714285714285714
77820,23,-0.0157480314960629
76400,75,0.1999999999999999
76096,75,-0.1102941176470588
76138,40,-0.0104529616724738
76410,1,-0.0609756097560976
76420,20,0.75
76568,34,-0.0111731843575418
76990,1,-0.0909090909090909
77802,37,0.0
76605,45,-0.0152505446623093
76613,75,-0.0289017341040462
76988,31,-0.1363636363636363
76738,20,0.2153846153846152
76739,59,0.0088495575221239
76752,75,0.0757575757575756
76772,37,-0.03125
76774,28,0.0774647887323942
76797,31,0.0638297872340425
76846,57,-0.4076433121019108
77077,6,-0.0476190476190476
77094,37,0.3602305475504324
77163,36,0.0583333333333333
77382,58,0.0745762711864406
77478,70,0.074468085106383
77613,20,-0.3043478260869565
77637,59,-0.0613207547169811
77667,36,-0.0042016806722688
77669,26,0.0370370370370369
77676,6,0.1206896551724137
