,1990-02-01,1990-03-01,1990-04-01,1990-05-01,1990-06-01,1990-07-01,1990-08-01,1990-09-01,1990-10-01,1990-11-01,1990-12-01,1991-01-01,1991-02-01,1991-03-01,1991-04-01,1991-05-01,1991-06-01,1991-07-01,1991-08-01,1991-09-01,1991-10-01,1991-11-01,1991-12-01,1992-01-01,1992-02-01,1992-03-01,1992-04-01,1992-05-01,1992-06-01,1992-07-01,1992-08-01,1992-09-01,1992-10-01,1992-11-01,1992-12-01,1993-01-01,1993-02-01,1993-03-01,1993-04-01,1993-05-01,1993-06-01,1993-07-01,1993-08-01,1993-09-01,1993-10-01,1993-11-01,1993-12-01,1994-01-01,1994-02-01,1994-03-01,1994-04-01,1994-05-01,1994-06-01,1994-07-01,1994-08-01,1994-09-01,1994-10-01,1994-11-01,1994-12-01,1995-01-01,1995-02-01,1995-03-01,1995-04-01,1995-05-01,1995-06-01,1995-07-01,1995-08-01,1995-09-01,1995-10-01,1995-11-01,1995-12-01,1996-01-01,1996-02-01,1996-03-01,1996-04-01,1996-05-01,1996-06-01,1996-07-01,1996-08-01,1996-09-01,1996-10-01,1996-11-01,1996-12-01,1997-01-01,1997-02-01,1997-03-01,1997-04-01,1997-05-01,1997-06-01,1997-07-01,1997-08-01,1997-09-01,1997-10-01,1997-11-01,1997-12-01,1998-01-01,1998-02-01,1998-03-01,1998-04-01,1998-05-01,1998-06-01,1998-07-01,1998-08-01,1998-09-01,1998-10-01,1998-11-01,1998-12-01,1999-01-01,1999-02-01,1999-03-01,1999-04-01,1999-05-01,1999-06-01,1999-07-01,1999-08-01,1999-09-01,1999-10-01,1999-11-01,1999-12-01,2000-01-01,2000-02-01,2000-03-01,2000-04-01,2000-05-01,2000-06-01,2000-07-01,2000-08-01,2000-09-01,2000-10-01,2000-11-01,2000-12-01,2001-01-01,2001-02-01,2001-03-01,2001-04-01,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01
Agglomerative,0.05676125119003434,0.07526569932612363,-0.03539359973600019,0.06590729054074461,0.002064961738555357,-0.03524281267423831,-0.12823534187663363,-0.04837216843968333,-0.11332968530750313,0.0,0.018259280495642214,0.038784874543867184,0.12124112194333599,0.13788553675031612,0.02825416485858994,0.07472909881728128,-0.054545943807537495,0.044356814261357465,-0.03177215900033708,-0.006008751337370179,0.0010308447912272182,0.01436368670997178,0.12067451224196252,0.0,0.019179715237140866,0.03032832254479563,0.0,0.003325167252632215,-0.04050053711602816,0.0016653498126725473,-0.010195630120592627,0.024983450691255963,0.03792577081590146,0.07256358185371915,0.06808533204030266,0.0,-0.01964648939501122,0.08946022943056094,-0.0016222072474234893,-0.0030694050100496515,0.005687812891728008,0.020343224691704093,0.11670846310732357,0.013245095963224296,0.016519363060224508,-0.017169770503151504,0.03935824091925608,0.005615495264980085,0.0153228210040942,-0.051249308534557544,-0.0060886783193361705,0.009390363493637716,-0.011886605564322484,0.0372052750192017,0.050223251442615545,0.021724419559773257,0.03447613780322889,-0.037291843994410094,0.019757976539466007,0.017522832312533567,0.029952925970924957,0.03117098517002288,0.014349835364938857,0.011776071344905284,0.007488577551806756,0.03793669717291225,0.031912069963493994,-0.001659105992220787,-0.06708397778656998,0.05648840937834436,0.011391005217610238,-0.011582941578259476,0.009874486607267257,0.029362448220926495,0.03010462142428132,0.0830482762180652,0.004979314913091333,-0.07040634482746339,0.03844685418815075,0.013542052361473824,-0.006768175988246848,0.04648491876593057,0.04805110693816674,0.023872731945016535,0.012152488075147157,-0.06399653944290735,-0.016638032549139294,0.12375437514969727,0.030184417928780752,0.06477662269403514,0.041435010067853925,0.11962196408027072,-0.031113839604985677,-0.012449834323817074,-0.041168731779749,-0.011730285000386087,0.08145343788662279,0.05139529156813769,0.09995420677924707,-0.08809073395003471,0.01433891970045417,-0.07046201369841688,-0.17463739460536046,0.08564482700924711,0.09835025079878765,0.04486326339378695,0.08770385314950767,0.11154839815973583,-0.026523221073442946,-0.0381973750381036,0.11899925563656841,0.09346113727766613,0.10452591522966574,0.014108238259535793,-0.04399571871380435,-0.06280685597959133,0.04256515929874894,0.04796478676824049,0.04855265113051549,0.097587987773872,-0.024238068177536497,0.04331707164940718,-0.017947459495377405,0.02753730583574322,0.031812812318569264,-0.009184910678324332,0.061754069704297344,-0.003458958086848601,0.012051791243870862,-0.07146312622536895,0.04044618343125117,0.18675025081832064,-0.1157991402766966,-0.05507044543488836,0.06696651429794034,0.041636945500506665,0.0,0.032322705123288956,0.002765562415916695,-0.20129113214657796,0.10488951789158797,0.09439379403970095,0.06493461301713753,0.0,-0.02890614434689539,0.1294877801683239,0.029036443998497224,-0.017230160653606944,-0.04505582069734482,-0.07286221031473386,0.04676958827735884,-0.18558581944694869,0.11556842678118139,0.25908344779435194,-0.02780628485323707,0.0030905553120392456,0.0,0.005861676924553381,0.10971322872543986,0.23580698036540718,0.0797854450918415,0.04241425403096416,0.057358893804508405,-0.05461938379074625,0.037247227210763935,0.061683130212988824,0.030909652495448185,0.027871541389836413,0.00891425395868412,-0.029421678416071594,-0.02795255042440732,-0.00218707308505341,-0.013016591928521736,-0.012352724901459415,0.012962775245042168,0.02154037352774966,0.025804705895969216,0.12103056126466272,0.016819049815813083,0.0,-0.0011742890752708555,-0.19598936232830375,-0.041825516477245174,0.09991291492483542,0.05774081793274557,0.0513440951101473,-0.001094617390137288,0.016761401489328222,-0.02848641538994908,0.06668020720705993,-0.007868604317660116,0.09145975670017371,0.03514223017337066,0.05757096530166296,0.0316779447040176,-0.07236240757840925,0.0012700715135045251,0.0,0.012400065202543985,0.018212786948600745,0.055036263315771966,-0.012829126672255655,0.07144124598465085,0.06838783770232285,-0.0010850794116208438,-0.009593363562855374,0.030156018878914566,0.03417119053803627,-0.054877756321167155,0.0,0.0,0.026129654275654442,0.019816902961883823,-0.06961030489959605,0.004633577986895422,-0.07008464861943517,0.002383474561585676,0.013619141047589036,0.06697119582823315,0.03079232155832331,-0.1557756907085623,0.09825342187861102,0.08107519181735863,-0.20644447454839238,-0.16706051405812708,-0.21812261426373805,0.09579394009516864,-0.35767544427231596,-0.09914663027478668,0.1593453805429114,0.19501308323639754,0.16625140779639738,-0.005437981971781376,0.09761635033236096,0.0,0.07420613825101267,0.0,0.0,0.07225600863787254,0.15757248141494742,0.022259209236759836,0.012422519998557017,0.08025007832819996,-0.0741047586621991,0.047934027181980095,0.04996523576640913,-0.09549235373914662,0.1510695010520148,0.02693137066014562,0.0,0.0,0.0,-0.0634933252884897,-0.012891246855105207,0.009977129910518023,0.0,0.0008133394386414382,-0.023217277687585587,-0.04438207116741089,-0.10091837984708925,0.12141581970646843,0.035527608585980495,0.0,0.0,0.031010962190600885,0.12419805605309345,0.0,-0.10005856384007664,-0.01621060743677388,-0.04181262907165718,-0.039830080692296245,0.0,0.05672340226408631,0.0001175425497998321,0.06929828420966652,0.05322741513597752,0.010479928182055512,-0.003560389907395019,-0.00994208543110275,0.0,0.0,0.07251368315576814,0.0,0.12113036825890326,0.07351981399362505,0.0,0.03186913221495779,0.0,0.0453007871116071,0.04259757261940442,-0.021559323142666984,0.12945180832374245,0.04015926956113457,-0.027416613890228144,0.03727816124111306,-0.03366828015660593,0.09841491821228081,0.005344582821110536,0.0242469001545696,-0.06442745469469854,0.0532243825007062,-0.048287557446506896,-0.018866819325546017,0.0,-0.06596856931549135,-0.03267498786833671,-0.040129579655590324,0.0,0.17114263157410012,0.0,-0.03776932283483838,0.0,0.04118058572698187,0.0,0.0,0.017957961798373622,0.0,0.0,0.0,0.0,0.0209598416266723,0.0,-0.0019474701013196811,0.0,0.0,0.0,0.019349539866198202,0.008340846382428635,0.0,0.0,0.0,0.0,-0.04322608950650895,0.0,-0.020371566089583227,-0.015771817653896077,-0.044835621318798854,0.0,-0.005598634729135596,0.0665535557608591,0.04367235040839855,0.03993894832322505,0.0,-0.07705214479132438,0.0,0.0,0.0,0.17539306466447296,0.006700307799595061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022957183637926194,0.10983919350677979,-0.051109261826713805,0.0,0.0,0.0,0.0,-0.03019344772046779,0.0,0.0,0.0,0.0,0.05130492375283366,0.02346887160034891,-0.003350999600865368,-0.025883809071411107,-0.012672044504572827,-0.006024187033289613,-0.049992267088766966,0.05525217036908855,0.01611815885758545,0.0548791688358365,-0.10884160990481086,-0.011245310304565619,-0.003277744103706797,0.0,0.027246165787721148,0.0,0.0,0.014774714890113571
Contrastive_Learning,0.10706026646949347,-0.03297841604150736,-0.013272746398680448,0.01620551809117572,0.00730176426358759,0.040690057860211126,-0.12897186820732576,-0.05693888195811473,0.0036941939752273252,-0.6941476808935289,-0.016414704615931572,0.2805310423982781,0.1607450291326181,0.18669253042717512,0.043338204849279666,0.011760036718552972,-0.0016623913099541884,0.07300323139225261,0.20929213413162479,0.0052370752198882455,0.02838158818232251,-0.05243478196370549,-0.0011576061908876775,0.2962784709975267,0.09247483508239891,-0.01810494495441846,0.16712234109723118,0.02178354491065792,-0.03974849246575217,0.1399584442389928,0.024833137231025985,-0.0239590104394416,0.0537279015596106,0.10876535344241073,0.04667253297843933,-0.07508385740564365,-0.06716981176104576,0.02393383063041654,-0.03237463382838562,0.07318268625526476,-0.022233299931360775,0.0029095719550657983,-0.05143488164294676,0.0241478835314296,0.06104383089895861,0.06345903211220459,-0.003157606822875722,0.040678473140783336,0.016042690163249853,-0.03145937971705569,-0.0015083652353631652,-0.018376028449774602,-0.04463980103396951,0.05334019926495445,0.05377271936800326,0.04084304493267992,0.013849042303511333,-0.024985456535189618,-0.021635988031650163,0.07600127857040165,0.01472862373949022,-0.025862609229512338,0.04065709660381128,-0.00720473434214289,0.04733796203841906,0.1334852973804218,0.11295801790062641,-0.007341636655617995,-0.08606465394783863,0.021680027422584444,-0.02368090126029793,0.09049932988493178,0.07204145110554488,0.016733919997988247,0.10498125788754488,0.09611247001183099,-0.11127149941371169,-0.11345908750531208,0.08435123077445872,0.05721042893518548,-0.06414646668820163,0.015889474317985455,0.024272779274382535,0.13955202112283416,-0.007625510514081413,-0.04280282472969315,-0.028075444199813733,0.1895394456486955,0.05273128149028086,0.02542311276348368,0.08125584560625691,0.10528190300652582,-0.010373165490285835,-0.09001900039865907,-0.08029127074611488,0.0875046370756525,0.09488548047144357,0.0953018108815619,0.1585766542321083,-0.028917542837552903,0.014747605772634939,-0.03652410275686131,-0.24963654439423658,0.09189941122755758,0.14664303840621357,0.0755205320107755,-0.025296245876515015,0.13864629404547668,-0.06908364242917583,-0.015993226023588093,0.12821887421667527,0.04951523244262152,0.06631089346060912,0.08335468832971846,-0.035956541121923695,0.013852346783931468,0.054620152864259405,0.18528430652088293,0.07193096023994403,0.17153604989339868,0.10457931386356692,0.044059398303393275,-0.15056675906476338,-0.13883754801833295,0.07928999033547177,-0.028597762673238495,0.07498179675201475,-0.05082082460958552,-0.07561916178959281,-0.171186248490871,-0.08997592013245784,0.4780934438304351,-0.048574203300482025,-0.13957026259008337,0.21899561511183793,0.053738702228337265,0.02088291493755924,-0.03748235336358498,-0.06373281704690495,-0.18609116572846363,0.22568404894383054,0.0873992312987393,0.02459822386501467,0.09191592107570445,-0.08119335176791193,0.18633957147940494,-0.014404284604150242,-0.04441636142874931,-0.11379664314577338,-0.035502392952891176,0.11387020805154954,-0.10393754471292205,0.1649774511430559,0.35749664901894107,-0.06744301098475236,-0.005655924111518802,-0.012517383161222828,0.08106498843932156,0.16903868235354455,0.22663938972534017,0.050969968137408055,0.059632520672556144,0.08478168008762936,0.12030823503311114,0.07842037725784205,-0.001835517898412797,0.03680495715411224,0.13119391340968892,-0.036070412493153056,-0.005525423027046423,-0.043921614636865995,0.05331758695463944,0.05443679854346101,-0.13290093376433765,-0.03199195961955856,0.04273942312996994,0.0706338769327517,0.09787841450914882,0.15581193142620475,-0.12930143679731385,-0.055543823535491386,-0.05517569092084611,-0.046017721606020585,0.1000631586503918,0.06245484983552242,0.10169571079876844,-0.053464750697088566,0.038330769825061776,-0.02094512812155082,0.1009046308443867,-0.006121740282680061,0.08735527268683216,0.033989188347855505,0.07299673370234533,0.030761753934298378,-0.07155424864488936,0.05621121074536939,-0.11487448681187659,0.1295211340998325,-0.036169703683886716,0.04873063299445767,0.029925900917806888,0.023470276556787486,0.048236803332093924,0.0030575816227082614,-0.024207092956896773,0.012941277127334509,0.05682691083620402,-0.025543291076030622,-0.07583509307122219,-0.003066134983905305,0.046722588966306065,0.0034677870930713813,-0.14107192618989084,-0.004091645906371506,0.01924141322370961,-0.023786514654919686,-0.029666779475781647,0.006995968029816838,0.049600116288019816,-0.12353227237637214,0.10262067683366896,0.018962581197940618,-0.11339260339010968,-0.1952858914146438,-0.1175544058417094,0.0698763831991465,0.20531167162031627,-0.1600661240572319,0.2554285937936557,0.3211842654759133,0.15486213775384342,-0.0252043808156542,0.17579422275936132,0.22162072235885566,0.11758373204510475,-0.011640698345246255,-0.020769831808165082,0.1345875532514919,0.16156960555043168,0.043485261146021546,0.07724026149663347,0.10958691736774802,-0.17521518081722928,-0.1343729276220321,0.14836840283725355,-0.05559353567637963,0.15781965443360868,0.007800090550024042,0.0406147643682498,0.26491649580578397,0.5300018018863752,0.0250751545366444,-0.06469930379246089,-0.013046667108161375,-0.02931019435725945,-0.06316846607359325,0.06096420037123497,-0.068589948734887,-0.15471754787412217,0.1440960528465793,-0.0058338190258911855,0.2239676577379147,0.2520901273485784,0.07083944204934199,0.007133490355346523,-0.32380515089453876,-0.1125312094477206,-0.028766732835263854,-0.02141309550636975,-0.08192657142544653,0.04346270748188964,-0.010081452834605549,-0.0020309054856086613,0.04741152609014309,0.21238280618732938,-0.03045104073789311,0.03789058985404674,0.03430025785259787,0.0794326659335148,-0.012195854020245192,0.1531629586388541,-0.08489787076312182,0.10600937474509477,0.02758504956631482,0.03833250781588683,0.04754130507867734,-0.10569508945819882,0.04151517289578277,-0.04375254687975364,-0.05586953417587047,0.037181884450488506,0.051697440742433515,-0.03920509202778729,0.07311627013817786,-0.11586415223282631,-0.0379419498009562,-0.029594720338526424,-0.10118970546192442,-0.006534811749686599,0.2374035292161972,-0.01716740811154641,0.08675756048554874,-0.03403275987629313,-0.08003813950683457,-0.09918568902040525,0.0620410168655644,-0.09124543689572967,0.10602235754428295,0.0986196826854427,-0.07149941566715874,-0.10223448988929866,-0.00047868284635576566,0.2652856978804255,0.1416242191420377,-0.05980349641716458,0.07777511851339566,0.04887481412397763,0.10265845154359104,0.08040678703204639,-0.193686465328223,0.13591489981038418,-0.06640907964269106,0.13122539161129557,-0.00823966159570964,-0.012033304564972239,-0.09243294384884364,-0.0022828300491156807,0.5168949517091704,-0.09147504341140142,-0.03577877398956295,0.11035982622222124,-0.03008686459861981,0.014780821659868461,-0.04409993099289093,0.06007851500492688,-0.03595956629774018,-0.12739779822237532,-0.004538008534068578,0.02654739742531076,0.026990957162812922,-0.10896310672894943,-0.04387489419360202,-0.02819899152349097,-0.1728034953330973,0.07913378041335331,-0.1136435182506465,0.25907007905654267,0.08062332660123052,-0.016316312542406012,0.06905544382314464,-0.17817351325227024,0.0598084531079521,0.10369187128810556,0.21755292192719608,-0.026117546248596635,-0.058642065139930075,0.19963600653517832,0.2560888273914787,0.04607167670322834,-0.153496433653275,-0.1992423050135561,0.3621029761409557,0.06308633132315518,0.29908010943399116,-0.039527076725383255,0.1191723366569724,-0.01930371346161999,-0.07412998693602896,0.6048607302233641,0.021712037630202075,0.3425682059290598,0.1551236810090502,-0.02960643246745424,-0.04045071036569341,-0.014813882567468859,0.057318975139166436,-0.05314542761972551,-0.00741772822599493,-0.061831271707820754,0.029296227020084355,-0.09119444483809946,-0.0297237454935944,-0.12883578343539756,0.016310935955894716,0.07531598302803895,-0.323184889252967,-0.02253417457242767,0.1562676693130051,0.08400646275654171,0.05720195120778864
DBSCAN,0.0614220525429478,0.10436001532424281,-0.06344152563270886,0.07038928445889747,-0.005477035160381097,-0.041353481676533715,-0.20609686107504746,-0.11522625313377959,0.0,0.0,0.06622706560287081,0.22698673962980365,0.045049639702515326,0.07936272402357993,-0.012870075888967302,0.13461935025166175,-0.03653156361084181,0.10981789146029923,0.0,0.0,0.06008233940058796,0.07696104113612838,0.18850044129619953,0.0,0.021443415618083796,-0.02901353656125754,0.0,-0.047144980336987934,-0.054616007007713165,0.035900364263235285,-0.043225382615676995,0.0,0.04471445905128678,0.07553957678875087,-0.014889612494250571,0.0,-0.01644004079300238,0.028941654653904046,-0.03512302241813776,0.013324580388535956,0.0066278905345190375,-0.003819453446296893,0.0,-0.06671517254920843,0.017346123965699876,-0.020010027494464986,0.061149514734169894,0.02697335170882263,-0.00016376068425035862,-0.030181662550076396,-0.025913015256478697,0.029379104301680864,-0.024260246492173478,0.03225219193730843,0.07536000305892072,-0.04667053716677174,0.09071793471418707,0.07740720371060188,0.07331845430344038,0.006858614960908971,0.060289631537711566,-0.04790529553993651,0.0053218464698553255,-0.00958035733409666,-0.0270593846347353,0.019001665971513062,0.0,0.06456618308028729,-0.11197236241377118,0.04109303252025935,0.033786499515750426,0.06522417685850858,0.016034998435831248,-0.02082984163841617,-0.06217989751143549,-0.023473356185642048,0.04002269162762066,-0.027361657169899977,0.02764824126414925,0.022206839518276483,0.01185518628041295,-0.005193077567992321,0.011340005009138699,0.02963386517913641,0.02107750997669802,-0.009116889903057987,0.11535741140182823,0.08525404898512012,-0.041138374745809766,0.06474545077659481,0.015959555903103724,0.0011014183609333106,-0.06847740340416604,0.04912797744658176,0.07194838351425685,-0.013339184623887312,0.04708665570133276,0.05758003530908572,-0.019349639001779963,-0.06844178112911595,0.07766031251340459,-0.07193959303505928,-0.19473210282370618,0.0672054708771352,0.12117550990600517,0.07252416861336718,0.018964425688754408,0.00021009550186527879,-0.07567328501580672,-0.0652678570030056,0.12033790180594493,0.030382918241619664,0.03194365538577052,0.010569890968065477,-0.07959077492680508,-0.05239093586750386,0.07223087321072776,0.10400216014488199,-0.023473356185642048,-0.10924777826380079,-0.16825104639569213,0.0778934421360794,0.05489366558344468,0.0,0.03608474638988318,0.014491673950392978,0.015450158117489995,0.033517004549129856,0.029633356308405738,-0.0341020211422192,-0.004348557516016104,0.13118808968137058,0.002989529897617427,0.0609735719664342,0.11326349164797248,0.0,0.01290735926791638,0.07959700092607398,-0.009429015163749697,-0.04206949178043895,0.04040035253664266,0.0,0.13735793303925503,0.0,-0.0034692008674486138,0.14636435909330234,0.03458057118927543,-0.02941015536760343,-0.005431059580824113,-0.06516594494153884,0.09221579899365634,-0.01076556167229897,0.004612264657840977,0.0,-0.010554713138395145,-0.04789929788063591,0.0,-0.05730206570222484,0.05235454321468995,0.0,-0.00864286348365186,-0.05454126726161322,0.12730403798139808,-0.08101687225923279,0.1547189093796051,0.012241303756904635,0.027443475533803222,-0.027937467977285708,-0.04875329661800164,0.01224245790258871,0.0389256802210901,0.03554036483105565,-0.016670897052073776,0.0146580515372366,0.02197862338397644,0.015911093177002223,0.05382435122861855,0.05431531985857967,-0.03629813380021396,0.0,-0.003256977045272174,0.0,0.023606188901812934,0.05313618506327482,0.0450402647684529,0.0200917897921653,0.04391229143229996,0.03032661833761875,0.006353156101011073,0.0,-0.055539028882118015,0.046067010524402194,0.010122937248069517,0.030517193213665462,-0.0032967125939338026,-0.0439262691659387,0.017612188598208723,0.0,0.038748382346916244,0.0,0.0077015125198843125,0.018866970276064297,0.0,-0.07107929560970057,0.0,0.003693818483425714,-0.0342649870377335,0.007762311260418122,-0.0019441593051553396,0.042620122142306816,0.045736977518106306,-0.014345027019140793,0.06962047539153536,-0.07978620472977688,-0.12530326073860978,0.1520334847935996,-0.026653255984023145,0.01953898683514357,0.021513470265699722,-0.07813532936154005,-0.357675945274069,0.22699108822065486,0.05165956036513128,0.09967321458898787,-0.16790699681690363,-0.2395468579126528,0.12388715295480504,0.0,-0.13760435862384718,0.25555500418341687,0.08881299622844173,0.08415995513468366,-0.1265461650365106,0.027473722781147243,0.0,-0.06014008814101064,0.0,0.0,0.008980491838424922,0.0,0.09324402694513112,0.0,0.0,-0.05254485125201447,-0.006271993827095642,0.07164933118304519,-0.06677824673487667,0.0838796534410774,0.21271457807080912,0.0,0.0,0.0,-0.02012676642711047,0.0,0.023968949767521914,-0.06777593140237681,0.09647348517005161,0.007884367337328654,0.0,-0.16612395976227962,0.0,0.0,0.0,0.0,0.0036184455227109237,0.11348759483148096,0.0,-0.058750577589614605,0.04707002754820852,-0.011984135467547497,0.0,0.0,-0.03988678078486087,0.0,0.0024597457240617482,0.02557753184372551,0.013983271459337253,0.0,0.0,0.0,0.0,0.01433154729405499,0.0,0.0,0.017032446749292742,0.0,0.03284370455917136,0.0,0.0033037969596239666,0.01570725241029469,-0.009905436702299585,0.0,0.09215991153424863,0.03352854471175258,0.10600364295885319,0.0,0.0871221635466494,0.005812811357478469,0.0,0.0,0.0,0.0,0.0,0.0,-0.06596856931549135,-0.007497666686241766,-0.040129579655590324,0.0,0.08486867207726935,0.0,0.02309705124547699,0.0,-0.043301467610800934,0.0,0.0,-0.013318516984206278,0.0,0.0,0.0,0.0,0.0,0.0,0.1566920670509986,0.0,0.0,0.0,0.010299054920349932,-0.058266262142074844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012291071095648145,0.0,0.0,0.0,0.0,-0.05433406168704197,0.0,0.0,0.0,0.0,0.0,0.0,0.12547734333288002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16177656979706495,0.025201123575661833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11621970771144971,0.019553820164565472,0.0,0.0,-0.06320933406757213,0.04785265186074303,-0.12882312487545658,0.07575230762843696,-0.04360661664733987,0.05322105383305531,0.0,-0.0019559072408750493,0.002562442112492469,0.0,0.0,0.0,0.0,0.014774714890113571
